X26n0575_001:0965c04	略移	略 移 
X26n0575_001:0966c01	意趣。納心不捨。學會持誦諷念。不知利益。多虧明師	意 趣 納 心 不 捨 學 會 持 誦 諷 念 不 知 利 益 多 虧 明 師 
X26n0575_001:0966c02	訓教妙法。一言訣開心地。一向杳冥。無能報祖之恩。	訓 教 妙 法 一 言 訣 開 心 地 一 向 杳 冥 無 能 報 祖 之 恩 
X26n0575_001:0966c03	拙詳稍註。麤心略表。續固餘言。替佛弘教。心經者。二	拙 詳 稍 註 麤 心 略 表 續 固 餘 言 替 佛 弘 教 心 經 者 二 
X26n0575_001:0966c04	百七十字義。分開六十二句之因。雖是心經最小。包	百 七 十 字 義 分 開 六 十 二 句 之 因 雖 是 心 經 最 小 包 
X26n0575_001:0966c05	含三藏無踪。雖然字點不多。超凡越祖絕情。非是我	含 三 藏 無 踪 雖 然 字 點 不 多 超 凡 越 祖 絕 情 非 是 我 
X26n0575_001:0966c06	能我強。諸佛倚妙法出現於世。不倚小乘法濟度於	能 我 強 諸 佛 倚 妙 法 出 現 於 世 不 倚 小 乘 法 濟 度 於 
X26n0575_001:0966c07	眾生。	眾 生 
X26n0575_001:0966c08	金剛科儀作證。有求有苦。八風五欲交煎。無著無貪。	金 剛 科 儀 作 證 有 求 有 苦 八 風 五 欲 交 煎 無 著 無 貪 
X26n0575_001:0966c09	三明六通自在。便恁麼去。水邊林下。月冷風清。不恁	三 明 六 通 自 在 便 恁 麼 去 水 邊 林 下 月 冷 風 清 不 恁 
X26n0575_001:0966c10	麼去。橋斷路窮。別通消息。還委悉麼。	麼 去 橋 斷 路 窮 別 通 消 息 還 委 悉 麼 
X26n0575_001:0966c11	　稽首歸依發虔心　　上人隨喜來降臨	 稽 首 歸 依 發 虔 心 上 人 隨 喜 來 降 臨 
X26n0575_001:0966c12	　宣念佛祖甚深卷　　知音納受志心聽	 宣 念 佛 祖 甚 深 卷 知 音 納 受 志 心 聽 
X26n0575_001:0966c13	　天地包含萬物中　　一切萌芽養群生	 天 地 包 含 萬 物 中 一 切 萌 芽 養 群 生 
X26n0575_001:0966c14	　蓋載之恩難酬報　　喫齋念佛報重恩	 蓋 載 之 恩 難 酬 報 喫 齋 念 佛 報 重 恩 
X26n0575_001:0966c15	　日月兩輪往來循　　週而復始現光明	 日 月 兩 輪 往 來 循 週 而 復 始 現 光 明 
X26n0575_001:0966c16	　照臨之恩難酬報　　喫齋念佛報重恩	 照 臨 之 恩 難 酬 報 喫 齋 念 佛 報 重 恩 
X26n0575_001:0966c17	　皇王洪福萬萬春　　五穀豐盈國大平	 皇 王 洪 福 萬 萬 春 五 穀 豐 盈 國 大 平 
X26n0575_001:0966c18	　水土之恩難酬報　　喫齋念佛報重恩	 水 土 之 恩 難 酬 報 喫 齋 念 佛 報 重 恩 
X26n0575_001:0966c19	　父母劬勞苦無窮　　為兒為女費心勤	 父 母 劬 勞 苦 無 窮 為 兒 為 女 費 心 勤 
X26n0575_001:0966c20	　養育之恩難酬報　　喫齋念佛報重恩	 養 育 之 恩 難 酬 報 喫 齋 念 佛 報 重 恩 
X26n0575_001:0966c21	　奉勸世間知因人　　廣行孝道敬雙親	 奉 勸 世 間 知 因 人 廣 行 孝 道 敬 雙 親 
X26n0575_001:0966c22	　供佛齋僧濟貧苦　　龍天偏向孝心人	 供 佛 齋 僧 濟 貧 苦 龍 天 偏 向 孝 心 人 
X26n0575_001:0966c23	　莫瞞天地莫瞞神　　心不瞞人禍不侵	 莫 瞞 天 地 莫 瞞 神 心 不 瞞 人 禍 不 侵 
X26n0575_001:0966c24	　十二時中行陰行　　灾星變做福星臨	 十 二 時 中 行 陰 行 灾 星 變 做 福 星 臨 
X26n0575_001:0967a01	　無上甚深微妙法　　百千萬劫難遭遇	 無 上 甚深微妙法 百千萬劫 難 遭 遇 
X26n0575_001:0967a02	　我今見聞得授待　　願解如來真實意	 我 今 見 聞 得 授 待 願 解 如 來 真 實 意 
X26n0575_001:0967a03	摩訶。二字。西天梵語也。東土翻為大。且大者。莫過虗	摩 訶 二 字 西 天 梵 語 也 東 土 翻 為 大 且 大 者 莫 過 虗 
X26n0575_001:0967a04	空大道也。廣無邊際之謂也。廣大無邊者。莫過虗空	空 大 道 也 廣 無 邊 際 之 謂 也 廣 大 無 邊 者 莫 過 虗 空 
X26n0575_001:0967a05	大道也。川老云。虗空境界莫思量。大道清幽理更長。	大 道 也 川 老 云 虗 空 境 界 莫 思 量 大 道 清 幽 理 更 長 
X26n0575_001:0967a06	又云。十方無壁落。八面亦無門。大道無邊際。虗空難	又 云 十 方 無 壁 落 八 面 亦 無 門 大 道 無 邊 際 虗 空 難 
X26n0575_001:0967a07	度量。道云。迎之不見其首。隨之不見其後。儒云。仰之	度 量 道 云 迎 之 不 見 其 首 隨 之 不 見 其 後 儒 云 仰 之 
X26n0575_001:0967a08	彌高。鑽之彌堅。瞻之在前。忽然在後。諸賢聖皆如此	彌 高 鑽 之 彌 堅 瞻 之 在 前 忽 然 在 後 諸 賢 聖 皆 如 此 
X26n0575_001:0967a09	稱揚廣大也。日月雖明。難比其光。乾坤雖大。難包其	稱 揚 廣 大 也 日 月 雖 明 難 比 其 光 乾 坤 雖 大 難 包 其 
X26n0575_001:0967a10	體。能生萬有。而不見其形。遍周沙界。而不覩其踪。雖	體 能 生 萬 有 而 不 見 其 形 遍 周 沙 界 而 不 覩 其 踪 雖 
X26n0575_001:0967a11	是如此廣大玄妙。誰知更有一物過於此者。且道是	是 如 此 廣 大 玄 妙 誰 知 更 有 一 物 過 於 此 者 且 道 是 
X26n0575_001:0967a12	何物。還識這箇○麼。寬則包藏法界。窄則不立纖毫。	何 物 還 識 這 箇 麼 寬 則 包 藏 法 界 窄 則 不 立 纖 毫 
X26n0575_001:0967a13	顯則八荒九夷無所不至。隱則纖芥微塵無所不入。	顯 則 八 荒 九 夷 無 所 不 至 隱 則 纖 芥 微 塵 無 所 不 入 
X26n0575_001:0967a14	今者不避罪愆。分明漏泄。乃人之本源也。仙師有云。	今 者 不 避 罪 愆 分 明 漏 泄 乃 人 之 本 源 也 仙 師 有 云 
X26n0575_001:0967a15	為甚此心關大道。只因元向道中來。世人不能返本	為 甚 此 心 關 大 道 只 因 元 向 道 中 來 世 人 不 能 返 本 
X26n0575_001:0967a16	者。蓋因錯認色身為己。被六根所瞞。七情遮蔽。自失	者 蓋 因 錯 認 色 身 為 己 被 六 根 所 瞞 七 情 遮 蔽 自 失 
X26n0575_001:0967a17	本真。以致流浪生死也。要見本真麼。尋不見。覔不見。	本 真 以 致 流 浪 生 死 也 要 見 本 真 麼 尋 不 見 覔 不 見 
X26n0575_001:0967a18	十二時中遍身轉。	十 二 時 中 遍 身 轉 
X26n0575_001:0967a19	　摩訶一消息　　從來不得知	 摩 訶 一 消 息 從 來 不 得 知 
X26n0575_001:0967a20	　今日纔會面　　世上無物比	 今 日 纔 會 面 世 上 無 物 比 
X26n0575_001:0967a21	大摩訶&;是真空&;無極妙體&;	大 摩 訶 是 真 空 無 極 妙 體 
X26n0575_001:0967a22	是為玄&;無相法身&;	是 為 玄 無 相 法 身 
X26n0575_001:0967a23	是真常&;無窮道理&;	是 真 常 無 窮 道 理 
X26n0575_001:0967a24	是妙意&;無為深根&;	是 妙 意 無 為 深 根 
X26n0575_001:0967b01	變陰陽&;治下日月&;	變 陰 陽 治 下 日 月 
X26n0575_001:0967b02	變五形&;春夏秋冬&;	變 五 形 春 夏 秋 冬 
X26n0575_001:0967b03	變四相&;一切凡聖&;	變 四 相 一 切 凡 聖 
X26n0575_001:0967b04	是真空&;萬聖之根&;	是 真 空 萬 聖 之 根 
X26n0575_001:0967b05	是玄妙&;神通廣大&;	是 玄 妙 神 通 廣 大 
X26n0575_001:0967b06	難測量&;無相家風&;	難 測 量 無 相 家 風 
X26n0575_001:0967b07	堅固身&;不生不滅&;	堅 固 身 不生不滅 
X26n0575_001:0967b08	堅固體&;不減不增&;	堅 固 體 不 減 不 增 
X26n0575_001:0967b09	堅固體&;不垢不淨&;	堅 固 體 不垢不淨 
X26n0575_001:0967b10	堅固體&;那箇知聞&;	堅 固 體 那 箇 知 聞 
X26n0575_001:0967b11	參透了&;大摩訶&;無有轄管&;	參 透 了 大 摩 訶 無 有 轄 管 
X26n0575_001:0967b12	自在縱橫&;	自 在 縱 橫 
X26n0575_001:0967b13	般若。二字西天梵語也。東土翻為智慧。且智慧者。正	般 若 二 字 西 天 梵 語 也 東 土 翻 為 智 慧 且 智 慧 者 正 
X26n0575_001:0967b14	知正解。審察之謂也。修行之人。須用智慧之力。降伏	知 正 解 審 察 之 謂 也 修 行 之 人 須 用 智 慧 之 力 降 伏 
X26n0575_001:0967b15	身心。不令放肆。以習靜定。道云。能以智慧之力。攝伏	身 心 不 令 放 肆 以 習 靜 定 道 云 能 以 智 慧 之 力 攝 伏 
X26n0575_001:0967b16	諸魔精。儒云。智能破邪。慧能破暗。且無智慧之人。作	諸 魔 精 儒 云 智 能 破 邪 慧 能 破 暗 且 無 智 慧 之 人 作 
X26n0575_001:0967b17	事麤惡。不肯三思。惟務廣學多聞。念在誇談講論。不	事 麤 惡 不 肯 三 思 惟 務 廣 學 多 聞 念 在 誇 談 講 論 不 
X26n0575_001:0967b18	究自家生死。好覔他人是非。不親真實道人。愛近虗	究 自 家 生 死 好 覔 他 人 是 非 不 親 真 實 道 人 愛 近 虗 
X26n0575_001:0967b19	頭禪客。空談聖人經典。心地全不用功。圖名貪利。我	頭 禪 客 空 談 聖 人 經 典 心 地 全 不 用 功 圖 名 貪 利 我 
X26n0575_001:0967b20	慢貢高。只顧眼下時光。不想腦後之事。如此之人。乃	慢 貢 高 只 顧 眼 下 時 光 不 想 腦 後 之 事 如 此 之 人 乃 
X26n0575_001:0967b21	聰明外道也。古德(永嘉禪師)有云。外道聰明無智慧。仙師云。口	聰 明 外 道 也 古 德 永 嘉 禪 師 有 云 外 道 聰 明 無 智 慧 仙 師 云 口 
X26n0575_001:0967b22	說心不行。非是精細漢。儒云。先治身心。後治家國。且	說 心 不 行 非 是 精 細 漢 儒 云 先 治 身 心 後 治 家 國 且 
X26n0575_001:0967b23	有智慧之人。作事安詳。不肯造次。識因果。顧罪福。親	有 智 慧 之 人 作 事 安 詳 不 肯 造 次 識 因 果 顧 罪 福 親 
X26n0575_001:0967b24	近知識。參問至人。窮性命之根元。究生死之大事。制	近 知 識 參 問 至 人 窮 性 命 之 根 元 究 生 死 之 大 事 制 
X26n0575_001:0967c01	伏身心。收斂神氣。念念在道。息息歸真。一日功成行	伏 身 心 收 斂 神 氣 念 念 在 道 息 息 歸 真 一 日 功 成 行 
X26n0575_001:0967c02	滿。叻地一聲。透出三界。與虗空混為一體。若到此地。	滿 叻 地 一 聲 透 出 三 界 與 虗 空 混 為 一 體 若 到 此 地 
X26n0575_001:0967c03	造化不能移易。陰陽不能陶鑄。四時不能遷。五行不	造 化 不 能 移 易 陰 陽 不 能 陶 鑄 四 時 不 能 遷 五 行 不 
X26n0575_001:0967c04	能役。神鬼不能拘。劫火不能壞。作箇逍遙自在物外	能 役 神 鬼 不 能 拘 劫 火 不 能 壞 作 箇 逍 遙 自 在 物 外 
X26n0575_001:0967c05	閑人。要見物外閑人麼。六座門頭常出入。雖然相近	閑 人 要 見 物 外 閑 人 麼 六 座 門 頭 常 出 入 雖 然 相 近 
X26n0575_001:0967c06	不相親。開著眼休教蹉過。省的麼。	不 相 親 開 著 眼 休 教 蹉 過 省 的 麼 
X26n0575_001:0967c07	　般若智慧斬魔力　　破邪顯證不相饒	 般 若 智 慧 斬 魔 力 破 邪 顯 證 不 相 饒 
X26n0575_001:0967c08	　正知正解行正路　　降伏身心萬事拋	 正 知 正 解 行 正 路 降 伏 身 心 萬 事 拋 
X26n0575_001:0967c09	　道倚智慧妖魔滅　　佛倚智慧業障消	 道 倚 智 慧 妖 魔 滅 佛 倚 智 慧 業 障 消 
X26n0575_001:0967c10	　儒倚智慧無黑暗　　都憑智慧出塵勞	 儒 倚 智 慧 無 黑 暗 都 憑 智 慧 出 塵 勞 
X26n0575_001:0967c11	　不生智慧逞剛強　　作事麤糙自發狂	 不 生 智 慧 逞 剛 強 作 事 麤 糙 自 發 狂 
X26n0575_001:0967c12	　無有三思非明理　　惟務廣學不忖量	 無 有 三 思 非 明 理 惟 務 廣 學 不 忖 量 
X26n0575_001:0967c13	　念在誇談誩名利　　不顧性命去貪[林/心]	 念 在 誇 談 誩 名 利 不 顧 性 命 去 貪 [林心] 
X26n0575_001:0967c14	　背恩忘義殺佛祖　　愛近虗頭棄根元	 背 恩 忘 義 殺 佛 祖 愛 近 虗 頭 棄 根 元 
X26n0575_001:0967c15	　智慧聰明有道德　　作事安詳有辯才	 智 慧 聰 明 有 道 德 作 事 安 詳 有 辯 才 
X26n0575_001:0967c16	　不肯造次行因行　　能顧罪福似如來	 不 肯 造 次 行 因 行 能 顧 罪 福 似 如 來 
X26n0575_001:0967c17	　親近知識求出世　　參問至人躲苦厄	 親 近 知 識 求 出 世 參 問 至 人 躲 苦 厄 
X26n0575_001:0967c18	　窮理盡性達根本　　念念在道歸去來	 窮 理 盡 性 達 根 本 念 念 在 道 歸 去 來 
X26n0575_001:0967c19	波羅。二字。西天梵語也。東土翻為彼岸。此岸者。生死	波 羅 二 字 西 天 梵 語 也 東 土 翻 為 彼 岸 此 岸 者 生 死 
X26n0575_001:0967c20	之際也。彼岸者。出生死之岸也。迷者此岸。悟者彼岸。	之 際 也 彼 岸 者 出 生 死 之 岸 也 迷 者 此 岸 悟 者 彼 岸 
X26n0575_001:0967c21	世人若迷本性。即愚痴顛倒。認四大六根為己。爭名	世 人 若 迷 本 性 即 愚 痴 顛 倒 認 四 大 六 根 為 己 爭 名 
X26n0575_001:0967c22	競利。謀千年活計。積萬劫之冤愆。背覺合塵。迷真逐	競 利 謀 千 年 活 計 積 萬 劫 之 冤 愆 背 覺 合 塵 迷 真 逐 
X26n0575_001:0967c23	妄。忙忙而不知休息。念念而心境不除。忽朝大限到	妄 忙 忙 而 不 知 休 息 念 念 而 心 境 不 除 忽 朝 大 限 到 
X26n0575_001:0967c24	來。臨行手無所措。這裏脫下濕布衫。那裡穿土虱虱	來 臨 行 手 無 所 措 這 裏 脫 下 濕 布 衫 那 裡 穿 土 虱 虱 
X26n0575_001:0968a01	襖。去去來來。改頭換面。似蟻循環。何日是了。生死苦	襖 去 去 來 來 改 頭 換 面 似 蟻 循 環 何 日 是 了 生 死 苦 
X26n0575_001:0968a02	海幾時得渡。如是之者。只在此岸。若有人猛然自悟。	海 幾 時 得 渡 如 是 之 者 只 在 此 岸 若 有 人 猛 然 自 悟 
X26n0575_001:0968a03	從前所為所作。盡是虗假。棄假修真。窮根究本。常近	從 前 所 為 所 作 盡 是 虗 假 棄 假 修 真 窮 根 究 本 常 近 
X26n0575_001:0968a04	至人。常親知識。求過岸之舟。覔方便之篙。度過愛河	至 人 常 親 知 識 求 過 岸 之 舟 覔 方 便 之 篙 度 過 愛 河 
X26n0575_001:0968a05	苦海而登彼岸。得脫生死洪波。更不拖泥帶水。作箇	苦 海 而 登 彼 岸 得 脫 生 死 洪 波 更 不 拖 泥 帶 水 作 箇 
X26n0575_001:0968a06	脚乾手燥清淨自在閑人也。且道如何得達彼岸。他	脚 乾 手 燥 清 淨 自 在 閑 人 也 且 道 如 何 得 達 彼 岸 他 
X26n0575_001:0968a07	人難用力。自渡自家身。	人 難 用 力 自 渡 自 家 身 
X26n0575_001:0968a08	　波羅者　　登彼岸　　脚踏實地	 波 羅 者 登 彼 岸 脚 踏 實 地 
X26n0575_001:0968a09	　上岸人　　無恐怖　　晝夜安寧	 上 岸 人 無 恐 怖 晝 夜 安 寧 
X26n0575_001:0968a10	　這苦海　　廣無邊　　翻波浪滾	 這 苦 海 廣 無 邊 翻 波 浪 滾 
X26n0575_001:0968a11	　水面上　　浮漂漂　　胆戰心驚	 水 面 上 浮 漂 漂 胆 戰 心 驚 
X26n0575_001:0968a12	　虧明師　　拔濟我　　出離苦海	 虧 明 師 拔 濟 我 出 離 苦 海 
X26n0575_001:0968a13	　思量起　　在難中　　胆戰心驚	 思 量 起 在 難 中 胆 戰 心 驚 
X26n0575_001:0968a14	　修下福　　還造業　　不得了手	 修 下 福 還 造 業 不 得 了 手 
X26n0575_001:0968a15	　六道裏　　週流轉　　受苦無窮	 六 道 裏 週 流 轉 受 苦 無 窮 
X26n0575_001:0968a16	　無量劫　　迷失了　　生死受苦	 無 量 劫 迷 失 了 生 死 受 苦 
X26n0575_001:0968a17	　虧明師　　拔濟我　　纔得脫身	 虧 明 師 拔 濟 我 纔 得 脫 身 
X26n0575_001:0968a18	　在四生　　異類中　　重重受罪	 在 四 生 異 類 中 重 重 受 罪 
X26n0575_001:0968a19	　思量起　　生死苦　　胆戰心驚	 思 量 起 生 死 苦 胆 戰 心 驚 
X26n0575_001:0968a20	　得人身　　是火宅　　三灾八難	 得 人 身 是 火 宅 三 灾 八 難 
X26n0575_001:0968a21	　思量起　　疾病苦　　胆戰心驚	 思 量 起 疾 病 苦 胆 戰 心 驚 
X26n0575_001:0968a22	　虧明師　　慈悲心　　不擇貧富	 虧 明 師 慈 悲 心 不 擇 貧 富 
X26n0575_001:0968a23	　想明師　　難酬報　　怎肯忘恩	 想 明 師 難 酬 報 怎 肯 忘 恩 
X26n0575_001:0968a24	　走著思　　坐著想　　時時提念	 走 著 思 坐 著 想 時 時 提 念 
X26n0575_001:0968b01	　得妙法　　免三途　　救苦天尊	 得 妙 法 免 三 途 救 苦 天 尊 
X26n0575_001:0968b02	蜜多二字。西天梵語也。東土翻為無極。又蜜者和也。	蜜 多 二 字 西 天 梵 語 也 東 土 翻 為 無 極 又 蜜 者 和 也 
X26n0575_001:0968b03	多者眾法也。且無極者。至高至大難極之謂也。釋云	多 者 眾 法 也 且 無 極 者 至 高 至 大 難 極 之 謂 也 釋 云 
X26n0575_001:0968b04	無極。道云太極。儒云皇極。皆謂○此也。今分明說開	無 極 道 云 太 極 儒 云 皇 極 皆 謂 此 也 今 分 明 說 開 
X26n0575_001:0968b05	蜜之一字。亦比於大道虗空。多者。謂萬彚也。譬道能	蜜 之 一 字 亦 比 於 大 道 虗 空 多 者 謂 萬 彚 也 譬 道 能 
X26n0575_001:0968b06	包含萬類。有情無情盡在太道之中。人之真性一同。	包 含 萬 類 有 情 無 情 盡 在 太 道 之 中 人 之 真 性 一 同 
X26n0575_001:0968b07	亦能包藏萬法。萬法盡在一性之中。太虗之內。有八	亦 能 包 藏 萬 法 萬 法 盡 在 一 性 之 中 太 虗 之 內 有 八 
X26n0575_001:0968b08	萬四千異類種性。說不可盡。皆在人之一性之內。一	萬 四 千 異 類 種 性 說 不 可 盡 皆 在 人 之 一 性 之 內 一 
X26n0575_001:0968b09	性譬如蜜。種性喻於多。修行之人。以一性均和種性。	性 譬 如 蜜 種 性 喻 於 多 修 行 之 人 以 一 性 均 和 種 性 
