X88n1646_001:0180a04	 居士傳序	 居 士 傳 序 
X88n1646_001:0180c07	何有五戒。南北朝諸臣罔明忠孝之義。妄談般若。裨	何 有 五 戒 南 北 朝 諸 臣 罔 明 忠 孝 之 義 妄 談 般 若 裨 
X88n1646_001:0180c08	販如來。至如魏収．蔚宗浪附通人。沈約．江總濫塵戒	販 如 來 至 如 魏 収 蔚 宗 浪 附 通 人 沈 約 江 總 濫 塵 戒 
X88n1646_001:0180c09	品。以身謗法。視崔浩．傅奕罪有甚焉。清淨海中不受	品 以 身 謗 法 視 崔 浩 傅 奕 罪 有 甚 焉 清 淨 海 中 不 受 
X88n1646_001:0180c10	死屍。削而投之豈為刻核。若王摩詰．柳子厚．郭功甫．	死 屍 削 而 投 之 豈 為 刻 核 若 王 摩 詰 柳 子 厚 郭 功 甫 
X88n1646_001:0180c11	張天覺之徒。先迷後復。情罪可原。善善從長。亦庶幾	張 天 覺 之 徒 先 迷 後 復 情 罪 可 原 善 善 從 長 亦 庶 幾 
X88n1646_001:0180c12	春秋之指與。	春 秋 之 指 與 
X88n1646_001:0180c13	自昔言三教者。其莫善於大珠乎。或問三教異同。曰	自 昔 言 三 教 者 其 莫 善 於 大 珠 乎 或 問 三 教 異 同 曰 
X88n1646_001:0180c14	大量者用之即同。小機者執之即異。總從一性起用。	大 量 者 用 之 即 同 小 機 者 執 之 即 異 總 從 一 性 起 用 
X88n1646_001:0180c15	機見差別成三。迷悟在人不在教之同異也。達此義	機 見 差 別 成 三 迷 悟 在 人 不 在 教 之 同 異 也 達 此 義 
X88n1646_001:0180c16	者。其宋之李伯紀．明之趙大洲乎。南北之朝。釋道相	者 其 宋 之 李 伯 紀 明 之 趙 大 洲 乎 南 北 之 朝 釋 道 相 
X88n1646_001:0180c17	爭。唐宋之時。儒佛相角。總由不知性真常中本無同	爭 唐 宋 之 時 儒 佛 相 角 總 由 不 知 性 真 常 中 本 無 同 
X88n1646_001:0180c18	異。尋枝摘葉安有了期。至如周彥倫．明休烈．張天覺．	異 尋 枝 摘 葉 安 有 了 期 至 如 周 彥 倫 明 休 烈 張 天 覺 
X88n1646_001:0180c19	李純甫數子之論。解紛挫銳不謂無功。究其實際亦	李 純 甫 數 子 之 論 解 紛 挫 銳 不 謂 無 功 究 其 實 際 亦 
X88n1646_001:0180c20	多離合。獅子咬人韓盧逐塊。智者覩指知歸。昧者雙	多 離 合 獅 子 咬 人 韓 盧 逐 塊 智 者 覩 指 知 歸 昧 者 雙 
X88n1646_001:0180c21	迷指月。世又安得盡大珠與之暢談三教哉。	迷 指 月 世 又 安 得 盡 大 珠 與 之 暢 談 三 教 哉 
X88n1646_001:0180c22	列傳中有不得詳其事跡者。文富諸公是也。非繫於	列 傳 中 有 不 得 詳 其 事 跡 者 文 富 諸 公 是 也 非 繫 於 
X88n1646_001:0180c23	佛法。弗錄其事跡。自載正史舉而著之。非此書體也。	佛 法 弗 錄 其 事 跡 自 載 正 史 舉 而 著 之 非 此 書 體 也 
X88n1646_001:0180c24	有不容略其事蹟者。如宗汝霖．趙大洲．周景文．熊魚	有 不 容 略 其 事 蹟 者 如 宗 汝 霖 趙 大 洲 周 景 文 熊 魚 
X88n1646_001:0181a01	山諸公是也。其應於世者。其學佛之精神也。一切治	山 諸 公 是 也 其 應 於 世 者 其 學 佛 之 精 神 也 一 切 治 
X88n1646_001:0181a02	生諧偶。皆與實相不相違背。不其然乎。不其然乎。	生 諧 偶 皆 與 實 相 不 相 違 背 不 其 然 乎 不 其 然 乎 
X88n1646_001:0181a03	是書始事於庚寅之夏。削稿於乙未之秋。中間辨味	是 書 始 事 於 庚 寅 之 夏 削 稿 於 乙 未 之 秋 中 間 辨 味 
X88n1646_001:0181a04	淄澠。商量去取。則吳縣汪子大紳之助為多。瑞金羅	淄 澠 商 量 去 取 則 吳 縣 汪 子 大 紳 之 助 為 多 瑞 金 羅 
X88n1646_001:0181a05	子臺山往來。過蘇每相切磋。訂其離合。最後書成。婺	子 臺 山 往 來 過 蘇 每 相 切 磋 訂 其 離 合 最 後 書 成 婺 
X88n1646_001:0181a06	源王子顧庭諷誦一周。讚歎歡喜。捐金付刻。普願見	源 王 子 顧 庭 諷 誦 一 周 讚 歎 歡 喜 捐 金 付 刻 普 願 見 
X88n1646_001:0181a07	聞隨喜。發菩提心。證圓滿果。是則區區七年纂述功	聞 隨 喜 發菩提心 證 圓 滿 果 是 則 區 區 七 年 纂 述 功 
X88n1646_001:0181a08	不虗施。青蓮華海香光無垠。一念歸誠同登彼岸。不	不 虗 施 青 蓮 華 海 香 光 無 垠 一 念 歸 誠 同 登 彼 岸 不 
X88n1646_001:0181a09	亦樂乎。	亦 樂 乎 
X88n1646_001:0181a15	題居士傳偈	題 居 士 傳 偈 
X88n1646_001:0181a17	菩薩戒弟子　彭際清　述	菩 薩 戒 弟 子 彭 際 清 述 
X88n1646_001:0181a18	　我聞觀世音　　應身三十二　　華嚴善知識	 我 聞 觀 世 音 應 身 三 十 二 華 嚴 善 知 識 
X88n1646_001:0181a19	　亦有五十三　　比邱居士身　　種種天人趣	 亦 有 五 十 三 比 邱 居 士 身 種 種 天 人 趣 
X88n1646_001:0181a20	　譬如空中雲　　隨風無定形　　又如海上波	 譬 如 空 中 雲 隨 風 無 定 形 又 如 海 上 波 
X88n1646_001:0181a21	　從日現五色　　眾生眼所見　　分別每熾然	 從 日 現 五 色 眾 生 眼 所 見 分 別 每 熾 然 
X88n1646_001:0181a22	　豈知妙明心　　非一云何二　　憶我無始來	 豈 知 妙 明 心 非 一 云 何 二 憶 我 無 始 來 
X88n1646_001:0181a23	　一念不自覺　　生死六道中　　念念入輪迴	 一 念 不 自 覺 生 死 六 道 中 念 念 入 輪 迴 
X88n1646_001:0181a24	　貪染習已深　　真色成晦昧　　無明力所牽	 貪 染 習 已 深 真 色 成 晦 昧 無 明 力 所 牽 
X88n1646_001:0181b01	　顛倒惡叉聚　　因緣值此生　　得聞無上法	 顛 倒 惡 叉 聚 因 緣 值 此 生 得 聞 無 上 法 
X88n1646_001:0181b02	　深心發悲淚　　長跪向佛前　　誓盡此報身	 深 心 發 悲 淚 長 跪 向 佛 前 誓 盡 此 報 身 
X88n1646_001:0181b03	　永息輪迴苦　　一念阿彌陀　　究竟成佛道	 永 息 輪 迴 苦 一 念 阿 彌 陀 究 竟 成 佛 道 
X88n1646_001:0181b04	　虔恭秉淨戒　　懺悔從前非　　諦觀法界身	 虔 恭 秉 淨 戒 懺 悔 從 前 非 諦 觀 法 界 身 
X88n1646_001:0181b05	　如幻不思議　　況逢此震旦　　大乘所出處	 如 幻 不 思 議 況 逢 此 震 旦 大 乘 所 出 處 
X88n1646_001:0181b06	　火中生蓮華　　時時現希有　　良哉東林賢	 火 中 生 蓮 華 時 時 現 希 有 良 哉 東 林 賢 
X88n1646_001:0181b07	　善權開方便　　亦有龐與李　　宗教扶雙輪	 善 權 開 方 便 亦 有 龐 與 李 宗 教 扶 雙 輪 
X88n1646_001:0181b08	　傳燈代有人　　如虗空無盡　　今雖末法中	 傳 燈 代 有 人 如 虗 空 無 盡 今 雖 末 法 中 
X88n1646_001:0181b09	　典刑幸未沫　　網羅舊文字　　放此不夜光	 典 刑 幸 未 沫 網 羅 舊 文 字 放 此 不 夜 光 
X88n1646_001:0181b10	　如日月眾星　　昭回四天下　　一多互相攝	 如 日 月 眾 星 昭 回 四 天 下 一 多 互 相 攝 
X88n1646_001:0181b11	　畢入菩提場　　願以此功德　　回施諸有情	 畢 入 菩 提 場 願 以 此 功 德 回 施 諸 有 情 
X88n1646_001:0181b12	　現在及當來　　有緣同聚會　　讀我所著書	 現 在 及 當 來 有 緣 同 聚 會 讀 我 所 著 書 
X88n1646_001:0181b13	　各發無上心　　南無佛陀耶　　同生極樂國	 各 發 無 上 心 南 無 佛 陀 耶 同 生 極 樂 國 
X88n1646_001:0181b20	居士傳目錄	居 士 傳 目 錄 
X88n1646_001:0181b22	傳一	傳 一 
X88n1646_001:0181b23	牟融安元支恭明(支讖　支亮)	牟 融 安 元 支 恭 明 支 讖 支 亮 
X88n1646_001:0181b24	竺叔蘭竺長舒闕公則	竺 叔 蘭 竺 長 舒 闕 公 則 
X88n1646_001:0181c01	孫興公謝慶緒(戴逵)	孫 興 公 謝 慶 緒 戴 逵 
X88n1646_001:0181c02	傳二	傳 二 
X88n1646_001:0181c03	劉遺民	劉 遺 民 
X88n1646_001:0181c04	傳三	傳 三 
X88n1646_001:0181c05	張萊民張秀實王喬之	張 萊 民 張 秀 實 王 喬 之 
X88n1646_001:0181c06	宗少文周道祖雷仲倫	宗 少 文 周 道 祖 雷 仲 倫 
X88n1646_001:0181c07	傳四	傳 四 
X88n1646_001:0181c08	安陽沮渠侯董吉何曇遠	安 陽 沮 渠 侯 董 吉 何 曇 遠 
X88n1646_001:0181c09	魏世子陳參軍劉謙之	魏 世 子 陳 參 軍 劉 謙 之 
X88n1646_001:0181c10	嚴恭(荀生)	嚴 恭 荀 生 
X88n1646_001:0181c11	傳五	傳 五 
X88n1646_001:0181c12	何彥悳(求點　胤)周彥倫到茂灌	何 彥 悳 求 點 胤 周 彥 倫 到 茂 灌 
X88n1646_001:0181c13	裴幾原(劉士深　任孝恭)劉彥和	裴 幾 原 劉 士 深 任 孝 恭 劉 彥 和 
X88n1646_001:0181c14	傅宜事	傅 宜 事 
X88n1646_001:0181c15	傳六	傳 六 
X88n1646_001:0181c16	竟陵文宣王	竟 陵 文 宣 王 
X88n1646_001:0181c17	傳七	傳 七 
X88n1646_001:0181c18	傅大士	傅 大 士 
X88n1646_001:0181c19	傳八	傳 八 
X88n1646_001:0181c20	荊山居士	荊 山 居 士 
X88n1646_001:0181c21	傳九	傳 九 
X88n1646_001:0181c22	昭明太子	昭 明 太 子 
X88n1646_001:0181c23	傳十	傳 十 
X88n1646_001:0181c24	劉靈預明休烈(仲璋　山賓)劉士光(彥度)	劉 靈 預 明 休 烈 仲 璋 山 賓 劉 士 光 彥 度 
X88n1646_001:0182a01	庾彥寶劉宣文(張文逸　阮士宗)	庾 彥 寶 劉 宣 文 張 文 逸 阮 士 宗 
X88n1646_001:0182a02	向居士馮袞李子約	向 居 士 馮 袞 李 子 約 
X88n1646_001:0182a03	傳十一	傳 十 一 
X88n1646_001:0182a04	張洪賑張廷珪(李嶠)辛替否	張 洪 賑 張 廷 珪 李 嶠 辛 替 否 
X88n1646_001:0182a05	傳十二	傳 十 二 
X88n1646_001:0182a06	江含潔劉士烜張孝始	江 含 潔 劉 士 烜 張 孝 始 
X88n1646_001:0182a07	司馬喬卿李觀元紫芝	司 馬 喬 卿 李 觀 元 紫 芝 
X88n1646_001:0182a08	萬敬儒朱康叔吳璋	萬 敬 儒 朱 康 叔 吳 璋 
X88n1646_001:0182a09	吳君平彭信宇高彚旃	吳 君 平 彭 信 宇 高 彚 旃 
X88n1646_001:0182a10	傳十三	傳 十 三 
X88n1646_001:0182a11	李師政梁敬之(李華)裴公美	李 師 政 梁 敬 之 李 華 裴 公 美 
X88n1646_001:0182a12	傳十四	傳 十 四 
X88n1646_001:0182a13	李山龍(史阿誓　薛嚴)樊元智	李 山 龍 史 阿 誓 薛 嚴 樊 元 智 
X88n1646_001:0182a14	牛思遠于昶商居士	牛 思 遠 于 昶 商 居 士 
X88n1646_001:0182a15	鄭牧卿馬子雲陸康成	鄭 牧 卿 馬 子 雲 陸 康 成 
X88n1646_001:0182a16	李知遙	李 知 遙 
X88n1646_001:0182a17	傳十五	傳 十 五 
X88n1646_001:0182a18	李長者	李 長 者 
X88n1646_001:0182a19	傳十六	傳 十 六 
X88n1646_001:0182a20	顏清臣韋城武	顏 清 臣 韋 城 武 
X88n1646_001:0182a21	傳十七	傳 十 七 
X88n1646_001:0182a22	龐居士	龐 居 士 
X88n1646_001:0182a23	傳十八	傳 十 八 
X88n1646_001:0182a24	王敬初陳操甘行者	王 敬 初 陳 操 甘 行 者 
X88n1646_001:0182b01	張秀才	張 秀 才 
X88n1646_001:0182b02	傳十九	傳 十 九 
X88n1646_001:0182b03	王摩詰柳子厚白樂天	王 摩 詰 柳 子 厚 白 樂 天 
X88n1646_001:0182b04	傳二十	傳 二 十 
X88n1646_001:0182b05	楊大年李公武(端愿)	楊 大 年 李 公 武 端 愿 
X88n1646_001:0182b06	傳二十一	傳 二 十 一 
X88n1646_001:0182b07	晁明遠王子正文寬夫	晁 明 遠 王 子 正 文 寬 夫 
X88n1646_001:0182b08	富彥國張安道趙閱道	富 彥 國 張 安 道 趙 閱 道 
X88n1646_001:0182b09	傳二十二	傳 二 十 二 
X88n1646_001:0182b10	楊次公(王仲回)王敏中(葛繁)	楊 次 公 王 仲 回 王 敏 中 葛 繁 
X88n1646_001:0182b11	傳二十三	傳 二 十 三 
X88n1646_001:0182b12	張平叔(王邦叔)	張 平 叔 王 邦 叔 
X88n1646_001:0182b13	傳二十四	傳 二 十 四 
X88n1646_001:0182b14	鍾離瑾(景融松)孫良陸浚	鍾 離 瑾 景 融 松 孫 良 陸 浚 
X88n1646_001:0182b15	張廸孫十二郎馬仲玉(永逸)	張 廸 孫 十 二 郎 馬 仲 玉 永 逸 
X88n1646_001:0182b16	左伸范儼胡達夫	左 伸 范 儼 胡 達 夫 
X88n1646_001:0182b17	孫忭朱進士王無功	孫 忭 朱 進 士 王 無 功 
X88n1646_001:0182b18	王衷吳信叟張掄	王 衷 吳 信 叟 張 掄 
X88n1646_001:0182b19	李秉陸子元閻邦榮	李 秉 陸 子 元 閻 邦 榮 
X88n1646_001:0182b20	錢同伯昝省齋(計公)吳復之	錢 同 伯 昝 省 齋 計 公 吳 復 之 
X88n1646_001:0182b21	陳君璋	陳 君 璋 
X88n1646_001:0182b22	傳二十五	傳 二 十 五 
X88n1646_001:0182b23	劉興臣潘延之許叔矜	劉 興 臣 潘 延 之 許 叔 矜 
X88n1646_001:0182b24	郭功父陳體常吳德夫(王韶)	郭 功 父 陳 體 常 吳 德 夫 王 韶 
X88n1646_001:0182c01	傳二十六	傳 二 十 六 
X88n1646_001:0182c02	蘇子瞻(子由)黃魯直晁无咎(以道)	蘇 子 瞻 子 由 黃 魯 直 晁 无 咎 以 道 
X88n1646_001:0182c03	傳二十七	傳 二 十 七 
X88n1646_001:0182c04	鄭介夫鄒志完江民表	鄭 介 夫 鄒 志 完 江 民 表 
X88n1646_001:0182c05	陳瑩中	陳 瑩 中 
X88n1646_001:0182c06	傳二十八	傳 二 十 八 
X88n1646_001:0182c07	張天覺	張 天 覺 
X88n1646_001:0182c08	傳二十九	傳 二 十 九 
X88n1646_001:0182c09	李伯紀	李 伯 紀 
X88n1646_001:0182c10	傳三十	傳 三 十 
X88n1646_001:0182c11	宗汝霖(陳允昌)張德遠	宗 汝 霖 陳 允 昌 張 德 遠 
X88n1646_001:0182c12	傳三十一	傳 三 十 一 
X88n1646_001:0182c13	李似之(趙表之)李德遠(嚴康朝)	李 似 之 趙 表 之 李 德 遠 嚴 康 朝 
X88n1646_001:0182c14	李漢老馮濟川蔡子應(劉彥脩)	李 漢 老 馮 濟 川 蔡 子 應 劉 彥 脩 
X88n1646_001:0182c15	吳元昭吳十三顏丙	吳 元 昭 吳 十 三 顏 丙 
X88n1646_001:0182c16	呂鐵船葛謙問余放牛	呂 鐵 船 葛 謙 問 余 放 牛 
X88n1646_001:0182c17	張功甫	張 功 甫 
X88n1646_001:0182c18	傳三十二	傳 三 十 二 
X88n1646_001:0182c19	張子韶	張 子 韶 
X88n1646_001:0182c20	傳三十三	傳 三 十 三 
X88n1646_001:0182c21	王虗中(張安國　李彥弼)	王 虗 中 張 安 國 李 彥 弼 
X88n1646_001:0182c22	傳三十四	傳 三 十 四 
X88n1646_001:0182c23	真希元(陳貴謙)吳毅夫	真 希 元 陳 貴 謙 吳 毅 夫 
X88n1646_001:0182c24	傳三十五	傳 三 十 五 
X88n1646_001:0183a01	李純甫(劉謚　沈士榮)王子彧	李 純 甫 劉 謚 沈 士 榮 王 子 彧 
X88n1646_001:0183a02	董國華鄭所南胡汲仲(馮子振)	董 國 華 鄭 所 南 胡 汲 仲 馮 子 振 
X88n1646_001:0183a03	傳三十六	傳 三 十 六 
X88n1646_001:0183a04	耶律晉卿國寶	耶 律 晉 卿 國 寶 
X88n1646_001:0183a05	傳三十七	傳 三 十 七 
X88n1646_001:0183a06	宋景濂	宋 景 濂 
X88n1646_001:0183a07	傳三十八	傳 三 十 八 
X88n1646_001:0183a08	劉祖庭萬民望李文進	劉 祖 庭 萬 民 望 李 文 進 
X88n1646_001:0183a09	王道安薛元初	王 道 安 薛 元 初 
X88n1646_001:0183a10	傳三十九	傳 三 十 九 
X88n1646_001:0183a11	趙大州(小洲)	趙 大 州 小 洲 
X88n1646_001:0183a12	傳四十	傳 四 十 
X88n1646_001:0183a13	嚴敏卿(澂樸澤　拭濟)陸與繩(馮開之　陸伯貞)	嚴 敏 卿 澂 樸 澤 拭 濟 陸 與 繩 馮 開 之 陸 伯 貞 
X88n1646_001:0183a14	傳四十一	傳 四 十 一 
X88n1646_001:0183a15	楊邦華唐體如戈以安	楊 邦 華 唐 體 如 戈 以 安 
X88n1646_001:0183a16	孫叔子朱綱郭大林	孫 叔 子 朱 綱 郭 大 林 
X88n1646_001:0183a17	劉通志郝熈載杜居士	劉 通 志 郝 熈 載 杜 居 士 
X88n1646_001:0183a18	吳大恩吳用卿張愛	吳 大 恩 吳 用 卿 張 愛 
X88n1646_001:0183a19	傳四十二	傳 四 十 二 
X88n1646_001:0183a20	殷時訓陳廷裸顧清甫	殷 時 訓 陳 廷 裸 顧 清 甫 
X88n1646_001:0183a21	朱元正周楚峯蔡槐庭	朱 元 正 周 楚 峯 蔡 槐 庭 
X88n1646_001:0183a22	虞長孺(僧儒)黃平倩莊復真	虞 長 孺 僧 儒 黃 平 倩 莊 復 真 
X88n1646_001:0183a23	鮑性泉	鮑 性 泉 
X88n1646_001:0183a24	傳四十三	傳 四 十 三 
X88n1646_001:0183b01	李卓吾	李 卓 吾 
X88n1646_001:0183b02	傳四十四	傳 四 十 四 
X88n1646_001:0183b03	管登之楊貞復陶周望(奭齡)	管 登 之 楊 貞 復 陶 周 望 奭 齡 
X88n1646_001:0183b04	焦弱侯唐宜之	焦 弱 侯 唐 宜 之 
X88n1646_001:0183b05	瞿元立(朱兆隆　鍾伯敬　玉弱生　平仲　與游　王宇泰　吳體中　應賓	瞿 元 立 朱 兆 隆 鍾 伯 敬 玉 弱 生 平 仲 與 游 王 宇 泰 吳 體 中 應 賓 
X88n1646_001:0183b06	　董元宰)	 董 元 宰 
X88n1646_001:0183b07	傳四十五	傳 四 十 五 
X88n1646_001:0183b08	袁了凡	袁 了 凡 
X88n1646_001:0183b09	傳四十六	傳 四 十 六 
X88n1646_001:0183b10	袁伯修(中郎登)(小修)	袁 伯 修 中 郎 登 小 修 
X88n1646_001:0183b11	傳四十七	傳 四 十 七 
X88n1646_001:0183b12	曾端甫趙凡夫	曾 端 甫 趙 凡 夫 
X88n1646_001:0183b13	劉玉受(楊子澄　維斗　公幹　李子木　徐九一　劉公旦　姚文初)	劉 玉 受 楊 子 澄 維 斗 公 幹 李 子 木 徐 九 一 劉 公 旦 姚 文 初 
X88n1646_001:0183b14	傳四十八	傳 四 十 八 
X88n1646_001:0183b15	王孟夙丁劒虹朱白民(婁子柔)	王 孟 夙 丁 劒 虹 朱 白 民 婁 子 柔 
X88n1646_001:0183b16	莊平叔黃元孚聞子與	莊 平 叔 黃 元 孚 聞 子 與 
X88n1646_001:0183b17	黃子羽錢伯韞吳瞻樓	黃 子 羽 錢 伯 韞 吳 瞻 樓 
X88n1646_001:0183b18	王先民陳用拙駱見於	王 先 民 陳 用 拙 駱 見 於 
X88n1646_001:0183b19	程季清	程 季 清 
X88n1646_001:0183b20	傳四十九	傳 四 十 九 
X88n1646_001:0183b21	周景文姚孟長	周 景 文 姚 孟 長 
X88n1646_001:0183b22	傳五十	傳 五 十 
X88n1646_001:0183b23	馬邦良徐成民	馬 邦 良 徐 成 民 
X88n1646_001:0183b24	傳五十一	傳 五 十 一 
X88n1646_001:0183c01	蔡維立劉長倩黃元公	蔡 維 立 劉 長 倩 黃 元 公 
X88n1646_001:0183c02	黃介子	黃 介 子 
