T85n2902_001:1435c08	法句經疏	法 句 經 疏 
T85n2902_001:1436a24	故云證信序。文中初明證信序。於是眾中已	故 云 證 信 序 文 中 初 明 證 信 序 於 是 眾 中 已 
T85n2902_001:1436a25	下明發起序。初證信者。佛教阿難。一切經初	下 明 發 起 序 初 證 信 者 佛 教 阿 難 一 切 經 初 
T85n2902_001:1436a26	云。如是我聞一時佛在某方某國某處。為某	云 如是我聞 一 時 佛 在 某 方 某 國 某 處 為 某 
T85n2902_001:1436a27	甲等若干人說。經文雖六句則唯三。一為息	甲 等 若 干 人 說 經 文 雖 六 句 則 唯 三 一 為 息 
T85n2902_001:1436a28	諍。二示信相。第三證說。初我聞者。謂阿難	諍 二 示 信 相 第 三 證 說 初 我 聞 者 謂 阿 難 
T85n2902_001:1436a29	對眾陳己飡受。聽說非他故稱為聞。猶是我	對 眾 陳 己 飡 受 聽 說 非 他 故 稱 為 聞 猶 是 我 
T85n2902_001:1436b01	聞也。此則第一息諍法。若出我聞之外。則便	聞 也 此 則 第 一 息 諍 法 若 出 我 聞 之 外 則 便 
T85n2902_001:1436b02	有執。有執則起諍。今言我從佛聞。則明已無	有 執 有 執 則 起 諍 今 言 我 從 佛 聞 則 明 已 無 
T85n2902_001:1436b03	執。彼亦無諍也。又愛有二種。一者我愛。二者	執 彼 亦 無 諍 也 又 愛 有 二 種 一 者 我 愛 二 者 
T85n2902_001:1436b04	法愛。外道出家能斷我愛。不斷法愛。故情有	法 愛 外 道 出 家 能 斷 我 愛 不 斷 法 愛 故 情 有 
T85n2902_001:1436b05	所執。然佛弟子二愛並除。法愛既盡執競都	所 執 然 佛 弟 子 二 愛 並 除 法 愛 既 盡 執 競 都 
T85n2902_001:1436b06	息。始稱我聞存於此也。我有三種。一者見我。	息 始 稱 我 聞 存 於 此 也 我 有 三 種 一 者 見 我 
T85n2902_001:1436b07	二者慢我。三者名字我。阿難既是是無學聖	二 者 慢 我 三 者 名 字 我 阿 難 既 是 是 無 學 聖 
T85n2902_001:1436b08	人。見息惑盡。雖無二我。隨世流布故有名字	人 見 息 惑 盡 雖 無 二 我 隨 世 流 布 故 有 名 字 
T85n2902_001:1436b09	我也。如是者示信相也。明有信之人能入佛	我 也 如 是 者 示 信 相 也 明 有 信 之 人 能 入 佛 
T85n2902_001:1436b10	法。信言此經如是。不信者言此經不如是也。	法 信 言 此 經 如 是 不 信 者 言 此 經 不 如 是 也 
T85n2902_001:1436b11	故肇師言。如是者信順之辭也。夫信則所言	故 肇 師 言 如 是 者 信 順 之 辭 也 夫 信 則 所 言 
T85n2902_001:1436b12	之理順。理順則師資之道成。違之者正言而	之 理 順 理 順 則 師 資 之 道 成 違 之 者 正 言 而 
T85n2902_001:1436b13	致返還。原之路絕雖無豐約非信不傳。故於	致 返 還 原 之 路 絕 雖 無 豐 約 非 信 不 傳 故 於 
T85n2902_001:1436b14	經首創建如是也。一時者。自下時方人三事。	經 首 創 建 如 是 也 一 時 者 自 下 時 方 人 三 事 
T85n2902_001:1436b15	證實非虛。方是說經之處。人謂菩薩等眾。一	證 實 非 虛 方 是 說 經 之 處 人 謂 菩 薩 等 眾 一 
T85n2902_001:1436b16	時者說經時也。於此時中佛說如是經也。又	時 者 說 經 時 也 於 此 時 中 佛 說 如 是 經 也 又 
T85n2902_001:1436b17	法五啟運之日。大眾嘉集之晨。故言一時。婆	法 五 啟 運 之 日 大 眾 嘉 集 之 晨 故 言 一 時 婆 
T85n2902_001:1436b18	伽婆者。標于化主世尊總號也。破煩惱習。種	伽 婆 者 標 于 化 主 世 尊 總 號 也 破 煩 惱 習 種 
T85n2902_001:1436b19	智現前。覺一切法。號曰婆伽婆也。在日月宮	智 現 前 覺 一 切 法 號 曰 婆 伽 婆 也 在 日 月 宮 
T85n2902_001:1436b20	中者。說經處也。下列眾有二。初明純眾。二明	中 者 說 經 處 也 下 列 眾 有 二 初 明 純 眾 二 明 
T85n2902_001:1436b21	雜眾及他方眾也。前中初舉數列名。第二總	雜 眾 及 他 方 眾 也 前 中 初 舉 數 列 名 第 二 總 
T85n2902_001:1436b22	結。菩薩摩訶薩者通號也。若依梵本。應言摩	結 菩薩摩訶薩 者 通 號 也 若 依 梵 本 應 言 摩 
T85n2902_001:1436b23	訶菩提薩埵質搪。摩訶言大。菩提言道。薩埵	訶 菩 提 薩 埵 質 搪 摩 訶 言 大 菩 提 言 道 薩 埵 
T85n2902_001:1436b24	名眾生。質搪言心。謂大道心眾生也。下明雜	名 眾 生 質 搪 言 心 謂 大 道 心 眾 生 也 下 明 雜 
T85n2902_001:1436b25	眾中有二。初明人天眾。亦云出家在家眾。二	眾 中 有 二 初 明 人 天 眾 亦 云 出 家 在 家 眾 二 
T85n2902_001:1436b26	明八部眾也。前中初明出家眾。二明俗眾。言	明 八 部 眾 也 前 中 初 明 出 家 眾 二 明 俗 眾 言 
T85n2902_001:1436b27	比丘比丘尼者出家眾也。釋有四義。一破煩	比 丘 比 丘 尼 者 出 家 眾 也 釋 有 四 義 一 破 煩 
T85n2902_001:1436b28	惱。二持淨戒。三能怖魔。四淨乞食。離四口食	惱 二 持 淨 戒 三 能 怖 魔 四 淨 乞 食 離 四 口 食 
T85n2902_001:1436b29	也。下明俗眾。優婆塞等謂清信男女也。復有	也 下 明 俗 眾 優 婆 塞 等 謂 清 信 男 女 也 復 有 
T85n2902_001:1436c01	大天者梵釋諸天也。下明八部眾。龍有三種。	大 天 者 梵 釋 諸 天 也 下 明 八 部 眾 龍 有 三 種 
T85n2902_001:1436c02	一在地龍。二在虛空。三在海水。之下夜叉。漢	一 在 地 龍 二 在 虛 空 三 在 海 水 之 下 夜 叉 漢 
T85n2902_001:1436c03	言輕捷神。有三種。一在地。二在空。三在下	言 輕 捷 神 有 三 種 一 在 地 二 在 空 三 在 下 
T85n2902_001:1436c04	天。守宮城門。故智度論言。帝釋有九百九	天 守 宮 城 門 故 智 度 論 言 帝 釋 有 九 百 九 
T85n2902_001:1436c05	十九門。門別有十六青衣夜叉守之。地夜叉	十 九 門 門 別 有 十 六 青 衣 夜 叉 守 之 地 夜 叉 
T85n2902_001:1436c06	但以財施故不能飛空。天夜叉。以車馬施故	但 以 財 施 故 不 能 飛 空 天 夜 叉 以 車 馬 施 故 
T85n2902_001:1436c07	能飛行。佛轉法輪時。地夜叉唱。空夜叉聞。	能 飛 行 佛 轉 法 輪 時 地 夜 叉 唱 空 夜 叉 聞 
T85n2902_001:1436c08	空夜叉唱。天空夜叉聞。如是乃至梵天也。神	空 夜 叉 唱 天 空 夜 叉 聞 如 是 乃 至 梵 天 也 神 
T85n2902_001:1436c09	者受善惡雜報。以人天而非人天。其形勝人	者 受 善 惡 雜 報 以 人 天 而 非 人 天 其 形 勝 人 
T85n2902_001:1436c10	而劣天。身輕微難見也。	而 劣 天 身 輕 微 難 見 也 
T85n2902_001:1436c11	自下第二以明發起序。就中有二。初寶明陳	自 下 第 二 以 明 發 起 序 就 中 有 二 初 寶 明 陳 
T85n2902_001:1436c12	昔蒙記請而立名因緣。第二如來正道也。而	昔 蒙 記 請 而 立 名 因 緣 第 二 如 來 正 道 也 而 
T85n2902_001:1436c13	中有三。初承力清而彰己積習所依。言承佛	中 有 三 初 承 力 清 而 彰 己 積 習 所 依 言 承 佛 
T85n2902_001:1436c14	威神者。聖德尊高輒難啟問。自非降神下被。	威 神 者 聖 德 尊 高 輒 難 啟 問 自 非 降 神 下 被 
T85n2902_001:1436c15	無由直請也。燃燈佛者。標其授記之尊。出家	無 由 直 請 也 燃 燈 佛 者 標 其 授 記 之 尊 出 家 
T85n2902_001:1436c16	學道。正明又植善本也。世尊即授下第二明	學 道 正 明 又 植 善 本 也 世 尊 即 授 下 第 二 明 
T85n2902_001:1436c17	記所立名。爾時寶明下第三問名字所由。但	記 所 立 名 爾 時 寶 明 下 第 三 問 名 字 所 由 但 
T85n2902_001:1436c18	寶明今問多為審定其理證成已解。又為請	寶 明 今 問 多 為 審 定 其 理 證 成 已 解 又 為 請 
T85n2902_001:1436c19	首因弘至道。望與時眾共聞深法。故言云何	首 因 弘 至 道 望 與 時 眾 共 聞 深 法 故 言 云 何 
T85n2902_001:1436c20	授我號為寶明乎。下答中。初文外略。明燃燈	授 我 號 為 寶 明 乎 下 答 中 初 文 外 略 明 燃 燈 
T85n2902_001:1436c21	世尊立名遠意。第二就文分別。即明釋迦正	世 尊 立 名 遠 意 第 二 就 文 分 別 即 明 釋 迦 正 
T85n2902_001:1436c22	答。言遠意者。但寶明歷待先佛。功行不虧。	答 言 遠 意 者 但 寶 明 歷 待 先 佛 功 行 不 虧 
T85n2902_001:1436c23	今奉釋迦將隣道記燃燈佛。為遣立所得心	今 奉 釋 迦 將 隣 道 記 燃 燈 佛 為 遣 立 所 得 心 
T85n2902_001:1436c24	假名字以導。如如故復為之彰號。先聖遠意	假 名 字 以 導 如 如 故 復 為 之 彰 號 先 聖 遠 意 
T85n2902_001:1436c25	既存斯旨。今佛釋迦述而不作。還就其所立	既 存 斯 旨 今 佛 釋 迦 述 而 不 作 還 就 其 所 立 
T85n2902_001:1436c26	廣明性空。語破其心事同慈氏。蒙記一生當	廣 明 性 空 語 破 其 心 事 同 慈 氏 蒙 記 一 生 當 
T85n2902_001:1436c27	得阿耨菩提。淨名廣問為用何生得授記乎。	得 阿耨菩提 淨 名 廣 問 為 用 何 生 得 授 記 乎 
T85n2902_001:1436c28	乃至言如者不二不異。云何獨授。仁者當得	乃 至 言 如 者 不 二 不 異 云 何 獨 授 仁 者 當 得 
T85n2902_001:1436c29	菩提也。就文分別者。於中有二。初明為說勅	菩 提 也 就 文 分 別 者 於 中 有 二 初 明 為 說 勅 
T85n2902_001:1437a01	聽思定諦。謂審諦聽。若不審則有謬聞之過。	聽 思 定 諦 謂 審 諦 聽 若 不 審 則 有 謬 聞 之 過 
T85n2902_001:1437a02	聞之不思。便有退。解之真思而不念則文義	聞 之 不 思 便 有 退 解 之 真 思 而 不 念 則 文 義 
T85n2902_001:1437a03	俱喪。良以思而念之則文義並存。聽無不審。	俱 喪 良 以 思 而 念 之 則 文 義 並 存 聽 無 不 審 
T85n2902_001:1437a04	則聞而不謬。故勅諦聽。善思成念之也。下第	則 聞 而 不 謬 故 勅 諦 聽 善 思 成 念 之 也 下 第 
T85n2902_001:1437a05	二明其說意。於中有三。初明聖心等被普洽	二 明 其 說 意 於 中 有 三 初 明 聖 心 等 被 普 洽 
T85n2902_001:1437a06	時機。二說斯決定。下明所說法。言大乘者。如	時 機 二 說 斯 決 定 下 明 所 說 法 言 大 乘 者 如 
T85n2902_001:1437a07	起信論說。大義有三。謂體相用也。三世諸佛	起 信 論 說 大 義 有 三 謂 體 相 用 也 三世諸佛 
T85n2902_001:1437a08	之所遊履運苞眾聖。圓成極果。名曰大乘也。	之 所 遊 履 運 苞 眾 聖 圓 成 極 果 名 曰 大 乘 也 
T85n2902_001:1437a09	三明眾心忻賀。專心頂受。奉教而聽也。上序	三 明 眾 心 忻 賀 專 心 頂 受 奉 教 而 聽 也 上 序 
T85n2902_001:1437a10	分又記。下第二次明正宗。但眾生招品萬殊。	分 又 記 下 第 二 次 明 正 宗 但 眾 生 招 品 萬 殊 
T85n2902_001:1437a11	藉悟多端。大悲俯應。說有兩會不同。文中有	藉 悟 多 端 大 悲 俯 應 說 有 兩 會 不 同 文 中 有 
T85n2902_001:1437a12	三。初從此文終至世尊傷嘆已來。正為此土	三 初 從 此 文 終 至 世 尊 傷 嘆 已 來 正 為 此 土 
T85n2902_001:1437a13	及餘方機緣已熟者。初會說法。第二於是東	及 餘 方 機 緣 已 熟 者 初 會 說 法 第 二 於 是 東 
T85n2902_001:1437a14	方已下。次為寶至世界普光大眾。第二會說。	方 已 下 次 為 寶 至 世 界 普 光 大 眾 第 二 會 說 
T85n2902_001:1437a15	第三佛說經已普光得忍下。明二出時眾聞	第 三 佛 說 經 已 普 光 得 忍 下 明 二 出 時 眾 聞 
T85n2902_001:1437a16	法獲益也。前初會中文有四節。初正酬寶明	法 獲 益 也 前 初 會 中 文 有 四 節 初 正 酬 寶 明 
T85n2902_001:1437a17	所請。第二菩薩欲得阿耨菩提已下。因言顯	所 請 第 二 菩 薩 欲 得 阿耨菩提 已 下 因 言 顯 
T85n2902_001:1437a18	理。廣明十八界空。第三一切眾生欲得菩提	理 廣 明 十 八 界 空 第 三 一 切 眾 生 欲 得 菩 提 
T85n2902_001:1437a19	已下。勸近善友。第四於是已下寶明大眾聞	已 下 勸 近 善 友 第 四 於 是 已 下 寶 明 大 眾 聞 
T85n2902_001:1437a20	法慶喜也。良以眾生無始已來尋名執義。起	法 慶 喜 也 良 以 眾 生 無始已來 尋 名 執 義 起 
T85n2902_001:1437a21	或為業。輪迴生死。爾來不息。自非專修正	或 為 業 輪迴生死 爾 來 不 息 自 非 專 修 正 
T85n2902_001:1437a22	觀。冥心至理善友良緣義無得返。所以勸觀	觀 冥 心 至 理 善 友 良 緣 義 無 得 返 所 以 勸 觀 
T85n2902_001:1437a23	名義性空并近善友也。初文有二。初正說名	名 義 性 空 并 近 善 友 也 初 文 有 二 初 正 說 名 
T85n2902_001:1437a24	字空義。第二作是觀下明觀之利益。初文復	字 空 義 第 二 作 是 觀 下 明 觀 之 利 益 初 文 復 
T85n2902_001:1437a25	二。初正勸觀。第二善男子若名字已下。次勸	二 初 正 勸 觀 第 二 善 男 子 若 名 字 已 下 次 勸 
T85n2902_001:1437a26	捨著。前文有三。初勸。次觀。第三結也。初云	捨 著 前 文 有 三 初 勸 次 觀 第 三 結 也 初 云 
T85n2902_001:1437a27	且觀者。將以如通聖凡窮上。所以前觀佛名。	且 觀 者 將 以 如 通 聖 凡 窮 上 所 以 前 觀 佛 名 
T85n2902_001:1437a28	後方類釋也。下正觀中初明名不定有二。明	後 方 類 釋 也 下 正 觀 中 初 明 名 不 定 有 二 明 
T85n2902_001:1437a29	非無但名無自體託法而生。若有而為實者。	非 無 但 名 無 自 體 託 法 而 生 若 有 而 為 實 者 
T85n2902_001:1437b01	直說食名聞便已足。何待進而方飽。故云說	直 說 食 名 聞 便 已 足 何 待 進 而 方 飽 故 云 說 
T85n2902_001:1437b02	食與人應得充飽也。下第二明非無者。上辯	食 與 人 應 得 充 飽 也 下 第 二 明 非 無 者 上 辯 
T85n2902_001:1437b03	名依義立。不可為有此。明義復依名。不可	名 依 義 立 不 可 為 有 此 明 義 復 依 名 不 可 
T85n2902_001:1437b04	為無也。文中初明佛智窮原。言不空者。若名	為 無 也 文 中 初 明 佛 智 窮 原 言 不 空 者 若 名 
T85n2902_001:1437b05	字定無空記何為故。言若字無者。不授我記	字 定 無 空 記 何 為 故 言 若 字 無 者 不 授 我 記 
T85n2902_001:1437b06	及汝名也。二若名字定無便無授者。不應得	及 汝 名 也 二 若 名 字 定 無 便 無 授 者 不 應 得 
T85n2902_001:1437b07	佛。然昔蒙受記。今登正覺。寶明名字目義非	佛 然 昔 蒙 受 記 今 登 正 覺 寶 明 名 字 目 義 非 
T85n2902_001:1437b08	虛。何得定無。故云如無授者我不應得佛也。	虛 何 得 定 無 故 云 如 無 授 者 我 不 應 得 佛 也 
T85n2902_001:1437b09	第三總結云。當知字句其以久如者。論實夫	第 三 總 結 云 當 知 字 句 其 以 久 如 者 論 實 夫 
T85n2902_001:1437b10	如也。不二不異。異便定意二即定無。良由非	如 也 不 二 不 異 異 便 定 意 二 即 定 無 良 由 非 
T85n2902_001:1437b11	定有故。隨目何義不異。一切非定無故墮恒	定 有 故 隨 目 何 義 不 異 一 切 非 定 無 故 墮 恒 
T85n2902_001:1437b12	召法未曾同彼。未曾同故無定所屬。不異一	召 法 未 曾 同 彼 未 曾 同 故 無 定 所 屬 不 異 一 
T85n2902_001:1437b13	切故備題諸法也。下勸捨著也。但寶明雖復	切 故 備 題 諸 法 也 下 勸 捨 著 也 但 寶 明 雖 復 
T85n2902_001:1437b14	久存學道。良未洞達音聲法門。於善惡言下	久 存 學 道 良 未 洞 達 音 聲 法 門 於 善 惡 言 下 
T85n2902_001:1437b15	猶難取捨。蒙佛授記。情生踴躍。今明毀譽等	猶 難 取 捨 蒙 佛 授 記 情 生 踴 躍 今 明 毀 譽 等 
T85n2902_001:1437b16	法。其唯是聲。聲類緣生究竟空寂。豈容善惡	法 其 唯 是 聲 聲 類 緣 生 究 竟 空 寂 豈 容 善 惡 
T85n2902_001:1437b17	於其間來。文中有二。初舉所觀境。第二若遇	於 其 間 來 文 中 有 二 初 舉 所 觀 境 第 二 若 遇 
T85n2902_001:1437b18	已下對境修觀。正明捨著。前中初牒。次勸。後	已 下 對 境 修 觀 正 明 捨 著 前 中 初 牒 次 勸 後 
T85n2902_001:1437b19	復釋。勸中八風之內略舉二條。則是違順兩	復 釋 勸 中 八 風 之 內 略 舉 二 條 則 是 違 順 兩 
T85n2902_001:1437b20	緣。違中有二。初毀呰誹謗經辱。以加良善譏	緣 違 中 有 二 初 毀 呰 誹 謗 經 辱 以 加 良 善 譏 
T85n2902_001:1437b21	呵一種。小過則重為譏責也。下明順意輕微	呵 一 種 小 過 則 重 為 譏 責 也 下 明 順 意 輕 微 
T85n2902_001:1437b22	之德。越分稱揚名曰讚譽。此皆不實。如空谷	之 德 越 分 稱 揚 名 曰 讚 譽 此 皆 不 實 如 空 谷 
T85n2902_001:1437b23	響。眾生不了。妄謂為有。理觀既無。何瞋何喜。	響 眾 生 不 了 妄 謂 為 有 理 觀 既 無 何 瞋 何 喜 
T85n2902_001:1437b24	下對境修中有二。初明遇境興觀拆之歸空。	下 對 境 修 中 有 二 初 明 遇 境 興 觀 拆 之 歸 空 
T85n2902_001:1437b25	故言此音聲者。為大為小乃至都無所得也。	故 言 此 音 聲 者 為 大 為 小 乃 至 都 無 所 得 也 
T85n2902_001:1437b26	故智論言。風名憂檀那。觸臍而上出。是風七	故 智 論 言 風 名 憂 檀 那 觸 臍 而 上 出 是 風 七 
T85n2902_001:1437b27	處觸。頂及齗齒唇舌咽及以胸。是中語言生。	處 觸 頂 及 齗 齒 唇 舌 咽 及 以 胸 是 中 語 言 生 
T85n2902_001:1437b28	凡夫不知此。或著起瞋癡也。若無所得下。第	凡 夫 不 知 此 或 著 起 瞋 癡 也 若 無 所 得 下 第 
T85n2902_001:1437b29	二正勸捨著聲既自空。毀譽不實。云何妄生	二 正 勸 捨 著 聲 既 自 空 毀 譽 不 實 云 何 妄 生 
T85n2902_001:1437c01	瞋喜之心也。下第二觀益中有三。初法。次喻。	瞋 喜 之 心 也 下 第 二 觀 益 中 有 三 初 法 次 喻 
T85n2902_001:1437c02	後合。前中初牒上事。修觀立衣招勝果。故言	後 合 前 中 初 牒 上 事 修 觀 立 衣 招 勝 果 故 言 
T85n2902_001:1437c03	作是觀已乃至當得菩提。阿之言無。耨多羅	作 是 觀 已 乃 至 當 得 菩 提 阿 之 言 無 耨 多 羅 
T85n2902_001:1437c04	言上。三稱正。藐之言真。三又云正。菩提稱	言 上 三 稱 正 藐 之 言 真 三 又 云 正 菩 提 稱 
T85n2902_001:1437c05	道。即是無上菩提正真之道也。何以故下第	道 即 是 無上菩提 正 真 之 道 也 何 以 故 下 第 
T85n2902_001:1437c06	二釋。良由萬法性空。虛通曰道。觀聲亦爾。	二 釋 良 由 萬 法 性 空 虛 通 曰 道 觀 聲 亦 爾 
T85n2902_001:1437c07	何為不證也下明喻合兩文。纔相飛空睡乃	何 為 不 證 也 下 明 喻 合 兩 文 纔 相 飛 空 睡 乃 
T85n2902_001:1437c08	騰虛菩提久現則功不唐捐。故言菩薩觀空	騰 虛 菩 提 久 現 則 功 不 唐 捐 故 言 菩 薩 觀 空 
T85n2902_001:1437c09	衣得證也。自下第二次觀界空也。內六根外	衣 得 證 也 自 下 第 二 次 觀 界 空 也 內 六 根 外 
T85n2902_001:1437c10	六塵中間六識合為十八。文中有三。初明厭	六 塵 中 間 六 識 合 為 十 八 文 中 有 三 初 明 厭 
T85n2902_001:1437c11	背生死衣。須高栖空理。勸之修觀令斷諸或。	背 生 死 衣 須 高 栖 空 理 勸 之 修 觀 令 斷 諸 或 
T85n2902_001:1437c12	第二譬如陽炎已下。明理隱難彰。借喻為況。	第 二 譬 如 陽 炎 已 下 明 理 隱 難 彰 借 喻 為 況 
T85n2902_001:1437c13	第三諸有智者已下。結觀修行。明觀所成益。	第 三 諸 有 智 者 已 下 結 觀 修 行 明 觀 所 成 益 
T85n2902_001:1437c14	前中有三。初舉果勸行其因。第二或有眾生	前 中 有 三 初 舉 果 勸 行 其 因 第 二 或 有 眾 生 
T85n2902_001:1437c15	已下。明觀修意。第三眼不自見已下。正明	已 下 明 觀 修 意 第 三 眼 不 自 見 已 下 正 明 
T85n2902_001:1437c16	修觀廣辯空義。前中復三。初舉果勸修。正明	修 觀 廣 辯 空 義 前 中 復 三 初 舉 果 勸 修 正 明 
T85n2902_001:1437c17	菩提體狀。第二寶明請問。第三佛言下答也。	菩 提 體 狀 第 二 寶 明 請 問 第 三 佛 言 下 答 也 
T85n2902_001:1437c18	問曰。三事本空非今始空。體即菩提。無勞	問 曰 三 事 本 空 非 今 始 空 體 即 菩 提 無 勞 
