X26n0567_001:0929a03	摩訶般若波羅蜜多心經	摩訶般若波羅蜜 多 心 經 
X26n0567_001:0929c05	此承觀自在菩薩所行甚深般若體用。以召□□	此 承 觀 自 在 菩薩所行 甚 深 般 若 體 用 以 召 
X26n0567_001:0929c06	□子而授之。佛以無有聽者。終無有說。故特告□	 子 而 授 之 佛 以 無 有 聽 者 終 無 有 說 故 特 告 
X26n0567_001:0929c07	□□言顯示令一切凡眾。皆知自有甚深般若。非	 言 顯 示 令 一 切 凡 眾 皆 知 自 有 甚 深 般 若 非 
X26n0567_001:0929c08	第一智慧身子。不能修也。色不異空以下二十四	第 一 智 慧 身 子 不 能 修 也 色不異空 以 下 二 十 四 
X26n0567_001:0929c09	言□□□機頓悟頓證甚深般若妙旨謂舍利子	言 機 頓 悟 頓 證 甚 深 般 若 妙 旨 謂 舍 利 子 
X26n0567_001:0929c10	所說照見五蘊皆空者。是何五蘊。謂即是色不異	所 說 照 見 五 蘊 皆 空 者 是 何 五 蘊 謂 即 是 色 不 異 
X26n0567_001:0929c11	空。空不異色。色即是空。空即是色。又謂汝既已知	空 空不異色 色 即 是 空 空 即 是 色 又 謂 汝 既 已 知 
X26n0567_001:0929c12	蘊空之初。堅固色體。如是而已即知虗名之受。融	蘊 空 之 初 堅 固 色 體 如 是 而 已 即 知 虗 名 之 受 融 
X26n0567_001:0929c13	通之想。幽隱之行。罔象之識。亦復如是也。	通 之 想 幽 隱 之 行 罔 象 之 識 亦復如是 也 
X26n0567_001:0929c14	舍利子。是諸法空相。不生不滅。不垢不淨。不增不減。	舍 利 子 是 諸 法 空 相 不生不滅 不垢不淨 不增不減 
X26n0567_001:0929c15	是故空中。無色。無受想行識。無眼耳鼻舌身意。無色	是 故 空 中 無 色 無 受 想 行 識 無 眼 耳 鼻 舌 身 意 無 色 
X26n0567_001:0929c16	聲香味觸法。無眼界。乃至無意識界。無無明。亦無無	聲香味觸 法 無 眼 界 乃 至 無 意 識 界 無 無 明 亦 無 無 
X26n0567_001:0929c17	明盡。乃至無老死。亦無老死盡。無苦集滅道。無智亦	明 盡 乃 至 無 老 死 亦 無 老 死 盡 無 苦集滅道 無 智 亦 
X26n0567_001:0929c18	無得。	無 得 
X26n0567_001:0929c19	此一段總說五蘊以擴充諸法。同一真空實相圓	此 一 段 總 說 五 蘊 以 擴 充 諸 法 同 一 真 空 實 相 圓 
X26n0567_001:0929c20	明心體。本無生滅垢淨。聖凡增減惑智等法也。是	明 心 體 本 無 生 滅 垢 淨 聖 凡 增 減 惑 智 等 法 也 是 
X26n0567_001:0929c21	□□前五蘊諸法。由空觀中。照見聖凡等法。纖毫	 前 五 蘊 諸 法 由 空 觀 中 照 見 聖 凡 等 法 纖 毫 
X26n0567_001:0929c22	絕迹無有少法不是實相。故云是諸法空相。不生	絕 迹 無 有 少 法 不 是 實 相 故 云 是 諸 法 空 相 不 生 
X26n0567_001:0929c23	者。□□□所有俱是妄想。一切諸法。俱是幻言。心	者 所 有 俱 是 妄 想 一切諸法 俱 是 幻 言 心 
X26n0567_001:0929c24	生即□□□即佛亦無佛無不佛。無生無不生。不	生 即 即 佛 亦 無 佛 無 不 佛 無 生 無 不 生 不 
X26n0567_001:0930a01	滅者。□□□□法無一不是真空般若。本無有生。	滅 者 法 無 一 不 是 真 空 般 若 本 無 有 生 
X26n0567_001:0930a02	又何可滅。□□□云。云何說諸蘊。諸蘊何有性。蘊	又 何 可 滅 云 云 何 說 諸 蘊 諸 蘊 何 有 性 蘊 
X26n0567_001:0930a03	性不可滅。是故說無生。分別此諸蘊。其性本空寂。	性 不 可 滅 是 故 說 無 生 分 別 此 諸 蘊 其 性 本 空 寂 
X26n0567_001:0930a04	空故不可滅。此是無生義。眾生既如是。諸佛亦復	空 故 不 可 滅 此 是 無 生 義 眾 生 既 如 是 諸 佛 亦 復 
X26n0567_001:0930a05	然。佛及諸佛法。自性無所有。平等同一相。即是不	然 佛 及 諸 佛 法 自 性 無 所 有 平 等 同 一 相 即 是 不 
X26n0567_001:0930a06	滅義。故曰不生不滅也。不垢者。謂真空法性。本無	滅 義 故 曰 不生不滅 也 不 垢 者 謂 真 空 法 性 本 無 
X26n0567_001:0930a07	有染。何垢之有。大經云。如淨摩尼寶。本性無染垢。	有 染 何 垢 之 有 大 經 云 如 淨 摩 尼 寶 本 性 無 染 垢 
X26n0567_001:0930a08	隨緣生諸蘊。不為蘊所覆。譬如青蓮華。雖居於淤	隨 緣 生 諸 蘊 不 為 蘊 所 覆 譬 如 青 蓮 華 雖 居 於 淤 
X26n0567_001:0930a09	泥。根性恒清淨。故云不垢也。不淨者。謂諸佛雖知	泥 根 性 恒 清 淨 故 云 不 垢 也 不 淨 者 謂 諸 佛 雖 知 
X26n0567_001:0930a10	自性本來清淨。於清淨法中。無有一念可淨。故云	自 性 本 來 清 淨 於 清 淨 法 中 無 有 一 念 可 淨 故 云 
X26n0567_001:0930a11	不淨也。不增不減者。謂法性既同。設一切眾生。一	不 淨 也 不增不減 者 謂 法 性 既 同 設 一 切 眾 生 一 
X26n0567_001:0930a12	時成佛。生界不減。佛界不增也。是故空中者。承上	時 成 佛 生 界 不 減 佛 界 不 增 也 是 故 空 中 者 承 上 
X26n0567_001:0930a13	無垢淨增減般若心體。而標出所以諸法之名。謂	無 垢 淨 增 減 般 若 心 體 而 標 出 所 以 諸 法 之 名 謂 
X26n0567_001:0930a14	何等諸法。即是無色受想行識等。真空體中。既無	何 等 諸 法 即 是 無 色 受 想 行 識 等 真 空 體 中 既 無 
X26n0567_001:0930a15	五蘊色心。焉有六根。故曰無眼耳鼻舌身意。既無	五 蘊 色 心 焉 有 六 根 故 曰 無 眼 耳 鼻 舌 身 意 既 無 
X26n0567_001:0930a16	六根。則知內根寂寂。外境如如。何有色蘊六塵。故	六 根 則 知 內 根 寂 寂 外 境 如 如 何 有 色 蘊 六 塵 故 
X26n0567_001:0930a17	曰無色聲香味觸法。有根方有境。境具方發識。既	曰 無 色聲香味觸 法 有 根 方 有 境 境 具 方 發 識 既 
X26n0567_001:0930a18	然根境尚無。則所發識界。從何而有。故云無眼界。	然 根 境 尚 無 則 所 發 識 界 從 何 而 有 故 云 無 眼 界 
X26n0567_001:0930a19	乃至無意識界。真空實相體中。本無凡夫等法。則	乃 至 無 意 識 界 真 空 實 相 體 中 本 無 凡 夫 等 法 則 
X26n0567_001:0930a20	三乘之法。從何而有。若在大乘。說惟心為因。癡愛	三 乘 之 法 從 何 而 有 若 在 大 乘 說 惟 心 為 因 癡 愛 
X26n0567_001:0930a21	為緣。若在小乘說癡愛為因。業等為緣。今真空絕	為 緣 若 在 小 乘 說 癡 愛 為 因 業 等 為 緣 今 真 空 絕 
X26n0567_001:0930a22	相。心境兩忘。直顯本體。故曰無無明。既然真空體	相 心 境 兩 忘 直 顯 本 體 故 曰 無 無 明 既 然 真 空 體 
X26n0567_001:0930a23	中。本無流轉之無明。又以何無明而盡哉。故曰亦	中 本 無 流 轉 之 無 明 又 以 何 無 明 而 盡 哉 故 曰 亦 
X26n0567_001:0930a24	無無明盡。生死苦。因無明而起。可剪可除。貪愛垢。	無 無 明 盡 生 死 苦 因 無 明 而 起 可 剪 可 除 貪 愛 垢 
X26n0567_001:0930b01	從妄想而生。可塞可拔。塞拔由乎性假。除翦由乎	從 妄 想 而 生 可 塞 可 拔 塞 拔 由 乎 性 假 除 翦 由 乎 
X26n0567_001:0930b02	體妄。知體妄者。息妄而證涅槃。達性假者。棄假而	體 妄 知 體 妄 者 息 妄 而 證 涅 槃 達 性 假 者 棄 假 而 
X26n0567_001:0930b03	歸寂滅。於是控御一乘。浮航六度。出生死苦海。越	歸 寂 滅 於 是 控 御 一 乘 浮 航 六 度 出 生 死 苦 海 越 
X26n0567_001:0930b04	火宅樊籠。逈登般若之臺。妙入涅槃之苑。湛然常	火 宅 樊 籠 逈 登 般 若 之 臺 妙 入 涅 槃 之 苑 湛 然 常 
X26n0567_001:0930b05	樂與虗空而並存。嶷爾圓明。混境智而雙寂。是故	樂 與 虗 空 而 並 存 嶷 爾 圓 明 混 境 智 而 雙 寂 是 故 
X26n0567_001:0930b06	空中本無三行之因。何有二種之果。故曰無老死。	空 中 本 無 三 行 之 因 何 有 二 種 之 果 故 曰 無 老 死 
X26n0567_001:0930b07	真空之中既無流轉之果。則斷無明之因。生死苦	真 空 之 中 既 無 流 轉 之 果 則 斷 無 明 之 因 生 死 苦 
X26n0567_001:0930b08	果方盡。無復繫累。永絕生死之鄉。獨澄無為。蕭然	果 方 盡 無 復 繫 累 永 絕 生 死 之 鄉 獨 澄 無 為 蕭 然 
X26n0567_001:0930b09	淡泊。即煩惱而為大悲之因。即生死而為大悲之	淡 泊 即 煩 惱 而 為 大 悲 之 因 即 生 死 而 為 大 悲 之 
X26n0567_001:0930b10	緣。於此因緣。當體即是妙有真空。何有還滅老死	緣 於 此 因 緣 當 體 即 是 妙 有 真 空 何 有 還 滅 老 死 
X26n0567_001:0930b11	而盡哉。故曰亦無老死盡。上為中根所修因緣等	而 盡 哉 故 曰 亦 無 老 死 盡 上 為 中 根 所 修 因 緣 等 
X26n0567_001:0930b12	法。於真空實相體中。本無所有。則知下根所修四	法 於 真 空 實 相 體 中 本 無 所 有 則 知 下 根 所 修 四 
X26n0567_001:0930b13	諦等法。焉有實哉。故曰無苦集滅道。苦以逼迫為	諦 等 法 焉 有 實 哉 故 曰 無 苦集滅道 苦 以 逼 迫 為 
X26n0567_001:0930b14	義。集以增長生死為事。滅以無累為名。道以除患	義 集 以 增 長 生 死 為 事 滅 以 無 累 為 名 道 以 除 患 
X26n0567_001:0930b15	為功。所以二乘有苦可知。有集可斷。有滅可證。有	為 功 所 以 二 乘 有 苦 可 知 有 集 可 斷 有 滅 可 證 有 
X26n0567_001:0930b16	道可修。迷則苦集生而真道滅。悟則苦集滅而真	道 可 修 迷 則 苦 集 生 而 真 道 滅 悟 則 苦 集 滅 而 真 
X26n0567_001:0930b17	道生。今般若觀智。頓然五蘊皆空。頓斷生死苦厄。	道 生 今 般 若 觀 智 頓 然 五 蘊 皆 空 頓 斷 生 死 苦 厄 
X26n0567_001:0930b18	故云無苦集滅道也。無智者。從凡夫起智破惑。乃	故 云 無 苦集滅道 也 無 智 者 從 凡 夫 起 智 破 惑 乃 
X26n0567_001:0930b19	至聲聞緣覺自然智。無師智。菩薩一切智佛果一	至 聲 聞 緣 覺 自 然 智 無 師 智 菩 薩 一 切 智 佛 果 一 
X26n0567_001:0930b20	切種智。真空理中。本無一照。故云無智也。無得者。	切 種 智 真 空 理 中 本 無 一 照 故 云 無 智 也 無 得 者 
X26n0567_001:0930b21	亦從凡夫所得。乃至諸佛所證法界真理。於般若	亦 從 凡 夫 所 得 乃 至 諸 佛 所 證 法 界 真 理 於 般 若 
X26n0567_001:0930b22	真空尚空空也。何理可得乎。故佛頂云知見無見。	真 空 尚 空 空 也 何 理 可 得 乎 故 佛 頂 云 知 見 無 見 
X26n0567_001:0930b23	斯即涅槃。故云無得也。	斯 即 涅 槃 故 云 無 得 也 
X26n0567_001:0930b24	以無所得故。菩提薩埵。依般若波羅蜜多故。心無罣	以 無 所 得 故 菩 提 薩 埵 依 般 若 波羅蜜多 故 心 無 罣 
X26n0567_001:0930c01	礙。無罣礙故。無有恐怖。遠離顛倒夢想。空竟涅槃。	礙 無 罣 礙 故 無 有 恐 怖 遠 離 顛 倒 夢 想 空 竟 涅 槃 
X26n0567_001:0930c02	無所得故者。以真空體中。無有少法可得。即是一	無 所 得 故 者 以 真 空 體 中 無 有 少 法 可 得 即 是 一 
X26n0567_001:0930c03	切諸佛菩薩不生不滅。故中論云。諸佛說空法。為	切 諸佛菩薩 不生不滅 故 中 論 云 諸 佛 說 空 法 為 
X26n0567_001:0930c04	離於有見。若復見有空。諸佛所不化。故知非有非	離 於 有 見 若 復 見 有 空 諸 佛 所 不 化 故 知 非 有 非 
X26n0567_001:0930c05	無。非無非有。又云。無中無有二。無二亦復無。三界	無 非 無 非 有 又 云 無 中 無 有 二 無 二 亦 復 無 三 界 
X26n0567_001:0930c06	一切空。是則諸佛見。此即以無所得故也。菩提薩	一 切 空 是 則 諸 佛 見 此 即 以 無 所 得 故 也 菩 提 薩 
X26n0567_001:0930c07	埵者。即觀自在是也。依般若波羅蜜多者。即依此	埵 者 即 觀 自 在 是 也 依 般 若 波羅蜜多 者 即 依 此 
X26n0567_001:0930c08	無所得而得行深般若。至度一切苦厄者也。由依	無 所 得 而 得 行 深 般 若 至 度 一 切 苦 厄 者 也 由 依 
X26n0567_001:0930c09	此甚深般若。故下纔得心無罣礙等功效。心無罣	此 甚 深 般 若 故 下 纔 得 心 無 罣 礙 等 功 效 心 無 罣 
X26n0567_001:0930c10	礙者。謂菩提薩埵。依此甚深般若。所以空一有即	礙 者 謂 菩 提 薩 埵 依 此 甚 深 般 若 所 以 空 一 有 即 
X26n0567_001:0930c11	絕。心方行隨滅。經云了知諸法性空寂。如鳥飛空	絕 心 方 行 隨 滅 經 云 了 知 諸 法 性 空 寂 如 鳥 飛 空 
X26n0567_001:0930c12	無有迹。心行隨滅。不礙於相。故云心無罣礙也。無	無 有 迹 心 行 隨 滅 不 礙 於 相 故 云 心 無 罣 礙 也 無 
X26n0567_001:0930c13	有恐怖者。以菩薩依甚深般若。得心無罣礙之故。	有 恐 怖 者 以 菩 薩 依 甚 深 般 若 得 心 無 罣 礙 之 故 
X26n0567_001:0930c14	所以不同凡夫為三毒驅役。起惑造業。生有無量	所 以 不 同 凡 夫 為 三 毒 驅 役 起 惑 造 業 生 有 無 量 
X26n0567_001:0930c15	驚恐。死有無量怕怖。法界之內。凡屬有知。無能免	驚 恐 死 有 無 量 怕 怖 法 界 之 內 凡 屬 有 知 無 能 免 
X26n0567_001:0930c16	者。亦不同二乘之人。畏三界生死之恐懼佛道長	者 亦 不 同 二 乘 之 人 畏 三 界 生 死 之 恐 懼 佛 道 長 
X26n0567_001:0930c17	遠。久受勤苦之怖。又不同道前菩薩。於真空而有	遠 久 受 勤 苦 之 怖 又 不 同 道 前 菩 薩 於 真 空 而 有 
X26n0567_001:0930c18	三疑之恐。畏佛果難以疾證之怖。由是菩薩。以緣	三 疑 之 恐 畏 佛 果 難 以 疾 證 之 怖 由 是 菩 薩 以 緣 
X26n0567_001:0930c19	心自在。圓照法界。如是多種恐怖俱悉離之。故曰	心 自 在 圓 照 法 界 如 是 多 種 恐 怖 俱 悉 離 之 故 曰 
X26n0567_001:0930c20	無有恐怖者也。遠離顛倒夢想者。經云。於諸世閒	無 有 恐 怖 者 也 遠 離 顛 倒 夢 想 者 經 云 於 諸 世 閒 
X26n0567_001:0930c21	法。不生分別見。善離分別者。亦不見分別。無量無	法 不 生 分 別 見 善 離 分 別 者 亦 不 見 分 別 無 量 無 
X26n0567_001:0930c22	數劫。解之即一念。知念亦無念。如是見世閒。無量	數 劫 解 之 即 一 念 知 念 亦 無 念 如 是 見 世 閒 無 量 
X26n0567_001:0930c23	諸國土。一念悉超越。經於無量劫。不動於本處。由	諸 國 土 一 念 悉 超 越 經 於 無 量 劫 不 動 於 本 處 由 
X26n0567_001:0930c24	是自在者。因離顛倒見。又謂世閒出世閒。聖凡染	是 自 在 者 因 離 顛 倒 見 又 謂 世 閒 出 世 閒 聖 凡 染 
X26n0567_001:0931a01	淨。雖有多種差別。其實能想之念。所想之境。俱為	淨 雖 有 多 種 差 別 其 實 能 想 之 念 所 想 之 境 俱 為 
X26n0567_001:0931a02	一夢想。普賢行品云。了達諸世閒。假名無有實。眾	一 夢 想 普 賢 行 品 云 了 達 諸 世 閒 假 名 無 有 實 眾 
X26n0567_001:0931a03	生及世界。如夢如光影。此因眾生未能了達五蘊	生 及 世 界 如 夢 如 光 影 此 因 眾 生 未 能 了 達 五 蘊 
X26n0567_001:0931a04	色心等法如夢故。不能遠離夢想。今菩薩了達眾	色 心 等 法 如 夢 故 不 能 遠 離 夢 想 今 菩 薩 了 達 眾 
X26n0567_001:0931a05	生實法如夢影等。則何夢想而不遠乎。故云。遠離	生 實 法 如 夢 影 等 則 何 夢 想 而 不 遠 乎 故 云 遠 離 
X26n0567_001:0931a06	顛倒夢想也。究竟涅槃者。承上般若無所得之功。	顛 倒 夢 想 也 究竟涅槃 者 承 上 般 若 無 所 得 之 功 
X26n0567_001:0931a07	遠離顛倒夢想之效。以證涅槃。究者窮究。竟者畢	遠 離 顛 倒 夢 想 之 效 以 證 涅 槃 究 者 窮 究 竟 者 畢 
X26n0567_001:0931a08	竟。涅者不生。槃者不滅。因自在菩薩窮究生死畢	竟 涅 者 不 生 槃 者 不 滅 因 自 在 菩 薩 窮 究 生 死 畢 
X26n0567_001:0931a09	竟之地。即是不生不滅之涅槃。故曰究竟涅槃。	竟 之 地 即 是 不生不滅 之 涅 槃 故 曰 究竟涅槃 
X26n0567_001:0931a10	三世諸佛。依般若波羅蜜多故。得阿耨多羅三藐三	三世諸佛 依 般 若 波羅蜜多 故 得 阿 耨 多 羅 三 藐 三 
X26n0567_001:0931a11	菩提。	菩 提 
X26n0567_001:0931a12	三世諸佛。總攝三際。統該十方。依般若至得菩提。	三世諸佛 總 攝 三 際 統 該 十 方 依 般 若 至 得 菩 提 
X26n0567_001:0931a13	總言法界諸佛。得菩提者。莫不由斯依深般若而	總 言 法 界 諸 佛 得 菩 提 者 莫 不 由 斯 依 深 般 若 而 
X26n0567_001:0931a14	得也。阿耨多羅三藐三菩提。梵語。華言無上正等	得 也 阿耨多羅三藐三菩提 梵 語 華 言 無 上 正 等 
X26n0567_001:0931a15	正覺。謂真性也。以真性無得而上之。故云無上。然	正 覺 謂 真 性 也 以 真 性 無 得 而 上 之 故 云 無 上 然 
X26n0567_001:0931a16	上自諸佛。下至蠢動。此性正相平等。故云正等。其	上 自 諸 佛 下 至 蠢 動 此 性 正 相 平 等 故 云 正 等 其 
X26n0567_001:0931a17	覺性。不為業染纏縛不墮邪妄。故云正覺。得此性	覺 性 不 為 業 染 纏 縛 不 墮 邪 妄 故 云 正 覺 得 此 性 
X26n0567_001:0931a18	者。為得佛果。故三世諸佛。皆依甚深般若。而得阿	者 為 得 佛 果 故 三世諸佛 皆 依 甚 深 般 若 而 得 阿 
X26n0567_001:0931a19	耨多羅三藐三菩提。	耨 多 羅 三藐三菩提 
X26n0567_001:0931a20	故知般若波羅蜜多。是大神呪。是大明呪。是無上呪。	故 知 般 若 波羅蜜多 是 大 神 呪 是 大 明 呪 是 無 上 呪 
X26n0567_001:0931a21	是無等等呪。能除一切苦。真實不虗故說般若波羅	是 無 等 等 呪 能 除 一 切 苦 真 實 不 虗 故 說 般 若 波 羅 
X26n0567_001:0931a22	蜜多呪。	蜜 多 呪 
X26n0567_001:0931a23	故知般若波羅蜜多一句。承般若觀行因果。以結	故 知 般 若 波羅蜜多 一 句 承 般 若 觀 行 因 果 以 結 
X26n0567_001:0931a24	體相用三大義。自在菩薩。行深般若。觀照世閒五	體 相 用 三 大 義 自 在 菩 薩 行 深 般 若 觀 照 世 閒 五 
X26n0567_001:0931b01	蘊等法。皆是真空實相。故知般若波羅蜜多。是大	蘊 等 法 皆 是 真 空 實 相 故 知 般 若 波羅蜜多 是 大 
X26n0567_001:0931b02	神呪。又見出世閒三乘因緣。四諦智理等法。俱不	神 呪 又 見 出 世 閒 三 乘 因 緣 四 諦 智 理 等 法 俱 不 
X26n0567_001:0931b03	可得。故知般若波羅蜜多。是大明呪。此二句。結體	可 得 故 知 般 若 波羅蜜多 是 大 明 呪 此 二 句 結 體 
X26n0567_001:0931b04	大義也。因此菩薩以觀照之智。照見世閒出世閒	大 義 也 因 此 菩 薩 以 觀 照 之 智 照 見 世 閒 出 世 閒 
X26n0567_001:0931b05	等法俱不可得。故即能度一切苦厄。由是以無所	等 法 俱 不 可 得 故 即 能 度 一 切 苦 厄 由 是 以 無 所 
X26n0567_001:0931b06	得故。菩提薩埵依之。即能遠離諸苦而得涅槃真	得 故 菩 提 薩 埵 依 之 即 能 遠 離 諸 苦 而 得 涅 槃 真 
X26n0567_001:0931b07	樂。故知般若波羅蜜多。是無上呪此句。結相大義	樂 故 知 般 若 波羅蜜多 是 無 上 呪 此 句 結 相 大 義 
X26n0567_001:0931b08	也。因知般若。是無上呪。所以三世諸佛亦依之而	也 因 知 般 若 是 無 上 呪 所 以 三世諸佛 亦 依 之 而 
X26n0567_001:0931b09	得無上正等正覺。故知般若波羅蜜多。是無等等	得 無 上 正 等 正 覺 故 知 般 若 波羅蜜多 是 無 等 等 
