T85n2815_001:1174a22	起信論註	起 信 論 註 
T85n2815_001:1174b12	論云何為五。至勸修利益分(最下文是也。為鈍根舉益勸修行也)	論 云 何 為 五 至 勸 修 利 益 分 最 下 文 是 也 為 鈍 根 舉 益 勸 修 行 也 
T85n2815_001:1174b13	述曰。此依數列名也　言不自起製必有由。	述 曰 此 依 數 列 名 也 言 不 自 起 製 必 有 由 
T85n2815_001:1174b14	名為因緣。彰別餘段故稱為分(問。有何由。答。夫事有因。是發起。	名 為 因 緣 彰 別 餘 段 故 稱 為 分 問 有 何 由 答 夫 事 有 因 是 發 起 
T85n2815_001:1174b15	因事發事□有一箇人語。無事不語。皆有因緣。是發語)彰別餘段故稱為分者	因 事 發 事 有 一 箇 人 語 無 事 不 語 皆 有 因 緣 是 發 語 彰 別 餘 段 故 稱 為 分 者 
T85n2815_001:1174b16	(一段一段義也。亦名一段□別義者箇義則□箇義則別)故名彰別餘段故稱	 一 段 一 段 義 也 亦 名 一 段 別 義 者 箇 義 則 箇 義 則 別 故 名 彰 別 餘 段 故 稱 
T85n2815_001:1174b17	為分　由致既興略標綱要。令物生信(答。綱者大綱。望	為 分 由 致 既 興 略 標 綱 要 令 物 生 信 答 綱 者 大 綱 望 
T85n2815_001:1174b18	是一箇要事故名綱要)名立義分。宗要既略。次宜廣釋令	是 一 箇 要 事 故 名 綱 要 名 立 義 分 宗 要 既 略 次 宜 廣 釋 令 
T85n2815_001:1174b19	其生解。名解釋分。依釋生解。次宜起行。令	其 生 解 名 解 釋 分 依 釋 生 解 次 宜 起 行 令 
T85n2815_001:1174b20	起行故名修行信心分(修行信心下所謂四五行。信謂信根。本行謂五行及至觀	起 行 故 名 修 行 信 心 分 修 行 信 心 下 所 謂 四 五 行 信 謂 信 根 本 行 謂 五 行 及 至 觀 
T85n2815_001:1174b21	等是也)雖是行儀鈍根懈慢舉益勸修。名勸修利	等 是 也 雖 是 行 儀 鈍 根 懈 慢 舉 益 勸 修 名 勸 修 利 
T85n2815_001:1174b22	益分。	益 分 
T85n2815_001:1174b23	論初說因緣分　述曰。次下第三依名辨相。	論 初 說 因 緣 分 述 曰 次 下 第 三 依 名 辨 相 
T85n2815_001:1174b24	別釋五分即分為五。初因緣中復分為二。初	別 釋 五 分 即 分 為 五 初 因 緣 中 復 分 為 二 初 
T85n2815_001:1174b25	標舉分名。後別顯其義。此初也。言因緣者。是	標 舉 分 名 後 別 顯 其 義 此 初 也 言 因 緣 者 是 
T85n2815_001:1174b26	所以義。所為義。發起義。是因緣義。	所 以 義 所 為 義 發 起 義 是 因 緣 義 
T85n2815_001:1174b27	論問有何因緣而造此論答曰是因緣有八種	論 問 有何因緣 而 造 此 論 答 曰 是 因 緣 有 八 種 
T85n2815_001:1174c01	云何為八　述曰。下答有三。初舉數總答。次	云 何 為 八 述 曰 下 答 有 三 初 舉 數 總 答 次 
T85n2815_001:1174c02	依數辨義。後結答所問。此初也。	依 數 辨 義 後 結 答 所 問 此 初 也 
T85n2815_001:1174c03	論云何為八一者因緣總想所謂為令眾生離	論 云 何 為 八 一 者 因 緣 總 想 所 謂 為 令 眾 生 離 
T85n2815_001:1174c04	一切苦得究竟樂非求世間名利恭敬故　述	一 切 苦 得 究 竟 樂 非 求 世 間 名 利 恭 敬 故 述 
T85n2815_001:1174c05	曰。次下第二依數辨義。別辨八因即分為八。	曰 次 下 第 二 依 數 辨 義 別 辨 八 因 即 分 為 八 
T85n2815_001:1174c06	於中初一是總相因。其後七種是別相因。言	於 中 初 一 是 總 相 因 其 後 七 種 是 別 相 因 言 
T85n2815_001:1174c07	總相者。有其三義　一通諸論而作所以(答。通諸	總 相 者 有 其 三 義 一 通 諸 論 而 作 所 以 答 通 諸 
T85n2815_001:1174c08	論而作所者。次一段義通一切十二部經。總言謂令眾生離一切苦得究竟樂)二通諸根而	論 而 作 所 者 次 一 段 義 通 一 切 十二部經 總 言 謂 令 眾 生 離 一 切 苦 得 究 竟 樂 二 通 諸 根 而 
T85n2815_001:1174c09	作所為。非唯彼不定聚故　三通諸分而作	作 所 為 非 唯 彼 不 定 聚 故 三 通 諸 分 而 作 
T85n2815_001:1174c10	發起。非唯正作立義因故　解釋有三種。云何	發 起 非 唯 正 作 立 義 因 故 解 釋 有 三 種 云 何 
T85n2815_001:1174c11	為三。一者顯示正義。二者對治邪執。三者分	為 三 一 者 顯 示 正 義 二 者 對 治 邪 執 三 者 分 
T85n2815_001:1174c12	別發趣道相。顯示正義者。正釋所立大乘法	別 發 趣 道 相 顯 示 正 義 者 正 釋 所 立 大 乘 法 
T85n2815_001:1174c13	義。所顯非邪故名正義。以教辨明故名顯示	義 所 顯 非 邪 故 名 正 義 以 教 辨 明 故 名 顯 示 
T85n2815_001:1174c14	正理。既陳情惑斯遣(答。若見道理情惑則除。答。情惑者則是妄相也。妄相情有理	正 理 既 陳 情 惑 斯 遣 答 若 見 道 理 情 惑 則 除 答 情 惑 者 則 是 妄 相 也 妄 相 情 有 理 
T85n2815_001:1174c15	無故名情惑斯遣)第二對治邪執。二見妄著故名邪	無 故 名 情 惑 斯 遣 第 二 對 治 邪 執 二 見 妄 著 故 名 邪 
T85n2815_001:1174c16	執(答。何名為邪執。一者人我執。二者法我執)以教令除名曰對治(答。對者可	執 答 何 名 為 邪 執 一 者 人 我 執 二 者 法 我 執 以 教 令 除 名 曰 對 治 答 對 者 可 
T85n2815_001:1174c17	破壞故。可對治故。皆不可壞。問。何者是對治。答。我見人見皆妄執。妄執皆妄相。不可壞故。故名可破壞故)	破 壞 故 可 對 治 故 皆 不 可 壞 問 何 者 是 對 治 答 我 見 人 見 皆 妄 執 妄 執 皆 妄 相 不 可 壞 故 故 名 可 破 壞 故 
T85n2815_001:1174c18	邪執既除依階趣正故有第三發趣道相。本	邪 執 既 除 依 階 趣 正 故 有 第 三 發 趣 道 相 本 
T85n2815_001:1174c19	覺虛通目之為道(問。何者是本覺　答。本覺者根本真如。在凡時則是本覺。若知後成佛	覺 虛 通 目 之 為 道 問 何 者 是 本 覺 答 本 覺 者 根 本 真 如 在 凡 時 則 是 本 覺 若 知 後 成 佛 
T85n2815_001:1174c20	則名始覺。因之為道者。答。目亦名心眼。亦名定惠道者。則無分別平等一如)起行向之名	則 名 始 覺 因 之 為 道 者 答 目 亦 名 心 眼 亦 名 定 惠 道 者 則 無 分 別 平 等 一 如 起 行 向 之 名 
T85n2815_001:1174c21	為發趣(問。起行向之向何處去。答。只取無上菩提。過去佛亦行此道德成正覺。未來佛亦行此道德	為 發 趣 問 起 行 向 之 向 何 處 去 答 只 取 無上菩提 過 去 佛 亦 行 此 道 德 成 正 覺 未 來 佛 亦 行 此 道 德 
T85n2815_001:1174c22	成正覺)趣之狀名之為相。似教宣示名為分別。	成 正 覺 趣 之 狀 名 之 為 相 似 教 宣 示 名 為 分 別 
T85n2815_001:1174c23	論顯示正義者依一心法有二種門　述曰。次	論 顯 示 正 義 者 依 一 心 法 有 二 種 門 述 曰 次 
T85n2815_001:1174c24	下第三依名辨相。辨此三名即分為三。初釋	下 第 三 依 名 辨 相 辨 此 三 名 即 分 為 三 初 釋 
T85n2815_001:1174c25	第一顯示正義。復分為二。初總釋釋上總立。	第 一 顯 示 正 義 復 分 為 二 初 總 釋 釋 上 總 立 
T85n2815_001:1174c26	復即別釋釋上別意。初總釋中復分為三。初	復 即 別 釋 釋 上 別 意 初 總 釋 中 復 分 為 三 初 
T85n2815_001:1174c27	依法開門。二初其二門。三二門該攝。此初	依 法 開 門 二 初 其 二 門 三 二 門 該 攝 此 初 
T85n2815_001:1174c28	也。緣分為三。初依法門者。一總源心如來藏	也 緣 分 為 三 初 依 法 門 者 一 總 源 心 如 來 藏 
T85n2815_001:1175a01	心也。含其二義謂如來藏。一總源心含其二	心 也 含 其 二 義 謂 如 來 藏 一 總 源 心 含 其 二 
T85n2815_001:1175a02	義。一約體絕相門謂一心。性非染淨等無	義 一 約 體 絕 相 門 謂 一 心 性 非 染 淨 等 無 
T85n2815_001:1175a03	差別。諸相經依此說眾生即涅槃。煩惱即菩	差 別 諸 相 經 依 此 說 眾 生 即 涅 槃 煩 惱 即 菩 
T85n2815_001:1175a04	提。凡夫彌勒同一如等(答。煩惱則是真如眾因。只由因以復得佛果)故	提 凡 夫 彌 勒 同 一 如 等 答 煩 惱 則 是 真 如 眾 因 只 由 因 以 復 得 佛 果 故 
T85n2815_001:1175a05	言。眾生即涅槃。煩惱即菩提。凡夫彌勒同	言 眾 生 即 涅 槃 煩 惱 即 菩 提 凡 夫 彌 勒 同 
T85n2815_001:1175a06	一如等。二隨緣起滅門。隨無明熏變成染淨。	一 如 等 二 隨 緣 起 滅 門 隨 無 明 熏 變 成 染 淨 
T85n2815_001:1175a07	染淨雖成染淨性恒不動。正由不動能成染	染 淨 雖 成 染 淨 性 恒 不 動 正 由 不 動 能 成 染 
T85n2815_001:1175a08	淨。是故不動亦在動門則生滅本覺義也(答。正由	淨 是 故 不 動 亦 在 動 門 則 生 滅 本 覺 義 也 答 正 由 
T85n2815_001:1175a09	不動能成染淨。答。猶如水體正住則是波。正波時則是□□。皆不失水性。是故不□□□□□真如妄相發妄相。	不 動 能 成 染 淨 答 猶 如 水 體 正 住 則 是 波 正 波 時 則 是 皆 不 失 水 性 是 故 不 真 如 妄 相 發 妄 相 
T85n2815_001:1175a10	是故真如界作用猶水正波□□是水□作用水正住時是波□體)依此經說不染而	是 故 真 如 界 作 用 猶 水 正 波 是 水 作 用 水 正 住 時 是 波 體 依 此 經 說 不 染 而 
T85n2815_001:1175a11	染。染而不染。又說。如來藏為善不善因。若	染 染 而 不 染 又 說 如 來 藏 為 善 不 善 因 若 
T85n2815_001:1175a12	生若滅受苦樂等然。此二門舉體通融。體無	生 若 滅 受 苦 樂 等 然 此 二 門 舉 體 通 融 體 無 
T85n2815_001:1175a13	二齊限不分假名為一者。是諸答齊限不者。	二 齊 限 不 分 假 名 為 一 者 是 諸 答 齊 限 不 者 
T85n2815_001:1175a14	此真實上染亦不可德。得亦不德。一亦不	此 真 實 上 染 亦 不 可 德 得 亦 不 德 一 亦 不 
T85n2815_001:1175a15	□。立異亦此是絕相門教。故言假名為一。一	 立 異 亦 此 是 絕 相 門 教 故 言 假 名 為 一 一 
T85n2815_001:1175a16	亦不可德法中真實之性。性有智故說名為	亦 不 可 德 法 中 真 實 之 性 性 有 智 故 說 名 為 
T85n2815_001:1175a17	心。非謂虛實一心等也。緣此是故諸法中真	心 非 謂 虛 實 一 心 等 也 緣 此 是 故 諸 法 中 真 
T85n2815_001:1175a18	實之性。從使被妄相熏動本水性恒不失。是	實 之 性 從 使 被 妄 相 熏 動 本 水 性 恒 不 失 是 
T85n2815_001:1175a19	故雖與諸波作體性不被而有妄變故真實之	故 雖 與 諸 波 作 體 性 不 被 而 有 妄 變 故 真 實 之 
T85n2815_001:1175a20	性。	性 
T85n2815_001:1175a21	論云何為二一者心真如門。二者心生滅門	論 云 何 為 二 一 者 心 真 如 門 二 者 心 生 滅 門 
T85n2815_001:1175a22	　述曰。此列二門也。即體絕相名真如門。隨	 述 曰 此 列 二 門 也 即 體 絕 相 名 真 如 門 隨 
T85n2815_001:1175a23	緣變動名生滅門。體雖無別而義有異。約義	緣 變 動 名 生 滅 門 體 雖 無 別 而 義 有 異 約 義 
T85n2815_001:1175a24	異故。故說為門(答。真如生滅舉體則是一義。若舉生滅則有二門。故說為門)。	異 故 故 說 為 門 答 真 如 生 滅 舉 體 則 是 一 義 若 舉 生 滅 則 有 二 門 故 說 為 門 
T85n2815_001:1175a25	論是二種門皆各總攝一切法　述曰。此下	論 是 二 種 門 皆 各 總攝一切 法 述 曰 此 下 
T85n2815_001:1175a26	二門說攝。於中有二。初正顯。後釋成。此初	二 門 說 攝 於 中 有 二 初 正 顯 後 釋 成 此 初 
T85n2815_001:1175a27	也。即釋立中是心即攝世間法等(答。等者等取真如生滅二門	也 即 釋 立 中 是 心 即 攝 世 間 法 等 答 等 者 等 取 真 如 生 滅 二 門 
T85n2815_001:1175a28	說攝。世門則是生滅。出世門者則是真如)故言等。上以一心說二門。	說 攝 世 門 則 是 生 滅 出 世 門 者 則 是 真 如 故 言 等 上 以 一 心 說 二 門 
T85n2815_001:1175a29	是染淨通相。通相之外無別。是故染淨染淨	是 染 淨 通 相 通 相 之 外 無 別 是 故 染 淨 染 淨 
T85n2815_001:1175b01	皆為通相。所攝故。真如門總攝諸法。生滅門	皆 為 通 相 所 攝 故 真 如 門 總 攝 諸 法 生 滅 門 
T85n2815_001:1175b02	者。即此真如與緣和合變作染淨。而恒不失	者 即 此 真 如 與 緣 和 合 變 作 染 淨 而 恒 不 失 
T85n2815_001:1175b03	本真如性。故別相門亦攝真如。是故亦攝一	本 真 如 性 故 別 相 門 亦 攝 真 如 是 故 亦 攝 一 
T85n2815_001:1175b04	切法也。	切 法 也 
T85n2815_001:1175b05	論此義云何以是二門不相離故　述曰。此	論 此義云何 以 是 二 門 不 相 離 故 述 曰 此 
T85n2815_001:1175b06	釋成也。此云何者二門。若別不可相從。如本	釋 成 也 此 云 何 者 二 門 若 別 不 可 相 從 如 本 
T85n2815_001:1175b07	一心未容皆攝。如何二門各總攝耶。故次答	一 心 未 容 皆 攝 如 何 二 門 各 總 攝 耶 故 次 答 
T85n2815_001:1175b08	云。以是二門不相離故。以真如門是心理體。	云 以 是 二 門 不 相 離 故 以 真 如 門 是 心 理 體 
T85n2815_001:1175b09	生滅門者是心事相。以彼理事不相離故。舉	生 滅 門 者 是 心 事 相 以 彼 理 事 不 相 離 故 舉 
T85n2815_001:1175b10	理攝事舉事攝理。故說二門皆各總攝(答。舉水則是	理 攝 事 舉 事 攝 理 故 說 二 門 皆 各 總 攝 答 舉 水 則 是 
T85n2815_001:1175b11	波故波則是水。是故二門皆各總攝)。	波 故 波 則 是 水 是 故 二 門 皆 各 總 攝 
T85n2815_001:1175b12	答曰若知一切法雖說無有能說可說雖念亦	答 曰 若 知一切法 雖 說 無 有 能 說 可 說 雖 念 亦 
T85n2815_001:1175b13	無能念所念是名隨順。若離於念名為得入復	無 能 念 所 念 是 名 隨 順 若 離 於 念 名 為 得 入 復 
T85n2815_001:1175b14	次真如者依言說分別有二種義(問。何者則依言說分別。答。真	次 真 如 者 依 言 說 分 別 有 二 種 義 問 何 者 則 依 言 說 分 別 答 真 
T85n2815_001:1175b15	如無言說利四句絕百非。所以順言語便則執著分別。所言者依言說分別)。	如 無 言 說 利 四 句 絕 百 非 所 以 順 言 語 便 則 執 著 分 別 所 言 者 依 言 說 分 別 
T85n2815_001:1175b16	論云何為二一者如實空以能究竟顯實故二	論 云 何 為 二 一 者 如 實 空 以 能 究 竟 顯 實 故 二 
T85n2815_001:1175b17	者如實不空以有自體具足無漏性功德故	者 如 實 不 空 以 有 自 體 具 足 無 漏 性 功 德 故 
T85n2815_001:1175b18	(述曰。此開章略辨也。言如實者。真體不無故。所言空者。真體無妄故。究竟顯實者。由無極顯真故。以無妄故。能	 述 曰 此 開 章 略 辨 也 言 如 實 者 真 體 不 無 故 所 言 空 者 真 體 無 妄 故 究 竟 顯 實 者 由 無 極 顯 真 故 以 無 妄 故 能 
T85n2815_001:1175b19	極顯實故。說如實名為空也。問。何者極。猶如水清石子現一切塵域不住。是名極顯。言不空者。是體相故。此性	極 顯 實 故 說 如 實 名 為 空 也 問 何 者 極 猶 如 水 清 石 子 現 一 切 塵 域 不 住 是 名 極 顯 言 不 空 者 是 體 相 故 此 性 
T85n2815_001:1175b20	功德言無漏者。無離斷等及念漏故。是即如實具有自體及性功德。故名不空)。	功 德 言 無 漏 者 無 離 斷 等 及 念 漏 故 是 即 如 實 具 有 自 體 及 性 功 德 故 名 不 空 
T85n2815_001:1175b21	論所言空者從本已來一切染法不相應故謂	論 所 言 空 者 從 本 已 來 一 切 染 法 不 相 應 故 謂 
T85n2815_001:1175b22	離一切法差別之相以無虛妄心念故　(述曰。次下	離 一 切 法 差別之相 以 無 虛 妄 心 念 故 述 曰 次 下 
T85n2815_001:1175b23	第三依章廣釋。於中有二。先明其空。復顯不空。初中有三。初略明。次廣釋。後總結。此初也。初句顯其非染相應	第 三 依 章 廣 釋 於 中 有 二 先 明 其 空 復 顯 不 空 初 中 有 三 初 略 明 次 廣 釋 後 總 結 此 初 也 初 句 顯 其 非 染 相 應 
T85n2815_001:1175b24	以釋空義。一切染法不相應故。故名為空。云何染法不相應耶。次句釋云。謂離差別所相故。何故離此所取相耶。	以 釋 空 義 一 切 染 法 不 相 應 故 故 名 為 空 云 何 染 法 不 相 應 耶 次 句 釋 云 謂 離 差 別 所 相 故 何 故 離 此 所 取 相 耶 
T85n2815_001:1175b25	後句釋云。以無能取妄心念故。即妄心境情有理無。真體相理有情無。無故與染法不相應也)。	後 句 釋 云 以 無 能 取 妄 心 念 故 即 妄 心 境 情 有 理 無 真 體 相 理 有 情 無 無 故 與 染 法 不 相 應 也 
T85n2815_001:1175b26	論當知真如自性非有相非無相非非有相非	論 當 知 真 如 自 性 非 有 相 非 無 相 非 非 有 相 非 
T85n2815_001:1175b27	非無非有無俱相非一相非異相非非一相非	非 無 非 有 無 俱 相 非 一 相 非 異 相 非 非 一 相 非 
T85n2815_001:1175b28	非異相非一異俱相　(答。當真如自性非有相非無相。眾生便著非有非無。將	非 異 相 非 一 異 俱 相 答 當 真 如 自 性 非 有 相 非 無 相 眾 生 便 著 非有非無 將 
T85n2815_001:1175c01	真如體非非有相非非無。非有無俱相。眾還著非非有無俱相。將作真如非一相非異相。非非一相非非異相。非一	真 如 體 非 非 有 相 非 非 無 非 有 無 俱 相 眾 還 著 非 非 有 無 俱 相 將 作 真 如 非 一 相 非 異 相 非 非 一 相 非 非 異 相 非 一 
T85n2815_001:1175c02	異俱相。眾生還著隨言。將作真如皆不相應)。	異 俱 相 眾 生 還 著 隨 言 將 作 真 如 皆 不 相 應 
T85n2815_001:1175c03	論乃至總說依一切眾生以有妄心念念分別	論 乃 至 總 說 依 一 切 眾 生 以 有 妄 心 念 念 分 別 
T85n2815_001:1175c04	皆不相應故說為空　(述曰。此下總結。於中有二。初順結前義。後返結釋疑。	皆 不 相 應 故 說 為 空 述 曰 此 下 總 結 於 中 有 二 初 順 結 前 義 後 返 結 釋 疑 
T85n2815_001:1175c05	此初也。妄染塵沙難不遍舉。今總略說一切妄心所不染觸故說空也。答。妄染塵沙者。妄相猶如塵沙一眾不可遍	此 初 也 妄 染 塵 沙 難 不 遍 舉 今 總 略 說 一 切 妄 心 所 不 染 觸 故 說 空 也 答 妄 染 塵 沙 者 妄 相 猶 如 塵 沙 一 眾 不 可 遍 
T85n2815_001:1175c06	舉。今總略說一切妄心所不染觸故說空也。空者表妄得名也)。	舉 今 總 略 說 一 切 妄 心 所 不 染 觸 故 說 空 也 空 者 表 妄 得 名 也 
T85n2815_001:1175c07	論若離妄心實無可空故　(述曰。此返結釋疑也。恐明說空便成斷滅故。	論 若 離 妄 心 實 無 可 空 故 述 曰 此 返 結 釋 疑 也 恐 明 說 空 便 成 斷 滅 故 
T85n2815_001:1175c08	此釋云。遮諸念相假說為空。若不遮妄不說空。故真既不空故非斷滅。是故顯真性空而不空)。	此 釋 云 遮 諸 念 相 假 說 為 空 若 不 遮 妄 不 說 空 故 真 既 不 空 故 非 斷 滅 是 故 顯 真 性 空 而 不 空 
T85n2815_001:1175c09	論所言不空者已顯法體空無妄故　(述曰。此下第二顯	論 所 言 不 空 者 已 顯 法 體 空 無 妄 故 述 曰 此 下 第 二 顯 
T85n2815_001:1175c10	不空義。於中有三。初牒前空由明妄空。方顯不空真實體故)。	不 空 義 於 中 有 三 初 牒 前 空 由 明 妄 空 方 顯 不 空 真 實 體 故 
T85n2815_001:1175c11	論即是真心至常恒不變淨法滿足則名不空	論 即 是 真 心 至 常 恒 不 變 淨 法 滿 足 則 名 不 空 
T85n2815_001:1175c12	(述曰。此正明不空也。即是真心者。空無妄。即是真心。總舉不空。真心體大不生故。常不死故　恒我故。我者自	 述 曰 此 正 明 不 空 也 即 是 真 心 者 空 無 妄 即 是 真 心 總 舉 不 空 真 心 體 大 不 生 故 常 不 死 故 恒 我 故 我 者 自 
T85n2815_001:1175c13	在義。猶如大海不變無念故淨法滿足。性德雖多舉其四。即是不真心相大具此體相。即名不空)。	在 義 猶 如 大 海 不 變 無 念 故 淨 法 滿 足 性 德 雖 多 舉 其 四 即 是 不 真 心 相 大 具 此 體 相 即 名 不 空 
T85n2815_001:1175c14	論亦無有相可取以離念境界唯證相應故	論 亦 無 有 相 可 取 以 離 念 境 界 唯 證 相 應 故 
T85n2815_001:1175c15	　(述曰。此釋外疑也。恐□不空疑存有相故。念遮云。雖曰不空無有相而可執。取下釋所以非妄念。所行境界唯是	 述 曰 此 釋 外 疑 也 恐 不 空 疑 存 有 相 故 念 遮 云 雖 曰 不 空 無 有 相 而 可 執 取 下 釋 所 以 非 妄 念 所 行 境 界 唯 是 
T85n2815_001:1175c16	證智所體會故。即顯真心不空而空也)。	證 智 所 體 會 故 即 顯 真 心 不 空 而 空 也 
T85n2815_001:1175c17	論心生滅者依如藏故有生滅心所謂不生不	論 心 生 滅 者 依 如 藏 故 有 生 滅 心 所 謂 不 生 不 
T85n2815_001:1175c18	滅與生滅心和合　(述曰。上來已釋真如門竟。次下第二釋生滅門。於中有二。先生	滅 與 生 滅 心 和 合 述 曰 上 來 已 釋 真 如 門 竟 次 下 第 二 釋 生 滅 門 於 中 有 二 先 生 
T85n2815_001:1175c19	滅心法。後辨所示之義。初中有二。先明□□生滅。□□□□相資。於中有二。先體就總標。後依義別解。總中有	滅 心 法 後 辨 所 示 之 義 初 中 有 二 先 明 生 滅 相 資 於 中 有 二 先 體 就 總 標 後 依 義 別 解 總 中 有 
T85n2815_001:1175c20	三。初標體。次辨相。後立名。此初也。如來藏者。即是清淨不生滅心無明熏舉體動作生滅心也。答。如來藏者。於	三 初 標 體 次 辨 相 後 立 名 此 初 也 如 來 藏 者 即 是 清 淨 不 生 滅 心 無 明 熏 舉 體 動 作 生 滅 心 也 答 如 來 藏 者 於 
T85n2815_001:1175c21	生滅門語)。	生 滅 門 語 
T85n2815_001:1175c22	論所謂不生不滅與生滅和合非一非異	論 所 謂 不生不滅 與 生 滅 和 合 非一非異 
T85n2815_001:1175c23	　(述曰。此辨相也。如來藏不生滅心舉體□故不離生滅。生滅心相無非真故。故亦不離不生滅心。如是不離名為和	 述 曰 此 辨 相 也 如 來 藏 不 生 滅 心 舉 體 故 不 離 生 滅 生 滅 心 相 無 非 真 故 故 亦 不 離 不 生 滅 心 如 是 不 離 名 為 和 
T85n2815_001:1175c24	合。但是不生滅與生滅和合。以是向末隨緣門故。非是生滅與不生滅和合。以非向本歸真門故。非一異者不生滅	合 但 是 不 生 滅 與 生 滅 和 合 以 是 向 末 隨 緣 門 故 非 是 生 滅 與 不 生 滅 和 合 以 非 向 本 歸 真 門 故 非 一 異 者 不 生 滅 
T85n2815_001:1175c25	心。答。向末則鈍是生滅。無鈍淨真如。向本歸真如者亦是鈍淨真如。答。真如與生滅相和。是得成和合義故言不	心 答 向 末 則 鈍 是 生 滅 無 鈍 淨 真 如 向 本 歸 真 如 者 亦 是 鈍 淨 真 如 答 真 如 與 生 滅 相 和 是 得 成 和 合 義 故 言 不 
T85n2815_001:1175c26	非一異。全體動故心與生滅非異。而恒不失真如心性故心與生滅不一。若定一者生滅盡時真心應滅即墮斷邊。若	非 一 異 全 體 動 故 心 與 生 滅 非 異 而 恒 不 失 真 如 心 性 故 心 與 生 滅 不 一 若 定 一 者 生 滅 盡 時 真 心 應 滅 即 墮 斷 邊 若 
T85n2815_001:1176a01	定異者無明熏時心應不動即墮常邊。既離二邊故非一異。非一異故方成和合)。	定 異 者 無 明 熏 時 心 應 不 動 即 墮 常 邊 既 離 二 邊 故 非 一 異 非 一 異 故 方 成 和 合 
T85n2815_001:1176a02	論名為阿黎耶識　(述曰。此立名也。依如來藏故有生滅心等者。名為阿黎識。阿黎	論 名 為 阿黎耶識 述 曰 此 立 名 也 依 如 來 藏 故 有 生 滅 心 等 者 名 為 阿 黎 識 阿 黎 
