T85n2866_001:1326b03	護身命經	護 身 命 經 
T85n2866_001:1326b29	終不令橫死。一切眾邪皆不得嬈害。是善男	終 不 令 橫 死 一 切 眾 邪 皆 不 得 嬈 害 是 善 男 
T85n2866_001:1326c01	子善女人行菩薩之道故。十方眾聖皆共護	子 善 女 人 行 菩薩之道 故 十 方 眾 聖 皆 共 護 
T85n2866_001:1326c02	視。讀是經者功德無量。佛不二言。聞是經者。	視 讀 是 經 者 功 德 無 量 佛 不 二 言 聞 是 經 者 
T85n2866_001:1326c03	受持者書寫者。所願悉得。阿難汝好諦聽諦	受 持 者 書 寫 者 所 願 悉 得 阿 難 汝 好 諦 聽 諦 
T85n2866_001:1326c04	聽受持是經。懃教一切人受學諷誦讀之。汝	聽 受 持 是 經 懃 教 一 切 人 受 學 諷 誦 讀 之 汝 
T85n2866_001:1326c05	莫忘墮。阿難即言。受天尊教。	莫 忘 墮 阿 難 即 言 受 天 尊 教 
T85n2866_001:1326c06	佛說是經時。坐中有長者女名曰善信。與五	佛 說 是 經 時 坐 中 有 長 者 女 名 曰 善 信 與 五 
T85n2866_001:1326c07	百同輩一時即起。稽首佛足五體投地。長跪	百 同 輩 一 時 即 起 稽 首 佛 足 五體投地 長 跪 
T85n2866_001:1326c08	白佛言。世尊信等女人罪穢嬰身。蒙佛慈恩	白 佛 言 世 尊 信 等 女 人 罪 穢 嬰 身 蒙 佛 慈 恩 
T85n2866_001:1326c09	得聞聖法。不以女賤願為弟子。佛言。善來	得 聞 聖 法 不 以 女 賤 願 為 弟 子 佛 言 善 來 
T85n2866_001:1326c10	諸女。汝宿有福應得值佛。樂聞法者真得度	諸 女 汝 宿 有 福 應 得 值 佛 樂 聞 法 者 真 得 度 
T85n2866_001:1326c11	苦。生生之處遠離女身。佛受五戒為清信	苦 生 生 之 處 遠 離 女 身 佛 受 五 戒 為 清 信 
T85n2866_001:1326c12	女。眾會無不歡喜。各前以頭面著地悉受五	女 眾 會 無 不 歡 喜 各 前 以 頭 面 著 地 悉 受 五 
T85n2866_001:1326c13	戒。佛告阿難。善信女等久生於世。未聞佛時	戒 佛 告 阿 難 善 信 女 等 久 生 於 世 未 聞 佛 時 
T85n2866_001:1326c14	未聞法時。為怨師所怪。隨世因緣或毀滅正	未 聞 法 時 為 怨 師 所 怪 隨 世 因 緣 或 毀 滅 正 
T85n2866_001:1326c15	法。或破塔寺。或殺真人。或負三尊財物。或殺	法 或 破 塔 寺 或 殺 真 人 或 負 三 尊 財 物 或 殺 
T85n2866_001:1326c16	父母。或犯眾怨。不自覺智。所作眾罪不可	父 母 或 犯 眾 怨 不 自 覺 智 所 作 眾 罪 不 可 
T85n2866_001:1326c17	稱計。今得見佛。心開意解。及知前世所行為	稱 計 今 得 見 佛 心 開 意 解 及 知 前 世 所 行 為 
T85n2866_001:1326c18	非。信等同輩自今以後。改住修來奉佛尊戒。	非 信 等 同 輩 自 今 以 後 改 住 修 來 奉 佛 尊 戒 
T85n2866_001:1326c19	并持此經。世世不犯。願佛哀愍悉賜五戒。	并 持 此 經 世 世 不 犯 願 佛 哀 愍 悉 賜 五 戒 
T85n2866_001:1326c20	佛告諸女。汝諦聽受持。一者守仁不殺恩及群	佛 告 諸 女 汝 諦 聽 受 持 一 者 守 仁 不 殺 恩 及 群 
T85n2866_001:1326c21	生。二者義護不盜損己濟眾。三者貞潔不婬行	生 二 者 義 護 不 盜 損 己 濟 眾 三 者 貞 潔 不 婬 行 
T85n2866_001:1326c22	無沾污。四者言不詳[言*奇]不犯口過。五者遠酒	無 沾 污 四 者 言 不 詳 [言奇] 不 犯 口 過 五 者 遠 酒 
T85n2866_001:1326c23	不飲不犯眾怨。修奉齋戒常行大慈。呪願一	不 飲 不 犯 眾 怨 修 奉 齋 戒 常 行 大 慈 呪 願 一 
T85n2866_001:1326c24	切尊修佛語。終不中悔。任力所能寧守善而	切 尊 修 佛 語 終 不 中 悔 任 力 所 能 寧 守 善 而 
T85n2866_001:1326c25	死不犯怨而生。汝等以來持佛禁戒。諸天所	死 不 犯 怨 而 生 汝 等 以 來 持 佛 禁 戒 諸 天 所 
T85n2866_001:1326c26	嘆。莫德隨俗邪罔跪拜鬼神護持禁戒。如拔	嘆 莫 德 隨 俗 邪 罔 跪 拜 鬼 神 護 持 禁 戒 如 拔 
T85n2866_001:1326c27	頭然。坐自觀身。形不久立。色不久解。命如風	頭 然 坐 自 觀 身 形 不 久 立 色 不 久 解 命 如 風 
T85n2866_001:1326c28	遇少疾如裏。勿持容恣自處怨行。萬物無常。	遇 少 疾 如 裏 勿 持 容 恣 自 處 怨 行 萬 物 無 常 
T85n2866_001:1326c29	當建精進棄損世念。如菩薩行所願發心。今	當 建 精 進 棄 損 世 念 如 菩 薩 行 所 願 發 心 今 
T85n2866_001:1327a01	世後世欲求何等。如願悉得終不虛也。	世 後 世 欲 求 何 等 如 願 悉 得 終 不 虛 也 
T85n2866_001:1327a02	佛告阿難。汝等護行可得至佛。佛道不可不	佛 告 阿 難 汝 等 護 行 可 得 至 佛 佛 道 不 可 不 
T85n2866_001:1327a03	學。經法不可不讀。吾今得佛但積學所致。大	學 經 法 不 可 不 讀 吾 今 得 佛 但 積 學 所 致 大 
T85n2866_001:1327a04	乘妙法。無男無女無貴無賤。聞是經者。諸佛	乘 妙 法 無 男 無 女 無 貴 無 賤 聞 是 經 者 諸 佛 
T85n2866_001:1327a05	加護。所願悉得。佛說是經時。天龍鬼神帝王	加 護 所 願 悉 得 佛 說 是 經 時 天 龍 鬼 神 帝 王 
T85n2866_001:1327a06	人□及四部弟子有三億人。見佛說是經。皆	人 及 四 部 弟 子 有 三 億 人 見 佛 說 是 經 皆 
T85n2866_001:1327a07	大歡喜嘆未曾有。各發無上正真道意。前以	大 歡 喜 嘆 未 曾 有 各 發 無 上 正 真 道 意 前 以 
T85n2866_001:1327a08	頭面著地作禮奉行。	頭 面 著 地 作 禮 奉 行 
T85n2866_001:1327a09	佛告阿難。汝諦聽受持廣宣流布。令一切眾	佛 告 阿 難 汝 諦 聽 受 持 廣 宣 流 布 令 一 切 眾 
T85n2866_001:1327a10	生有形之類。受持讀誦書寫供養。佛之要法	生 有 形 之 類 受持讀誦 書 寫 供 養 佛 之 要 法 
T85n2866_001:1327a11	能除無數劫極重之罪。能度無量無邊阿僧	能 除 無 數 劫 極 重 之 罪 能 度 無量無邊 阿 僧 
T85n2866_001:1327a12	祇眾生悉得解脫。此經佛口中所出。有□讀	祇 眾 生 悉 得 解 脫 此 經 佛 口 中 所 出 有 讀 
T85n2866_001:1327a13	一句一偈讀嘆之者。眾邪違道一切怨鬼不	一 句 一 偈 讀 嘆 之 者 眾 邪 違 道 一 切 怨 鬼 不 
T85n2866_001:1327a14	得來近。壽命正長終不橫死。所欲求者如願	得 來 近 壽 命 正 長 終 不 橫 死 所 欲 求 者 如 願 
T85n2866_001:1327a15	悉得。說是經時。一切大眾及諸龍鬼神四部	悉 得 說 是 經 時 一 切 大 眾 及 諸 龍 鬼 神 四 部 
T85n2866_001:1327a16	弟子。頂禮佛足。受天尊教一心奉行。	弟 子 頂禮佛足 受 天 尊 教 一 心 奉 行 
T85n2866_001:1327a17	正光二年十二月十五日　信士張阿宜寫	正 光 二 年 十 二 月十五日 信 士 張 阿 宜 寫 
T85n2866_001:1327a18	護身命經受持讀誦供養經。上及七世父	護 身 命 經 受持讀誦 供 養 經 上 及 七 世 父 
