X88n1658_001:0421a03	 諸天傳序	 諸 天 傳 序 
X88n1658_001:0421a21	囑。輒因勸請刊行。博利見聞。敢書卷首以告雲來。	囑 輒 因 勸 請 刊 行 博 利 見 聞 敢 書 卷 首 以 告 雲 來 
X88n1658_001:0421a22	乾道癸巳一陽前十日傳天台教觀釋　奉規　序	乾 道 癸 巳 一 陽 前 十 日 傳 天 台 教 觀 釋 奉 規 序 
X88n1658_001:0421b03	重編諸天傳(并序)	重 編 諸 天 傳 并 序 
X88n1658_001:0421b05	烏戍釋　行霆　述	烏 戍 釋 行 霆 述 
X88n1658_001:0421b06	昔鄣南煥師謂。凡列天位。失尊卑之序。無昭穆之儀。	昔 鄣 南 煥 師 謂 凡 列 天 位 失 尊 卑 之 序 無 昭 穆 之 儀 
X88n1658_001:0421b07	歎其習俗既久。未有刊正其事者。因撿大藏。作諸天	歎 其 習 俗 既 久 未 有 刊 正 其 事 者 因 撿 大 藏 作 諸 天 
X88n1658_001:0421b08	列傳。然草創之功良可尚也。但其列位之次及各為	列 傳 然 草 創 之 功 良 可 尚 也 但 其 列 位 之 次 及 各 為 
X88n1658_001:0421b09	傳詞。多從己意。至于經論顯文而不錄入。今事筆削	傳 詞 多 從 己 意 至 于 經 論 顯 文 而 不 錄 入 今 事 筆 削 
X88n1658_001:0421b10	以全始終。於是去繁凡輔闕略。以輔先志。孤山甞曰。	以 全 始 終 於 是 去 繁 凡 輔 闕 略 以 輔 先 志 孤 山 甞 曰 
X88n1658_001:0421b11	後之病今。亦猶今之病昔。儻有未安。更俟來哲。庶使	後 之 病 今 亦 猶 今 之 病 昔 儻 有 未 安 更 俟 來 哲 庶 使 
X88n1658_001:0421b12	天神呵護之迹。大權垂應之本。無失其正而歸于是	天 神 呵 護 之 迹 大 權 垂 應 之 本 無 失 其 正 而 歸 于 是 
X88n1658_001:0421b13	而已。	而 已 
X88n1658_001:0421b14	時	時 
X88n1658_001:0421b15	乾道癸巳仲秋之晦於福田西華嚴蘭若誌	乾 道 癸 巳 仲 秋 之 晦 於 福 田 西 華 嚴 蘭 若 誌 
X88n1658_001:0421b19	息總別位次之諍	息 總 別 位 次 之 諍 
X88n1658_001:0421b20	百錄之文乃云。大梵尊天三十三天。護世四王金剛	百 錄 之 文 乃 云 大 梵 尊 天 三十三天 護世四王 金 剛 
X88n1658_001:0421b21	密迹。散脂大將。大辯天神。功德天神。訶利帝南。鬼子	密 迹 散 脂 大 將 大 辯 天 神 功 德 天 神 訶 利 帝 南 鬼 子 
X88n1658_001:0421b22	母等五百眷屬。此依光明鬼神品等。前後収束。以列	母 等 五 百 眷 屬 此 依 光 明 鬼 神 品 等 前 後 収 束 以 列 
X88n1658_001:0421b23	之也。四明法師移功德大辯二位在後。別召乃準散	之 也 四 明 法 師 移 功 德 大 辯 二 位 在 後 別 召 乃 準 散 
X88n1658_001:0421b24	脂品中之文故也。慈雲法師獨移功德天女在後。別	脂 品 中 之 文 故 也 慈 雲 法 師 獨 移 功 德 天 女 在 後 別 
X88n1658_001:0421c01	召乃準功德天品。供養佛已。別以香華種種美味供	召 乃 準 功 德 天 品 供 養 佛 已 別 以 香 華 種 種 美 味 供 
X88n1658_001:0421c02	施於我。由此今古各據經文互相排斥。今為息諍者。	施 於 我 由 此 今 古 各 據 經 文 互 相 排 斥 今 為 息 諍 者 
X88n1658_001:0421c03	以經論質之。凡列天位。自有兩端。一如常佛會總相	以 經 論 質 之 凡 列 天 位 自 有 兩 端 一 如 常 佛 會 總 相 
X88n1658_001:0421c04	排列當先梵王帝釋四王等。如百錄所次。盖非一席	排 列 當 先 梵 王 帝 釋 四 王 等 如 百 錄 所 次 盖 非 一 席 
X88n1658_001:0421c05	之設。如光明中前後之文非一。以總別故也。又如孔	之 設 如 光 明 中 前 後 之 文 非 一 以 總 別 故 也 又 如 孔 
X88n1658_001:0421c06	雀經索訶世界主。梵天王。天帝釋。四天王。二十八大	雀 經 索 訶 世 界 主 梵 天 王 天 帝 釋 四 天 王 二 十 八 大 
X88n1658_001:0421c07	藥叉。乃云餘經文非一處。此猶世之朝儀。尊卑高下	藥 叉 乃 云 餘 經 文 非 一 處 此 猶 世 之 朝 儀 尊 卑 高 下 
X88n1658_001:0421c08	各安其位。雖間有不次。必先梵釋者。世界主故。佛八	各 安 其 位 雖 間 有 不 次 必 先 梵 釋 者 世 界 主 故 佛 八 
X88n1658_001:0421c09	相中先守護故。二專修金光明。依功德天教。以祈福	相 中 先 守 護 故 二 專 修 金 光 明 依 功 德 天 教 以 祈 福 
X88n1658_001:0421c10	力助於說聽。當特設功德大辯之像於佛座之左右。	力 助 於 說 聽 當 特 設 功 德 大 辯 之 像 於 佛 座 之 左 右 
X88n1658_001:0421c11	次以梵釋四王別分首排列。此猶世之選用良將。特	次 以 梵 釋 四 王 別 分 首 排 列 此 猶 世 之 選 用 良 將 特 
X88n1658_001:0421c12	旌異之而超於品類。所以百錄令於佛座之左右安	旌 異 之 而 超 於 品 類 所 以 百 錄 令 於 佛 座 之 左 右 安 
X88n1658_001:0421c13	功德天像。意在只奉此天。依經文別敷好座以待於	功 德 天 像 意 在 只 奉 此 天 依 經 文 別 敷 好 座 以 待 於 
X88n1658_001:0421c14	我故也。然後百錄又云。若道場寬。更安大辯四天王	我 故 也 然 後 百 錄 又 云 若 道 場 寬 更 安 大 辯 四 天 王 
X88n1658_001:0421c15	座。所以後人又加梵釋等。是知止一席之設。非常儀	座 所 以 後 人 又 加 梵 釋 等 是 知 止 一 席 之 設 非 常 儀 
X88n1658_001:0421c16	耳。又其如常自古列十六天像者。皆選其上首各有	耳 又 其 如 常 自 古 列 十 六 天 像 者 皆 選 其 上 首 各 有 
X88n1658_001:0421c17	所主。又約言行明顯訶護殊功。其所主者雖各不同。	所 主 又 約 言 行 明 顯 訶 護 殊 功 其 所 主 者 雖 各 不 同 
X88n1658_001:0421c18	生善滅惡其實同也。又若約其本。無非皆是大菩薩	生 善 滅 惡 其 實 同 也 又 若 約 其 本 無 非 皆 是 大 菩 薩 
X88n1658_001:0421c19	等。若以列次莫非就迹。又十六位中如摩醯首羅當	等 若 以 列 次 莫 非 就 迹 又 十 六 位 中 如 摩 醯 首 羅 當 
X88n1658_001:0421c20	有二神。今之所供乃大自在天尊特之主。非藥叉中	有 二 神 今 之 所 供 乃 大 自 在 天 尊 特 之 主 非 藥 叉 中 
X88n1658_001:0421c21	同名之者。又訶利帝南鬼子母神。本只一位。或分二	同 名 之 者 又 訶 利 帝 南 鬼子母神 本 只 一 位 或 分 二 
X88n1658_001:0421c22	天。具如本傳以詳明之。今先出如常佛會所主之次	天 具 如 本 傳 以 詳 明 之 今 先 出 如 常 佛 會 所 主 之 次 
X88n1658_001:0421c23	者。	者 
X88n1658_001:0421c24	娑婆界主號令獨尊大梵天王　男	娑 婆 界 主 號 令 獨 尊 大 梵 天 王 男 
X88n1658_001:0422a01	地居世主忉利稱王帝釋尊天　男	地 居 世 主 忉 利 稱 王 帝 釋 尊 天 男 
X88n1658_001:0422a02	北方護世大藥叉王多聞尊天　男	北 方 護 世 大 藥 叉 王 多 聞 尊 天 男 
X88n1658_001:0422a03	東方護世鳩槃茶主增長尊天　男	東 方 護 世 鳩 槃 茶 主 增 長 尊 天 男 
X88n1658_001:0422a04	西方護世為大龍王廣目天王　男	西 方 護 世 為 大 龍 王 廣 目 天 王 男 
X88n1658_001:0422a05	親伏怨魔誓為力士金剛密迹	親 伏 怨 魔 誓 為 力 士 金 剛 密 迹 
X88n1658_001:0422a06	尊特之主居色頂天魔醯首羅	尊 特 之 主 居 色 頂 天 魔醯首羅 
X88n1658_001:0422a07	二十八部總領鬼神散脂大將　男	二 十 八 部 總 領 鬼 神 散 脂 大 將 男 
X88n1658_001:0422a08	能與總持大智慧聚大辯財天　女	能 與 總 持 大 智 慧 聚 大 辯 財 天 女 
X88n1658_001:0422a09	隨其所求令得成就大功德天　女	隨 其 所 求 令 得 成 就 大 功 德 天 女 
X88n1658_001:0422a10	殷憂四部外護三洲韋駄天神　男	殷 憂 四 部 外 護 三 洲 韋 駄 天 神 男 
X88n1658_001:0422a11	增長出生證明功德堅牢地神　女	增 長 出 生 證 明 功 德 堅 牢 地 神 女 
X88n1658_001:0422a12	覺場垂廕因果互嚴菩提樹神　女	覺 場 垂 廕 因 果 互 嚴 菩提樹神 女 
X88n1658_001:0422a13	生諸鬼王保護男女鬼子母神　女	生 諸 鬼 王 保 護 男 女 鬼子母神 女 
X88n1658_001:0422a14	行日月前救兵戈難摩利支天	行 日 月 前 救 兵 戈 難 摩 利 支 天 
X88n1658_001:0422a15	已上凡十六位也。又有添為二十位者。	已 上 凡 十 六 位 也 又 有 添 為 二 十 位 者 
X88n1658_001:0422a16	百名利生千光破暗日宮天子	百 名 利 生 千 光 破 暗 日 宮 天 子 
X88n1658_001:0422a17	星主宿王清凉照夜月宮天子	星 主 宿 王 清 凉 照 夜 月 宮 天 子 
X88n1658_001:0422a18	祕藏法寶主執群龍娑竭羅王	祕 藏 法 寶 主 執 群 龍 娑 竭 羅 王 
X88n1658_001:0422a19	掌幽陰權為地獄主閻摩羅王	掌 幽 陰 權 為 地 獄 主 閻 摩 羅 王 
X88n1658_001:0422a20	又有添入風水等神通前作三十三位。目為三十三	又 有 添 入 風 水 等 神 通 前 作 三 十 三 位 目 為 三 十 三 
X88n1658_001:0422a21	天者。若更添多則無害。但不應指作三十三天耳。此	天 者 若 更 添 多 則 無 害 但 不 應 指 作 三十三天 耳 此 
X88n1658_001:0422a22	上乃如常佛會排列之序。若金光明道場之中。則於	上 乃 如 常 佛 會 排 列 之 序 若 金 光 明 道 場 之 中 則 於 
X88n1658_001:0422a23	佛左安功德天像。右安大辯天像。其梵釋等却就兩	佛 左 安 功 德 天 像 右 安 大 辯 天 像 其 梵 釋 等 却 就 兩 
X88n1658_001:0422a24	面別分首排列之也。有識之士請熟思之。尚恐未曉。	面 別 分 首 排 列 之 也 有 識 之 士 請 熟 思 之 尚 恐 未 曉 
X88n1658_001:0422b01	今示以圖。庶列位既明自然無諍。	今 示 以 圖 庶 列 位 既 明 自 然 無 諍 
X88n1658_001:0422b09	大梵天王傳	大 梵 天 王 傳 
X88n1658_001:0422b10	言梵王者。語略故也。西域云[口*梵]囕摩。此翻離欲。或云	言 梵 王 者 語 略 故 也 西 域 云 [口梵] 囕 摩 此 翻 離 欲 或 云 
X88n1658_001:0422b11	清淨。或云極淨。楞嚴經云。身心妙圓。威儀不闕。清淨	清 淨 或 云 極 淨 楞 嚴 經 云 身 心 妙 圓 威 儀 不 闕 清 淨 
X88n1658_001:0422b12	禁戒。加以明悟。是人應時能統梵眾為大梵王。自他	禁 戒 加 以 明 悟 是 人 應 時 能 統 梵 眾 為 大 梵 王 自 他 
X88n1658_001:0422b13	化天之上即有四禪。凡十八天。於初禪中有乎三天。	化 天 之 上 即 有 四 禪 凡 十 八 天 於 初 禪 中 有 乎 三 天 
X88n1658_001:0422b14	所謂梵眾．梵輔及大梵也。雖上有三禪一十五天。內	所 謂 梵 眾 梵 輔 及 大 梵 也 雖 上 有 三 禪 一 十 五 天 內 
X88n1658_001:0422b15	無雜想。外無語言。唯味禪悅。皆梵天統。故楞嚴云。其	無 雜 想 外 無 語 言 唯 味 禪 悅 皆 梵 天 統 故 楞 嚴 云 其 
X88n1658_001:0422b16	次梵天。統攝梵人。圓滿梵行。法華文句云。梵王號令	次 梵 天 統 攝 梵 人 圓 滿 梵 行 法 華 文 句 云 梵 王 號 令 
X88n1658_001:0422b17	總上冠下。荊谿云。梵即色界主。亦三界主。餘皆臣屬。	總 上 冠 下 荊 谿 云 梵 即 色 界 主 亦 三 界 主 餘 皆 臣 屬 
X88n1658_001:0422b18	良由此天內有覺觀。外有語言故也。華嚴稱梵王。主	良 由 此 天 內 有 覺 觀 外 有 語 言 故 也 華 嚴 稱 梵 王 主 
X88n1658_001:0422b19	小千界。由居小千之中。法華稱娑婆界主。主大千界。	小 千 界 由 居 小 千 之 中 法 華 稱 娑 婆 界 主 主 大 千 界 
X88n1658_001:0422b20	乃居大千之中。故統餘界。是知橫則統小千大千。竪	乃 居 大 千 之 中 故 統 餘 界 是 知 橫 則 統 小 千 大 千 竪 
X88n1658_001:0422b21	則總上冠下。總稱王號。其別名者。梵語尸棄。此云頂	則 總 上 冠 下 總 稱 王 號 其 別 名 者 梵 語 尸 棄 此 云 頂 
X88n1658_001:0422b22	髻。亦翻螺髻。由肉髻似螺。法華文句云。外國稱火為	髻 亦 翻 螺 髻 由 肉 髻 似 螺 法 華 文 句 云 外 國 稱 火 為 
X88n1658_001:0422b23	樹提尸棄。由此王本修火光定。破欲界惑。俱舍論云。	樹 提 尸 棄 由 此 王 本 修 火 光 定 破 欲 界 惑 俱 舍 論 云 
X88n1658_001:0422b24	大梵天王無別處所。但於梵輔天中高樓閣者名大	大 梵 天 王 無 別 處 所 但 於 梵 輔 天 中 高 樓 閣 者 名 大 
X88n1658_001:0422c01	梵王。身量長一踰繕那半。身白銀色。宮殿衣服皆黃	梵 王 身 量 長 一 踰 繕 那 半 身 白 銀 色 宮 殿 衣 服 皆 黃 
X88n1658_001:0422c02	金色。壽命一劫半。阿含經云。諸梵來下。並同人形。經	金 色 壽 命 一 劫 半 阿 含 經 云 諸 梵 來 下 並 同 人 形 經 
X88n1658_001:0422c03	律異相云。梵王顏如童子。法苑云。色界諸天不著衣	律 異 相 云 梵 王 顏 如 童 子 法 苑 云 色界諸天 不 著 衣 
X88n1658_001:0422c04	服。如著不異。頭雖無髻。似如天冠。無男女形。相唯一	服 如 著 不 異 頭 雖 無 髻 似 如 天 冠 無 男 女 形 相 唯 一 
X88n1658_001:0422c05	種。華嚴經中以十地對十王。則梵王乃八地菩薩。智	種 華 嚴 經 中 以 十 地 對 十 王 則 梵 王 乃 八 地 菩 薩 智 
X88n1658_001:0422c06	論校量梵福云。滿閻浮地人福不如西瞿耶尼一人	論 校 量 梵 福 云 滿 閻 浮 地 人 福 不 如 西 瞿 耶 尼 一 人 
X88n1658_001:0422c07	福。滿西瞿耶尼人福不如東弗喻逮一人福。滿東弗	福 滿 西 瞿 耶 尼 人 福 不 如 東 弗 喻 逮 一 人 福 滿 東 弗 
X88n1658_001:0422c08	喻逮人福不如北鬱單越一人福。乃至第六天眾福	喻 逮 人 福 不 如 北 鬱 單 越 一 人 福 乃 至 第 六 天 眾 福 
X88n1658_001:0422c09	不如梵天一人福。加修四量心。報為天王。求法傳云。	不 如 梵 天 一 人 福 加 修 四 量 心 報 為 天 王 求 法 傳 云 
X88n1658_001:0422c10	佛下忉利天時。梵王在佛右邊手執白拂而下。佛成	佛 下 忉 利 天 時 梵 王 在 佛 右 邊 手 執 白 拂 而 下 佛 成 
X88n1658_001:0422c11	道已。以宮殿奉佛。請轉法輪。七佛呪經。白佛。若有人	道 已 以 宮 殿 奉 佛 請 轉 法 輪 七 佛 呪 經 白 佛 若 有 人 
X88n1658_001:0422c12	王欲護其國。有災疫時。持我此呪。一心禪思念。諸疫	王 欲 護 其 國 有 災 疫 時 持 我 此 呪 一 心 禪 思 念 諸 疫 
X88n1658_001:0422c13	鬼速出其國。諸經護法之類。其文非一。婆沙論云。馬	鬼 速 出 其 國 諸 經 護 法 之 類 其 文 非 一 婆 沙 論 云 馬 
X88n1658_001:0422c14	勝不知四大種當於何處盡滅無餘。問至梵王。王遂	勝 不 知 四 大 種 當 於 何 處 盡 滅 無 餘 問 至 梵 王 王 遂 
X88n1658_001:0422c15	執馬勝手引出眾外云。何不問佛。華嚴經云。梵王語	執 馬 勝 手 引 出 眾 外 云 何 不 問 佛 華 嚴 經 云 梵 王 語 
X88n1658_001:0422c16	音清妙。一切梵眾各謂梵王獨與己言。遠近同等。涅	音 清 妙 一 切 梵 眾 各 謂 梵 王 獨 與 己 言 遠 近 同 等 涅 
X88n1658_001:0422c17	槃云。婆藪仙與梵王論義。於其面門作三目示之。劫	槃 云 婆 藪 仙 與 梵 王 論 義 於 其 面 門 作 三 目 示 之 劫 
X88n1658_001:0422c18	章頌云。獨住時經一增減。後念民輔有情生。即成劫	章 頌 云 獨 住 時 經 一 增 減 後 念 民 輔 有 情 生 即 成 劫 
X88n1658_001:0422c19	之初梵王先生。梵輔梵眾後生。故彼計為我能生也。	之 初 梵 王 先 生 梵 輔 梵 眾 後 生 故 彼 計 為 我 能 生 也 
X88n1658_001:0422c20	維摩經。梵王曰。我見釋迦牟尼佛土。如自在天宮似。	維 摩 經 梵 王 曰 我 見 釋 迦 牟 尼 佛 土 如 自 在 天 宮 似 
X88n1658_001:0422c21	寶莊嚴佛土。今之佛會所以列之居首者。其意有五。	寶 莊 嚴 佛 土 今 之 佛 會 所 以 列 之 居 首 者 其 意 有 五 
X88n1658_001:0422c22	一是三界號令之主。二是從佛下生之者。三是請轉	一 是 三 界 號 令 之 主 二 是 從 佛 下 生 之 者 三 是 請 轉 
X88n1658_001:0422c23	法輪之者。四乃諸經弘護推先。五以百錄標請在初。	法 輪 之 者 四 乃 諸 經 弘 護 推 先 五 以 百 錄 標 請 在 初 
X88n1658_001:0422c24	舊傳引擎雞持鈴。六帖錄問眼鑿眸既非顯要。今不	舊 傳 引 擎 雞 持 鈴 六 帖 錄 問 眼 鑿 眸 既 非 顯 要 今 不 
X88n1658_001:0423a01	附錄。餘文例此。然探玄記引俱舍論。得梵福有七種。	附 錄 餘 文 例 此 然 探 玄 記 引 俱 舍 論 得 梵 福 有 七 種 
X88n1658_001:0423a02	一未造支提於中而作。二立僧伽藍。三僧已散能和。	一 未 造 支 提 於 中 而 作 二 立 僧 伽 藍 三 僧 已 散 能 和 
X88n1658_001:0423a03	四修四無量。五代父母佛命。六自出家教人出家。七	四 修 四 無 量 五 代 父 母 佛 命 六 自 出 家 教 人 出 家 七 
X88n1658_001:0423a04	建立法幢。若人於上七業中隨作一業。得生梵天。是	建 立 法 幢 若 人 於 上 七 業 中 隨 作 一 業 得 生 梵 天 是 
X88n1658_001:0423a05	知生其初禪梵天。由此七業而受梵福。況其王乎。故	知 生 其 初 禪 梵 天 由 此 七 業 而 受 梵 福 況 其 王 乎 故 
X88n1658_001:0423a06	樂福者得不勉力而修。又其梵福之量。俱舍又云。用	樂 福 者 得 不 勉 力 而 修 又 其 梵 福 之 量 俱 舍 又 云 用 
X88n1658_001:0423a07	諸眾生惡業感一三千大千世界業。為一梵福之量	諸 眾 生 惡 業 感 一 三千大千世界 業 為 一 梵 福 之 量 
X88n1658_001:0423a08	則又勝。智論校量六天之量。且一梵天福。量之尚爾。	則 又 勝 智 論 校 量 六 天 之 量 且 一 梵 天 福 量 之 尚 爾 
X88n1658_001:0423a09	況梵王乎。是宜興供以崇佛會矣。讚曰。	況 梵 王 乎 是 宜 興 供 以 崇 佛 會 矣 讚 曰 
X88n1658_001:0423a10	　我佛天上下生時　　大梵天王前引之	 我 佛 天 上 下 生 時 大 梵 天 王 前 引 之 
X88n1658_001:0423a11	　手執白拂或居右　　宮殿奉献吉祥師	 手 執 白 拂 或 居 右 宮 殿 奉 献 吉 祥 師 
X88n1658_001:0423a12	　請轉法輪真世主　　大千萬億統邊夷	 請 轉 法 輪 真 世 主 大 千 萬 億 統 邊 夷 
X88n1658_001:0423a13	　十八梵中遵號令　　故應上下總依歸	 十 八 梵 中 遵 號 令 故 應 上 下 總 依 歸 
X88n1658_001:0423a14	　身量修長六千里　　一劫半壽數希奇	 身 量 修 長 六 千 里 一 劫 半 壽 數 希 奇 
X88n1658_001:0423a15	　色若白銀頂有髻　　別名尸棄破邪思	 色 若 白 銀 頂 有 髻 別 名 尸 棄 破 邪 思 
X88n1658_001:0423a16	　欲界六天難並福　　禁戒明淨具威儀	 欲界六天 難 並 福 禁 戒 明 淨 具 威 儀 
X88n1658_001:0423a17	　護法護國護修行　　別召眾典每高推	 護 法 護 國 護 修 行 別 召 眾 典 每 高 推 
X88n1658_001:0423a18	　雖則計為眾生父　　天宮佛土動相隨	 雖 則 計 為 眾 生 父 天 宮 佛 土 動 相 隨 
X88n1658_001:0423a19	　欲生其中七種福　　造立佛寺建支提	 欲 生 其 中 七 種 福 造 立 佛 寺 建 支 提 
X88n1658_001:0423a20	　和合眾生代父命　　法幢高樹度群機	 和 合 眾 生 代 父 命 法 幢 高 樹 度 群 機 
X88n1658_001:0423a21	　自他出家超欲海　　喜捨無量廣慈悲	 自 他 出 家 超 欲 海 喜 捨 無 量 廣 慈 悲 
X88n1658_001:0423a22	　聞茲聖力難思議　　首當崇奉仰靈儀	 聞 茲 聖 力 難 思 議 首 當 崇 奉 仰 靈 儀 
X88n1658_001:0423a23	帝釋天王傳	帝 釋 天 王 傳 
X88n1658_001:0423a24	帝釋。華梵互舉而語略也。梵云釋迦因陀羅。或云釋	帝 釋 華 梵 互 舉 而 語 略 也 梵 云 釋 迦 因 陀 羅 或 云 釋 
X88n1658_001:0423b01	提桓因。此云能天帝。或云能天主。俱舍具梵語。乃云	提 桓 因 此 云 能 天 帝 或 云 能 天 主 俱 舍 具 梵 語 乃 云 
X88n1658_001:0423b02	釋迦提婆因達羅。今於梵語取釋字。華言取帝字。合	釋 迦 提 婆 因 達 羅 今 於 梵 語 取 釋 字 華 言 取 帝 字 合 
X88n1658_001:0423b03	而言之云帝釋也。大般若等佛舉其名曰憍尸迦。本	而 言 之 云 帝 釋 也 大 般 若 等 佛 舉 其 名 曰 憍 尸 迦 本 
X88n1658_001:0423b04	有千名。翻譯不備。隨文別示耳。其所居也。在須彌山	有 千 名 翻 譯 不 備 隨 文 別 示 耳 其 所 居 也 在 須 彌 山 
X88n1658_001:0423b05	頂。即欲界第二天。梵語忉利。此翻三十三。由其因中	頂 即 欲 界 第 二 天 梵 語 忉 利 此 翻 三 十 三 由 其 因 中 
X88n1658_001:0423b06	曾與三十三人在摩竭國同修勝業。置橋造井。與園	曾 與 三 十 三 人 在 摩 竭 國 同 修 勝 業 置 橋 造 井 與 園 
X88n1658_001:0423b07	生．善法．赦支夫人同業共行。又淨名疏。昔迦葉滅後。	生 善 法 赦 支 夫 人 同 業 共 行 又 淨 名 疏 昔 迦 葉 滅 後 
X88n1658_001:0423b08	有一女人發心修墖。仍有三十二人助之。今乃同生	有 一 女 人 發 心 修 墖 仍 有 三 十 二 人 助 之 今 乃 同 生 
X88n1658_001:0423b09	忉利。由此天四圍有三十二天宮。其中間帝釋居之。	忉 利 由 此 天 四 圍 有 三 十 二 天 宮 其 中 間 帝 釋 居 之 
X88n1658_001:0423b10	故云三十三。以帝釋因中為首。故報為天王。并有園	故 云 三 十 三 以 帝 釋 因 中 為 首 故 報 為 天 王 并 有 園 
X88n1658_001:0423b11	生．善法．赦支三夫人。其宮之東北有園生樹。西南有	生 善 法 赦 支 三 夫 人 其 宮 之 東 北 有 園 生 樹 西 南 有 
X88n1658_001:0423b12	善法堂。帝釋每陞其堂。集天眾說法。若帝釋不在其	善 法 堂 帝 釋 每 陞 其 堂 集 天 眾 說 法 若 帝 釋 不 在 其 
X88n1658_001:0423b13	堂。諸天凡到必恭敬其座。其身量一里。具三十二相。	堂 諸 天 凡 到 必 恭 敬 其 座 其 身 量 一 里 具 三十二相 
X88n1658_001:0423b14	而諸天不具。其壽限則人間一百年為彼一日一夜。	而 諸 天 不 具 其 壽 限 則 人 間 一 百 年 為 彼 一 日 一 夜 
X88n1658_001:0423b15	三十日為月。十二月為年。以人間三萬六千年為一	三 十 日 為 月 十 二 月 為 年 以 人 間 三 萬 六 千 年 為 一 
X88n1658_001:0423b16	歲。如是壽滿十歲。手執金剛寶杵。表至貴而却敵。故	歲 如 是 壽 滿 十 歲 手 執 金 剛 寶 杵 表 至 貴 而 却 敵 故 
X88n1658_001:0423b17	大論云。帝釋有之。薄福者難見。又涅槃云。帝釋金剛	大 論 云 帝 釋 有 之 薄 福 者 難 見 又 涅 槃 云 帝 釋 金 剛 
X88n1658_001:0423b18	寶杵。能滅阿修羅。淨土三昧經云。天帝釋鎮臣三十	寶 杵 能 滅 阿 修 羅 淨 土 三 昧 經 云 天 帝 釋 鎮 臣 三 十 
X88n1658_001:0423b19	二人。四鎮大王司命司錄。於諸齋日下界審行禍福。	二 人 四 鎮 大 王 司 命 司 錄 於 諸 齋 日 下 界 審 行 禍 福 
X88n1658_001:0423b20	除死定生。注記文籍。若爾則橫於忉利。統三十三天。	除 死 定 生 注 記 文 籍 若 爾 則 橫 於 忉 利 統 三十三天 
X88n1658_001:0423b21	竪則四王已下無不總之。光明文句云。帝釋共八十	竪 則 四 王 已 下 無 不 總 之 光 明 文 句 云 帝 釋 共 八 十 
X88n1658_001:0423b22	億那由他天女縱逸嬉戲。看東忘西。欲猶不足。化為	億 那 由 他 天 女 縱 逸 嬉 戲 看 東 忘 西 欲 猶 不 足 化 為 
