T85n2738_001:0129b03	金剛經疏	金 剛 經 疏 
T85n2738_001:0129c05	忍者謂達法無我。故如經如來說羼提波羅	忍 者 謂 達 法 無 我 故 如 經 如 來 說 羼 提 波 羅 
T85n2738_001:0129c06	蜜。案此謂無生法忍也。又云。云何知忍相若	蜜 案 此 謂 無生法忍 也 又 云 云 何 知 忍 相 若 
T85n2738_001:0129c07	他於已起惡等時。無有我等相。不生嗔想。亦	他 於 已 起 惡 等 時 無 有 我 等 相 不 生 嗔 想 亦 
T85n2738_001:0129c08	不於羼提波羅蜜中生有想。於非波羅蜜中	不 於 羼 提 波 羅 蜜 中 生 有 想 於 非波羅蜜 中 
T85n2738_001:0129c09	生無想。案此解稍異。今明於忍度上不作法	生 無 想 案 此 解 稍 異 今 明 於 忍 度 上 不 作 法 
T85n2738_001:0129c10	想。於非忍上不作非法想。故曰無相亦非無	想 於 非 忍 上 不 作 非 法 想 故 曰 無 相 亦 非 無 
T85n2738_001:0129c11	相也。此等雖有不饒益事。而是法思惟忍攝	相 也 此 等 雖 有 不饒益事 而 是 法 思 惟 忍 攝 
T85n2738_001:0129c12	也。歌利王事。此中應廣說。	也 歌 利 王 事 此 中 應 廣 說 
T85n2738_001:0129c13	經曰。何以故我於往昔至應生嗔恨者證也。	經 曰 何 以 故 我 於 往 昔 至 應 生 嗔 恨 者 證 也 
T85n2738_001:0129c14	更曉無苦義。節節支解害事極也。不生嗔恨	更 曉 無 苦 義 節 節 支 解 害 事 極 也 不 生 嗔 恨 
T85n2738_001:0129c15	忍力猛也。嗔恨因我執而生。我執既無嗔恨。	忍 力 猛 也 嗔 恨 因 我 執 而 生 我 執 既 無 嗔 恨 
T85n2738_001:0129c16	從誰而作。然嗔是大惑。恨是小纏。大惑即可	從 誰 而 作 然 嗔 是 大 惑 恨 是 小 纏 大 惑 即 可 
T85n2738_001:0129c17	報之以殺心。小纏但可加之以楚毒。由嗔具	報 之 以 殺 心 小 纏 但 可 加 之 以 楚 毒 由 嗔 具 
T85n2738_001:0129c18	五義故名大。恨不具故名小。如心說。	五 義 故 名 大 恨 不 具 故 名 小 如 心 說 
T85n2738_001:0129c19	經曰。須菩提又念過去至無壽者相者。明有	經 曰 須 菩 提 又 念 過 去 至 無 壽 者 相 者 明 有 
T85n2738_001:0129c20	樂也。前明有忍故無苦。此明無苦故有樂。何	樂 也 前 明 有 忍 故 無 苦 此 明 無 苦 故 有 樂 何 
T85n2738_001:0129c21	者作忍仙人顯有慈悲。無我等相明無嗔恨。	者 作 忍 仙 人 顯 有 慈 悲 無 我 等 相 明 無 嗔 恨 
T85n2738_001:0129c22	無嗔恨故無苦。有慈悲故有樂。偈曰。	無 嗔 恨 故 無 苦 有 慈 悲 故 有 樂 偈 曰 
T85n2738_001:0129c23	　離我及恚相　　實無於苦惱	 離 我 及 恚 相 實 無 於 苦 惱 
T85n2738_001:0129c24	　苦樂有慈悲　　如是苦行果	 苦 樂 有 慈 悲 如 是 苦 行 果 
T85n2738_001:0129c25	案上半明無苦無自他相故。下半明有樂有	案 上 半 明 無 苦 無 自 他 相 故 下 半 明 有 樂 有 
T85n2738_001:0129c26	悲智相故。由悲有樂。由智無苦。悲智和合故	悲 智 相 故 由 悲 有 樂 由 智 無 苦 悲 智 和 合 故 
T85n2738_001:0129c27	名共也。	名 共 也 
T85n2738_001:0129c28	經曰。是故須菩提至三菩提心者。自下第二	經 曰 是 故 須 菩 提 至 三 菩 提 心 者 自 下 第 二 
T85n2738_001:0129c29	更防其過也。夫見苦而行苦者。則心疲而退	更 防 其 過 也 夫 見 苦 而 行 苦 者 則 心 疲 而 退 
T85n2738_001:0130a01	沒。忘苦而行苦者。則心輕而進昇。為防退沒	沒 忘 苦 而 行 苦 者 則 心 輕 而 進 昇 為 防 退 沒 
T85n2738_001:0130a02	之行所以。教發無住之心也。文中有四。一示	之 行 所 以 教 發 無 住 之 心 也 文 中 有 四 一 示 
T85n2738_001:0130a03	無住心。二示無住境。三示無住障。四示無住	無 住 心 二 示 無 住 境 三 示 無 住 障 四 示 無 住 
T85n2738_001:0130a04	行。此明無住心也。夫菩提以無住為體。若能	行 此 明 無 住 心 也 夫 菩 提 以 無 住 為 體 若 能 
T85n2738_001:0130a05	忘相發心。心即泯同無住。所以離相發心。即	忘 相 發 心 心 即 泯 同 無 住 所 以 離 相 發 心 即 
T85n2738_001:0130a06	無住之體也。無著云。為顯示流轉苦對治故	無 住 之 體 也 無 著 云 為 顯 示 流 轉 苦 對 治 故 
T85n2738_001:0130a07	說應離一切想等。案流轉者謂生死流轉。若	說 應 離 一 切 想 等 案 流 轉 者 謂 生死流轉 若 
T85n2738_001:0130a08	著相行施。則於流轉中有疲乏之苦。今為對	著 相 行 施 則 於 流 轉 中 有 疲 乏 之 苦 今 為 對 
T85n2738_001:0130a09	治言離一切相也。偈曰。	治 言 離一切相 也 偈 曰 
T85n2738_001:0130a10	　為不捨心起　　修行及堅固	 為 不 捨 心 起 修 行 及 堅 固 
T85n2738_001:0130a11	　為忍波羅蜜　　習彼能學心	 為 忍 波 羅 蜜 習 彼 能 學 心 
T85n2738_001:0130a12	為不捨心起者有二。一不捨菩提心。二不捨	為 不 捨 心 起 者 有 二 一 不 捨 菩 提 心 二 不 捨 
T85n2738_001:0130a13	無相心也。故言應離一切相發阿耨菩提心。	無 相 心 也 故 言 應 離一切相 發 阿耨菩提 心 
T85n2738_001:0130a14	此則不捨心也。修行者謂不住色聲香味觸	此 則 不 捨 心 也 修 行 者 謂 不 住 色聲香味觸 
T85n2738_001:0130a15	而修行也。堅固者若離於相修行堅固也。論	而 修 行 也 堅 固 者 若 離 於 相 修 行 堅 固 也 論 
T85n2738_001:0130a16	釋發心修行何所為為忍波羅蜜。習彼能學	釋 發 心 修 行 何 所 為 為 忍 波 羅 蜜 習 彼 能 學 
T85n2738_001:0130a17	心。案忍波羅蜜者。如來忍度也。能學心者。初	心 案 忍 波 羅 蜜 者 如 來 忍 度 也 能 學 心 者 初 
T85n2738_001:0130a18	地心也。今為求如來忍度發心修行。求初地	地 心 也 今 為 求 如 來 忍 度 發 心 修 行 求 初 地 
T85n2738_001:0130a19	能學之心也。又忍波羅蜜者。初地心也。能學	能 學 之 心 也 又 忍 波 羅 蜜 者 初 地 心 也 能 學 
T85n2738_001:0130a20	心者。地前心也。故習地前無住心也。故曰習	心 者 地 前 心 也 故 習 地 前 無 住 心 也 故 曰 習 
T85n2738_001:0130a21	彼能學心。故論曰。入初地羼提波羅蜜。此	彼 能 學 心 故 論 曰 入 初 地 羼 提 波 羅 蜜 此 
T85n2738_001:0130a22	名不住心。案不住者。不住法非法也。故無著	名 不 住 心 案 不 住 者 不 住 法 非 法 也 故 無 著 
T85n2738_001:0130a23	云。於非法及法無我中皆不住故。	云 於 非 法 及 法 無 我 中 皆 不 住 故 
T85n2738_001:0130a24	經曰。不應住色生心至應生無所住心者。此	經 曰 不 應 住 色 生 心 至 應 生 無 所 住 心 者 此 
T85n2738_001:0130a25	示無住境也。不住色生心。令離報恩障。不住	示 無 住 境 也 不 住 色 生 心 令 離 報 恩 障 不 住 
T85n2738_001:0130a26	聲香味觸法生心。令離果報障。應生無所住	聲香味觸 法 生 心 令 離 果 報 障 應 生 無 所 住 
T85n2738_001:0130a27	也。令離相疑障也。真諦云。此中應具離三	也 令 離 相 疑 障 也 真 諦 云 此 中 應 具 離 三 
T85n2738_001:0130a28	障。一己身。二報恩。三果報。己身者若著己身	障 一 己 身 二 報 恩 三 果 報 己 身 者 若 著 己 身 
T85n2738_001:0130a29	即起二見。謂常見斷見。由常故不求未來。由	即 起 二 見 謂 常 見 斷 見 由 常 故 不 求 未 來 由 
T85n2738_001:0130b01	斷故不見未來。故障修行也。餘二可見。	斷 故 不 見 未 來 故 障 修 行 也 餘 二 可 見 
T85n2738_001:0130b02	經曰。若心有住則為非住者。此示無住障也。	經 曰 若 心 有 住 則 為 非 住 者 此 示 無 住 障 也 
T85n2738_001:0130b03	若心有住住前二境則為非住不住菩提。若	若 心 有 住 住 前 二 境 則 為 非 住 不 住 菩 提 若 
T85n2738_001:0130b04	有此心便成障也。真諦云。若心有住者住三	有 此 心 便 成 障 也 真 諦 云 若 心 有 住 者 住 三 
T85n2738_001:0130b05	執也。三執者。一常見。二斷見。三有無見。為	執 也 三 執 者 一 常 見 二 斷 見 三 有 無 見 為 
T85n2738_001:0130b06	離常見故不令住法。為離斷見故不令住非	離 常 見 故 不 令 住 法 為 離 斷 見 故 不 令 住 非 
T85n2738_001:0130b07	法。為離有無見故即令住中道。前一破凡夫	法 為 離 有 無 見 故 即 令 住 中 道 前 一 破 凡 夫 
T85n2738_001:0130b08	執分別性為有。次一破凡夫執依他性為無。	執 分 別 性 為 有 次 一 破 凡 夫 執 依 他 性 為 無 
T85n2738_001:0130b09	後一破二乘執真實性亦有亦無。若不離此	後 一 破 二 乘 執 真 實 性 亦 有 亦 無 若 不 離 此 
T85n2738_001:0130b10	三執。即不與菩提相應故言非住也。	三 執 即 不 與 菩 提 相 應 故 言 非 住 也 
T85n2738_001:0130b11	經曰。是故佛說至布施者。此示無住行。夫昇	經 曰 是 故 佛 說 至 布 施 者 此 示 無 住 行 夫 昇 
T85n2738_001:0130b12	高者必自述涉深者必自淺。是故欲入無住	高 者 必 自 述 涉 深 者 必 自 淺 是 故 欲 入 無 住 
T85n2738_001:0130b13	之心位者。應修無住之行也。無住心位初地	之 心 位 者 應 修 無 住 之 行 也 無 住 心 位 初 地 
T85n2738_001:0130b14	已上。無住行位道種已還。故攝論云。願樂	已 上 無 住 行 位 道 種 已 還 故 攝 論 云 願 樂 
T85n2738_001:0130b15	位六波羅蜜。雖是世間法能引出世心。真諦	位 六波羅蜜 雖 是 世 間 法 能 引 出 世 心 真 諦 
T85n2738_001:0130b16	云。無住心者即真心。若與忍辱相應位在三	云 無 住 心 者 即 真 心 若 與 忍 辱 相 應 位 在 三 
T85n2738_001:0130b17	地。若與施相應位在初地。若與戒相應位在	地 若 與 施 相 應 位 在 初 地 若 與 戒 相 應 位 在 
T85n2738_001:0130b18	二地。四地已上精進禪定智慧方便願力智。	二 地 四 地 已 上 精 進 禪 定 智慧方便 願 力 智 
T85n2738_001:0130b19	隨義應知。為不捨此真心故。離一切相發心	隨 義 應 知 為 不 捨 此 真 心 故 離一切相 發 心 
T85n2738_001:0130b20	修行也。通論地上束為四僧俱修六度。一無	修 行 也 通 論 地 上 束 為 四 僧 俱 修 六 度 一 無 
T85n2738_001:0130b21	羞僧。謂破戒人。二啞羊僧。謂凡夫持戒。三	羞 僧 謂 破 戒 人 二 啞 羊 僧 謂 凡 夫 持 戒 三 
T85n2738_001:0130b22	有羞僧。謂二乘人四第一義僧。謂真菩薩。初	有 羞 僧 謂 二 乘 人 四 第 一 義 僧 謂 真 菩 薩 初 
T85n2738_001:0130b23	三地修世間行相。同凡夫不堪斷決譬之啞	三 地 修 世 間 行 相 同 凡 夫 不 堪 斷 決 譬 之 啞 
T85n2738_001:0130b24	羊。次四地修出世行相。同二乘不復作惡譬	羊 次 四 地 修 出 世 行 相 同 二 乘 不 復 作 惡 譬 
T85n2738_001:0130b25	之有羞。後三地修出出世行。是菩薩自位不	之 有 羞 後 三 地 修 出 出 世 行 是 菩 薩 自 位 不 
T85n2738_001:0130b26	離雜道故稱第一義。一切淨土中有凡夫二	離 雜 道 故 稱 第 一 義 一 切 淨 土 中 有 凡 夫 二 
T85n2738_001:0130b27	乘者。悉須作此判之。若就實為論。則淨土	乘 者 悉 須 作 此 判 之 若 就 實 為 論 則 淨 土 
T85n2738_001:0130b28	中無復凡夫二乘故。往生論曰。女人及根缺。	中 無 復 凡 夫 二 乘 故 往 生 論 曰 女 人 及 根 缺 
T85n2738_001:0130b29	二乘種不生也。寄相則有故。觀經明三輩九	二 乘 種 不 生 也 寄 相 則 有 故 觀 經 明 三 輩 九 
T85n2738_001:0130c01	品。則凡夫二乘亦往生也。波頗云。應佛淨土	品 則 凡 夫 二 乘 亦 往 生 也 波 頗 云 應 佛 淨 土 
T85n2738_001:0130c02	有凡夫二乘。報佛淨土則無。真諦云。凡夫	有 凡 夫 二 乘 報 佛 淨 土 則 無 真 諦 云 凡 夫 
T85n2738_001:0130c03	二乘於穢土中見阿彌陀佛。諸菩薩於淨土	二 乘 於 穢 土 中 見 阿 彌 陀 佛 諸 菩 薩 於 淨 土 
T85n2738_001:0130c04	中見阿彌陀佛。案此二說。報土則一向純淨。	中 見 阿 彌 陀 佛 案 此 二 說 報 土 則 一 向 純 淨 
T85n2738_001:0130c05	應土則有染有淨。	應 土 則 有 染 有 淨 
T85n2738_001:0130c06	經曰。須菩提菩薩至應如是布施者。自下約	經 曰 須 菩 提 菩 薩 至 應 如 是 布 施 者 自 下 約 
T85n2738_001:0130c07	無住斷疑兩重。一約斷疑。二約自行斷。外化	無 住 斷 疑 兩 重 一 約 斷 疑 二 約 自 行 斷 外 化 
T85n2738_001:0130c08	者疑曰。若其無住為誰修行。若見眾生可為	者 疑 曰 若 其 無 住 為 誰 修 行 若 見 眾 生 可 為 
T85n2738_001:0130c09	應名住著眾生。今明約俗可言有為。約真即	應 名 住 著 眾 生 今 明 約 俗 可 言 有 為 約 真 即 
T85n2738_001:0130c10	無所為故。偈曰。	無 所 為 故 偈 曰 
T85n2738_001:0130c11	　修行為眾生　　如是因當識	 修 行 為 眾 生 如 是 因 當 識 
T85n2738_001:0130c12	　眾生及彼事　　遠離亦應知	 眾 生 及 彼 事 遠 離 亦 應 知 
T85n2738_001:0130c13	上半明俗。下半明真。文有兩重。一約俗二約	上 半 明 俗 下 半 明 真 文 有 兩 重 一 約 俗 二 約 
T85n2738_001:0130c14	真。此約俗也。為利益一切眾生應如是布施	真 此 約 俗 也 為 利 益 一 切 眾 生 應 如 是 布 施 
T85n2738_001:0130c15	者。明約俗有眾生可言有為故。言為利益一	者 明 約 俗 有 眾 生 可 言 有 為 故 言 為 利 益 一 
T85n2738_001:0130c16	切眾生應如是布施。何以故。由約俗諦陰界	切 眾 生 應 如 是 布 施 何 以 故 由 約 俗 諦 陰 界 
T85n2738_001:0130c17	入等有故。言利益者三檀分別。即登眾生捨	入 等 有 故 言 利 益 者 三 檀 分 別 即 登 眾 生 捨 
T85n2738_001:0130c18	三種苦。得三種樂。由資生檀故。令捨貧窮苦	三 種 苦 得 三 種 樂 由 資 生 檀 故 令 捨 貧 窮 苦 
T85n2738_001:0130c19	得巨富樂。由無畏檀故。令捨怖畏苦得安穩	得 巨 富 樂 由 無 畏 檀 故 令 捨 怖 畏 苦 得 安 穩 
T85n2738_001:0130c20	樂由法檀故。令捨生死苦得涅槃樂。菩薩所	樂 由 法 檀 故 令 捨 生 死 苦 得 涅 槃 樂 菩 薩 所 
T85n2738_001:0130c21	以能三檀利益眾生者。六真七似故。能利益	以 能 三 檀 利 益 眾 生 者 六 真 七 似 故 能 利 益 
T85n2738_001:0130c22	眾生。六真者。謂以六度利益眾生也。以施	眾 生 六 真 者 謂 以 六 度 利 益 眾 生 也 以 施 
T85n2738_001:0130c23	令成善器。以戒令其禁守。以忍耐與違惡。以	令 成 善 器 以 戒 令 其 禁 守 以 忍 耐 與 違 惡 以 
T85n2738_001:0130c24	進助其順善。以定化令入法。以智斷其疑網。	進 助 其 順 善 以 定 化 令 入 法 以 智 斷 其 疑 網 
T85n2738_001:0130c25	如偈說令器及禁耐惡與助善入法亦斷疑六	如 偈 說 令 器 及 禁 耐 惡 與 助 善 入 法 亦 斷 疑 六 
T85n2738_001:0130c26	行饒益事。七似者。一似母。二似父。三似善	行 饒 益 事 七 似 者 一 似 母 二 似 父 三 似 善 
T85n2738_001:0130c27	友。四似同侶。五似健奴五六似闍梨。七似和	友 四 似 同 侶 五 似 健 奴 五 六 似 闍 梨 七 似 和 
T85n2738_001:0130c28	上。此七各有五業。合三十五種饒益。如法	上 此 七 各 有 五 業 合 三 十 五 種 饒 益 如 法 
T85n2738_001:0130c29	華讚述中說。由菩薩能具六真七似。能利益	華 讚 述 中 說 由 菩 薩 能 具 六 真 七 似 能 利 益 
T85n2738_001:0131a01	眾生故。言為利益一切眾生應如是布施也。	眾 生 故 言 為 利 益 一 切 眾 生 應 如 是 布 施 也 
T85n2738_001:0131a02	經曰。如來說一切諸相至則非眾生。此約真	經 曰 如 來 說 一 切 諸 相 至 則 非 眾 生 此 約 真 
T85n2738_001:0131a03	也。意明約真得言無住。何者諸相是眾生之	也 意 明 約 真 得 言 無 住 何 者 諸 相 是 眾 生 之 
T85n2738_001:0131a04	體。眾生即眾生之名。諸相非相。體空而非實。	體 眾 生 即 眾 生 之 名 諸 相 非 相 體 空 而 非 實 
T85n2738_001:0131a05	眾生非生名空。而是假名體空矣。何所住哉。	眾 生 非 生 名 空 而 是 假 名 體 空 矣 何 所 住 哉 
T85n2738_001:0131a06	故偈曰。	故 偈 曰 
T85n2738_001:0131a07	　假名及陰事　　如來離彼相	 假 名 及 陰 事 如 來 離 彼 相 
T85n2738_001:0131a08	　諸佛無彼二　　以見實法故	 諸 佛 無 彼 二 以 見 實 法 故 
T85n2738_001:0131a09	案初二句約真無住。後兩句證無住意。無彼	案 初 二 句 約 真 無 住 後 兩 句 證 無 住 意 無 彼 
T85n2738_001:0131a10	二者無名及體也。餘可見。無著云。由不無眾	二 者 無 名 及 體 也 餘 可 見 無 著 云 由 不 無 眾 
T85n2738_001:0131a11	生故。眾生相違時生疲乏。故顯示人無我法	生 故 眾 生 相 違 時 生 疲 乏 故 顯 示 人 無 我 法 
T85n2738_001:0131a12	無我等。案此即約真無住也。真諦云。假名	無 我 等 案 此 即 約 真 無 住 也 真 諦 云 假 名 
T85n2738_001:0131a13	者有二。一通名。謂六道名。二別名。謂父母所	者 有 二 一 通 名 謂 六 道 名 二 別 名 謂 父 母 所 
T85n2738_001:0131a14	立名。此二名若離六根六識名則不可得。故	立 名 此 二 名 若 離 六 根 六 識 名 則 不 可 得 故 
T85n2738_001:0131a15	名是假。若離名色根識亦不可得。若離四大	名 是 假 若 離 名 色 根 識 亦 不 可 得 若 離 四 大 
T85n2738_001:0131a16	色亦不可得。不可即得是境無。境無故識無。	色 亦 不 可 得 不 可 即 得 是 境 無 境 無 故 識 無 
T85n2738_001:0131a17	識無故眾生名體並皆無也。名色無者分別	識 無 故 眾 生 名 體 並 皆 無 也 名 色 無 者 分 別 
T85n2738_001:0131a18	無也。識無者依他無也。二既空矣。何所度	無 也 識 無 者 依 他 無 也 二 既 空 矣 何 所 度 
T85n2738_001:0131a19	哉。故言約真即無所為也。	哉 故 言 約 真 即 無 所 為 也 
T85n2738_001:0131a20	經曰。須菩提如來是真語者至不異語者者。	經 曰 須 菩 提 如 來 是 真 語 者 至 不 異 語 者 者 
T85n2738_001:0131a21	前約外化明無住。此約自所明無住。疑曰。道	前 約 外 化 明 無 住 此 約 自 所 明 無 住 疑 曰 道 
T85n2738_001:0131a22	若無住不應與果為因。若住果者何得復名	若 無 住 不 應 與 果 為 因 若 住 果 者 何 得 復 名 
T85n2738_001:0131a23	無住。今明道雖不住。而能為因。此乃證真	無 住 今 明 道 雖 不 住 而 能 為 因 此 乃 證 真 
T85n2738_001:0131a24	者云所通非理外者云能達。但可依我語。以	者 云 所 通 非 理 外 者 云 能 達 但 可 依 我 語 以 
T85n2738_001:0131a25	取信憑聖教修行耳。文有二重。一勸信。二防	取 信 憑 聖 教 修 行 耳 文 有 二 重 一 勸 信 二 防 
T85n2738_001:0131a26	過。此勸信也。五語為顯四意。真語說真智。如	過 此 勸 信 也 五 語 為 顯 四 意 真 語 說 真 智 如 
T85n2738_001:0131a27	語說真如。實語說四諦之理。不誑語記三世	語 說 真 如 實 語 說 四 諦 之 理 不 誑 語 記 三 世 
T85n2738_001:0131a28	之事。不異一語總定前四迴不可迴也。故偈	之 事 不 異 一 語 總 定 前 四 迴 不 可 迴 也 故 偈 
T85n2738_001:0131a29	曰。	曰 
T85n2738_001:0131b01	　果雖不住道　　而道能為因	 果 雖 不 住 道 而 道 能 為 因 
T85n2738_001:0131b02	　以諸佛實語　　彼智有四種	 以 諸 佛 實 語 彼 智 有 四 種 
T85n2738_001:0131b03	然初兩句明因果俱無住果。由離相故不住	然 初 兩 句 明 因 果 俱 無 住 果 由 離 相 故 不 住 
T85n2738_001:0131b04	因中因。由離相故不住於果。雖各不住而因	因 中 因 由 離 相 故 不 住 於 果 雖 各 不 住 而 因 
T85n2738_001:0131b05	果相承。此則無住之中住也。問。無住之住豈	果 相 承 此 則 無 住 之 中 住 也 問 無 住 之 住 豈 
T85n2738_001:0131b06	非住耶。答。約俗則有因果得論有住非住。約	非 住 耶 答 約 俗 則 有 因 果 得 論 有 住 非 住 約 
T85n2738_001:0131b07	真明無因果不得論有住不住也。故無著云。	真 明 無 因 果 不 得 論 有 住 不 住 也 故 無 著 云 
T85n2738_001:0131b08	俗諦故有因果及菩提。次兩句總標五語。偈	俗 諦 故 有 因 果 及 菩 提 次 兩 句 總 標 五 語 偈 
T85n2738_001:0131b09	曰。	曰 
T85n2738_001:0131b10	　實智及小乘　　說摩訶衍法	 實 智 及 小 乘 說 摩 訶 衍 法 
T85n2738_001:0131b11	　及一切受記　　以不虛說故	 及 一 切 受 記 以 不 虛 說 故 
T85n2738_001:0131b12	實智者謂真語也。小乘者實語也。摩訶衍者	實 智 者 謂 真 語 也 小 乘 者 實 語 也 摩 訶 衍 者 
T85n2738_001:0131b13	如語也。一切受記者不誑語也。以不虛說者	如 語 也 一 切 受 記 者 不 誑 語 也 以 不 虛 說 者 
T85n2738_001:0131b14	不異語也。無著云。真語者為顯世諦相故。實	不 異 語 也 無 著 云 真 語 者 為 顯 世 諦 相 故 實 
T85n2738_001:0131b15	語者為顯世諦修行。有煩惱及清淨故。如語	語 者 為 顯 世 諦 修 行 有 煩 惱 及 清 淨 故 如 語 
T85n2738_001:0131b16	者為第一義諦相故。不異語者為第一義修	者 為 第一義諦 相 故 不 異 語 者 為 第 一 義 修 
T85n2738_001:0131b17	行。有煩惱及清淨故。案前二語明說俗為實。	行 有 煩 惱 及 清 淨 故 案 前 二 語 明 說 俗 為 實 
T85n2738_001:0131b18	後二語明說真不虛。真諦云。真語謂如來自	後 二 語 明 說 真 不 虛 真 諦 云 真 語 謂 如 來 自 
T85n2738_001:0131b19	誓。自誓有二。一明如來所轉法輪。一切世	誓 自 誓 有 二 一 明 如 來 所 轉 法 輪 一 切 世 
T85n2738_001:0131b20	間波羅門天魔等。無能翻我所說。二明如來	間 波 羅 門 天 魔 等 無 能 翻 我 所 說 二 明 如 來 
T85n2738_001:0131b21	立十號名。一切世間波羅門天魔等。無能破	立 十 號 名 一切世間 波 羅 門 天 魔 等 無 能 破 
T85n2738_001:0131b22	壞此名。由說真故名真語也。實語者約小	壞 此 名 由 說 真 故 名 真 語 也 實 語 者 約 小 
T85n2738_001:0131b23	乘說四諦三解脫門。一切諸法無自性空。空	乘 說 四 諦 三解脫門 一切諸法 無 自 性 空 空 
T85n2738_001:0131b24	故無相。無相故無願。此但約人空說也。雖有	故 無 相 無 相 故 無 願 此 但 約 人 空 說 也 雖 有 
T85n2738_001:0131b25	三名總同一體。此說實故名實語也。如語者	三 名 總 同 一 體 此 說 實 故 名 實 語 也 如 語 者 
T85n2738_001:0131b26	約大乘說三性三無性。即法空真如。謂三解	約 大 乘 說 三 性 三 無 性 即 法 空 真 如 謂 三 解 
T85n2738_001:0131b27	脫門。此等三門能離三障故。佛性論云。知分	脫 門 此 等 三 門 能 離 三 障 故 佛 性 論 云 知 分 
