T51n2096_001:1052a17	天台山記	天 台 山 記 
T51n2096_001:1052b04	五縣界中。去人境不遠。路經瀑布。次經猶	五 縣 界 中 去 人 境 不 遠 路 經 瀑 布 次 經 猶 
T51n2096_001:1052b05	溪。至于浙山。猶溪在唐興縣。東二十里發	溪 至 于 浙 山 猶 溪 在 唐 興 縣 東 二 十 里 發 
T51n2096_001:1052b06	源。自花頂。從鳳凰山東南流。合縣大溪。入	源 自 花 頂 從 鳳 凰 山 東 南 流 合 縣 大 溪 入 
T51n2096_001:1052b07	于臨海郡溪江也。其水深岭前有石橋。遙	于 臨 海 郡 溪 江 也 其 水 深 岭 前 有 石 橋 遙 
T51n2096_001:1052b08	望不盈尺長。數十步臨絕溟之澗。忘其身者	望 不 盈 尺 長 數 十 步 臨 絕 溟 之 澗 忘 其 身 者 
T51n2096_001:1052b09	然後能度。度者見天台山。蔚然凝秀。雙嶺於	然 後 能 度 度 者 見 天 台 山 蔚 然 凝 秀 雙 嶺 於 
T51n2096_001:1052b10	青霄之上。有瓊樓玉堂。瑤琳醴泉。仙物異	青 霄 之 上 有 瓊 樓 玉 堂 瑤 琳 醴 泉 仙 物 異 
T51n2096_001:1052b11	種。偶或有見者。當時斫樹記之。爾尋則不復	種 偶 或 有 見 者 當 時 斫 樹 記 之 爾 尋 則 不 復 
T51n2096_001:1052b12	可得也。按此記說。則神異之所。非造次可	可 得 也 按 此 記 說 則 神 異 之 所 非 造 次 可 
T51n2096_001:1052b13	覩焉。今遊人眾所見者。蓋非此橋。且猶溪	覩 焉 今 遊 人 眾 所 見 者 蓋 非 此 橋 且 猶 溪 
T51n2096_001:1052b14	高處不見有橋。今眾人所見者。乃在歇亭西	高 處 不 見 有 橋 今 眾 人 所 見 者 乃 在 歇 亭 西 
T51n2096_001:1052b15	二十里。水流于剡縣界。定知。不是長康所說	二 十 里 水 流 于 剡 縣 界 定 知 不 是 長 康 所 說 
T51n2096_001:1052b16	之橋也。州取山名。曰台州。縣隷唐興。即古始	之 橋 也 州 取 山 名 曰 台 州 縣 隷 唐 興 即 古 始 
T51n2096_001:1052b17	豐縣也。肅宗上元二年。改為唐興縣。山去州	豐 縣 也 肅 宗 上 元 二 年 改 為 唐 興 縣 山 去 州 
T51n2096_001:1052b18	一百四十八里。去縣有一十八里。一頭亞入	一 百 四 十 八 里 去 縣 有 一 十 八 里 一 頭 亞 入 
T51n2096_001:1052b19	滄海。中有金[這言+(序予+手)]不死之鄉。在桐柏之中。方圓	滄 海 中 有 金 [這言序予手] 不 死 之 鄉 在 桐 柏 之 中 方 圓 
T51n2096_001:1052b20	可三十里。上常有黃雲覆之。樹則蘇玡琳碧。	可 三 十 里 上 常 有 黃 雲 覆 之 樹 則 蘇 玡 琳 碧 
T51n2096_001:1052b21	泉則石髓金漿。真誥所謂金庭洞。天是桐柏。	泉 則 石 髓 金 漿 真 誥 所 謂 金 庭 洞 天 是 桐 柏 
T51n2096_001:1052b22	真人之所治也。真人　周靈王太子喬。字	真 人 之 所 治 也 真 人 周 靈 王 太 子 喬 字 
T51n2096_001:1052b23	子晉。好吹笙。作鳳鳴於伊鵒間。道人浮近公	子 晉 好 吹 笙 作 鳳 鳴 於 伊 鵒 間 道 人 浮 近 公 
T51n2096_001:1052b24	接以上嵩山。三十餘年後。求之不得。偶乘白	接 以 上 嵩 山 三 十 餘 年 後 求 之 不 得 偶 乘 白 
T51n2096_001:1052b25	鶴謝時人而去。以仙官授任為桐柏。真人右	鶴 謝 時 人 而 去 以 仙 官 授 任 為 桐 柏 真 人 右 
T51n2096_001:1052b26	弼王領五岳。司侍帝來治茲山也。故真誥云。	弼 王 領 五 岳 司 侍 帝 來 治 茲 山 也 故 真 誥 云 
T51n2096_001:1052b27	吳句曲之金陵。越桐柏之金[這言+(序予+手)]。成真之靈墟。	吳 句 曲 之 金 陵 越 桐 柏 之 金 [這言序予手] 成 真 之 靈 墟 
T51n2096_001:1052b28	養神之福境。名山福地記云。洪波不登三災	養 神 之 福 境 名 山 福 地 記 云 洪 波 不 登 三 災 
T51n2096_001:1052b29	黃莫至。又云。經丹水南行。有洞交會。從中過	黃 莫 至 又 云 經 丹 水 南 行 有 洞 交 會 從 中 過 
T51n2096_001:1052c01	即。赤城丹山之洞。上玉清平之天。周迴三百	即 赤 城 丹 山 之 洞 上 玉 清 平 之 天 周 迴 三 百 
T51n2096_001:1052c02	里。洞門在樂安縣界。即十六洞天第六洞也。	里 洞 門 在 樂 安 縣 界 即 十 六 洞 天 第 六 洞 也 
T51n2096_001:1052c03	即茆司命所治也。群峯崢嶸。碧障合沓。磨霄	即 茆 司 命 所 治 也 群 峯 崢 嶸 碧 障 合 沓 磨 霄 
T51n2096_001:1052c04	凌漢。因蒸雲起霧。桑迸芳瑤。花間發。光彩	凌 漢 因 蒸 雲 起 霧 桑 迸 芳 瑤 花 間 發 光 彩 
T51n2096_001:1052c05	輝燭。四時如春。鳳翔神鸞棲於其上。豐孤文	輝 燭 四 時 如 春 鳳 翔 神 鸞 棲 於 其 上 豐 孤 文 
T51n2096_001:1052c06	豹隱於其中。南馳縉雲。北接四明。東拒溟滶。	豹 隱 於 其 中 南 馳 縉 雲 北 接 四 明 東 拒 溟 滶 
T51n2096_001:1052c07	西通剡川。又多產檉松桂垂珠積翠於重巖	西 通 剡 川 又 多 產 檉 松 桂 垂 珠 積 翠 於 重 巖 
T51n2096_001:1052c08	聖光靈芝吐耀於幽谷。至於巖煙匿景。匪從	聖 光 靈 芝 吐 耀 於 幽 谷 至 於 巖 煙 匿 景 匪 從 
T51n2096_001:1052c09	與五岳爭雄。考異搜奇自可引三山為正爰	與 五 岳 爭 雄 考 異 搜 奇 自 可 引 三 山 為 正 爰 
T51n2096_001:1052c10	泊。晉宗至于梁陳咸以日中星[后/((焉正)(烈列)+一)]望秩茲山	泊 晉 宗 至 于 梁 陳 咸 以 日 中 星 [后焉正烈列一] 望 秩 茲 山 
T51n2096_001:1052c11	藏壁獻琛率為常興。枹朴子內篇云。凡諸小	藏 壁 獻 琛 率 為 常 興 枹 朴 子 內 篇 云 凡 諸 小 
T51n2096_001:1052c12	山不堪作神丹金液。皆有木石之精。千歲老	山 不 堪 作 神 丹 金 液 皆 有 木 石 之 精 千 歲 老 
T51n2096_001:1052c13	魅能壞人藥。唯嵩鎮少失縉雲羅浮。大小台	魅 能 壞 人 藥 唯 嵩 鎮 少 失 縉 雲 羅 浮 大 小 台 
T51n2096_001:1052c14	比諸山。正神居處。助人為福。可以修真。練	比 諸 山 正 神 居 處 助 人 為 福 可 以 修 真 練 
T51n2096_001:1052c15	藥台矣。天台觀在唐興縣北十八里。洞柏山	藥 台 矣 天 台 觀 在 唐 興 縣 北 十 八 里 洞 柏 山 
T51n2096_001:1052c16	西南瀑布巖下。舊圖經云。吳主孫權為葛仙	西 南 瀑 布 巖 下 舊 圖 經 云 吳 主 孫 權 為 葛 仙 
T51n2096_001:1052c17	公所創。最居形勝。北松王真君。壇東北連丹	公 所 創 最 居 形 勝 北 松 王 真 君 壇 東 北 連 丹 
T51n2096_001:1052c18	霞洞。西北拋翠屏巖。故孫興公天台山賦云。	霞 洞 西 北 拋 翠 屏 巖 故 孫 興 公 天 台 山 賦 云 
T51n2096_001:1052c19	榑壁立之翠屏即此巖也。仙壇與翠屏巖聳	榑 壁 立 之 翠 屏 即 此 巖 也 仙 壇 與 翠 屏 巖 聳 
T51n2096_001:1052c20	空鬪峙瀑布迸流落落西崖間。可千餘丈。狀	空 鬪 峙 瀑 布 迸 流 落 落 西 崖 間 可 千 餘 丈 狀 
T51n2096_001:1052c21	素蜺垂天。飛帛觸地。孫興公賦云。瀑布飛流。	素 蜺 垂 天 飛 帛 觸 地 孫 興 公 賦 云 瀑 布 飛 流 
T51n2096_001:1052c22	以界道即此處是也。騰波濆沫近驚翻雲。鼓	以 界 道 即 此 處 是 也 騰 波 濆 沫 近 驚 翻 雲 鼓 
T51n2096_001:1052c23	怒浪雷遙聞神悅瀑布南流。百餘步與靈溪	怒 浪 雷 遙 聞 神 悅 瀑 布 南 流 百 餘 步 與 靈 溪 
T51n2096_001:1052c24	相合。流注縣大溪。入于臨海郡也。觀中流	相 合 流 注 縣 大 溪 入 于 臨 海 郡 也 觀 中 流 
T51n2096_001:1052c25	引瀑水縈遶廊院。灌注池沼。苛芰芬芳蘿竹	引 瀑 水 縈 遶 廊 院 灌 注 池 沼 苛 芰 芬 芳 蘿 竹 
T51n2096_001:1052c26	交暯。遊者忘歸。勝概之極也。觀東一百五十	交 暯 遊 者 忘 歸 勝 概 之 極 也 觀 東 一 百 五 十 
T51n2096_001:1052c27	步。先有故柳史君宅。號曰。紫霄山居。南矚	步 先 有 故 柳 史 君 宅 號 曰 紫 霄 山 居 南 矚 
T51n2096_001:1052c28	蒼嶺。北接紫霄。峯左右皆烈小山。邐迤為	蒼 嶺 北 接 紫 霄 峯 左 右 皆 烈 小 山 邐 迤 為 
T51n2096_001:1052c29	勢。東北連丹霞洞。洞有葛仙公練丹之初所	勢 東 北 連 丹 霞 洞 洞 有 葛 仙 公 練 丹 之 初 所 
T51n2096_001:1053a01	也。宅中多植靈苑翠檉修笙。其卉曲池環沼。	也 宅 中 多 植 靈 苑 翠 檉 修 笙 其 卉 曲 池 環 沼 
T51n2096_001:1053a02	藥院丹爐。斯亦鍊化之奇景也。柳君名泌。憲	藥 院 丹 爐 斯 亦 鍊 化 之 奇 景 也 柳 君 名 泌 憲 
T51n2096_001:1053a03	宗十三年自復州石門山。詔徵授台州刺史。	宗 十 三 年 自 復 州 石 門 山 詔 徵 授 台 州 刺 史 
T51n2096_001:1053a04	不至郡便山。山下領務備藥後渾家於丹霞	不 至 郡 便 山 山 下 領 務 備 藥 後 渾 家 於 丹 霞 
T51n2096_001:1053a05	洞隱仙也。自天台觀。西去瀑布寺一里。宋元	洞 隱 仙 也 自 天 台 觀 西 去 瀑 布 寺 一 里 宋 元 
T51n2096_001:1053a06	嘉年中。沙門法順所興立。近瀑布下。因以為	嘉 年 中 沙 門 法 順 所 興 立 近 瀑 布 下 因 以 為 
T51n2096_001:1053a07	名寺。北一里有巖。高百丈名百丈巖。巖下靈	名 寺 北 一 里 有 巖 高 百 丈 名 百 丈 巖 巖 下 靈 
T51n2096_001:1053a08	溪。孫興公賦。過靈溪而一灌疏煩憲於心[((巨匚)@一)/(工*几)/木]	溪 孫 興 公 賦 過 靈 溪 而 一 灌 疏 煩 憲 於 心 [巨匚一工几木] 
T51n2096_001:1053a09	寺引溪水經厨中。過還遶廊院。寺南九峯山。	寺 引 溪 水 經 厨 中 過 還 遶 廊 院 寺 南 九 峯 山 
T51n2096_001:1053a10	山高百餘丈。周迴六里。亦天台有派幹也。舊	山 高 百 餘 丈 周 迴 六 里 亦 天 台 有 派 幹 也 舊 
T51n2096_001:1053a11	名九壠山。天寶六載改為九峯山。昔王逸少	名 九 壠 山 天 寶 六 載 改 為 九 峯 山 昔 王 逸 少 
T51n2096_001:1053a12	與支遁林。常登此山。以為勝矚也。自天台觀。	與 支 遁 林 常 登 此 山 以 為 勝 矚 也 自 天 台 觀 
T51n2096_001:1053a13	北路上桐柏觀一十二里。皆懸崖磴道盤折	北 路 上 桐 柏 觀 一 十 二 里 皆 懸 崖 磴 道 盤 折 
T51n2096_001:1053a14	而上。皆長松狹路。至于桐柏洞門。故賦云。	而 上 皆 長 松 狹 路 至 于 桐 柏 洞 門 故 賦 云 
T51n2096_001:1053a15	蘇萋萋纖草蔭落落之長松。即此地也。自洞	蘇 萋 萋 纖 草 蔭 落 落 之 長 松 即 此 地 也 自 洞 
T51n2096_001:1053a16	門一小嶺可二里。乃至觀處倚小松嶺。嶺前	門 一 小 嶺 可 二 里 乃 至 觀 處 倚 小 松 嶺 嶺 前 
T51n2096_001:1053a17	豁然平陸數傾。四面持起。峯巒有若郛郭。迺	豁 然 平 陸 數 傾 四 面 持 起 峯 巒 有 若 郛 郭 迺 
T51n2096_001:1053a18	神真之所休憩。巢許之所欽。自非噏沈凌霄	神 真 之 所 休 憩 巢 許 之 所 欽 自 非 噏 沈 凌 霄 
T51n2096_001:1053a19	漢。夢龜鶴之夭促。與天地而長久者何以居	漢 夢 龜 鶴 之 夭 促 與 天 地 而 長 久 者 何 以 居 
T51n2096_001:1053a20	焉。昔褚先生修道之所。又徐法師亦於此立	焉 昔 褚 先 生 修 道 之 所 又 徐 法 師 亦 於 此 立 
T51n2096_001:1053a21	道房。[〦/(刀*了*(留刀田))/二]閤號曰。隱真之中峯觀前有田傾餘。	道 房 [〦刀了留刀田二] 閤 號 曰 隱 真 之 中 峯 觀 前 有 田 傾 餘 
T51n2096_001:1053a22	東有溪曰清溪。溪注田。西經三井飛流瀑布。	東 有 溪 曰 清 溪 溪 注 田 西 經 三 井 飛 流 瀑 布 
T51n2096_001:1053a23	凡是遊客但覩景奇物異。恍然似昇玄都至	凡 是 遊 客 但 覩 景 奇 物 異 恍 然 似 昇 玄 都 至 
T51n2096_001:1053a24	京者矣。觀即唐叡宗景龍二年。為白雲先生	京 者 矣 觀 即 唐 叡 宗 景 龍 二 年 為 白 雲 先 生 
T51n2096_001:1053a25	所置。白先生乃司馬天師也。名子徵。字承禎。	所 置 白 先 生 乃 司 馬 天 師 也 名 子 徵 字 承 禎 
T51n2096_001:1053a26	河內溫人。事載在碑中。先生初入花頂峯。遇	河 內 溫 人 事 載 在 碑 中 先 生 初 入 花 頂 峯 遇 
T51n2096_001:1053a27	王義之。入山學業。先生過筆法付義之。子欲	王 義 之 入 山 學 業 先 生 過 筆 法 付 義 之 子 欲 
T51n2096_001:1053a28	學書。好聽吾語。夫受筆法。與俗不同。須靜其	學 書 好 聽 吾 語 夫 受 筆 法 與 俗 不 同 須 靜 其 
T51n2096_001:1053a29	心後澄其心。思暮在功書筋骨附近氣力。又	心 後 澄 其 心 思 暮 在 功 書 筋 骨 附 近 氣 力 又 
T51n2096_001:1053b01	須圴停。握管與握至無殊下筆。與投峯不別。	須 圴 停 握 管 與 握 至 無 殊 下 筆 與 投 峯 不 別 
T51n2096_001:1053b02	莫誇端正。但取堅強筋力。若成自然端正。東	莫 誇 端 正 但 取 堅 強 筋 力 若 成 自 然 端 正 東 
T51n2096_001:1053b03	邊石室。子莫頻過盡。是異獸精靈也。向餘邊	邊 石 室 子 莫 頻 過 盡 是 異 獸 精 靈 也 向 餘 邊 
T51n2096_001:1053b04	受業。凡人到彼必傷緣。殘吾命。汝將來料伊	受 業 凡 人 到 彼 必 傷 緣 殘 吾 命 汝 將 來 料 伊 
T51n2096_001:1053b05	不敢。西邊石室甚是清閑。案硯俱全。詩書並	不 敢 西 邊 石 室 甚 是 清 閑 案 硯 俱 全 詩 書 並 
T51n2096_001:1053b06	足。松花仙果可給。朝飡石茗香泉堪充。暮飲	足 松 花 仙 果 可 給 朝 飡 石 茗 香 泉 堪 充 暮 飲 
T51n2096_001:1053b07	閑翫水自散情。懷悶即凌峯。莫思閑事。義之	閑 翫 水 自 散 情 懷 悶 即 凌 峯 莫 思 閑 事 義 之 
T51n2096_001:1053b08	既蒙處分。豈敢有違。一登石室二載不虧。夜	既 蒙 處 分 豈 敢 有 違 一 登 石 室 二 載 不 虧 夜 
T51n2096_001:1053b09	則望月臨池。朝則投雲握管。澄濾其。思暮在	則 望 月 臨 池 朝 則 投 雲 握 管 澄 濾 其 思 暮 在 
T51n2096_001:1053b10	功書。清靜其心神。志求筆法。光迴影轉節。勿	功 書 清 靜 其 心 神 志 求 筆 法 光 迴 影 轉 節 勿 
T51n2096_001:1053b11	頻移日就月。將便經年載。義之第一年學書。	頻 移 日 就 月 將 便 經 年 載 義 之 第 一 年 學 書 
T51n2096_001:1053b12	似蛇驚春蟄。魚躍寒泉。筆下龍飛行間蝶舞。	似 蛇 驚 春 蟄 魚 躍 寒 泉 筆 下 龍 飛 行 間 蝶 舞 
T51n2096_001:1053b13	雖未殊妙。早以驚群。至第二年學書。似鶴度	雖 未 殊 妙 早 以 驚 群 至 第 二 年 學 書 似 鶴 度 
T51n2096_001:1053b14	春林。雲飛玉間。筆含五彩。墨點如龜。筯骨相	春 林 雲 飛 玉 間 筆 含 五 彩 墨 點 如 龜 筯 骨 相 
T51n2096_001:1053b15	連。似垂金鎖。至第三年學書。將為是妙也。遂	連 似 垂 金 鎖 至 第 三 年 學 書 將 為 是 妙 也 遂 
T51n2096_001:1053b16	書得數紙來。先生再拜。展於案上。一見凜然	書 得 數 紙 來 先 生 再 拜 展 於 案 上 一 見 凜 然 
T51n2096_001:1053b17	作色。高聲謂責義之曰。子之書法全未有功。	作 色 高 聲 謂 責 義 之 曰 子 之 書 法 全 未 有 功 
T51n2096_001:1053b18	筯骨俱少。氣力全無。作此書格。豈成文字。	筯 骨 俱 少 氣 力 全 無 作 此 書 格 豈 成 文 字 
T51n2096_001:1053b19	但且學書。有命即至仙堂。無事不勞相訪。義	但 且 學 書 有 命 即 至 仙 堂 無 事 不 勞 相 訪 義 
T51n2096_001:1053b20	之唱喏。即歸書堂。後又得三年功書成矣。先	之 唱 喏 即 歸 書 堂 後 又 得 三 年 功 書 成 矣 先 
T51n2096_001:1053b21	生乃讚義之曰。念汝書跡異世不同。淡處不	生 乃 讚 義 之 曰 念 汝 書 跡 異 世 不 同 淡 處 不 
T51n2096_001:1053b22	淡。濃處不濃。得之者罕有。見之者難逢。進一	淡 濃 處 不 濃 得 之 者 罕 有 見 之 者 難 逢 進 一 
T51n2096_001:1053b23	字千金重賞獻一字萬戶封侯。再讚曰。眾木	字 千 金 重 賞 獻 一 字 萬 戶 封 侯 再 讚 曰 眾 木 
T51n2096_001:1053b24	中松。群山中峯。靈鶴中冲。五岳中嵩。吾令歸	中 松 群 山 中 峯 靈 鶴 中 冲 五 岳 中 嵩 吾 令 歸 
T51n2096_001:1053b25	俗。汝向九霄紅。汝歸於世界。如鶴出籠。別後	俗 汝 向 九 霄 紅 汝 歸 於 世 界 如 鶴 出 籠 別 後 
T51n2096_001:1053b26	有心相顧。時時遙望白雲中。先生初入天台	有 心 相 顧 時 時 遙 望 白 雲 中 先 生 初 入 天 台 
T51n2096_001:1053b27	後。睿宗皇帝詔復桐柏舊額。請　先生居	後 睿 宗 皇 帝 詔 復 桐 柏 舊 額 請 先 生 居 
T51n2096_001:1053b28	之。其降勅書曰。吳朝葛仙公廢桐柏。觀在天	之 其 降 勅 書 曰 吳 朝 葛 仙 公 廢 桐 柏 觀 在 天 
T51n2096_001:1053b29	台山。如聞始豐縣人。斫伐松竹。毀癈壇場。	台 山 如 聞 始 豐 縣 人 斫 伐 松 竹 毀 癈 壇 場 
T51n2096_001:1053c01	多有穢觸。頻致死已。仰州縣官與司馬練師	多 有 穢 觸 頻 致 死 已 仰 州 縣 官 與 司 馬 練 師 
T51n2096_001:1053c02	相知。於天台山中。僻方封取四十里。以為禽	相 知 於 天 台 山 中 僻 方 封 取 四 十 里 以 為 禽 
T51n2096_001:1053c03	獸草木長生之福地。置一觀仍還舊額。初構	獸 草 木 長 生 之 福 地 置 一 觀 仍 還 舊 額 初 構 
T51n2096_001:1053c04	天尊堂。有五雲其上三。而良吏書之。以記祥	天 尊 堂 有 五 雲 其 上 三 而 良 吏 書 之 以 記 祥 
T51n2096_001:1053c05	也。天寶六載郡守賈公長源。及玄靜先生李	也 天 寶 六 載 郡 守 賈 公 長 源 及 玄 靜 先 生 李 
T51n2096_001:1053c06	君。名含光即天師弟子。亦　玄宗師慶立碑。	君 名 含 光 即 天 師 弟 子 亦 玄 宗 師 慶 立 碑 
T51n2096_001:1053c07	太史雀尚製文翰林學士翰林學士韓擇木	太 史 雀 尚 製 文 翰 林 學 士 翰 林 學 士 韓 擇 木 
T51n2096_001:1053c08	書。玄宗皇帝親書其碑額。觀南一里有石	書 玄 宗 皇 帝 親 書 其 碑 額 觀 南 一 里 有 石 
T51n2096_001:1053c09	壇。一級以塼石雜砌。方廣三十二丈。按法輪	壇 一 級 以 塼 石 雜 砌 方 廣 三 十 二 丈 按 法 輪 
T51n2096_001:1053c10	經。即太極三真人下降。援葛仙公修道於天	經 即 太 極 三 真 人 下 降 援 葛 仙 公 修 道 於 天 
T51n2096_001:1053c11	台山。感降上真於此壇也。仙公真經并義注	台 山 感 降 上 真 於 此 壇 也 仙 公 真 經 并 義 注 
T51n2096_001:1053c12	之所也。事迹具在本起傳中。此不備載。壇西	之 所 也 事 迹 具 在 本 起 傳 中 此 不 備 載 壇 西 
T51n2096_001:1053c13	南下。石上有隷書。刻記之日。誥使徐公醮壇	南 下 石 上 有 隷 書 刻 記 之 日 誥 使 徐 公 醮 壇 
T51n2096_001:1053c14	授仙公經。真人自稱姓徐名來勒。字則未詳	授 仙 公 經 真 人 自 稱 姓 徐 名 來 勒 字 則 未 詳 
T51n2096_001:1053c15	何人也。壇前有塘。名日降真塘。塘多植荷莕	何 人 也 壇 前 有 塘 名 日 降 真 塘 塘 多 植 荷 莕 
T51n2096_001:1053c16	之類。自塘南一里至洞門。門外西南一里餘。	之 類 自 塘 南 一 里 至 洞 門 門 外 西 南 一 里 餘 
T51n2096_001:1053c17	至王真君壇。真君即桐柏真人也。有小殿即	至 王 真 君 壇 真 君 即 桐 柏 真 人 也 有 小 殿 即 
T51n2096_001:1053c18	真君儀像儼焉。開元初　玄宗創立之。度道	真 君 儀 像 儼 焉 開 元 初 玄 宗 創 立 之 度 道 
T51n2096_001:1053c19	士七人灑掃也。殿前有石泉名曰醴泉。南三	士 七 人 灑 掃 也 殿 前 有 石 泉 名 曰 醴 泉 南 三 
T51n2096_001:1053c20	步新立上真亭子。臨萬仞坐觀千里。遊者登	步 新 立 上 真 亭 子 臨 萬 仞 坐 觀 千 里 遊 者 登 
T51n2096_001:1053c21	之坐眺平陸。按正壇在真君殿西北二十步。	之 坐 眺 平 陸 按 正 壇 在 真 君 殿 西 北 二 十 步 
T51n2096_001:1053c22	有石壇方廣四丈八尺一級。甃以古塼。今州	有 石 壇 方 廣 四 丈 八 尺 一 級 甃 以 古 塼 今 州 
T51n2096_001:1053c23	縣祈請水旱。皆於此壇。殿東二十步。又有古	縣 祈 請 水 旱 皆 於 此 壇 殿 東 二 十 步 又 有 古 
T51n2096_001:1053c24	八角壇。自殿西北下山三百步。即至三井。一	八 角 壇 自 殿 西 北 下 山 三 百 步 即 至 三 井 一 
T51n2096_001:1053c25	井今闉塞。俗傳云。曾有尼師。洗手觸之。一	井 今 闉 塞 俗 傳 云 曾 有 尼 師 洗 手 觸 之 一 
T51n2096_001:1053c26	且自塞。二井其深不惻。並自然天鑿。甞有好	且 自 塞 二 井 其 深 不 惻 並 自 然 天 鑿 甞 有 好 
T51n2096_001:1053c27	事者。投綸於其間。繪綸盡而不及底。或云。	事 者 投 綸 於 其 間 繪 綸 盡 而 不 及 底 或 云 
T51n2096_001:1053c28	通海。或云。海服。未可詳也。其春夏時每雨將	通 海 或 云 海 服 未 可 詳 也 其 春 夏 時 每 雨 將 
T51n2096_001:1053c29	降。則潀流灌激湓湧雷吼。有若[虫*矢]螭潛隱之	降 則 潀 流 灌 激 湓 湧 雷 吼 有 若 [虫矢] 螭 潛 隱 之 
T51n2096_001:1054a01	鼓怒也。其間遊者見之。莫不神駭瞻慄。邑中	鼓 怒 也 其 間 遊 者 見 之 莫 不 神 駭 瞻 慄 邑 中 
T51n2096_001:1054a02	有水旱。令長每歲記情誠祈於晴雨。無不響	有 水 旱 令 長 每 歲 記 情 誠 祈 於 晴 雨 無 不 響 
T51n2096_001:1054a03	應。亦是國家投龍壁醮祭祈福之所。高宗永	應 亦 是 國 家 投 龍 壁 醮 祭 祈 福 之 所 高 宗 永 
T51n2096_001:1054a04	淳二年投龍於此。玄宗開元二十五年。詔令	淳 二 年 投 龍 於 此 玄 宗 開 元 二 十 五 年 詔 令 
T51n2096_001:1054a05	太當卿修禮儀使韋諂。齎金龍白壁投於井。	太 當 卿 修 禮 儀 使 韋 諂 齎 金 龍 白 壁 投 於 井 
T51n2096_001:1054a06	寶曆元年。主上遣中使王士岌道門威儀趙	寶 曆 元 年 主 上 遣 中 使 王 士 岌 道 門 威 儀 趙 
T51n2096_001:1054a07	常盈。太清宮大德阮幽閑翰林待詔祿通玄。	常 盈 太 清 宮 大 德 阮 幽 閑 翰 林 待 詔 祿 通 玄 
T51n2096_001:1054a08	五月十三日到山。於天台觀。設醮許往三井。	五 月 十 三 日 到 山 於 天 台 觀 設 醮 許 往 三 井 
T51n2096_001:1054a09	投龍壁也。自三井西上一峯約二里。有僧院	投 龍 壁 也 自 三 井 西 上 一 峯 約 二 里 有 僧 院 
T51n2096_001:1054a10	名佛窟院。今道元觀是也。前枕翠屏巖。北	名 佛 窟 院 今 道 元 觀 是 也 前 枕 翠 屏 巖 北 
T51n2096_001:1054a11	連桐柏大山。翠屏巖與仙壇俠徑。瀑布雙峙	連 桐 柏 大 山 翠 屏 巖 與 仙 壇 俠 徑 瀑 布 雙 峙 
T51n2096_001:1054a12	霄降半隱雲表。巖上有亭子極眺平陸。此處	霄 降 半 隱 雲 表 巖 上 有 亭 子 極 眺 平 陸 此 處 
T51n2096_001:1054a13	並為殊景也。自桐柏觀西北行七里。乃至瓊	並 為 殊 景 也 自 桐 柏 觀 西 北 行 七 里 乃 至 瓊 
T51n2096_001:1054a14	臺中天以懸居。自百丈巖無上瓊。瓊臺路皆	臺 中 天 以 懸 居 自 百 丈 巖 無 上 瓊 瓊 臺 路 皆 
