X53n0837_001:0106a06	法宗原	法 宗 原 
X53n0837_001:0106b05	就中有二一略標釋二諸門分別。	就 中 有 二 一 略 標 釋 二 諸 門 分 別 
X53n0837_001:0106b06	略標釋者。	略 標 釋 者 
X53n0837_001:0106b07	第一色法十一可變礙故變礙生故名色眼謂內處	第 一 色 法 十 一 可 變 礙 故 變 礙 生 故 名 色 眼 謂 內 處 
X53n0837_001:0106b08	眼識所依能見色境四大種所造淨色為體有色無	眼 識 所 依 能 見 色 境 四 大種所造 淨 色 為 體 有 色 無 
X53n0837_001:0106b09	見有對乃至身根廣說亦爾色謂外處是眼所見四	見 有 對 乃 至 身 根 廣 說 亦 爾 色 謂 外 處 是 眼 所 見 四 
X53n0837_001:0106b10	大種所造有色有見有對色有二十種謂一青二黃	大種所造 有 色 有 見 有 對 色 有 二 十 種 謂 一 青 二 黃 
X53n0837_001:0106b11	三赤四白五長六短七方八圓九高十下十一正十	三 赤 四 白 五 長 六 短 七 方 八 圓 九 高 十 下 十 一 正 十 
X53n0837_001:0106b12	二不正十三雲十四烟十五塵十六霧十七影十八	二 不 正 十 三 雲 十 四 烟 十 五 塵 十 六 霧 十 七 影 十 八 
X53n0837_001:0106b13	光十九明二十闇聲謂外處是耳所聞四大種所造	光 十 九 明 二 十 闇 聲 謂 外 處 是 耳 所 聞 四 大種所造 
X53n0837_001:0106b14	有色無見有對聲有八種一有執受大種為因有情	有 色 無 見 有 對 聲 有 八 種 一 有 執 受 大 種 為 因 有 情 
X53n0837_001:0106b15	名可意聲如語出好聲二有執受大種為因有情名	名 可 意 聲 如 語 出 好 聲 二 有 執 受 大 種 為 因 有 情 名 
X53n0837_001:0106b16	不可意聲如語出惡聲三有執受大種為因非有情	不 可 意 聲 如 語 出 惡 聲 三 有 執 受 大 種 為 因 非 有 情 
X53n0837_001:0106b17	名可意聲如拍手好聲四有執受大種為因非有情	名 可 意 聲 如 拍 手 好 聲 四 有 執 受 大 種 為 因 非 有 情 
X53n0837_001:0106b18	名不可意聲如拍手惡聲五無執受大種為因有情	名 不 可 意 聲 如 拍 手 惡 聲 五 無 執 受 大 種 為 因 有 情 
X53n0837_001:0106b19	名可意聲如化語好聲六無執受大種為因有情名	名 可 意 聲 如 化 語 好 聲 六 無 執 受 大 種 為 因 有 情 名 
X53n0837_001:0106b20	不可意聲如化語惡聲七無執受大種為因非有情	不 可 意 聲 如 化 語 惡 聲 七 無 執 受 大 種 為 因 非 有 情 
X53n0837_001:0106b21	名可意聲如外好聲八無執受大種為因非有情名	名 可 意 聲 如 外 好 聲 八 無 執 受 大 種 為 因 非 有 情 名 
X53n0837_001:0106b22	不可意聲如外惡聲香謂外處鼻所嗅四大種所造	不 可 意 聲 如 外 惡 聲 香 謂 外 處 鼻 所 嗅 四 大種所造 
X53n0837_001:0106b23	有色無見有對此有四種謂一好香二惡香三等香	有 色 無 見 有 對 此 有 四 種 謂 一 好 香 二 惡 香 三 等 香 
X53n0837_001:0106b24	四不等香或說三香一好香二惡香三平等香味謂	四 不 等 香 或 說 三 香 一 好 香 二 惡 香 三 平 等 香 味 謂 
X53n0837_001:0106c01	外處是舌所甞四大種所造有色無見有對此有六	外 處 是 舌 所 甞 四 大種所造 有 色 無 見 有 對 此 有 六 
X53n0837_001:0106c02	種謂一甘二酢三鹹四辛五苦六淡觸謂外處是身	種 謂 一 甘 二 酢 三 鹹 四 辛 五 苦 六 淡 觸 謂 外 處 是 身 
X53n0837_001:0106c03	所觸是四大種及四大種所造有色無見有對觸有	所 觸 是 四 大 種 及 四 大種所造 有 色 無 見 有 對 觸 有 
X53n0837_001:0106c04	十一種謂一地二水三火四風五滑六澀七輕八重	十 一 種 謂 一 地 二 水 三 火 四 風 五 滑 六 澀 七 輕 八 重 
X53n0837_001:0106c05	九冷十飢十一渴言無表者無表雖以色業為性如	九 冷 十 飢 十 一 渴 言 無 表 者 無 表 雖 以 色 業 為 性 如 
X53n0837_001:0106c06	有表業而非表示內心善惡令佗了知故名無表就	有 表 業 而 非 表 示 內 心 善 惡 令 佗 了 知 故 名 無 表 就 
X53n0837_001:0106c07	中有二一善二不善善中復二一從表生二隨心轉	中 有 二 一 善 二 不 善 善 中 復 二 一 從 表 生 二 隨 心 轉 
X53n0837_001:0106c08	表生復二一者處中二者別解脫隨心亦二一者定	表 生 復 二 一 者 處 中 二 者 別 解 脫 隨 心 亦 二 一 者 定 
X53n0837_001:0106c09	俱謂有漏戒二者道俱謂無漏戒於不善中復有二	俱 謂 有 漏 戒 二 者 道 俱 謂 無 漏 戒 於 不 善 中 復 有 二 
X53n0837_001:0106c10	種一者處中戒二者惡戒。	種 一 者 處 中 戒 二 者 惡 戒 
X53n0837_001:0106c11	第二心法者或名為意或名為識集起故名心即七	第 二 心 法 者 或 名 為 意 或 名 為 識 集 起 故 名 心 即 七 
X53n0837_001:0106c12	心界思量故名意即是意處了別故名識即是識蘊	心 界 思 量 故 名 意 即 是 意 處 了 別 故 名 識 即 是 識 蘊 
X53n0837_001:0106c13	第三心所法四十六者是心所有名心所法就中大	第 三 心 所 法 四 十 六 者 是 心 所 有 名 心 所 法 就 中 大 
X53n0837_001:0106c14	有地法十者地者謂行處若此是彼所行處即說此	有 地 法 十 者 地 者 謂 行 處 若 此 是 彼 所 行 處 即 說 此 
X53n0837_001:0106c15	為彼法地大地法地故名為大地此中若法大地所	為 彼 法 地 大 地 法 地 故 名 為 大 地 此 中 若 法 大 地 所 
X53n0837_001:0106c16	有名大地法兩重依主准下應知謂此十法遍一切	有 名 大 地 法 兩 重 依 主 准 下 應 知 謂 此 十 法 遍 一 切 
X53n0837_001:0106c17	心心所受謂領納苦樂俱非想謂於境取差別想思	心 心 所 受 謂 領 納 苦 樂 俱 非 想 謂 於 境 取 差 別 想 思 
X53n0837_001:0106c18	謂能令心有造作觸謂根境識和合生能有觸對欲	謂 能 令 心 有 造 作 觸 謂 根 境 識 和 合 生 能 有 觸 對 欲 
X53n0837_001:0106c19	謂希求所作事業慧謂於法能有簡擇念謂於緣明	謂 希 求 所作事業 慧 謂 於 法 能 有 簡 擇 念 謂 於 緣 明 
X53n0837_001:0106c20	記不忘作意謂能令心驚覺勝解謂能於境印可三	記 不 忘 作 意 謂 能 令 心 驚 覺 勝 解 謂 能 於 境 印 可 三 
X53n0837_001:0106c21	摩地謂心一境性。大善地法十者地如前釋大善地	摩 地 謂 心一境性 大善地法 十 者 地 如 前 釋 大 善 地 
X53n0837_001:0106c22	名大善地法此中若法大善地所有名大善地法謂	名 大善地法 此 中 若 法 大 善 地 所 有 名 大善地法 謂 
X53n0837_001:0106c23	此十法唯遍善心信者謂能令心澄淨或於諦等忍	此 十 法 唯 遍 善 心 信 者 謂 能 令 心 澄 淨 或 於 諦 等 忍 
X53n0837_001:0106c24	許名信不放逸者修諸善法輕安者謂心堪忍性捨	許 名 信 不 放 逸 者 修 諸 善 法 輕 安 者 謂 心 堪 忍 性 捨 
X53n0837_001:0107a01	者心平等性無驚覺性慙者於所造罪自觀有耻愧	者 心 平 等 性 無 驚 覺 性 慙 者 於 所 造 罪 自 觀 有 耻 愧 
X53n0837_001:0107a02	者於所造罪觀佗有耻無貪者謂於境不著無嗔者	者 於 所 造 罪 觀 佗 有 耻 無 貪 者 謂 於 境 不 著 無 嗔 者 
X53n0837_001:0107a03	謂於境不恚言不害者謂無損惱懃者謂令心勇悍	謂 於 境 不 恚 言 不 害 者 謂 無 損 惱 懃 者 謂 令 心 勇 悍 
X53n0837_001:0107a04	為性若依正理及入阿毗達磨及婆沙評家於大善	為 性 若 依 正 理 及 入 阿 毗 達 磨 及 婆 沙 評 家 於 大 善 
X53n0837_001:0107a05	地法中更說欣厭厭謂厭背如緣苦集欣謂欣向如	地 法 中 更 說 欣 厭 厭 謂 厭 背 如 緣 苦 集 欣 謂 欣 向 如 
X53n0837_001:0107a06	緣滅道以非並起故俱舍不說大煩惱地法六者地	緣 滅 道 以 非 並 起 故 俱 舍 不 說 大煩惱地法 六 者 地 
X53n0837_001:0107a07	如前釋大煩惱法地名大煩惱地法此中若法大煩	如 前 釋 大 煩 惱 法 地 名 大煩惱地法 此 中 若 法 大 煩 
X53n0837_001:0107a08	惱地所有名大煩惱地法謂此六法恒唯遍染心無	惱 地 所 有 名 大煩惱地法 謂 此 六 法 恒 唯 遍 染 心 無 
X53n0837_001:0107a09	明者謂愚癡為性放逸者謂不修善法是修諸善所	明 者 謂 愚 癡 為 性 放 逸 者 謂 不 修 善 法 是 修 諸 善 所 
X53n0837_001:0107a10	對治法懈怠者謂心不勇悍是前所說懃所對治法	對 治 法 懈 怠 者 謂 心 不 勇 悍 是 前 所 說 懃 所 對 治 法 
X53n0837_001:0107a11	不信者謂心不澄淨是前所說信所對治法惛沈者	不 信 者 謂 心 不 澄 淨 是 前 所 說 信所對治 法 惛 沈 者 
X53n0837_001:0107a12	謂令心惛重掉舉者謂令心不靜大不善地法二者	謂 令 心 惛 重 掉 舉 者 謂 令 心 不 靜 大不善地法 二 者 
X53n0837_001:0107a13	地如前釋大不善法地名大不善地此中若法大不	地 如 前 釋 大 不 善 法 地 名 大 不 善 地 此 中 若 法 大 不 
X53n0837_001:0107a14	善地所有名大不善地法謂此二法唯遍不善心無	善 地 所 有 名 大不善地法 謂 此 二 法 唯 遍 不 善 心 無 
X53n0837_001:0107a15	慚者謂於所造罪自觀無耻無愧者謂於所造罪觀	慚 者 謂 於 所 造 罪 自 觀 無 耻 無 愧 者 謂 於 所 造 罪 觀 
X53n0837_001:0107a16	他無耻小煩惱地法十者地如前釋小煩惱法地名	他 無 耻 小煩惱地法 十 者 地 如 前 釋 小 煩 惱 法 地 名 
X53n0837_001:0107a17	小煩惱地此中若法小煩惱地所有名小煩惱地法	小 煩 惱 地 此 中 若 法 小 煩 惱 地 所 有 名 小煩惱地法 
X53n0837_001:0107a18	謂此十法唯修所斷意癡相應各別現行忿者除嗔	謂 此 十 法 唯 修 所 斷 意 癡 相 應 各 別 現 行 忿 者 除 嗔 
X53n0837_001:0107a19	及害於情非情令心憤發覆者隱藏自罪慳謂財法	及 害 於 情 非 情 令 心 憤 發 覆 者 隱 藏 自 罪 慳 謂 財 法 
X53n0837_001:0107a20	所施相違令心慳著嫉謂於佗諸興盛事令心不喜	所 施 相 違 令 心 慳 著 嫉 謂 於 佗 諸 興 盛 事 令 心 不 喜 
X53n0837_001:0107a21	惱謂堅執諸有罪事由此不取如理諫誨害謂於佗	惱 謂 堅 執 諸 有 罪 事 由 此 不 取 如 理 諫 誨 害 謂 於 佗 
X53n0837_001:0107a22	能為逼迫由此能行打罵等事恨謂於忿所緣事中	能 為 逼 迫 由 此 能 行 打 罵 等 事 恨 謂 於 忿 所 緣 事 中 
X53n0837_001:0107a23	數數尋思結怨不捨謟謂心曲由此不能如實自顯	數 數 尋 思 結 怨 不 捨 謟 謂 心 曲 由 此 不 能 如 實 自 顯 
X53n0837_001:0107a24	或矯非撥或設方便令解不明誑謂惑佗憍謂染著	或 矯 非 撥 或 設 方 便 令 解 不 明 誑 謂 惑 佗 憍 謂 染 著 
X53n0837_001:0107b01	自法為先令心放逸無所顧性若依正理及法蘊足	自 法 為 先 令 心 放 逸 無 所 顧 性 若 依 正 理 及 法 蘊 足 
X53n0837_001:0107b02	論小惑中更有多種隨其所應皆忿等攝或論意各	論 小 惑 中 更 有 多 種 隨其所應 皆 忿 等 攝 或 論 意 各 
X53n0837_001:0107b03	別不定八者不定入五地名為不定或名不定地法	別 不 定 八 者 不 定 入 五 地 名 為 不 定 或 名 不定地法 
X53n0837_001:0107b04	不定地法如前釋不定所依名不定地不定地所有	不定地法 如 前 釋 不 定 所 依 名 不 定 地 不 定 地 所 有 
X53n0837_001:0107b05	名不定地法尋謂尋求心之鹿性伺謂伺察心之細	名 不定地法 尋 謂 尋 求 心 之 鹿 性 伺 謂 伺 察 心 之 細 
X53n0837_001:0107b06	性睡眠令心昧略為性無有功力執持於身惡作者	性 睡 眠 令 心 昧 略 為 性 無 有 功 力 執 持 於 身 惡 作 者 
X53n0837_001:0107b07	謂緣於惡作事心追悔性貪謂貪愛嗔謂嗔恚慢謂	謂 緣 於 惡 作 事 心 追 悔 性 貪 謂 貪 愛 嗔 謂 嗔 恚 慢 謂 
X53n0837_001:0107b08	對佗心自舉性疑謂於諦猶預為性若依婆沙評家	對 佗 心 自 舉 性 疑 謂 於 諦 猶 預 為 性 若 依 婆 沙 評 家 
X53n0837_001:0107b09	於不定地法中更說有怖唯在欲界上界無怖於厭	於 不定地法 中 更 說 有 怖 唯 在 欲 界 上 界 無 怖 於 厭 
X53n0837_001:0107b10	說怖有說在煩惱品有說怖通染汙無覆無記上來	說 怖 有 說 在 煩 惱 品 有 說 怖 通 染 汙 無覆無記 上 來 
X53n0837_001:0107b11	所明心所有法四十六種且依俱舍一相以論也。	所 明 心所有法 四 十 六 種 且 依 俱 舍 一 相 以 論 也 
X53n0837_001:0107b12	問心所有法中何故有相對翻有不相對翻者答評	問 心所有法 中 何 故 有 相 對 翻 有 不 相 對 翻 者 答 評 
X53n0837_001:0107b13	諸經論心所有法多少不定若總搜括相對廢立便	諸 經 論 心所有法 多 少 不 定 若 總 搜 括 相 對 廢 立 便 
X53n0837_001:0107b14	成雜亂且依俱舍顯相廢立總有四十六種名如前	成 雜 亂 且 依 俱 舍 顯 相 廢 立 總 有 四 十 六 種 名 如 前 
X53n0837_001:0107b15	說於四十六中如大地法十尋伺睡眠惡作以通三	說 於 四 十 六 中 如 大 地 法 十 尋 伺 睡 眠 惡 作 以 通 三 
X53n0837_001:0107b16	性或通三性故此十四不別翻名餘三十二中總有	性 或 通 三 性 故 此 十 四 不 別 翻 名 餘 三 十 二 中 總 有 
X53n0837_001:0107b17	二類一淨品有十謂大善地法十二染品有二十二	二 類 一 淨 品 有 十 謂 大善地法 十 二 染 品 有 二 十 二 
X53n0837_001:0107b18	謂大煩惱地法六大不善地法二小煩惱地法十及	謂 大煩惱地法 六 大不善地法 二 小煩惱地法 十 及 
X53n0837_001:0107b19	貪嗔慢疑若於染中通五斷遍六識者即正翻入淨	貪 嗔 慢 疑 若 於 染 中 通 五 斷 遍 六 識 者 即 正 翻 入 淨 
X53n0837_001:0107b20	中若不通五斷不遍六識者但可傍翻非正翻也言	中 若 不 通 五 斷 不 遍 六 識 者 但 可 傍 翻 非 正 翻 也 言 
X53n0837_001:0107b21	正翻者總有十法謂大煩惱地法六大不善地法二	正 翻 者 總 有 十 法 謂 大煩惱地法 六 大不善地法 二 
X53n0837_001:0107b22	及與貪嗔大煩惱地法六中翻癡為無癡無癡即是	及 與 貪 嗔 大煩惱地法 六 中 翻 癡 為 無 癡 無 癡 即 是 
X53n0837_001:0107b23	大地法中惠故於善中不立無癡翻放逸為不放逸	大 地 法 中 惠 故 於 善 中 不 立 無 癡 翻 放 逸 為 不 放 逸 
X53n0837_001:0107b24	翻懈怠為精進翻不信為信翻惛沈為輕安翻掉舉	翻 懈 怠 為 精 進 翻 不 信 為 信 翻 惛 沈 為 輕 安 翻 掉 舉 
X53n0837_001:0107c01	為捨不善地法二中翻無慙無慙翻無愧為愧於不	為 捨 不 善 地 法 二 中 翻 無 慙 無 慙 翻 無 愧 為 愧 於 不 
X53n0837_001:0107c02	定中翻貪為無貪翻嗔為無嗔於小惑中害雖不通	定 中 翻 貪 為 無 貪 翻 嗔 為 無 嗔 於 小 惑 中 害 雖 不 通 
X53n0837_001:0107c03	五斷非遍六識而別翻者以過重故惱亂菩薩障趣	五 斷 非 遍 六 識 而 別 翻 者 以 過 重 故 惱 亂 菩 薩 障 趣 
X53n0837_001:0107c04	菩提菩薩將證無上菩提仍起欲恚害尋由此過重	菩 提 菩 薩 將 證 無上菩提 仍 起 欲 恚 害 尋 由 此 過 重 
X53n0837_001:0107c05	所以別翻餘小惑九及與慢疑二義不定但可傍翻	所 以 別 翻 餘 小 惑 九 及 與 慢 疑 二 義 不 定 但 可 傍 翻 
X53n0837_001:0107c06	非正翻也謂餘小惑九及疑非通五斷非遍六識慢	非 正 翻 也 謂 餘 小 惑 九 及 疑 非 通 五 斷 非 遍 六 識 慢 
X53n0837_001:0107c07	雖通五斷而不遍六識故不翻也此十一種但可傍	雖 通 五 斷 而 不 遍 六 識 故 不 翻 也 此 十 一 種 但 可 傍 
X53n0837_001:0107c08	翻者就中有二一約等流門翻二約行相相似門翻	翻 者 就 中 有 二 一 約 等 流 門 翻 二 約 行 相 相 似 門 翻 
X53n0837_001:0107c09	言約等流門翻者謂是本惑等流果故忿恨嫉三是	言 約 等 流 門 翻 者 謂 是 本 惑 等 流 果 故 忿 恨 嫉 三 是 
X53n0837_001:0107c10	嗔等流翻入無嗔惱是見取等流翻見取為正見正	嗔 等 流 翻 入 無 嗔 惱 是 見 取 等 流 翻 見 取 為 正 見 正 
X53n0837_001:0107c11	見即是大地法中慧數所以善中不別立也覆惑是	見 即 是 大 地 法 中 慧 數 所 以 善 中 不 別 立 也 覆 惑 是 
X53n0837_001:0107c12	貪等流翻入無貪或是癡等流翻入無癡無癡即是	貪 等 流 翻 入 無 貪 或 是 癡 等 流 翻 入 無 癡 無 癡 即 是 
X53n0837_001:0107c13	慧數故於善中不別立也慳誑憍三是貪等流翻入	慧 數 故 於 善 中 不 別 立 也 慳 誑 憍 三 是 貪 等 流 翻 入 
X53n0837_001:0107c14	無貪謟是諸見等流翻見為正見正見還是慧數故	無 貪 謟 是 諸 見 等 流 翻 見 為 正 見 正 見 還 是 慧 數 故 
X53n0837_001:0107c15	善不立約等流門但翻得九慢疑本惑非是等流故	善 不 立 約 等 流 門 但 翻 得 九 慢 疑 本 惑 非 是 等 流 故 
X53n0837_001:0107c16	此二種不別翻也害雖是嗔等流過重別翻如前已	此 二 種 不 別 翻 也 害 雖 是 嗔 等 流 過 重 別 翻 如 前 已 
X53n0837_001:0107c17	釋言約行相相似翻者如忿恨嫉惱與嗔行相相似	釋 言 約 行 相 相 似 翻 者 如 忿 恨 嫉 惱 與 嗔 行 相 相 似 
X53n0837_001:0107c18	翻入無嗔覆若貪等流與貪行相相似翻入無貪若	翻 入 無 嗔 覆 若 貪 等 流 與 貪 行 相 相 似 翻 入 無 貪 若 
X53n0837_001:0107c19	是癡等流與癡行相相似翻入無癡無癡即慧數攝	是 癡 等 流 與 癡 行 相 相 似 翻 入 無 癡 無 癡 即 慧 數 攝 
X53n0837_001:0107c20	也慳誑二種與貪行相相似翻入無貪謟謂謟曲曲	也 慳 誑 二 種 與 貪 行 相 相 似 翻 入 無 貪 謟 謂 謟 曲 曲 
X53n0837_001:0107c21	翻為正直正直是捨故品類足釋捨者身正直心正	翻 為 正 直 正 直 是 捨 故 品 類 足 釋 捨 者 身 正 直 心 正 
X53n0837_001:0107c22	直憍之與慢憍自傲逸慢凌蔑佗不敬師長若不憍	直 憍 之 與 慢 憍 自 傲 逸 慢 凌 蔑 佗 不 敬 師 長 若 不 憍 
X53n0837_001:0107c23	慢心便恭敬敬即是慙翻入慙中疑謂猶預不決行	慢 心 便 恭 敬 敬 即 是 慙 翻 入 慙 中 疑 謂 猶 預 不 決 行 
X53n0837_001:0107c24	相若能正決即是其慧翻入慧中害雖似嗔過重別	相 若 能 正 決 即 是 其 慧 翻 入 慧 中 害 雖 似 嗔 過 重 別 
X53n0837_001:0108a01	翻如前已釋。	翻 如 前 已 釋 
X53n0837_001:0108a02	第四心不相應行法十四者不與心相應名心不相	第 四 心不相應行法 十 四 者 不 與 心 相 應 名 心 不 相 
X53n0837_001:0108a03	應簡諸心所行謂行蘊簡色無為簡色受相無為得	應 簡 諸 心 所 行 謂 行 蘊 簡 色 無 為 簡 色 受 相 無 為 得 
X53n0837_001:0108a04	謂得彼有情數法擇滅非擇滅非得謂非得彼有情	謂 得 彼 有 情 數 法 擇 滅 非 擇 滅 非 得 謂 非 得 彼 有 情 
X53n0837_001:0108a05	數法擇滅非擇滅同分者謂諸有情展轉類等有體	數 法 擇 滅 非 擇 滅 同 分 者 謂 諸 有 情 展 轉 類 等 有 體 
X53n0837_001:0108a06	類等名同分是別義雖體類等然有多體或身形等	類 等 名 同 分 是 別 義 雖 體 類 等 然 有 多 體 或 身 形 等 
X53n0837_001:0108a07	同名同分是因義是彼同因同之分故名為同分無	同 名 同 分 是 因 義 是 彼 同 因 同 之 分 故 名 為 同 分 無 
X53n0837_001:0108a08	想異熟者由彼有情於五百劫中間長時想不起故	想 異 熟 者 由 彼 有 情 於 五 百 劫 中 間 長 時 想 不 起 故 
X53n0837_001:0108a09	名為無想無想即異熟名無想異熟無想定者定無	名 為 無 想 無 想 即 異 熟 名 無 想 異 熟 無 想 定 者 定 無 
X53n0837_001:0108a10	想故或無想者定名無相定隨滅爾所心心所法即	想 故 或 無 想 者 定 名 無 相 定 隨 滅 爾 所 心心所法 即 
X53n0837_001:0108a11	有爾所物現前為此定體滅盡定者滅心心所法盡	有 爾 所 物 現 前 為 此 定 體 滅 盡 定 者 滅 心心所法 盡 
X53n0837_001:0108a12	名滅盡定隨滅爾所心心所法即有爾所物現前為	名 滅 盡 定 隨 滅 爾 所 心心所法 即 有 爾 所 物 現 前 為 
X53n0837_001:0108a13	此定體命根者命謂壽命增上名根生住異滅者於	此 定 體 命 根 者 命 謂 壽 命 增 上 名 根 生住異滅 者 於 
X53n0837_001:0108a14	有為法能起名生能安名住能衰名異能壞名滅此	有 為 法 能 起 名 生 能 安 名 住 能 衰 名 異 能 壞 名 滅 此 
X53n0837_001:0108a15	四即是諸有為法之標相也名者謂天人等名表召	四 即 是 諸 有 為 法 之 標 相 也 名 者 謂 天 人 等 名 表 召 
X53n0837_001:0108a16	諸法句者詮義究竟諸行無常等句文者哀阿等文	諸 法 句 者 詮 義 究 竟 諸行無常 等 句 文 者 哀 阿 等 文 
X53n0837_001:0108a17	名句所依能顯為義近顯名句遠顯於義。	名 句 所 依 能 顯 為 義 近 顯 名 句 遠 顯 於 義 
X53n0837_001:0108a18	第五無為法三者無因緣為作故名無為虗空以無	第 五 無 為 法 三 者 無 因 緣 為 作 故 名 無 為 虗 空 以 無 
X53n0837_001:0108a19	礙為性由無礙故容受一切色等有為擇滅者擇謂	礙 為 性 由 無 礙 故 容 受 一 切 色 等 有 為 擇 滅 者 擇 謂 
X53n0837_001:0108a20	簡擇滅謂涅槃由擇得滅故名擇滅隨有漏法有爾	簡 擇 滅 謂 涅 槃 由 擇 得 滅 故 名 擇 滅 隨 有 漏 法 有 爾 
X53n0837_001:0108a21	所量擇滅亦爾非擇滅者非由擇力而得此滅但由	所 量 擇 滅 亦 爾 非 擇 滅 者 非 由 擇 力 而 得 此 滅 但 由 
X53n0837_001:0108a22	闕緣名非擇滅隨有為法有爾所量非擇滅亦爾約	闕 緣 名 非 擇 滅 隨 有 為 法 有 爾 所 量 非 擇 滅 亦 爾 約 
X53n0837_001:0108a23	得雖在未來論體實通三世。	得 雖 在 未 來 論 體 實 通 三 世 
X53n0837_001:0108a24	第二諸門分別者就中有二一蘊處界攝二諸門分	第 二 諸 門 分 別 者 就 中 有 二 一 蘊 處 界 攝 二 諸 門 分 
X53n0837_001:0108b01	別蘊處界攝者蘊謂五蘊處謂十二處界謂十八界	別 蘊 處 界 攝 者 蘊 謂 五 蘊 處 謂 十 二 處 界 謂 十 八 界 
X53n0837_001:0108b02	五蘊者謂色受想行識諸有為法和合聚義是蘊義	五 蘊 者 謂 色 受 想 行 識 諸 有 為 法 和 合 聚 義 是 蘊 義 
X53n0837_001:0108b03	也色蘊攝十一種色受想二蘊攝大地法中受想二	也 色 蘊 攝 十 一 種 色 受 想 二 蘊 攝 大 地 法 中 受 想 二 
X53n0837_001:0108b04	法行蘊攝五十八法謂四十六心所有法中除受想	法 行 蘊 攝 五 十 八 法 謂 四 十 六 心所有法 中 除 受 想 
X53n0837_001:0108b05	二餘四十四法及十四不相應識蘊攝心王於五法	二 餘 四 十 四 法 及 十 四 不 相 應 識 蘊 攝 心 王 於 五 法 
X53n0837_001:0108b06	中前四有為後一無為有為聚集故皆蘊攝無為非	中 前 四 有 為 後 一 無 為 有 為 聚 集 故 皆 蘊 攝 無 為 非 
X53n0837_001:0108b07	聚集故蘊不攝十二處者謂眼耳鼻舌身意色聲香	聚 集 故 蘊 不 攝 十 二 處 者 謂 眼 耳 鼻 舌 身 意 色 聲 香 
X53n0837_001:0108b08	味觸法生長門義是處義是能生長心心所法處故	味 觸 法 生 長 門 義 是 處 義 是 能 生 長 心心所法 處 故 
X53n0837_001:0108b09	名為處眼耳鼻舌身色聲香味觸處如其次第色十	名 為 處 眼 耳 鼻 舌 身 色聲香味觸 處 如 其 次 第 色 十 
