T85n2766_001:0306a04	藥師經疏	藥 師 經 疏 
T85n2766_001:0306b06	馬鳴龍樹及提婆等更造三論。至今三寶不	馬 鳴 龍 樹 及 提 婆 等 更 造 三 論 至 今 三 寶 不 
T85n2766_001:0306b07	斷。由三大士魔王不復能壞佛法也。如來	斷 由 三 大 士 魔 王 不 復 能 壞 佛 法 也 如 來 
T85n2766_001:0306b08	滅度千五百年後即是末法。所有大乘經藏	滅 度 千 五 百 年 後 即 是 末 法 所 有 大 乘 經 藏 
T85n2766_001:0306b09	皆龍王持去。五濁興行。五濁者。一劫濁。二	皆 龍 王 持 去 五 濁 興 行 五 濁 者 一 劫 濁 二 
T85n2766_001:0306b10	命濁。三煩惱濁。四眾生濁。五見濁也。濁	命 濁 三 煩 惱 濁 四 眾 生 濁 五 見 濁 也 濁 
T85n2766_001:0306b11	乃無量。一方化宜且說五種。劫濁眾惡紛	乃 無 量 一 方 化 宜 且 說 五 種 劫 濁 眾 惡 紛 
T85n2766_001:0306b12	馳度虜兵飢餓大劫捋壞大生怖畏也。命濁	馳 度 虜 兵 飢 餓 大 劫 捋 壞 大 生 怖 畏 也 命 濁 
T85n2766_001:0306b13	者。保翫此身謂舉常然無常忽至死至無期	者 保 翫 此 身 謂 舉 常 然 無 常 忽 至 死 至 無 期 
T85n2766_001:0306b14	迫焉而到可畏怖處。煩惱濁者。煩或纏結	迫 焉 而 到 可 畏 怖 處 煩 惱 濁 者 煩 或 纏 結 
T85n2766_001:0306b15	繫縛行人排迴色聲沈流香味造惡為盛不能	繫 縛 行 人 排 迴 色 聲 沈 流 香 味 造 惡 為 盛 不 能 
T85n2766_001:0306b16	自改。眾生濁者。各各不同讒良賢善有財大	自 改 眾 生 濁 者 各各不同 讒 良 賢 善 有 財 大 
T85n2766_001:0306b17	慳貪而求施行於欲事不擇親善非謗三保。	慳 貪 而 求 施 行 於 欲 事 不 擇 親 善 非 謗 三 保 
T85n2766_001:0306b18	如是眾惡亦不可樂。廣在釋論。見濁者。起	如 是 眾 惡 亦 不 可 樂 廣 在 釋 論 見 濁 者 起 
T85n2766_001:0306b19	諸邪見專事天神奉養外道殺生求福為惡	諸 邪 見 專 事 天 神 奉 養 外 道 殺 生 求 福 為 惡 
T85n2766_001:0306b20	彌甚為痛可援也。此時欲到人應怒力宣揚	彌 甚 為 痛 可 援 也 此 時 欲 到 人 應 怒 力 宣 揚 
T85n2766_001:0306b21	顯說。住昔過去諸佛名字者。此下第二請問	顯 說 住 昔 過去諸佛 名 字 者 此 下 第 二 請 問 
T85n2766_001:0306b22	佛名及以國土。願為解說得聞法要。第三結	佛 名 及 以 國 土 願 為 解 說 得 聞 法 要 第 三 結 
T85n2766_001:0306b23	請也。佛告文殊。此下第二段如來答問。就答	請 也 佛 告 文 殊 此 下 第 二 段 如 來 答 問 就 答 
T85n2766_001:0306b24	中凡有二階。第一欲答先歎善哉。先歎次勅	中 凡 有 二 階 第 一 欲 答 先 歎 善 哉 先 歎 次 勅 
T85n2766_001:0306b25	後許。宣說嘆中善哉是總嘆也。善猶好也所	後 許 宣 說 嘆 中 善 哉 是 總 嘆 也 善 猶 好 也 所 
T85n2766_001:0306b26	讚事好故名為善哉。是助辭乃能為諸菩薩	讚 事 好 故 名 為 善 哉 是 助 辭 乃 能 為 諸 菩 薩 
T85n2766_001:0306b27	問等出其善事。汝大慈無量者。第二答前下	問 等 出 其 善 事 汝 大 慈 無 量 者 第 二 答 前 下 
T85n2766_001:0306b28	為眾生。上云願為未來像法眾生。今答云汝	為 眾 生 上 云 願 為 未 來 像 法 眾 生 今 答 云 汝 
T85n2766_001:0306c01	所以為眾生者。乃是汝慈無量所以歎善哉	所 以 為 眾 生 者 乃 是 汝 慈 無 量 所 以 歎 善 哉 
T85n2766_001:0306c02	也。問此往昔諸佛名字此第三答。第二問宣	也 問 此 往昔諸佛 名 字 此 第 三 答 第 二 問 宣 
T85n2766_001:0306c03	揚顯說往昔過去諸佛名字及清淨國土莊嚴	揚 顯 說 往 昔 過去諸佛 名 字 及 清 淨 國 土 莊 嚴 
T85n2766_001:0306c04	之事。今答云汝所以問諸佛名字及國土者。	之 事 今 答 云 汝 所 以 問 諸 佛 名 字 及 國 土 者 
T85n2766_001:0306c05	乃不自為但為眾生身。汝今諦聽。此第四前	乃 不 自 為 但 為 眾 生 身 汝 今 諦 聽 此 第 四 前 
T85n2766_001:0306c06	結請上云願為解說得聞法要。今答言汝審	結 請 上 云 願 為 解 說 得 聞 法 要 今 答 言 汝 審 
T85n2766_001:0306c07	須聞者。汝今諦聽教其安三慧也。汝今諦聽	須 聞 者 汝 今 諦 聽 教 其 安 三 慧 也 汝 今 諦 聽 
T85n2766_001:0306c08	一法戒其安聞慧也。善思思慧也。今之教安	一 法 戒 其 安 聞 慧 也 善 思 思 慧 也 今 之 教 安 
T85n2766_001:0306c09	修慧汝既能安三慧。乃今分別為汝說之。眾	修 慧 汝 既 能 安 三 慧 乃 今 分 別 為 汝 說 之 眾 
T85n2766_001:0306c10	坐諸菩薩。此下第二明時眾渴仰也　佛告	坐 諸 菩 薩 此 下 第 二 明 時 眾 渴 仰 也 佛 告 
T85n2766_001:0306c11	東方去此十恒沙。此下第二段正答前問。就	東 方 去 此 十 恒 沙 此 下 第 二 段 正 答 前 問 就 
T85n2766_001:0306c12	正答中凡有三種段。第一想行。第二單廣願。	正 答 中 凡 有 三 種 段 第 一 想 行 第 二 單 廣 願 
T85n2766_001:0306c13	第三單廣行也。就初想明行顯中凡有三階。	第 三 單 廣 行 也 就 初 想 明 行 顯 中 凡 有 三 階 
T85n2766_001:0306c14	第一牒他方佛名。即答其上問諸佛名字。既	第 一 牒 他 方 佛 名 即 答 其 上 問 諸 佛 名 字 既 
T85n2766_001:0306c15	出佛名已。第二歎彼佛德業　第三略明行願	出 佛 名 已 第 二 歎 彼 佛 德 業 第 三 略 明 行 願 
T85n2766_001:0306c16	也。東方去此佛剎十洹沙。第一明彼佛去近	也 東 方 去 此 佛 剎 十 洹 沙 第 一 明 彼 佛 去 近 
T85n2766_001:0306c17	遠也。有佛名藥師。第二句牒彼佛名答文殊。	遠 也 有 佛 名 藥 師 第 二 句 牒 彼 佛 名 答 文 殊 
T85n2766_001:0306c18	汝問我言。願為未來像法眾生說諸佛名字。	汝 問 我 言 願 為 未 來 像 法 眾 生 說 諸 佛 名 字 
T85n2766_001:0306c19	今正答汝云。此佛剎十洹河沙有佛名藥師	今 正 答 汝 云 此 佛 剎 十 洹 河 沙 有 佛 名 藥 師 
T85n2766_001:0306c20	瑠璃光。豈不酬前問耶。解云。藥師者借譬受	瑠 璃 光 豈 不 酬 前 問 耶 解 云 藥 師 者 借 譬 受 
T85n2766_001:0306c21	名。世之藥師能除人病內病。明如來能除眾	名 世 之 藥 師 能 除 人 病 內 病 明 如 來 能 除 眾 
T85n2766_001:0306c22	生三毒四到諸惡重罪教令修行四等六度辟	生 三 毒 四 到 諸 惡 重 罪 教 令 修 行 四 等 六 度 辟 
T85n2766_001:0306c23	藥師也。瑠璃光世之瑠璃是拘所珍內明明	藥 師 也 瑠 璃 光 世 之 瑠 璃 是 拘 所 珍 內 明 明 
T85n2766_001:0306c24	果體具萬德。譬之瑠璃也。光者能除闇冥。欲	果 體 具 萬 德 譬 之 瑠 璃 也 光 者 能 除 闇 冥 欲 
T85n2766_001:0306c25	明佛果具足空有二解喻之光也。十號之中	明 佛 果 具 足 空 有 二 解 喻 之 光 也 十 號 之 中 
T85n2766_001:0306c26	第十號者。一者多他阿伽度。此方譯名曰如	第 十 號 者 一 者 多 他 阿 伽 度 此 方 譯 名 曰 如 
T85n2766_001:0306c27	來。亦名如去。亦名如住。如來者。此是應佛。	來 亦 名 如 去 亦 名 如 住 如 來 者 此 是 應 佛 
T85n2766_001:0306c28	是慈悲故。乘婆若乘來化三界故云如來。故	是 慈 悲 故 乘 婆 若 乘 來 化 三 界 故 云 如 來 故 
T85n2766_001:0307a01	法華經論云。一者應佛菩提隨所應見而為	法 華 經 論 云 一 者 應 佛 菩 提 隨 所 應 見 而 為 
T85n2766_001:0307a02	示現故。如經皆謂如來出釋氏宮去伽耶城	示 現 故 如 經 皆 謂 如 來 出 釋 氏 宮 去 伽 耶 城 
T85n2766_001:0307a03	不遠坐于道場得阿耨菩提。故如去者此是	不 遠 坐 于 道 場 得 阿耨菩提 故 如 去 者 此 是 
T85n2766_001:0307a04	報佛也。乘如實道成心覺去故云如去。法華	報 佛 也 乘 如 實 道 成 心 覺 去 故 云 如 去 法 華 
T85n2766_001:0307a05	論云。二者報佛菩提。謂十地行滿足得常涅	論 云 二 者 報 佛 菩 提 謂 十 地 行 滿 足 得 常 涅 
T85n2766_001:0307a06	槃證故。如經善男子我實成佛以來無量無	槃 證 故 如 經 善 男 子 我 實 成 佛 以 來 無 量 無 
T85n2766_001:0307a07	邊百千萬億那由他劫故。如住者此是法佛。	邊 百 千 萬 億 那 由 他 劫 故 如 住 者 此 是 法 佛 
T85n2766_001:0307a08	古一如常住不變故云如住。法華論云。三者	古 一 如 常 住 不 變 故 云 如 住 法 華 論 云 三 者 
T85n2766_001:0307a09	法佛菩提。謂如來藏性淨涅槃常恒清淨涼	法 佛 菩 提 謂 如 來 藏 性 淨 涅 槃 常 恒 清 淨 涼 
T85n2766_001:0307a10	不變易故。如經謂如來實如知見三界之相。	不 變 易 故 如 經 謂 如 來 實 如 知 見 三 界 之 相 
T85n2766_001:0307a11	乃至不如三界見三界故。第二阿羅訶者。此	乃 至 不 如 三 界 見 三 界 故 第 二 阿 羅 訶 者 此 
T85n2766_001:0307a12	方住譯名為應供。亦殺賊云。亦云不生。應	方 住 譯 名 為 應 供 亦 殺 賊 云 亦 云 不 生 應 
T85n2766_001:0307a13	供者如來堪受世間二乘人天供養故云應供	供 者 如 來 堪 受 世 間 二 乘 人 天 供 養 故 云 應 供 
T85n2766_001:0307a14	也。能斷五住煩惱及習故名為殺賊也。無明	也 能 斷 五 住 煩 惱 及 習 故 名 為 殺 賊 也 無 明 
T85n2766_001:0307a15	螫皮脫故。於後世田中更不受生死名為不	螫 皮 脫 故 於 後 世 田 中 更 不 受 生 死 名 為 不 
T85n2766_001:0307a16	生。具此三義名阿羅訶也。第三三藐三佛陀	生 具 此 三 義 名 阿 羅 訶 也 第 三 三藐三佛陀 
T85n2766_001:0307a17	者。此方住譯名為正遍知也。正者異外道。遍	者 此 方 住 譯 名 為 正 遍 知 也 正 者 異 外 道 遍 
T85n2766_001:0307a18	知異二乘。二乘之人俱知有作四諦。不知無	知 異 二 乘 二 乘 之 人 俱 知 有 作 四 諦 不 知 無 
T85n2766_001:0307a19	作四諦故。不得稱為遍知。如來有作無作但	作 四 諦 故 不 得 稱 為 遍 知 如 來 有 作 無 作 但 
T85n2766_001:0307a20	知故。秤為遍知也。故云正遍知　第四毘	知 故 秤 為 遍 知 也 故 云 正 遍 知 第 四 毘 
T85n2766_001:0307a21	侈遮羅那三那者。此方住譯名為明行足。明	侈 遮 羅 那 三 那 者 此 方 住 譯 名 為 明 行 足 明 
T85n2766_001:0307a22	者三明也。行者三業也。小乘者之人宿命明	者 三 明 也 行 者 三 業 也 小 乘 者 之 人 宿 命 明 
T85n2766_001:0307a23	過去。但知八萬劫事。天眼明未來但知八萬	過 去 但 知 八 萬 劫 事 天 眼 明 未 來 但 知 八 萬 
T85n2766_001:0307a24	劫事。漏盡明現在但知四住煩惱盡以不具	劫 事 漏 盡 明 現 在 但 知 四 住 煩 惱 盡 以 不 具 
T85n2766_001:0307a25	足故不稱明行足。乃至諸菩薩等雖知無量	足 故 不 稱 明 行 足 乃 至 諸 菩 薩 等 雖 知 無 量 
T85n2766_001:0307a26	恒河沙劫事。由未窮盡。是故不得言足。欲明	恒 河 沙 劫 事 由 未 窮 盡 是 故 不 得 言 足 欲 明 
T85n2766_001:0307a27	如來達三世窮盡故稱為足也。行者餘人三業	如 來 達 三 世 窮 盡 故 稱 為 足 也 行 者 餘 人 三 業 
T85n2766_001:0307a28	有失故不得稱足。唯佛無失故得稱足也。第	有 失 故 不 得 稱 足 唯 佛 無 失 故 得 稱 足 也 第 
T85n2766_001:0307a29	五修伽陀者。此方住譯名為善誓。善者名好。	五 修 伽 陀 者 此 方 住 譯 名 為 善 誓 善 者 名 好 
T85n2766_001:0307b01	誓者三去名為好。說好去者乘如實道成正	誓 者 三 去 名 為 好 說 好 去 者 乘 如 實 道 成 正 
T85n2766_001:0307b02	覺去故云好去。好說者以此實理如實為眾	覺 去 故 云 好 去 好 說 者 以 此 實 理 如 實 為 眾 
T85n2766_001:0307b03	生說故名好說。聲聞之人非究竟去故不名	生 說 故 名 好 說 聲 聞 之 人 非 究 竟 去 故 不 名 
T85n2766_001:0307b04	好去。不能深達眾生機根為說法故不名好	好 去 不 能 深 達 眾 生 機 根 為 說 法 故 不 名 好 
T85n2766_001:0307b05	說。如來一者深達物機。二者去是究竟故云	說 如 來 一 者 深 達 物 機 二 者 去 是 究 竟 故 云 
T85n2766_001:0307b06	好去說也　第六靈加備心。此方住譯名為	好 去 說 也 第 六 靈 加 備 心 此 方 住 譯 名 為 
T85n2766_001:0307b07	世間解。云何世間有三種。一者眾生世間。二	世 間 解 云 何 世 間 有 三 種 一 者 眾 生 世 間 二 
T85n2766_001:0307b08	者器世間。三者智正覺世間。眾生世間者正	者 器 世 間 三 者 智 正 覺 世 間 眾 生 世 間 者 正 
T85n2766_001:0307b09	報也。器世間者依報也。智正覺世間理也。如	報 也 器 世 間 者 依 報 也 智 正 覺 世 間 理 也 如 
T85n2766_001:0307b10	於此三種世間。了了解知故名世間解也。	於 此 三 種 世 間 了 了 解 知 故 名 世 間 解 也 
T85n2766_001:0307b11	第七阿耨羅者。此方住譯名無上士也。云何	第 七 阿 耨 羅 者 此 方 住 譯 名 無 上 士 也 云 何 
T85n2766_001:0307b12	名無上士。一切眾生中佛為無上。一切法中	名 無 上 士 一 切 眾 生 中 佛 為 無 上 一 切 法 中 
T85n2766_001:0307b13	涅槃為無上。佛何故無上。以證無上法故。法	涅 槃 為 無 上 佛 何 故 無 上 以 證 無 上 法 故 法 
T85n2766_001:0307b14	既無上人亦無上。必亦云法何故無上。以無	既 無 上 人 亦 無 上 必 亦 云 法 何 故 無 上 以 無 
T85n2766_001:0307b15	上人證故。人何故無上。證無上法故云無	上 人 證 故 人 何 故 無 上 證 無 上 法 故 云 無 
T85n2766_001:0307b16	士也　第八富樓沙曇藐波羅提者。此方住	士 也 第 八 富 樓 沙 曇 藐 波 羅 提 者 此 方 住 
T85n2766_001:0307b17	譯名為調御丈夫。調御有五種。一者官法調	譯 名 為 調御丈夫 調 御 有 五 種 一 者 官 法 調 
T85n2766_001:0307b18	御民。二者父調御其子。三者師調御門徒。四	御 民 二 者 父 調 御 其 子 三 者 師 調 御 門 徒 四 
T85n2766_001:0307b19	者閻羅王調御諍罪人之業。五種調御中。前	者 閻 羅 王 調 御 諍 罪 人 之 業 五 種 調 御 中 前 
T85n2766_001:0307b20	三種是現在調御　第四是未來世調御。第五	三 種 是 現 在 調 御 第 四 是 未 來 世 調 御 第 五 
T85n2766_001:0307b21	以調御者三世俱調御故。勝鬘經云。我久安	以 調 御 者 三 世 俱 調 御 故 勝 鬘 經 云 我 久 安 
T85n2766_001:0307b22	立汝前□已開覺。今復攝受。汝未來生亦然。	立 汝 前 已 開 覺 今 復 攝 受 汝 未 來 生 亦 然 
T85n2766_001:0307b23	是故得知三世俱調御也。佛以[革*帝]語濡語。以	是 故 得 知 三 世 俱 調 御 也 佛 以 [革帝] 語 濡 語 以 
T85n2766_001:0307b24	此三種語調御眾生令出生死故。云調御丈	此 三 種 語 調 御 眾 生 令 出 生 死 故 云 調 御 丈 
T85n2766_001:0307b25	夫也　第九舍多提婆摩嵬舍喃者。此方住	夫 也 第 九 舍 多 提 婆 摩 嵬 舍 喃 者 此 方 住 
T85n2766_001:0307b26	譯名自天人。何以旦明天人師者。欲明如來	譯 名 自 天 人 何 以 旦 明 天 人 師 者 欲 明 如 來 
T85n2766_001:0307b27	乃是一切眾生師。但以六道之中天人為勝。	乃 是 一 切 眾 生 師 但 以 六 道 之 中 天 人 為 勝 
T85n2766_001:0307b28	隨勝說故名天人師也。佛陀者第十號也。此	隨 勝 說 故 名 天 人 師 也 佛 陀 者 第 十 號 也 此 
T85n2766_001:0307b29	方住譯名為覺者。云何覺者。如來於菩提樹	方 住 譯 名 為 覺 者 云 何 覺 者 如 來 於 菩 提 樹 
T85n2766_001:0307c01	下眾生非眾生數了了覺知故名為佛。久自	下 眾 生 非 眾 生 數 了 了 覺 知 故 名 為 佛 久 自 
T85n2766_001:0307c02	覺覺他故號名佛也。度脫生老病死者。明彼	覺 覺 他 故 號 名 佛 也 度 脫 生老病死 者 明 彼 
T85n2766_001:0307c03	佛救利此病生苦者。其在胎之時去住隨母	佛 救 利 此 病 生 苦 者 其 在 胎 之 時 去 住 隨 母 
T85n2766_001:0307c04	東西冥冥獨苦家人家人誰能自知。母若飲	東 西 冥 冥 獨 苦 家 人 家 人 誰 能 自 知 母 若 飲 
T85n2766_001:0307c05	多則身俘湧。母若飲少則飢腸以閉。母若急	多 則 身 俘 湧 母 若 飲 少 則 飢 腸 以 閉 母 若 急 
T85n2766_001:0307c06	行則頸如繩玄。母若安坐則身如山壓無有	行 則 頸 如 繩 玄 母 若 安 坐 則 身 如 山 壓 無 有 
T85n2766_001:0307c07	光明。如黑闇地獄。不得動轉。如鐵網地獄。母	光 明 如 黑 闇 地 獄 不 得 動 轉 如 鐵 網 地 獄 母 
T85n2766_001:0307c08	若飲熱如濩湯地獄。母若飲冷則如寒氷地	若 飲 熱 如 濩 湯 地 獄 母 若 飲 冷 則 如 寒 氷 地 
T85n2766_001:0307c09	獄。千五百歲邊受諸苦乃得出生。出生之	獄 千 五 百 歲 邊 受 諸 苦 乃 得 出 生 出 生 之 
T85n2766_001:0307c10	苦復難思念。當其出生之時泡帶纏身。猶如	苦 復 難 思 念 當 其 出 生 之 時 泡 帶 纏 身 猶 如 
T85n2766_001:0307c11	被縛血流泛肉何異剎皮當墮草上如墮刀	被 縛 血 流 泛 肉 何 異 剎 皮 當 墮 草 上 如 墮 刀 
T85n2766_001:0307c12	山。風來吹身。若寒氷切體不覺失聲。拔似	山 風 來 吹 身 若 寒 氷 切 體 不 覺 失 聲 拔 似 
T85n2766_001:0307c13	千錐競琢神慮蒼芒壞抱冥昧不知有天地。	千 錐 競 琢 神 慮 蒼 芒 壞 抱 冥 昧 不 知 有 天 地 
T85n2766_001:0307c14	不知有日月。不知有父母。不知有兄姉。痛楚	不 知 有 日 月 不 知 有 父 母 不 知 有 兄 姉 痛 楚 
T85n2766_001:0307c15	常多啼叫無息。三兩年中稍辭乳餔肌宵雖	常 多 啼 叫 無 息 三 兩 年 中 稍 辭 乳 餔 肌 宵 雖 
T85n2766_001:0307c16	長。而心識尚昏。見水便投死而弗悟。持身赴	長 而 心 識 尚 昏 見 水 便 投 死 而 弗 悟 持 身 赴 
T85n2766_001:0307c17	火。不審誰為引刀自刺痛而啼哭。從高墜下	火 不 審 誰 為 引 刀 自 刺 痛 而 啼 哭 從 高 墜 下 
T85n2766_001:0307c18	無有畏心。或匍匐路衢不知還返。逢狼過虎	無 有 畏 心 或 匍 匐 路 衢 不 知 還 返 逢 狼 過 虎 
T85n2766_001:0307c19	不生怖怯。此為生苦實亦難處。老苦者夫物	不 生 怖 怯 此 為 生 苦 實 亦 難 處 老 苦 者 夫 物 
T85n2766_001:0307c20	盛必衰。莊年必老。此事曉然。驗由指掌。是以	盛 必 衰 莊 年 必 老 此 事 曉 然 驗 由 指 掌 是 以 
T85n2766_001:0307c21	黑鬢輻留絡為空髮所驅。紅顏權寄必為霜	黑 鬢 輻 留 絡 為 空 髮 所 驅 紅 顏 權 寄 必 為 霜 
T85n2766_001:0307c22	眉所奪。脈途稍絕五陰俱空。筋髓漸枯。四支	眉 所 奪 脈 途 稍 絕 五 陰 俱 空 筋 髓 漸 枯 四 支 
T85n2766_001:0307c23	誰安。遂使目清雙膿。耳開兩塞。鼻不嗅香。	誰 安 遂 使 目 清 雙 膿 耳 開 兩 塞 鼻 不 嗅 香 
T85n2766_001:0307c24	舌失甘辛。身不覺觸。意識昏癡髮鬌。齒落腰	舌 失 甘 辛 身 不 覺 觸 意 識 昏 癡 髮 鬌 齒 落 腰 
T85n2766_001:0307c25	曲。背膢舉步寸遲言不可解。而少年雄勇空	曲 背 膢 舉 步 寸 遲 言 不 可 解 而 少 年 雄 勇 空 
T85n2766_001:0307c26	道誰知。曩曰豪華今且何在。從使路設高軒	道 誰 知 曩 曰 豪 華 今 且 何 在 從 使 路 設 高 軒 
T85n2766_001:0307c27	而永絕登門。臨駿馬終辭跨躍堂[飢几+甘]清罇而	而 永 絕 登 門 臨 駿 馬 終 辭 跨 躍 堂 [飢几甘] 清 罇 而 
T85n2766_001:0307c28	心無希羨庭歌舜目豈窺瞻。昔日莊年縱欲	心 無 希 羨 庭 歌 舜 目 豈 窺 瞻 昔 日 莊 年 縱 欲 
T85n2766_001:0307c29	不修微善泉路方臨猶不改悔。一陷泥津寧	不 修 微 善 泉 路 方 臨 猶 不 改 悔 一 陷 泥 津 寧 
T85n2766_001:0308a01	布更出。病苦者三毒諸殃遍滿世界四大痛	布 更 出 病 苦 者 三 毒 諸 殃 遍 滿 世 界 四 大 痛 
T85n2766_001:0308a02	惱偏集閻浮。但業有高低報亦輕重。或晨旦	惱 偏 集 閻 浮 但 業 有 高 低 報 亦 輕 重 或 晨 旦 
T85n2766_001:0308a03	清強而片時病集。遂使連年抱[病丙+帶]歷歲癭纏。	清 強 而 片 時 病 集 遂 使 連 年 抱 [病丙帶] 歷 歲 癭 纏 
T85n2766_001:0308a04	或蟲穿骨畏白節相通。膿流皮外四支參穴。	或 蟲 穿 骨 畏 白 節 相 通 膿 流 皮 外 四 支 參 穴 
T85n2766_001:0308a05	成腹大如鼓。頭尖若錐。叫聲徹路臭氣填門。	成 腹 大 如 鼓 頭 尖 若 錐 叫 聲 徹 路 臭 氣 填 門 
T85n2766_001:0308a06	或手足臃捲。或腰背膒瘻舉步如山。身臂如	或 手 足 臃 捲 或 腰 背 膒 瘻 舉 步 如 山 身 臂 如 
T85n2766_001:0308a07	鐵。或冬溫夏疫。乍熱乍寒命危似電氣喘如	鐵 或 冬 溫 夏 疫 乍 熱 乍 寒 命 危 似 電 氣 喘 如 
T85n2766_001:0308a08	截。或值諸毒筋離肉斷求生不得求死無緣。	截 或 值 諸 毒 筋 離 肉 斷 求 生 不 得 求 死 無 緣 
T85n2766_001:0308a09	或焦否寒五藏被離歷歲飲膿連年吐血。或	或 焦 否 寒 五 藏 被 離 歷 歲 飲 膿 連 年 吐 血 或 
T85n2766_001:0308a10	瘡廊競生雍疽爭出項羸似綖面腫如囊。或	瘡 廊 競 生 雍 疽 爭 出 項 羸 似 綖 面 腫 如 囊 或 
T85n2766_001:0308a11	眼裏血流兩耳膿出。天地雖廣熟看不見。雷	眼 裏 血 流 兩 耳 膿 出 天 地 雖 廣 熟 看 不 見 雷 
T85n2766_001:0308a12	震破山了然不覺。手床濡褥不得安眠。口異	震 破 山 了 然 不 覺 手 床 濡 褥 不 得 安 眠 口 異 
