T45n1872_001:0597a03	華嚴策林	華 嚴 策 林 
T45n1872_001:0597c02	以相容。並不竟成。廣陜以之齊納。是知大是	以 相 容 並 不 竟 成 廣 陜 以 之 齊 納 是 知 大 是 
T45n1872_001:0597c03	小大。小是大小。小無定性。終自遍於十方。大	小 大 小 是 大 小 小 無 定 性 終 自 遍 於 十 方 大 
T45n1872_001:0597c04	非定形。歷劫皎於一世。則知小時正大芥子	非 定 形 歷 劫 皎 於 一 世 則 知 小 時 正 大 芥 子 
T45n1872_001:0597c05	納於須彌。大時正小。海水納於毛孔。若不各	納 於 須 彌 大 時 正 小 海 水 納 於 毛 孔 若 不 各 
T45n1872_001:0597c06	壞性。出入何得不備。又以皆存本形。舒卷自	壞 性 出 入 何 得 不 備 又 以 皆 存 本 形 舒 卷 自 
T45n1872_001:0597c07	然無礙。謹對。	然 無 礙 謹 對 
T45n1872_001:0597c08	五結成壞	五 結 成 壞 
T45n1872_001:0597c09	問成壞之義。其勢雖明。差別異陳。復乖其	問 成 壞 之 義 其 勢 雖 明 差 別 異 陳 復 乖 其 
T45n1872_001:0597c10	致。今者成時壞居何所。壞時成在何方。若異	致 今 者 成 時 壞 居 何 所 壞 時 成 在 何 方 若 異 
T45n1872_001:0597c11	聖乃不容。若同凡又不信。請以珠玉來酬。祛	聖 乃 不 容 若 同 凡 又 不 信 請 以 珠 玉 來 酬 祛 
T45n1872_001:0597c12	茲瓦礫　私對。壞即成處壞。亦壞即成法界。	茲 瓦 礫 私 對 壞 即 成 處 壞 亦 壞 即 成 法 界 
T45n1872_001:0597c13	空而恒有。存壞即有徹於空壞。實存即空彰	空 而 恒 有 存 壞 即 有 徹 於 空 壞 實 存 即 空 彰 
T45n1872_001:0597c14	於有表。然後異亦不異同。體之自皎明。迷之	於 有 表 然 後 異 亦 不 異 同 體 之 自 皎 明 迷 之 
T45n1872_001:0597c15	自蒙昧。若以性端結空有二邊。若以智照來	自 蒙 昧 若 以 性 端 結 空 有 二 邊 若 以 智 照 來 
T45n1872_001:0597c16	通成壞一際。謹對。	通 成 壞 一 際 謹 對 
T45n1872_001:0597c17	六通二界	六 通 二 界 
T45n1872_001:0597c18	問眾生為迷。諸佛為悟。體雖是一。約用有差。	問 眾 生 為 迷 諸 佛 為 悟 體 雖 是 一 約 用 有 差 
T45n1872_001:0597c19	若以眾生通佛。諸佛合迷。若以佛通眾生。眾	若 以 眾 生 通 佛 諸 佛 合 迷 若 以 佛 通 眾 生 眾 
T45n1872_001:0597c20	生合悟。冀拂塵鏡以顯大明。庶闢玄關。開	生 合 悟 冀 拂 塵 鏡 以 顯 大 明 庶 闢 玄 關 開 
T45n1872_001:0597c21	為暗室　私對曰。恒以非眾生為眾生。亦非	為 暗 室 私 對 曰 恒 以 非 眾 生 為 眾 生 亦 非 
T45n1872_001:0597c22	諸佛為諸佛。不礙約存而恒奪。不妨壞而常	諸 佛 為 諸 佛 不 礙 約 存 而 恒 奪 不 妨 壞 而 常 
T45n1872_001:0597c23	成。隨緣具立眾生之名。豈有眾生可得。約體	成 隨 緣 具 立 眾 生 之 名 豈 有 眾 生 可 得 約 體 
T45n1872_001:0597c24	權施法身之號。寧有諸佛可求。莫不妄徹真	權 施 法 身 之 號 寧 有 諸 佛 可 求 莫 不 妄 徹 真 
T45n1872_001:0597c25	源。居一相而恒有。真該妄末。入五道而常空。	源 居 一 相 而 恒 有 真 該 妄 末 入 五 道 而 常 空 
T45n1872_001:0597c26	情該則二界難通智說乃一如易說。然後雙	情 該 則 二 界 難 通 智 說 乃 一 如 易 說 然 後 雙 
T45n1872_001:0597c27	非雙立互成。見諸佛於眾生身。觀眾生於佛	非 雙 立 互 成 見 諸 佛 於 眾 生 身 觀 眾 生 於 佛 
T45n1872_001:0597c28	體。	體 
T45n1872_001:0597c29	七明隱顯	七 明 隱 顯 
T45n1872_001:0598a01	問隱顯之義。旨趣難原。依空色以通玄。約一	問 隱 顯 之 義 旨 趣 難 原 依 空 色 以 通 玄 約 一 
T45n1872_001:0598a02	多而顯密。若顯時有隱。觀色即合見空。若隱	多 而 顯 密 若 顯 時 有 隱 觀 色 即 合 見 空 若 隱 
T45n1872_001:0598a03	時有顯。見寂應常覩動。請開法藏。此智珠	時 有 顯 見 寂 應 常 覩 動 請 開 法 藏 此 智 珠 
T45n1872_001:0598a04	　私對。此能攝即此云彼。若收此。亦此顯	 私 對 此 能 攝 即 此 云 彼 若 收 此 亦 此 顯 
T45n1872_001:0598a05	彼隱。隱在即是顯在。顯時正是隱時。一壞全	彼 隱 隱 在 即 是 顯 在 顯 時 正 是 隱 時 一 壞 全 
T45n1872_001:0598a06	攝。多成此顯。全收彼隱。法體而恒明。明亦非	攝 多 成 此 顯 全 收 彼 隱 法 體 而 恒 明 明 亦 非 
T45n1872_001:0598a07	顯。佛動而常寂。寂亦非隱。隱由顯立。法界開	顯 佛 動 而 常 寂 寂 亦 非 隱 隱 由 顯 立 法 界 開 
T45n1872_001:0598a08	乎緣起中。顯由隱成。萬物鏡於一空之上。然	乎 緣 起 中 顯 由 隱 成 萬 物 鏡 於 一 空 之 上 然 
T45n1872_001:0598a09	見空即是見色。了妄即是了真。詎歷八萬。體	見 空 即 是 見 色 了 妄 即 是 了 真 詎 歷 八 萬 體 
T45n1872_001:0598a10	心之首。謹對。	心 之 首 謹 對 
T45n1872_001:0598a11	八明因果	八 明 因 果 
T45n1872_001:0598a12	問因果相依。其猶函蓋。若從因獲果。即果成	問 因 果 相 依 其 猶 函 蓋 若 從 因 獲 果 即 果 成 
T45n1872_001:0598a13	異於因時。若即因是果。眾生同於佛地。不得	異 於 因 時 若 即 因 是 果 眾 生 同 於 佛 地 不 得 
T45n1872_001:0598a14	稱為斷德。茲又落常。幸旨迷方開斯正路	稱 為 斷 德 茲 又 落 常 幸 旨 迷 方 開 斯 正 路 
T45n1872_001:0598a15	　私對曰。因果二位。同一緣起。相因成立。義不	 私 對 曰 因 果 二 位 同 一 緣 起 相 因 成 立 義 不 
T45n1872_001:0598a16	孤興。因徹果源。果究因末。普賢行願。方號	孤 興 因 徹 果 源 果 究 因 末 普 賢 行 願 方 號 
T45n1872_001:0598a17	圓因。舍那十身。遂稱滿果。然則法無前後。隨	圓 因 舍 那 十 身 遂 稱 滿 果 然 則 法 無 前 後 隨 
T45n1872_001:0598a18	了處而因圓。佛雖斷常。遂悟時而理現。果	了 處 而 因 圓 佛 雖 斷 常 遂 悟 時 而 理 現 果 
T45n1872_001:0598a19	果非是得。因亦不亡。猶是發心方驗。果究	果 非 是 得 因 亦 不 亡 猶 是 發 心 方 驗 果 究 
T45n1872_001:0598a20	因際。菩薩已成正覺。即知因源果位相望。自	因 際 菩 薩 已 成 正 覺 即 知 因 源 果 位 相 望 自 
T45n1872_001:0598a21	招斷常之失。同體一解。復招體用之識。自可	招 斷 常 之 失 同 體 一 解 復 招 體 用 之 識 自 可 
T45n1872_001:0598a22	緣起門中。許因相即。法界證處果異預談。	緣 起 門 中 許 因 相 即 法 界 證 處 果 異 預 談 
T45n1872_001:0598a23	九達色空	九 達 色 空 
T45n1872_001:0598a24	問緣起事。分齊差別。法界空理。離於限量。一	問 緣 起 事 分 齊 差 別 法 界 空 理 離 於 限 量 一 
T45n1872_001:0598a25	通一礙自在之義有乖。或隱或顯。融會之端	通 一 礙 自 在 之 義 有 乖 或 隱 或 顯 融 會 之 端 
T45n1872_001:0598a26	莫準。欲使力齊一味義顯同源。希聽德音。	莫 準 欲 使 力 齊 一 味 義 顯 同 源 希 聽 德 音 
T45n1872_001:0598a27	願開高唱　私對。色攬空成。如動波之收水。	願 開 高 唱 私 對 色 攬 空 成 如 動 波 之 收 水 
T45n1872_001:0598a28	事含理就。似金器此隨形。色依空立。空約	事 含 理 就 似 金 器 此 隨 形 色 依 空 立 空 約 
T45n1872_001:0598a29	色明。互奪則二義必亡。互成則兩門俱現。現	色 明 互 奪 則 二 義 必 亡 互 成 則 兩 門 俱 現 現 
T45n1872_001:0598b01	時即隱。故觀色而常空。空時即顯。故觀空而	時 即 隱 故 觀 色 而 常 空 空 時 即 顯 故 觀 空 而 
T45n1872_001:0598b02	恒色。色既非色。空亦非空。互有力而互無。互	恒 色 色 既 非 色 空 亦 非 空 互 有 力 而 互 無 互 
T45n1872_001:0598b03	相成而互奪。故無生之義遂彰。由相成。故緣	相 成 而 互 奪 故 無 生 之 義 遂 彰 由 相 成 故 緣 
T45n1872_001:0598b04	起之門乃現。色無自性。舉體全空。空無自體。	起 之 門 乃 現 色 無 自 性 舉 體 全 空 空 無 自 體 
T45n1872_001:0598b05	舉空全色。色空無二。圓通一際。更使一通一	舉 空 全 色 色 空 無 二 圓 通 一 際 更 使 一 通 一 
T45n1872_001:0598b06	礙。溥在相而未融。有隱解在性而方中。	礙 溥 在 相 而 未 融 有 隱 解 在 性 而 方 中 
T45n1872_001:0598b07	謹對。	謹 對 
T45n1872_001:0598b08	華嚴策林(終)	華 嚴 策 林 終 
