X88n1666_001:0556c07	佛祖心燈	佛 祖 心 燈 
X88n1666_001:0557a18	　心自本來心　　本心非有法　　有法有本心	 心 自 本 來 心 本 心 非 有 法 有 法 有 本 心 
X88n1666_001:0557a19	　非心非本法	 非 心 非 本 法 
X88n1666_001:0557a20	提多迦(天竺第五祖)	提 多 迦 天 竺 第 五 祖 
X88n1666_001:0557a21	　通達本心法　　無法無非法　　悟了同未悟	 通 達 本 心 法 無 法 無 非 法 悟 了 同 未 悟 
X88n1666_001:0557a22	　無心亦無法	 無 心 亦 無 法 
X88n1666_001:0557a23	彌遮迦(天竺第六祖)	彌 遮 迦 天 竺 第 六 祖 
X88n1666_001:0557a24	　無心無可得　　說得不名法　　若了心非心	 無 心 無 可 得 說 得 不 名 法 若 了 心 非 心 
X88n1666_001:0557b01	　始了心心法	 始 了 心 心 法 
X88n1666_001:0557b02	婆須蜜(天竺第七祖)	婆 須 蜜 天 竺 第 七 祖 
X88n1666_001:0557b03	　心同虗空界　　示等虗空法　　證得虗空時	 心 同 虗 空 界 示 等 虗 空 法 證 得 虗 空 時 
X88n1666_001:0557b04	　無是無非法	 無 是 無 非 法 
X88n1666_001:0557b05	佛陀難提(天竺第八祖)	佛 陀 難 提 天 竺 第 八 祖 
X88n1666_001:0557b06	　虗空無內外　　心法亦如此　　若了虗空故	 虗 空 無 內 外 心 法 亦 如 此 若 了 虗 空 故 
X88n1666_001:0557b07	　是達真如理	 是 達 真 如 理 
X88n1666_001:0557b08	伏馱蜜多(天竺第九祖)	伏 馱 蜜 多 天 竺 第 九 祖 
X88n1666_001:0557b09	　真理不無名　　因名顯真理　　受得真實法	 真 理 不 無 名 因 名 顯 真 理 受 得 真 實 法 
X88n1666_001:0557b10	　非真亦非偽	 非 真 亦 非 偽 
X88n1666_001:0557b11	脇尊者(天竺第十祖)	脇 尊 者 天 竺 第 十 祖 
X88n1666_001:0557b12	　真體自然真　　因真說有理　　領得真真法	 真 體 自 然 真 因 真 說 有 理 領 得 真 真 法 
X88n1666_001:0557b13	　無行亦無止	 無 行 亦 無 止 
X88n1666_001:0557b14	富那夜奢(第十一祖)	富 那 夜 奢 第 十 一 祖 
X88n1666_001:0557b15	　迷悟如隱顯　　明暗不相離　　今付隱顯法	 迷 悟 如 隱 顯 明 暗 不 相 離 今 付 隱 顯 法 
X88n1666_001:0557b16	　非一亦非二	 非 一 亦 非 二 
X88n1666_001:0557b17	馬鳴大士(第十二祖)	馬 鳴 大 士 第 十 二 祖 
X88n1666_001:0557b18	　隱顯即本法　　明暗元不二　　今付悟了法	 隱 顯 即 本 法 明 暗 元 不 二 今 付 悟 了 法 
X88n1666_001:0557b19	　非取亦非離	 非 取 亦 非 離 
X88n1666_001:0557b20	迦毗摩羅(第十三祖)	迦 毗 摩 羅 第 十 三 祖 
X88n1666_001:0557b21	　非隱非顯法　　說是真實際　　悟此隱顯法	 非 隱 非 顯 法 說 是 真 實 際 悟 此 隱 顯 法 
X88n1666_001:0557b22	　非愚亦非智	 非 愚 亦 非 智 
X88n1666_001:0557b23	龍樹尊者(第十四祖)	龍 樹 尊 者 第 十 四 祖 
X88n1666_001:0557b24	　為明隱顯法　　方說解脫理　　於法心不證	 為 明 隱 顯 法 方 說 解 脫 理 於 法 心 不 證 
X88n1666_001:0557c01	　無瞋亦無喜	 無 瞋 亦 無 喜 
X88n1666_001:0557c02	迦那提婆(第十五祖)	迦 那 提 婆 第 十 五 祖 
X88n1666_001:0557c03	　本對傳法人　　為說解脫理　　於法實無證	 本 對 傳 法 人 為 說 解 脫 理 於 法 實 無 證 
X88n1666_001:0557c04	　無終亦無始	 無 終 亦 無 始 
X88n1666_001:0557c05	羅睺羅多(第十六祖)	羅 睺 羅 多 第 十 六 祖 
X88n1666_001:0557c06	　於法實無證　　不取亦不離　　法非有無相	 於 法 實 無 證 不 取 亦 不 離 法 非 有 無 相 
X88n1666_001:0557c07	　內外云何起	 內 外 云 何 起 
X88n1666_001:0557c08	僧迦難提(第十七祖)	僧 迦 難 提 第 十 七 祖 
X88n1666_001:0557c09	　心地本無生　　因地從緣起　　緣種不相妨	 心 地 本 無 生 因 地 從 緣 起 緣 種 不 相 妨 
X88n1666_001:0557c10	　華果亦復爾	 華 果 亦 復 爾 
X88n1666_001:0557c11	伽耶舍多(第十八祖)	伽 耶 舍 多 第 十 八 祖 
X88n1666_001:0557c12	　有種有心地　　因緣能發萌　　於緣不相礙	 有 種 有 心 地 因 緣 能 發 萌 於 緣 不 相 礙 
X88n1666_001:0557c13	　當生生不生	 當 生 生 不 生 
X88n1666_001:0557c14	鳩摩羅多(第十九祖)	鳩 摩 羅 多 第 十 九 祖 
X88n1666_001:0557c15	　性上本無生　　為對求人說　　於法既無得	 性 上 本 無 生 為 對 求 人 說 於 法 既 無 得 
X88n1666_001:0557c16	　何懷決不決	 何 懷 決 不 決 
X88n1666_001:0557c17	闍夜多(第二十祖)	闍 夜 多 第 二 十 祖 
X88n1666_001:0557c18	　言下合無生　　同於法界性　　若能如是解	 言 下 合 無 生 同 於 法 界 性 若 能 如 是 解 
X88n1666_001:0557c19	　通達事理境	 通 達 事 理 境 
X88n1666_001:0557c20	婆修盤頭(第二十一祖)	婆 修 盤 頭 第 二 十 一 祖 
X88n1666_001:0557c21	　泡幻同無礙　　如何不了悟　　達法在其中	 泡 幻 同 無 礙 如 何 不 了 悟 達 法 在 其 中 
X88n1666_001:0557c22	　非今亦非古	 非 今 亦 非 古 
X88n1666_001:0557c23	摩拏羅(第二十二祖)	摩 拏 羅 第 二 十 二 祖 
X88n1666_001:0557c24	　心隨萬境轉　　轉處實能幽　　隨流認得性	 心 隨 萬 境 轉 轉 處 實 能 幽 隨 流 認 得 性 
X88n1666_001:0558a01	　無喜復無憂	 無 喜 復 無 憂 
X88n1666_001:0558a02	鶴勒那(第二十三祖)	鶴 勒 那 第 二 十 三 祖 
X88n1666_001:0558a03	　認得心性時　　可說不思議　　了了無可得	 認 得 心 性 時 可 說 不 思 議 了 了 無 可 得 
X88n1666_001:0558a04	　得時不說知	 得 時 不 說 知 
X88n1666_001:0558a05	師子比丘(第二十四祖)	師 子 比 丘 第 二 十 四 祖 
X88n1666_001:0558a06	　正說知見時　　知見俱是心　　當心即知見	 正 說 知 見 時 知 見 俱 是 心 當 心 即 知 見 
X88n1666_001:0558a07	　知見即於今	 知 見 即 於 今 
X88n1666_001:0558a08	婆舍斯多(第二十五祖)	婆 舍 斯 多 第 二 十 五 祖 
X88n1666_001:0558a09	　聖人說知見　　當境無是非　　我今悟真性	 聖 人 說 知 見 當 境 無 是 非 我 今 悟 真 性 
X88n1666_001:0558a10	　無道亦無理	 無 道 亦 無 理 
X88n1666_001:0558a11	不如密多(第二十六祖)	不 如 密 多 第 二 十 六 祖 
X88n1666_001:0558a12	　真性心地藏　　無頭亦無尾　　應緣而化物	 真 性 心 地 藏 無 頭 亦 無 尾 應 緣 而 化 物 
X88n1666_001:0558a13	　方便呼為智	 方 便 呼 為 智 
X88n1666_001:0558a14	般若多羅(第二十七祖)	般 若 多 羅 第 二 十 七 祖 
X88n1666_001:0558a15	　心地生諸種　　因事復生理　　果滿菩提圓	 心 地 生 諸 種 因 事 復 生 理 果 滿 菩 提 圓 
X88n1666_001:0558a16	　華開世界起	 華 開 世 界 起 
X88n1666_001:0558a17	菩提達磨(西天第二十八祖中華初祖)	菩 提 達 磨 西 天 第 二 十 八 祖 中 華 初 祖 
X88n1666_001:0558a18	　吾本來茲土　　傳法救迷情　　一華開五葉	 吾 本 來 茲 土 傳 法 救 迷 情 一 華 開 五 葉 
X88n1666_001:0558a19	　結果自然成	 結 果 自 然 成 
X88n1666_001:0558a20	慧可大師(第二十九祖中華二祖)	慧 可 大 師 第 二 十 九 祖 中 華 二 祖 
X88n1666_001:0558a21	　本來緣有地　　因地種華生　　本來無有種	 本 來 緣 有 地 因 地 種 華 生 本 來 無 有 種 
X88n1666_001:0558a22	　華亦不曾生	 華 亦 不 曾 生 
X88n1666_001:0558a23	僧璨大師(第三十祖中華三祖)	僧 璨 大 師 第 三 十 祖 中 華 三 祖 
X88n1666_001:0558a24	　華種雖因地　　從地種華生　　若無人下種	 華 種 雖 因 地 從 地 種 華 生 若 無 人 下 種 
X88n1666_001:0558b01	　華地盡無生	 華 地 盡 無 生 
X88n1666_001:0558b02	道信大師(第三十一祖中華四祖)	道 信 大 師 第 三 十 一 祖 中 華 四 祖 
X88n1666_001:0558b03	　華種有生性　　因地華生生　　大緣與信合	 華 種 有 生 性 因 地 華 生 生 大 緣 與 信 合 
X88n1666_001:0558b04	　當生生不生	 當 生 生 不 生 
X88n1666_001:0558b05	弘忍大師(第三十二祖中華五祖)	弘 忍 大 師 第 三 十 二 祖 中 華 五 祖 
X88n1666_001:0558b06	　有情來下種　　因地果還生　　無情既無種	 有 情 來 下 種 因 地 果 還 生 無 情 既 無 種 
X88n1666_001:0558b07	　無性亦無生	 無 性 亦 無 生 
X88n1666_001:0558b08	慧能大師(第三十三祖中華六祖)	慧 能 大 師 第 三 十 三 祖 中 華 六 祖 
X88n1666_001:0558b09	　心地含諸種　　普雨悉皆生　　頓悟華情已	 心 地 含 諸 種 普 雨 悉 皆 生 頓 悟 華 情 已 
X88n1666_001:0558b10	　菩提果自成	 菩 提 果 自 成 
X88n1666_001:0558b14	佛祖源流訣	佛 祖 源 流 訣 
X88n1666_001:0558b15	　迦文迦葉阿難商　　優波毱多與提多	 迦 文 迦 葉 阿 難 商 優 波 毱 多 與 提 多 
X88n1666_001:0558b16	　彌迦婆須佛馱伏　　脇富馬鳴迦毗摩	 彌 迦 婆 須 佛 馱 伏 脇 富 馬 鳴 迦 毗 摩 
X88n1666_001:0558b17	　龍樹迦那於羅睺　　僧伽伽耶鳩摩羅	 龍 樹 迦 那 於 羅 睺 僧 伽 伽 耶 鳩 摩 羅 
X88n1666_001:0558b18	　闍夜婆修摩拏鶴　　師子婆舍不如般	 闍 夜 婆 修 摩 拏 鶴 師 子 婆 舍 不 如 般 
X88n1666_001:0558b19	　達磨傳於東土後　　慧僧道弘慧之他	 達 磨 傳 於 東 土 後 慧 僧 道 弘 慧 之 他 
X88n1666_001:0558c01	五宗次序譜	五 宗 次 序 譜 
X88n1666_001:0558c02	六祖能(第一)	六 祖 能 第 一 
X88n1666_001:0558c03	南嶽讓	南 嶽 讓 
X88n1666_001:0558c04	馬祖一	馬 祖 一 
X88n1666_001:0558c05	百丈海	百 丈 海 
X88n1666_001:0558c06	(五世)溈山祐	 五 世 溈 山 祐 
X88n1666_001:0558c07	(六世)仰山寂	 六 世 仰 山 寂 
X88n1666_001:0558c08	黃檗運	黃 檗 運 
X88n1666_001:0558c09	(六世)臨濟玄	 六 世 臨 濟 玄 
X88n1666_001:0558c10	青原思	青 原 思 
X88n1666_001:0558c11	石頭遷	石 頭 遷 
X88n1666_001:0558c12	藥山儼	藥 山 儼 
X88n1666_001:0558c13	雲巖晟	雲 巖 晟 
X88n1666_001:0558c14	(六世)洞山价	 六 世 洞 山 价 
X88n1666_001:0558c15	雲居膺	雲 居 膺 
X88n1666_001:0558c16	(七世)曹山寂	 七 世 曹 山 寂 
X88n1666_001:0558c17	天皇悟	天 皇 悟 
X88n1666_001:0558c18	龍潭信	龍 潭 信 
X88n1666_001:0558c19	德山鑑	德 山 鑑 
X88n1666_001:0558c20	雪峰存	雪 峰 存 
X88n1666_001:0558c21	(八世)雲門偃	 八 世 雲 門 偃 
X88n1666_001:0558c22	玄沙備	玄 沙 備 
X88n1666_001:0558c23	地藏琛	地 藏 琛 
