T48n2003_001:0139a03	碧巖錄序	碧 巖 錄 序 
T48n2003_001:0139a23	有深得吾詩家活法者。然所謂第一義。焉用	有 深 得 吾 詩 家 活 法 者 然 所 謂 第 一 義 焉 用 
T48n2003_001:0139a24	言句。雪竇圜悟。老婆心切。大慧已一炬丙之	言 句 雪 竇 圜 悟 老 婆 心 切 大 慧 已 一 炬 丙 之 
T48n2003_001:0139a25	矣。嵎中張煒明遠。燃死灰復板行。亦所謂老	矣 嵎 中 張 煒 明 遠 燃 死 灰 復 板 行 亦 所 謂 老 
T48n2003_001:0139a26	婆心切者歟。大德四年庚子。四月初八日癸	婆 心 切 者 歟 大 德 四 年 庚 子 四 月 初 八 日 癸 
T48n2003_001:0139a27	丑。紫陽山方回萬里序。	丑 紫 陽 山 方 回 萬 里 序 
T48n2003_001:0139a28	碧巖集者。圜悟大師之所述也。其大弟子大	碧 巖 集 者 圜 悟 大 師 之 所 述 也 其 大 弟 子 大 
T48n2003_001:0139a29	慧禪師。乃焚棄其書。世間種種法皆忌執著。	慧 禪 師 乃 焚 棄 其 書 世 間 種 種 法 皆 忌 執 著 
T48n2003_001:0139b01	釋子所歸敬莫如佛。猶有時而罵之。蓋有我	釋 子 所 歸 敬 莫 如 佛 猶 有 時 而 罵 之 蓋 有 我 
T48n2003_001:0139b02	而無彼。由我而不由彼也。舍己徇物。必至於	而 無 彼 由 我 而 不 由 彼 也 舍 己 徇 物 必 至 於 
T48n2003_001:0139b03	失己。夫心與道一。道與萬物一。充滿太虛。何	失 己 夫 心 與 道 一 道 與 萬 物 一 充 滿 太 虛 何 
T48n2003_001:0139b04	適而非道。第常人觀之。能見其所見。而不	適 而 非 道 第 常 人 觀 之 能 見 其 所 見 而 不 
T48n2003_001:0139b05	見其所不見。求之於人。而人語之。如東坡日	見 其 所 不 見 求 之 於 人 而 人 語 之 如 東 坡 日 
T48n2003_001:0139b06	喻之說。往復推測。愈遠愈失。自吾夫子體道。	喻 之 說 往 復 推 測 愈 遠 愈 失 自 吾 夫 子 體 道 
T48n2003_001:0139b07	猶欲無言。而況佛氏為出世間法。而可文字	猶 欲 無 言 而 況 佛 氏 為 出世間法 而 可 文 字 
T48n2003_001:0139b08	言語而求之哉。雖然亦有不可廢者。智者少	言 語 而 求 之 哉 雖 然 亦 有 不 可 廢 者 智 者 少 
T48n2003_001:0139b09	而愚者多。已學者少未學者多。大藏經五千	而 愚 者 多 已 學 者 少 未 學 者 多 大 藏 經 五 千 
T48n2003_001:0139b10	餘卷。盡為未來世設。苟可以忘言。釋迦老	餘 卷 盡 為 未 來 世 設 苟 可 以 忘 言 釋 迦 老 
T48n2003_001:0139b11	子便當閉口。何至如是叨叨。天下之理。固有	子 便 當 閉 口 何 至 如 是 叨 叨 天 下 之 理 固 有 
T48n2003_001:0139b12	不離尋常之中。而超出於尋常之表。雖若易	不 離 尋 常 之 中 而 超 出 於 尋 常 之 表 雖 若 易 
T48n2003_001:0139b13	知。而實未易知者。不求之於人。則終身不可	知 而 實 未 易 知 者 不 求 之 於 人 則 終 身 不 可 
T48n2003_001:0139b14	得。古者名世之人。非千人之英。則萬人之傑	得 古 者 名 世 之 人 非 千 人 之 英 則 萬 人 之 傑 
T48n2003_001:0139b15	也。太阿之劍。天下之利劍也。登山則戮虎	也 太 阿 之 劍 天 下 之 利 劍 也 登 山 則 戮 虎 
T48n2003_001:0139b16	豹。入水則剸蛟龍。人之知之。盡於是已。然古	豹 入 水 則 剸 蛟 龍 人 之 知 之 盡 於 是 已 然 古 
T48n2003_001:0139b17	人有善用之者。乘城而戰。順風而揮之。三軍	人 有 善 用 之 者 乘 城 而 戰 順 風 而 揮 之 三 軍 
T48n2003_001:0139b18	為之大敗。流血赭乎千里。是豈可以一己之	為 之 大 敗 流 血 赭 乎 千 里 是 豈 可 以 一 己 之 
T48n2003_001:0139b19	所能。而盡疑之哉。自吾聞有是書。求之甚至。	所 能 而 盡 疑 之 哉 自 吾 聞 有 是 書 求 之 甚 至 
T48n2003_001:0139b20	嵎中張氏。始更刻木。來謀於予。遂贊而成之。	嵎 中 張 氏 始 更 刻 木 來 謀 於 予 遂 贊 而 成 之 
T48n2003_001:0139b21	且為題其首。大德九年歲乙巳。三月吉日。玉	且 為 題 其 首 大 德 九 年 歲 乙 巳 三 月 吉 日 玉 
T48n2003_001:0139b22	岑休休居士。聊城周馳。書於錢唐觀橋寓舍。	岑 休 休 居 士 聊 城 周 馳 書 於 錢 唐 觀 橋 寓 舍 
T48n2003_001:0139b23	或問。碧巖集之成毀孰是乎。曰皆是也。齴齲	或 問 碧 巖 集 之 成 毀 孰 是 乎 曰 皆 是 也 齴 齲 
T48n2003_001:0139b24	來東單傳心印。不立文字固也。而血脈歸空	來 東 單 傳 心 印 不 立 文 字 固 也 而 血 脈 歸 空 
T48n2003_001:0139b25	諸論。果誰為之哉。古謂不在文字不離文字	諸 論 果 誰 為 之 哉 古 謂 不 在 文 字 不 離 文 字 
T48n2003_001:0139b26	者。真知言。已使人人於卷簾聞板竪指觸脚	者 真 知 言 已 使 人 人 於 卷 簾 聞 板 竪 指 觸 脚 
T48n2003_001:0139b27	之際。了却大事。文字何有哉。拈花微笑以來。	之 際 了 却 大 事 文 字 何 有 哉 拈 花 微 笑 以 來 
T48n2003_001:0139b28	門竿倒却之後。才涉言句。非文字無以傳。是	門 竿 倒 却 之 後 才 涉 言 句 非 文 字 無 以 傳 是 
T48n2003_001:0139b29	又不可廢者也。甞謂祖教之書。謂之公案者。	又 不 可 廢 者 也 甞 謂 祖 教 之 書 謂 之 公 案 者 
T48n2003_001:0139c01	倡於唐而盛於宋。其來尚矣。二字乃世間法	倡 於 唐 而 盛 於 宋 其 來 尚 矣 二 字 乃 世 間 法 
T48n2003_001:0139c02	中吏牘語。其用有三。面壁功成。行脚事了。定	中 吏 牘 語 其 用 有 三 面 壁 功 成 行 脚 事 了 定 
T48n2003_001:0139c03	槃之星難明。野狐之趣易墮。具眼為之勘辨。	槃 之 星 難 明 野 狐 之 趣 易 墮 具 眼 為 之 勘 辨 
T48n2003_001:0139c04	一呵一喝。要見實詣。如老吏據獄讞罪。底裏	一 呵 一 喝 要 見 實 詣 如 老 吏 據 獄 讞 罪 底 裏 
T48n2003_001:0139c05	悉見。情欵不遺一也。其次則嶺南初來。西江	悉 見 情 欵 不 遺 一 也 其 次 則 嶺 南 初 來 西 江 
T48n2003_001:0139c06	未吸。亡羊之岐易泣。指海之針必南。悲心	未 吸 亡 羊 之 岐 易 泣 指 海 之 針 必 南 悲 心 
T48n2003_001:0139c07	為之接引。一棒一痕要令證悟。如廷尉執法	為 之 接 引 一 棒 一 痕 要 令 證 悟 如 廷 尉 執 法 
T48n2003_001:0139c08	平反。出人於死二也。又其次則犯稼憂深。繫	平 反 出 人 於 死 二 也 又 其 次 則 犯 稼 憂 深 繫 
T48n2003_001:0139c09	驢事重。學弈之志須專。染絲之色易悲。大善	驢 事 重 學 弈 之 志 須 專 染 絲 之 色 易 悲 大 善 
T48n2003_001:0139c10	知識為之付囑。俾之心死蒲團。一動一參。如	知 識 為 之 付 囑 俾 之 心 死 蒲 團 一 動 一 參 如 
T48n2003_001:0139c11	官府頒示條令。令人讀律知法。惡念才生。旋	官 府 頒 示 條 令 令 人 讀 律 知 法 惡 念 才 生 旋 
T48n2003_001:0139c12	即寢滅三也。具方冊。作案底。陳機境。為格	即 寢 滅 三 也 具 方 冊 作 案 底 陳 機 境 為 格 
T48n2003_001:0139c13	令。與世間所謂金科玉條清明對越諸書。初	令 與 世 間 所 謂 金 科 玉 條 清 明 對 越 諸 書 初 
T48n2003_001:0139c14	何以異。祖師所以立為公案。留示叢林者。意	何 以 異 祖 師 所 以 立 為 公 案 留 示 叢 林 者 意 
T48n2003_001:0139c15	或取此。柰何末法以來。求妙心於瘡紙。付正	或 取 此 柰 何 末 法 以 來 求 妙 心 於 瘡 紙 付 正 
T48n2003_001:0139c16	法於口談。點盡鬼神。猶不離簿。傍人門戶。任	法 於 口 談 點 盡 鬼 神 猶 不 離 簿 傍 人 門 戶 任 
T48n2003_001:0139c17	喚作郎。劍去矣而舟猶刻。兔逸矣而株不移。	喚 作 郎 劍 去 矣 而 舟 猶 刻 兔 逸 矣 而 株 不 移 
T48n2003_001:0139c18	滿肚葛藤。能問千轉。其於生死大事。初無干	滿 肚 葛 藤 能 問 千 轉 其 於 生 死 大 事 初 無 干 
T48n2003_001:0139c19	涉。鐘鳴漏盡。將焉用之。烏乎。羚羊掛角。未	涉 鐘 鳴 漏 盡 將 焉 用 之 烏 乎 羚 羊 掛 角 未 
T48n2003_001:0139c20	可以形迹求。而善學下慧者。豈步亦步。趨亦	可 以 形 迹 求 而 善 學 下 慧 者 豈 步 亦 步 趨 亦 
T48n2003_001:0139c21	趨哉。知此則二老之心皆是矣。圜悟顧子念	趨 哉 知 此 則 二 老 之 心 皆 是 矣 圜 悟 顧 子 念 
T48n2003_001:0139c22	孫之心多。故重拈雪竇頌。大慧救焚拯溺之	孫 之 心 多 故 重 拈 雪 竇 頌 大 慧 救 焚 拯 溺 之 
T48n2003_001:0139c23	心多。故立毀碧巖集。釋氏說一大藏經。末後	心 多 故 立 毀 碧 巖 集 釋 氏 說 一 大 藏 經 末 後 
T48n2003_001:0139c24	乃謂。不曾說一字。豈欺我哉圜悟之心。釋氏	乃 謂 不 曾 說 一 字 豈 欺 我 哉 圜 悟 之 心 釋 氏 
T48n2003_001:0139c25	說經之心也。大慧之心。釋氏諱說之心也。禹	說 經 之 心 也 大 慧 之 心 釋 氏 諱 說 之 心 也 禹 
T48n2003_001:0139c26	稷顏子易地皆然。推之輓之。主於車行而已。	稷 顏 子 易 地 皆 然 推 之 輓 之 主 於 車 行 而 已 
T48n2003_001:0139c27	爾來二百餘年。嵎中張明遠。復鏤梓。以壽其	爾 來 二 百 餘 年 嵎 中 張 明 遠 復 鏤 梓 以 壽 其 
T48n2003_001:0139c28	傳。豈祖教回春乎。抑世故有數乎。然是書之	傳 豈 祖 教 回 春 乎 抑 世 故 有 數 乎 然 是 書 之 
T48n2003_001:0139c29	行。所關甚重。若見水即海。認指作月。不特大	行 所 關 甚 重 若 見 水 即 海 認 指 作 月 不 特 大 
T48n2003_001:0140a01	慧憂之。而圜悟又將為之去粘解縛矣。昔人	慧 憂 之 而 圜 悟 又 將 為 之 去 粘 解 縛 矣 昔 人 
T48n2003_001:0140a02	寫照之詩曰。分明紙上張公子。盡力高聲喚	寫 照 之 詩 曰 分 明 紙 上 張 公 子 盡 力 高 聲 喚 
T48n2003_001:0140a03	不譍。欲觀此書。先參此語。大德甲辰四月望。	不 譍 欲 觀 此 書 先 參 此 語 大 德 甲 辰 四 月 望 
T48n2003_001:0140a04	三教老人書。	三 教 老 人 書 
T48n2003_001:0140a08	佛果圜悟禪師碧巖錄卷第一	佛 果 圜 悟 禪 師 碧 巖 錄 卷 第 一 
T48n2003_001:0140a10	師住澧州夾山靈泉禪院	師 住 澧 州 夾 山 靈 泉 禪 院 
T48n2003_001:0140a11	評唱雪竇顯和尚頌古語要	評 唱 雪 竇 顯 和 尚 頌 古 語 要 
T48n2003_001:0140a12	垂示云。隔山見煙。早知是火。隔牆見角。便知	垂 示 云 隔 山 見 煙 早 知 是 火 隔 牆 見 角 便 知 
T48n2003_001:0140a13	是牛。舉一明三。目機銖兩。是衲僧家尋常茶	是 牛 舉 一 明 三 目 機 銖 兩 是 衲 僧 家 尋 常 茶 
T48n2003_001:0140a14	飯。至於截斷眾流。東湧西沒。逆順縱橫。與奪	飯 至 於 截 斷 眾 流 東 湧 西 沒 逆 順 縱 橫 與 奪 
T48n2003_001:0140a15	自在。正當恁麼時。且道。是什麼人行履處。看	自 在 正 當 恁 麼 時 且 道 是 什 麼 人 行 履 處 看 
T48n2003_001:0140a16	取雪竇葛藤。	取 雪 竇 葛 藤 
T48n2003_001:0140a17	【一】舉梁武帝問達磨大師(說這不唧[口*留]漢)如何是聖諦	 一 舉 梁 武 帝 問 達 磨 大 師 說 這 不 唧 [口留] 漢 如 何 是 聖 諦 
T48n2003_001:0140a18	第一義(是甚繫驢橛)磨云。廓然無聖(將謂多少奇特。箭過新羅。可殺	第 一 義 是 甚 繫 驢 橛 磨 云 廓 然 無 聖 將 謂 多 少 奇 特 箭 過 新 羅 可 殺 
T48n2003_001:0140a19	明白)帝曰。對朕者誰(滿面慚惶。強惺惺果然。摸索不着)磨云。不	明 白 帝 曰 對 朕 者 誰 滿 面 慚 惶 強 惺 惺 果 然 摸 索 不 着 磨 云 不 
T48n2003_001:0140a20	識(咄。再來不直半文錢)帝不契(可惜許。却較些子)達磨遂渡江至	識 咄 再 來 不 直 半 文 錢 帝 不 契 可 惜 許 却 較 些 子 達 磨 遂 渡 江 至 
T48n2003_001:0140a21	魏(這野狐精。不免一場懡[怡台+羅]。從西過東。從東過西)帝後舉問志公(貧兒	魏 這 野 狐 精 不 免 一 場 懡 [怡台羅] 從 西 過 東 從 東 過 西 帝 後 舉 問 志 公 貧 兒 
T48n2003_001:0140a22	思舊債。傍人有眼)志公云。陛下還識此人否(和志公趕出國始得。	思 舊 債 傍 人 有 眼 志 公 云 陛 下 還 識 此 人 否 和 志 公 趕 出 國 始 得 
T48n2003_001:0140a23	好與三十棒。達磨來也)帝云。不識(却是武帝承當得達磨公案)志公云。	好 與 三 十 棒 達 磨 來 也 帝 云 不 識 却 是 武 帝 承 當 得 達 磨 公 案 志 公 云 
T48n2003_001:0140a24	此是觀音大士。傳佛心印(胡亂指注。臂膊不向外曲)帝悔。	此 是 觀 音 大 士 傳 佛 心 印 胡 亂 指 注 臂 膊 不 向 外 曲 帝 悔 
T48n2003_001:0140a25	遂遣使去請(果然把不住。向道不唧[口*留])志公云。莫道陛下	遂 遣 使 去 請 果 然 把 不 住 向 道 不 唧 [口留] 志 公 云 莫 道 陛 下 
T48n2003_001:0140a26	發使去取(東家人死。西家人助哀。也好一時趕出國)闔國人去。他亦	發 使 去 取 東 家 人 死 西 家 人 助 哀 也 好 一 時 趕 出 國 闔 國 人 去 他 亦 
T48n2003_001:0140a27	不回(志公也好與三十棒。不知脚跟下放大光明)。	不 回 志 公 也 好 與 三 十 棒 不 知 脚 跟 下 放大光明 
T48n2003_001:0140a28	達磨遙觀此土有大乘根器。遂泛海得得而	達 磨 遙 觀 此 土 有 大 乘 根 器 遂 泛 海 得 得 而 
T48n2003_001:0140b01	來。單傳心印。開示迷塗。不立文字。直指人	來 單 傳 心 印 開 示 迷 塗 不 立 文 字 直 指 人 
T48n2003_001:0140b02	心。見性成佛。若恁麼見得。便有自由分。不隨	心 見 性 成 佛 若 恁 麼 見 得 便 有 自 由 分 不 隨 
T48n2003_001:0140b03	一切語言轉。脫體現成。便能於後頭。與武帝	一 切 語 言 轉 脫 體 現 成 便 能 於 後 頭 與 武 帝 
T48n2003_001:0140b04	對譚。并二祖安心處。自然見得。無計較情塵。	對 譚 并 二 祖 安 心 處 自 然 見 得 無 計 較 情 塵 
T48n2003_001:0140b05	一刀截斷。洒洒落落。何必更分是分非。辨得	一 刀 截 斷 洒 洒 落 落 何 必 更 分 是 分 非 辨 得 
T48n2003_001:0140b06	辨失。雖然恁麼。能有幾人。武帝甞披袈裟。自	辨 失 雖 然 恁 麼 能 有 幾 人 武 帝 甞 披 袈 裟 自 
T48n2003_001:0140b07	講放光般若經。感得天花亂墜地變黃金。辨	講 放 光 般 若 經 感 得 天 花 亂 墜 地 變 黃 金 辨 
T48n2003_001:0140b08	道奉佛。誥詔天下。起寺度僧。依教修行。人謂	道 奉 佛 誥 詔 天 下 起 寺 度 僧 依 教 修 行 人 謂 
T48n2003_001:0140b09	之佛心天子。達磨初見武帝。帝問。朕起寺度	之 佛 心 天 子 達 磨 初 見 武 帝 帝 問 朕 起 寺 度 
T48n2003_001:0140b10	僧。有何功德。磨云。無功德。早是惡水驀頭	僧 有 何 功 德 磨 云 無 功 德 早 是 惡 水 驀 頭 
T48n2003_001:0140b11	澆。若透得這箇無功德話。許爾親見達磨。且	澆 若 透 得 這 箇 無 功 德 話 許 爾 親 見 達 磨 且 
T48n2003_001:0140b12	道。起寺度僧。為什麼都無功德。此意在什麼	道 起 寺 度 僧 為 什 麼 都 無 功 德 此 意 在 什 麼 
T48n2003_001:0140b13	處。帝與婁約法師傅大士昭明太子。持論真	處 帝 與 婁 約 法 師 傅 大 士 昭 明 太 子 持 論 真 
T48n2003_001:0140b14	俗二諦。據教中說。真諦以明非有。俗諦以明	俗 二 諦 據 教 中 說 真 諦 以 明 非 有 俗 諦 以 明 
T48n2003_001:0140b15	非無。真俗不二。即是聖諦第一義。此是教	非 無 真 俗 不 二 即 是 聖 諦 第 一 義 此 是 教 
T48n2003_001:0140b16	家極妙窮玄處。帝便拈此極則處。問達磨。如	家 極 妙 窮 玄 處 帝 便 拈 此 極 則 處 問 達 磨 如 
T48n2003_001:0140b17	何是聖諦第一義。磨云。廓然無聖。天下衲僧	何 是 聖 諦 第 一 義 磨 云 廓 然 無 聖 天 下 衲 僧 
T48n2003_001:0140b18	跳不出。達磨與他一刀截斷。如今人多少錯	跳 不 出 達 磨 與 他 一 刀 截 斷 如 今 人 多 少 錯 
T48n2003_001:0140b19	會。却去弄精魂。瞠眼睛云。廓然無聖。且喜沒	會 却 去 弄 精 魂 瞠 眼 睛 云 廓 然 無 聖 且 喜 沒 
T48n2003_001:0140b20	交涉。五祖先師甞說。只這廓然無聖。若人透	交 涉 五 祖 先 師 甞 說 只 這 廓 然 無 聖 若 人 透 
T48n2003_001:0140b21	得。歸家穩坐。一等是打葛藤。不妨與他打破	得 歸 家 穩 坐 一 等 是 打 葛 藤 不 妨 與 他 打 破 
T48n2003_001:0140b22	漆桶。達磨就中奇特。所以道。參得一句透。千	漆 桶 達 磨 就 中 奇 特 所 以 道 參 得 一 句 透 千 
T48n2003_001:0140b23	句萬句一時透。自然坐得斷把得定。古人道。	句 萬 句 一 時 透 自 然 坐 得 斷 把 得 定 古 人 道 
T48n2003_001:0140b24	粉骨碎身未足酬。一句了然超百億。達磨劈	粉 骨 碎 身 未 足 酬 一 句 了 然 超 百 億 達 磨 劈 
T48n2003_001:0140b25	頭與他一拶。多少漏逗了也。帝不省。却以	頭 與 他 一 拶 多 少 漏 逗 了 也 帝 不 省 却 以 
T48n2003_001:0140b26	人我見故。再問對朕者誰。達磨慈悲忒殺。又	人 我 見 故 再 問 對 朕 者 誰 達 磨 慈 悲 忒 殺 又 
T48n2003_001:0140b27	向道不識。直得武帝眼目定動不知落處。是	向 道 不 識 直 得 武 帝 眼 目 定 動 不 知 落 處 是 
T48n2003_001:0140b28	何言說。到這裏有事無事。拈來即不堪。端和	何 言 說 到 這 裏 有 事 無 事 拈 來 即 不 堪 端 和 
T48n2003_001:0140b29	尚有頌云。一箭尋常落一鵰。更加一箭已相	尚 有 頌 云 一 箭 尋 常 落 一 鵰 更 加 一 箭 已 相 
T48n2003_001:0140c01	饒。直歸少室峯前坐。梁主休言更去招。復云。	饒 直 歸 少 室 峯 前 坐 梁 主 休 言 更 去 招 復 云 
T48n2003_001:0140c02	誰欲招。帝不契。遂潛出國。這老漢只得懡[怡台+羅]。	誰 欲 招 帝 不 契 遂 潛 出 國 這 老 漢 只 得 懡 [怡台羅] 
T48n2003_001:0140c03	渡江至魏。時魏孝明帝當位。乃此北人種	渡 江 至 魏 時 魏 孝 明 帝 當 位 乃 此 北 人 種 
T48n2003_001:0140c04	族姓拓跋氏。後來方名中國。達磨至彼。亦不	族 姓 拓 跋 氏 後 來 方 名 中 國 達 磨 至 彼 亦 不 
T48n2003_001:0140c05	出見。直過少林。面壁九年。接得二祖。彼方號	出 見 直 過 少 林 面 壁 九 年 接 得 二 祖 彼 方 號 
T48n2003_001:0140c06	為壁觀婆羅門。梁武帝後問志公。公云。陛下	為 壁 觀 婆 羅 門 梁 武 帝 後 問 志 公 公 云 陛 下 
T48n2003_001:0140c07	還識此人否。帝曰。不識。且道與達磨道底。是	還 識 此 人 否 帝 曰 不 識 且 道 與 達 磨 道 底 是 
T48n2003_001:0140c08	同是別。似則也似。是則不是。人多錯會道。前	同 是 別 似 則 也 似 是 則 不 是 人 多 錯 會 道 前 
T48n2003_001:0140c09	來達磨是答他禪。後來武帝是對他志公。乃	來 達 磨 是 答 他 禪 後 來 武 帝 是 對 他 志 公 乃 
T48n2003_001:0140c10	相識之識。且得沒交涉。當時志公恁麼問。且	相 識 之 識 且 得 沒 交 涉 當 時 志 公 恁 麼 問 且 
T48n2003_001:0140c11	道作麼生祇對。何不一棒打殺。免見搽胡。	道 作 麼 生 祇 對 何 不 一 棒 打 殺 免 見 搽 胡 
T48n2003_001:0140c12	武帝却供他欵道不識。志公見機而作。便云。	武 帝 却 供 他 欵 道 不 識 志 公 見 機 而 作 便 云 
T48n2003_001:0140c13	此是觀音大士。傳佛心印。帝悔遂遣使去取。	此 是 觀 音 大 士 傳 佛 心 印 帝 悔 遂 遣 使 去 取 
T48n2003_001:0140c14	好不唧[口*留]。當時等他道此是觀音大士傳佛	好 不 唧 [口留] 當 時 等 他 道 此 是 觀 音 大 士 傳 佛 
T48n2003_001:0140c15	心印。亦好擯他出國。猶較些子。人傳。志公天	心 印 亦 好 擯 他 出 國 猶 較 些 子 人 傳 志 公 天 
T48n2003_001:0140c16	鑒十三年化去。達磨普通元年方來。自隔	鑒 十 三 年 化 去 達 磨 普 通 元 年 方 來 自 隔 
T48n2003_001:0140c17	七年。何故却道同時相見。此必是謬傳。據	七 年 何 故 却 道 同 時 相 見 此 必 是 謬 傳 據 
T48n2003_001:0140c18	傳中所載。如今不論這事。只要知他大綱。且	傳 中 所 載 如 今 不 論 這 事 只 要 知 他 大 綱 且 
T48n2003_001:0140c19	道達磨是觀音。志公是觀音。阿那箇是端的	道 達 磨 是 觀 音 志 公 是 觀 音 阿 那 箇 是 端 的 
T48n2003_001:0140c20	底觀音。既是觀音。為什麼却有兩箇。何止兩	底 觀 音 既 是 觀 音 為 什 麼 却 有 兩 箇 何 止 兩 
T48n2003_001:0140c21	箇。成群作隊。時後魏光統律師。菩提流支三	箇 成 群 作 隊 時 後 魏 光 統 律 師 菩 提 流 支 三 
T48n2003_001:0140c22	藏。與師論議。師斥相指心。而褊局之量。自	藏 與 師 論 議 師 斥 相 指 心 而 褊 局 之 量 自 
T48n2003_001:0140c23	不堪任。競起害心。數加毒藥。至第六度。化緣	不 堪 任 競 起 害 心 數 加 毒 藥 至 第 六 度 化 緣 
T48n2003_001:0140c24	已畢。傳法得人。遂不復救。端居而逝。葬於熊	已 畢 傳 法 得 人 遂 不 復 救 端 居 而 逝 葬 於 熊 
T48n2003_001:0140c25	耳山定林寺。後魏宋雲奉使。於葱嶺遇師手	耳 山 定 林 寺 後 魏 宋 雲 奉 使 於 葱 嶺 遇 師 手 
T48n2003_001:0140c26	携隻履而往。武帝追憶。自撰碑文云。嗟夫。見	携 隻 履 而 往 武 帝 追 憶 自 撰 碑 文 云 嗟 夫 見 
T48n2003_001:0140c27	之不見。逢之不逢。遇之不遇。今之古之。怨	之 不 見 逢 之 不 逢 遇 之 不 遇 今 之 古 之 怨 
T48n2003_001:0140c28	之恨之。復讚云。心有也。曠劫而滯凡夫。心	之 恨 之 復 讚 云 心 有 也 曠 劫 而 滯 凡 夫 心 
T48n2003_001:0140c29	無也。剎那而登妙覺。且道。達磨即今在什	無 也 剎 那 而 登 妙 覺 且 道 達 磨 即 今 在 什 
T48n2003_001:0141a01	麼處。蹉過也不知。	麼 處 蹉 過 也 不 知 
T48n2003_001:0141a02	聖諦廓然(箭過新羅。咦)何當辨的(過也。有什麼難辨)對朕者	聖 諦 廓 然 箭 過 新 羅 咦 何 當 辨 的 過 也 有 什 麼 難 辨 對 朕 者 
T48n2003_001:0141a03	誰(再來不直半文錢。又恁麼去也)還云不識(三个四个中也。咄)因茲	誰 再 來 不 直 半 文 錢 又 恁 麼 去 也 還 云 不 識 三 个 四 个 中 也 咄 因 茲 
T48n2003_001:0141a04	暗渡江(穿人鼻孔不得。却被別人穿。蒼天蒼天。好不大丈夫)豈免生荊	暗 渡 江 穿 人 鼻 孔 不 得 却 被 別 人 穿 蒼 天 蒼 天 好 不 大 丈 夫 豈 免 生 荊 
T48n2003_001:0141a05	棘(脚跟下已深數丈)闔國人追不再來(兩重公案。用追作麼。在什麼處。	棘 脚 跟 下 已 深 數 丈 闔 國 人 追 不 再 來 兩 重 公 案 用 追 作 麼 在 什 麼 處 
T48n2003_001:0141a06	大丈夫志氣何在)千古萬古空相憶(換手槌胸。望空啟告)休相憶	大 丈 夫 志 氣 何 在 千 古 萬 古 空 相 憶 換 手 槌 胸 望 空 啟 告 休 相 憶 
