T46n1914_001:0459a12	止觀大意	止 觀 大 意 
T46n1914_001:0459b23	境不辨位凡聖不分。言依境發誓者。謂眾生	境 不 辨 位 凡 聖 不 分 言 依 境 發 誓 者 謂 眾 生 
T46n1914_001:0459b24	無邊誓願度。依苦諦境。煩惱無數誓願斷。依	無 邊 誓 願 度 依 苦 諦 境 煩 惱 無 數 誓 願 斷 依 
T46n1914_001:0459b25	集諦境。法門無盡誓願知。依道諦境。佛道無	集 諦 境 法 門 無 盡 誓 願 知 依 道 諦 境 佛 道 無 
T46n1914_001:0459b26	上誓願成依滅諦境。涅槃經中四諦開為四	上 誓 願 成 依 滅 諦 境 涅 槃 經 中 四 諦 開 為 四 
T46n1914_001:0459b27	重。故使弘誓亦有四番。今簡偏從圓。以此圓	重 故 使 弘 誓 亦 有 四 番 今 簡 偏 從 圓 以 此 圓 
T46n1914_001:0459b28	四願融前三願。無非法界。故依法界起於妙	四 願 融 前 三 願 無 非 法 界 故 依 法 界 起 於 妙 
T46n1914_001:0459b29	願。初心遍攝觀惑法界。遍習佛法三身等證。	願 初 心 遍 攝 觀 惑 法 界 遍 習 佛 法 三 身 等 證 
T46n1914_001:0459c01	已發圓心未知圓心。為初心是。為後心是。為	已 發 圓 心 未 知 圓 心 為 初 心 是 為 後 心 是 為 
T46n1914_001:0459c02	初即後。為初異後。若初非後是。若初心異後。	初 即 後 為 初 異 後 若 初 非 後 是 若 初 心 異 後 
T46n1914_001:0459c03	俱非圓融。故辨六即而判是非。謂理即。名字	俱 非 圓 融 故 辨 六 即 而 判 是 非 謂 理 即 名 字 
T46n1914_001:0459c04	即。觀行即。相似即。分真即。究竟即。即故初	即 觀 行 即 相 似 即 分 真 即 究 竟 即 即 故 初 
T46n1914_001:0459c05	後俱是。六故初後不濫。理同故即。事異故六。	後 俱 是 六 故 初 後 不 濫 理 同 故 即 事 異 故 六 
T46n1914_001:0459c06	凡諸經中有即名者。如生死即涅槃之流。皆	凡 諸 經 中 有 即 名 者 如 生 死 即 涅 槃 之 流 皆 
T46n1914_001:0459c07	以六位甄之。使始終理同。而初後無濫。次	以 六 位 甄 之 使 始 終 理 同 而 初 後 無 濫 次 
T46n1914_001:0459c08	修圓行等四文。並在第二卷中。初圓行者。謂	修 圓 行 等 四 文 並 在 第 二 卷 中 初 圓 行 者 謂 
T46n1914_001:0459c09	四種三昧遍攝眾行。若無勝行勝果難階。一	四 種 三 昧 遍 攝 眾 行 若 無 勝 行 勝 果 難 階 一 
T46n1914_001:0459c10	常坐出文殊問文殊說兩般若經。亦名一行	常 坐 出 文 殊 問 文 殊 說 兩 般 若 經 亦 名 一 行 
T46n1914_001:0459c11	三昧。唯專念法界故也。以九十日為一期。二	三 昧 唯 專 念 法 界 故 也 以 九 十 日 為 一 期 二 
T46n1914_001:0459c12	常行出般舟三昧經。亦名佛立三昧。成時	常 行 出 般舟三昧 經 亦 名 佛 立 三 昧 成 時 
T46n1914_001:0459c13	見十方佛在室中立。亦以九十日為一期。三	見 十 方 佛 在 室 中 立 亦 以 九 十 日 為 一 期 三 
T46n1914_001:0459c14	半行半坐出法華方等二經。法華三七日為	半 行 半 坐 出 法 華 方 等 二 經 法 華 三 七 日 為 
T46n1914_001:0459c15	一期。方等不限時節。四非行非坐亦名隨自	一 期 方 等 不 限 時 節 四 非 行 非 坐 亦 名 隨 自 
T46n1914_001:0459c16	意。意起即觀故也。方法出請觀音等諸大乘	意 意 起 即 觀 故 也 方 法 出 請 觀 音 等 諸 大 乘 
T46n1914_001:0459c17	經。通於四儀及諸作務公私忽遽。亦可修也。	經 通 於 四 儀 及 諸 作 務 公 私 忽 遽 亦 可 修 也 
T46n1914_001:0459c18	是四三昧行異理同。是故同用十乘之法。二	是 四 三 昧 行 異 理 同 是 故 同 用 十 乘 之 法 二 
T46n1914_001:0459c19	感圓果者。由諸行故得入圓位。近在初住	感 圓 果 者 由 諸 行 故 得 入 圓 位 近 在 初 住 
T46n1914_001:0459c20	名無生忍。遠期妙覺名寂滅忍。初住功能具	名 無 生 忍 遠 期 妙 覺 名 寂 滅 忍 初 住 功 能 具 
T46n1914_001:0459c21	如華嚴歎初住文。即其相也。豈可造次自謂	如 華 嚴 歎 初 住 文 即 其 相 也 豈 可 造 次 自 謂 
T46n1914_001:0459c22	證真。乃至妙覺廣如經說。三起八教者。既入	證 真 乃 至 妙 覺 廣 如 經 說 三 起 八 教 者 既 入 
T46n1914_001:0459c23	位已八相成道。現十界身。能隨順物機。用三	位 已 八相成道 現 十 界 身 能 隨 順 物 機 用 三 
T46n1914_001:0459c24	藏等四及漸等四。五時利物。一代始終。四歸	藏 等 四 及 漸 等 四 五 時 利 物 一 代 始 終 四 歸 
T46n1914_001:0459c25	三德者。機緣息已宜歸三德。三德者何。謂	三 德 者 機 緣 息 已 宜 歸 三 德 三 德 者 何 謂 
T46n1914_001:0459c26	祕密藏。故涅槃云。安置諸子祕密藏中。我亦	祕 密 藏 故 涅 槃 云 安 置 諸 子 祕 密 藏 中 我 亦 
T46n1914_001:0459c27	不久自住其中。次第三卷去。廣釋行相。開	不 久 自 住 其 中 次 第 三 卷 去 廣 釋 行 相 開 
T46n1914_001:0459c28	演前五。令易行故。謂釋止觀名。辨止觀體。	演 前 五 令 易 行 故 謂 釋 止 觀 名 辨 止 觀 體 
T46n1914_001:0459c29	明體攝法。判法偏圓此四並在第三卷中。次	明 體 攝 法 判 法 偏 圓 此 四 並 在 第 三 卷 中 次 
T46n1914_001:0460a01	為正修作前方便。並在第四卷中。謂二十五	為 正 修 作 前 方 便 並 在 第 四 卷 中 謂 二 十 五 
T46n1914_001:0460a02	法。總為五科。初具五緣。一衣食具足。離希	法 總 為 五 科 初 具 五 緣 一 衣 食 具 足 離 希 
T46n1914_001:0460a03	望緣故。二持戒清淨。離惡道因故。三閑居靜	望 緣 故 二 持 戒 清 淨 離 惡 道 因 故 三 閑 居 靜 
T46n1914_001:0460a04	處。離憒鬧事故。四息諸緣務。棄猥雜業故。五	處 離 憒 鬧 事 故 四 息 諸 緣 務 棄 猥 雜 業 故 五 
T46n1914_001:0460a05	須善知識有諮疑地故。文中各有事理二具。	須 善 知 識 有 諮 疑 地 故 文 中 各 有 事 理 二 具 
T46n1914_001:0460a06	二訶五欲。謂色聲香味觸。正報依報各具此	二 訶 五 欲 謂 色聲香味觸 正 報 依 報 各 具 此 
T46n1914_001:0460a07	五。並能生於行者須欲心故。故須訶滅。文	五 並 能 生 於 行 者 須 欲 心 故 故 須 訶 滅 文 
T46n1914_001:0460a08	中自有事理二訶。三棄五蓋者。緣具無欲方	中 自 有 事 理 二 訶 三 棄 五 蓋 者 緣 具 無 欲 方 
T46n1914_001:0460a09	堪入觀。觀未相應五法覆心。謂貪欲瞋恚睡	堪 入 觀 觀 未 相 應 五 法 覆 心 謂 貪欲瞋恚 睡 
T46n1914_001:0460a10	眠掉悔狐疑。由觀所起倍異於常。損於寂照	眠 掉 悔 狐 疑 由 觀 所 起 倍 異 於 常 損 於 寂 照 
T46n1914_001:0460a11	覺已須棄。文中各有事理二棄。四調五事者。	覺 已 須 棄 文 中 各 有 事 理 二 棄 四 調 五 事 者 
T46n1914_001:0460a12	蓋去不入。當是身等五法不調。謂身息心三	蓋 去 不 入 當 是 身 等 五 法 不 調 謂 身 息 心 三 
T46n1914_001:0460a13	定內合調。令身不寬急。心無澁滑心無浮	定 內 合 調 令 身 不 寬 急 心 無 澁 滑 心 無 浮 
T46n1914_001:0460a14	沈。眠食二法定外各調。眠應不節不恣食。使	沈 眠 食 二 法 定 外 各 調 眠 應 不 節 不 恣 食 使 
T46n1914_001:0460a15	不饑不飽。五行五法者。四科雖具必須此五	不 饑 不 飽 五 行 五 法 者 四 科 雖 具 必 須 此 五 
T46n1914_001:0460a16	方成行首。一樂欲。須希慕故。二專念。須憶持	方 成 行 首 一 樂 欲 須 希 慕 故 二 專 念 須 憶 持 
T46n1914_001:0460a17	故。三精進。須相續故。四巧慧。須迴轉故。五	故 三 精 進 須 相 續 故 四 巧 慧 須 迴 轉 故 五 
T46n1914_001:0460a18	一心。無他求故。具此方便。正觀可獲。正觀者	一 心 無 他 求 故 具 此 方 便 正 觀 可 獲 正 觀 者 
T46n1914_001:0460a19	何。所謂十法。若無此十。名壞驢車。又此十法	何 所 謂 十 法 若 無 此 十 名 壞 驢 車 又 此 十 法 
T46n1914_001:0460a20	雖俱圓常圓。人復有三根不等。上根唯一法。	雖 俱 圓 常 圓 人 復 有 三 根 不 等 上 根 唯 一 法 
T46n1914_001:0460a21	中根二或七。下根方具十。上根一法者。謂觀	中 根 二 或 七 下 根 方 具 十 上 根 一 法 者 謂 觀 
T46n1914_001:0460a22	不思議境。境為所觀。觀為能觀。所觀者何。謂	不思議境 境 為 所 觀 觀 為 能 觀 所 觀 者 何 謂 
T46n1914_001:0460a23	陰界入不出色心。色從心造全體是心。故經	陰 界 入 不 出 色 心 色 從 心 造 全 體 是 心 故 經 
T46n1914_001:0460a24	云。三界無別法。唯是一心作。此之能造具足	云 三 界 無 別 法 唯 是 一 心 作 此 之 能 造 具 足 
T46n1914_001:0460a25	諸法。若漏無漏非漏非無漏等。若因若果非	諸 法 若 漏 無 漏 非 漏 非 無 漏 等 若 因 若 果 非 
T46n1914_001:0460a26	因非果等。故經云。心佛及眾生。是三無差	因 非 果 等 故 經 云 心 佛 及 眾 生 是 三 無 差 
T46n1914_001:0460a27	別。眾生理具諸佛已成。成之與理莫不性等。	別 眾 生 理 具 諸 佛 已 成 成 之 與 理 莫 不 性 等 
T46n1914_001:0460a28	謂一一心中一切心。一一塵中一切塵。一一	謂 一 一 心 中 一 切 心 一 一 塵 中 一 切 塵 一 一 
T46n1914_001:0460a29	心中一切塵。一一塵中一切心。一一塵中一	心 中 一 切 塵 一 一 塵 中 一 切 心 一 一 塵 中 一 
T46n1914_001:0460b01	切剎。一切剎塵亦復然。諸法諸塵諸剎身。其	切 剎 一 切 剎 塵 亦 復 然 諸 法 諸 塵 諸 剎 身 其 
T46n1914_001:0460b02	體宛然無自性。無性本來隨物變。所以相入	體 宛 然 無 自 性 無 性 本 來 隨 物 變 所 以 相 入 
T46n1914_001:0460b03	事恒分。故我身心剎塵遍。諸佛眾生亦復然	事 恒 分 故 我 身 心 剎 塵 遍 諸 佛 眾 生 亦 復 然 
T46n1914_001:0460b04	一一身土體恒同。何妨心佛眾生異。異故分	一 一 身 土 體 恒 同 何 妨 心 佛 眾 生 異 異 故 分 
T46n1914_001:0460b05	於染淨緣。緣體本空空不空。三諦三觀三非	於 染 淨 緣 緣 體 本 空 空 不 空 三 諦 三 觀 三 非 
T46n1914_001:0460b06	三。三一一三無所寄。諦觀名別體復同。是故	三 三 一 一 三 無 所 寄 諦 觀 名 別 體 復 同 是 故 
T46n1914_001:0460b07	能所二非二(三觀名義在纓絡等經。三諦名義在王仁等經)如是觀時名	能 所 二 非 二 三 觀 名 義 在 纓 絡 等 經 三 諦 名 義 在 王 仁 等 經 如 是 觀 時 名 
T46n1914_001:0460b08	觀心性。隨緣不變故為性。不變隨緣故為心。	觀 心 性 隨 緣 不 變 故 為 性 不 變 隨 緣 故 為 心 
T46n1914_001:0460b09	故涅槃經云。能觀心性名為上定。上定者。名	故 涅 槃 經 云 能 觀 心 性 名 為 上 定 上 定 者 名 
T46n1914_001:0460b10	第一義。第一義者。名為佛性。佛性者。名毘盧	第 一 義 第 一 義 者 名 為 佛 性 佛 性 者 名 毘 盧 
T46n1914_001:0460b11	遮那。此遮那性具三佛性。遮那遍故三佛亦	遮 那 此 遮 那 性 具 三 佛 性 遮 那 遍 故 三 佛 亦 
T46n1914_001:0460b12	遍。故知三佛唯一剎那。三佛遍故剎那則遍。	遍 故 知 三 佛 唯 一 剎 那 三 佛 遍 故 剎 那 則 遍 
T46n1914_001:0460b13	如是觀者。名觀煩惱。名觀法身。此觀法身。是	如 是 觀 者 名 觀 煩 惱 名 觀 法 身 此 觀 法 身 是 
T46n1914_001:0460b14	觀三身。是觀剎那。是觀海藏。是觀真如。是觀	觀 三 身 是 觀 剎 那 是 觀 海 藏 是 觀 真 如 是 觀 
T46n1914_001:0460b15	實相。是觀眾生。是觀己身。是觀虛空是觀中	實 相 是 觀 眾 生 是 觀 己 身 是 觀 虛 空 是 觀 中 
T46n1914_001:0460b16	道。故此妙境為諸法本。故此妙觀是諸行源。	道 故 此 妙 境 為 諸 法 本 故 此 妙 觀 是 諸 行 源 
T46n1914_001:0460b17	如是方離偏小邪外。所以居在十法之首。上	如 是 方 離 偏 小 邪 外 所 以 居 在 十 法 之 首 上 
T46n1914_001:0460b18	根一觀橫竪該攝。便識無相眾相宛然。即破	根 一 觀 橫 竪 該 攝 便 識 無 相 眾 相 宛 然 即 破 
T46n1914_001:0460b19	無明登於初住。若內外凡。故諭云。其事高廣	無 明 登 於 初 住 若 內 外 凡 故 諭 云 其 事 高 廣 
T46n1914_001:0460b20	乃至道場。中根未曉。更修下法。二起慈悲心	乃 至 道 場 中 根 未 曉 更 修 下 法 二 起 慈 悲 心 
T46n1914_001:0460b21	者。觀境不悟。須加發心。此人無始已起弘誓。	者 觀 境 不 悟 須 加 發 心 此 人 無 始 已 起 弘 誓 
T46n1914_001:0460b22	故云。發僧那於始心。終大悲以赴難。僧那者。	故 云 發 僧 那 於 始 心 終 大 悲 以 赴 難 僧 那 者 
T46n1914_001:0460b23	弘誓也。赴難者。入惡也。今由觀境不契於理。	弘 誓 也 赴 難 者 入 惡 也 今 由 觀 境 不 契 於 理 
T46n1914_001:0460b24	重須發誓。於靜心中思惟彼我。鯁痛自他。無	重 須 發 誓 於 靜 心 中 思 惟 彼 我 鯁 痛 自 他 無 
T46n1914_001:0460b25	量劫來沈迴生死。縱發小志迷菩提心。我今	量 劫 來 沈 迴 生 死 縱 發 小 志 迷 菩 提 心 我 今 
T46n1914_001:0460b26	雖知行由未備。故重發誓言。眾生無邊誓願	雖 知 行 由 未 備 故 重 發 誓 言 眾 生 無 邊 誓 願 
T46n1914_001:0460b27	度。生死即涅槃故。煩惱無數誓願斷。煩惱即	度 生 死 即 涅 槃 故 煩 惱 無 數 誓 願 斷 煩 惱 即 
T46n1914_001:0460b28	菩提故。法門無盡誓願知。即惑成智故。佛道	菩 提 故 法 門 無 盡 誓 願 知 即 惑 成 智 故 佛 道 
T46n1914_001:0460b29	無上誓願成即生成滅故。作此思惟豁然大	無 上 誓 願 成 即 生 成 滅 故 作 此 思 惟 豁 然 大 
T46n1914_001:0460c01	悟。冥所照境入凡聖位。故諭云。張設幰蓋等。	悟 冥 所 照 境 入 凡 聖 位 故 諭 云 張 設 幰 蓋 等 
T46n1914_001:0460c02	若不入者。由心不安。三安心者先總。次別。所	若 不 入 者 由 心 不 安 三 安 心 者 先 總 次 別 所 
T46n1914_001:0460c03	言總者。以法界為所安。以寂照為能安。若	言 總 者 以 法 界 為 所 安 以 寂 照 為 能 安 若 
T46n1914_001:0460c04	知煩惱及以生死本性清淨。名之為寂。本性	知 煩 惱 及 以 生 死 本 性 清 淨 名 之 為 寂 本 性 
T46n1914_001:0460c05	如空。名之為照。此煩惱生死復名法界。即此	如 空 名 之 為 照 此 煩 惱 生 死 復 名 法 界 即 此 
T46n1914_001:0460c06	法界體用互顯。體是所安之法界。用是能安	法 界 體 用 互 顯 體 是 所 安 之 法 界 用 是 能 安 
T46n1914_001:0460c07	之寂照。體名平等法身。亦具三德。用名般若	之 寂 照 體 名 平 等 法 身 亦 具 三 德 用 名 般 若 
T46n1914_001:0460c08	解脫。亦具三德。體用不二三德理均。氷水藤	解 脫 亦 具 三 德 體 用 不 二 三 德 理 均 氷 水 藤 
T46n1914_001:0460c09	蛇諭意可識。所言別者。雖復安之。彌暗彌散。	蛇 諭 意 可 識 所 言 別 者 雖 復 安 之 彌 暗 彌 散 
T46n1914_001:0460c10	良由無始習性不同。故今順性逐而安之。謂	良 由 無 始 習 性 不 同 故 今 順 性 逐 而 安 之 謂 
T46n1914_001:0460c11	宜聽宜思宜寂宜照。隨樂隨治隨第一義。何	宜 聽 宜 思 宜 寂 宜 照 隨 樂 隨 治 隨 第 一 義 何 
T46n1914_001:0460c12	以故。有因寂照而善根增長。有不增長。有因	以 故 有 因 寂 照 而 善 根 增 長 有 不 增 長 有 因 
T46n1914_001:0460c13	寂照煩惑破壞。或有不破。見理亦然。或聞思	寂 照 煩 惑 破 壞 或 有 不 破 見 理 亦 然 或 聞 思 
T46n1914_001:0460c14	迴轉。或聞思相資。未可卒具。細尋方曉。故諭	迴 轉 或 聞 思 相 資 未 可 卒 具 細 尋 方 曉 故 諭 
T46n1914_001:0460c15	云。安置丹枕。即車內枕也。若不入者。由破法	云 安 置 丹 枕 即 車 內 枕 也 若 不 入 者 由 破 法 
T46n1914_001:0460c16	不遍。四破法遍者。眾教諸門大各有四。乃至	不 遍 四 破 法 遍 者 眾 教 諸 門 大 各 有 四 乃 至 
T46n1914_001:0460c17	八萬四千不同。莫不並以無生為首。今且從	八萬四千 不 同 莫 不 並 以 無 生 為 首 今 且 從 
T46n1914_001:0460c18	初。於無生門遍破諸惑。復以無生度入餘門。	初 於 無 生 門 遍 破 諸 惑 復 以 無 生 度 入 餘 門 
T46n1914_001:0460c19	縱橫俱破令識體遍。故喻云。其疾如風。此	縱 橫 俱 破 令 識 體 遍 故 喻 云 其 疾 如 風 此 
T46n1914_001:0460c20	門最廣不可即具。若不入者。應尋通塞。五識	門 最 廣 不 可 即 具 若 不 入 者 應 尋 通 塞 五 識 
T46n1914_001:0460c21	通塞者。雖知生死煩惱為塞。菩提涅槃為通。	通 塞 者 雖 知 生 死 煩 惱 為 塞 菩 提 涅 槃 為 通 
T46n1914_001:0460c22	復應須識。於通起塞此塞須破。於塞得通此	復 應 須 識 於 通 起 塞 此 塞 須 破 於 塞 得 通 此 
T46n1914_001:0460c23	通須護。如將為賊。此賊豈存。若賊為將。此	通 須 護 如 將 為 賊 此 賊 豈 存 若 賊 為 將 此 
T46n1914_001:0460c24	將豈破。節節檢校。無令生著。著故名塞。破塞	將 豈 破 節 節 檢 校 無 令 生 著 著 故 名 塞 破 塞 
T46n1914_001:0460c25	存通。非唯一轍有心皆爾。念念常須檢校通	存 通 非 唯 一 轍 有 心 皆 爾 念 念 常 須 檢 校 通 
T46n1914_001:0460c26	塞。故諭云。安置丹枕。即車外枕也。若不入	塞 故 諭 云 安 置 丹 枕 即 車 外 枕 也 若 不 入 
T46n1914_001:0460c27	者。由道品不均。六道品調適者。約門遍破。於	者 由 道 品 不 均 六 道 品 調 適 者 約 門 遍 破 於 
T46n1914_001:0460c28	理又昧。應須七科次第調試。若不爾者。此之	理 又 昧 應 須 七 科 次 第 調 試 若 不 爾 者 此 之 
T46n1914_001:0460c29	道品為誰施設。以破遍門。雖觀陰境。陰上	道 品 為 誰 施 設 以 破 遍 門 雖 觀 陰 境 陰 上 
T46n1914_001:0461a01	未分念處名故。況有六科。展轉調停。故用此	未 分 念 處 名 故 況 有 六 科 展 轉 調 停 故 用 此 
T46n1914_001:0461a02	門檢校銓擇。謂念處正勤如意根力七覺八	門 檢 校 銓 擇 謂 念 處 正 勤 如 意 根 力 七 覺 八 
T46n1914_001:0461a03	道。初念處者。謂身受心法四法。並於法性心	道 初 念 處 者 謂 身 受 心 法 四 法 並 於 法 性 心 
T46n1914_001:0461a04	中。三諦推檢。初觀身者。身是色法。觀法性色	中 三 諦 推 檢 初 觀 身 者 身 是 色 法 觀 法 性 色 
T46n1914_001:0461a05	一色一切色。一切色一色。雙照一一切。雙非	一 色 一 切 色 一 切 色 一 色 雙 照 一 一 切 雙 非 
T46n1914_001:0461a06	一一切。能所三一具如前文妙境中說。受等	一 一 切 能 所 三 一 具 如 前 文 妙 境 中 說 受 等 
T46n1914_001:0461a07	三法例前可知。餘之六科不可具委。故諭云。	三 法 例 前 可 知 餘 之 六 科 不 可 具 委 故 諭 云 
T46n1914_001:0461a08	有大白牛等。如上六門。名為正行。若不悟	有 大 白 牛 等 如 上 六 門 名 為 正 行 若 不 悟 
T46n1914_001:0461a09	者。良由事惡助覆理善。七助道對治者。涅槃	者 良 由 事 惡 助 覆 理 善 七 助 道 對 治 者 涅 槃 
T46n1914_001:0461a10	云。眾生煩惱非一種。佛說無量對治門。夫不	云 眾 生 煩 惱 非 一 種 佛 說 無 量 對 治 門 夫 不 
T46n1914_001:0461a11	信有對治之人。當知此人未曉正行。若識己	信 有 對 治 之 人 當 知 此 人 未 曉 正 行 若 識 己 
T46n1914_001:0461a12	身正行未辨。良由事惡助於理惡。共蔽理善	身 正 行 未 辨 良 由 事 惡 助 於 理 惡 共 蔽 理 善 
T46n1914_001:0461a13	令不現前。理善者。法界常住。事善者。事施等	令 不 現 前 理 善 者 法 界 常 住 事 善 者 事 施 等 
T46n1914_001:0461a14	六。理惡者。微細無明。事惡者。謂六重蔽。由	六 理 惡 者 微 細 無 明 事 惡 者 謂 六 重 蔽 由 
T46n1914_001:0461a15	修止觀。此六現起。慳貪破戒瞋恚懈怠亂想	修 止 觀 此 六 現 起 慳 貪 破 戒 瞋 恚 懈 怠 亂 想 
T46n1914_001:0461a16	愚癡。具此六惡而云內有勝法。或云常自相	愚 癡 具 此 六 惡 而 云 內 有 勝 法 或 云 常 自 相 
T46n1914_001:0461a17	應。若相應者即同法身。應無方所說必稱機。	應 若 相 應 者 即 同 法 身 應 無 方 所 說 必 稱 機 
T46n1914_001:0461a18	若暫相應。復起惡者都無此理。則與成佛還	若 暫 相 應 復 起 惡 者 都 無 此 理 則 與 成 佛 還 
T46n1914_001:0461a19	作眾生為妨。若言曾契妨亦如之。若言知理	作 眾 生 為 妨 若 言 曾 契 妨 亦 如 之 若 言 知 理 
T46n1914_001:0461a20	不妨惡者。亦應知富免貧。知藥免病。事惡	不 妨 惡 者 亦 應 知 富 免 貧 知 藥 免 病 事 惡 
T46n1914_001:0461a21	若去。理善易明。仍請聖加。助我顯理。若爾但	若 去 理 善 易 明 仍 請 聖 加 助 我 顯 理 若 爾 但 
