T34n1722_001:0633b09	法華遊意	法 華 遊 意 
T34n1722_001:0633c20	復更說是經耶？答：有二種菩薩：一、直往菩薩，	復 更 說 是 經 耶 答 有 二 種 菩 薩 一 直 往 菩 薩 
T34n1722_001:0633c21	二、迴小入大菩薩。自昔以來為直往菩薩說	二 迴 小 入 大 菩 薩 自 昔 以 來 為 直 往 菩 薩 說 
T34n1722_001:0633c22	菩薩行，今欲為迴小入大菩薩說菩薩行，故	菩 薩 行 今 欲 為 迴 小 入 大 菩 薩 說 菩 薩 行 故 
T34n1722_001:0633c23	說是經。問：何以知始自華嚴之會、終竟法花	說 是 經 問 何 以 知 始 自 華 嚴 之 會 終 竟 法 花 
T34n1722_001:0633c24	之前，為直往菩薩，今為迴小入大菩薩耶？	之 前 為 直 往 菩 薩 今 為 迴 小 入 大 菩 薩 耶 
T34n1722_001:0633c25	答：〈踊出品〉云「是諸眾生始見我身聞我所說，	答 踊 出 品 云 是 諸 眾 生 始 見 我 身 聞 我 所 說 
T34n1722_001:0633c26	即便信受入於佛慧，除前修習學小乘者，	即 便 信 受 入 於 佛 慧 除 前 修 習 學 小 乘 者 
T34n1722_001:0633c27	如是等人我今亦令得聞是經入於佛慧」，既	如 是 等 人 我 今 亦 令 得 聞 是 經 入 於 佛 慧 既 
T34n1722_001:0633c28	稱「始見我身」者，即是寂滅道場見盧舍那	稱 始 見 我 身 者 即 是 寂 滅 道 場 見 盧 舍 那 
T34n1722_001:0633c29	佛，「聞我所說」謂花嚴之教，故知自昔已來為	佛 聞 我 所 說 謂 花 嚴 之 教 故 知 自 昔 已 來 為 
T34n1722_001:0634a01	直往之人說菩薩行；「除前脩習學小乘者」，則	直 往 之 人 說 菩 薩 行 除 前 脩 習 學 小 乘 者 則 
T34n1722_001:0634a02	知爾前未為二乘說菩薩行。「如是等人我今	知 爾 前 未 為 二 乘 說 菩 薩 行 如 是 等 人 我 今 
T34n1722_001:0634a03	亦令得聞是經入於佛智慧」，則知今為迴小	亦 令 得 聞 是 經 入 於 佛 智 慧 則 知 今 為 迴 小 
T34n1722_001:0634a04	入大之人說菩薩行也。問：經文何故但據二	入 大 之 人 說 菩 薩 行 也 問 經 文 何 故 但 據 二 
T34n1722_001:0634a05	人？答：初舉為於大始，後標教於小終，一化中	人 答 初 舉 為 於 大 始 後 標 教 於 小 終 一 化 中 
T34n1722_001:0634a06	間則可知也。問：何故前為直往菩薩，後為迴	間 則 可 知 也 問 何 故 前 為 直 往 菩 薩 後 為 迴 
T34n1722_001:0634a07	小入大之人？答：直往之人久行佛道福德利	小 入 大 之 人 答 直 往 之 人 久 行 佛 道 福 德 利 
T34n1722_001:0634a08	根，是故前為；迴小入大之人不行佛道薄福	根 是 故 前 為 迴 小 入 大 之 人 不 行 佛 道 薄 福 
T34n1722_001:0634a09	鈍根，是故後為。故〈方便品〉云「有佛子心淨柔	鈍 根 是 故 後 為 故 方 便 品 云 有 佛 子 心 淨 柔 
T34n1722_001:0634a10	軟亦利根，無量諸佛所而行深妙道，為此諸	軟 亦 利 根 無 量 諸 佛 所 而 行 深 妙 道 為 此 諸 
T34n1722_001:0634a11	佛子說是大乘經」；「鈍根樂小乘法、貪著於生	佛 子 說 是 大 乘 經 鈍 根 樂 小 乘 法 貪 著 於 生 
T34n1722_001:0634a12	死，於諸無量佛不行深妙道，眾苦所惱亂，為	死 於 諸 無 量 佛 不 行 深 妙 道 眾 苦 所 惱 亂 為 
T34n1722_001:0634a13	是說涅槃」，乃至「今正是其時，決定說大乘」。故	是 說 涅 槃 乃 至 今 正 是 其 時 決 定 說 大 乘 故 
T34n1722_001:0634a14	知菩薩利根先聞大道，聲聞淺劣後入佛慧，	知 菩 薩 利 根 先 聞 大 道 聲 聞 淺 劣 後 入 佛 慧 
T34n1722_001:0634a15	明既其證也。二者、欲受梵王請故說是經。	明 既 其 證 也 二 者 欲 受 梵 王 請 故 說 是 經 
T34n1722_001:0634a16	問云：昔波若等教已明受梵王請故說之，與	問 云 昔 波 若 等 教 已 明 受 梵 王 請 故 說 之 與 
T34n1722_001:0634a17	今何異？答：請有二時，酬亦兩種。請二時者，初	今 何 異 答 請 有 二 時 酬 亦 兩 種 請 二 時 者 初 
T34n1722_001:0634a18	請說一乘根本法輪，後請說三乘枝末之教。	請 說 一 乘 根 本 法 輪 後 請 說 三 乘 枝 末 之 教 
T34n1722_001:0634a19	酬亦二時者，自昔已來受請說三乘之教，今	酬 亦 二 時 者 自 昔 已 來 受 請 說 三 乘 之 教 今 
T34n1722_001:0634a20	方得酬其請說一乘根本法輪。是故今明受	方 得 酬 其 請 說 一 乘 根 本 法 輪 是 故 今 明 受 
T34n1722_001:0634a21	請與昔為異，具如〈方便品〉及《智度論》初卷說	請 與 昔 為 異 具 如 方 便 品 及 智 度 論 初 卷 說 
T34n1722_001:0634a22	也。三者、欲明十方三世諸佛權實二智互	也 三 者 欲 明 十 方 三世諸佛 權 實 二 智 互 
T34n1722_001:0634a23	相資成故說此經。然諸佛之心未曾權之與	相 資 成 故 說 此 經 然 諸 佛 之 心 未 曾 權 之 與 
T34n1722_001:0634a24	實，豈是一之與三？故內外並冥、緣觀俱寂，但	實 豈 是 一 之 與 三 故 內 外 並 冥 緣 觀 俱 寂 但 
T34n1722_001:0634a25	於無名相中假名相說，欲出處眾生故，強稱	於 無 名 相 中 假 名 相 說 欲 出 處 眾 生 故 強 稱 
T34n1722_001:0634a26	權實。則於互有相資成故，非實無以辨權、非	權 實 則 於 互 有 相 資 成 故 非 實 無 以 辨 權 非 
T34n1722_001:0634a27	權無以辨實，實有起權之功、權有資實之用，	權 無 以 辨 實 實 有 起 權 之 功 權 有 資 實 之 用 
T34n1722_001:0634a28	是以文云「於一佛乘分別說三」，謂從實起權；	是 以 文 云 於 一 佛 乘 分 別 說 三 謂 從 實 起 權 
T34n1722_001:0634a29	「我設是方便令得入佛慧」則以權通實。但稟	 我 設 是 方 便 令 得 入 佛 慧 則 以 權 通 實 但 稟 
T34n1722_001:0634b01	教之徒或執權喪實、或執實喪權。執權喪實	教 之 徒 或 執 權 喪 實 或 執 實 喪 權 執 權 喪 實 
T34n1722_001:0634b02	者，自昔已來執三乘教人不能悟入一實者	者 自 昔 已 來 執 三 乘 教 人 不 能 悟 入 一 實 者 
T34n1722_001:0634b03	也。執實喪權者，謂稟《法花》一乘菩薩既聞道	也 執 實 喪 權 者 謂 稟 法 花 一 乘 菩 薩 既 聞 道 
T34n1722_001:0634b04	理唯一無有三乘，遂守其理一失於三用。如	理 唯 一 無 有 三 乘 遂 守 其 理 一 失 於 三 用 如 
T34n1722_001:0634b05	《法花論》釋〈藥草喻品〉「為破菩薩病故來，雖一	 法 花 論 釋 藥 草 喻 品 為 破 菩 薩 病 故 來 雖 一 
T34n1722_001:0634b06	地所生、一雨所潤，而諸草木各有差別」。此明	地 所 生 一 雨 所 潤 而 諸 草 木 各 有 差 別 此 明 
T34n1722_001:0634b07	理雖是一隨緣有三，豈可守一而失三用耶？	理 雖 是 一 隨 緣 有 三 豈 可 守 一 而 失 三 用 耶 
T34n1722_001:0634b08	然昔稟三乘教人既喪於實亦復失權，執一乘	然 昔 稟 三 乘 教 人 既 喪 於 實 亦 復 失 權 執 一 乘 
T34n1722_001:0634b09	教人既其失權亦復喪實，故此二人皆失如	教 人 既 其 失 權 亦 復 喪 實 故 此 二 人 皆 失 如 
T34n1722_001:0634b10	來權實二智，並住顛倒虛妄斷常。欲破今昔	來 權 實 二 智 並 住 顛 倒 虛 妄 斷 常 欲 破 今 昔 
T34n1722_001:0634b11	互失之緣，令識如來權實二智互相資成；既	互 失 之 緣 令 識 如 來 權 實 二 智 互 相 資 成 既 
T34n1722_001:0634b12	識二智便入佛慧同歸一道，故說此經也。	識 二 智 便 入 佛 慧 同 歸 一 道 故 說 此 經 也 
T34n1722_001:0634b13	四者、欲說三淨法門故說此經。然眾生本性	四 者 欲 說 三 淨 法 門 故 說 此 經 然 眾 生 本 性 
T34n1722_001:0634b14	寂滅未曾垢淨，雖非垢淨，於眾生顛倒是故	寂 滅 未 曾 垢 淨 雖 非 垢 淨 於 眾 生 顛 倒 是 故 
T34n1722_001:0634b15	成垢，但此垢重眾生不可頓拔，故諸佛菩薩	成 垢 但 此 垢 重 眾 生 不 可 頓 拔 故 諸佛菩薩 
T34n1722_001:0634b16	漸漸出之，所以開三淨之教：一者以五戒十	漸 漸 出 之 所 以 開 三 淨 之 教 一 者 以 五 戒 十 
T34n1722_001:0634b17	善淨於三塗；次說二乘以淨三界；後明一	善 淨 於 三 塗 次 說 二 乘 以 淨 三 界 後 明 一 
T34n1722_001:0634b18	道以淨二乘。以三塗為重苦，三界為中苦，	道 以 淨 二 乘 以 三 塗 為 重 苦 三 界 為 中 苦 
T34n1722_001:0634b19	變易為下苦，故說三門以淨其三垢。三垢既	變 易 為 下 苦 故 說 三 門 以 淨 其 三 垢 三 垢 既 
T34n1722_001:0634b20	滅則三淨亦忘，故說此經也。然說三淨為止	滅 則 三 淨 亦 忘 故 說 此 經 也 然 說 三 淨 為 止 
T34n1722_001:0634b21	三垢，垢若不留淨亦便息，了悟諸法本性	三 垢 垢 若 不 留 淨 亦 便 息 了 悟 諸 法 本 性 
T34n1722_001:0634b22	寂然未曾垢淨，乃入於佛慧直至道場也。	寂 然 未 曾 垢 淨 乃 入 於 佛 慧 直 至 道 場 也 
T34n1722_001:0634b23	五者、欲說三攝法門故說此經也。總談	五 者 欲 說 三 攝 法 門 故 說 此 經 也 總 談 
T34n1722_001:0634b24	群聖垂教凡有三門：一、攝邪歸正門，二、攝異	群 聖 垂 教 凡 有 三 門 一 攝 邪 歸 正 門 二 攝 異 
T34n1722_001:0634b25	歸同門，三、攝因歸果門。攝邪歸正門者，釋迦	歸 同 門 三 攝 因 歸 果 門 攝 邪 歸 正 門 者 釋 迦 
T34n1722_001:0634b26	未出之前凡有二邪：一、在家起愛眾生，二、出	未 出 之 前 凡 有 二 邪 一 在 家 起 愛 眾 生 二 出 
T34n1722_001:0634b27	家諸見外道；此二並乖正道故稱為邪。故〈方	家 諸 見 外 道 此 二 並 乖 正 道 故 稱 為 邪 故 方 
T34n1722_001:0634b28	便品〉云「以諸欲因緣備受諸苦毒」，即起愛之	便 品 云 以 諸 欲 因 緣 備 受 諸 苦 毒 即 起 愛 之 
T34n1722_001:0634b29	流也；「入邪見稠林若有若無等」，謂諸外道	流 也 入 邪 見 稠 林 若有若無 等 謂 諸 外 道 
T34n1722_001:0634c01	也。乃至〈譬喻品〉云起愛譬彼毒虫，諸見喻同	也 乃 至 譬 喻 品 云 起 愛 譬 彼 毒 虫 諸 見 喻 同 
T34n1722_001:0634c02	惡鬼，如來出世攝彼二邪歸五乘之正。此二	惡 鬼 如 來 出 世 攝 彼 二 邪 歸 五 乘 之 正 此 二 
T34n1722_001:0634c03	人中有無聞非法者，以人天善根而成就之；	人 中 有 無 聞 非 法 者 以 人 天 善 根 而 成 就 之 
T34n1722_001:0634c04	有三乘根性者，以三乘法而攝取之。故攝彼	有 三 乘 根 性 者 以 三 乘 法 而 攝 取 之 故 攝 彼 
T34n1722_001:0634c05	二邪歸五乘正也。二、攝異歸同門者，若稟教	二 邪 歸 五 乘 正 也 二 攝 異 歸 同 門 者 若 稟 教 
T34n1722_001:0634c06	之徒聞昔三乘而頓悟一道者，不須復更說	之 徒 聞 昔 三 乘 而 頓 悟 一 道 者 不 須 復 更 說 
T34n1722_001:0634c07	法花之教；但鈍根之流雖捨二邪更對執五	法 花 之 教 但 鈍 根 之 流 雖 捨 二 邪 更 對 執 五 
T34n1722_001:0634c08	異，今欲攝茲五異同歸一乘，謂攝異歸同門	異 今 欲 攝 茲 五 異 同 歸 一 乘 謂 攝 異 歸 同 門 
T34n1722_001:0634c09	也。三、攝因歸果門者，攝前五異同歸一乘但	也 三 攝 因 歸 果 門 者 攝 前 五 異 同 歸 一 乘 但 
T34n1722_001:0634c10	是因行，今為欲令修因證果故說如來真應	是 因 行 今 為 欲 令 修 因 證 果 故 說 如 來 真 應 
T34n1722_001:0634c11	兩身，謂攝因歸果門。《法花》之前但有初門，	兩 身 謂 攝 因 歸 果 門 法 花 之 前 但 有 初 門 
T34n1722_001:0634c12	斯經既融會一化則具足三門。然明此三門，	斯 經 既 融 會 一 化 則 具 足 三 門 然 明 此 三 門 
T34n1722_001:0634c13	意欲為通寂滅無言之道，令玄悟之賓體斯	意 欲 為 通 寂 滅 無 言 之 道 令 玄 悟 之 賓 體 斯 
T34n1722_001:0634c14	妙極未曾邪正，乃至豈是因果耶？故此三門	妙 極 未 曾 邪 正 乃 至 豈 是 因 果 耶 故 此 三 門 
T34n1722_001:0634c15	無教不收、無理不攝、如空之含萬像、若海	無 教 不 收 無 理 不 攝 如 空 之 含 萬 像 若 海 
T34n1722_001:0634c16	之納百川。六者、欲說三種法輪故說此經。言	之 納 百 川 六 者 欲 說 三 種 法 輪 故 說 此 經 言 
T34n1722_001:0634c17	三種者：一者、根本法輪，二者、枝末之教，三者、	三 種 者 一 者 根 本 法 輪 二 者 枝 末 之 教 三 者 
T34n1722_001:0634c18	攝末歸本。根本法輪者，謂佛初成道，花嚴	攝 末 歸 本 根 本 法 輪 者 謂 佛 初 成 道 花 嚴 
T34n1722_001:0634c19	之會純為菩薩開一因一果法門，謂根本之	之 會 純 為 菩 薩 開 一 因 一 果 法 門 謂 根 本 之 
T34n1722_001:0634c20	教也。但薄福鈍根之流不堪於聞一因一果，	教 也 但 薄 福 鈍 根 之 流 不 堪 於 聞 一 因 一 果 
T34n1722_001:0634c21	故於一佛乘分別說三，謂枝末之教也。四	故 於 一 佛 乘 分 別 說 三 謂 枝 末 之 教 也 四 
T34n1722_001:0634c22	十餘年說三乘之教陶練其心，至今《法花》始	十 餘 年 說 三 乘 之 教 陶 練 其 心 至 今 法 花 始 
T34n1722_001:0634c23	得會彼三乘歸於一道，即攝末歸本教也。問：	得 會 彼 三 乘 歸 於 一 道 即 攝 末 歸 本 教 也 問 
T34n1722_001:0634c24	此經何處有三輪文耶？答：〈信解品〉云「長者居	此 經 何 處 有 三 輪 文 耶 答 信 解 品 云 長 者 居 
T34n1722_001:0634c25	師子坐，眷屬圍遶羅列寶物」，即指《花嚴》根本	師 子 坐 眷 屬 圍 遶 羅 列 寶 物 即 指 花 嚴 根 本 
T34n1722_001:0634c26	教也；「喚子不得，故密遣二人，脫珍御服著弊	教 也 喚 子 不 得 故 密 遣 二 人 脫 珍 御 服 著 弊 
T34n1722_001:0634c27	垢衣」，謂隱一說三，謂枝末教也。如富長者知	垢 衣 謂 隱 一 說 三 謂 枝 末 教 也 如 富 長 者 知 
T34n1722_001:0634c28	子志劣，柔伏其心乃教大智，謂攝末歸本教。	子 志 劣 柔 伏 其 心 乃 教 大 智 謂 攝 末 歸 本 教 
T34n1722_001:0634c29	又〈譬喻品〉云，如彼長者雖復身手有力而	又 譬 喻 品 云 如 彼 長 者 雖 復 身 手 有 力 而 
T34n1722_001:0635a01	不能用之，但以慇懃方便勉濟諸子火宅之	不 能 用 之 但 以 慇 懃 方 便 勉 濟 諸 子 火 宅 之 
T34n1722_001:0635a02	難，然後各與珍寶大車。初句謂隱根本，次句	難 然 後 各 與 珍 寶 大 車 初 句 謂 隱 根 本 次 句 
T34n1722_001:0635a03	謂起枝末，後句謂攝末歸本，即三輪分明之	謂 起 枝 末 後 句 謂 攝 末 歸 本 即 三 輪 分 明 之 
T34n1722_001:0635a04	證也。問：初明根本、後明攝末歸本，此二何異？	證 也 問 初 明 根 本 後 明 攝 末 歸 本 此 二 何 異 
T34n1722_001:0635a05	答：昔南土北方皆言：《花嚴》是究竟之教，《法花》是	答 昔 南 土 北 方 皆 言 花 嚴 是 究 竟 之 教 法 花 是 
T34n1722_001:0635a06	未了之說。今謂不然。此經明初一乘救子不	未 了 之 說 今 謂 不 然 此 經 明 初 一 乘 救 子 不 
T34n1722_001:0635a07	得，後辨一乘救子方得。得與未得義乃有	得 後 辨 一 乘 救 子 方 得 得 與 未 得 義 乃 有 
T34n1722_001:0635a08	殊，初後一乘更無有異。若後說一乘救子方	殊 初 後 一 乘 更 無 有 異 若 後 說 一 乘 救 子 方 
T34n1722_001:0635a09	得遂是不了義教者，初說一乘救子不得亦	得 遂 是 不 了 義 教 者 初 說 一 乘 救 子 不 得 亦 
T34n1722_001:0635a10	是不了義教；若初救子不得遂是不了教者，	是 不 了 義 教 若 初 救 子 不 得 遂 是 不 了 教 者 
T34n1722_001:0635a11	則諸佛出世便欲以不了義法用化群生，便	則 諸佛出世 便 欲 以 不 了 義 法 用 化 群 生 便 
T34n1722_001:0635a12	乖諸佛本意、傷父子恩情也。今明《法花》與《花	乖 諸 佛 本 意 傷 父 子 恩 情 也 今 明 法 花 與 花 
T34n1722_001:0635a13	嚴》有同有異。所言同者，明一道清淨平等大	嚴 有 同 有 異 所 言 同 者 明 一 道 清 淨 平 等 大 
T34n1722_001:0635a14	慧故。〈踊出品〉云「是諸眾生始見我身聞我所	慧 故 踊 出 品 云 是 諸 眾 生 始 見 我 身 聞 我 所 
T34n1722_001:0635a15	說，即便信受入於佛慧，除前修習學小乘者，	說 即 便 信 受 入 於 佛 慧 除 前 修 習 學 小 乘 者 
T34n1722_001:0635a16	如是等人我今亦令得聞是經入於佛慧」，佛	如 是 等 人 我 今 亦 令 得 聞 是 經 入 於 佛 慧 佛 
T34n1722_001:0635a17	慧即是平等大慧，故知《花嚴》與《法花》同名平	慧 即 是 平 等 大 慧 故 知 花 嚴 與 法 花 同 名 平 
T34n1722_001:0635a18	等大慧，諸佛知見無有異也。所言異者，略明	等 大 慧 諸 佛 知 見 無 有 異 也 所 言 異 者 略 明 
T34n1722_001:0635a19	五種：一、化主異。《花嚴》化主多名盧遮那，《法	五 種 一 化 主 異 花 嚴 化 主 多 名 盧 遮 那 法 
T34n1722_001:0635a20	花》化主稱為釋迦；又《花嚴》一佛所說，《法花》則	花 化 主 稱 為 釋 迦 又 花 嚴 一 佛 所 說 法 花 則 
T34n1722_001:0635a21	普集分身諸佛說；《花嚴》則菩薩說，《法花》	普 集 分 身 諸 佛 說 花 嚴 則 菩 薩 說 法 花 
T34n1722_001:0635a22	則佛自說。二者、徒眾有異。《花嚴》為直往菩薩	則 佛 自 說 二 者 徒 眾 有 異 花 嚴 為 直 往 菩 薩 
T34n1722_001:0635a23	說，《法花》為迴小入大人說；《花嚴》純為菩薩說，	說 法 花 為 迴 小 入 大 人 說 花 嚴 純 為 菩 薩 說 
T34n1722_001:0635a24	《法花》雜為五乘人說；《花嚴》頓為菩薩說，《法花》	 法 花 雜 為 五 乘 人 說 花 嚴 頓 為 菩 薩 說 法 花 
T34n1722_001:0635a25	漸漸為菩薩說。三、時節異。《花嚴》始說一乘，	漸 漸 為 菩 薩 說 三 時 節 異 花 嚴 始 說 一 乘 
T34n1722_001:0635a26	《法花》終明究竟。四、教門異。直說一乘平等大	 法 花 終 明 究 竟 四 教 門 異 直 說 一 乘 平 等 大 
T34n1722_001:0635a27	道無所破斥，名為花嚴教；此經破三乘執固	道 無 所 破 斥 名 為 花 嚴 教 此 經 破 三 乘 執 固 
T34n1722_001:0635a28	然後始得歸於一極也。五、約處異。《花嚴》七	然 後 始 得 歸 於 一 極 也 五 約 處 異 花 嚴 七 
T34n1722_001:0635a29	處八會說，此經一處一會說。問：《法華》亦有多	處 八 會 說 此 經 一 處 一 會 說 問 法 華 亦 有 多 
T34n1722_001:0635b01	處多會以不？答：同在靈鷲山，故唯有一處；而	處 多 會 以 不 答 同 在 靈 鷲 山 故 唯 有 一 處 而 
T34n1722_001:0635b02	約前後凡有淨穢三時：初分之經在穢土中	約 前 後 凡 有 淨 穢 三 時 初 分 之 經 在 穢 土 中 
T34n1722_001:0635b03	說；〈見塔品〉已去竟於〈屬累〉第二分經在淨土	說 見 塔 品 已 去 竟 於 屬 累 第 二 分 經 在 淨 土 
T34n1722_001:0635b04	中說；〈神力〉一品十方通為一土中，合在淨穢	中 說 神 力 一 品 十 方 通 為 一 土 中 合 在 淨 穢 
T34n1722_001:0635b05	中說，始自〈藥王〉終訖〈普賢勸發品〉還在穢土	中 說 始 自 藥 王 終 訖 普 賢 勸 發 品 還 在 穢 土 
T34n1722_001:0635b06	中說。問：三種法輪，《法花》具幾種？答：一往則《花	中 說 問 三 種 法 輪 法 花 具 幾 種 答 一 往 則 花 
T34n1722_001:0635b07	嚴》為根本法輪，自《花嚴》之後《法花》之前為枝	嚴 為 根 本 法 輪 自 花 嚴 之 後 法 花 之 前 為 枝 
T34n1722_001:0635b08	末之教，此經則屬攝末歸本。然《法花》結束一	末 之 教 此 經 則 屬 攝 末 歸 本 然 法 花 結 束 一 
T34n1722_001:0635b09	化，該羅頓漸則具足三輪，然此三輪皆是無	化 該 羅 頓 漸 則 具 足 三 輪 然 此 三 輪 皆 是 無 
T34n1722_001:0635b10	名相中為眾生故假名相說，然寂滅之道未	名 相 中 為 眾 生 故 假 名 相 說 然 寂 滅 之 道 未 
T34n1722_001:0635b11	曾有三亦無不三，無所依止也。七者、欲	曾 有 三 亦 無 不 三 無所依止 也 七 者 欲 
T34n1722_001:0635b12	釋聲聞菩薩二種疑故演說此經。聲聞二種	釋 聲 聞 菩 薩 二 種 疑 故 演 說 此 經 聲 聞 二 種 
T34n1722_001:0635b13	疑：一者舊疑，如身子云「我等同入法性，云何	疑 一 者 舊 疑 如 身 子 云 我 等 同 入 法 性 云 何 
T34n1722_001:0635b14	如來以小乘法而見濟度」，又云「欲以問世尊，	如 來 以 小 乘 法 而 見 濟 度 又 云 欲 以 問 世 尊 
T34n1722_001:0635b15	為失為不失，四十餘年常懷此疑」，謂舊疑也；	為 失 為 不 失 四 十 餘 年 常 懷 此 疑 謂 舊 疑 也 
T34n1722_001:0635b16	如云「初聞佛所說心中大驚疑」，則是新疑也。	如 云 初 聞 佛 所 說 心 中 大 驚 疑 則 是 新 疑 也 
T34n1722_001:0635b17	菩薩舊疑者，昔稟三乘之教，既執道理有三，	菩 薩 舊 疑 者 昔 稟 三 乘 之 教 既 執 道 理 有 三 
T34n1722_001:0635b18	或疑退墮二乘地，或疑進成佛道。今疑者，疑	或 疑 退 墮 二 乘 地 或 疑 進 成 佛 道 今 疑 者 疑 
