T13n0402_001:0536c03	寶星經序	寶 星 經 序 
T13n0402_001:0537b20	爾時，優波底沙說此偈已，白長老阿說示言：	爾 時 優 波 底 沙 說 此 偈 已 白 長 老 阿 說 示 言 
T13n0402_001:0537b21	「長老！汝師如來、阿羅訶、三藐三佛陀，今在何	 長 老 汝 師 如 來 阿 羅 訶 三藐三佛陀 今 在 何 
T13n0402_001:0537b22	處？」阿說示答言：「長老！我師如來，今在王舍	處 阿 說 示 答 言 長 老 我 師 如 來 今 在 王 舍 
T13n0402_001:0537b23	城竹林迦蘭陀池邊，與大比丘眾一千人俱，	城 竹 林 迦 蘭 陀 池 邊 與 大 比 丘 眾 一 千 人 俱 
T13n0402_001:0537b24	本是外道值佛出家。」優波底沙言：「我今辭善	本 是 外 道 值 佛 出 家 優 波 底 沙 言 我 今 辭 善 
T13n0402_001:0537b25	知識及諸眷屬，詣佛出家。」爾時，優波底沙禮	知 識 及 諸 眷 屬 詣 佛 出 家 爾 時 優 波 底 沙 禮 
T13n0402_001:0537b26	阿說示足，右遶三匝辭已而去，往俱利多所。	阿 說 示 足 右 遶 三 匝 辭 已 而 去 往 俱 利 多 所 
T13n0402_001:0537b27	時俱利多見優波底沙從遠而來，見已白優	時 俱 利 多 見 優 波 底 沙 從 遠 而 來 見 已 白 優 
T13n0402_001:0537b28	波底沙言：「仁者！諸根清淨顏色怡悅，必得甘	波 底 沙 言 仁 者 諸 根 清 淨 顏 色 怡 悅 必 得 甘 
T13n0402_001:0537b29	露。」優波底沙言：「如是，長老！我於今者得甘	露 優 波 底 沙 言 如 是 長 老 我 於 今 者 得 甘 
T13n0402_001:0537c01	露法。諦聽！諦聽！今為汝說我所得法。」爾時，	露 法 諦 聽 諦 聽 今 為 汝 說 我 所 得 法 爾 時 
T13n0402_001:0537c02	俱利多即從坐起，偏袒右肩，右膝著地，合掌	俱 利 多 即 從 坐 起 偏袒右肩 右膝著地 合 掌 
T13n0402_001:0537c03	恭敬，便說偈請：	恭 敬 便 說 偈 請 
T13n0402_001:0537c04	「說此吉祥無憂道，　　此道疾度三界海，	 說 此 吉 祥 無 憂 道 此 道 疾 度 三 界 海 
T13n0402_001:0537c05	　分別諸陰大怨賊，　　乘此道已不還有。」	 分 別 諸 陰 大 怨 賊 乘 此 道 已 不 還 有 
T13n0402_001:0537c06	爾時，優波底沙以所聞偈，即為說之：	爾 時 優 波 底 沙 以 所 聞 偈 即 為 說 之 
T13n0402_001:0537c07	「煩惱業因緣，　　世間如是轉，	 煩 惱 業 因 緣 世 間 如 是 轉 
T13n0402_001:0537c08	　煩惱業不生，　　導師如是說。	 煩 惱 業 不 生 導 師 如 是 說 
T13n0402_001:0537c09	　生老死定壞，　　彼解脫無上，	 生 老 死 定 壞 彼 解 脫 無 上 
T13n0402_001:0537c10	　如彼勇牛王，　　如來自悟說。」	 如 彼 勇 牛 王 如 來 自 悟 說 
T13n0402_001:0537c11	爾時，俱利多聞此偈已，心大歡喜，重更讚歎	爾 時 俱 利 多 聞 此 偈 已 心大歡喜 重 更 讚 歎 
T13n0402_001:0537c12	請說前偈：	請 說 前 偈 
T13n0402_001:0537c13	「苦滅寂無垢，　　牟尼說此法，	 苦 滅 寂 無 垢 牟 尼 說 此 法 
T13n0402_001:0537c14	　一切煩惱滅，　　諸見無知斷。	 一切煩惱 滅 諸 見 無 知 斷 
T13n0402_001:0537c15	　穢惡有為空，　　無我不可信，	 穢 惡 有 為 空 無 我 不 可 信 
T13n0402_001:0537c16	　重說無垢句，　　我聞得涅槃。」	 重 說 無 垢 句 我 聞 得 涅 槃 
T13n0402_001:0537c17	爾時，優波底沙即便重為說所聞偈：	爾 時 優 波 底 沙 即 便 重 為 說 所 聞 偈 
T13n0402_001:0537c18	「煩惱業因緣，　　世間如是轉，	 煩 惱 業 因 緣 世 間 如 是 轉 
T13n0402_001:0537c19	　煩惱業不生，　　導師如是說。	 煩 惱 業 不 生 導 師 如 是 說 
T13n0402_001:0537c20	　生老死定壞，　　彼解脫無上，	 生 老 死 定 壞 彼 解 脫 無 上 
T13n0402_001:0537c21	　如彼勇牛王，　　如來自悟說。」	 如 彼 勇 牛 王 如 來 自 悟 說 
T13n0402_001:0537c22	爾時，俱利多聞此偈已，遠塵離垢法眼清淨，	爾 時 俱 利 多 聞 此 偈 已 遠塵離垢 法 眼 清 淨 
T13n0402_001:0537c23	得須陀洹果，復以偈讚：	得 須陀洹果 復 以 偈 讚 
T13n0402_001:0537c24	「如此真行法，　　度流之疾船，	 如 此 真 行 法 度 流 之 疾 船 
T13n0402_001:0537c25	　此智息三苦，　　能度於世間。	 此 智 息 三 苦 能 度 於 世 間 
T13n0402_001:0537c26	　諸陰煩惱魔，　　知此能調伏，	 諸 陰 煩 惱 魔 知 此 能 調 伏 
T13n0402_001:0537c27	　解脫離怨諍，　　乾竭於苦海。」	 解 脫 離 怨 諍 乾 竭 於 苦 海 
T13n0402_001:0537c28	時俱利多言：「今佛世尊住在何所？」優波底沙	時 俱 利 多 言 今 佛 世 尊 住 在 何 所 優 波 底 沙 
T13n0402_001:0537c29	言：「長老！我聞世尊在王舍大城竹林迦蘭陀	言 長 老 我 聞 世 尊 在 王 舍 大 城 竹 林 迦 蘭 陀 
T13n0402_001:0538a01	池邊，與大比丘僧及菩薩眾俱，我今定當與	池 邊 與 大 比 丘 僧 及 菩 薩 眾 俱 我 今 定 當 與 
T13n0402_001:0538a02	汝俱往至世尊所，求佛出家。」俱利多言：「如是，	汝 俱 往 至 世 尊 所 求 佛 出 家 俱 利 多 言 如 是 
T13n0402_001:0538a03	長老！可語弟子往世尊所相隨出家。」時，優波	長 老 可 語 弟 子 往 世 尊 所 相 隨 出 家 時 優 波 
T13n0402_001:0538a04	底沙與俱利多往自眾所。爾時，惡魔於一念	底 沙 與 俱 利 多 往 自 眾 所 爾 時 惡 魔 於 一 念 
T13n0402_001:0538a05	頃，聞中摩伽陀國有二外道，優波底沙共俱	頃 聞 中 摩伽陀國 有 二 外 道 優 波 底 沙 共 俱 
T13n0402_001:0538a06	利多及諸眷屬，聰明具足名稱廣遠，是善丈	利 多 及 諸 眷 屬 聰 明 具 足 名 稱 廣 遠 是 善 丈 
T13n0402_001:0538a07	夫，欲於沙門瞿曇法中出家學道。彼作是	夫 欲 於 沙 門 瞿 曇 法 中 出家學道 彼 作 是 
T13n0402_001:0538a08	念：「呵！奇哉！若此二人於彼沙門瞿曇法中	念 呵 奇 哉 若 此 二 人 於 彼 沙 門 瞿 曇 法 中 
T13n0402_001:0538a09	而出家者，空我境界，我應至彼二丈夫所，破	而 出 家 者 空 我 境 界 我 應 至 彼 二 丈 夫 所 破 
T13n0402_001:0538a10	其出家，令著惡見。」爾時，惡魔於一念頃，從自	其 出 家 令 著 惡 見 爾 時 惡 魔 於 一 念 頃 從 自 
T13n0402_001:0538a11	宮沒，作阿說示形相威儀，便於中道現二人	宮 沒 作 阿 說 示 形 相 威 儀 便 於 中 道 現 二 人 
T13n0402_001:0538a12	前，作如是說：	前 作如是說 
T13n0402_001:0538a13	「如我先所說，　　試汝非決定，	 如 我 先 所 說 試 汝 非 決 定 
T13n0402_001:0538a14	　如汝意所行，　　宜速受欲樂。	 如 汝 意 所 行 宜 速 受 欲 樂 
T13n0402_001:0538a15	　一切黑白業，　　因果悉皆無，	 一 切 黑 白 業 因 果 悉 皆 無 
T13n0402_001:0538a16	　無生老病死，　　亦無於後世。	 無 生老病死 亦 無 於 後 世 
T13n0402_001:0538a17	　福非福果業，　　無有此因作，	 福 非 福 果 業 無 有 此 因 作 
T13n0402_001:0538a18	　釋子為利說，　　汝莫信故去。」	 釋 子 為 利 說 汝 莫 信 故 去 
T13n0402_001:0538a19	爾時，優波底沙、俱利多聞此說已，咸作是念：	爾 時 優 波 底 沙 俱 利 多 聞 此 說 已 咸 作 是 念 
T13n0402_001:0538a20	「此惡魔來，欲壞我等出家之事。」爾時，優波底	 此 惡 魔 來 欲 壞 我 等 出 家 之 事 爾 時 優 波 底 
T13n0402_001:0538a21	沙顧謂弟子，作如是言：「汝等今者當憶世間	沙 顧 謂 弟 子 作如是言 汝 等 今 者 當 憶 世 間 
T13n0402_001:0538a22	所有過患。」便說是偈：	所 有 過 患 便 說 是 偈 
T13n0402_001:0538a23	「眾生為老逼，　　死苦之所纏，	 眾 生 為 老 逼 死 苦 之 所 纏 
T13n0402_001:0538a24	　應當斷彼二，　　決定當出家。」	 應 當 斷 彼 二 決 定 當 出 家 
T13n0402_001:0538a25	爾時，俱利多即以偈頌答魔王曰：	爾 時 俱 利 多 即 以 偈 頌 答 魔 王 曰 
T13n0402_001:0538a26	「知無上善智，　　持法滅三苦，	 知 無 上 善 智 持 法 滅 三 苦 
T13n0402_001:0538a27	　汝說不斷貪，　　我智終不動，	 汝 說 不 斷 貪 我 智 終 不 動 
T13n0402_001:0538a28	　如是堅固心，　　於餘人所無。	 如 是 堅 固 心 於 餘 人 所 無 
T13n0402_001:0538a29	　我等出苦輪，　　正智所不惑，	 我 等 出 苦 輪 正 智 所 不 惑 
T13n0402_001:0538b01	　勿假師子像，　　而作野干聲。」	 勿 假 師 子 像 而 作 野 干 聲 
T13n0402_001:0538b02	爾時，見諦諸天住虛空中讚二丈夫言：「善哉！	爾 時 見 諦 諸 天 住 虛 空 中 讚 二 丈 夫 言 善 哉 
T13n0402_001:0538b03	善哉！汝二丈夫於一切眾生中最為上首，此	善 哉 汝 二 丈 夫 於 一 切 眾 生 中 最 為 上 首 此 
T13n0402_001:0538b04	道勝妙，於一切世間最為第一。此道息一切	道 勝 妙 於 一切世間 最 為 第 一 此 道 息 一 切 
T13n0402_001:0538b05	苦，此道入一切如來行處，此道一切諸佛所	苦 此 道 入 一 切 如 來 行 處 此 道 一切諸佛 所 
T13n0402_001:0538b06	共稱揚，所謂依佛出家。」是時，惡魔心生憂苦	共 稱 揚 所 謂 依 佛 出 家 是 時 惡 魔 心 生 憂 苦 
T13n0402_001:0538b07	便沒不現。	便 沒 不 現 
T13n0402_001:0538b08	爾時，優波底沙共俱利多，自觀己眾喚諸弟	爾 時 優 波 底 沙 共 俱 利 多 自 觀 己 眾 喚 諸 弟 
T13n0402_001:0538b09	子，作如是言：「汝等應知，我等欲度老死苦海	子 作如是言 汝 等 應 知 我 等 欲 度 老 死 苦 海 
T13n0402_001:0538b10	故依佛出家。汝等！若不樂佛出家，可於此住。」	故 依 佛 出 家 汝 等 若 不 樂 佛 出 家 可 於 此 住 
T13n0402_001:0538b11	時，五百弟子咸作是言：「我等解法皆依師學，	時 五 百 弟 子 咸 作 是 言 我 等 解 法 皆 依 師 學 
T13n0402_001:0538b12	二師決定大處出家，二師所依出家處，我等	二 師 決 定 大 處 出 家 二 師 所 依 出 家 處 我 等 
T13n0402_001:0538b13	隨師，亦依彼眾出家學道。」	隨 師 亦 依 彼 眾 出家學道 
T13n0402_001:0538b14	爾時，優波底沙及俱利多，與五百徒眾欲往	爾 時 優 波 底 沙 及 俱 利 多 與 五 百 徒 眾 欲 往 
T13n0402_001:0538b15	佛所。是時，惡魔知彼事已，於王舍城外化作	佛 所 是 時 惡 魔 知 彼 事 已 於 王 舍 城 外 化 作 
T13n0402_001:0538b16	大坑，深百由旬，令彼二人不得往詣佛世尊	大 坑 深 百 由 旬 令 彼 二 人 不 得 往 詣 佛 世 尊 
T13n0402_001:0538b17	所。是時如來以神通力，令彼二人不見大坑，	所 是 時 如 來 以 神 通 力 令 彼 二 人 不 見 大 坑 
T13n0402_001:0538b18	直道而去。是時，惡魔於二人前，復更化作高	直 道 而 去 是 時 惡 魔 於 二 人 前 復 更 化 作 高 
T13n0402_001:0538b19	峻大山，高千由旬，峻嶮堅岨無有穿缺。於	峻 大 山 高 千 由 旬 峻 嶮 堅 岨 無 有 穿 缺 於 
T13n0402_001:0538b20	彼山中復更化作一千師子，威猛可畏。是時，	彼 山 中 復 更 化 作 一 千 師 子 威 猛 可 畏 是 時 
T13n0402_001:0538b21	世尊以神通力加彼二人，不見大山及彼	世 尊 以 神 通 力 加 彼 二 人 不 見 大 山 及 彼 
T13n0402_001:0538b22	師子，又無威猛可畏之聲，直道而往詣世	師 子 又 無 威 猛 可 畏 之 聲 直 道 而 往 詣 世 
T13n0402_001:0538b23	尊所，及彼無量百千之眾，圍遶供養說法之	尊 所 及 彼 無 量 百 千 之 眾 圍 遶 供 養 說 法 之 
T13n0402_001:0538b24	處。	處 
T13n0402_001:0538b25	爾時，世尊告諸比丘：「汝等見彼二善丈夫為	爾 時 世 尊 告 諸 比 丘 汝 等 見 彼 二 善 丈 夫 為 
T13n0402_001:0538b26	眾上首，與諸徒眾來至我所。汝等見不？」諸	眾 上 首 與 諸 徒 眾 來 至 我 所 汝 等 見 不 諸 
T13n0402_001:0538b27	比丘答：「咸言我見。」佛言：「此善丈夫及諸徒	比 丘 答 咸 言 我 見 佛 言 此 善 丈 夫 及 諸 徒 
T13n0402_001:0538b28	眾我邊出家，一人於我一切聲聞弟子之中	眾 我 邊 出 家 一 人 於 我 一 切 聲聞弟子 之 中 
T13n0402_001:0538b29	智慧第一，一人於我聲聞眾中神通第一。」	智慧第一 一 人 於 我 聲 聞 眾 中 神通第一 
T13n0402_001:0538c01	是時，眾中有一比丘，以偈讚曰：	是 時 眾 中 有 一 比 丘 以 偈 讚 曰 
T13n0402_001:0538c02	「此二聰叡眷屬俱，　　利益上者佛已記，	 此 二 聰 叡 眷 屬 俱 利 益 上 者 佛 已 記 
T13n0402_001:0538c03	　具智神通無所畏，　　故我承迎二丈夫。」	 具 智 神 通 無 所 畏 故 我 承 迎 二 丈 夫 
T13n0402_001:0538c04	爾時，彼比丘說此偈已即從坐起，與無量比	爾 時 彼 比 丘 說 此 偈 已 即 從 坐 起 與 無 量 比 
T13n0402_001:0538c05	丘眾及出家優婆塞等迎彼二人，善言問訊。	丘 眾 及 出 家 優 婆 塞 等 迎 彼 二 人 善 言 問 訊 
T13n0402_001:0538c06	時彼二人往到佛所，到已頂禮佛足，右遶三	時 彼 二 人 往 到 佛 所 到 已 頂禮佛足 右 遶 三 
T13n0402_001:0538c07	匝，住立佛前，白佛言：「世尊！我等今者求佛出	匝 住 立 佛 前 白 佛 言 世 尊 我 等 今 者 求 佛 出 
T13n0402_001:0538c08	家，受比丘戒修行梵行。」	家 受 比 丘 戒 修行梵行 
T13n0402_001:0538c09	佛言：「善男子！汝二人名字何等？」優波底沙	佛 言 善 男 子 汝 二 人 名 字 何 等 優 波 底 沙 
T13n0402_001:0538c10	言：「底沙是父，舍利是母，我今從母故名舍	言 底 沙 是 父 舍 利 是 母 我 今 從 母 故 名 舍 
T13n0402_001:0538c11	利弗；父母今者聽我出家。」俱利多言：「憍陳	利 弗 父 母 今 者 聽 我 出 家 俱 利 多 言 憍 陳 
T13n0402_001:0538c12	如是父，目伽羅是母，我今從母故名目伽羅；	如 是 父 目 伽 羅 是 母 我 今 從 母 故 名 目 伽 羅 
T13n0402_001:0538c13	父母今者聽我出家。」	父 母 今 者 聽 我 出 家 
T13n0402_001:0538c14	佛言：「汝等二人及諸眷屬，可於我所出家具	佛 言 汝 等 二 人 及 諸 眷 屬 可 於 我 所 出 家 具 
T13n0402_001:0538c15	足修行梵行。」作是語已，時此二人成具足戒，	足 修行梵行 作是語已 時 此 二 人 成 具 足 戒 
T13n0402_001:0538c16	五百徒眾未久之間，亦同二師得具足戒。	五 百 徒 眾 未 久 之 間 亦 同 二 師 得 具 足 戒 
T13n0402_001:0538c17	爾時，惡魔即自化身作摩醯首羅像，住立佛	爾 時 惡 魔 即 自 化 身 作 摩 醯 首 羅 像 住 立 佛 
T13n0402_001:0538c18	前，說如是偈：	前 說 如 是 偈 
T13n0402_001:0538c19	「世間利智能議論，　　方便勝智到彼岸，	 世 間 利 智 能 議 論 方 便 勝 智到彼岸 
T13n0402_001:0538c20	　彼等悉來頂禮我，　　我是彼等大導師。	 彼 等 悉 來 頂 禮 我 我 是 彼 等 大 導 師 
T13n0402_001:0538c21	　瞿曇弟子并眷屬，　　一切宜速歸依我，	 瞿 曇 弟 子 并 眷 屬 一 切 宜 速 歸 依 我 
T13n0402_001:0538c22	　我今為汝當廣說，　　安隱寂滅善妙道。」	 我 今 為 汝 當 廣 說 安 隱 寂 滅 善 妙 道 
T13n0402_001:0538c23	爾時，世尊以偈答曰：	爾 時 世 尊 以 偈 答 曰 
T13n0402_001:0538c24	「汝所說道趣惡道，　　眾生行者沈苦海，	 汝 所 說 道 趣 惡 道 眾 生 行 者 沈 苦 海 
T13n0402_001:0538c25	　我道能令動不動，　　世間苦海悉乾竭。	 我 道 能 令 動 不 動 世 間 苦 海 悉 乾 竭 
T13n0402_001:0538c26	　何故慠慢耐無恥，　　復作矜高野干聲？	 何 故 慠 慢 耐 無 恥 復 作 矜 高 野 干 聲 
T13n0402_001:0538c27	　我今退破汝魔事，　　不復於我能所作。」	 我 今 退 破 汝 魔 事 不 復 於 我 能 所 作 
T13n0402_001:0538c28	爾時，惡魔變摩醯首羅像，即沒不現。復作梵	爾 時 惡 魔 變 摩 醯 首 羅 像 即 沒 不 現 復 作 梵 
T13n0402_001:0538c29	天王像，住於佛前，說如是偈：	天 王 像 住 於 佛 前 說 如 是 偈 
T13n0402_001:0539a01	「煩惱業有芽，　　智慧已斬除，	 煩 惱 業 有 芽 智 慧 已 斬 除 
T13n0402_001:0539a02	　何故強於此，　　勤苦利眾生？	 何 故 強 於 此 勤 苦 利 眾 生 
T13n0402_001:0539a03	　於世無自在，　　以無堪道器，	 於 世 無 自 在 以 無 堪 道 器 
T13n0402_001:0539a04	　牟尼病已除，　　宜速入涅槃。」	 牟 尼 病 已 除 宜 速 入 涅 槃 
T13n0402_001:0539a05	爾時，世尊即以偈頌報魔王曰：	爾 時 世 尊 即 以 偈 頌 報 魔 王 曰 
T13n0402_001:0539a06	「我觀諸眾生，　　過彼恒沙量，	 我 觀 諸 眾 生 過 彼 恒 沙 量 
