T85n2859_001:1314b03	惠遠外傳	惠 遠 外 傳 
T85n2859_001:1314c01	骨節開張由如鋸解。直得四支體折五藏疼	骨 節 開 張 由 如 鋸 解 直 得 四 支 體 折 五 藏 疼 
T85n2859_001:1314c02	痛。不異刀傷。何殊劍切。千生萬死便即悶絕	痛 不 異 刀 傷 何 殊 劍 切 千 生 萬 死 便 即 悶 絕 
T85n2859_001:1314c03	莫知命。若懸絲不忘再活。須臾母子分解。血	莫 知 命 若 懸 絲 不 忘 再 活 須 臾 母 子 分 解 血 
T85n2859_001:1314c04	似屠羊。阿孃迷悶之間乃問是男是女。若言	似 屠 羊 阿 孃 迷 悶 之 間 乃 問 是 男 是 女 若 言 
T85n2859_001:1314c05	是女。且得母子分解平善。若是道兒。總忘却	是 女 且 得 母 子 分 解 平 善 若 是 道 兒 總 忘 却 
T85n2859_001:1314c06	百骨節疼痛迷悶之中便即含笑。此即名為	百 骨 節 疼 痛 迷 悶 之 中 便 即 含 笑 此 即 名 為 
T85n2859_001:1314c07	孝順之男。若是吾逆之子如何分娩。在其阿	孝 順 之 男 若 是 吾 逆 之 子 如 何 分 娩 在 其 阿 
T85n2859_001:1314c08	孃腹內令母不安。蹴踏阿孃無時暫歇。忽居	孃 腹 內 令 母 不 安 蹴 踏 阿 孃 無 時 暫 歇 忽 居 
T85n2859_001:1314c09	心上忽至腰間。五藏之中無處不到。十月滿	心 上 忽 至 腰 間 五 藏 之 中 無 處 不 到 十 月 滿 
T85n2859_001:1314c10	足乃生。是時手把阿孃心肝。脚踏阿孃胯骨。	足 乃 生 是 時 手 把 阿 孃 心 肝 脚 踏 阿 孃 胯 骨 
T85n2859_001:1314c11	三朝五日不肯平安。從此阿孃大命轉然。其	三 朝 五 日 不 肯 平 安 從 此 阿 孃 大 命 轉 然 其 
T85n2859_001:1314c12	母看看是死叫聲動地似劍到心。兄弟阿孃	母 看 看 是 死 叫 聲 動 地 似 劍 到 心 兄 弟 阿 孃 
T85n2859_001:1314c13	□知為計。怨家債主得命方休。既先忍子還	 知 為 計 怨 家 債 主 得 命 方 休 既 先 忍 子 還 
T85n2859_001:1314c14	須後死。即此為生。相公是也。又為夫人說其	須 後 死 即 此 為 生 相 公 是 也 又 為 夫 人 說 其 
T85n2859_001:1314c15	老苦老苦者。人受百歲由如星火須臾之間。	老 苦 老 苦 者 人 受 百 歲 由 如 星 火 須臾之間 
T85n2859_001:1314c16	七十八十氣力衰微。昔時聲少貌似春花。今	七 十 八 十 氣 力 衰 微 昔 時 聲 少 貌 似 春 花 今 
T85n2859_001:1314c17	既老來阿殊秋草。筋皮鶴髮當欲枯乾。明暗	既 老 來 阿 殊 秋 草 筋 皮 鶴 髮 當 欲 枯 乾 明 暗 
T85n2859_001:1314c18	耳聾青黃不辯。四支沈重百骨酸疼。去天漸	耳 聾 青 黃 不 辯 四 支 沈 重 百 骨 酸 疼 去 天 漸 
T85n2859_001:1314c19	遠去地應近。夜臥床枕千轉萬迴。是時不能	遠 去 地 應 近 夜 臥 床 枕 千 轉 萬 迴 是 時 不 能 
T85n2859_001:1314c20	世間之事如由夢裏。若不路傍桃李年年花	世 間 之 事 如 由 夢 裏 若 不 路 傍 桃 李 年 年 花 
T85n2859_001:1314c21	發。曜日江顏伏今何在。若也老病來侵。白髮	發 曜 日 江 顏 伏 今 何 在 若 也 老 病 來 侵 白 髮 
T85n2859_001:1314c22	無緣再黑。昔時壯氣隨八節而彫殘。舊日紅	無 緣 再 黑 昔 時 壯 氣 隨 八 節 而 彫 殘 舊 日 紅 
T85n2859_001:1314c23	顏隨四時而改變。是人皆老。貴賤亦同。不揀	顏 隨 四 時 而 改 變 是 人 皆 老 貴 賤 亦 同 不 揀 
T85n2859_001:1314c24	賢愚。是共老苦不如聞。早須造福田。人命剎	賢 愚 是 共 老 苦 不 如 聞 早 須 造 福 田 人 命 剎 
T85n2859_001:1314c25	那看看過世。大須用意。便乃修行。一失身無	那 看 看 過 世 大 須 用 意 便 乃 修 行 一 失 身 無 
T85n2859_001:1314c26	由再復。此即名為老苦。相公是夜乃為夫人	由 再 復 此 即 名 為 老 苦 相 公 是 夜 乃 為 夫 人 
T85n2859_001:1314c27	說其病苦。夫人又聞。何名為者。四處大之	說 其 病 苦 夫 人 又 聞 何 名 為 者 四 處 大 之 
T85n2859_001:1314c28	何曾有實。眾緣假合地水火風。一脈不調是	何 曾 有 實 眾 緣 假 合 地水火風 一 脈 不 調 是 
T85n2859_001:1314c29	病。俱起忽然用重著床。魂魄不安五神俱失。	病 俱 起 忽 然 用 重 著 床 魂 魄 不 安 五 神 俱 失 
T85n2859_001:1315a01	乾舌縮腦痛頭疼。百骨節之間由如鋸解。曉	乾 舌 縮 腦 痛 頭 疼 百 骨 節 之 間 由 如 鋸 解 曉 
T85n2859_001:1315a02	夜受苦無有休期。求生不得求死不得。世間	夜 受 苦 無 有 休 期 求 生 不 得 求 死 不 得 世 間 
T85n2859_001:1315a03	妙術只治有命之人。畢死如何救得能療。藥	妙 術 只 治 有 命 之 人 畢 死 如 何 救 得 能 療 藥 
T85n2859_001:1315a04	不能痊損。累日連宵受諸大苦。假使祁婆濃	不 能 痊 損 累 日 連 宵 受 諸 大 苦 假 使 祁 婆 濃 
T85n2859_001:1315a05	藥鶣鵲行針。死病到來無能勉得。世人狂受	藥 鶣 鵲 行 針 死 病 到 來 無 能 勉 得 世 人 狂 受 
T85n2859_001:1315a06	邪言未病病在床便冤神鬼燒錢解禁狂殺眾	邪 言 未 病 病 在 床 便 冤 神 鬼 燒 錢 解 禁 狂 殺 眾 
T85n2859_001:1315a07	生。如是之人墮於地獄。大限不過百歲。其十	生 如 是 之 人 墮 於 地 獄 大 限 不 過 百 歲 其 十 
T85n2859_001:1315a08	中七早希三人同受百歲能得幾時人生在	中 七 早 希 三 人 同 受 百 歲 能 得 幾 時 人 生 在 
T85n2859_001:1315a09	世。若有妙術。合有千歲之人何不用意。三	世 若 有 妙 術 合 有 千 歲 之 人 何 不 用 意 三 
T85n2859_001:1315a10	思狂受師人誑赫。此即名為病苦。相公是夜	思 狂 受 師 人 誑 赫 此 即 名 為 病 苦 相 公 是 夜 
T85n2859_001:1315a11	為夫人苦者。四大欲將歸滅魂魄逐風摧。兄	為 夫 人 苦 者 四 大 欲 將 歸 滅 魂 魄 逐 風 摧 兄 
T85n2859_001:1315a12	弟長辭那孃永隔。妻兒男女無由再會。支期	弟 長 辭 那 孃 永 隔 妻 兒 男 女 無 由 再 會 支 期 
T85n2859_001:1315a13	朋友往還一剎。無由再見。金銀錢物一任分	朋 友 往 還 一 剎 無 由 再 見 金 銀 錢 物 一 任 分 
T85n2859_001:1315a14	將。底店莊園不能將去。貪愛死苦四大分離。	將 底 店 莊 園 不 能 將 去 貪 愛 死 苦 四 大 分 離 
T85n2859_001:1315a15	魂魄飛颺莫知何在。三寸去斷即是來生。一	魂 魄 飛 颺 莫 知 何 在 三 寸 去 斷 即 是 來 生 一 
T85n2859_001:1315a16	人死了何時再生。生聞英雄死論福得。隨業	人 死 了 何 時 再 生 生 聞 英 雄 死 論 福 得 隨 業 
T85n2859_001:1315a17	受之任地所配。或居地獄或在天堂或為畜	受 之 任 地 所 配 或 居 地 獄 或 在 天 堂 或 為 畜 
T85n2859_001:1315a18	生或為餓鬼。六道輪迴無有休期。再得人身	生 或 為 餓 鬼 六 道 輪 迴 無 有 休 期 再 得 人 身 
T85n2859_001:1315a19	萬中希一。即此名為死苦。相公是也。又為夫	萬 中 希 一 即 此 名 為 死 苦 相 公 是 也 又 為 夫 
T85n2859_001:1315a20	人說五蔭苦。五蔭苦者。人生在世由如晝夜。	人 說 五 蔭 苦 五 蔭 苦 者 人 生 在 世 由 如 晝 夜 
T85n2859_001:1315a21	濃血皮膚綺羅纏體。五陰之內七孔常流。內	濃 血 皮 膚 綺 羅 纏 體 五 陰 之 內 七 孔 常 流 內 
T85n2859_001:1315a22	懷糞穢之膻腥遊血骨外且看膿囊。涕唾日	懷 糞 穢 之 膻 腥 遊 血 骨 外 且 看 膿 囊 涕 唾 日 
T85n2859_001:1315a23	夜長流處處不堪。全無實相所欲。皆從三寸	夜 長 流 處 處 不 堪 全 無 實 相 所 欲 皆 從 三 寸 
T85n2859_001:1315a24	氣生。是三毒之苗。五臟五欲之本。所以大師	氣 生 是 三 毒 之 苗 五 臟 五 欲 之 本 所 以 大 師 
T85n2859_001:1315a25	有偈。薄皮裹膿血筋纏臭骨頭。從頭觀至足。	有 偈 薄 皮 裹 膿 血 筋 纏 臭 骨 頭 從 頭 觀 至 足 
T85n2859_001:1315a26	遍體是濃流。如是名般眾苦。逼迫其身此即	遍 體 是 濃 流 如 是 名 般 眾 苦 逼 迫 其 身 此 即 
T85n2859_001:1315a27	名為五蔭苦。相公是夜又為夫人說求不得	名 為 五 蔭 苦 相 公 是 夜 又 為 夫 人 說 求 不 得 
T85n2859_001:1315a28	苦者。人生在世各有所有。願有福者求無上	苦 者 人 生 在 世 各 有 所 有 願 有 福 者 求 無 上 
T85n2859_001:1315a29	菩提。且三世之中。求得人生天之福。幾箇能	菩 提 且 三 世 之 中 求 得 人 生 天 之 福 幾 箇 能 
T85n2859_001:1315b01	受世榮。求得人間資財。中路便遭身夭。若求	受 世 榮 求 得 人 間 資 財 中 路 便 遭 身 夭 若 求 
T85n2859_001:1315b02	金銀疋帛劫劫榮心。縱得衣食自充不足。那	金 銀 疋 帛 劫 劫 榮 心 縱 得 衣 食 自 充 不 足 那 
T85n2859_001:1315b03	孃兄弟各自救療。生男養女分頭自求。前生	孃 兄 弟 各 自 救 療 生 男 養 女 分 頭 自 求 前 生 
T85n2859_001:1315b04	不種累劫不修。欲得世上榮。須是今生修福。	不 種 累 劫 不 修 欲 得 世 上 榮 須 是 今 生 修 福 
T85n2859_001:1315b05	今朝苦勸聽眾總知衣食是宿生住定所已師	今 朝 苦 勸 聽 眾 總 知 衣 食 是 宿 生 住 定 所 已 師 
T85n2859_001:1315b06	有偈。今年定是有。來年如何不種來年穀。今	有 偈 今 年 定 是 有 來 年 如 何 不 種 來 年 穀 今 
T85n2859_001:1315b07	生定是有。來生如何不修。來生福多如是般。	生 定 是 有 來 生 如 何 不 修 來 生 福 多 如 是 般 
T85n2859_001:1315b08	此即名為求不得苦。相公是夜又為夫人說	此 即 名 為 求不得苦 相 公 是 夜 又 為 夫 人 說 
T85n2859_001:1315b09	怨憎會苦。怨憎會苦者。人生在世貪欲在心。	怨憎會苦 怨憎會苦 者 人 生 在 世 貪 欲 在 心 
T85n2859_001:1315b10	見他有妻便欲求妻。既得妻子不經三二年	見 他 有 妻 便 欲 求 妻 既 得 妻 子 不 經 三 二 年 
T85n2859_001:1315b11	間。便即生男種女。此即喻於何等預探。若採	間 便 即 生 男 種 女 此 即 喻 於 何 等 預 探 若 採 
T85n2859_001:1315b12	花胡蝶般旋只在虛空。忽見一窼莊丹。將身	花 胡 蝶 般 旋 只 在 虛 空 忽 見 一 窼 莊 丹 將 身 
T85n2859_001:1315b13	便捒芳蘂。不覺蜘蛛在於其上。團團結就百	便 捒 芳 蘂 不 覺 蜘 蛛 在 於 其 上 團 團 結 就 百 
T85n2859_001:1315b14	匝千遭。胡蝶被裹在於其中。萬計無由出得。	匝 千 遭 胡 蝶 被 裹 在 於 其 中 萬 計 無 由 出 得 
T85n2859_001:1315b15	此者預苦。凡夫愛色亦復如是。見他年少便	此 者 預 苦 凡 夫 愛 色 亦復如是 見 他 年 少 便 
T85n2859_001:1315b16	生愛慕之心。歲月年深遂便有男有女。既乃	生 愛 慕 之 心 歲 月 年 深 遂 便 有 男 有 女 既 乃 
T85n2859_001:1315b17	長大成人不孝父母五逆彌天。不近智者伴	長 大 成 人 不 孝 父 母 五 逆 彌 天 不 近 智 者 伴 
T85n2859_001:1315b18	涉徒出語不解三思獃脣六親兼及尊長。若	涉 徒 出 語 不 解 三 思 獃 脣 六 親 兼 及 尊 長 若 
T85n2859_001:1315b19	在家中便即費人心力。或若出外常須憂懼。	在 家 中 便 即 費 人 心 力 或 若 出 外 常 須 憂 懼 
T85n2859_001:1315b20	此即是名多生冤家。世世無休期。善因苦	此 即 是 名 多 生 冤 家 世 世 無 休 期 善 因 苦 
T85n2859_001:1315b21	勸聽眾便知。欲得後世無冤。不如今生修於	勸 聽 眾 便 知 欲 得 後 世 無 冤 不 如 今 生 修 於 
T85n2859_001:1315b22	淨行。冤家永隔不遶心脹。男女因緣其中多	淨 行 冤 家 永 隔 不 遶 心 脹 男 女 因 緣 其 中 多 
T85n2859_001:1315b23	少。所已大師有偈。自從曠劫受深流。六道輪	少 所 已 大 師 有 偈 自 從 曠 劫 受 深 流 六 道 輪 
T85n2859_001:1315b24	迴處處週。若不今生猛斷却。冤家相報幾時	迴 處 處 週 若 不 今 生 猛 斷 却 冤 家 相 報 幾 時 
T85n2859_001:1315b25	休。此即名為冤憎會苦。相公是夜又為夫人	休 此 即 名 為 冤 憎 會 苦 相 公 是 夜 又 為 夫 人 
T85n2859_001:1315b26	說其愛別離苦者。如是家中養得一男。父母	說 其 愛別離苦 者 如 是 家 中 養 得 一 男 父 母 
T85n2859_001:1315b27	看如珠玉。長大成人纔辯東西。便即離鄉別	看 如 珠 玉 長 大 成 人 纔 辯 東 西 便 即 離 鄉 別 
T85n2859_001:1315b28	邑。父母日夜懸心而望。朝朝倚戶而至啼悲。	邑 父 母 日 夜 懸 心 而 望 朝 朝 倚 戶 而 至 啼 悲 
T85n2859_001:1315b29	從此意念病成。看承眠藥何時得見。忽至冬	從 此 意 念 病 成 看 承 眠 藥 何 時 得 見 忽 至 冬 
T85n2859_001:1315c01	年節歲六親悉在眼前。忽憶在外之男遂即	年 節 歲 六 親 悉 在 眼 前 忽 憶 在 外 之 男 遂 即 
T85n2859_001:1315c02	氣咽填兇。此即名為愛別離苦。相公是夜說	氣 咽 填 兇 此 即 名 為 愛別離苦 相 公 是 夜 說 
T85n2859_001:1315c03	八苦交煎已了。應是宅中大小良賤三百餘	八 苦 交 煎 已 了 應 是 宅 中 大 小 良 賤 三 百 餘 
T85n2859_001:1315c04	口悉皆拜謝。相公為有善慶紛紛下淚。善慶	口 悉 皆 拜 謝 相 公 為 有 善 慶 紛 紛 下 淚 善 慶 
T85n2859_001:1315c05	口即不言。心裏思量。我憶昔在[山*盧]山之日。初	口 即 不 言 心 裏 思 量 我 憶 昔 在 [山盧] 山 之 日 初 
T85n2859_001:1315c06	講此經題日便敢得。大石搖動百草亞身。瑞	講 此 經 題 日 便 敢 得 大 石 搖 動 百 草 亞 身 瑞 
T85n2859_001:1315c07	鳥靈禽飛來。滿似祥震不散常遊紫殿之傍。	鳥 靈 禽 飛 來 滿 似 祥 震 不 散 常 遊 紫 殿 之 傍 
T85n2859_001:1315c08	瑞氣盤旋不離朱樓之側。諸天聞法十類聞	瑞 氣 盤 旋 不 離 朱 樓 之 側 諸 天 聞 法 十 類 聞 
T85n2859_001:1315c09	經有形無形無相皆為涅槃而行滅度。善慶思	經 有 形 無 形 無 相 皆 為 涅 槃 而 行 滅 度 善 慶 思 
T85n2859_001:1315c10	惟既畢滿目是淚。相公怪之問善慶曰。吾為	惟 既 畢 滿 目 是 淚 相 公 怪 之 問 善 慶 曰 吾 為 
T85n2859_001:1315c11	儞講經。有何事理頻啼泣。汝且為復怨恨阿	儞 講 經 有 何 事 理 頻 啼 泣 汝 且 為 復 怨 恨 阿 
T85n2859_001:1315c12	誰解事速說情由不說眼看喫杖。善慶進步	誰 解 事 速 說 情 由 不 說 眼 看 喫 杖 善 慶 進 步 
T85n2859_001:1315c13	向前啟相公曰。賤奴並不怨恨他別人。只為	向 前 啟 相 公 曰 賤 奴 並 不 怨 恨 他 別 人 只 為 
T85n2859_001:1315c14	人道安上人說法總不能平等。相公曰。是他	人 道 安 上 人 說 法 總 不 能 平 等 相 公 曰 是 他 
T85n2859_001:1315c15	道安上人自到涼中講讚。王侯將相每日聽	道 安 上 人 自 到 涼 中 講 讚 王 侯 將 相 每 日 聽 
T85n2859_001:1315c16	他說法。汝且不曾見他說法。爭得知道他講	他 說 法 汝 且 不 曾 見 他 說 法 爭 得 知 道 他 講 
T85n2859_001:1315c17	讚不能平等。善慶進步向前啟相公曰。善慶	讚 不 能 平 等 善 慶 進 步 向 前 啟 相 公 曰 善 慶 
T85n2859_001:1315c18	昨夜隨從阿郎入寺隔在門外不得聞經。便知	昨 夜 隨 從 阿 郎 入 寺 隔 在 門 外 不 得 聞 經 便 知 
T85n2859_001:1315c19	道安上人說法不能平等。賤奴身雖居下賤。	道 安 上 人 說 法 不 能 平 等 賤 奴 身 雖 居 下 賤 
T85n2859_001:1315c20	佛法薄會紫紫緇眠不同。法應無二。從此道	佛 法 薄 會 紫 紫 緇 眠 不 同 法 應 無 二 從 此 道 
T85n2859_001:1315c21	安說法不能平等不解傳法入三等之人耳。	安 說 法 不 能 平 等 不 解 傳 法 入 三 等 之 人 耳 
T85n2859_001:1315c22	及四生十類相公曰。何者名為四生十類及三	及 四 生 十 類 相 公 曰 何 者 名 為 四 生 十 類 及 三 
T85n2859_001:1315c23	等之人耳。與我子細說看令我心開悟解得	等 之 人 耳 與 我 子 細 說 看 令 我 心 開 悟 解 得 
T85n2859_001:1315c24	佛法分明。善慶曰。三等之人者弟子一是床	佛 法 分 明 善 慶 曰 三 等 之 人 者 弟 子 一 是 床 
T85n2859_001:1315c25	上。病兒第二是因徒繫閉。第三不自由人法	上 病 兒 第 二 是 因 徒 繫 閉 第 三 不 自 由 人 法 
T85n2859_001:1315c26	師高座上不解方便。遍達傳說入三等之人	師 高 座 上 不 解 方 便 遍 達 傳 說 入 三 等 之 人 
T85n2859_001:1315c27	耳。有如是之過。是以說法不解平等。相公曰。	耳 有 如 是 之 過 是 以 說 法 不 解 平 等 相 公 曰 
T85n2859_001:1315c28	何者是四生十類。善慶啟相公。四生者是胎	何 者 是 四 生 十 類 善 慶 啟 相 公 四 生 者 是 胎 
T85n2859_001:1315c29	生卵生濕生化生。是為四生。十類者是有形	生 卵 生 濕 生 化 生 是 為 四 生 十 類 者 是 有 形 
T85n2859_001:1316a01	無形有相無相非有相非無相四足二足多	無 形 有 相 無 相 非 有 相 非 無 相 四 足 二 足 多 
T85n2859_001:1316a02	足無足。此者名為十類。相公語善慶曰。我緣	足 無 足 此 者 名 為 十 類 相 公 語 善 慶 曰 我 緣 
T85n2859_001:1316a03	不會為我子細說。看我便捨邪歸。政善慶曰	不 會 為 我 子 細 說 看 我 便 捨 邪 歸 政 善 慶 曰 
T85n2859_001:1316a04	胎生者是法之人。北來兩人入寺聽經。一人	胎 生 者 是 法 之 人 北 來 兩 人 入 寺 聽 經 一 人 
T85n2859_001:1316a05	無是入得寺中聽經。一人有是貪性。當即却	無 是 入 得 寺 中 聽 經 一 人 有 是 貪 性 當 即 却 
T85n2859_001:1316a06	迴而去。其人入得寺中。一人於善法堂中坐	迴 而 去 其 人 入 得 寺 中 一 人 於 善 法 堂 中 坐 
T85n2859_001:1316a07	定聽得一自之妙法入於心身便即心生歡喜。	定 聽 得 一 自 之 妙 法 入 於 心 身 便 即 心生歡喜 
T85n2859_001:1316a08	忽憶不來之人即便心生肺忘。縱有言而能	忽 憶 不 來 之 人 即 便 心 生 肺 忘 縱 有 言 而 能 
T85n2859_001:1316a09	聽受悶悶不已。如母胎中之子被浮雲之障	聽 受 悶 悶 不 已 如 母 胎 中 之 子 被 浮 雲 之 障 
T85n2859_001:1316a10	日。萑苒之間便墮在胎生之中。卵生者亦是	日 萑 苒 之 間 便 墮 在 胎 生 之 中 卵 生 者 亦 是 
T85n2859_001:1316a11	聽法之人。故來入寺聽經。在善法堂前坐心	聽 法 之 人 故 來 入 寺 聽 經 在 善 法 堂 前 坐 心 
T85n2859_001:1316a12	欲屬著。法師不解。且說外緣便將甚生法說	欲 屬 著 法 師 不 解 且 說 外 緣 便 將 甚 生 法 說 
T85n2859_001:1316a13	與眾生迷朦。難會難知。悶悶不已。遂即墮在	與 眾 生 迷 朦 難 會 難 知 悶 悶 不 已 遂 即 墮 在 
T85n2859_001:1316a14	卵生之中。濕生者。如是之人多受匿法。得一	卵 生 之 中 濕 生 者 如 是 之 人 多 受 匿 法 得 一 
T85n2859_001:1316a15	句一偈不曾沈向之人貪愛潤己。不解為眾宣	句 一 偈 不 曾 沈 向 之 人 貪 愛 潤 己 不 解 為 眾 宣 
T85n2859_001:1316a16	揚。以是因緣便墮在濕生之中。化生者。北入	揚 以是因緣 便 墮 在 濕 生 之 中 化 生 者 北 入 
T85n2859_001:1316a17	寺中聽法得一句妙法。分別得無量無邊。宣	寺 中 聽 法 得 一 句 妙 法 分 別 得 無量無邊 宣 
T85n2859_001:1316a18	義文牽教化。而恒河沙等如一然燈於十燈	義 文 牽 教 化 而 恒 河 沙 等 如 一 然 燈 於 十 燈 
T85n2859_001:1316a19	亦百燈於千燈亦百千萬億之燈。燈燈不絕	亦 百 燈 於 千 燈 亦 百 千 萬 億 之 燈 燈 燈 不 絕 
T85n2859_001:1316a20	此即名為化生。於是相公問。十類者何。善慶	此 即 名 為 化 生 於 是 相 公 問 十 類 者 何 善 慶 
T85n2859_001:1316a21	曰。第一有形者見埿龕塑像便即虛心禮拜	曰 第 一 有 形 者 見 埿 龕 塑 像 便 即 虛 心 禮 拜 
T85n2859_001:1316a22	直云。佛如須彌山見形發心此即名為有形。	直 云 佛 如須彌山 見 形 發 心 此 即 名 為 有 形 
T85n2859_001:1316a23	第二是無形者。不立性處不見性。如水中之	第 二 是 無 形 者 不 立 性 處 不 見 性 如 水 中 之 
T85n2859_001:1316a24	月空裏之風。萬法皆無一無所有。此即名為	月 空 裏 之 風 萬 法 皆 無 一 無 所 有 此 即 名 為 
T85n2859_001:1316a25	無形。第三是有相者。著街衢見端正之人。便	無 形 第 三 是 有 相 者 著 街 衢 見 端 正 之 人 便 
T85n2859_001:1316a26	言前境修來來入寺中。聽法見法師肥白。	言 前 境 修 來 來 入 寺 中 聽 法 見 法 師 肥 白 
T85n2859_001:1316a27	便即心生愛戀。即被纏縛。既有纏縛。即有忘	便 即 心 生 愛 戀 即 被 纏 縛 既 有 纏 縛 即 有 忘 
T85n2859_001:1316a28	想。既有忘想即有無明。既有無明即有煩惱。	想 既 有 忘 想 即 有 無 明 既 有 無 明 即 有 煩 惱 
T85n2859_001:1316a29	既有煩惱即有沈輪。既有沈輪即有地獄累	既 有 煩 惱 即 有 沈 輪 既 有 沈 輪 即 有 地 獄 累 
T85n2859_001:1316b01	劫犯之身心。不定即受其苦。此即名為有相。	劫 犯 之 身 心 不 定 即 受 其 苦 此 即 名 為 有 相 
T85n2859_001:1316b02	第四無相者。萬法皆虛。何曾有實。東西無跡。	第 四 無 相 者 萬 法 皆 虛 何 曾 有 實 東 西 無 跡 
T85n2859_001:1316b03	南北無蹤。是事不於身心。一體逈超三界。此	南 北 無 蹤 是 事 不 於 身 心 一 體 逈 超 三 界 此 
T85n2859_001:1316b04	即名為無相。第五非有相者。當說即有說罷	即 名 為 無 相 第 五 非 有 相 者 當 說 即 有 說 罷 
T85n2859_001:1316b05	還無當立。即有不立即還無當信。即有不信	還 無 當 立 即 有 不 立 即 還 無 當 信 即 有 不 信 
T85n2859_001:1316b06	即還無萬法。不於心身。此即名為非有相。第	即 還 無 萬 法 不 於 心 身 此 即 名 為 非 有 相 第 
T85n2859_001:1316b07	六非無相者。無言無語無去無來無動無念。	六 非 無 相 者 無 言 無 語 無 去 無 來 無 動 無 念 
T85n2859_001:1316b08	不生不滅即是真如。無去無來便為佛性。此	不生不滅 即 是 真 如 無 去 無 來 便 為 佛 性 此 
T85n2859_001:1316b09	即名為非無相。第七二足者。人生在世有身	即 名 為 非 無 相 第 七 二 足 者 人 生 在 世 有 身 
