T19n0935_001:0080b23	極樂願文	極 樂 願 文 
T19n0935_001:0081a04	　既生淨土已　　來化穢土眾	 既 生 淨 土 已 來 化 穢 土 眾 
T19n0935_001:0081a05	如此勝境。或未得生。惟願生生世世。常遇佛	如 此 勝 境 或 未 得 生 惟 願 生生世世 常 遇 佛 
T19n0935_001:0081a06	教。在諸經論中。契悟聞思修。願得清淨之	教 在 諸 經 論 中 契 悟 聞 思 修 願 得 清 淨 之 
T19n0935_001:0081a07	身。	身 
T19n0935_001:0081a08	既得其身。於高類七德莊嚴。願不遠離。	既 得 其 身 於 高 類 七 德 莊 嚴 願 不 遠 離 
T19n0935_001:0081a09	如是於一切時中。憶念前生。願得宿命智。	如 是 於一切時 中 憶 念 前 生 願 得 宿 命 智 
T19n0935_001:0081a10	生生世世。凡見三有。皆生無益之心。而於解	生生世世 凡 見 三 有 皆 生 無 益 之 心 而 於 解 
T19n0935_001:0081a11	脫功德。即起奪意之念。在諸佛律中。願得	脫 功 德 即 起 奪 意 之 念 在 諸 佛 律 中 願 得 
T19n0935_001:0081a12	出家。	出 家 
T19n0935_001:0081a13	既出家之時。於諸惡墮。毫無所染。圓守禁戒。	既 出 家 之 時 於 諸 惡 墮 毫 無 所 染 圓 守 禁 戒 
T19n0935_001:0081a14	行至無極門中。得大菩提。願如大比丘阿閦	行 至 無 極 門 中 得大菩提 願 如 大 比 丘 阿 閦 
T19n0935_001:0081a15	佛。	佛 
T19n0935_001:0081a16	復於世世生生。在染淨諸法中。如理融通。圓	復 於 世 世 生 生 在 染 淨 諸 法 中 如 理 融 通 圓 
T19n0935_001:0081a17	成之道。諸法文義。持不失忘之總持。願悉	成 之 道 諸 法 文 義 持 不 失 忘 之 總 持 願 悉 
T19n0935_001:0081a18	豐足而得。	豐 足 而 得 
T19n0935_001:0081a19	如已所持。示於他時。願得清淨無礙之辯。	如 已 所 持 示 於 他 時 願 得 清 淨 無 礙 之 辯 
T19n0935_001:0081a20	復於生生世世。於楞嚴等諸定。肉眼等五眼。	復 於 生生世世 於 楞 嚴 等 諸 定 肉 眼 等 五 眼 
T19n0935_001:0081a21	神境等六通。願一切悉得無離。	神 境 等 六 通 願 一 切 悉 得 無 離 
T19n0935_001:0081a22	復於生生世世。以自生之力。分晰一切善惡	復 於 生生世世 以 自 生 之 力 分 晰 一 切 善 惡 
T19n0935_001:0081a23	之道。願得廣大之智慧。	之 道 願 得 廣 大 之 智 慧 
T19n0935_001:0081a24	於染淨諸法。細微差別。分晰如現。悉無雜濫。	於 染 淨 諸 法 細 微 差 別 分 晰 如 現 悉 無 雜 濫 
T19n0935_001:0081a25	願得利明之智慧。	願 得 利 明 之 智 慧 
T19n0935_001:0081a26	所有未悟誤悟疑心之念。將生之時。則悉滅	所 有 未 悟 誤 悟 疑 心 之 念 將 生 之 時 則 悉 滅 
T19n0935_001:0081a27	無餘。願得速見之智慧。	無 餘 願 得 速 見 之 智 慧 
T19n0935_001:0081a28	以他不能測量之妙法文義不費鑽研。願得	以 他 不 能 測 量 之 妙 法 文 義 不 費 鑽 研 願 得 
T19n0935_001:0081a29	深密之智慧。	深 密 之 智 慧 
T19n0935_001:0081b01	總言洩露智慧之過。及離智之文義。悉能分	總 言 洩 露 智 慧 之 過 及 離 智 之 文 義 悉 能 分 
T19n0935_001:0081b02	晰。從方便正智中修菩提行。悉到彼岸。願如	晰 從 方 便 正 智 中 修 菩 提 行 悉 到 彼 岸 願 如 
T19n0935_001:0081b03	至尊文殊菩薩。	至 尊 文 殊 菩 薩 
T19n0935_001:0081b04	如是廣大利明。速見深密之諸智慧。悉以易	如 是 廣 大 利 明 速 見 深 密 之 諸 智 慧 悉 以 易 
T19n0935_001:0081b05	得。隨緣所持。折伏邪說。能令智者歡喜。緣佛	得 隨 緣 所 持 折 伏 邪 說 能 令 智 者 歡 喜 緣 佛 
T19n0935_001:0081b06	說諸法中。善能分辨討論纂作。願得智者之	說 諸 法 中 善 能 分 辨 討 論 纂 作 願 得 智 者 之 
T19n0935_001:0081b07	到彼岸。	到 彼 岸 
T19n0935_001:0081b08	復於生生世世。凡執自利為要。於菩薩廣大	復 於 生生世世 凡 執 自 利 為 要 於 菩 薩 廣 大 
T19n0935_001:0081b09	行中。若生退回。悉皆斷滅。以勇猛心。更勤利	行 中 若 生 退 回 悉 皆 斷 滅 以 勇 猛 心 更 勤 利 
T19n0935_001:0081b10	他。皆到彼岸。從方便菩提中。行菩薩行。皆至	他 皆 到 彼 岸 從 方 便 菩 提 中 行 菩 薩 行 皆 至 
T19n0935_001:0081b11	無極。願如勝觀自在菩薩。	無 極 願 如 勝 觀 自 在 菩 薩 
T19n0935_001:0081b12	復於生生世世。修行自他兼利。摧滅諸魔外	復 於 生生世世 修 行 自 他 兼 利 摧 滅 諸 魔 外 
T19n0935_001:0081b13	道。及諸敵時。從方便勇力中。修菩薩行。皆至	道 及 諸 敵 時 從 方 便 勇 力 中 修菩薩行 皆 至 
T19n0935_001:0081b14	究竟。願如祕密主金剛手菩薩。	究 竟 願 如 祕 密 主 金剛手菩薩 
T19n0935_001:0081b15	生生世世。以棄怠之精進。圓菩薩之妙行自	生生世世 以 棄 怠 之 精 進 圓 菩 薩 之 妙 行 自 
T19n0935_001:0081b16	初發心。至剎那閒。亦無怠惰。而從大精進中。	初 發 心 至 剎 那 閒 亦 無 怠 惰 而 從 大 精 進 中 
T19n0935_001:0081b17	得勝菩提。願如無等釋迦王佛。	得 勝 菩 提 願 如 無 等 釋 迦 王 佛 
T19n0935_001:0081b18	生生世世。息除修道之閒斷。身心之諸病。時	生生世世 息 除 修 道 之 閒 斷 身 心 之 諸 病 時 
T19n0935_001:0081b19	以微題名號。即能息滅身語意之痛愆。願如	以 微 題 名 號 即 能 息 滅 身 語 意 之 痛 愆 願 如 
T19n0935_001:0081b20	藥師琉璃光王如來。	藥師琉璃光 王 如 來 
T19n0935_001:0081b21	復於生生世世。如欲壽終無極。以微題名號。	復 於 生生世世 如 欲 壽 終 無 極 以 微 題 名 號 
T19n0935_001:0081b22	即能摧滅非時橫夭。願如無量壽佛。	即 能 摧 滅 非 時 橫 夭 願 如 無 量 壽 佛 
T19n0935_001:0081b23	若壽障將至之時。即見救濟無量壽以四業	若 壽 障 將 至 之 時 即 見 救 濟 無 量 壽 以 四 業 
T19n0935_001:0081b24	中。隨業現身。而為調伏。既見身已。願壽障盡	中 隨 業 現 身 而 為 調 伏 既 見 身 已 願 壽 障 盡 
T19n0935_001:0081b25	消無餘。	消 無 餘 
T19n0935_001:0081b26	而彼隨度現身之時。即得識知是無量壽。生	而 彼 隨 度 現 身 之 時 即 得 識 知 是 無 量 壽 生 
T19n0935_001:0081b27	無造作堅固至誠承是力故。生一切處。願得	無 造 作 堅 固 至 誠 承 是 力 故 生 一 切 處 願 得 
T19n0935_001:0081b28	不離無量壽佛。親為知識。	不 離 無 量 壽 佛 親 為 知 識 
T19n0935_001:0081b29	復於生生世世。獲得世出世閒。諸功德之本。	復 於 生生世世 獲 得 世 出 世 閒 諸 功 德 之 本 
T19n0935_001:0081c01	具足性相大乘之善知識師。願喜悅護持。	具 足 性 相 大 乘 之 善 知 識 師 願 喜 悅 護 持 
T19n0935_001:0081c02	隨持之時。於善知識師前。得生無退堅固之	隨 持 之 時 於 善 知 識 師 前 得 生 無 退 堅 固 之 
T19n0935_001:0081c03	信。願恒使喜悅。	信 願 恒 使 喜 悅 
T19n0935_001:0081c04	剎那之閒。願不令不喜。	剎 那 之 閒 願 不 令 不 喜 
T19n0935_001:0081c05	以善知識師指示。隨其諸教。願無不全受	以 善 知 識 師 指 示 隨 其 諸 教 願 無 不 全 受 
T19n0935_001:0081c06	彼所教義。如理融化。而能修習。願得至究竟。	彼 所 教 義 如 理 融 化 而 能 修 習 願 得 至 究 竟 
T19n0935_001:0081c07	剎那之閒。願不由惡友遣使。	剎 那 之 閒 願 不 由 惡 友 遣 使 
T19n0935_001:0081c08	生生世世。於恭信因果。及厭離心。菩提妙心。	生生世世 於 恭 信 因 果 及 厭 離 心 菩 提 妙 心 
T19n0935_001:0081c09	並清淨見悉得融通。行無勉強嘗試之行。願	並 清 淨 見 悉 得 融 通 行 無 勉 強 嘗 試 之 行 願 
T19n0935_001:0081c10	常不閒斷。	常 不 閒 斷 
T19n0935_001:0081c11	生一切處。從身語意所修諸善根。普皆全為	生 一 切 處 從 身 語 意 所 修 諸 善 根 普 皆 全 為 
T19n0935_001:0081c12	利他。蓋願成清淨菩提之因矣。	利 他 蓋 願 成 清 淨 菩 提 之 因 矣 
T19n0935_001:0081c13	　惟彼世尊妙勝果　　現今我若未證時	 惟 彼 世 尊 妙 勝 果 現 今 我 若 未 證 時 
T19n0935_001:0081c14	　願得清淨修道身　　世世憶念恒出家	 願 得 清 淨 修 道 身 世 世 憶 念 恒 出 家 
T19n0935_001:0081c15	　辯才禪定神通呪　　持無邊諸功德藏	 辯 才 禪 定 神 通 呪 持 無 邊 諸 功 德 藏 
T19n0935_001:0081c16	　悉得悲智無雙友　　速修菩提至究竟	 悉 得 悲 智 無 雙 友 速 修 菩 提 至 究 竟 
T19n0935_001:0081c17	　將見非時壽天相　　無量壽佛身明現	 將 見 非 時 壽 天 相 無 量 壽 佛 身 明 現 
T19n0935_001:0081c18	　則斷死主之勇猛　　願速得持無死姓	 則 斷 死 主 之 勇 猛 願 速 得 持 無 死 姓 
T19n0935_001:0081c19	　我願世世無量壽　　親為護持大乘師	 我 願 世 世 無 量 壽 親 為 護 持 大 乘 師 
T19n0935_001:0081c20	　於佛讚歎道理中　　剎那之閒無退惰	 於 佛 讚 歎 道 理 中 剎 那 之 閒 無 退 惰 
T19n0935_001:0081c21	　棄舍眾生為自利　　分別之心亦不生	 棄 舍 眾 生 為 自 利 分 別 之 心 亦 不 生 
T19n0935_001:0081c22	　修利他理無蒙昧　　方便智巧厚利他	 修 利 他 理 無 蒙 昧 方 便 智 巧 厚 利 他 
T19n0935_001:0081c23	　以我微念尊名號　　消諸侵犯罪業果	 以 我 微 念 尊 名 號 消 諸 侵 犯 罪 業 果 
T19n0935_001:0081c24	　轉成豐足安樂因　　直步上乘之階梯	 轉 成 豐 足 安 樂 因 直 步 上 乘 之 階 梯 
T19n0935_001:0081c25	　佛子解脫微作兆　　滅盡菩薩行之祟	 佛 子 解 脫 微 作 兆 滅 盡 菩 薩 行 之 祟 
T19n0935_001:0081c26	　一切用度皆豐順　　於意微思悉圓成	 一 切 用 度 皆 豐 順 於 意 微 思 悉 圓 成 
T19n0935_001:0081c27	　釋迦彌陀及慈氏　　文殊密主觀世音	 釋 迦 彌 陀 及 慈 氏 文 殊 密 主 觀 世 音 
T19n0935_001:0081c28	　善逝眷屬實因緣　　是願不虛速圓成	 善 逝 眷 屬 實 因 緣 是 願 不 虛 速 圓 成 
T19n0935_001:0081c29	極樂願文竟	極 樂 願 文 竟 
