X63n1233_001:0166c07	祇園正儀	祇 園 正 儀 
X63n1233_001:0167a03	飯。作飯不足則作粥。作粥不足則作米湯。新到相見	飯 作 飯 不 足 則 作 粥 作 粥 不 足 則 作 米 湯 新 到 相 見 
X63n1233_001:0167a04	茶湯而已。更不煎點。唯置一茶堂。自去取用。務要省	茶 湯 而 已 更 不 煎 點 唯 置 一 茶 堂 自 去 取 用 務 要 省 
X63n1233_001:0167a05	緣專一辨道。又況活計具足。風景不疎。華解笑。鳥解	緣 專 一 辨 道 又 況 活 計 具 足 風 景 不 疎 華 解 笑 鳥 解 
X63n1233_001:0167a06	啼。木馬長鳴。石牛善走。天外之青山寡色。耳畔之鳴	啼 木 馬 長 鳴 石 牛 善 走 天 外 之 青 山 寡 色 耳 畔 之 鳴 
X63n1233_001:0167a07	泉無聲。嶺上猿啼露濕中霄之月。林間鶴唳風回清	泉 無 聲 嶺 上 猿 啼 露 濕 中 霄 之 月 林 間 鶴 唳 風 回 清 
X63n1233_001:0167a08	曉之松。春風起時枯木龍吟。秋葉凋而寒林花散。玉	曉 之 松 春 風 起 時 枯 木 龍 吟 秋 葉 凋 而 寒 林 花 散 玉 
X63n1233_001:0167a09	階舖苔蘚之紋。人面帶煙霞之色。音塵寂爾。消息宛	階 舖 苔 蘚 之 紋 人 面 帶 煙 霞 之 色 音 塵 寂 爾 消 息 宛 
X63n1233_001:0167a10	然。一味蕭條無可趣向。山僧今日向諸人面前說家	然 一 味 蕭 條 無 可 趣 向 山 僧 今 日 向 諸 人 面 前 說 家 
X63n1233_001:0167a11	門已是不著便。豈可更去陞堂入室。拈槌竪拂。東喝	門 已 是 不 著 便 豈 可 更 去 陞 堂 入 室 拈 槌 竪 拂 東 喝 
X63n1233_001:0167a12	西棒。張眉怒目。如癇病發相似。不唯屈沉上座。況辜	西 棒 張 眉 怒 目 如 癇 病 發 相 似 不 唯 屈 沉 上 座 況 辜 
X63n1233_001:0167a13	負先聖。儞不見達磨西來到少室山下面壁九年。二	負 先 聖 儞 不 見 達 磨 西 來 到 少 室 山 下 面 壁 九 年 二 
X63n1233_001:0167a14	祖至於立雪斷臂。可謂受盡艱辛。然而達磨不曾措	祖 至 於 立 雪 斷 臂 可 謂 受 盡 艱 辛 然 而 達 磨 不 曾 措 
X63n1233_001:0167a15	了一詞。二祖不曾問著一句。還喚達磨作不為人得	了 一 詞 二 祖 不 曾 問 著 一 句 還 喚 達 磨 作 不 為 人 得 
X63n1233_001:0167a16	麼。喚二祖做不求師得麼。山僧每至說著古聖做處。	麼 喚 二 祖 做 不 求 師 得 麼 山 僧 每 至 說 著 古 聖 做 處 
X63n1233_001:0167a17	便覺無地容身。慚愧後人軟弱又。況百味珍羞遞相	便 覺 無 地 容 身 慚 愧 後 人 軟 弱 又 況 百 味 珍 羞 遞 相 
X63n1233_001:0167a18	供養。道我四事具足方可發心。只恐做手脚不迄。便	供 養 道 我 四 事 具 足 方 可 發 心 只 恐 做 手 脚 不 迄 便 
X63n1233_001:0167a19	此隔生隔世去也。時光似箭深為可惜。雖然如是。更	此 隔 生 隔 世 去 也 時 光 似 箭 深 為 可 惜 雖 然 如 是 更 
X63n1233_001:0167a20	在他人從長相度。山僧也強教儞不得。諸仁者還見	在 他 人 從 長 相 度 山 僧 也 強 教 儞 不 得 諸 仁 者 還 見 
X63n1233_001:0167a21	古人偈麼。山田脫粟飯。野菜淡黃虀。喫則從君喫。不	古 人 偈 麼 山 田 脫 粟 飯 野 菜 淡 黃 虀 喫 則 從 君 喫 不 
X63n1233_001:0167a22	喫任東西。伏惟同道。各自努力。珍重。	喫 任 東 西 伏 惟 同 道 各 自 努 力 珍 重 
X63n1233_001:0167b03	 跋刻芙蓉楷祖法語	 跋 刻 芙 蓉 楷 祖 法 語 
X63n1233_001:0167b05	烏虖。若干吾黨之晚生。夙夜汲汲乎以富榮不充	烏 虖 若 干 吾 黨 之 晚 生 夙 夜 汲 汲 乎 以 富 榮 不 充 
X63n1233_001:0167b06	乎身名聲不章乎世為患。雖外則從事禪誦假現	乎 身 名 聲 不 章 乎 世 為 患 雖 外 則 從 事 禪 誦 假 現 
X63n1233_001:0167b07	僧儀。內則全措己躬大事於度外。恬然不識。自顧	僧 儀 內 則 全 措 己 躬 大 事 於 度 外 恬 然 不 識 自 顧 
X63n1233_001:0167b08	者日披誦此	者 日 披 誦 此 
X63n1233_001:0167b09	芙蓉楷祖之嚴訓。以竊生慚耻。則庶幾至于不倦	芙 蓉 楷 祖 之 嚴 訓 以 竊 生 慚 耻 則 庶 幾 至 于 不 倦 
X63n1233_001:0167b10	進修。裨助性地歟。慶湯藥茲謀壽。梓流行厥志其	進 修 裨 助 性 地 歟 慶 湯 藥 茲 謀 壽 梓 流 行 厥 志 其 
X63n1233_001:0167b11	勤矣。因述一語以表隨喜之老懷矣。	勤 矣 因 述 一 語 以 表 隨 喜 之 老 懷 矣 
X63n1233_001:0167b12	寬政壬子春二月	寬 政 壬 子 春 二 月 
