T08n0237_001:0762a04	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
T08n0237_001:0762c09	菩提！是諸菩薩無復我想、眾生想、壽者想、受	菩 提 是 諸 菩 薩 無 復 我 想 眾 生 想 壽 者 想 受 
T08n0237_001:0762c10	者想。是諸菩薩無法想非無法想，無想非	者 想 是 諸 菩 薩 無 法 想 非 無 法 想 無 想 非 
T08n0237_001:0762c11	無想。何以故？須菩提！是諸菩薩若有法想，	無 想 何 以 故 須 菩 提 是 諸 菩 薩 若 有 法 想 
T08n0237_001:0762c12	即是我執，及眾生、壽者、受者執。須菩提！是故	即 是 我 執 及 眾 生 壽 者 受 者 執 須 菩 提 是 故 
T08n0237_001:0762c13	菩薩不應取法，不應取非法。為如是義故，如	菩 薩 不 應 取 法 不 應 取 非 法 為 如 是 義 故 如 
T08n0237_001:0762c14	來說：『若觀行人，解筏喻經，法尚應捨，何況非	來 說 若 觀 行 人 解 筏 喻 經 法 尚 應 捨 何 況 非 
T08n0237_001:0762c15	法。』」	法 
T08n0237_001:0762c16	復次，佛告淨命須菩提：「須菩提！汝意云何？	復 次 佛 告 淨 命 須 菩 提 須 菩 提 汝意云何 
T08n0237_001:0762c17	如來得阿耨多羅三藐三菩提耶？如來有所	如 來 得阿耨多羅三藐三菩提 耶 如 來 有 所 
T08n0237_001:0762c18	說法耶？」須菩提言：「如我解佛說義，無所有	說 法 耶 須 菩 提 言 如 我 解 佛 說 義 無 所 有 
T08n0237_001:0762c19	法如來所得，名阿耨多羅三藐三菩提；亦無	法 如 來 所 得 名 阿耨多羅三藐三菩提 亦 無 
T08n0237_001:0762c20	有法如來所說。何以故？是法如來所說，不	有 法 如 來 所 說 何 以 故 是 法 如 來 所 說 不 
T08n0237_001:0762c21	可取，不可言；非法，非非法。何以故？一切聖	可 取 不 可 言 非 法 非 非 法 何 以 故 一 切 聖 
T08n0237_001:0762c22	人皆以無為真如所顯現故。」「須菩提！汝意云	人 皆 以 無 為 真 如 所 顯 現 故 須 菩 提 汝 意 云 
T08n0237_001:0762c23	何？以三千大千世界遍滿七寶，若人持用布	何 以 三千大千世界 遍 滿 七 寶 若 人 持 用 布 
T08n0237_001:0762c24	施，是善男子、善女人，因此布施生福多不？」須	施 是 善 男 子 善 女 人 因 此 布 施 生 福 多 不 須 
T08n0237_001:0762c25	菩提言：「甚多，世尊！甚多，修伽陀！是善男子、	菩 提 言 甚 多 世 尊 甚 多 修 伽 陀 是 善 男 子 
T08n0237_001:0762c26	善女人，因此布施，得福甚多。何以故？世尊！此	善 女 人 因 此 布 施 得 福 甚 多 何 以 故 世 尊 此 
T08n0237_001:0762c27	福德聚，即非福德聚，是故如來說福德聚。」佛	福 德 聚 即 非 福 德 聚 是 故 如 來 說 福 德 聚 佛 
T08n0237_001:0762c28	言：「須菩提！若善男子、善女人，以三千大千	言 須 菩 提 若 善 男 子 善 女 人 以 三千大千 
T08n0237_001:0762c29	世界遍滿七寶，持用布施。若復有人，從此經	世 界 遍 滿 七 寶 持用布施 若 復 有 人 從 此 經 
T08n0237_001:0763a01	中受四句偈，為他正說，顯示其義。此人以是	中 受 四 句 偈 為 他 正 說 顯 示 其 義 此 人 以 是 
T08n0237_001:0763a02	因緣，所生福德，最多於彼無量無數。何以故？	因 緣 所 生 福 德 最 多 於 彼 無量無數 何 以 故 
T08n0237_001:0763a03	須菩提！如來無上菩提，從此福成。諸佛世尊，	須 菩 提 如 來 無上菩提 從 此 福 成 諸佛世尊 
T08n0237_001:0763a04	從此福生。何以故？須菩提！所言佛法者，即	從 此 福 生 何 以 故 須 菩 提 所 言 佛 法 者 即 
T08n0237_001:0763a05	非佛法，是名佛法。「須菩提！汝意云何？須陀	非 佛 法 是 名 佛 法 須 菩 提 汝意云何 須 陀 
T08n0237_001:0763a06	洹能作是念：『我得須陀洹果。』不？」須菩提言：「不	洹 能 作 是 念 我 得 須陀洹果 不 須 菩 提 言 不 
T08n0237_001:0763a07	能，世尊！何以故？世尊！實無所有能至於流，	能 世 尊 何 以 故 世 尊 實無所有 能 至 於 流 
T08n0237_001:0763a08	故說須陀洹。乃至色、聲、香、味、觸、法亦復如是，	故 說 須 陀 洹 乃 至 色 聲 香 味 觸 法 亦復如是 
T08n0237_001:0763a09	故名須陀洹。「斯陀含名一往來，實無所有能	故 名 須 陀 洹 斯 陀 含 名 一 往 來 實無所有 能 
T08n0237_001:0763a10	至往來，是名斯陀含。「阿那含名為不來，實	至 往 來 是 名 斯 陀 含 阿 那 含 名 為 不 來 實 
T08n0237_001:0763a11	無所有能至不來，是名阿那含。」佛言：「須菩	無 所 有 能 至 不 來 是 名 阿 那 含 佛 言 須 菩 
T08n0237_001:0763a12	提！汝意云何？阿羅漢能作是念：『我得阿羅	提 汝意云何 阿 羅 漢 能 作 是 念 我 得 阿 羅 
T08n0237_001:0763a13	漢果。』不？」須菩提言：「不能，世尊！何以故！實無	漢 果 不 須 菩 提 言 不 能 世 尊 何 以 故 實 無 
T08n0237_001:0763a14	所有名阿羅漢。世尊！若阿羅漢作是念：『我	所 有 名 阿 羅 漢 世 尊 若 阿 羅 漢 作 是 念 我 
T08n0237_001:0763a15	得阿羅漢果。』此念即是我執、眾生執、壽者執、	得阿羅漢 果 此 念 即 是 我 執 眾 生 執 壽 者 執 
T08n0237_001:0763a16	受者執。世尊！如來阿羅訶三藐三佛陀讚我，	受 者 執 世 尊 如 來 阿 羅 訶 三藐三佛陀 讚 我 
T08n0237_001:0763a17	住無諍三昧人中最為第一。世尊！我今已得	住 無諍三昧 人 中 最 為 第 一 世 尊 我 今 已 得 
T08n0237_001:0763a18	阿羅漢，離三有欲。世尊！我亦不作是念：『我	阿 羅 漢 離 三 有 欲 世 尊 我 亦 不 作 是 念 我 
T08n0237_001:0763a19	是阿羅漢。』世尊！我若有是念：『我已得阿羅漢	是 阿 羅 漢 世 尊 我 若 有 是 念 我 已 得阿羅漢 
T08n0237_001:0763a20	果。』如來則應不授我記：『住無諍三昧人中，須	果 如 來 則 應 不 授 我 記 住 無諍三昧 人 中 須 
T08n0237_001:0763a21	菩提善男子最為第一。』實無所住，住於無諍、	菩 提 善 男 子 最 為 第 一 實 無 所 住 住 於 無 諍 
T08n0237_001:0763a22	住於無諍。」	住 於 無 諍 
T08n0237_001:0763a23	佛告須菩提：「汝意云何？昔從然燈如來阿羅	佛 告 須 菩 提 汝意云何 昔 從 然 燈 如 來 阿 羅 
T08n0237_001:0763a24	訶三藐三佛陀所，頗有一法如來所取不？」須	訶 三藐三佛陀 所 頗 有 一 法 如 來 所 取 不 須 
T08n0237_001:0763a25	菩提言：「不取，世尊！實無有法，昔從然燈如來	菩 提 言 不 取 世 尊 實 無 有 法 昔 從 然 燈 如 來 
T08n0237_001:0763a26	阿羅訶三藐三佛陀所，如來所取。」佛告須菩	阿 羅 訶 三藐三佛陀 所 如 來 所 取 佛 告 須 菩 
T08n0237_001:0763a27	提：「若有菩薩作如是言：『我當莊嚴清淨佛土。』	提 若 有 菩 薩 作如是言 我 當 莊 嚴 清 淨 佛 土 
T08n0237_001:0763a28	而此菩薩說虛妄言。何以故？須菩提！莊嚴	而 此 菩 薩 說 虛 妄 言 何 以 故 須 菩 提 莊 嚴 
T08n0237_001:0763a29	佛土者，如來說非莊嚴，是故莊嚴清淨佛土。	佛 土 者 如 來 說 非 莊 嚴 是 故 莊 嚴 清 淨 佛 土 
T08n0237_001:0763b01	須菩提！是故菩薩應生如是無住著心，不住	須 菩 提 是 故 菩 薩 應 生 如 是 無 住 著 心 不 住 
T08n0237_001:0763b02	色、聲、香、味、觸、法生心，應無所住而生其心。「須	色 聲 香 味 觸 法 生 心 應 無 所 住 而 生 其 心 須 
T08n0237_001:0763b03	菩提！譬如有人體相勝大，如須彌山。須菩	菩 提 譬 如 有 人 體 相 勝 大 如須彌山 須 菩 
T08n0237_001:0763b04	提！汝意云何？如是體相為勝大不？」須菩提	提 汝意云何 如 是 體 相 為 勝 大 不 須 菩 提 
T08n0237_001:0763b05	言：「甚大，世尊！何以故？如來說非有，名為有	言 甚 大 世 尊 何 以 故 如 來 說 非 有 名 為 有 
T08n0237_001:0763b06	身，此非是有，故說有身。」	身 此 非 是 有 故 說 有 身 
T08n0237_001:0763b07	佛告須菩提：「汝意云何？於恒伽所有諸沙，	佛 告 須 菩 提 汝意云何 於 恒 伽 所 有 諸 沙 
T08n0237_001:0763b08	如其沙數所有恒伽，諸恒伽沙寧為多不？」須	如 其 沙 數 所 有 恒 伽 諸 恒 伽 沙 寧 為 多 不 須 
T08n0237_001:0763b09	菩提言：「甚多，世尊！但諸恒伽，尚多無數，何	菩 提 言 甚 多 世 尊 但 諸 恒 伽 尚 多 無 數 何 
T08n0237_001:0763b10	況其沙。」佛言：「須菩提！我今覺汝，我今示汝。	況 其 沙 佛 言 須 菩 提 我 今 覺 汝 我 今 示 汝 
T08n0237_001:0763b11	諸恒伽中所有沙數爾許世界，若有善男子、	諸 恒 伽 中 所 有 沙 數 爾 許 世 界 若 有 善 男 子 
T08n0237_001:0763b12	善女人，以七寶遍滿，持施如來應供正遍覺	善 女 人 以 七 寶 遍 滿 持 施 如 來 應 供 正 遍 覺 
T08n0237_001:0763b13	知。須菩提！汝意云何？此人以是因緣，得福	知 須 菩 提 汝意云何 此 人 以是因緣 得 福 
T08n0237_001:0763b14	多不？」須菩提言：「甚多，世尊！甚多，修伽陀！此	多 不 須 菩 提 言 甚 多 世 尊 甚 多 修 伽 陀 此 
T08n0237_001:0763b15	人以是因緣，生福甚多。」「須菩提！若善男子、善	人 以是因緣 生 福 甚 多 須 菩 提 若 善 男 子 善 
T08n0237_001:0763b16	女人，以七寶遍滿爾所恒伽沙世界，持用布	女 人 以 七 寶 遍 滿 爾 所 恒 伽 沙 世 界 持 用 布 
T08n0237_001:0763b17	施。若善男子、善女人，從此經典乃至四句偈	施 若 善 男 子 善 女 人 從 此 經 典 乃 至 四 句 偈 
T08n0237_001:0763b18	等，恭敬受持，為他正說。是人所生福德，最勝	等 恭 敬 受 持 為 他 正 說 是 人 所 生 福 德 最 勝 
T08n0237_001:0763b19	於彼無量無數！「復次，須菩提！隨所在處，若	於 彼 無量無數 復 次 須 菩 提 隨 所 在 處 若 
T08n0237_001:0763b20	有人能從是經典，乃至四句偈等，讀誦講說。	有 人 能 從 是 經 典 乃 至 四 句 偈 等 讀 誦 講 說 
T08n0237_001:0763b21	當知此處於世間中即成支提，一切人、天、阿	當 知 此 處 於 世 間 中 即 成 支 提 一 切 人 天 阿 
T08n0237_001:0763b22	修羅等，皆應恭敬。何況有人盡能受持讀誦	修 羅 等 皆 應 恭 敬 何 況 有 人 盡 能 受持讀誦 
T08n0237_001:0763b23	如此經典，當知是人則與無上希有之法而	如 此 經 典 當 知 是 人 則 與 無 上 希 有 之 法 而 
T08n0237_001:0763b24	共相應。是土地處，大師在中，或隨有一可	共 相 應 是 土 地 處 大 師 在 中 或 隨 有 一 可 
T08n0237_001:0763b25	尊重人。」佛說是已。淨命須菩提白佛言：「世	尊 重 人 佛 說 是 已 淨 命 須 菩 提 白 佛 言 世 
T08n0237_001:0763b26	尊！如是經典，名號云何？我等云何奉持？」佛	尊 如 是 經 典 名 號 云 何 我 等 云 何 奉 持 佛 
T08n0237_001:0763b27	告須菩提：「此經名『般若波羅蜜』。以是名字，汝	告 須 菩 提 此 經 名 般 若 波 羅 蜜 以 是 名 字 汝 
T08n0237_001:0763b28	當奉持。何以故？須菩提！是般若波羅蜜，如	當 奉 持 何 以 故 須 菩 提 是 般 若 波 羅 蜜 如 
T08n0237_001:0763b29	來說非般若波羅蜜。須菩提！汝意云何？頗	來 說 非 般 若 波 羅 蜜 須 菩 提 汝意云何 頗 
T08n0237_001:0763c01	有一法一佛說不？」須菩提言：「無有，世尊！無	有 一 法 一 佛 說 不 須 菩 提 言 無 有 世 尊 無 
T08n0237_001:0763c02	有一法一如來說。」佛告須菩提：「三千大千世	有 一 法 一 如 來 說 佛 告 須 菩 提 三千大千 世 
T08n0237_001:0763c03	界所有微塵，是為多不？」須菩提言：「此世界微	界 所 有 微 塵 是 為 多 不 須 菩 提 言 此 世 界 微 
T08n0237_001:0763c04	塵，甚多，世尊！甚多，修伽陀！何以故？世尊！此	塵 甚 多 世 尊 甚 多 修 伽 陀 何 以 故 世 尊 此 
T08n0237_001:0763c05	諸微塵，如來說非微塵，故名微塵。此諸世界，	諸 微 塵 如 來 說 非 微 塵 故 名 微 塵 此 諸 世 界 
T08n0237_001:0763c06	如來說非世界，故說世界。」佛告須菩提：「汝	如 來 說 非 世 界 故 說 世 界 佛 告 須 菩 提 汝 
T08n0237_001:0763c07	意云何？可以三十二大人相見如來不？」須菩	意 云 何 可 以 三十二大人相 見 如 來 不 須 菩 
T08n0237_001:0763c08	提言：「不可，世尊！何以故？此三十二大人相，	提 言 不 可 世 尊 何 以 故 此 三十二大人相 
T08n0237_001:0763c09	如來說非相，故說三十二大人相。」	如 來 說 非 相 故 說 三十二大人相 
T08n0237_001:0763c10	佛告須菩提：「若有善男子、善女人，如諸恒河	佛 告 須 菩 提 若 有 善 男 子 善 女 人 如 諸 恒 河 
T08n0237_001:0763c11	所有沙數，如是沙等身命捨以布施。若有善	所 有 沙 數 如 是 沙 等 身 命 捨 以 布 施 若 有 善 
T08n0237_001:0763c12	男子、善女人，從此經典，乃至四句偈等，恭敬	男 子 善 女 人 從 此 經 典 乃 至 四 句 偈 等 恭 敬 
T08n0237_001:0763c13	受持，為他正說。此人以是因緣，生福多彼無	受 持 為 他 正 說 此 人 以是因緣 生 福 多 彼 無 
T08n0237_001:0763c14	量無數。」爾時淨命須菩提，由法利疾，即便悲	量 無 數 爾 時 淨 命 須 菩 提 由 法 利 疾 即 便 悲 
T08n0237_001:0763c15	泣。收淚而言：「希有，世尊！希有，修伽陀！如此	泣 收 淚 而 言 希 有 世 尊 希 有 修 伽 陀 如 此 
T08n0237_001:0763c16	經典如來所說，我從昔來至得聖慧，未曾聞	經 典 如 來 所 說 我 從 昔 來 至 得 聖 慧 未 曾 聞 
T08n0237_001:0763c17	說如是經典。何以故？世尊說般若波羅蜜，	說 如 是 經 典 何 以 故 世 尊 說 般 若 波 羅 蜜 
T08n0237_001:0763c18	即非般若波羅蜜，故說般若波羅蜜。世尊！當	即 非 般 若 波 羅 蜜 故 說 般 若 波 羅 蜜 世 尊 當 
T08n0237_001:0763c19	知是人則與無上希有之法而共相應，聞說	知 是 人 則 與 無 上 希 有 之 法 而 共 相 應 聞 說 
T08n0237_001:0763c20	經時，能生實想。世尊！是實想者，實非有想，是	經 時 能 生 實 想 世 尊 是 實 想 者 實 非 有 想 是 
T08n0237_001:0763c21	故如來說名實想、說名實想。世尊！此事於我	故 如 來 說 名 實 想 說 名 實 想 世 尊 此 事 於 我 
T08n0237_001:0763c22	非為希有。正說經時，我生信解。世尊！於未	非 為 希 有 正 說 經 時 我 生 信 解 世 尊 於 未 
T08n0237_001:0763c23	來世，若有眾生恭敬受持，為他正說，當知是	來 世 若 有 眾 生 恭 敬 受 持 為 他 正 說 當 知 是 
T08n0237_001:0763c24	人則與無上希有之法而共相應。世尊！此	人 則 與 無 上 希 有 之 法 而 共 相 應 世 尊 此 
T08n0237_001:0763c25	人無復我想、眾生想、壽者想、受者想。何以故？	人 無 復 我 想 眾 生 想 壽 者 想 受 者 想 何 以 故 
T08n0237_001:0763c26	我想、眾生想、壽者想、受者想，即是非想。何以	我 想 眾 生 想 壽 者 想 受 者 想 即 是 非 想 何 以 
T08n0237_001:0763c27	故？諸佛世尊，解脫諸想盡無餘故。」說是言	故 諸佛世尊 解 脫 諸 想 盡 無 餘 故 說 是 言 
T08n0237_001:0763c28	已。佛告須菩提：「如是，須菩提！如是當知，是	已 佛 告 須 菩 提 如 是 須 菩 提 如 是 當 知 是 
T08n0237_001:0763c29	人則與無上希有之法而共相應。是人聞說	人 則 與 無 上 希 有 之 法 而 共 相 應 是 人 聞 說 
T08n0237_001:0764a01	此經，不驚不怖不畏。何以故？須菩提！此法	此 經 不驚不怖 不 畏 何 以 故 須 菩 提 此 法 
T08n0237_001:0764a02	如來所說，是第一波羅蜜。此波羅蜜，如來所	如 來 所 說 是 第 一 波 羅 蜜 此 波 羅 蜜 如 來 所 
T08n0237_001:0764a03	說，無量諸佛亦如是說，是故說名第一波羅	說 無 量 諸 佛 亦 如 是 說 是 故 說 名 第 一 波 羅 
T08n0237_001:0764a04	蜜。	蜜 
T08n0237_001:0764a05	「復次，須菩提！如來忍辱波羅蜜，即非波羅蜜。	 復 次 須 菩 提 如 來 忍 辱 波 羅 蜜 即 非波羅蜜 
T08n0237_001:0764a06	何以故？須菩提！昔時我為迦陵伽王斬斫	何 以 故 須 菩 提 昔 時 我 為 迦 陵 伽 王 斬 斫 
T08n0237_001:0764a07	身體，骨肉雖碎。我於爾時，無有我想、眾生	身 體 骨 肉 雖 碎 我 於 爾 時 無 有 我 想 眾 生 
T08n0237_001:0764a08	想、壽者想、受者想，無想非無想。何以故？須菩	想 壽 者 想 受 者 想 無 想 非 無 想 何 以 故 須 菩 
T08n0237_001:0764a09	提！我於爾時，若有我想、眾生想、壽者想、受者	提 我 於 爾 時 若 有 我 想 眾 生 想 壽 者 想 受 者 
T08n0237_001:0764a10	想，是時則應生瞋恨想。須菩提！我憶過去	想 是 時 則 應 生 瞋 恨 想 須 菩 提 我 憶 過 去 
T08n0237_001:0764a11	五百生，作大僊人，名曰說忍。於爾所生中，	五 百 生 作 大 僊 人 名 曰 說 忍 於 爾 所 生 中 
T08n0237_001:0764a12	心無我想、眾生想、壽者想、受者想。是故須菩	心 無 我 想 眾 生 想 壽 者 想 受 者 想 是 故 須 菩 
T08n0237_001:0764a13	提！菩薩摩訶薩捨離一切想，於無上菩提應	提 菩薩摩訶薩 捨 離 一 切 想 於 無上菩提 應 
T08n0237_001:0764a14	發起心，不應生住色心，不應生住聲、香、味、觸	發 起 心 不 應 生 住 色 心 不 應 生 住 聲 香 味 觸 
T08n0237_001:0764a15	心，不應生住法心，不應生住非法心，不應	心 不 應 生 住 法 心 不 應 生 住 非 法 心 不 應 
T08n0237_001:0764a16	生有所住心。何以故？若心有住，則為非住。	生 有 所 住 心 何 以 故 若 心 有 住 則 為 非 住 
T08n0237_001:0764a17	故如來說：『菩薩無所住心應行布施。』復次，須	故 如 來 說 菩 薩 無 所 住 心 應 行 布 施 復 次 須 
T08n0237_001:0764a18	菩提！菩薩應如是行施，為利益一切眾生。此	菩 提 菩 薩 應 如 是 行 施 為 利 益 一 切 眾 生 此 
T08n0237_001:0764a19	眾生想，即是非想。如是一切眾生，如來說即	眾 生 想 即 是 非 想 如是一切 眾 生 如 來 說 即 
