X26n0574_001:0950c03	摩訶般若波羅蜜多心經	摩訶般若波羅蜜 多 心 經 
X26n0574_001:0951a21	不能陶鑄四時不能遷五行不能役鬼神不能拘	不 能 陶 鑄 四 時 不 能 遷 五 行 不 能 役 鬼 神 不 能 拘 
X26n0574_001:0951a22	劫火不能壞作箇逍遙自在物外閑人要見物外	劫 火 不 能 壞 作 箇 逍 遙 自 在 物 外 閑 人 要 見 物 外 
X26n0574_001:0951a23	閑人麼　六座門頭常出入雖然相近不相親	閑 人 麼 六 座 門 頭 常 出 入 雖 然 相 近 不 相 親 
X26n0574_001:0951a24	　開著眼休得蹉過　省得麼。	 開 著 眼 休 得 蹉 過 省 得 麼 
X26n0574_001:0951b01	　智慧聰明路兩差　　聰明枝葉慧根芽	 智 慧 聰 明 路 兩 差 聰 明 枝 葉 慧 根 芽 
X26n0574_001:0951b02	　若改愚痴生智慧　　多年枯木自開華	 若 改 愚 痴 生 智 慧 多 年 枯 木 自 開 華 
X26n0574_001:0951b03	波羅。	波 羅 
X26n0574_001:0951b04	西天梵語也東土翻為彼岸　此岸者生死之際	西 天 梵 語 也 東 土 翻 為 彼 岸 此 岸 者 生 死 之 際 
X26n0574_001:0951b05	也彼岸者出生死之岸也迷者此岸悟者彼岸世	也 彼 岸 者 出 生 死 之 岸 也 迷 者 此 岸 悟 者 彼 岸 世 
X26n0574_001:0951b06	人若迷本性即愚痴顛倒認四大六根為己爭名	人 若 迷 本 性 即 愚 痴 顛 倒 認 四 大 六 根 為 己 爭 名 
X26n0574_001:0951b07	競利謀千年之活計積萬劫之冤[億音+(天*天)]背覺合塵迷	競 利 謀 千 年 之 活 計 積 萬 劫 之 冤 [億音天天] 背 覺 合 塵 迷 
X26n0574_001:0951b08	真逐妄忙忙而不知休息念念而心境不除忽朝	真 逐 妄 忙 忙 而 不 知 休 息 念 念 而 心 境 不 除 忽 朝 
X26n0574_001:0951b09	大限到來臨行手無所措這裡脫下濕布衫那裡	大 限 到 來 臨 行 手 無 所 措 這 裡 脫 下 濕 布 衫 那 裡 
X26n0574_001:0951b10	穿上虱虱襖去去來來改頭換面似蟻循環何日	穿 上 虱 虱 襖 去 去 來 來 改 頭 換 面 似 蟻 循 環 何 日 
X26n0574_001:0951b11	是了生死苦海幾時得渡如是之者只在此岸若	是 了 生 死 苦 海 幾 時 得 渡 如 是 之 者 只 在 此 岸 若 
X26n0574_001:0951b12	有人猛然自悟從前所為所作盡是虗假棄假循	有 人 猛 然 自 悟 從 前 所 為 所 作 盡 是 虗 假 棄 假 循 
X26n0574_001:0951b13	真窮根究本常近至人常親知識求過岸之舟覔	真 窮 根 究 本 常 近 至 人 常 親 知 識 求 過 岸 之 舟 覔 
X26n0574_001:0951b14	方便之篙渡過愛河苦海而登彼岸得脫生死洪	方 便 之 篙 渡 過 愛 河 苦 海 而 登 彼 岸 得 脫 生 死 洪 
X26n0574_001:0951b15	波更不拖泥帶水作箇脚乾手燥清淨自在閑人	波 更 不 拖 泥 帶 水 作 箇 脚 乾 手 燥 清 淨 自 在 閑 人 
X26n0574_001:0951b16	也　且道如何得達彼岸　咦　他人難用力	也 且 道 如 何 得 達 彼 岸 咦 他 人 難 用 力 
X26n0574_001:0951b17	　自渡自家身　會麼。	 自 渡 自 家 身 會 麼 
X26n0574_001:0951b18	　智慧為船精進篙　　靈臺用力出波濤	 智 慧 為 船 精 進 篙 靈 臺 用 力 出 波 濤 
X26n0574_001:0951b19	　翻身直上菩提岸　　撒手歸來明月高	 翻 身 直 上 菩 提 岸 撒 手 歸 來 明 月 高 
X26n0574_001:0951b20	蜜多。	蜜 多 
X26n0574_001:0951b21	西天梵語也東土翻為無極又蜜者和也多者眾	西 天 梵 語 也 東 土 翻 為 無 極 又 蜜 者 和 也 多 者 眾 
X26n0574_001:0951b22	聚也且無極者至高至大難極之謂也　釋云無	聚 也 且 無 極 者 至 高 至 大 難 極 之 謂 也 釋 云 無 
X26n0574_001:0951b23	極　道云太極　儒曰皇極皆謂○此也今分明	極 道 云 太 極 儒 曰 皇 極 皆 謂 此 也 今 分 明 
X26n0574_001:0951b24	說開蜜之一字亦比於大道虗空多者謂萬彚也	說 開 蜜 之 一 字 亦 比 於 大 道 虗 空 多 者 謂 萬 彚 也 
X26n0574_001:0951c01	譬道能包含萬類有情無情盡在大道之中人之	譬 道 能 包 含 萬 類 有 情 無 情 盡 在 大 道 之 中 人 之 
X26n0574_001:0951c02	真性一同亦能包藏萬法萬法盡在一性之中太	真 性 一 同 亦 能 包 藏 萬 法 萬 法 盡 在 一 性 之 中 太 
X26n0574_001:0951c03	虗之內有八萬四千異類種性說不可盡皆在人	虗 之 內 有 八萬四千 異 類 種 性 說 不 可 盡 皆 在 人 
X26n0574_001:0951c04	之一性之內一性譬如蜜種性喻於多情行人以	之 一 性 之 內 一 性 譬 如 蜜 種 性 喻 於 多 情 行 人 以 
X26n0574_001:0951c05	一性均和種性合而為一故曰蜜多　道云識得	一 性 均 和 種 性 合 而 為 一 故 曰 蜜 多 道 云 識 得 
X26n0574_001:0951c06	一萬事畢　釋云萬法歸一　儒云吾道一以貫	一 萬 事 畢 釋 云 萬 法 歸 一 儒 云 吾 道 一 以 貫 
X26n0574_001:0951c07	之　且道如何是一　還識這個○麼　咄　五	之 且 道 如 何 是 一 還 識 這 個 麼 咄 五 
X26n0574_001:0951c08	行不到處　父母未生前　雖然說破不行　難	行 不 到 處 父 母 未 生 前 雖 然 說 破 不 行 難 
X26n0574_001:0951c09	到直須去盡塵垢方見　省麼。	到 直 須 去 盡 塵 垢 方 見 省 麼 
X26n0574_001:0951c10	　一性為蜜眾為多　　先將覺性普均和	 一 性 為 蜜 眾 為 多 先 將 覺 性 普 均 和 
X26n0574_001:0951c11	　坐成一片真如性　　一性圓明赴大羅	 坐 成 一 片 真 如 性 一 性 圓 明 赴 大 羅 
X26n0574_001:0951c12	心。	心 
X26n0574_001:0951c13	心者人之本源也一切萬法盡在一心之內有八	心 者 人 之 本 源 也 一切萬法 盡 在 一 心 之 內 有 八 
X26n0574_001:0951c14	萬四千等動則無窮無盡定則不變不移　釋云	萬 四 千 等 動 則 無 窮 無 盡 定 則 不 變 不 移 釋 云 
X26n0574_001:0951c15	心生種種法生心滅種種法滅　道云心死則性	心 生 種 種 法 生 心 滅 種 種 法 滅 道 云 心 死 則 性 
X26n0574_001:0951c16	月朗明心生則慾塵遮蔽　儒云制之一心則止	月 朗 明 心 生 則 慾 塵 遮 蔽 儒 云 制 之 一 心 則 止 
X26n0574_001:0951c17	謀於多事則亂　是以古聖教學人收攝其心歸	謀 於 多 事 則 亂 是 以 古 聖 教 學 人 收 攝 其 心 歸 
X26n0574_001:0951c18	於一處喚作萬法歸一又名一字法門因人不信	於 一 處 喚 作 萬 法 歸 一 又 名 一 字 法 門 因 人 不 信 
X26n0574_001:0951c19	是心是佛是心作佛所以多種方便指示世人見	是 心 是 佛 是 心 作 佛 所 以 多 種 方 便 指 示 世 人 見 
X26n0574_001:0951c20	自本性豈不見古云三點如星象橫鈎似月斜披	自 本 性 豈 不 見 古 云 三 點 如 星 象 橫 鈎 似 月 斜 披 
X26n0574_001:0951c21	毛從此得作佛也由他是也上天入地皆在自心	毛 從 此 得 作 佛 也 由 他 是 也 上 天 入 地 皆 在 自 心 
X26n0574_001:0951c22	所為非他處所得　經云在於閑處收攝其心。	所 為 非 他 處 所 得 經 云 在 於 閑 處 收 攝 其 心 
X26n0574_001:0951c23	又云制之一處事無不辦不能歸一者因識心者	又 云 制 之 一 處 事 無 不 辦 不 能 歸 一 者 因 識 心 者 
X26n0574_001:0951c24	少亂性者多故失真道矣為何不識其心因其多	少 亂 性 者 多 故 失 真 道 矣 為 何 不 識 其 心 因 其 多 
X26n0574_001:0952a01	惑其性皆緣失神昏昧逐境迷心六根內盲著物	惑 其 性 皆 緣 失 神 昏 昧 逐 境 迷 心 六 根 內 盲 著 物 
X26n0574_001:0952a02	亂性不生智慧愚暗之故也若肯脩心窮性命究	亂 性 不 生 智 慧 愚 暗 之 故 也 若 肯 脩 心 窮 性 命 究 
X26n0574_001:0952a03	生死親近明師參求法藥療治心病念茲在茲步	生 死 親 近 明 師 參 求 法 藥 療 治 心 病 念 茲 在 茲 步 
X26n0574_001:0952a04	步行行坐臥不忘語默動靜不離這箇○忽然眉	步 行 行 坐 臥 不 忘 語 默 動 靜 不 離 這 箇 忽 然 眉 
X26n0574_001:0952a05	毛竪起眼睛露出便見本來面目　且道本來面	毛 竪 起 眼 睛 露 出 便 見 本 來 面 目 且 道 本 來 面 
X26n0574_001:0952a06	目如何形狀　川老有云火不能燒水不能溺風	目 如 何 形 狀 川 老 有 云 火 不 能 燒 水 不 能 溺 風 
X26n0574_001:0952a07	不能飄刀不能劈軟似兜羅硬如鐵壁天上人間	不 能 飄 刀 不 能 劈 軟 似 兜 羅 硬 如 鐵 壁 天 上 人 間 
X26n0574_001:0952a08	古今不識　咄　知道麼　終朝常對面　不識	古 今 不 識 咄 知 道 麼 終 朝 常 對 面 不 識 
X26n0574_001:0952a09	是何人。	是 何 人 
X26n0574_001:0952a10	　這輪心鏡本無塵　　因塵難照本來真	 這 輪 心 鏡 本 無 塵 因 塵 難 照 本 來 真 
X26n0574_001:0952a11	　塵盡鏡明無一物　　自然現出法王身	 塵 盡 鏡 明 無 一 物 自 然 現 出 法 王 身 
X26n0574_001:0952a12	經。	經 
X26n0574_001:0952a13	經者徑也是世人脩行之路徑也學人得此不疑	經 者 徑 也 是 世 人 脩 行 之 路 徑 也 學 人 得 此 不 疑 
X26n0574_001:0952a14	擬休要悞了工程驀直便行須有到家時節只怕	擬 休 要 悞 了 工 程 驀 直 便 行 須 有 到 家 時 節 只 怕 
X26n0574_001:0952a15	路頭不真差行錯認　且道向甚處去是予今明	路 頭 不 真 差 行 錯 認 且 道 向 甚 處 去 是 予 今 明 
X26n0574_001:0952a16	說向寸草不生處纖塵不立處無泥水無坑坎淨	說 向 寸 草 不 生 處 纖 塵 不 立 處 無 泥 水 無 坑 坎 淨 
X26n0574_001:0952a17	躶躶赤洒洒平穩穩處去猛然逢著一顆○圓陀	躶 躶 赤 洒 洒 平 穩 穩 處 去 猛 然 逢 著 一 顆 圓 陀 
X26n0574_001:0952a18	陀光爍爍亘古不壞如意光明寶珠親手拈來得	陀 光 爍 爍 亘 古 不 壞 如 意 光 明 寶 珠 親 手 拈 來 得 
X26n0574_001:0952a19	大利用不受困苦　釋云摩尼寶珠　道云黍米	大 利 用 不 受 困 苦 釋 云 摩 尼 寶 珠 道 云 黍 米 
X26n0574_001:0952a20	玄珠　儒云九曲明珠　要見此珠麼　一心象	玄 珠 儒 云 九 曲 明 珠 要 見 此 珠 麼 一 心 象 
X26n0574_001:0952a21	外覔。	外 覔 
X26n0574_001:0952a22	休向世間求。	休 向 世 間 求 
X26n0574_001:0952a23	　這卷真經本在心　　自家藏寶不須尋	 這 卷 真 經 本 在 心 自 家 藏 寶 不 須 尋 
X26n0574_001:0952a24	　猛然檢著無生品　　迸出明珠耀古今	 猛 然 檢 著 無 生 品 迸 出 明 珠 耀 古 今 
X26n0574_001:0952b01	觀自在菩薩。	觀 自 在 菩 薩 
X26n0574_001:0952b02	自在菩薩人人皆有只因六根諸境遮障不能觀	自 在 菩 薩 人 人 皆 有 只 因 六 根 諸 境 遮 障 不 能 觀 
X26n0574_001:0952b03	看情欲萬緣所牽不得自在若有智慧之人信得	看 情 欲 萬 緣 所 牽 不得自在 若 有 智 慧 之 人 信 得 
X26n0574_001:0952b04	及放得下但於幽靜閑處打併身心坐令極靜靜	及 放 得 下 但 於 幽 靜 閑 處 打 併 身 心 坐 令 極 靜 靜 
X26n0574_001:0952b05	中更靜無纖毫異念一心清淨守至靜極猛然一	中 更 靜 無 纖 毫 異 念 一 心 清 淨 守 至 靜 極 猛 然 一 
X26n0574_001:0952b06	動有一真人在自己靈宮往往來來縱橫無礙這	動 有 一 真 人 在 自 己 靈 宮 往 往 來 來 縱 橫 無 礙 這 
X26n0574_001:0952b07	裡方見自己菩薩優滿自在一剎那間徧周沙界	裡 方 見 自 己 菩 薩 優 滿 自 在 一 剎 那 間 徧 周 沙 界 
X26n0574_001:0952b08	隨處現法身到處不留跡光明普照觀之不見諸	隨 處 現 法 身 到 處 不 留 跡 光明普照 觀 之 不 見 諸 
X26n0574_001:0952b09	人若要見此菩薩觀之不用其目聽之不用其耳	人 若 要 見 此 菩 薩 觀 之 不 用 其 目 聽 之 不 用 其 耳 
X26n0574_001:0952b10	去耳目之用纔識自在菩薩　道云視不見我聽	去 耳 目 之 用 纔 識 自 在 菩 薩 道 云 視 不 見 我 聽 
X26n0574_001:0952b11	不得聞離種種邊名為妙道　金剛經云若以色	不 得 聞 離 種 種 邊 名 為 妙 道 金 剛 經 云 若 以 色 
X26n0574_001:0952b12	見我以音聲求我是人行邪道不能見如來　儒	見 我 以 音 聲 求 我 是 人 行 邪 道 不 能 見 如 來 儒 
X26n0574_001:0952b13	云視不用目聽不用耳離耳目之用自然得性。	云 視 不 用 目 聽 不 用 耳 離 耳 目 之 用 自 然 得 性 
X26n0574_001:0952b14	如是之者方知一切處此真仙菩薩未甞不在同	如 是 之 者 方 知 一 切 處 此 真 仙 菩 薩 未 甞 不 在 同 
X26n0574_001:0952b15	坐同行同歡同笑寸步不曾相離只是自家昧了	坐 同 行 同 歡 同 笑 寸 步 不 曾 相 離 只 是 自 家 昧 了 
X26n0574_001:0952b16	　要見此菩薩麼　咦　雖然出入無踪跡爍爍	 要 見 此 菩 薩 麼 咦 雖 然 出 入 無 踪 跡 爍 爍 
X26n0574_001:0952b17	光明見也麼。	光 明 見 也 麼 
X26n0574_001:0952b18	　菩薩從來不離身　　自家昧了不相親	 菩 薩 從 來 不 離 身 自 家 昧 了 不 相 親 
X26n0574_001:0952b19	　若能靜坐回光照　　便見生前舊主人	 若 能 靜 坐 回 光 照 便 見 生 前 舊 主 人 
X26n0574_001:0952b20	行。	行 
X26n0574_001:0952b21	行者脩行也路徑崎嶇不脩難行　且脩是脩心	行 者 脩 行 也 路 徑 崎 嶇 不 脩 難 行 且 脩 是 脩 心 
X26n0574_001:0952b22	向道行是行善歸真如人修路相似去礙路荊棘	向 道 行 是 行 善 歸 真 如 人 修 路 相 似 去 礙 路 荊 棘 
X26n0574_001:0952b23	除當道頑石高者斷之低者填之打掃潔淨便坦	除 當 道 頑 石 高 者 斷 之 低 者 填 之 打 掃 潔 淨 便 坦 
X26n0574_001:0952b24	然平穩人之心地亦要如此下功去一切損人利	然 平 穩 人 之 心 地 亦 要 如 此 下 功 去 一 切 損 人 利 
X26n0574_001:0952c01	己之心如去礙路荊棘相似礙登途穩步除一切	己 之 心 如 去 礙 路 荊 棘 相 似 礙 登 途 穩 步 除 一 切 
X26n0574_001:0952c02	襍念障道因緣如除當道頑石一同得進身平正	襍 念 障 道 因 緣 如 除 當 道 頑 石 一 同 得 進 身 平 正 
X26n0574_001:0952c03	損大過補不及令得均平屏垢心絕染污打併清	損 大 過 補 不 及 令 得 均 平 屏 垢 心 絕 染 污 打 併 清 
X26n0574_001:0952c04	淨此乃脩行初入門之要也非在口說亦非足行	淨 此 乃 脩 行 初 入 門 之 要 也 非 在 口 說 亦 非 足 行 
X26n0574_001:0952c05	全憑心地下功　仙真云心地下功全拋世事。	全 憑 心 地 下 功 仙 真 云 心 地 下 功 全 拋 世 事 
X26n0574_001:0952c06	釋云心地法門非在舌辨　儒云說不如行行不	釋 云 心 地 法 門 非 在 舌 辨 儒 云 說 不 如 行 行 不 
X26n0574_001:0952c07	如到此也又要看這一步從何而起若知起處便	如 到 此 也 又 要 看 這 一 步 從 何 而 起 若 知 起 處 便 
X26n0574_001:0952c08	知生死根源　昔日劉海月參白雲師父拜而問	知 生 死 根 源 昔 日 劉 海 月 參 白 雲 師 父 拜 而 問 
X26n0574_001:0952c09	曰弟子念慮降伏不住如何師問云是誰念慮答	曰 弟 子 念 慮 降 伏 不 住 如 何 師 問 云 是 誰 念 慮 答 
X26n0574_001:0952c10	弟子師云是誰降伏海月似省不省沉吟微笑師	弟 子 師 云 是 誰 降 伏 海 月 似 省 不 省 沉 吟 微 笑 師 
X26n0574_001:0952c11	云來去都由你閙好沒主宰若是敵他不過即便	云 來 去 都 由 你 閙 好 沒 主 宰 若 是 敵 他 不 過 即 便 
X26n0574_001:0952c12	放下更要知他放下的是誰若識得自有主宰便	放 下 更 要 知 他 放 下 的 是 誰 若 識 得 自 有 主 宰 便 
X26n0574_001:0952c13	不被他瞞過海月遂省禮謝而已　又石霜和尚	不 被 他 瞞 過 海 月 遂 省 禮 謝 而 已 又 石 霜 和 尚 
X26n0574_001:0952c14	問石頭和尚舉念不停時如何石頭咄云是誰舉	問 石 頭 和 尚 舉 念 不 停 時 如 何 石 頭 咄 云 是 誰 舉 
X26n0574_001:0952c15	念石霜於此大悟但只如此體究念念不離於當	念 石 霜 於 此 大 悟 但 只 如 此 體 究 念 念 不 離 於 當 
X26n0574_001:0952c16	處舉意思慮語言知覺細細審觀從何而出　古	處 舉 意 思 慮 語 言 知 覺 細 細 審 觀 從 何 而 出 古 
X26n0574_001:0952c17	云欲知佛去處只這語言是　道云要知本性根	云 欲 知 佛 去 處 只 這 語 言 是 道 云 要 知 本 性 根 
X26n0574_001:0952c18	由不離言語動靜　寶公云未了之人聽一言秪	由 不 離 言 語 動 靜 寶 公 云 未 了 之 人 聽 一 言 秪 
X26n0574_001:0952c19	這如今誰動口然雖如是說開向上更有妙處不	這 如 今 誰 動 口 然 雖 如 是 說 開 向 上 更 有 妙 處 不 
X26n0574_001:0952c20	脩不行不能自到若果到家鄉則罷問程矣　且	脩 不 行 不 能 自 到 若 果 到 家 鄉 則 罷 問 程 矣 且 
X26n0574_001:0952c21	道家鄉遠近　迷則千山萬水隔　悟則回頭便	道 家 鄉 遠 近 迷 則 千 山 萬 水 隔 悟 則 回 頭 便 
X26n0574_001:0952c22	是家　理會得麼。	是 家 理 會 得 麼 
X26n0574_001:0952c23	　起初行處認教真　　若還失脚喪其身	 起 初 行 處 認 教 真 若 還 失 脚 喪 其 身 
X26n0574_001:0952c24	　踏得故鄉田地穩　　做箇逍遙自在人	 踏 得 故 鄉 田 地 穩 做 箇 逍 遙 自 在 人 
X26n0574_001:0953a01	深。	深 
X26n0574_001:0953a02	深者幽微玄妙徹骨徹髓處也若要到此田地須	深 者 幽 微 玄 妙 徹 骨 徹 髓 處 也 若 要 到 此 田 地 須 
X26n0574_001:0953a03	是打併輕快方可　道云損之又損之以至於無	是 打 併 輕 快 方 可 道 云 損 之 又 損 之 以 至 於 無 
X26n0574_001:0953a04	為　釋云放下又放下自然身心輕快　儒云苟	為 釋 云 放 下 又 放 下 自 然 身 心 輕 快 儒 云 苟 
X26n0574_001:0953a05	日新日日新又日新　要如此者須去靜坐日夜	日 新 日 日 新 又 日 新 要 如 此 者 須 去 靜 坐 日 夜 
X26n0574_001:0953a06	打掃直至掃無可掃寸絲不掛如父母未生前燒	打 掃 直 至 掃 無 可 掃 寸 絲 不 掛 如 父 母 未 生 前 燒 
X26n0574_001:0953a07	了一般　古云貼體汗衫都脫却反求諸己廓然	了 一 般 古 云 貼 體 汗 衫 都 脫 却 反 求 諸 己 廓 然 
X26n0574_001:0953a08	無自然到家　且道不得還家者何也　呀　日	無 自 然 到 家 且 道 不 得 還 家 者 何 也 呀 日 
X26n0574_001:0953a09	晚程途遠　身困擔兒沉　省也麼。	晚 程 途 遠 身 困 擔 兒 沉 省 也 麼 
X26n0574_001:0953a10	　大道家鄉本不深　　世人擔重自難尋	 大 道 家 鄉 本 不 深 世 人 擔 重 自 難 尋 
X26n0574_001:0953a11	　若能放下渾無物　　便見靈山佛祖心	 若 能 放 下 渾 無 物 便 見 靈 山 佛 祖 心 
X26n0574_001:0953a12	般若。	般 若 
X26n0574_001:0953a13	般若者西天梵語也東土翻為智慧　大凡為人	般 若 者 西 天 梵 語 也 東 土 翻 為 智 慧 大 凡 為 人 
X26n0574_001:0953a14	須要自生智慧若無智慧真是愚人空過一生甘	須 要 自 生 智 慧 若 無 智 慧 真 是 愚 人 空 過 一 生 甘 
X26n0574_001:0953a15	伏死門有一等無智之人以聰明謂之智慧大錯	伏 死 門 有 一 等 無 智 之 人 以 聰 明 謂 之 智 慧 大 錯 
X26n0574_001:0953a16	矣且聰明之人賣弄精細役使心神出言如飛龍	矣 且 聰 明 之 人 賣 弄 精 細 役 使 心 神 出 言 如 飛 龍 
X26n0574_001:0953a17	俊鷂行持如跛鱉病龜貪利圖名以麤作細看世	俊 鷂 行 持 如 跛 鱉 病 龜 貪 利 圖 名 以 麤 作 細 看 世 
X26n0574_001:0953a18	財如骨如髓棄性命若糞若土只知明日後日今	財 如 骨 如 髓 棄 性 命 若 糞 若 土 只 知 明 日 後 日 今 
X26n0574_001:0953a19	年後年不知老之將至死限臨頭可惜空過時光	年 後 年 不 知 老 之 將 至 死 限 臨 頭 可 惜 空 過 時 光 
X26n0574_001:0953a20	虗勞一世似此所為生死輪迴如何脫得　有	虗 勞 一 世 似 此 所 為 生死輪迴 如 何 脫 得 有 
X26n0574_001:0953a21	智之人外如愚魯內默安詳識有生有死悟無得	智 之 人 外 如 愚 魯 內 默 安 詳 識 有 生 有 死 悟 無 得 
X26n0574_001:0953a22	而無失常自諦觀生從何來死從何往發此一念	而 無 失 常 自 諦 觀 生 從 何 來 死 從 何 往 發 此 一 念 
X26n0574_001:0953a23	親近知識參問至人求出世之法逃生死之路避	親 近 知 識 參 問 至 人 求 出 世 之 法 逃 生 死 之 路 避 
