X58n1010_001:0485c03	 勸發菩提心文序	 勸 發菩提心 文 序 
X58n1010_001:0487b01	不起二乘之心。願普與一切眾生。同體速成正覺。所	不 起 二 乘 之 心 願 普 與 一 切 眾 生 同 體 速 成 正 覺 所 
X58n1010_001:0487b02	修善業。一一回向阿耨多羅三藐三菩提。所勸眾生。	修 善 業 一 一 回 向 阿耨多羅三藐三菩提 所 勸 眾 生 
X58n1010_001:0487b03	一一令發無上道意。常修寶海梵志廣大悲願力。雖	一 一 令 發 無 上 道 意 常 修 寶 海 梵 志 廣 大 悲 願 力 雖 
X58n1010_001:0487b04	未及常運此心。念念相續。不令間斷。能持此心否。若	未 及 常 運 此 心 念 念 相 續 不 令 間 斷 能 持 此 心 否 若 
X58n1010_001:0487b05	持此心。則永不退失阿耨多羅三藐三菩提。	持 此 心 則 永 不 退 失 阿耨多羅三藐三菩提 
X58n1010_001:0487b06	次勸結菩提道俗	次 勸 結 菩 提 道 俗 
X58n1010_001:0487b07	普告大眾。若僧若俗。從今身至佛身。與同發菩提心	普 告 大 眾 若 僧 若 俗 從 今 身 至 佛 身 與 同 發菩提心 
X58n1010_001:0487b08	道俗。生生世世不相捨離。同願同心。同行同德。各修	道 俗 生生世世 不相捨離 同 願 同 心 同 行 同 德 各 修 
X58n1010_001:0487b09	定慧。分化眾生。或為兄弟。或為師長。迭相勸發。彼此	定 慧 分 化 眾 生 或 為 兄 弟 或 為 師 長 迭 相 勸 發 彼 此 
X58n1010_001:0487b10	護持。一人失路即同拯拔。一人證道即共歸依。永無	護 持 一 人 失 路 即 同 拯 拔 一 人 證 道 即 共 歸 依 永 無 
X58n1010_001:0487b11	猒倦。不相捨離。能持此心否。若持此心。則永不退失	猒 倦 不相捨離 能 持 此 心 否 若 持 此 心 則 永 不 退 失 
X58n1010_001:0487b12	阿耨多羅三藐三菩提。	阿耨多羅三藐三菩提 
X58n1010_001:0487b13	次勸通圓頓經典	次 勸 通 圓 頓 經 典 
X58n1010_001:0487b14	普告大眾。若僧若俗。既已發菩提大心。運菩提大行。	普 告 大 眾 若 僧 若 俗 既 已 發 菩 提 大 心 運 菩 提 大 行 
X58n1010_001:0487b15	若不徹菩提心體。未合菩提法源。雖已發心。必滯摧	若 不 徹 菩 提 心 體 未 合 菩 提 法 源 雖 已 發 心 必 滯 摧 
X58n1010_001:0487b16	小。故須先悟圓明淨覺。本無無明。幻翳空華。俱非實	小 故 須 先 悟 圓 明 淨 覺 本 無 無 明 幻 翳 空 華 俱 非 實 
X58n1010_001:0487b17	體。遠離執取。平如虗空。常於寂照。心中流出廣大大	體 遠 離 執 取 平 如 虗 空 常 於 寂 照 心 中 流 出 廣 大 大 
X58n1010_001:0487b18	悲智。如此則不滯諸相。不墮二邊。始為菩提正因。方	悲 智 如 此 則 不 滯 諸 相 不墮二邊 始 為 菩 提 正 因 方 
X58n1010_001:0487b19	免枉受勞苦。若金剛圓覺。簡妙通明。華嚴涅槃。廣大	免 枉 受 勞 苦 若 金 剛 圓 覺 簡 妙 通 明 華 嚴 涅 槃 廣 大 
X58n1010_001:0487b20	具足。儻同我志。竝望通經。	具 足 儻 同 我 志 竝 望 通 經 
X58n1010_001:0487b21	次明一切助菩提法	次 明 一 切 助 菩 提 法 
X58n1010_001:0487b22	寶海梵志。勸無量人發阿耨多羅三藐三菩提心。取	寶 海 梵 志 勸 無 量 人 發 阿耨多羅三藐三菩提 心 取 
X58n1010_001:0487b23	佛世界皆得受記。復勸三億弟子令其發心。中有一	佛 世 界 皆 得 受 記 復 勸 三 億 弟 子 令 其 發 心 中 有 一 
X58n1010_001:0487b24	人名曰樹提。白言。尊者云何菩提。云何助菩提法。云	人 名 曰 樹 提 白 言 尊 者 云 何 菩 提 云 何 助 菩 提 法 云 
X58n1010_001:0487c01	何菩薩修行菩提。云何繫念得於菩提。爾時。其師報	何 菩薩修行 菩 提 云 何 繫 念 得 於 菩 提 爾 時 其 師 報 
X58n1010_001:0487c02	言。菩提者。即是菩薩之所修集四無量藏。所謂無盡	言 菩 提 者 即 是 菩 薩 之 所 修 集 四 無 量 藏 所 謂 無 盡 
X58n1010_001:0487c03	福德藏。無盡智藏。無盡慧藏。無盡佛法和合藏。是名	福 德 藏 無 盡 智 藏 無 盡 慧 藏 無 盡 佛 法 和 合 藏 是 名 
X58n1010_001:0487c04	菩提。如佛所說助菩提法。所謂攝取清淨度生死法	菩 提 如 佛 所 說 助 菩 提 法 所 謂 攝 取 清 淨 度 生 死 法 
X58n1010_001:0487c05	門。善男子捨財是助菩提法。調伏眾生。故持戒是助	門 善 男 子 捨 財 是 助 菩 提 法 調 伏 眾 生 故 持 戒 是 助 
X58n1010_001:0487c06	菩提法。隨其所願得成就。故忍辱是助菩提法。三十	菩 提 法 隨 其 所 願 得 成 就 故 忍 辱 是 助 菩 提 法 三 十 
X58n1010_001:0487c07	二相八十隨形好具足。故精進是助菩提法。具足一	二 相 八十隨形好 具 足 故 精 進 是 助 菩 提 法 具 足 一 
X58n1010_001:0487c08	切諸事。故禪定是助菩提法。其心當得善調伏。故智	切 諸 事 故 禪 定 是 助 菩 提 法 其 心 當 得 善 調 伏 故 智 
X58n1010_001:0487c09	慧是助菩提法。知一切諸煩惱。故多聞是助菩提法。	慧 是 助 菩 提 法 知 一 切 諸 煩 惱 故 多 聞 是 助 菩 提 法 
X58n1010_001:0487c10	得無礙辨。故福德是助菩提法。一切眾生之所須。故	得 無 礙 辨 故 福 德 是 助 菩 提 法 一 切 眾 生 之 所 須 故 
X58n1010_001:0487c11	思惟是助菩提法。成就斷疑。故慈心是助菩提法。成	思 惟 是 助 菩 提 法 成 就 斷 疑 故 慈 心 是 助 菩 提 法 成 
X58n1010_001:0487c12	就無礙心。故悲心是助菩提法。教化眾生無厭足。故	就 無 礙 心 故 悲 心 是 助 菩 提 法 教 化 眾 生 無 厭 足 故 
X58n1010_001:0487c13	喜心是助菩提法。於正法中生愛樂。故捨心是助菩	喜 心 是 助 菩 提 法 於 正 法 中 生 愛 樂 故 捨 心 是 助 菩 
X58n1010_001:0487c14	提法。成就斷於愛憎。故聽法是助菩提法。成就滅五	提 法 成 就 斷 於 愛 憎 故 聽 法 是 助 菩 提 法 成 就 滅 五 
X58n1010_001:0487c15	葢。故出世是助菩提法。捨除一切世間。故阿蘭若是	葢 故 出 世 是 助 菩 提 法 捨 除 一切世間 故 阿 蘭 若 是 
X58n1010_001:0487c16	助菩提法。滅不善業。故隨喜是助菩提法。增長善根。	助 菩 提 法 滅 不 善 業 故 隨 喜 是 助 菩 提 法 增 長 善 根 
X58n1010_001:0487c17	故念處是助菩提法。分別身受心法成就。故正勤是	故 念 處 是 助 菩 提 法 分 別 身 受 心 法 成 就 故 正 勤 是 
X58n1010_001:0487c18	助菩提法。離一切不善法行一切善法。故如意足是	助 菩 提 法 離 一 切 不 善 法 行 一 切 善 法 故 如 意 足 是 
X58n1010_001:0487c19	助菩提法。成就身心輕利。故諸根是助菩提法。摧滅	助 菩 提 法 成 就 身 心 輕 利 故 諸 根 是 助 菩 提 法 摧 滅 
X58n1010_001:0487c20	一切煩惱。故覺是助菩提法。覺如實法。故六和是助	一切煩惱 故 覺 是 助 菩 提 法 覺 如 實 法 故 六 和 是 助 
X58n1010_001:0487c21	菩提法。調伏眾生令清淨。故是名攝取清淨度生死	菩 提 法 調 伏 眾 生 令 清 淨 故 是 名 攝 取 清 淨 度 生 死 
X58n1010_001:0487c22	法門。如是修行。即繫念得菩提也。如是等菩提心。今	法 門 如 是 修 行 即 繫 念 得 菩 提 也 如 是 等 菩 提 心 今 
X58n1010_001:0487c23	應生欲。是道清淨。是道無漏。是道正直。是道安穩。汝等	應 生 欲 是 道 清 淨 是 道 無 漏 是 道 正 直 是 道 安 穩 汝 等 
X58n1010_001:0487c24	應當專心作大誓願。取莊嚴佛土。隨意所求(莊嚴佛土各各	應 當 專 心 作 大 誓 願 取 莊 嚴 佛 土 隨 意 所 求 莊 嚴 佛 土 各 各 
X58n1010_001:0488a01	不同也。或取淨土或取穢土。具在悲華經中)。	不 同 也 或 取 淨 土 或 取 穢 土 具 在 悲 華 經 中 
X58n1010_001:0488a02	次明菩薩四懈怠法	次 明 菩 薩 四 懈 怠 法 
X58n1010_001:0488a03	寶藏如來告毗舍那無垢言。菩薩有四懈怠。若菩薩	寶 藏 如 來 告 毗 舍 那 無 垢 言 菩 薩 有 四 懈 怠 若 菩 薩 
X58n1010_001:0488a04	成就四法。於生死獄。受諸苦惱。不能疾成阿耨多羅	成 就 四 法 於 生 死 獄 受諸苦惱 不 能 疾 成 阿 耨 多 羅 
X58n1010_001:0488a05	三藐三菩提。何等為四。所謂下行。下伴。下施。下願。云	三藐三菩提 何 等 為 四 所 謂 下 行 下 伴 下 施 下 願 云 
X58n1010_001:0488a06	何下行。或有菩薩破口身戒不善護業。是名下行。云	何 下 行 或 有 菩 薩 破 口 身 戒 不 善 護 業 是 名 下 行 云 
X58n1010_001:0488a07	何下伴。親近聲聞及辟支佛共與同事。是名下伴。云	何 下 伴 親 近 聲 聞 及 辟 支 佛 共 與 同 事 是 名 下 伴 云 
X58n1010_001:0488a08	何下施。不能一切捨諸所有。於受者中心生分別。為	何 下 施 不 能 一 切 捨 諸 所 有 於 受 者 中 心 生 分 別 為 
X58n1010_001:0488a09	得天上快樂。故而行布施。是名下施。云何下願。不能	得 天 上 快 樂 故 而 行 布 施 是 名 下 施 云 何 下 願 不 能 
X58n1010_001:0488a10	一心願取諸佛淨妙世界。所作誓願不能調伏眾生。	一 心 願 取 諸 佛 淨 妙 世 界 所 作 誓 願 不 能 調 伏 眾 生 
X58n1010_001:0488a11	是名下願(出慈華經)。	是 名 下 願 出 慈 華 經 
X58n1010_001:0488a12	次明菩薩四速疾法	次 明 菩 薩 四 速 疾 法 
X58n1010_001:0488a13	復有四法。菩薩成就。則能疾成阿耨多羅三藐三菩	復 有 四 法 菩 薩 成 就 則 能 疾 成 阿 耨 多 羅 三 藐 三 菩 
