T52n2110_001:0489c14	辯正論序	辯 正 論 序 
T52n2110_001:0490b23	極太素太一名別其理一也。易緯通卦云。大極是生兩儀。言氣清輕者上為天。濁重者下為地。以人參之謂之三	極 太 素 太 一 名 別 其 理 一 也 易 緯 通 卦 云 大 極 是 生 兩 儀 言 氣 清 輕 者 上 為 天 濁 重 者 下 為 地 以 人 參 之 謂 之 三 
T52n2110_001:0490b24	才。易序卦云。有天地萬物。然後立君臣。定父子長幼夫婦之禮尊卑上下之別也)自然之化已	才 易 序 卦 云 有 天 地 萬 物 然 後 立 君 臣 定 父 子 長 幼 夫 婦 之 禮 尊 卑 上 下 之 別 也 自 然 之 化 已 
T52n2110_001:0490b25	興。無為之風廣被(河圖括地象云。天地初立。有天皇氏。澹泊自然與極同道。身佩	興 無 為 之 風 廣 被 河 圖 括 地 象 云 天 地 初 立 有 天 皇 氏 澹 泊 自 然 與 極 同 道 身 佩 
T52n2110_001:0490b26	九翼。以木德王。無所施為自然而化。開山圖云。地皇興於熊耳龍門之山。以火德王。命曆序云。人皇駕六羽。	九 翼 以 木 德 王 無 所 施 為 自 然 而 化 開 山 圖 云 地 皇 興 於 熊 耳 龍 門 之 山 以 火 德 王 命 曆 序 云 人 皇 駕 六 羽 
T52n2110_001:0490b27	乘雲車出谷口。分九州長天下。兄弟九人。依山川地勢分為九域。各居一州。帝系譜云。天皇治各一萬八千歲。地	乘 雲 車 出 谷 口 分 九 州 長 天 下 兄 弟 九 人 依 山 川 地 勢 分 為 九 域 各 居 一 州 帝 系 譜 云 天 皇 治 各 一 萬 八 千 歲 地 
T52n2110_001:0490c01	皇凡一百五十世治天下。合五萬四千歲。次五龍氏皇伯皇仲皇叔皇季皇少。兄弟五人。並乘龍上下。凡一百八十	皇 凡 一 百 五 十 世 治 天 下 合 五 萬 四 千 歲 次 五 龍 氏 皇 伯 皇 仲 皇 叔 皇 季 皇 少 兄 弟 五 人 並 乘 龍 上 下 凡 一 百 八 十 
T52n2110_001:0490c02	世治天下。合九百二十七萬三千六百年。即靈威仰等五神是也。次有神農氏。駕六龍甄度四海寒暑均以布人	世 治 天 下 合 九 百 二 十 七 萬 三 千 六 百 年 即 靈 威 仰 等 五 神 是 也 次 有 神 農 氏 駕 六 龍 甄 度 四 海 寒 暑 均 以 布 人 
T52n2110_001:0490c03	民通風雨。凡十世各治九百歲。次有四姓。次有不終一世次有七十二姓。次有三姓。或乘飛羊飛鹿。始教民穴處。	民 通 風 雨 凡 十 世 各 治 九 百 歲 次 有 四 姓 次 有 不 終 一 世 次 有 七 十 二 姓 次 有 三 姓 或 乘 飛 羊 飛 鹿 始 教 民 穴 處 
T52n2110_001:0490c04	食鳥獸肉。衣皮毛衣。次有巢氏駕龍麟乘鳳虎。構木為巢教民居之。以避禽獸之害。次燧人氏。教民鑽燧出火變生	食 鳥 獸 肉 衣 皮 毛 衣 次 有 巢 氏 駕 龍 麟 乘 鳳 虎 構 木 為 巢 教 民 居 之 以 避 禽 獸 之 害 次 燧 人 氏 教 民 鑽 燧 出 火 變 生 
T52n2110_001:0490c05	為熟。以避腥臊之屬。鑄作金刃而民大悅。此凡六紀有九十三代。一千二百八十九世。合一千一十萬一千八百	為 熟 以 避 腥 臊 之 屬 鑄 作 金 刃 而 民 大 悅 此 凡 六 紀 有 九 十 三 代 一 千 二 百 八 十 九 世 合 一 千 一 十 萬 一 千 八 百 
T52n2110_001:0490c06	四十年。自天化下總謂三皇也)次則蛇軀牛首之聖(六藝論云。太昊帝庖犧氏姓風。	四 十 年 自 天 化 下 總 謂 三 皇 也 次 則 蛇 軀 牛 首 之 聖 六 藝 論 云 太 昊 帝 庖 犧 氏 姓 風 
T52n2110_001:0490c07	蛇身人首。有聖德。燧人歿宓羲皇生。其世有五十九姓。羲皇始序制。作法度。皆以木德王也。制嫁娶之禮。受龍	蛇 身 人 首 有 聖 德 燧 人 歿 宓 羲 皇 生 其 世 有 五 十 九 姓 羲 皇 始 序 制 作 法 度 皆 以 木 德 王 也 制 嫁 娶 之 禮 受 龍 
T52n2110_001:0490c08	圖。以龍紀官。故曰龍師。在位合一萬一千一十二年。炎帝神農氏姓姜。人身牛首。有火瑞。即以火德王。有七世	圖 以 龍 紀 官 故 曰 龍 師 在 位 合 一 萬 一 千 一 十 二 年 炎 帝 神 農 氏 姓 姜 人 身 牛 首 有 火 瑞 即 以 火 德 王 有 七 世 
T52n2110_001:0490c09	合五百年也)珠衡日角之皇(六藝論云。軒皇姓公孫二十五月而生。有珠衡日角之相。以	合 五 百 年 也 珠 衡 日 角 之 皇 六 藝 論 云 軒 皇 姓 公 孫 二 十 五 月 而 生 有 珠 衡 日 角 之 相 以 
T52n2110_001:0490c10	土德王天下。建寅月為歲首。生子二十五人。有十二姓。凡十三世。合治一千七十二年。夢受帝籙。遂與天老巡	土 德 王 天 下 建 寅 月 為 歲 首 生 子 二 十 五 人 有 十 二 姓 凡 十 三 世 合 治 一 千 七 十 二 年 夢 受 帝 籙 遂 與 天 老 巡 
T52n2110_001:0490c11	河而受之。得河圖書師於牧馬小童拜廣成丈人於崆峒山。帝王世紀云三皇之世。合二萬二百九十七年也)	河 而 受 之 得 河 圖 書 師 於 牧 馬 小 童 拜 廣 成 丈 人 於 崆 峒 山 帝 王 世 紀 云 三 皇 之 世 合 二 萬 二 百 九 十 七 年 也 
T52n2110_001:0490c12	始畫八卦而重八純(河圖括地象曰宓羲氏仰觀象於天。俯察法於地。始畫八卦。以	始 畫 八 卦 而 重 八 純 河 圖 括 地 象 曰 宓 羲 氏 仰 觀 象 於 天 俯 察 法 於 地 始 畫 八 卦 以 
T52n2110_001:0490c13	通神明之德。神農氏。重八卦為六十四焉)設雲官而陳鳥紀(六藝論云。軒	通 神 明 之 德 神 農 氏 重 八 卦 為 六 十 四 焉 設 雲 官 而 陳 鳥 紀 六 藝 論 云 軒 
T52n2110_001:0490c14	皇有景雲之瑞。用雲紀官。少昊帝有鳳鳥之瑞。故以鳥名官焉)教畋漁以濟俗。作	皇 有 景 雲 之 瑞 用 雲 紀 官 少 昊 帝 有 鳳 鳥 之 瑞 故 以 鳥 名 官 焉 教 畋 漁 以 濟 俗 作 
T52n2110_001:0490c15	耒耜以資民(六藝論云。宓羲氏為網罟以畋以漁。取犧牲以充庖廚。故曰庖犧氏。神農斷木為	耒 耜 以 資 民 六 藝 論 云 宓 羲 氏 為 網 罟 以 畋 以 漁 取 犧 牲 以 充 庖 廚 故 曰 庖 犧 氏 神 農 斷 木 為 
T52n2110_001:0490c16	耜。揉木為耒始教天下種五穀。故號為神農氏)立市(神農所建也)鑄器服牛乘	耜 揉 木 為 耒 始 教 天 下 種 五 穀 故 號 為 神 農 氏 立 市 神 農 所 建 也 鑄 器 服 牛 乘 
T52n2110_001:0490c17	馬。營宮室垂衣裳。為杵臼置舟檝。模鳥跡以	馬 營 宮 室 垂 衣 裳 為 杵 臼 置 舟 檝 模 鳥 跡 以 
T52n2110_001:0490c18	造文字。因化通而裁禮樂(並黃帝時也。六藝論云。黃帝佐官有七人。蒼頡	造 文 字 因 化 通 而 裁 禮 樂 並 黃 帝 時 也 六 藝 論 云 黃 帝 佐 官 有 七 人 蒼 頡 
T52n2110_001:0490c19	造書字。大撓造甲子。隸首造算數。容成造曆岐伯造醫方。鬼申區造占候。奚仲造車作律管。興墠壇禮也)	造 書 字 大 撓 造 甲 子 隸 首 造 算 數 容 成 造 曆 岐 伯 造 醫 方 鬼 申 區 造 占 候 奚 仲 造 車 作 律 管 興 墠 壇 禮 也 
T52n2110_001:0490c20	暨乎翼善傳聖之君。仁盛聖明之后。舉八元	暨 乎 翼 善 傳 聖 之 君 仁 盛 聖 明 之 后 舉 八 元 
T52n2110_001:0490c21	八愷之職(舜攝政舉高陽氏高辛氏。才子各八人。以掌司牧之任也)命羲和	八 愷 之 職 舜 攝 政 舉 高 陽 氏 高 辛 氏 才 子 各 八 人 以 掌 司 牧 之 任 也 命 羲 和 
T52n2110_001:0490c22	羲仲之官(羲氏和氏。為堯掌日月四時之官也)種百穀以勤農(后稷播種百穀)	羲 仲 之 官 羲 氏 和 氏 為 堯 掌 日 月 四 時 之 官 也 種 百 穀 以 勤 農 后 稷 播 種 百 穀 
T52n2110_001:0490c23	敷五教以軌物。允恭克讓庶績咸熙。協和萬	敷 五 教 以 軌 物 允 恭 克 讓 庶 績 咸 熙 協 和 萬 
T52n2110_001:0490c24	邦平章百姓。流四凶於四裔。竄三苗於三	邦 平 章 百 姓 流 四 凶 於 四 裔 竄 三 苗 於 三 
T52n2110_001:0491a01	危(渾沌檮杌窮奇饕餮。為四凶也。堯流之於國四外。有苗氏叛。舜放之於三危之山也)調律呂	危 渾 沌 檮 杌 窮 奇 饕 餮 為 四 凶 也 堯 流 之 於 國 四 外 有 苗 氏 叛 舜 放 之 於 三 危 之 山 也 調 律 呂 
T52n2110_001:0491a02	以暢八風。察璇璣以齊七政。夏禹導九河(代父	以 暢 八 風 察 璇 璣 以 齊 七 政 夏 禹 導 九 河 代 父 
T52n2110_001:0491a03	治水。平九州名山大川。受洪範九疇於河神。獲地理於洞府。九州貢銅鑄作九鼎。以八家為隣。三隣為明。三明為	治 水 平 九 州 名 山 大 川 受 洪 範 九 疇 於 河 神 獲 地 理 於 洞 府 九 州 貢 銅 鑄 作 九 鼎 以 八 家 為 隣 三 隣 為 明 三 明 為 
T52n2110_001:0491a04	里也)乘四載(陸行乘車。水行乘船。泥行乘橇。山行乘輦)任土作貢疎山奠	里 也 乘 四 載 陸 行 乘 車 水 行 乘 船 泥 行 乘 橇 山 行 乘 輦 任 土 作 貢 疎 山 奠 
T52n2110_001:0491a05	川。殷王伐罪弔民(有黃魚黑鳥集于壇。化為黑玉。乃伐桀。色尚黑白。遷九鼎於毫以百	川 殷 王 伐 罪 弔 民 有 黃 魚 黑 鳥 集 于 壇 化 為 黑 玉 乃 伐 桀 色 尚 黑 白 遷 九 鼎 於 毫 以 百 
T52n2110_001:0491a06	戶為里也)平暴靜亂。解網剪髮。拯溺救焚。爰至赫	戶 為 里 也 平 暴 靜 亂 解 網 剪 髮 拯 溺 救 焚 爰 至 赫 
T52n2110_001:0491a07	赫隆周濟濟多士。關睢麟趾之德(季歷妃大任夢長人感已而生	赫 隆 周 濟 濟 多 士 關 睢 麟 趾 之 德 季 歷 妃 大 任 夢 長 人 感 已 而 生 
T52n2110_001:0491a08	文王。文王妃大姒生武王發。建子之月為歲首色尚赤。以五家為隣。畿內則有比閭族黨州鄉。周公居攝罪人斯	文 王 文 王 妃 大 姒 生 武 王 發 建 子 之 月 為 歲 首 色 尚 赤 以 五 家 為 隣 畿 內 則 有 比 閭 族 黨 州 鄉 周 公 居 攝 罪 人 斯 
T52n2110_001:0491a09	得。秋有雷風之變。偃禾拔木。啟金縢之書。遂迎周公。卜宅於洛。度土定鼎。制禮作樂。死於鄷葬於畢。關睢稱	得 秋 有 雷 風 之 變 偃 禾 拔 木 啟 金 縢 之 書 遂 迎 周 公 卜 宅 於 洛 度 土 定 鼎 制 禮 作 樂 死 於 鄷 葬 於 畢 關 睢 稱 
T52n2110_001:0491a10	王后之德。麟趾興仁人之族名也)周南邵南之風(言周邵風化自北而南也)列五	王 后 之 德 麟 趾 興 仁 人 之 族 名 也 周 南 邵 南 之 風 言 周 邵 風 化 自 北 而 南 也 列 五 
T52n2110_001:0491a11	行六正之儀(木金水火土為五行。預見來事。進善舉賢。恭勤不墮。明察法律。辭祿讓賜。君失	行 六 正 之 儀 木 金 水 火 土 為 五 行 預 見 來 事 進 善 舉 賢 恭 勤 不 墮 明 察 法 律 辭 祿 讓 賜 君 失 
T52n2110_001:0491a12	則諫。是為六政也)布九田四井之法(三等為九田。三屋為四井)陳服錫	則 諫 是 為 六 政 也 布 九 田 四 井 之 法 三 等 為 九 田 三 屋 為 四 井 陳 服 錫 
T52n2110_001:0491a13	之禮(敘五等之服制九錫之禮也)廣革車之節(通十為城。城出革車一乘)為世	之 禮 敘 五 等 之 服 制 九 錫 之 禮 也 廣 革 車 之 節 通 十 為 城 城 出 革 車 一 乘 為 世 
T52n2110_001:0491a14	揩範作物典謨。遐逖闊逈年移三古。曠遠綿	揩 範 作 物 典 謨 遐 逖 闊 逈 年 移 三 古 曠 遠 綿 
T52n2110_001:0491a15	邈時經百王。聖德所覃神化所洽。龍庭鳳穴	邈 時 經 百 王 聖 德 所 覃 神 化 所 洽 龍 庭 鳳 穴 
T52n2110_001:0491a16	候氣輸賝。日域麟洲占風欵塞。泉露呈其珍	候 氣 輸 賝 日 域 麟 洲 占 風 欵 塞 泉 露 呈 其 珍 
T52n2110_001:0491a17	味。草木變其嘉形。燕頷魚身。昭彰於羽族。	味 草 木 變 其 嘉 形 燕 頷 魚 身 昭 彰 於 羽 族 
T52n2110_001:0491a18	狼蹄牛尾。輝煥於毛群。惟德動天休徵允集。	狼 蹄 牛 尾 輝 煥 於 毛 群 惟 德 動 天 休 徵 允 集 
T52n2110_001:0491a19	元首延明哉之美。股肱肆良哉之歌。周卜永	元 首 延 明 哉 之 美 股 肱 肆 良 哉 之 歌 周 卜 永 
T52n2110_001:0491a20	年殷稱奕葉。其為道也。人倫稟以利建。庶物	年 殷 稱 奕 葉 其 為 道 也 人 倫 稟 以 利 建 庶 物 
T52n2110_001:0491a21	資以有生。邦國賴以無他。君臣藉以致治。德	資 以 有 生 邦 國 賴 以 無 他 君 臣 藉 以 致 治 德 
T52n2110_001:0491a22	教天下化被華夷。道貫五天恩加百姓。立功立	教 天 下 化 被 華 夷 道 貫 五 天 恩 加 百 姓 立 功 立 
T52n2110_001:0491a23	事可大可久。時義備矣。世用足矣。至如李老	事 可 大 可 久 時 義 備 矣 世 用 足 矣 至 如 李 老 
T52n2110_001:0491a24	仙方意存羽化。釋迦梵本期自涅槃。縱體於	仙 方 意 存 羽 化 釋 迦 梵 本 期 自 涅 槃 縱 體 於 
T52n2110_001:0491a25	太清之中。遊神於常樂之境。貴練形以不死。	太 清 之 中 遊 神 於 常 樂 之 境 貴 練 形 以 不 死 
T52n2110_001:0491a26	求寂照於無生。構鵬鷃之寓言。張過未之虛	求 寂 照 於 無 生 構 鵬 鷃 之 寓 言 張 過 未 之 虛 
T52n2110_001:0491a27	說。何異鄒衍談天終歸眇莾。虞丘辯夢徒騁	說 何 異 鄒 衍 談 天 終 歸 眇 莾 虞 丘 辯 夢 徒 騁 
T52n2110_001:0491b01	華詞。今大唐馭極聖皇垂拱。尚賢尚齒貴德	華 詞 今 大 唐 馭 極 聖 皇 垂 拱 尚 賢 尚 齒 貴 德 
T52n2110_001:0491b02	貴仁。反正之化已弘。還淳之風廣扇。理須捨	貴 仁 反 正 之 化 已 弘 還 淳 之 風 廣 扇 理 須 捨 
T52n2110_001:0491b03	繁就簡去偽歸真。愚謂佛道二流在政非急。	繁 就 簡 去 偽 歸 真 愚 謂 佛 道 二 流 在 政 非 急 
T52n2110_001:0491b04	久欲聞奏。請試論之。不揆所疑敢陳未喻。夫	久 欲 聞 奏 請 試 論 之 不 揆 所 疑 敢 陳 未 喻 夫 
T52n2110_001:0491b05	子多識前古深究學源。獻替可否幸詳其要。	子 多 識 前 古 深 究 學 源 獻 替 可 否 幸 詳 其 要 
T52n2110_001:0491b06	於是右學通人斂容峻坐。良久而謂曰。異乎	於 是 右 學 通 人 斂 容 峻 坐 良 久 而 謂 曰 異 乎 
T52n2110_001:0491b07	吾所聞也。論云。觀天之象。則見日月五星	吾 所 聞 也 論 云 觀 天 之 象 則 見 日 月 五 星 
T52n2110_001:0491b08	次度之分。觀地之象。則知百川四瀆所歸之	次 度 之 分 觀 地 之 象 則 知 百 川 四 瀆 所 歸 之 
T52n2110_001:0491b09	處。觀古今之跡。上形太極混元之前。却覩將	處 觀 古 今 之 跡 上 形 太 極 混 元 之 前 却 覩 將 
T52n2110_001:0491b10	來未萌之事。秋毫不疑。乃曰智也。子既知而	來 未 萌 之 事 秋 毫 不 疑 乃 曰 智 也 子 既 知 而 
T52n2110_001:0491b11	故問。余亦述而略說。考周孔六書之訓。忠孝	故 問 余 亦 述 而 略 說 考 周 孔 六 書 之 訓 忠 孝 
T52n2110_001:0491b12	履其端。李老二篇之萌。道德創其首。瞿曇	履 其 端 李 老 二 篇 之 萌 道 德 創 其 首 瞿 曇 
T52n2110_001:0491b13	三藏之文。慈悲為其本。事跡乃異理數不殊。	三 藏 之 文 慈 悲 為 其 本 事 跡 乃 異 理 數 不 殊 
T52n2110_001:0491b14	皆盡美盡善。可崇可慕也。是以談眾妙以虛	皆 盡 美 盡 善 可 崇 可 慕 也 是 以 談 眾 妙 以 虛 
T52n2110_001:0491b15	心。開善權以汲引。吾往嘗見遠遊先生。頗亦	心 開 善 權 以 汲 引 吾 往 嘗 見 遠 遊 先 生 頗 亦 
T52n2110_001:0491b16	聞之。說通方論。具敘三教兼陳九流。先生遁	聞 之 說 通 方 論 具 敘 三 教 兼 陳 九 流 先 生 遁 
T52n2110_001:0491b17	逸巖阿莫知氏諱。容儀閑雅進退可觀。言笑	逸 巖 阿 莫 知 氏 諱 容 儀 閑 雅 進 退 可 觀 言 笑 
T52n2110_001:0491b18	溫弘動止有則。雖語有品藻而志無褒貶。飯	溫 弘 動 止 有 則 雖 語 有 品 藻 而 志 無 褒 貶 飯 
T52n2110_001:0491b19	餌松朮靡測其年。棲寢煙霞熟詳其世。至	餌 松 朮 靡 測 其 年 棲 寢 煙 霞 熟 詳 其 世 至 
T52n2110_001:0491b20	於三古本末煥若鏡中。百氏枝條明如掌內。	於 三 古 本 末 煥 若 鏡 中 百 氏 枝 條 明 如 掌 內 
T52n2110_001:0491b21	窮周孔之令典。究佛道之弘規。察其所懷在	窮 周 孔 之 令 典 究 佛 道 之 弘 規 察 其 所 懷 在 
T52n2110_001:0491b22	乎逍遙齊物。觀其所尚。歸乎平等性空。先生	乎 逍 遙 齊 物 觀 其 所 尚 歸 乎 平 等 性 空 先 生 
