X26n0543_001:0830b17	心經提綱	心 經 提 綱 
X26n0543_001:0830c08	舍利子。是諸法空相。無空可名。何況更有生滅垢淨	舍 利 子 是 諸 法 空 相 無 空 可 名 何 況 更 有 生 滅 垢 淨 
X26n0543_001:0830c09	增減名相。是故。色本不生。空本不滅。說色非垢。說空	增 減 名 相 是 故 色 本 不 生 空 本 不 滅 說 色 非 垢 說 空 
X26n0543_001:0830c10	非淨。在色不增。在空不減。非億之也。空中原無是耳。	非 淨 在 色 不 增 在 空 不 減 非 億 之 也 空 中 原 無 是 耳 
X26n0543_001:0830c11	是故五蘊皆空。無色受想行識也。六根皆空。無眼耳	是 故 五 蘊 皆 空 無 色 受 想 行 識 也 六 根 皆 空 無 眼 耳 
X26n0543_001:0830c12	鼻舌身意也。六塵皆空。無色聲香味觸法也。十八界	鼻 舌 身 意 也 六 塵 皆 空 無 色聲香味觸 法 也 十 八 界 
X26n0543_001:0831a01	皆空。無眼界乃至無意識界也。以至生老病死。明與	皆 空 無 眼 界 乃 至 無 意 識 界 也 以 至 生老病死 明 與 
X26n0543_001:0831a02	無明。四諦智證等皆無所得。此自在菩薩智慧觀照	無 明 四 諦 智 證 等 皆 無 所 得 此 自 在 菩 薩 智 慧 觀 照 
X26n0543_001:0831a03	到無所得之彼岸也如此。所得既無。自然無罣礙恐	到 無 所 得 之 彼 岸 也 如 此 所 得 既 無 自 然 無 罣 礙 恐 
X26n0543_001:0831a04	怖與夫顛倒夢想矣。現視生死。而究竟涅槃矣。豈惟	怖 與 夫 顛 倒 夢 想 矣 現 視 生 死 而 究竟涅槃 矣 豈 惟 
X26n0543_001:0831a05	菩薩。雖過去現在未來三世諸佛。亦以此智慧。得到	菩 薩 雖 過去現在未來 三世諸佛 亦 以 此 智 慧 得 到 
X26n0543_001:0831a06	彼岸。共成無上正等正覺焉耳。則信乎盡大地眾生。	彼 岸 共 成 無 上 正 等 正 覺 焉 耳 則 信 乎 盡 大 地 眾 生 
X26n0543_001:0831a07	無有不是佛者。乃知此真空妙智。是大神呪。是大明	無 有 不 是 佛 者 乃 知 此 真 空 妙 智 是 大 神 呪 是 大 明 
X26n0543_001:0831a08	呪。是無上呪。是無等等呪。能出離生死苦海。度脫一	呪 是 無 上 呪 是 無 等 等 呪 能 出 離 生 死 苦 海 度 脫 一 
X26n0543_001:0831a09	切苦厄。真實不虗也。然則空之難言也久矣。執色者	切 苦 厄 真 實 不 虗 也 然 則 空 之 難 言 也 久 矣 執 色 者 
X26n0543_001:0831a10	泥色。說空者滯空。及至兩無所依。則又一切撥無因	泥 色 說 空 者 滯 空 及 至 兩 無 所 依 則 又 一 切 撥 無 因 
X26n0543_001:0831a11	果。不信經中分明讚嘆。空即是色。更有何空。色即是	果 不 信 經 中 分 明 讚 嘆 空 即 是 色 更 有 何 空 色 即 是 
X26n0543_001:0831a12	空。更有何色。無空無色。尚何有有有無於我罣礙。而	空 更 有 何 色 無 空 無 色 尚 何 有 有 有 無 於 我 罣 礙 而 
X26n0543_001:0831a13	不得自在耶。然則觀者。但以自家智慧。時常觀照。則	不得自在 耶 然 則 觀 者 但 以 自 家 智 慧 時 常 觀 照 則 
X26n0543_001:0831a14	彼岸當自得之矣。菩薩豈異人哉。但能一觀照之焉	彼 岸 當 自 得 之 矣 菩 薩 豈 異 人 哉 但 能 一 觀 照 之 焉 
X26n0543_001:0831a15	耳。人人皆菩薩。而不自見也。故言菩薩。則人人一矣。	耳 人 人 皆 菩 薩 而 不 自 見 也 故 言 菩 薩 則 人 人 一 矣 
X26n0543_001:0831a16	無聖愚也。言三世諸佛。則古今一矣。無先後也。奈之	無 聖 愚 也 言 三世諸佛 則 古 今 一 矣 無 先 後 也 奈 之 
X26n0543_001:0831a17	何可使由而不可使知者眾也。可使知。則為菩薩。不	何 可 使 由 而 不 可 使 知 者 眾 也 可 使 知 則 為 菩 薩 不 
X26n0543_001:0831a18	可使知。則為凡民。為禽獸。為木石。卒歸於泯泯爾矣。	可 使 知 則 為 凡 民 為 禽 獸 為 木 石 卒 歸 於 泯 泯 爾 矣 
X26n0543_001:0831a20	心經提綱(終)	心 經 提 綱 終 
