X68n1319_001:0523c06	 御製總序	 御 製 總 序 
X68n1319_001:0524a24	脫法中自生繫縛。魔形難揜。遁歸圓相之中。解路莫	脫 法 中 自 生 繫 縛 魔 形 難 揜 遁 歸 圓 相 之 中 解 路 莫 
X68n1319_001:0524b01	通。躲向藤條之下。情塵積滯。識浪奔催。瞞己瞞人。欺	通 躲 向 藤 條 之 下 情 塵 積 滯 識 浪 奔 催 瞞 己 瞞 人 欺 
X68n1319_001:0524b02	心欺佛。全是為名為利。卻來說妙說元。盲驢牽盲驢。	心 欺 佛 全 是 為 名 為 利 卻 來 說 妙 說 元 盲 驢 牽 盲 驢 
X68n1319_001:0524b03	沿磨盤而遶轉。癡夢證癡夢。拈漆桶為瓣香。是則循	沿 磨 盤 而 遶 轉 癡 夢 證 癡 夢 拈 漆 桶 為 瓣 香 是 則 循 
X68n1319_001:0524b04	覺路而撲火輪。能不由善因而招惡果。如是三者。實	覺 路 而 撲 火 輪 能 不 由 善 因 而 招 惡 果 如 是 三 者 實 
X68n1319_001:0524b05	繁有徒。宗旨不明。沈淪浩劫矣。　朕膺元后父母之任。	繁 有 徒 宗 旨 不 明 沈 淪 浩 劫 矣 朕 膺 元 后 父 母 之 任 
X68n1319_001:0524b06	並非開堂秉拂之人。欲期民物之安。惟循周孔之轍。	並 非 開 堂 秉 拂 之 人 欲 期 民 物 之 安 惟 循 周 孔 之 轍 
X68n1319_001:0524b07	所以御極以來。十年未談禪宗。但念人天慧命。佛祖	所 以 御 極 以 來 十 年 未 談 禪 宗 但 念 人 天 慧 命 佛 祖 
X68n1319_001:0524b08	別傳。[拚ㄙ+ㄊ]雙眉拖地以悟眾生。留無上金丹以起枯朽。	別 傳 [拚ㄙㄊ] 雙 眉 拖 地 以 悟 眾 生 留 無 上 金 丹 以 起 枯 朽 
X68n1319_001:0524b09	豈得任彼邪魔瞎其正眼。鼓諸塗毒。滅盡妙心。朕實	豈 得 任 彼 邪 魔 瞎 其 正 眼 鼓 諸 塗 毒 滅 盡 妙 心 朕 實 
X68n1319_001:0524b10	有不得不言。不忍不言者。近於幾暇。辨味淄澠。隨意	有 不 得 不 言 不 忍 不 言 者 近 於 幾 暇 辨 味 淄 澠 隨 意 
X68n1319_001:0524b11	所如。閱從上古錐語錄中。擇提持向上直指真宗者。	所 如 閱 從 上 古 錐 語 錄 中 擇 提 持 向 上 直 指 真 宗 者 
X68n1319_001:0524b12	並擷其至言。手為刪輯。曰僧肇．曰永嘉．曰寒山．曰拾	並 擷 其 至 言 手 為 刪 輯 曰 僧 肇 曰 永 嘉 曰 寒 山 曰 拾 
X68n1319_001:0524b13	得．曰溈山．曰仰山．曰趙州．曰永明．曰雲門．曰雪竇．曰	得 曰 溈 山 曰 仰 山 曰 趙 州 曰 永 明 曰 雲 門 曰 雪 竇 曰 
X68n1319_001:0524b14	圓悟．曰玉林。十二禪師。藏外之書。曰紫陽真人。乃不	圓 悟 曰 玉 林 十 二 禪 師 藏 外 之 書 曰 紫 陽 真 人 乃 不 
X68n1319_001:0524b15	數月之功。編次成集者。其他披覽未周。即採掇未及。	數 月 之 功 編 次 成 集 者 其 他 披 覽 未 周 即 採 掇 未 及 
X68n1319_001:0524b16	非曰此外無可取也。是數大善知識。實皆窮微洞本。	非 曰 此 外 無 可 取 也 是 數 大 善 知 識 實 皆 窮 微 洞 本 
X68n1319_001:0524b17	究旨通宗。深契摩詰不二之門。曹溪一味之旨。能使	究 旨 通 宗 深 契 摩 詰 不 二 之 門 曹 溪 一 味 之 旨 能 使 
X68n1319_001:0524b18	未見者得無見之妙見。未聞者入不聞之妙聞。未知	未 見 者 得 無 見 之 妙 見 未 聞 者 入 不 聞 之 妙 聞 未 知 
X68n1319_001:0524b19	者徹無知之正知。未解者成無解之大解。此是人天	者 徹 無 知 之 正 知 未 解 者 成 無 解 之 大 解 此 是 人 天 
X68n1319_001:0524b20	眼目。無上宗乘。　至於淨土法門。雖與禪宗似無交涉。	眼 目 無 上 宗 乘 至 於 淨 土 法 門 雖 與 禪 宗 似 無 交 涉 
X68n1319_001:0524b21	但念佛何礙參禪。果其深達性海之禪人。淨業正可	但 念 佛 何 礙 參 禪 果 其 深 達 性 海 之 禪 人 淨 業 正 可 
X68n1319_001:0524b22	以兼修。於焉隨喜真如。圓證妙果。雲棲蓮池大師。梵	以 兼 修 於 焉 隨 喜 真 如 圓 證 妙 果 雲 棲 蓮 池 大 師 梵 
X68n1319_001:0524b23	行清淨。乃曾參悟有得者。閱其雲棲法彚一書。見論	行 清 淨 乃 曾 參 悟 有 得 者 閱 其 雲 棲 法 彚 一 書 見 論 
X68n1319_001:0524b24	雖未及數善知識之洞徹。然非不具正知正見。如著	雖 未 及 數 善 知 識 之 洞 徹 然 非 不 具 正 知 正 見 如 著 
X68n1319_001:0524c01	相執有者之可比擬。亦採其要語別為一卷。以附於	相 執 有 者 之 可 比 擬 亦 採 其 要 語 別 為 一 卷 以 附 於 
X68n1319_001:0524c02	後。兼此淨土一門。使未了證者。建菩提道場。已了證	後 兼 此 淨 土 一 門 使 未 了 證 者 建 菩提道場 已 了 證 
X68n1319_001:0524c03	者。為妙覺果海途路之助。爰為總序。弁於篇端。刊示	者 為 妙 覺 果 海 途 路 之 助 爰 為 總 序 弁 於 篇 端 刊 示 
X68n1319_001:0524c04	來今。嘉惠後學。庶幾因指見月。得魚忘筌。破外道之	來 今 嘉 惠 後 學 庶 幾 因 指 見 月 得 魚 忘 筌 破 外 道 之 
X68n1319_001:0524c05	昏蒙。奪小乘之戔弇。朕有厚望焉。	昏 蒙 奪 小 乘 之 戔 弇 朕 有 厚 望 焉 
X68n1319_001:0524c06	雍正癸丑四月朔日	雍 正 癸 丑 四 月 朔 日 
X68n1319_001:0524c10	御選語錄總目	御 選 語 錄 總 目 
X68n1319_001:0524c11	第一冊	第 一 冊 
X68n1319_001:0524c12	卷一	卷 一 
X68n1319_001:0524c13	大智圓正聖僧肇法師(卍收肇論與寶藏論)	大 智 圓 正 聖 僧 肇 法 師 卍 收 肇 論 與 寶 藏 論 
X68n1319_001:0524c14	卷二	卷 二 
X68n1319_001:0524c15	洞明妙智永嘉覺禪師(卍收永嘉集與證道歌)	洞 明 妙 智 永 嘉 覺 禪 師 卍 收 永 嘉 集 與 證 道 歌 
X68n1319_001:0524c16	卷三	卷 三 
X68n1319_001:0524c17	妙覺普度和聖寒山大士(卍收詩集)	妙 覺 普 度 和 聖 寒 山 大 士 卍 收 詩 集 
X68n1319_001:0524c18	圓覺慈度合聖拾得大士(卍收詩集)	圓 覺 慈 度 合 聖 拾 得 大 士 卍 收 詩 集 
X68n1319_001:0524c19	第二冊	第 二 冊 
X68n1319_001:0524c20	卷四	卷 四 
X68n1319_001:0524c21	靈覺大圓溈山祐禪師(卍收語要)	靈 覺 大 圓 溈 山 祐 禪 師 卍 收 語 要 
X68n1319_001:0524c22	真證通智仰山寂禪師(卍收語要)	真 證 通 智 仰 山 寂 禪 師 卍 收 語 要 
X68n1319_001:0524c23	卷五	卷 五 
X68n1319_001:0524c24	圓證直指真際趙州諗禪師(卍收語要)	圓 證 直 指 真 際 趙 州 諗 禪 師 卍 收 語 要 
X68n1319_001:0525a01	卷六	卷 六 
X68n1319_001:0525a02	慈雲匡真弘明雲門偃禪師(卍收語要)	慈 雲 匡 真 弘 明 雲 門 偃 禪 師 卍 收 語 要 
X68n1319_001:0525a03	第三冊	第 三 冊 
X68n1319_001:0525a04	卷七	卷 七 
X68n1319_001:0525a05	妙圓正修智覺永明壽禪師(卍收唯心訣宗鏡錄序萬善同歸集與心賦)	妙 圓 正 修 智 覺 永 明 壽 禪 師 卍 收 唯 心 訣 宗 鏡 錄 序 萬 善 同 歸 集 與 心 賦 
X68n1319_001:0525a06	第四冊	第 四 冊 
X68n1319_001:0525a07	卷八	卷 八 
X68n1319_001:0525a08	大慈圓通禪仙紫陽真人(卍收真悟篇外集)	大 慈 圓 通 禪 仙 紫 陽 真 人 卍 收 真 悟 篇 外 集 
X68n1319_001:0525a09	卷九	卷 九 
X68n1319_001:0525a10	正智明覺雪竇顯禪師(卍收語要)	正 智 明 覺 雪 竇 顯 禪 師 卍 收 語 要 
X68n1319_001:0525a11	第五冊	第 五 冊 
X68n1319_001:0525a12	卷十	卷 十 
X68n1319_001:0525a13	明宗真覺圓悟勤禪師(卍收語要)	明 宗 真 覺 圓 悟 勤 禪 師 卍 收 語 要 
X68n1319_001:0525a14	第六冊	第 六 冊 
X68n1319_001:0525a15	卷十一	卷 十 一 
X68n1319_001:0525a16	大覺普濟能仁玉琳琇國師(卍收語要)	大 覺 普 濟 能 仁 玉 琳 琇 國 師 卍 收 語 要 
X68n1319_001:0525a17	明道正覺[卄/卬]溪森禪師(卍收語要)	明 道 正 覺 [卄卬] 溪 森 禪 師 卍 收 語 要 
X68n1319_001:0525a18	第七冊	第 七 冊 
X68n1319_001:0525a19	卷十二	卷 十 二 
X68n1319_001:0525a20	和碩雍親王圓明居士(卍收語錄)	和 碩 雍 親 王 圓 明 居 士 卍 收 語 錄 
X68n1319_001:0525a21	上諭二道(附刻)	上 諭 二 道 附 刻 
X68n1319_001:0525a22	圓明百問	圓 明 百 問 
X68n1319_001:0525a23	第八冊	第 八 冊 
X68n1319_001:0525a24	卷十三　(外集)	卷 十 三 外 集 
X68n1319_001:0525b01	雲棲蓮池大師	雲 棲 蓮 池 大 師 
X68n1319_001:0525b02	第九冊	第 九 冊 
X68n1319_001:0525b03	卷十四　(前集上)	卷 十 四 前 集 上 
X68n1319_001:0525b04	歷代禪師	歷 代 禪 師 
X68n1319_001:0525b05	第十冊	第 十 冊 
X68n1319_001:0525b06	卷十五　(前集下)	卷 十 五 前 集 下 
X68n1319_001:0525b07	歷代禪師	歷 代 禪 師 
X68n1319_001:0525b08	第十一冊	第 十 一 冊 
X68n1319_001:0525b09	卷十六　(後集上)	卷 十 六 後 集 上 
X68n1319_001:0525b10	歷代禪師	歷 代 禪 師 
X68n1319_001:0525b11	第十二冊	第 十 二 冊 
X68n1319_001:0525b12	卷十七　(後集中)	卷 十 七 後 集 中 
X68n1319_001:0525b13	歷代禪師	歷 代 禪 師 
X68n1319_001:0525b14	第十三冊	第 十 三 冊 
X68n1319_001:0525b15	卷十八　(後集下)	卷 十 八 後 集 下 
X68n1319_001:0525b16	歷代禪師	歷 代 禪 師 
X68n1319_001:0525b17	第十四冊	第 十 四 冊 
X68n1319_001:0525b18	卷十九	卷 十 九 
X68n1319_001:0525b19	當今法會(附刻)	當 今 法 會 附 刻 
X68n1319_001:0525c02	御選語錄	御 選 語 錄 
X68n1319_001:0525c04	御製序	御 製 序 
X68n1319_001:0525c05	漢明帝時。佛法始入中國。盛於晉宋間。遠公其殊勝	漢 明 帝 時 佛 法 始 入 中 國 盛 於 晉 宋 間 遠 公 其 殊 勝 
X68n1319_001:0525c06	者也。向傳泥洹宗旨。由遠公而始聞於此土。然觀蓮	者 也 向 傳 泥 洹 宗 旨 由 遠 公 而 始 聞 於 此 土 然 觀 蓮 
X68n1319_001:0525c07	社高賢傳中所載遠公之語。遠公固非洞明泥洹宗	社 高 賢 傳 中 所 載 遠 公 之 語 遠 公 固 非 洞 明 泥 洹 宗 
X68n1319_001:0525c08	旨者。徒聞其說耳。僧肇與遠公同時。晉有遠公。秦有	旨 者 徒 聞 其 說 耳 僧 肇 與 遠 公 同 時 晉 有 遠 公 秦 有 
X68n1319_001:0525c09	僧肇。言淨土者。推遠公。言講經者。推僧肇。宗徒皆視	僧 肇 言 淨 土 者 推 遠 公 言 講 經 者 推 僧 肇 宗 徒 皆 視 
X68n1319_001:0525c10	為小乘。謂是菩提達摩以前時人。震旦未聞教外別	為 小 乘 謂 是 菩 提 達 摩 以 前 時 人 震 旦 未 聞 教 外 別 
X68n1319_001:0525c11	傳之旨。不得入祖席焉。朕閱肇法師所作般若無知．	傳 之 旨 不 得 入 祖 席 焉 朕 閱 肇 法 師 所 作 般 若 無 知 
X68n1319_001:0525c12	涅槃無名．空有不遷．形山祕寶諸論。非深明宗旨。何	涅 槃 無 名 空 有 不 遷 形 山 祕 寶 諸 論 非 深 明 宗 旨 何 
X68n1319_001:0525c13	能了了如斯。以此講經。正是不立文字。諸佛慧命。奚	能 了 了 如 斯 以 此 講 經 正 是 不 立 文 字 諸 佛 慧 命 奚 
X68n1319_001:0525c14	隔封疆。有何今古。豈得謂菩提達摩未來以前。震旦	隔 封 疆 有 何 今 古 豈 得 謂 菩 提 達 摩 未 來 以 前 震 旦 
X68n1319_001:0525c15	無宗旨哉。故刪輯其要文。序而刊行之。學者勿於長	無 宗 旨 哉 故 刪 輯 其 要 文 序 而 刊 行 之 學 者 勿 於 長 
X68n1319_001:0525c16	江一葦。[葸十+夕]嶺隻履邊。目起狂華。則知菩提達摩見梁	江 一 葦 [葸十夕] 嶺 隻 履 邊 目 起 狂 華 則 知 菩 提 達 摩 見 梁 
X68n1319_001:0525c17	武時。無所從來。遇宋雲時。亦無所去也。	武 時 無所從來 遇 宋 雲 時 亦 無 所 去 也 
X68n1319_001:0525c18	雍正十一年癸丑四月望日	雍 正 十 一 年 癸 丑 四 月 望 日 
X68n1319_001:0525c22	御選大智圓正聖僧肇法師論	御 選 大 智 圓 正 聖 僧 肇 法 師 論 
X68n1319_001:0525c23	肇論序	肇 論 序 
X68n1319_001:0525c24	慧達率愚。序長安釋僧肇法師所作宗本．不遷等四	慧 達 率 愚 序 長 安 釋 僧 肇 法 師 所 作 宗 本 不 遷 等 四 
X68n1319_001:0526a01	論。曰。有美若人。超語兼默。標本則句句深達佛心。明	論 曰 有 美 若 人 超 語 兼 默 標 本 則 句 句 深 達 佛 心 明 
X68n1319_001:0526a02	末則言言備通眾教。達猥生天幸。逢此正音。每至披	末 則 言 言 備 通 眾 教 達 猥 生 天 幸 逢 此 正 音 每 至 披 
X68n1319_001:0526a03	尋。不勝手舞。誓願生生盡命弘述。夫神道不形。心敏	尋 不 勝 手 舞 誓 願 生 生 盡 命 弘 述 夫 神 道 不 形 心 敏 
X68n1319_001:0526a04	難繪。聊寄一序。請俟來哲。蓋大分深義。厥號本無。故	難 繪 聊 寄 一 序 請 俟 來 哲 蓋 大 分 深 義 厥 號 本 無 故 
X68n1319_001:0526a05	建言宗旨。標乎實相。開空法道。莫逾真俗。所以次釋	建 言 宗 旨 標 乎 實 相 開 空 法 道 莫 逾 真 俗 所 以 次 釋 
X68n1319_001:0526a06	二諦。顯佛教門。但圓正之因。無尚般若。至極之果。唯	二 諦 顯 佛 教 門 但 圓 正 之 因 無 尚 般 若 至 極 之 果 唯 
X68n1319_001:0526a07	有涅槃。故末啟重元。明眾聖之所宅。雖以性空擬本。	有 涅 槃 故 末 啟 重 元 明 眾 聖 之 所 宅 雖 以 性 空 擬 本 
X68n1319_001:0526a08	無本可稱。語本絕言。非心行處。然則不遷當俗。俗則	無 本 可 稱 語 本 絕 言 非 心 行 處 然 則 不 遷 當 俗 俗 則 
X68n1319_001:0526a09	不生。不真為真。真但名說。若能崇茲一道。無言二諦。	不 生 不 真 為 真 真 但 名 說 若 能 崇 茲 一 道 無 言 二 諦 
X68n1319_001:0526a10	斯則靜照之功著。故般若無知。無名之德興。而涅槃	斯 則 靜 照 之 功 著 故 般 若 無 知 無 名 之 德 興 而 涅 槃 
X68n1319_001:0526a11	不稱。余謂此說周圓。罄佛淵海。浩博無涯。窮法體相。	不 稱 余 謂 此 說 周 圓 罄 佛 淵 海 浩 博 無 涯 窮 法 體 相 
X68n1319_001:0526a12	洪論第一。肇公其人矣。	洪 論 第 一 肇 公 其 人 矣 
X68n1319_001:0526a13	傳燈錄載。僧肇在姚秦問大辟。師乞七日假。著寶	傳 燈 錄 載 僧 肇 在 姚 秦 問 大 辟 師 乞 七 日 假 著 寶 
X68n1319_001:0526a14	藏論畢。臨刑時說偈曰。四大元無主。五陰本來空。	藏 論 畢 臨 刑 時 說 偈 曰 四 大 元 無 主 五 陰 本 來 空 
X68n1319_001:0526a15	將頭臨白刃。猶似斬春風。然此偈非肇所作也。肇	將 頭 臨 白 刃 猶 似 斬 春 風 然 此 偈 非 肇 所 作 也 肇 
X68n1319_001:0526a16	為鳩摩羅什高弟。秦王姚興命入逍遙園。助什詳	為 鳩 摩 羅 什 高 弟 秦 王 姚 興 命 入 逍 遙 園 助 什 詳 
X68n1319_001:0526a17	定經論。尊禮有加。十六國春秋．僧肇傳云。以姚秦	定 經 論 尊 禮 有 加 十 六 國 春 秋 僧 肇 傳 云 以 姚 秦 
X68n1319_001:0526a18	弘始十六年卒於長安。時晉義熈十年也。況典刑	弘 始 十 六 年 卒 於 長 安 時 晉 義 熈 十 年 也 況 典 刑 
X68n1319_001:0526a19	之人豈有給假著論之理。則肇法師之以吉祥滅	之 人 豈 有 給 假 著 論 之 理 則 肇 法 師 之 以 吉 祥 滅 
X68n1319_002:0526b04	御製序	御 製 序 
X68n1319_002:0526b05	古人遇時節因緣。每云言下大悟。夫言下大悟。悟不	古 人 遇 時 節 因 緣 每 云 言 下 大 悟 夫 言 下 大 悟 悟 不 
X68n1319_002:0526b06	在言也。韓廬逐塊。乃於言中求悟。夢到驢年。是為執	在 言 也 韓 廬 逐 塊 乃 於 言 中 求 悟 夢 到 驢 年 是 為 執 
X68n1319_002:0526b07	指求月者。黃梅．曹溪密室夜分傳衣授受。究何曾道	指 求 月 者 黃 梅 曹 溪 密 室 夜 分 傳 衣 授 受 究 何 曾 道 
X68n1319_002:0526b08	一字耶。迨後黃梅送曹溪至九江驛邊。兩人共語。曹	一 字 耶 迨 後 黃 梅 送 曹 溪 至 九 江 驛 邊 兩 人 共 語 曹 
X68n1319_002:0526b09	溪云。只合自性自度。黃梅云。如是。如是。夫既自性自	溪 云 只 合 自 性 自 度 黃 梅 云 如 是 如 是 夫 既 自 性 自 
X68n1319_002:0526b10	度。則黃梅何授。曹溪何受乎。雖然。此正黃梅所授。曹	度 則 黃 梅 何 授 曹 溪 何 受 乎 雖 然 此 正 黃 梅 所 授 曹 
X68n1319_002:0526b11	溪所受也。永嘉之於曹溪。更可分明舉似天下後世。	溪 所 受 也 永 嘉 之 於 曹 溪 更 可 分 明 舉 似 天 下 後 世 
X68n1319_002:0526b12	夫永嘉參承。止一宿耳。故謂之一宿覺。今觀其問答	夫 永 嘉 參 承 止 一 宿 耳 故 謂 之 一 宿 覺 今 觀 其 問 答 
X68n1319_002:0526b13	語。永嘉全是逆水之機。毫無順水之意。然則曹溪何	語 永 嘉 全 是 逆 水 之 機 毫 無 順 水 之 意 然 則 曹 溪 何 
X68n1319_002:0526b14	授而永嘉何受乎。不知永嘉正從此得曹溪乳。不可	授 而 永 嘉 何 受 乎 不 知 永 嘉 正 從 此 得 曹 溪 乳 不 可 
X68n1319_002:0526b15	誣也。蓋使有一實法與人。而曰法乳。直同馬生馬。驢	誣 也 蓋 使 有 一 實 法 與 人 而 曰 法 乳 直 同 馬 生 馬 驢 
X68n1319_002:0526b16	生驢耳。若此。魔外別生魔外。又如久竹生青寧。青寧	生 驢 耳 若 此 魔 外 別 生 魔 外 又 如 久 竹 生 青 寧 青 寧 
X68n1319_002:0526b17	生程。尚安得稱慧命哉。永嘉言句。西竺推為東土大	生 程 尚 安 得 稱 慧 命 哉 永 嘉 言 句 西 竺 推 為 東 土 大 
X68n1319_002:0526b18	乘論。朕披覧之。嘉其修悟雙圓。乘戒兼妙。自淺之深。	乘 論 朕 披 覧 之 嘉 其 修 悟 雙 圓 乘 戒 兼 妙 自 淺 之 深 
X68n1319_002:0526b19	淺深一致。實惟宗徒指南。爰加刪訂。刊示十方叢林	淺 深 一 致 實 惟 宗 徒 指 南 爰 加 刪 訂 刊 示 十 方 叢 林 
X68n1319_002:0526b20	焉。	焉 
X68n1319_002:0526b21	雍正十一年癸丑四月望日	雍 正 十 一 年 癸 丑 四 月 望 日 
X68n1319_002:0526c04	御選洞明妙智永嘉覺禪師語錄	御 選 洞 明 妙 智 永 嘉 覺 禪 師 語 錄 
X68n1319_002:0526c05	師。永嘉人也。姓戴氏。丱歲出家。徧探三藏。精天台止	師 永 嘉 人 也 姓 戴 氏 丱 歲 出 家 徧 探 三 藏 精 天 台 止 
X68n1319_002:0526c06	觀圓妙法門。於四威儀中。常冥禪觀。後因左谿朗禪	觀 圓 妙 法 門 於 四 威 儀 中 常 冥 禪 觀 後 因 左 谿 朗 禪 
X68n1319_002:0526c07	師激勵。與東陽策禪師同詣曹溪。　初到。振錫攜瓶。繞	師 激 勵 與 東 陽 策 禪 師 同 詣 曹 溪 初 到 振 錫 攜 瓶 繞 
