T85n2761_001:0253b02	勝鬘義記	勝 鬘 義 記 
T85n2761_001:0253c10	則不能得攝受欲者。此明失終忘始。中間總	則 不 能 得 攝 受 欲 者 此 明 失 終 忘 始 中 間 總 
T85n2761_001:0253c11	失。是次第失善五義。則失出世諸聖勝果。隨	失 是 次 第 失 善 五 義 則 失 出 世 諸 聖 勝 果 隨 
T85n2761_001:0253c12	生入死永為凡夫。過之免甚事。若於是也。善	生 入 死 永 為 凡 夫 過 之 免 甚 事 若 於 是 也 善 
T85n2761_001:0253c13	是真理故曰正法。可要在已故曰攝受也。隨	是 真 理 故 曰 正 法 可 要 在 已 故 曰 攝 受 也 隨 
T85n2761_001:0253c14	所樂入者。不能反流隨受三有身曰樂。越凡	所 樂 入 者 不 能 反 流 隨 受 三 有 身 曰 樂 越 凡 
T85n2761_001:0253c15	夫地者。背聖受生。何能超越過凡夫地也。無	夫 地 者 背 聖 受 生 何 能 超 越 過 凡 夫 地 也 無 
T85n2761_001:0253c16	量大過者。失聖人之勝利。得凡夫之卑賤故	量 大 過 者 失 聖 人 之 勝 利 得 凡 夫 之 卑 賤 故 
T85n2761_001:0253c17	名大過也。無量福利者。眾善聖果也。修行十	名 大 過 也 無 量 福 利 者 眾 善 聖 果 也 修 行 十 
T85n2761_001:0253c18	受則便得之失。十受者。則入凡夫故兩明也。	受 則 便 得 之 失 十 受 者 則 入 凡 夫 故 兩 明 也 
T85n2761_001:0253c19	現為我證者。名雖有十統攝萬善。女人卑弱	現 為 我 證 者 名 雖 有 十 統 攝 萬 善 女 人 卑 弱 
T85n2761_001:0253c20	謂不能行。如來雖知餘人有疑。自非現證無	謂 不 能 行 如 來 雖 知 餘 人 有 疑 自 非 現 證 無 
T85n2761_001:0253c21	以云也。非義饒益者。惡果報也。雨眾天華出	以 云 也 非 義 饒 益 者 惡 果 報 也 雨 眾 天 華 出 
T85n2761_001:0253c22	妙音聲者。華聲二瑞應。其所取現華明必行	妙 音 聲 者 華 聲 二 瑞 應 其 所 取 現 華 明 必 行 
T85n2761_001:0253c23	十受現聲必成菩提也。同其所行者。斷疑見	十 受 現 聲 必 成 菩 提 也 同 其 所 行 者 斷 疑 見 
T85n2761_001:0253c24	利願同勝鬘行十受也。	利 願 同 勝 鬘 行 十 受 也 
T85n2761_001:0253c25	發三大願者。第三經名也。初以十名攝於萬	發 三 大 願 者 第 三 經 名 也 初 以 十 名 攝 於 萬 
T85n2761_001:0253c26	善。此以三名盡攝眾也。將欲歸一。是以損之	善 此 以 三 名 盡 攝 眾 也 將 欲 歸 一 是 以 損 之 
T85n2761_001:0253c27	求善屬己。始宜言受要期永劫故名為願也。	求 善 屬 己 始 宜 言 受 要 期 永 劫 故 名 為 願 也 
T85n2761_001:0253c28	初是自行。二是外化。三是護法也。以此善	初 是 自 行 二 是 外 化 三 是 護 法 也 以 此 善 
T85n2761_001:0253c29	根者。是十受善也。得正法智者。智者知萬善	根 者 是 十 受 善 也 得 正 法 智 者 智 者 知 萬 善 
T85n2761_001:0254a01	之可崇也。如一切色悉入空界者。青黃朱紫	之 可 崇 也 如 一 切 色 悉 入 空 界 者 青 黃 朱 紫 
T85n2761_001:0254a02	空界所攝。五戒諸善三願所含。三願如空諸	空 界 所 攝 五 戒 諸 善 三 願 所 含 三 願 如 空 諸 
T85n2761_001:0254a03	善如色也。	善 如 色 也 
T85n2761_001:0254a04	承佛威神說調伏大願者。第四經名也。一名	承佛威神 說 調 伏 大 願 者 第 四 經 名 也 一 名 
T85n2761_001:0254a05	攝萬。須承旨乃曉。名雖無二猶未即實。將明	攝 萬 須 承 旨 乃 曉 名 雖 無 二 猶 未 即 實 將 明 
T85n2761_001:0254a06	一乘之道。非易可宣也。常不輕善曰調。不	一 乘 之 道 非 易 可 宣 也 常 不 輕 善 曰 調 不 
T85n2761_001:0254a07	生諸惡曰伏。一名攝眾曰大。永劫不捨曰願	生 諸 惡 曰 伏 一 名 攝 眾 曰 大 永 劫 不 捨 曰 願 
T85n2761_001:0254a08	也。真實無異者。所說合理。又能必行也。所謂	也 真 實 無 異 者 所 說 合 理 又 能 必 行 也 所 謂 
T85n2761_001:0254a09	攝受正法者。出經名也。更無別法故。言所	攝受正法 者 出 經 名 也 更 無 別 法 故 言 所 
T85n2761_001:0254a10	謂有始有終故。有攝受願之二名也。久種善	謂 有 始 有 終 故 有 攝 受 願 之 二 名 也 久 種 善 
T85n2761_001:0254a11	根者乃能解汝所說者。隱一名。而知萬善者	根 者 乃 能 解 汝 所 說 者 隱 一 名 而 知 萬 善 者 
T85n2761_001:0254a12	非久殖不悟也。今說當說者。三世如來皆說	非 久 殖 不 悟 也 今 說 當 說 者 三 世 如 來 皆 說 
T85n2761_001:0254a13	萬善。此明勝鬘說。同諸佛欲令人信故積美	萬 善 此 明 勝 鬘 說 同 諸 佛 欲 令 人 信 故 積 美 
T85n2761_001:0254a14	也。不得邊際者。善理無窮說何可盡。智慧辨	也 不 得 邊 際 者 善 理 無 窮 說 何 可 盡 智 慧 辨 
T85n2761_001:0254a15	才亦無邊際者。此明如來智能遍知辨不可	才 亦 無 邊 際 者 此 明 如 來 智 能 遍 知 辨 不 可 
T85n2761_001:0254a16	盡。非智□解窮也。有大功德有大利益者。善	盡 非 智 解 窮 也 有 大 功 德 有 大 利 益 者 善 
T85n2761_001:0254a17	是功德人是利益也。得道塵數善縛熾盛無	是 功 德 人 是 利 益 也 得 道 塵 數 善 縛 熾 盛 無 
T85n2761_001:0254a18	邊際義顯於此矣。	邊 際 義 顯 於 此 矣 
T85n2761_001:0254a19	更復演說者。上已明體。今欲美況。此果之第	更 復 演 說 者 上 已 明 體 今 欲 美 況 此 果 之 第 
T85n2761_001:0254a20	二義也。得一切佛法者。是果法也。八萬四千	二 義 也 得 一切佛法 者 是 果 法 也 八萬四千 
T85n2761_001:0254a21	法門者。是因法也。雨眾色雨者。此譬正法。能	法 門 者 是 因 法 也 雨 眾 色 雨 者 此 譬 正 法 能 
T85n2761_001:0254a22	出眾善雨有青黃之色。善有萬種之異。上雨	出 眾 善 雨 有 青 黃 之 色 善 有 萬 種 之 異 上 雨 
T85n2761_001:0254a23	是法。下雨被人。及種種寶者。是果也。雨無量	是 法 下 雨 被 人 及 種 種 寶 者 是 果 也 雨 無 量 
T85n2761_001:0254a24	福報者。合果也。及無量善根者。合因也。有大	福 報 者 合 果 也 及 無 量 善 根 者 合 因 也 有 大 
T85n2761_001:0254a25	水聚者。此明正法能有成益也。大千界藏者。	水 聚 者 此 明 正 法 能 有 成 益 也 大 千 界 藏 者 
T85n2761_001:0254a26	喻大乘也。四百億者。喻二因二果也。大界藏	喻 大 乘 也 四 百 億 者 喻 二 因 二 果 也 大 界 藏 
T85n2761_001:0254a27	者。合大千界也。神通力者。是無漏因也。如意	者 合 大 千 界 也 神 通 力 者 是 無 漏 因 也 如 意 
T85n2761_001:0254a28	自在者。是有漏善因也。或果之能非可得亡	自 在 者 是 有 漏 善 因 也 或 果 之 能 非 可 得 亡 
T85n2761_001:0254a29	也。安隱快樂者。是有漏果也。出世間安樂者。	也 安 隱 快 樂 者 是 有 漏 果 也 出 世 間 安 樂 者 
T85n2761_001:0254b01	是無漏果也。合四百億說也。劫成訖皆於中	是 無 漏 果 也 合 四 百 億 說 也 劫 成 訖 皆 於 中 
T85n2761_001:0254b02	者。創基有善。皆出正法五戒十善是別。攝受	者 創 基 有 善 皆 出 正 法 五 戒 十 善 是 別 攝 受 
T85n2761_001:0254b03	正法總稱。故能出願。又如大地者。此喻人也。	正 法 總 稱 故 能 出 願 又 如 大 地 者 此 喻 人 也 
T85n2761_001:0254b04	持法之人。能載負眾生故如地也。人天善根	持 法 之 人 能 載 負 眾 生 故 如 地 也 人 天 善 根 
T85n2761_001:0254b05	訖授與大乘。此明持法之人。能以眾生有漏	訖 授 與 大 乘 此 明 持 法 之 人 能 以 眾 生 有 漏 
T85n2761_001:0254b06	無漏善法因果也。為世法母者。能以諸善生	無 漏 善 法 因 果 也 為 世 法 母 者 能 以 諸 善 生 
T85n2761_001:0254b07	人天聖果也。明教師之能訖之。於此又如大	人 天 聖 果 也 明 教 師 之 能 訖 之 於 此 又 如 大 
T85n2761_001:0254b08	地有四寶藏者。此喻明受法人也。一切眾生	地 有 四 寶 藏 者 此 喻 明 受 法 人 也 一 切 眾 生 
T85n2761_001:0254b09	如大地。四種之人如四藏也。前喻明人有能	如 大 地 四 種 之 人 如 四 藏 也 前 喻 明 人 有 能 
T85n2761_001:0254b10	化之功。此喻明人有能受之義。如是攝受正	化 之 功 此 喻 明 人 有 能 受 之 義 如 是 攝 受 正 
T85n2761_001:0254b11	法訖善男子善女人。舉前能化之人。建立大	法 訖 善 男 子 善 女 人 舉 前 能 化 之 人 建 立 大 
T85n2761_001:0254b12	地者。舉前負載之人。能得四種大寶者。舉	地 者 舉 前 負 載 之 人 能 得 四 種 大 寶 者 舉 
T85n2761_001:0254b13	前持正法也。授而與之者。與三歸五戒乃至	前 持 正 法 也 授 而 與 之 者 與 三 歸 五 戒 乃 至 
T85n2761_001:0254b14	菩薩戒。及說諸善因果也。如授七寶於藏中	菩 薩 戒 及 說 諸 善 因 果 也 如 授 七 寶 於 藏 中 
T85n2761_001:0254b15	者也。如是得大寶眾生者。舉受法人也。皆由	者 也 如 是 得 大 寶 眾 生 者 舉 受 法 人 也 皆 由 
T85n2761_001:0254b16	攝受正法訖男子女人。舉能化之人也。得此	攝受正法 訖 男 子 女 人 舉 能 化 之 人 也 得 此 
T85n2761_001:0254b17	希有功德者。結與授法人也。此明法是寶義	希 有 功 德 者 結 與 授 法 人 也 此 明 法 是 寶 義 
T85n2761_001:0254b18	也。大寶藏者即是攝受正法者。此明人是藏	也 大 寶 藏 者 即 是 攝受正法 者 此 明 人 是 藏 
T85n2761_001:0254b19	義。應有人字略而不說。明受法弟子義訖此	義 應 有 人 字 略 而 不 說 明 受 法 弟 子 義 訖 此 
T85n2761_001:0254b20	矣。攝受正法攝受正法者。此是第三明法法相	矣 攝受正法 攝受正法 者 此 是 第 三 明 法 法 相 
T85n2761_001:0254b21	即。初句是能攝受之心。第二句還舉之。無異	即 初 句 是 能 攝 受 之 心 第 二 句 還 舉 之 無 異 
T85n2761_001:0254b22	正法者。此明心不異法。無異攝受正法者。此	正 法 者 此 明 心 不 異 法 無 異 攝受正法 者 此 
T85n2761_001:0254b23	明法不異心。正法即是攝受正法者。此明正	明 法 不 異 心 正 法 即 是 攝受正法 者 此 明 正 
T85n2761_001:0254b24	法即心也。以知不異故可印可。亦應以心印	法 即 心 也 以 知 不 異 故 可 印 可 亦 應 以 心 印 
T85n2761_001:0254b25	法不異既可印可知矣。無異波羅蜜者。出正	法 不 異 既 可 印 可 知 矣 無 異 波 羅 蜜 者 出 正 
T85n2761_001:0254b26	法也。上雖玄說未識其體。是故就事更分明	法 也 上 雖 玄 說 未 識 其 體 是 故 就 事 更 分 明 
T85n2761_001:0254b27	之。文不異義無異於上也。所以就六明其義	之 文 不 異 義 無 異 於 上 也 所 以 就 六 明 其 義 
T85n2761_001:0254b28	者。此經大意。明菩薩行六波羅蜜是其所行	者 此 經 大 意 明 菩 薩 行 六波羅蜜 是 其 所 行 
T85n2761_001:0254b29	也。攝受正法男子女人者。此明教師也。應以	也 攝受正法 男 子 女 人 者 此 明 教 師 也 應 以 
T85n2761_001:0254c01	施成熟者。見有眾生可教行施也。以施成熟	施 成 熟 者 見 有 眾 生 可 教 行 施 也 以 施 成 熟 
T85n2761_001:0254c02	者。前者人受行法也。布施法也。乃至捨身枝	者 前 者 人 受 行 法 也 布 施 法 也 乃 至 捨 身 枝 
T85n2761_001:0254c03	節者。頭目髓腦也。始行之家從易至難。初捨	節 者 頭 目 髓 腦 也 始 行 之 家 從 易 至 難 初 捨 
T85n2761_001:0254c04	一糸一縷。中捨衣食國城。後捨妻子身命。越	一 糸 一 縷 中 捨 衣 食 國 城 後 捨 妻 子 身 命 越 
T85n2761_001:0254c05	於初中故言乃至。自下五度類皆如是。將護	於 初 中 故 言 乃 至 自 下 五 度 類 皆 如 是 將 護 
T85n2761_001:0254c06	彼意者。能捨糸縷教捨糸縷。乃至能捨身	彼 意 者 能 捨 糸 縷 教 捨 糸 縷 乃 至 能 捨 身 
T85n2761_001:0254c07	命教命捨之也。若未能捨身之。以命便教捨	命 教 命 捨 之 也 若 未 能 捨 身 之 以 命 便 教 捨 
T85n2761_001:0254c08	者。必不能行無成人之美不名將護也。彼所	者 必 不 能 行 無 成 人 之 美 不 名 將 護 也 彼 所 
T85n2761_001:0254c09	成熟眾生建立正法者。受行捨法也。是名檀	成 熟 眾 生 建 立 正 法 者 受 行 捨 法 也 是 名 檀 
T85n2761_001:0254c10	波羅蜜者。明即義也。能受是心行捨是法二	波 羅 蜜 者 明 即 義 也 能 受 是 心 行 捨 是 法 二 
T85n2761_001:0254c11	義雖異其體不殊。即一之義曉然。可知一切	義 雖 異 其 體 不 殊 即 一 之 義 曉 然 可 知 一 切 
T85n2761_001:0254c12	論者凡有五義論。一內明論。善解佛法經論	論 者 凡 有 五 義 論 一 內 明 論 善 解 佛 法 經 論 
T85n2761_001:0254c13	也。二外明論。善解外道經出記論也。三因明	也 二 外 明 論 善 解 外 道 經 出 記 論 也 三 因 明 
T85n2761_001:0254c14	論。善解諸法相因而有也。四聲明論。善解諸	論 善 解 諸 法 相 因 而 有 也 四 聲 明 論 善 解 諸 
T85n2761_001:0254c15	方言音有異也。五工巧論。善解機關木人幻	方 言 音 有 異 也 五 工 巧 論 善 解 機 關 木 人 幻 
T85n2761_001:0254c16	化呪術也。一切工巧者。知機關幻化也。乃至	化 呪 術 也 一 切 工 巧 者 知 機 關 幻 化 也 乃 至 
T85n2761_001:0254c17	諸事者善知所作之事好惡之所以也。承佛	諸 事 者 善 知 所 作 之 事 好 惡 之 所 以 也 承 佛 
T85n2761_001:0254c18	威神更說大義者。第四明人法相即。人之與	威 神 更 說 大 義 者 第 四 明 人 法 相 即 人 之 與 
T85n2761_001:0254c19	法其體應異。今明即一要須仰摧也。攝受正	法 其 體 應 異 今 明 即 一 要 須 仰 摧 也 攝 受 正 
T85n2761_001:0254c20	法。此一句明法也。攝受正法者。此一句明人	法 此 一 句 明 法 也 攝受正法 者 此 一 句 明 人 
T85n2761_001:0254c21	也。無異攝受正法。此明人不異法。無異攝受	也 無 異 攝受正法 此 明 人 不 異 法 無 異 攝 受 
T85n2761_001:0254c22	正法者。此明法不異人。攝受正法善男子善	正 法 者 此 明 法 不 異 人 攝受正法 善 男 子 善 
T85n2761_001:0254c23	女人即是攝受正法。上句是人。下句是法。以	女 人 即 是 攝受正法 上 句 是 人 下 句 是 法 以 
T85n2761_001:0254c24	人即法也。亦應以法即人義同前章。所以人	人 即 法 也 亦 應 以 法 即 人 義 同 前 章 所 以 人 
T85n2761_001:0254c25	法得相即者。五陰諸入乃至種智一一體別。	法 得 相 即 者 五 陰 諸 入 乃 至 種 智 一 一 體 別 
T85n2761_001:0254c26	是為法也。五陰諸入總為人也。總別異故有	是 為 法 也 五 陰 諸 入 總 為 人 也 總 別 異 故 有 
T85n2761_001:0254c27	人法之殊。以別為總故得即一也。捨三分善	人 法 之 殊 以 別 為 總 故 得 即 一 也 捨 三 分 善 
T85n2761_001:0254c28	男子者。明行善之人即是法也。故知正法非	男 子 者 明 行 善 之 人 即 是 法 也 故 知 正 法 非 
T85n2761_001:0254c29	惡無記也。生死後際等者。未來之世生死無	惡 無 記 也 生 死 後 際 等 者 未 來 之 世 生 死 無 
T85n2761_001:0255a01	窮。願得聖果與其齊量也。雖老病死記如來	窮 願 得 聖 果 與 其 齊 量 也 雖 老 病 死 記 如 來 
T85n2761_001:0255a02	法身者。就極處為言佛有聖人之名故有人	法 身 者 就 極 處 為 言 佛 有 聖 人 之 名 故 有 人 
T85n2761_001:0255a03	義。體是善理故有法義也。又一解仰求佛果	義 體 是 善 理 故 有 法 義 也 又 一 解 仰 求 佛 果 
T85n2761_001:0255a04	能捨三分。是法也。餘二分類如此。如是捨三	能 捨 三 分 是 法 也 餘 二 分 類 如 此 如 是 捨 三 
T85n2761_001:0255a05	善男子者。舉上人也。攝受正法者。即是法也。	善 男 子 者 舉 上 人 也 攝受正法 者 即 是 法 也 
T85n2761_001:0255a06	結人即法也。世尊又善男子女人者。第五明	結 人 即 法 也 世 尊 又 善 男 子 女 人 者 第 五 明 
T85n2761_001:0255a07	其護法。朋黨諍訟者。四眾之人。各隨親舊	其 護 法 朋 黨 諍 訟 者 四 眾 之 人 各 隨 親 舊 
T85n2761_001:0255a08	更總是非作諸惡也。破壞離散者。不令諍訟	更 總 是 非 作 諸 惡 也 破 壞 離 散 者 不 令 諍 訟 
T85n2761_001:0255a09	也。或以善化。或以威力化之也。以不諂曲者。	也 或 以 善 化 或 以 威 力 化 之 也 以 不 諂 曲 者 
T85n2761_001:0255a10	正類用直何曲之。為不欺誑者。惡則言惡作。	正 類 用 直 何 曲 之 為 不 欺 誑 者 惡 則 言 惡 作 
T85n2761_001:0255a11	善言善何虛誑之也。不幻偽者。引譬況也。不	善 言 善 何 虛 誑 之 也 不 幻 偽 者 引 譬 況 也 不 
T85n2761_001:0255a12	如幻或偽而不實也。愛樂正法者。欲令正法	如 幻 或 偽 而 不 實 也 愛 樂 正 法 者 欲 令 正 法 
T85n2761_001:0255a13	久住於世。攝受正法者。能持之也。入法朋	久 住 於 世 攝受正法 者 能 持 之 也 入 法 朋 
T85n2761_001:0255a14	中者。化諍訟人也。同行善人也。之所授記者。	中 者 化 諍 訟 人 也 同 行 善 人 也 之 所 授 記 者 
T85n2761_001:0255a15	說行善人。為佛所記諍訟之惡何可不捨也。	說 行 善 人 為 佛 所 記 諍 訟 之 惡 何 可 不 捨 也 
T85n2761_001:0255a16	亦悉知見者。略明如來有此五德。應知弟子	亦 悉 知 見 者 略 明 如 來 有 此 五 德 應 知 弟 子 
T85n2761_001:0255a17	必能護法也。未足之地是以求證也。大精進	必 能 護 法 也 未 足 之 地 是 以 求 證 也 大 精 進 
T85n2761_001:0255a18	力起隨喜心者。第六如來成其所說。懃行眾	力 起隨喜心 者 第 六 如 來 成 其 所 說 懃 行 眾 
T85n2761_001:0255a19	善復名精進。欣其能示故名隨喜也。如大力	善 復 名 精 進 欣 其 能 示 故 名 隨 喜 也 如 大 力 
T85n2761_001:0255a20	士者。此喻正法有大德力也。少卑身分者。用	士 者 此 喻 正 法 有 大 德 力 也 少 卑 身 分 者 用 
T85n2761_001:0255a21	於少力卑人身也。如少善力令魔怖畏也。我	於 少 力 卑 人 身 也 如 少 善 力 令 魔 怖 畏 也 我 
T85n2761_001:0255a22	不見餘一善法者。若以五戒求天人果報。四	不 見 餘 一 善 法 者 若 以 五 戒 求 天 人 果 報 四 
T85n2761_001:0255a23	諦因緣求二乘果。不勉生死魔所不畏。若知	諦 因 緣 求 二 乘 果 不 勉 生 死 魔 所 不 畏 若 知 
T85n2761_001:0255a24	萬善皆歸於佛懃不自者。此一一善能怖魔	萬 善 皆 歸 於 佛 懃 不 自 者 此 一 一 善 能 怖 魔 
T85n2761_001:0255a25	也。牛王喻者。以大勝小。山王喻者。以久勝	也 牛 王 喻 者 以 大 勝 小 山 王 喻 者 以 久 勝 
T85n2761_001:0255a26	始。亦可不必取於新舊。但能捨三便勝不捨	始 亦 可 不 必 取 於 新 舊 但 能 捨 三 便 勝 不 捨 
T85n2761_001:0255a27	也。當以攝受三正法開示眾生者。此是如來	也 當 以 攝 受 三 正 法 開 示 眾 生 者 此 是 如 來 
T85n2761_001:0255a28	勸誡。勝鬘從今至佛說法教化令人修善。應	勸 誡 勝 鬘 從 今 至 佛 說 法 教 化 令 人 修 善 應 
T85n2761_001:0255a29	用正法也。如是大利者。說益人義。一切眾	用 正 法 也 如 是 大 利 者 說 益 人 義 一 切 眾 
T85n2761_001:0255b01	生皆離諸惡也。如是大福者。具足萬善也。如	生 皆 離 諸 惡 也 如 是 大 福 者 具 足 萬 善 也 如 
T85n2761_001:0255b02	是大果者。能成佛果也。所得義利不得邊際	是 大 果 者 能 成 佛 果 也 所 得 義 利 不 得 邊 際 
T85n2761_001:0255b03	者。說便縛與行不可盡也。	者 說 便 縛 與 行 不 可 盡 也 
T85n2761_001:0255b04	汝今更說者。第五經名也。名真理正非學地	汝 今 更 說 者 第 五 經 名 也 名 真 理 正 非 學 地 
T85n2761_001:0255b05	所及。要須佛勅乃敢說之守體改名言受說	所 及 要 須 佛 勅 乃 敢 說 之 守 體 改 名 言 受 說 
T85n2761_001:0255b06	也。攝受正法者摩訶衍者。既蒙命旨。豈容不	也 攝受正法 者 摩 訶 衍 者 既 蒙 命 旨 豈 容 不 
T85n2761_001:0255b07	言。令所言者。必願稱理。理廣言大無所不苞	言 令 所 言 者 必 願 稱 理 理 廣 言 大 無 所 不 苞 
T85n2761_001:0255b08	一乘之義。始得顯矣。摩訶衍者出生一切聲	一 乘 之 義 始 得 顯 矣 摩 訶 衍 者 出 生 一 切 聲 
T85n2761_001:0255b09	聞緣覺出世間善法者。從此訖受具足故者。	聞 緣 覺 出 世 間 善 法 者 從 此 訖 受 具 足 故 者 
T85n2761_001:0255b10	明於因入也。將明於入也。先說於善出。若從	明 於 因 入 也 將 明 於 入 也 先 說 於 善 出 若 從 
T85n2761_001:0255b11	此出還入是也。達池如大乘。八河如四因四	此 出 還 入 是 也 達 池 如 大 乘 八 河 如 四 因 四 
T85n2761_001:0255b12	果也。四人因善皆入大乘也。正法往者。佛	果 也 四 人 因 善 皆 入 大 乘 也 正 法 往 者 佛 
T85n2761_001:0255b13	法住世劫數多少也。正法滅者。正法滅已至	法 住 世 劫 數 多 少 也 正 法 滅 者 正 法 滅 已 至 
T85n2761_001:0255b14	像法也。像法滅已佛法都滅也。為大乘故說	像 法 也 像 法 滅 已 佛 法 都 滅 也 為 大 乘 故 說 
T85n2761_001:0255b15	者。法住法滅即是大乘欲令二乘解知不異	者 法 住 法 滅 即 是 大 乘 欲 令 二 乘 解 知 不 異 
T85n2761_001:0255b16	也。波羅提木叉三法也。比丘四法義一名異。	也 波羅提木叉 三 法 也 比 丘 四 法 義一名異 
T85n2761_001:0255b17	同能遮惡為義一。比尼木叉為異名也。又一	同 能 遮 惡 為 義 一 比 尼 木 叉 為 異 名 也 又 一 
T85n2761_001:0255b18	新解同是大乘名為義一。木叉比尼二乘所行	新 解 同 是 大 乘 名 為 義 一 木 叉 比 尼 二 乘 所 行 
T85n2761_001:0255b19	為異名也。即大乘學者明義一也。善理同歸	為 異 名 也 即 大 乘 學 者 明 義 一 也 善 理 同 歸 
T85n2761_001:0255b20	無大小別法也。依佛出家五法也。而受具足	無 大 小 別 法 也 依 佛 出 家 五 法 也 而 受 具 足 
