X17n0327_001:0471c06	楞伽補遺	楞 伽 補 遺 
X17n0327_001:0472a18	成佛。為法華開顯之前茅。故判為法華先導也。	成 佛 為 法 華 開 顯 之 前 茅 故 判 為 法 華 先 導 也 
X17n0327_001:0472a19	佛語心品者。此經直指寂滅一心為宗。以自覺聖智	佛 語 心 品 者 此 經 直 指 寂 滅 一 心 為 宗 以 自覺聖智 
X17n0327_001:0472a20	證入為趣。以此心不屬迷悟了絕聖凡。十法界依正	證 入 為 趣 以 此 心 不 屬 迷 悟 了 絕 聖 凡 十 法 界 依 正 
X17n0327_001:0472a21	因果。一法不立。所謂五法三自性皆空。八識二無我	因 果 一 法 不 立 所 謂 五 法 三 自 性 皆 空 八 識 二 無 我 
X17n0327_001:0472a22	俱遣。以此四門皆迷悟邊事。所以大慧讚佛偈云。若	俱 遣 以 此 四 門 皆 迷 悟 邊 事 所 以 大 慧 讚 佛 偈 云 若 
X17n0327_001:0472a23	有若無有。是二悉皆離。以有是生死法。無是涅槃法。	有 若 無 有 是 二 悉 皆 離 以 有 是 生 死 法 無 是 涅 槃 法 
X17n0327_001:0472a24	此二皆離。則法界性空寂滅一心顯矣。故云佛語心	此 二 皆 離 則 法 界 性 空 寂 滅 一 心 顯 矣 故 云 佛 語 心 
X17n0327_001:0472b01	品。謂佛所說者。唯此一心法耳。故禪宗指此為心印。	品 謂 佛 所 說 者 唯 此 一 心 法 耳 故 禪 宗 指 此 為 心 印 
X17n0327_001:0472b02	謂之佛祖向上一路。名頓教大乘。	謂 之 佛 祖 向 上 一 路 名 頓 教 大 乘 
X17n0327_001:0472b03	大慧讚佛五偈半。極盡一心之旨。故後顯一心文云。	大 慧 讚 佛 五 偈 半 極 盡 一 心 之 旨 故 後 顯 一 心 文 云 
X17n0327_001:0472b04	空無生無二。離自性相故。初偈云。世間離生滅。猶如	空 無 生 無 二 離 自 性 相 故 初 偈 云 世 間 離 生 滅 猶 如 
X17n0327_001:0472b05	虗空華。此讚佛能證一心空義。目明了徧計本無也。	虗 空 華 此 讚 佛 能 證 一 心 空 義 目 明 了 徧 計 本 無 也 
X17n0327_001:0472b06	言世間即該三世間。謂智正覺世間。有情世間。器世	言 世 間 即 該 三 世 間 謂 智 正 覺 世 間 有 情 世 間 器 世 
X17n0327_001:0472b07	間。通該十法界依正因果。目此三種世間皆生滅法	間 通 該 十 法 界 依 正 因 果 目 此 三 種 世 間 皆 生 滅 法 
X17n0327_001:0472b08	也。目唯心所現本無生滅。但依徧計而有。以性空故。	也 目 唯 心 所 現 本 無 生 滅 但 依 徧 計 而 有 以 性 空 故 
X17n0327_001:0472b09	故如空華。即此一偈。已超迷悟因果。直示一心之源	故 如 空 華 即 此 一 偈 已 超 迷 悟 因 果 直 示 一 心 之 源 
X17n0327_001:0472b10	矣。唯佛目自覺聖智。證窮此心。故云智不得有無之	矣 唯 佛 目 自覺聖智 證 窮 此 心 故 云 智 不 得 有 無 之 
X17n0327_001:0472b11	相。今愍物迷此。故目同體大悲。出現世間。而開示眾	相 今 愍 物 迷 此 故 目 同 體 大 悲 出 現 世 間 而 開 示 眾 
X17n0327_001:0472b12	生。故云而興大悲心。故今所說。正示此一心耳。	生 故 云 而 興 大 悲 心 故 今 所 說 正 示 此 一 心 耳 
X17n0327_001:0472b13	次偈云。一切法如幻。遠離于心識。此示一心本無生	次 偈 云 一切法如 幻 遠 離 于 心 識 此 示 一 心 本 無 生 
X17n0327_001:0472b14	義也。併後一偈。以明了依他無性從緣而有。意謂。世	義 也 併 後 一 偈 以 明 了 依 他 無 性 從 緣 而 有 意 謂 世 
X17n0327_001:0472b15	間現有生滅。何以言空。故云以一切法本自無生。但	間 現 有 生 滅 何 以 言 空 故 云 以 一 切 法 本 自 無 生 但 
X17n0327_001:0472b16	依他有。故如幻耳。幻喻生本無生。若目妄心分別。則	依 他 有 故 如 幻 耳 幻 喻 生 本 無 生 若 目 妄 心 分 別 則 
X17n0327_001:0472b17	見有生滅。若遠離心識分別不生。則當體無生。了無	見 有 生 滅 若 遠 離 心 識 分 別 不 生 則 當 體 無 生 了 無 
X17n0327_001:0472b18	一法當情。豈非空耶。	一 法 當 情 豈 非 空 耶 
X17n0327_001:0472b19	三偈文例應云。世間恒如夢。遠離于斷常。此顯無二	三 偈 文 例 應 云 世 間 恒 如 夢 遠 離 于 斷 常 此 顯 無 二 
X17n0327_001:0472b20	也。意謂。世出世間一切諸法。唯心所現。外道二乘。不	也 意 謂 世出世間 一切諸法 唯 心 所 現 外 道 二 乘 不 
X17n0327_001:0472b21	了唯心依他而起。故妄分有無。起斷常有無二見。若	了 唯 心 依 他 而 起 故 妄 分 有 無 起 斷 常 有無二見 若 
X17n0327_001:0472b22	了唯心。則遠離斷常。了無二見矣。	了 唯 心 則 遠 離 斷 常 了 無 二 見 矣 
X17n0327_001:0472b23	四偈。顯離自性。意謂。眾生不了唯心。則妄執人法二	四 偈 顯 離 自 性 意 謂 眾 生 不 了 唯 心 則 妄 執 人 法 二 
X17n0327_001:0472b24	我。為二障根本。則起惑造業。妄見生死之相。既了唯	我 為 二 障 根 本 則 起 惑 造 業 妄 見 生 死 之 相 既 了 唯 
X17n0327_001:0472c01	心。則人法雙忘。二障頓淨。唯一圓成。則生死之相不	心 則 人 法 雙 忘 二 障 頓 淨 唯 一 圓 成 則 生 死 之 相 不 
X17n0327_001:0472c02	可得矣。此上四偈。讚佛超世間生死有法也。然空無	可 得 矣 此 上 四 偈 讚 佛 超 世 間 生 死 有 法 也 然 空 無 
X17n0327_001:0472c03	生無二離自性相故。乃當經一心之旨。後文自顯。目	生 無 二 離 自 性 相 故 乃 當 經 一 心 之 旨 後 文 自 顯 目 
X17n0327_001:0472c04	三性釋者。乃清涼意。故引義目證之。	三 性 釋 者 乃 清 涼 意 故 引 義 目 證 之 
X17n0327_001:0472c05	五偈讚佛超涅槃法。意謂。一切諸法。既唯一心。則本	五 偈 讚 佛 超 涅 槃 法 意 謂 一切諸法 既 唯 一 心 則 本 
X17n0327_001:0472c06	來寂滅。不假更滅。故云一切無涅槃。然諸法既目本	來 寂 滅 不 假 更 滅 故 云 一 切 無 涅 槃 然 諸 法 既 目 本 
X17n0327_001:0472c07	自涅槃。則法法皆真。盡是法身真體。如此又何則有	自 涅 槃 則 法 法 皆 真 盡 是 法 身 真 體 如 此 又 何 則 有 
X17n0327_001:0472c08	涅槃為佛所證耶。故云亦無涅槃佛。斯則法身常住。	涅 槃 為 佛 所 證 耶 故 云 亦 無 涅 槃 佛 斯 則 法 身 常 住 
X17n0327_001:0472c09	又豈有佛更入涅槃耶。何耶。以遠離覺所覺故。謂唯	又 豈 有 佛 更 入 涅 槃 耶 何 耶 以 遠 離 覺 所 覺 故 謂 唯 
X17n0327_001:0472c10	此絕待一心。本無能所對待故也。唯佛證此。所目若	此 絕 待 一 心 本 無 能 所 對 待 故 也 唯 佛 證 此 所 目 若 
X17n0327_001:0472c11	有若無有是二悉皆離也。故二譯載夜叉王首即問	有 若 無 有 是 二 悉 皆 離 也 故 二 譯 載 夜 叉 王 首 即 問 
X17n0327_001:0472c12	佛云何捨法云何捨非法。佛答。以外道見生死為法。	佛 云 何 捨 法 云 何 捨 非 法 佛 答 以 外 道 見 生 死 為 法 
X17n0327_001:0472c13	涅槃為非法。是二應捨故。大慧讚云。有無俱離。是則	涅 槃 為 非 法 是 二 應 捨 故 大 慧 讚 云 有 無 俱 離 是 則 
X17n0327_001:0472c14	全經之旨。不出夜叉發起一問并大慧偈讚而已。故	全 經 之 旨 不 出 夜 叉 發 起 一 問 并 大 慧 偈 讚 而 已 故 
X17n0327_001:0472c15	向下所破者。乃有無二見耳。	向 下 所 破 者 乃 有無二見 耳 
X17n0327_001:0472c16	悉檀離言說。梵語悉檀。此云徧施。謂佛以四法偏施	悉 檀 離 言 說 梵 語 悉 檀 此 云 徧 施 謂 佛 以 四 法 偏 施 
X17n0327_001:0472c17	眾生。四者。一世界悉檀。令眾生得歡喜益。二為人悉	眾 生 四 者 一 世界悉檀 令 眾 生 得 歡 喜 益 二 為 人 悉 
X17n0327_001:0472c18	檀。令得生善益。三對治悉檀。令得破惡益。四第一義	檀 令 得 生 善 益 三 對治悉檀 令 得 破 惡 益 四 第 一 義 
X17n0327_001:0472c19	悉檀。令得入理益。謂佛雖以四法徧施眾生。然但應	悉 檀 令 得 入 理 益 謂 佛 雖 以 四 法 徧 施 眾 生 然 但 應 
X17n0327_001:0472c20	眾生之機。本來離言說相。意責大慧不達離言之旨。	眾 生 之 機 本 來 離 言 說 相 意 責 大 慧 不 達 離 言 之 旨 
X17n0327_001:0472c21	故有此問。我令特為顯示建立數句離言之旨。故向	故 有 此 問 我 令 特 為 顯 示 建 立 數 句 離 言 之 旨 故 向 
X17n0327_001:0472c22	下一一皆曰非。	下 一 一 皆 曰 非 
X17n0327_001:0472c23	大慧聞一心真如離一切相了無說示。是知十法界	大 慧 聞 一 心 真 如 離一切相 了 無 說 示 是 知 十 法 界 
X17n0327_001:0472c24	相。皆唯心所現。唯識所變。乃生滅門事。故即問諸識	相 皆 唯 心 所 現 唯 識 所 變 乃 生 滅 門 事 故 即 問 諸 識 
X17n0327_001:0473a01	有幾種生住滅也。七種自性。魏譯云外道有七種自	有 幾 種 生 住 滅 也 七 種 自 性 魏 譯 云 外 道 有 七 種 自 
X17n0327_001:0473a02	性。講者槩以正教道理釋之。昧之甚矣。殊不知此經	性 講 者 槩 以 正 教 道 理 釋 之 昧 之 甚 矣 殊 不 知 此 經 
X17n0327_001:0473a03	專破外道不知唯心唯識道理。故別立異法。目為生	專 破 外 道 不 知 唯 心 唯 識 道 理 故 別 立 異 法 目 為 生 
X17n0327_001:0473a04	因。目迷真妄不一不異唯識真因。故立異因。佛前文	因 目 迷 真 妄 不 一 不 異 唯 識 真 因 故 立 異 因 佛 前 文 
X17n0327_001:0473a05	責外道墮斷見論故。特出所計生法。異因有五。言勝	責 外 道 墮 斷 見 論 故 特 出 所 計 生 法 異 因 有 五 言 勝 
X17n0327_001:0473a06	玅。士大。自在。時。微塵等。乃外道所計之法為生因者。	玅 士 大 自 在 時 微 塵 等 乃 外 道 所 計 之 法 為 生 因 者 
X17n0327_001:0473a07	故隨後即出所立妄計。各有確定。自性為宗。有七耳。	故 隨 後 即 出 所 立 妄 計 各 有 確 定 自 性 為 宗 有 七 耳 
X17n0327_001:0473a08	既出邪宗。故後示正教云。我有七種第一義也。經文	既 出 邪 宗 故 後 示 正 教 云 我 有 七 種 第 一 義 也 經 文 
X17n0327_001:0473a09	上下血脈。佛語昭然。而昧者妄擬。謬之甚矣。若七種	上 下 血 脈 佛 語 昭 然 而 昧 者 妄 擬 謬 之 甚 矣 若 七 種 
X17n0327_001:0473a10	自性。已立正義。又何下文重出七種第一義。豈不贅	自 性 已 立 正 義 又 何 下 文 重 出 七 種 第 一 義 豈 不 贅 
X17n0327_001:0473a11	耶。	耶 
X17n0327_001:0473a12	七種第一義心境界者。謂佛目法界一心。為自境也。	七 種 第 一 義 心 境 界 者 謂 佛 目 法 界 一 心 為 自 境 也 
X17n0327_001:0473a13	慧境界者。慧光無量。炤徹微塵剎土也。智境界者。謂	慧 境 界 者 慧 光 無 量 炤 徹 微 塵 剎 土 也 智 境 界 者 謂 
X17n0327_001:0473a14	目權實二智。窮盡真妄聖凡也。見境界。唐本云二見	目 權 實 二 智 窮 盡 真 妄 聖 凡 也 見 境 界 唐 本 云 二 見 
X17n0327_001:0473a15	境界。謂雙炤真俗二邊也。超二見。謂窮盡一心中道	境 界 謂 雙 炤 真 俗 二 邊 也 超 二 見 謂 窮 盡 一 心 中 道 
X17n0327_001:0473a16	也。超十地境界者。謂等覺後心極盡因門也。如來自	也 超 十 地 境 界 者 謂 等 覺 後 心 極 盡 因 門 也 如 來 自 
X17n0327_001:0473a17	到境界。證窮法界。自覺聖智。究竟果海也。意謂。我所	到 境 界 證 窮 法 界 自覺聖智 究 竟 果 海 也 意 謂 我 所 
X17n0327_001:0473a18	建立。乃稱一心真如平等。佛慧以二智見二空。證真	建 立 乃 稱 一 心 真 如 平 等 佛 慧 以 二 智 見 二 空 證 真 
X17n0327_001:0473a19	如。以至等覺。入佛果海。目為法門。蓋依性自性第一	如 以 至 等 覺 入 佛 果 海 目 為 法 門 蓋 依 性 自 性 第 一 
X17n0327_001:0473a20	義心而建立故。不與外道惡見共也。此七第一義心。	義 心 而 建 立 故 不 與 外 道 惡 見 共 也 此 七 第 一 義 心 
X17n0327_001:0473a21	乃單示佛境界。不說因心。若說因心。則失旨矣。	乃 單 示 佛 境 界 不 說 因 心 若 說 因 心 則 失 旨 矣 
X17n0327_001:0473a22	問曰。說三種識即結果者何耶。答曰。前三種識中。	問 曰 說 三 種 識 即 結 果 者 何 耶 答 曰 前 三 種 識 中 
X17n0327_001:0473a23	最初顯識生之由。以無明熏真如。為現識生起因。取	最 初 顯 識 生 之 由 以 無 明 熏 真 如 為 現 識 生 起 因 取 
X17n0327_001:0473a24	種種塵等。為分別事識生起因。佛意顯此藏識依真	種 種 塵 等 為 分別事識 生 起 因 佛 意 顯 此 藏 識 依 真 
X17n0327_001:0473b01	而起。乃真妄和合。故特指阿賴耶識為生死涅槃因。	而 起 乃 真 妄 和 合 故 特 指 阿賴耶識 為 生死涅槃 因 
X17n0327_001:0473b02	立此真因。將破外道無因邪因故。即辨明邪正。目示	立 此 真 因 將 破 外 道 無 因 邪 因 故 即 辨 明 邪 正 目 示 
X17n0327_001:0473b03	唯心如幻觀門。顯直觀藏識。頓破根本無明。頓證一	唯 心 如 幻 觀 門 顯 直 觀 藏 識 頓 破 根本無明 頓 證 一 
X17n0327_001:0473b04	心。為究竟極果。故隨便成立唯心一番因果。目結三	心 為 究 竟 極 果 故 隨 便 成 立 唯 心 一 番 因 果 目 結 三 
X17n0327_001:0473b05	種識相也。	種 識 相 也 
X17n0327_001:0473b06	問曰。生滅章中。大慧初問諸識有幾種生住滅。佛答。	問 曰 生 滅 章 中 大 慧 初 問 諸 識 有 幾 種 生 住 滅 佛 答 
X17n0327_001:0473b07	目略說有三種識。廣說有八種相。今前略有三種識	目 略 說 有 三 種 識 廣 說 有 八 種 相 今 前 略 有 三 種 識 
X17n0327_001:0473b08	已竟。而大慧復問廣說八種相中。先敘世尊所說心	已 竟 而 大 慧 復 問 廣 說 八 種 相 中 先 敘 世 尊 所 說 心 
X17n0327_001:0473b09	意意識五法自性相。且云一切諸佛菩薩所行自心	意 意 識 五 法 自 性 相 且 云 一切諸佛 菩薩所行 自 心 
X17n0327_001:0473b10	見等所緣境界不和合。顯示一說成真實相一切佛	見 等 所 緣 境 界 不 和 合 顯 示 一 說 成 真 實 相 一 切 佛 
X17n0327_001:0473b11	語心。然後方請說藏識海浪法身境界者。何耶。答	語 心 然 後 方 請 說 藏 識 海 浪 法 身 境 界 者 何 耶 答 
X17n0327_001:0473b12	曰。此通涂問意。血脈幽潛。最難理會。請試言之。此經	曰 此 通 涂 問 意 血 脈 幽 潛 最 難 理 會 請 試 言 之 此 經 
X17n0327_001:0473b13	單示寂滅一心離一切相。故云五法三自性皆空八	單 示 寂 滅 一 心 離一切相 故 云 五 法 三 自 性 皆 空 八 
X17n0327_001:0473b14	識二無我俱遣。故大慧初問百八句。蓋約五法三自	識 二 無 我 俱 遣 故 大 慧 初 問 百 八 句 蓋 約 五 法 三 自 
X17n0327_001:0473b15	性八識二無我目問。故佛指寂滅一心目答。故云一	性 八 識 二 無 我 目 問 故 佛 指 寂 滅 一 心 目 答 故 云 一 
X17n0327_001:0473b16	切皆非。是則直指一心。一法不立。則不容有說矣。此	切 皆 非 是 則 直 指 一 心 一 法 不 立 則 不 容 有 說 矣 此 
X17n0327_001:0473b17	顯一心真如離一切相也。故大慧隨問諸識有幾種	顯 一 心 真 如 離一切相 也 故 大 慧 隨 問 諸 識 有 幾 種 
X17n0327_001:0473b18	生住滅。是約心生滅門。容有言說矣。然生滅門中。先	生 住 滅 是 約 心 生 滅 門 容 有 言 說 矣 然 生 滅 門 中 先 
X17n0327_001:0473b19	問諸識者。以五法三自性二無我三門皆依八識轉	問 諸 識 者 以 五 法 三 自 性 二 無 我 三 門 皆 依 八 識 轉 
X17n0327_001:0473b20	變而立也。故先問諸識一門。未及問五法三自性二	變 而 立 也 故 先 問 諸 識 一 門 未 及 問 五 法 三 自 性 二 
X17n0327_001:0473b21	無我。後三門義。佛答謂諸藏識略說有三種識。廣說	無 我 後 三 門 義 佛 答 謂 諸 藏 識 略 說 有 三 種 識 廣 說 
X17n0327_001:0473b22	有八種相。今前答略說三識。單顯第八識自體已竟。	有 八 種 相 今 前 答 略 說 三 識 單 顯 第 八 識 自 體 已 竟 
X17n0327_001:0473b23	故大慧重請有八種相故。問藏識海浪。乃問前七識	故 大 慧 重 請 有 八 種 相 故 問 藏 識 海 浪 乃 問 前 七 識 
X17n0327_001:0473b24	生起之由也。然請辭先敘所說心意意識五法等。乃	生 起 之 由 也 然 請 辭 先 敘 所 說 心意意識 五 法 等 乃 
X17n0327_001:0473c01	至成真實佛語心者。乃通牒前問答。申領佛意。目啟	至 成 真 實 佛 語 心 者 乃 通 牒 前 問 答 申 領 佛 意 目 啟 
X17n0327_001:0473c02	前七識生起之問也。然五法等。乃依八識之所建立	前 七 識 生 起 之 問 也 然 五 法 等 乃 依 八 識 之 所 建 立 
X17n0327_001:0473c03	也。世尊答云。一切皆非。此已領佛示真實佛語心矣。	也 世 尊 答 云 一 切 皆 非 此 已 領 佛 示 真 實 佛 語 心 矣 
X17n0327_001:0473c04	及問生滅門。世尊略說三種識。世尊說不思議熏變。	及 問 生 滅 門 世 尊 略 說 三 種 識 世 尊 說 不 思 議 熏 變 
X17n0327_001:0473c05	乃八識生起之由。且云真識現識。乃題識藏即如來	乃 八 識 生 起 之 由 且 云 真 識 現 識 乃 題 識 藏 即 如 來 
X17n0327_001:0473c06	藏。已領其旨矣。意謂。五法等皆依八識建立。但不知	藏 已 領 其 旨 矣 意 謂 五 法 等 皆 依 八 識 建 立 但 不 知 
X17n0327_001:0473c07	前七轉識因何而生。又不知如何生即無生。故問藏	前 七 轉 識 因 何 而 生 又 不 知 如 何 生 即 無 生 故 問 藏 
X17n0327_001:0473c08	識海浪即法身境界。又不知五法三自性二無我。因	識 海 浪 即 法 身 境 界 又 不 知 五 法 三 自 性 二 無 我 因 
X17n0327_001:0473c09	何而立。故因請八識之相含問四門之義也。故世尊	何 而 立 故 因 請 八 識 之 相 含 問 四 門 之 義 也 故 世 尊 
X17n0327_001:0473c10	向下先答八識生起之由。後又重申問五法自性。佛	向 下 先 答 八 識 生 起 之 由 後 又 重 申 問 五 法 自 性 佛 
X17n0327_001:0473c11	一一答畢。末後結歸二無我觀。目成唯心觀門。為真	一 一 答 畢 末 後 結 歸 二 無 我 觀 目 成 唯 心 觀 門 為 真 
X17n0327_001:0473c12	實佛語心也。故答意從此直至後文結果章中。目通	實 佛 語 心 也 故 答 意 從 此 直 至 後 文 結 果 章 中 目 通 
X17n0327_001:0473c13	明五法自性。顯正智如如。方盡從生滅門入真如門	明 五 法 自 性 顯 正 智 如 如 方 盡 從 生 滅 門 入 真 如 門 
X17n0327_001:0473c14	究竟之義也。大科甚明。當通觀之。	究 竟 之 義 也 大 科 甚 明 當 通 觀 之 
X17n0327_001:0473c15	問曰。大慧問藏識海浪。乃問前七識也。而云法身境	問 曰 大 慧 問 藏 識 海 浪 乃 問 前 七 識 也 而 云 法 身 境 
X17n0327_001:0473c16	界者。何耶。答曰。大慧述領一心之旨。意謂。佛上來	界 者 何 耶 答 曰 大 慧 述 領 一 心 之 旨 意 謂 佛 上 來 
X17n0327_001:0473c17	說心意意識五法自性皆空。乃是一切諸佛菩薩自	說 心意意識 五 法 自 性 皆 空 乃 是 一切諸佛 菩 薩 自 
X17n0327_001:0473c18	心現量所緣境界。一法不立。絕諸對待。故云不和合。	心 現 量 所 緣 境 界 一 法 不 立 絕 諸 對 待 故 云 不 和 合 
X17n0327_001:0473c19	如此說是已顯真實佛語心。此已領前識藏如來藏	如 此 說 是 已 顯 真 實 佛 語 心 此 已 領 前 識 藏 如 來 藏 
X17n0327_001:0473c20	真妄不一不異之旨矣。但不知前七識生起之由。所	真 妄 不 一 不 異 之 旨 矣 但 不 知 前 七 識 生 起 之 由 所 
X17n0327_001:0473c21	目生本無生之義。故請說藏識海浪即是法身境界	目 生 本 無 生 之 義 故 請 說 藏 識 海 浪 即 是 法 身 境 界 
X17n0327_001:0473c22	也。故下答文中。示四因緣故眼識生。目緣生性空。目	也 故 下 答 文 中 示 四 因 緣 故 眼 識 生 目 緣 生 性 空 目 
X17n0327_001:0473c23	顯生即無生之意。即法身境界也。合業生相者。然業	顯 生 即 無 生 之 意 即 法 身 境 界 也 合 業 生 相 者 然 業 
X17n0327_001:0473c24	即業識。生謂生相無明。起信云。以依阿賴耶識說有	即 業 識 生 謂 生 相 無 明 起 信 云 以 依 阿賴耶識 說 有 
X17n0327_001:0474a01	無明。初無明熏真如成業識。既成業識。則生相無明	無 明 初 無 明 熏 真 如 成 業 識 既 成 業 識 則 生 相 無 明 
X17n0327_001:0474a02	即依業識。故云合業生相。以生相無明即熏業識。遂	即 依 業 識 故 云 合 業 生 相 以 生 相 無 明 即 熏 業 識 遂 
X17n0327_001:0474a03	起染心。則深生計著為我。此即七識生起之相也。	起 染 心 則 深 生 計 著 為 我 此 即 七 識 生 起 之 相 也 
X17n0327_001:0474a04	八識偈中。佛顯八識即真。本來一體。雖異而不異。目	八 識 偈 中 佛 顯 八 識 即 真 本 來 一 體 雖 異 而 不 異 目 
X17n0327_001:0474a05	示海浪法身境界。故目海水波浪喻浪異而水不異	示 海 浪 法 身 境 界 故 目 海 水 波 浪 喻 浪 異 而 水 不 異 
