X63n1234_001:0167c06	臨濟宗旨	臨 濟 宗 旨 
X63n1234_001:0168c01	曰。一句中具三玄。一玄中具三要。有玄有要而已。初	曰 一 句 中 具 三 玄 一 玄 中 具 三 要 有 玄 有 要 而 已 初 
X63n1234_001:0168c02	未甞目為句中玄．意中玄．體中玄也。古塔主者悞認	未 甞 目 為 句 中 玄 意 中 玄 體 中 玄 也 古 塔 主 者 悞 認 
X63n1234_001:0168c03	玄沙三句為三玄。故但分三玄而遺落三要。叢林安	玄 沙 三 句 為 三 玄 故 但 分 三 玄 而 遺 落 三 要 叢 林 安 
X63n1234_001:0168c04	之不以為非。為可太息。玄沙曰。真常流注為平等法。	之 不 以 為 非 為 可 太 息 玄 沙 曰 真 常 流 注 為 平 等 法 
X63n1234_001:0168c05	但是以言遣言。以理逐理。為之明前不明後。盖分證	但 是 以 言 遣 言 以 理 逐 理 為 之 明 前 不 明 後 盖 分 證 
X63n1234_001:0168c06	法身之量。未有出格之句。死在句下。若知出格之量。	法 身 之 量 未 有 出 格 之 句 死 在 句 下 若 知 出 格 之 量 
X63n1234_001:0168c07	則不被心魔所使。入到手中便轉換落落地。言通大	則 不 被 心 魔 所 使 入 到 手 中 便 轉 換 落 落 地 言 通 大 
X63n1234_001:0168c08	道。不坐平常之見。此第一句也。古謂之句中玄。回機	道 不 坐 平 常 之 見 此 第 一 句 也 古 謂 之 句 中 玄 回 機 
X63n1234_001:0168c09	轉位。生殺自在。縱奪隨宜。出生入死。廣利一切。逈脫	轉 位 生 殺 自 在 縱 奪 隨 宜 出 生 入 死 廣 利 一 切 逈 脫 
X63n1234_001:0168c10	色欲愛見之境。此第二句也。古謂之意中玄。明陰洞	色 欲 愛 見 之 境 此 第 二 句 也 古 謂 之 意 中 玄 明 陰 洞 
X63n1234_001:0168c11	陽。廓周沙界。一真體性大用現前。應化無方。全用全	陽 廓 周 沙 界 一 真 體 性 大 用 現 前 應 化 無 方 全 用 全 
X63n1234_001:0168c12	不用。全生全不生。方便喚作慈定之門。此第三句也。	不 用 全 生 全 不 生 方 便 喚 作 慈 定 之 門 此 第 三 句 也 
X63n1234_001:0168c13	古謂之體中玄。浮山遠公亦曰。意中玄非意識之意。	古 謂 之 體 中 玄 浮 山 遠 公 亦 曰 意 中 玄 非 意 識 之 意 
X63n1234_001:0168c14	古不足道。遠亦迷倒。予不可以不辨。無盡頷之。又曰。	古 不 足 道 遠 亦 迷 倒 予 不 可 以 不 辨 無 盡 頷 之 又 曰 
X63n1234_001:0168c15	吾頃見謝師直稱。吳僧簡程者。有大知見。親見慈明。	吾 頃 見 謝 師 直 稱 吳 僧 簡 程 者 有 大 知 見 親 見 慈 明 
X63n1234_001:0168c16	蓋是真點胸。楊岐道吾之流亞接人。多舉汾陽十智	蓋 是 真 點 胸 楊 岐 道 吾 之 流 亞 接 人 多 舉 汾 陽 十 智 
X63n1234_001:0168c17	同真。願遂聞其說。予曰。十智同真與三玄三要同一	同 真 願 遂 聞 其 說 予 曰 十 智 同 真 與 三 玄 三 要 同 一 
X63n1234_001:0168c18	關捩。汾陽曰。夫說法者須具十智同真。若不具十智	關 捩 汾 陽 曰 夫 說 法 者 須 具 十 智 同 真 若 不 具 十 智 
X63n1234_001:0168c19	同真。邪正不辨。緇素不分。不能與人天為眼目。決斷	同 真 邪 正 不 辨 緇 素 不 分 不 能 與 人 天 為 眼 目 決 斷 
X63n1234_001:0168c20	是非。如鳥飛空而折翼。如箭射的而斷絃。絃斷故射	是 非 如 鳥 飛 空 而 折 翼 如 箭 射 的 而 斷 絃 絃 斷 故 射 
X63n1234_001:0168c21	的不中。翼折故空不可飛。弦壯翼牢空的俱徹。作麼	的 不 中 翼 折 故 空 不 可 飛 弦 壯 翼 牢 空 的 俱 徹 作 麼 
X63n1234_001:0168c22	生是十智同真。與諸上座點出。一同一質。二同大事。	生 是 十 智 同 真 與 諸 上 座 點 出 一 同 一 質 二 同 大 事 
X63n1234_001:0168c23	三總同參。四同真智。五同徧普。六同具足。七同得失。	三 總 同 參 四 同 真 智 五 同 徧 普 六 同 具 足 七 同 得 失 
X63n1234_001:0168c24	八同生殺。九同音吼。十同得入。又云。與什麼人同得	八 同 生 殺 九 同 音 吼 十 同 得 入 又 云 與 什 麼 人 同 得 
X63n1234_001:0169a01	入。與誰同音吼。作麼生是同生殺。什麼物同得失。阿	入 與 誰 同 音 吼 作 麼 生 是 同 生 殺 什 麼 物 同 得 失 阿 
X63n1234_001:0169a02	郍箇同具足。是什麼同徧普。何人同真智。孰能總同	郍 箇 同 具 足 是 什 麼 同 徧 普 何 人 同 真 智 孰 能 總 同 
X63n1234_001:0169a03	參。那箇同大事。何物同一質。有點得出底麼。點得出	參 那 箇 同 大 事 何 物 同 一 質 有 點 得 出 底 麼 點 得 出 
X63n1234_001:0169a04	者不悋慈悲。點不出者未有參學眼在。切須辦取。要	者 不 悋 慈 悲 點 不 出 者 未 有 參 學 眼 在 切 須 辦 取 要 
X63n1234_001:0169a05	識是非。面目見在。今此法門叢林怕怖。不欲聞其若	識 是 非 面 目 見 在 今 此 法 門 叢 林 怕 怖 不 欲 聞 其 若 
X63n1234_001:0169a06	何以言之諸方但愛平實見解執之不移唯欲傳授	何 以 言 之 諸 方 但 愛 平 實 見 解 執 之 不 移 唯 欲 傳 授 
X63n1234_001:0169a07	不信有悟。借使汾陽復生。親為剖折。亦以為非。昔阿	不 信 有 悟 借 使 汾 陽 復 生 親 為 剖 折 亦 以 為 非 昔 阿 
X63n1234_001:0169a08	難夜經行。聞童子誦佛偈曰。若人生百歲。不善水潦	難 夜 經 行 聞 童 子 誦 佛 偈 曰 若 人 生 百 歲 不 善 水 潦 
X63n1234_001:0169a09	鶴。未若生一日。而得決了之。阿難就教之曰。不善諸	鶴 未 若 生 一 日 而 得 決 了 之 阿 難 就 教 之 曰 不 善 諸 
X63n1234_001:0169a10	佛機。非水潦鶴也。童子歸白其師。師咲曰。阿難老昏	佛 機 非 水 潦 鶴 也 童 子 歸 白 其 師 師 咲 曰 阿 難 老 昏 
X63n1234_001:0169a11	矣。當以我語為是。於今學者之前。語三玄十智旨趣。	矣 當 以 我 語 為 是 於 今 學 者 之 前 語 三 玄 十 智 旨 趣 
X63n1234_001:0169a12	何以異此。於是無盡嗟咨曰。然其旨趣豈無方便。予	何 以 異 此 於 是 無 盡 嗟 咨 曰 然 其 旨 趣 豈 無 方 便 予 
X63n1234_001:0169a13	作偈曰。十智同真面目全。於中一智是根源。若大咨	作 偈 曰 十 智 同 真 面 目 全 於 中 一 智 是 根 源 若 大 咨 
X63n1234_001:0169a14	見汾陽老。擘破三玄作兩邊。又問。四種賓主亦臨濟	見 汾 陽 老 擘 破 三 玄 作 兩 邊 又 問 四 種 賓 主 亦 臨 濟 
X63n1234_001:0169a15	建立法門乎。予曰。三世如來諸代祖師。鍛出凡聖情	建 立 法 門 乎 予 曰 三 世 如 來 諸 代 祖 師 鍛 出 凡 聖 情 
X63n1234_001:0169a16	見之鑪鎚。非止臨濟用之。如龍山本見馬祖。洞山价	見 之 鑪 鎚 非 止 臨 濟 用 之 如 龍 山 本 見 馬 祖 洞 山 价 
X63n1234_001:0169a17	禪師初游方與密師伯者偕行。經長沙龍山之下。見	禪 師 初 游 方 與 密 師 伯 者 偕 行 經 長 沙 龍 山 之 下 見 
X63n1234_001:0169a18	溪流菜葉。价回瞻峯巒深秀。謂密曰箇中必有隱者。	溪 流 菜 葉 价 回 瞻 峯 巒 深 秀 謂 密 曰 箇 中 必 有 隱 者 
X63n1234_001:0169a19	乃並溪而進十許里。有老僧癯甚。以手加額呼曰。此	乃 並 溪 而 進 十 許 里 有 老 僧 癯 甚 以 手 加 額 呼 曰 此 
X63n1234_001:0169a20	間無路。汝輩何自而至。价曰。無路且置。庵主自何而	間 無 路 汝 輩 何 自 而 至 价 曰 無 路 且 置 庵 主 自 何 而 
X63n1234_001:0169a21	入。曰我不曾雲水。价曰庵主住山幾許時。曰春秋不	入 曰 我 不 曾 雲 水 价 曰 庵 主 住 山 幾 許 時 曰 春 秋 不 
X63n1234_001:0169a22	涉。价曰。庵主先住耶。此山先住耶。曰不知。价曰為什	涉 价 曰 庵 主 先 住 耶 此 山 先 住 耶 曰 不 知 价 曰 為 什 
X63n1234_001:0169a23	麼不知。曰我不曾人天來。价曰得何道理便爾住山。	麼 不 知 曰 我 不 曾 人 天 來 价 曰 得 何 道 理 便 爾 住 山 
X63n1234_001:0169a24	曰。我見泥牛鬪入海。直至而今無消息。价即班密之	曰 我 見 泥 牛 鬪 入 海 直 至 而 今 無 消 息 价 即 班 密 之 
X63n1234_001:0169b01	下而[玨/下]之。問。如何是主中賓。曰青山覆白雲。又問如	下 而 [玨下] 之 問 如 何 是 主 中 賓 曰 青 山 覆 白 雲 又 問 如 
X63n1234_001:0169b02	何是主中主。曰長年不出戶。又問主賓相去幾何。曰	何 是 主 中 主 曰 長 年 不 出 戶 又 問 主 賓 相 去 幾 何 曰 
X63n1234_001:0169b03	長江水上波。又問賓主相見有何言說。曰青風拂白	長 江 水 上 波 又 問 賓 主 相 見 有 何 言 說 曰 青 風 拂 白 
X63n1234_001:0169b04	日。价再拜求依止。老僧咲曰。三間茆屋從來住。一道	日 价 再 拜 求 依 止 老 僧 咲 曰 三 間 茆 屋 從 來 住 一 道 
X63n1234_001:0169b05	神光萬境閑。莫作是非來辨我。浮生穿鑿不相關。於	神 光 萬 境 閑 莫 作 是 非 來 辨 我 浮 生 穿 鑿 不 相 關 於 
X63n1234_001:0169b06	是自焚其庵深入層峯。其後价住山。問僧。何者是汝	是 自 焚 其 庵 深 入 層 峯 其 後 价 住 山 問 僧 何 者 是 汝 
X63n1234_001:0169b07	主人公。對曰現祇對者。价仰而咨嗟曰。此所謂馬後	主 人 公 對 曰 現 祇 對 者 价 仰 而 咨 嗟 曰 此 所 謂 馬 後 
X63n1234_001:0169b08	驢前事。奈何認以為自己乎。佛法平沉此其兆也。客	驢 前 事 奈 何 認 以 為 自 己 乎 佛 法 平 沉 此 其 兆 也 客 
X63n1234_001:0169b09	中主尚未明。況主中主哉。僧曰。如何是主中主。价曰	中 主 尚 未 明 況 主 中 主 哉 僧 曰 如 何 是 主 中 主 价 曰 
X63n1234_001:0169b10	汝自道看。曰道得即是客中主。如何是主中主。价良	汝 自 道 看 曰 道 得 即 是 客 中 主 如 何 是 主 中 主 价 良 
X63n1234_001:0169b11	久曰。不辭向汝道。相續也大難。予觀龍山老僧之意。	久 曰 不 辭 向 汝 道 相 續 也 大 難 予 觀 龍 山 老 僧 之 意 
X63n1234_001:0169b12	如蕭何之識韓信。豈有法哉。而价公之論如霍光之	如 蕭 何 之 識 韓 信 豈 有 法 哉 而 价 公 之 論 如 霍 光 之 
X63n1234_001:0169b13	立朝。進止亦有律度。嗚呼。後生之不見古人之大全	立 朝 進 止 亦 有 律 度 嗚 呼 後 生 之 不 見 古 人 之 大 全 
X63n1234_001:0169b14	也。必矣价亦置主中主于胸中。可疑也。予甞至臨川	也 必 矣 价 亦 置 主 中 主 于 胸 中 可 疑 也 予 甞 至 臨 川 
X63n1234_001:0169b15	與朱世英游相好。俄上藍長老者至上蓋。謂世英曰。	與 朱 世 英 游 相 好 俄 上 藍 長 老 者 至 上 蓋 謂 世 英 曰 
X63n1234_001:0169b16	覺範聞工詩耳。禪則其師。猶錯矧弟子耶。世英咲曰。	覺 範 聞 工 詩 耳 禪 則 其 師 猶 錯 矧 弟 子 耶 世 英 咲 曰 
X63n1234_001:0169b17	師能勘驗之乎。上藍曰諾。居一日。同游疎山。飯于逆	師 能 勘 驗 之 乎 上 藍 曰 諾 居 一 日 同 游 疎 山 飯 于 逆 
X63n1234_001:0169b18	族。上藍以手畫案謂余曰。經軸之上必題以字。是何	族 上 藍 以 手 畫 案 謂 余 曰 經 軸 之 上 必 題 以 字 是 何 
X63n1234_001:0169b19	義。予亦畫圓相橫一畫曰是此義也。上藍愕然。予為	義 予 亦 畫 圓 相 橫 一 畫 曰 是 此 義 也 上 藍 愕 然 予 為 
X63n1234_001:0169b20	作偈曰。以字不成八不是。法身睡著無遮閑。衲僧對	作 偈 曰 以 字 不 成 八 不 是 法 身 睡 著 無 遮 閑 衲 僧 對 
X63n1234_001:0169b21	面不知名。百眾人前呼不起。上藍歸舉似世英。世英	面 不 知 名 百 眾 人 前 呼 不 起 上 藍 歸 舉 似 世 英 世 英 
X63n1234_001:0169b22	拊手曰。孰為詩僧。亦能識字義乎。因同看汾陽作犢	拊 手 曰 孰 為 詩 僧 亦 能 識 字 義 乎 因 同 看 汾 陽 作 犢 
X63n1234_001:0169b23	牛偈曰。有頭無角實堪嗟。百劫難逃這作家。凡聖不	牛 偈 曰 有 頭 無 角 實 堪 嗟 百 劫 難 逃 這 作 家 凡 聖 不 
X63n1234_001:0169b24	能明得盡。現前相貌有些些。予謂世英曰。此偈又予	能 明 得 盡 現 前 相 貌 有 些 些 予 謂 世 英 曰 此 偈 又 予 
X63n1234_001:0169c01	字義之訓詁也。世英問余。華嚴經曰。毗目仙人執善	字 義 之 訓 詁 也 世 英 問 余 華 嚴 經 曰 毗 目 仙 人 執 善 
X63n1234_001:0169c02	財手。即時善財自見其身住十佛剎微塵數世界。中	財 手 即 時 善 財 自 見 其 身 住 十 佛 剎 微 塵 數 世 界 中 
X63n1234_001:0169c03	到十佛剎微塵數諸佛所見彼佛剎及其眾會。諸佛	到 十 佛 剎 微 塵 數 諸 佛 所 見 彼 佛 剎 及 其 眾 會 諸 佛 
X63n1234_001:0169c04	相好種種莊嚴。乃至或經百千億不可說佛剎微塵	相 好 種 種 莊 嚴 乃 至 或 經 百 千 億 不 可 說 佛 剎 微 塵 
X63n1234_001:0169c05	數劫。乃至時彼仙人放善財童子手。即時自見其身	數 劫 乃 至 時 彼 仙 人 放 善 財 童 子 手 即 時 自 見 其 身 
X63n1234_001:0169c06	還在本處。此一段義何以明之。予曰。皆象也。方執其	還 在 本 處 此 一 段 義 何 以 明 之 予 曰 皆 象 也 方 執 其 
X63n1234_001:0169c07	手。即入觀法之時。見自他不隔於毫端。始終不移於	手 即 入 觀 法 之 時 見 自 他 不 隔 於 毫 端 始 終 不 移 於 
X63n1234_001:0169c08	當念。及其放手。即是出定之時。永明曰。是知不動本	當 念 及 其 放 手 即 是 出 定 之 時 永 明 曰 是 知 不 動 本 
X63n1234_001:0169c09	位。遠近之剎歷然。一念靡移。延促之時宛爾。世尊蓋	位 遠 近 之 剎 歷 然 一 念 靡 移 延 促 之 時 宛 爾 世 尊 蓋 
X63n1234_001:0169c10	以蓮為譬。而世莫有知者。予特知之。夫蓮方開華時。	以 蓮 為 譬 而 世 莫 有 知 者 予 特 知 之 夫 蓮 方 開 華 時 
X63n1234_001:0169c11	中已有子。子中已有藌。因中有果。果中有因。三世一	中 已 有 子 子 中 已 有 藌 因 中 有 果 果 中 有 因 三 世 一 
X63n1234_001:0169c12	時也。其子分布又曾屬焉。相續不斷十方不隔也。又	時 也 其 子 分 布 又 曾 屬 焉 相續不斷 十 方 不 隔 也 又 
X63n1234_001:0169c13	問。法華經曰。世尊於一切眾前現大神力。出廣長舌	問 法 華 經 曰 世 尊 於 一 切 眾 前 現 大 神 力 出 廣 長 舌 
X63n1234_001:0169c14	相。上至梵世。極難和會。而解者曰。佛音深妙觸處皆	相 上 至 梵 世 極 難 和 會 而 解 者 曰 佛 音 深 妙 觸 處 皆 
X63n1234_001:0169c15	聞。超越聖凡。則其舌廣長高出梵世。此說如何。予曰。	聞 超 越 聖 凡 則 其 舌 廣 長 高 出 梵 世 此 說 如 何 予 曰 
X63n1234_001:0169c16	此殆所謂隨語生解。非如來世尊之意。溈山曰。凡聖	此 殆 所 謂 隨 語 生 解 非 如 來 世 尊 之 意 溈 山 曰 凡 聖 
X63n1234_001:0169c17	情盡。體露真常。理事不二。即如如佛。而學者不能深	情 盡 體 露 真 常 理 事 不 二 即 如 如 佛 而 學 者 不 能 深 
