T02n0142b_001:0864c07	玉耶女經	玉 耶 女 經 
T02n0142b_001:0865a17	答。佛語玉耶：「世間下有七輩婦，為汝說之	答 佛 語 玉 耶 世 間 下 有 七 輩 婦 為 汝 說 之 
T02n0142b_001:0865a18	一心善聽。一者母婦，二者妹婦，三者知識	一 心 善 聽 一 者 母 婦 二 者 妹 婦 三 者 知 識 
T02n0142b_001:0865a19	婦，四者婦婦，五者婢婦，六者怨家婦，七者	婦 四 者 婦 婦 五 者 婢 婦 六 者 怨 家 婦 七 者 
T02n0142b_001:0865a20	奪命婦。汝今解不？」玉耶答言：「不及此義。」佛	奪 命 婦 汝 今 解 不 玉 耶 答 言 不 及 此 義 佛 
T02n0142b_001:0865a21	言：「善聽，吾今解之。何等母婦？愛念夫主，如	言 善 聽 吾 今 解 之 何 等 母 婦 愛 念 夫 主 如 
T02n0142b_001:0865a22	母愛子，晝夜長養，不失時宜，心常憐念，無	母 愛 子 晝 夜 長 養 不 失 時 宜 心 常 憐 念 無 
T02n0142b_001:0865a23	有厭患，念夫如子，是為母婦。何等妹婦？承	有 厭 患 念 夫 如 子 是 為 母 婦 何 等 妹 婦 承 
T02n0142b_001:0865a24	事夫壻，盡其敬誠，如兄如弟，同氣分形，骨	事 夫 壻 盡 其 敬 誠 如 兄 如 弟 同 氣 分 形 骨 
T02n0142b_001:0865a25	血至親，無有二情，尊之重之，如妹事兄，是	血 至 親 無 有 二 情 尊 之 重 之 如 妹 事 兄 是 
T02n0142b_001:0865a26	為妹婦。何等知識婦？奉事夫婿，敬順懇至，	為 妹 婦 何 等 知 識 婦 奉 事 夫 婿 敬 順 懇 至 
T02n0142b_001:0865a27	依依戀戀，不能相遠，私密之事，常相告示，	依 依 戀 戀 不 能 相 遠 私 密 之 事 常 相 告 示 
T02n0142b_001:0865a28	行無違失，善事相教，使益明慧，相親相愛，	行 無 違 失 善 事 相 教 使 益 明 慧 相 親 相 愛 
T02n0142b_001:0865a29	欲令度世，如善知識，是為知識婦。何等婦	欲 令 度 世 如 善 知 識 是 為 知 識 婦 何 等 婦 
T02n0142b_001:0865b01	婦？供養大人，竭情盡行，無有一二，淨修婦	婦 供 養 大 人 竭 情 盡 行 無 有 一 二 淨 修 婦 
T02n0142b_001:0865b02	禮，終不廢闕，進不犯義，退不失禮，常和為	禮 終 不 廢 闕 進 不 犯 義 退 不 失 禮 常 和 為 
T02n0142b_001:0865b03	貴，是名婦婦。何等婢婦？心常畏忌，不敢自	貴 是 名 婦 婦 何 等 婢 婦 心 常 畏 忌 不 敢 自 
T02n0142b_001:0865b04	慢，忠孝盡節，口不麁言，身不放逸，以禮自	慢 忠 孝 盡 節 口 不 麁 言 身 不 放 逸 以 禮 自 
T02n0142b_001:0865b05	防，如民奉王，夫婿敬幸，不得憍慢，若得杖	防 如 民 奉 王 夫 婿 敬 幸 不 得 憍 慢 若 得 杖 
T02n0142b_001:0865b06	捶，敬承奉受，及見罵辱，默然無辭，甘身苦	捶 敬 承 奉 受 及 見 罵 辱 默 然 無 辭 甘 身 苦 
T02n0142b_001:0865b07	樂，無有二心，募修婦道，不擇衣食，事夫如	樂 無 有 二 心 募 修 婦 道 不 擇 衣 食 事 夫 如 
T02n0142b_001:0865b08	事大家，是名婢婦。何等怨家婦？見夫不歡，	事 大 家 是 名 婢 婦 何 等 怨 家 婦 見 夫 不 歡 
T02n0142b_001:0865b09	恒懷瞋恚，晝夜求願，欲得遠離，雖為夫婦，	恒 懷 瞋 恚 晝 夜 求 願 欲 得 遠 離 雖 為 夫 婦 
T02n0142b_001:0865b10	心常如寄，亂頭勤臥，無有畏避，不作生活，	心 常 如 寄 亂 頭 勤 臥 無 有 畏 避 不 作 生 活 
T02n0142b_001:0865b11	養育兒子，身行婬蕩，不知羞恥，陷入罪法，	養 育 兒 子 身 行 婬 蕩 不 知 羞 恥 陷 入 罪 法 
T02n0142b_001:0865b12	毀辱親里，夫婿相憎，呪欲令死，是名怨家	毀 辱 親 里 夫 婿 相 憎 呪 欲 令 死 是 名 怨 家 
T02n0142b_001:0865b13	婦。何等奪命婦？晝夜不眠，毒心伺之，作何	婦 何 等 奪 命 婦 晝 夜 不 眠 毒 心 伺 之 作 何 
T02n0142b_001:0865b14	方便，得遠離之，欲與毒藥，恐人覺之，心外	方 便 得 遠 離 之 欲 與 毒 藥 恐 人 覺 之 心 外 
T02n0142b_001:0865b15	情通，雇人害之，復遣傍夫，伺而賊之，夫死	情 通 雇 人 害 之 復 遣 傍 夫 伺 而 賊 之 夫 死 
T02n0142b_001:0865b16	更嫁，適我願之，是名奪命婦。」佛語玉耶：「其	更 嫁 適 我 願 之 是 名 奪 命 婦 佛 語 玉 耶 其 
T02n0142b_001:0865b17	有善婦者當有顯名，宗親九族并蒙其榮，	有 善 婦 者 當 有 顯 名 宗 親 九 族 并 蒙 其 榮 
T02n0142b_001:0865b18	天龍鬼神擁護其形，使不枉橫、財寶日生，	天 龍 鬼 神 擁 護 其 形 使 不 枉 橫 財 寶 日 生 
T02n0142b_001:0865b19	萬分之後願願不違上生天上，宮殿浴池	萬 分 之 後 願 願 不 違 上 生 天 上 宮 殿 浴 池 
T02n0142b_001:0865b20	在所自然天人樂之，天上壽盡還生世間，	在 所 自 然 天 人 樂 之 天 上 壽 盡 還 生 世 間 
T02n0142b_001:0865b21	常為富貴侯王子孫，端正姝好人所奉尊。	常 為 富 貴 侯 王 子 孫 端 正 姝 好 人 所 奉 尊 
T02n0142b_001:0865b22	其惡婦者當得惡名，今現在身不得安寧，	其 惡 婦 者 當 得 惡 名 今 現 在 身 不 得 安 寧 
T02n0142b_001:0865b23	數為鬼神在於家庭，起病發禍求及神明，	數 為 鬼 神 在 於 家 庭 起 病 發 禍 求 及 神 明 
T02n0142b_001:0865b24	會當歸死不得長生，惡夢恐怖所願不成，	會 當 歸 死 不 得 長 生 惡 夢 恐 怖 所 願 不 成 
T02n0142b_001:0865b25	多逢災橫水火日驚，萬分之後魂神受形，	多 逢 災 橫 水 火 日 驚 萬 分 之 後 魂 神 受 形 
T02n0142b_001:0865b26	死入地獄餓鬼畜生，其身矬短咽如針釘，	死 入 地 獄 餓 鬼 畜 生 其 身 矬 短 咽 如 針 釘 
T02n0142b_001:0865b27	身臥鐵床數千萬劫，受罪畢訖還生惡家，	身 臥 鐵 床 數 千 萬 劫 受 罪 畢 訖 還 生 惡 家 
T02n0142b_001:0865b28	貧窮裸露無絲無麻，孜孜急急共相鞭撾，	貧 窮 裸 露 無 絲 無 麻 孜 孜 急 急 共 相 鞭 撾 
T02n0142b_001:0865b29	從生至死無有榮華，作善得善作惡自遮，	從 生 至 死 無 有 榮 華 作 善 得 善 作 惡 自 遮 
T02n0142b_001:0865c01	善惡如此非是虛也。」佛語玉耶：「此是七輩	善 惡 如 此 非 是 虛 也 佛 語 玉 耶 此 是 七 輩 
T02n0142b_001:0865c02	婦，汝用何行？」玉耶流淚前白佛言：「我本愚	婦 汝 用 何 行 玉 耶 流 淚 前 白 佛 言 我 本 愚 
T02n0142b_001:0865c03	癡不順夫尊，自今已後當如婢婦，盡我命	癡 不 順 夫 尊 自 今 已 後 當 如 婢 婦 盡 我 命 
T02n0142b_001:0865c04	壽不敢憍慢。」即前長跪求受十戒三自歸	壽 不 敢 憍 慢 即 前 長 跪 求 受 十 戒 三 自 歸 
T02n0142b_001:0865c05	命，歸佛歸法歸比丘僧。一不殺生，二不偷	命 歸 佛 歸 法 歸 比 丘 僧 一 不 殺 生 二 不 偷 
T02n0142b_001:0865c06	盜，三不婬佚，四不妄語，五不飲酒，六不惡	盜 三 不 婬 佚 四 不 妄 語 五 不 飲 酒 六 不 惡 
T02n0142b_001:0865c07	口，七不綺語，八不嫉妬，九不瞋恚，十者信	口 七 不 綺 語 八 不 嫉 妬 九 不 瞋 恚 十 者 信 
T02n0142b_001:0865c08	善得善，是名十戒，此優婆夷所行。佛說經	善 得 善 是 名 十 戒 此 優 婆 夷 所 行 佛 說 經 
T02n0142b_001:0865c09	竟，及諸弟子皆各欲還，給孤獨長者眷屬	竟 及 諸 弟 子 皆 各 欲 還 給 孤 獨 長 者 眷 屬 
T02n0142b_001:0865c10	歡喜禮佛而退。玉耶長跪重白佛言：「我本	歡 喜 禮 佛 而 退 玉 耶 長 跪 重 白 佛 言 我 本 
T02n0142b_001:0865c11	愚癡憍慢夫婿，今蒙世尊化導，我等令心	愚 癡 憍 慢 夫 婿 今 蒙 世 尊 化 導 我 等 令 心 
T02n0142b_001:0865c12	開解。」佛語玉耶：「自今已後擁護汝家。」玉耶	開 解 佛 語 玉 耶 自 今 已 後 擁 護 汝 家 玉 耶 
T02n0142b_001:0865c13	言：「諾！受佛言教不敢有違。」稽首禮足受退	言 諾 受 佛 言 教 不 敢 有 違 稽 首 禮 足 受 退 
T02n0142b_001:0865c14	還歸。	還 歸 
T02n0142b_001:0865c15	玉女耶經	玉 女 耶 經 
