X63n1255_001:0737b06	禪家龜鑑	禪 家 龜 鑑 
X63n1255_001:0737c17	世尊三處傳心者為禪旨。一代所說者為教門。故曰	世 尊 三 處 傳 心 者 為 禪 旨 一 代 所 說 者 為 教 門 故 曰 
X63n1255_001:0737c18	禪是佛心。教是佛語。	禪 是 佛 心 教 是 佛 語 
X63n1255_001:0737c19	三處者。多子塔前分半座一也。靈山會上舉拈花	三 處 者 多 子 塔 前 分 半 座 一 也 靈 山 會 上 舉 拈 花 
X63n1255_001:0737c20	二也。雙樹下槨示雙趺三也。所謂迦葉別傳禪燈	二 也 雙 樹 下 槨 示 雙 趺 三 也 所 謂 迦 葉 別 傳 禪 燈 
X63n1255_001:0737c21	者此也。一代者四十九年間所說五教也。人天教	者 此 也 一 代 者 四 十 九 年 間 所 說 五 教 也 人 天 教 
X63n1255_001:0737c22	一也。小乘教二也。大乘教三也。頓教四也。圓教五	一 也 小 乘 教 二 也 大 乘 教 三 也 頓 教 四 也 圓 教 五 
X63n1255_001:0737c23	也。所謂阿難流通教海者此也。然則禪教之源者	也 所 謂 阿 難 流 通 教 海 者 此 也 然 則 禪 教 之 源 者 
X63n1255_001:0737c24	世尊也。禪教之派者迦葉．阿難也。以無言至於無	世 尊 也 禪 教 之 派 者 迦 葉 阿 難 也 以 無 言 至 於 無 
X63n1255_001:0738a01	言者禪也。以有言至於無言者教也。乃至心是禪	言 者 禪 也 以 有 言 至 於 無 言 者 教 也 乃 至 心 是 禪 
X63n1255_001:0738a02	法也。語是教法也。則法雖一味。見解則天地懸隔。	法 也 語 是 教 法 也 則 法 雖 一 味 見 解 則 天 地 懸 隔 
X63n1255_001:0738a03	此辨禪教二途。　不得放過。艸裏橫身。	此 辨 禪 教 二 途 不 得 放 過 艸 裏 橫 身 
X63n1255_001:0738a04	是故若人失之於口。則拈花微笑皆是教迹。得之於	是 故 若 人 失 之 於 口 則 拈 花 微 笑 皆 是 教 迹 得 之 於 
X63n1255_001:0738a05	心。則世間麁言細語皆是教外別傳禪旨。	心 則 世 間 麁 言 細 語 皆 是 教 外 別 傳 禪 旨 
X63n1255_001:0738a06	法無名故言不及也。法無相故心不及也。擬之於	法 無 名 故 言 不 及 也 法 無 相 故 心 不 及 也 擬 之 於 
X63n1255_001:0738a07	口者失本心王也。失本心王則世尊拈花迦葉微	口 者 失 本 心 王 也 失 本 心 王 則 世 尊 拈 花 迦 葉 微 
X63n1255_001:0738a08	笑盡落陳言。終是無物也。得之於心者非但衒談	笑 盡 落 陳 言 終 是 無 物 也 得 之 於 心 者 非 但 衒 談 
X63n1255_001:0738a09	善說法要。至於鷰語深談實相也。是故寶積禪師	善 說 法 要 至 於 鷰 語 深 談 實 相 也 是 故 寶 積 禪 師 
X63n1255_001:0738a10	聞哭聲踊悅身心。寶壽禪師見諍拳開豁面目者	聞 哭 聲 踊 悅 身 心 寶 壽 禪 師 見 諍 拳 開 豁 面 目 者 
X63n1255_001:0738a11	以此也。此明禪教深淺。　明珠在手。弄去弄來。	以 此 也 此 明 禪 教 深 淺 明 珠 在 手 弄 去 弄 來 
X63n1255_001:0738a12	吾有一言。絕慮忘緣。兀然無事坐。春來草自青。	吾 有 一 言 絕 慮 忘 緣 兀 然 無 事 坐 春 來 草 自 青 
X63n1255_001:0738a13	絕慮忘緣者得之於心也。所謂閒道人也。於戲其	絕 慮 忘 緣 者 得 之 於 心 也 所 謂 閒 道 人 也 於 戲 其 
X63n1255_001:0738a14	為人也。本來無緣本來無事。飢來即食困來即眠。	為 人 也 本 來 無 緣 本 來 無 事 飢 來 即 食 困 來 即 眠 
X63n1255_001:0738a15	綠水青山任意逍遙。漁村酒肆自在安眠。年代甲	綠 水 青 山 任 意 逍 遙 漁 村 酒 肆 自 在 安 眠 年 代 甲 
X63n1255_001:0738a16	子總不知。春來依舊艸自青。此別欲一念回光者。	子 總 不 知 春 來 依 舊 艸 自 青 此 別 欲 一 念 回 光 者 
X63n1255_001:0738a17	　將謂無人。賴有一箇。	 將 謂 無 人 賴 有 一 箇 
X63n1255_001:0738a18	教門惟傳一心法。禪門惟傳見性法。	教 門 惟 傳 一 心 法 禪 門 惟 傳 見 性 法 
X63n1255_001:0738a19	心如鏡之體。性如鏡之光。性自清淨。即時割然還	心 如 鏡 之 體 性 如 鏡 之 光 性 自 清 淨 即 時 割 然 還 
X63n1255_001:0738a20	得本心。此秘重得意一念。　重重山與水。清白舊	得 本 心 此 秘 重 得 意 一 念 重 重 山 與 水 清 白 舊 
X63n1255_001:0738a21	家風。	家 風 
X63n1255_001:0738a22	評曰。心有二種。一本源心。二無明取相心也。性	評 曰 心 有 二 種 一 本 源 心 二 無 明 取 相 心 也 性 
X63n1255_001:0738a23	有二種。一本法性。二性相相對性也。故禪教者	有 二 種 一 本 法 性 二 性 相 相 對 性 也 故 禪 教 者 
X63n1255_001:0738a24	同迷守名生解。或以淺為深。或以深為淺。遂為	同 迷 守 名 生 解 或 以 淺 為 深 或 以 深 為 淺 遂 為 
X63n1255_001:0738b01	觀行大病。故於此辨之。	觀 行 大 病 故 於 此 辨 之 
X63n1255_001:0738b02	然諸佛說經。先分別諸法。後說畢竟空。祖師示句。迹	然 諸 佛 說 經 先 分別諸法 後 說 畢 竟 空 祖 師 示 句 迹 
X63n1255_001:0738b03	絕於意地。理顯於心源。	絕 於 意 地 理 顯 於 心 源 
X63n1255_001:0738b04	諸佛為萬代依憑。故理須委示。祖師在即時度脫。	諸 佛 為 萬 代 依 憑 故 理 須 委 示 祖 師 在 即 時 度 脫 
X63n1255_001:0738b05	故意使玄通。迹。祖師言迹也。意。學者意地也。　胡	故 意 使 玄 通 迹 祖 師 言 迹 也 意 學 者 意 地 也 胡 
X63n1255_001:0738b06	亂指注。臂不外曲。	亂 指 注 臂 不 外 曲 
X63n1255_001:0738b07	諸佛說弓。祖師說絃。佛說無礙之法方皈一味。拂此	諸 佛 說 弓 祖 師 說 絃 佛 說 無 礙 之 法 方 皈 一 味 拂 此 
X63n1255_001:0738b08	一味之迹。方現祖師所示一心。故云庭前栢樹子話。	一 味 之 迹 方 現 祖 師 所 示 一 心 故 云 庭 前 栢 樹 子 話 
X63n1255_001:0738b09	龍藏所未有底。	龍 藏 所 未 有 底 
X63n1255_001:0738b10	說弓曲也。說絃直也。龍藏龍宮之藏經也。僧問趙	說 弓 曲 也 說 絃 直 也 龍 藏 龍 宮 之 藏 經 也 僧 問 趙 
X63n1255_001:0738b11	州如何是祖師西來意。州答云庭前栢樹子。此所	州 如 何 是 祖 師 西 來 意 州 答 云 庭 前 栢 樹 子 此 所 
X63n1255_001:0738b12	謂格外禪旨也。　魚行水濁。鳥飛毛落。	謂 格 外 禪 旨 也 魚 行 水 濁 鳥 飛 毛 落 
X63n1255_001:0738b13	故學者先以如實言教委辨不變隨緣二義。是自心	故 學 者 先 以 如 實 言 教 委 辨 不 變 隨 緣 二 義 是 自 心 
X63n1255_001:0738b14	之性相。頓悟漸修兩門是自行之始終。然後放下教	之 性 相 頓 悟 漸 修 兩 門 是 自 行 之 始 終 然 後 放 下 教 
X63n1255_001:0738b15	義。但將自心現前一念參詳禪旨。則必有所得。所謂	義 但 將 自 心 現 前 一 念 參 詳 禪 旨 則 必 有 所 得 所 謂 
X63n1255_001:0738b16	出身活路。	出 身 活 路 
X63n1255_001:0738b17	上根大智不在此限。中下根者不可躐等也。教義	上 根 大 智 不 在 此 限 中 下 根 者 不 可 躐 等 也 教 義 
X63n1255_001:0738b18	者不變隨緣。頓悟漸修有先有後。禪法者一念中	者 不 變 隨 緣 頓 悟 漸 修 有 先 有 後 禪 法 者 一 念 中 
X63n1255_001:0738b19	不變隨緣。性相體用元是一時。離即離非是即非	不 變 隨 緣 性 相 體 用 元 是 一 時 離 即 離 非 是 即 非 
X63n1255_001:0738b20	即。故宗師據法離言直指。一念見性成佛耳。放下	即 故 宗 師 據 法 離 言 直 指 一 念 見 性 成 佛 耳 放 下 
X63n1255_001:0738b21	教義者以此。　明歷歷時雲藏深谷。深密密處日	教 義 者 以 此 明 歷 歷 時 雲 藏 深 谷 深 密 密 處 日 
X63n1255_001:0738b22	照晴空。	照 晴 空 
X63n1255_001:0738b23	大抵學者須參活句莫參死句。	大 抵 學 者 須 參 活 句 莫 參 死 句 
X63n1255_001:0738b24	活句下薦得堪與佛祖為師。死句下薦得自救不	活 句 下 薦 得 堪 與 佛 祖 為 師 死 句 下 薦 得 自 救 不 
X63n1255_001:0738c01	了。此下特舉活句使自悟入。　要見臨濟。須是鐵	了 此 下 特 舉 活 句 使 自 悟 入 要 見 臨 濟 須 是 鐵 
X63n1255_001:0738c02	漢。	漢 
X63n1255_001:0738c03	評曰。話頭有句意二門。參句者徑截門活句也。	評 曰 話 頭 有 句 意 二 門 參 句 者 徑 截 門 活 句 也 
X63n1255_001:0738c04	沒心路沒語路無摸[打丁+索]故也。參意者圓頓門死	沒 心 路 沒 語 路 無 摸 [打丁索] 故 也 參 意 者 圓 頓 門 死 
X63n1255_001:0738c05	句也。有理路有語路有聞解思相故也。	句 也 有 理 路 有 語 路 有 聞 解 思 相 故 也 
X63n1255_001:0738c06	凡本參公案上切心做工夫。如雞抱卵。如猫捕鼠。如	凡 本 參 公 案 上 切 心 做 工 夫 如 雞 抱 卵 如 猫 捕 鼠 如 
X63n1255_001:0738c07	飢思食。如渴思水。如兒憶母。必有透徹之期。	飢 思 食 如 渴 思 水 如 兒 憶 母 必 有 透 徹 之 期 
X63n1255_001:0738c08	祖師公案有一千七百則。如狗子無佛性。庭前栢	祖 師 公 案 有 一 千 七 百 則 如 狗 子 無 佛 性 庭 前 栢 
X63n1255_001:0738c09	樹子。麻三斤。乾屎橛之流也。鷄之抱卵。暖氣相續	樹 子 麻 三 斤 乾 屎 橛 之 流 也 鷄 之 抱 卵 暖 氣 相 續 
X63n1255_001:0738c10	也。猫之捕鼠。心眼不動也。至於飢思食渴思水兒	也 猫 之 捕 鼠 心 眼 不 動 也 至 於 飢 思 食 渴 思 水 兒 
X63n1255_001:0738c11	憶母。皆出於真心。非做作底心。故云切也。參禪無	憶 母 皆 出 於 真 心 非 做 作 底 心 故 云 切 也 參 禪 無 
X63n1255_001:0738c12	此切心。能透徹者無有是處。	此 切 心 能 透 徹 者 無 有 是 處 
X63n1255_001:0738c13	參禪須具三要。一有大信根。二有大憤志。三有大疑	參 禪 須 具 三 要 一 有 大 信 根 二 有 大 憤 志 三 有 大 疑 
X63n1255_001:0738c14	情。苟闕其一。如折足之鼎。終成廢器。	情 苟 闕 其 一 如 折 足 之 鼎 終 成 廢 器 
X63n1255_001:0738c15	佛云。成佛者信為根本。永嘉云。修道者先須立志。	佛 云 成 佛 者 信 為 根 本 永 嘉 云 修 道 者 先 須 立 志 
X63n1255_001:0738c16	蒙山云。參禪者不疑言句是為大病。又云。大疑之	蒙 山 云 參 禪 者 不 疑 言 句 是 為 大 病 又 云 大 疑 之 
X63n1255_001:0738c17	下必有大悟。	下 必 有 大 悟 
X63n1255_001:0738c18	日用應緣處只舉狗子無佛性話。舉來舉去疑來疑	日 用 應 緣 處 只 舉 狗 子 無 佛 性 話 舉 來 舉 去 疑 來 疑 
X63n1255_001:0738c19	去。覺得沒理路沒義路沒滋味心頭熱悶時。便是當	去 覺 得 沒 理 路 沒 義 路 沒 滋 味 心 頭 熱 悶 時 便 是 當 
X63n1255_001:0738c20	人放身命處。亦是成佛作祖底基本也。	人 放 身 命 處 亦 是 成 佛 作 祖 底 基 本 也 
X63n1255_001:0738c21	僧問趙州。狗子還有佛性也無。州云無。此一字子	僧 問 趙 州 狗 子 還 有 佛 性 也 無 州 云 無 此 一 字 子 
X63n1255_001:0738c22	宗門之一關。亦是摧許多惡知惡覺底器仗。亦是	宗 門 之 一 關 亦 是 摧 許 多 惡 知 惡 覺 底 器 仗 亦 是 
X63n1255_001:0738c23	諸佛面目。亦是諸祖骨髓也。須透得此關。然後佛	諸 佛 面 目 亦 是 諸 祖 骨 髓 也 須 透 得 此 關 然 後 佛 
X63n1255_001:0738c24	祖可期也。古人頌云。趙州露刃劒。寒霜光燄燄。擬	祖 可 期 也 古 人 頌 云 趙 州 露 刃 劒 寒 霜 光 燄 燄 擬 
X63n1255_001:0739a01	議問如何。分身作兩段。	議 問 如 何 分 身 作 兩 段 
X63n1255_001:0739a02	話頭不得舉起處承當。不得思量卜度。又不得將迷	話 頭 不 得 舉 起 處 承 當 不 得 思 量 卜 度 又 不 得 將 迷 
X63n1255_001:0739a03	待悟就不可思量處思量。心無所之。如老鼠入牛角	待 悟 就 不 可 思 量 處 思 量 心 無 所 之 如 老 鼠 入 牛 角 
X63n1255_001:0739a04	便見倒斷也。又尋常計較安排底是識情。隨生死遷	便 見 倒 斷 也 又 尋 常 計 較 安 排 底 是 識 情 隨 生 死 遷 
X63n1255_001:0739a05	流底是識情。怕怖慞惶底是識情。今人不知是病。只	流 底 是 識 情 怕 怖 慞 惶 底 是 識 情 今 人 不 知 是 病 只 
X63n1255_001:0739a06	管在裏許頭出頭沒。	管 在 裏 許 頭 出 頭 沒 
X63n1255_001:0739a07	話頭有十種病。曰意根下卜度。曰揚眉瞬目處挅	話 頭 有 十 種 病 曰 意 根 下 卜 度 曰 揚 眉 瞬 目 處 挅 
X63n1255_001:0739a08	根。曰語路上作活計。曰文字中引證。曰舉起處承	根 曰 語 路 上 作 活 計 曰 文 字 中 引 證 曰 舉 起 處 承 
X63n1255_001:0739a09	當。曰颺在無事匣裏。曰作有無會。曰作真無會。曰	當 曰 颺 在 無 事 匣 裏 曰 作 有 無 會 曰 作 真 無 會 曰 
X63n1255_001:0739a10	作道理會。曰將迷待悟也。離此十種病者。但舉話	作 道 理 會 曰 將 迷 待 悟 也 離 此 十 種 病 者 但 舉 話 
X63n1255_001:0739a11	時略抖擻精神。只疑是箇甚麼。	時 略 抖 擻 精 神 只 疑 是 箇 甚 麼 
X63n1255_001:0739a12	此事如蚊子上鐵牛。更不問如何若何。下嘴不得處	此 事 如 蚊 子 上 鐵 牛 更 不 問 如 何 若 何 下 嘴 不 得 處 
X63n1255_001:0739a13	棄命。一攢和身透入。	棄 命 一 攢 和 身 透 入 
X63n1255_001:0739a14	重結上意。使參活句者不得退屈。古云。參禪須透	重 結 上 意 使 參 活 句 者 不 得 退 屈 古 云 參 禪 須 透 
X63n1255_001:0739a15	祖師關。玅悟要窮心路絕。	祖 師 關 玅 悟 要 窮 心 路 絕 
X63n1255_001:0739a16	工夫如調絃之法。緊緩得其中。勤則近執著。忘則落	工 夫 如 調 絃 之 法 緊 緩 得 其 中 勤 則 近 執 著 忘 則 落 
X63n1255_001:0739a17	無明。惶惶歷歷。密密綿綿。	無 明 惶 惶 歷 歷 密 密 綿 綿 
X63n1255_001:0739a18	彈琴者曰。緩急得中。然後清音普矣。工夫亦如此。	彈 琴 者 曰 緩 急 得 中 然 後 清 音 普 矣 工 夫 亦 如 此 
X63n1255_001:0739a19	急則動血囊。忘則入鬼窟。不徐不疾玅在其中。	急 則 動 血 囊 忘 則 入 鬼 窟 不 徐 不 疾 玅 在 其 中 
X63n1255_001:0739a20	工夫到行不知行坐不知坐。當此之時。八萬四千魔	工 夫 到 行 不 知 行 坐 不 知 坐 當 此 之 時 八萬四千 魔 
X63n1255_001:0739a21	軍在六根門頭伺候隨心生設。心若不起爭如之何。	軍 在 六 根 門 頭 伺 候 隨 心 生 設 心 若 不 起 爭 如 之 何 
X63n1255_001:0739a22	魔者樂生死之鬼名也。八萬四千魔軍者乃眾生	魔 者 樂 生 死 之 鬼 名 也 八萬四千 魔 軍 者 乃 眾 生 
X63n1255_001:0739a23	八萬四千煩惱也。魔本無種。修行失念者遂派其	八萬四千 煩 惱 也 魔 本 無 種 修 行 失 念 者 遂 派 其 
X63n1255_001:0739a24	源也。眾生順其境故順之。道人逆其境故逆之。故	源 也 眾 生 順 其 境 故 順 之 道 人 逆 其 境 故 逆 之 故 
X63n1255_001:0739b01	云道高魔盛也。禪定中或見孝子而斫股。或見猪	云 道 高 魔 盛 也 禪 定 中 或 見 孝 子 而 斫 股 或 見 猪 
X63n1255_001:0739b02	子而把鼻者。亦自心起見感此外魔也。心若不起。	子 而 把 鼻 者 亦 自 心 起 見 感 此 外 魔 也 心 若 不 起 
X63n1255_001:0739b03	則種種伎倆翻為割水吹光也。古云。壁隙風動。心	則 種 種 伎 倆 翻 為 割 水 吹 光 也 古 云 壁 隙 風 動 心 
X63n1255_001:0739b04	隙魔侵。	隙 魔 侵 
X63n1255_001:0739b05	起心是天魔。不起心是陰魔。或起或不起是煩惱魔。	起 心 是 天 魔 不 起 心 是 陰 魔 或 起 或 不 起 是 煩 惱 魔 
X63n1255_001:0739b06	然我正法中本無如是事。	然 我 正 法 中 本 無 如 是 事 
X63n1255_001:0739b07	大抵忘機是佛道。分別是魔境。然魔境夢事何勞	大 抵 忘 機 是 佛 道 分 別 是 魔 境 然 魔 境 夢 事 何 勞 
X63n1255_001:0739b08	辨詰。	辨 詰 
X63n1255_001:0739b09	工夫若打成一片。則縱今生透不得。眼光落地之時。	工 夫 若 打 成 一 片 則 縱 今 生 透 不 得 眼 光 落 地 之 時 
X63n1255_001:0739b10	不為惡業所率。	不 為 惡 業 所 率 
X63n1255_001:0739b11	業者無明也。禪者般若也。明闇不相敵。理固然也。	業 者 無 明 也 禪 者 般 若 也 明 闇 不 相 敵 理 固 然 也 
X63n1255_001:0739b12	大抵參禪者還知四恩深厚麼。還知四大醜身念念	大 抵 參 禪 者 還 知 四 恩 深 厚 麼 還 知 四 大 醜 身 念 念 
X63n1255_001:0739b13	衰朽麼。還知人命在呼吸麼。生來值遇佛祖麼。及聞	衰 朽 麼 還 知 人 命 在 呼 吸 麼 生 來 值 遇 佛 祖 麼 及 聞 
X63n1255_001:0739b14	無上法生希有心麼。不離僧堂守節麼。不與鄰單雜	無 上 法 生希有心 麼 不 離 僧 堂 守 節 麼 不 與 鄰 單 雜 
X63n1255_001:0739b15	話麼。切忌皷扇是非麼。話頭十二時中明明不昧麼。	話 麼 切 忌 皷 扇 是 非 麼 話 頭 十 二 時 中 明 明 不 昧 麼 
X63n1255_001:0739b16	對人接話時無間斷麼。見聞覺知時打成一片麼。返	對 人 接 話 時 無 間 斷 麼 見聞覺知 時 打 成 一 片 麼 返 
X63n1255_001:0739b17	觀自己捉敗佛祖麼。今生決定續佛慧命麼。起坐便	觀 自 己 捉 敗 佛 祖 麼 今 生 決 定 續 佛 慧 命 麼 起 坐 便 
X63n1255_001:0739b18	宜時還思地獄苦麼。此一報身定脫輪迴麼。當八風	宜 時 還 思 地 獄 苦 麼 此 一 報 身 定 脫 輪 迴 麼 當 八 風 
X63n1255_001:0739b19	境心不動麼。此是參禪人日用中點撿底道理。古人	境 心 不 動 麼 此 是 參 禪 人 日 用 中 點 撿 底 道 理 古 人 
X63n1255_001:0739b20	云。此身不向今生度。更待何生度此身。	云 此 身 不 向 今 生 度 更 待 何 生 度 此 身 
X63n1255_001:0739b21	四恩者。父母君師施主恩也。四大醜身者。父之精	四 恩 者 父 母 君 師 施 主 恩 也 四 大 醜 身 者 父 之 精 
X63n1255_001:0739b22	一滴母之血一滴者水大之濕也。精為骨血為皮	一 滴 母 之 血 一 滴 者 水 大 之 濕 也 精 為 骨 血 為 皮 
X63n1255_001:0739b23	者地大之堅也。精血一塊不腐不爛者火大之暖	者 地 大 之 堅 也 精 血 一 塊 不 腐 不 爛 者 火 大 之 暖 
X63n1255_001:0739b24	也。鼻孔先成通出入息者風大之動也。阿難曰。欲	也 鼻 孔 先 成 通 出 入 息 者 風 大 之 動 也 阿 難 曰 欲 
X63n1255_001:0739c01	氣麤濁腥臊交遘此所以醜身也。念念衰朽者頭	氣 麤 濁 腥 臊 交 遘 此 所 以 醜 身 也 念 念 衰 朽 者 頭 
X63n1255_001:0739c02	上光陰剎那不停。面自皺而髮自白。如云今既不	上 光 陰 剎 那 不 停 面 自 皺 而 髮 自 白 如 云 今 既 不 
X63n1255_001:0739c03	如昔。後當不如今。此無常之體也。然無常之鬼以	如 昔 後 當 不 如 今 此 無 常 之 體 也 然 無 常 之 鬼 以 
X63n1255_001:0739c04	殺為戲。實念念可畏也。呼者出息之火也。吸者入	殺 為 戲 實 念 念 可 畏 也 呼 者 出 息 之 火 也 吸 者 入 
X63n1255_001:0739c05	息之風也。人命寄托只在出入息也。八風者。順逆	息 之 風 也 人 命 寄 托 只 在 出 入 息 也 八 風 者 順 逆 
X63n1255_001:0739c06	二境也。地獄苦者人間六十劫泥犁一晝夜。鑊湯	二 境 也 地 獄 苦 者 人 間 六 十 劫 泥 犁 一 晝 夜 鑊 湯 
X63n1255_001:0739c07	爐炭劒樹刀山之苦。口不可形言也。人身難得甚	爐 炭 劒 樹 刀 山 之 苦 口 不 可 形 言 也 人 身 難 得 甚 
X63n1255_001:0739c08	於海中之鍼。境於此愍而警之。	於 海 中 之 鍼 境 於 此 愍 而 警 之 
X63n1255_001:0739c09	評曰。上來法語如人飲水冷暖自知。聦明不能	評 曰 上 來 法 語 如 人 飲 水 冷 暖 自 知 聦 明 不 能 
X63n1255_001:0739c10	敵業。乾慧未免苦輪。各須察念。勿以自謾。	敵 業 乾 慧 未 免 苦 輪 各 須 察 念 勿 以 自 謾 
X63n1255_001:0739c11	學語之輩。說時似悟對境還迷。所謂言行相違者也。	學 語 之 輩 說 時 似 悟 對 境 還 迷 所 謂 言 行 相 違 者 也 
X63n1255_001:0739c12	此結上自謾之意。言行相違。虗實可辨。	此 結 上 自 謾 之 意 言 行 相 違 虗 實 可 辨 
X63n1255_001:0739c13	若欲敵生死。須得這一念子爆地一破。方了得生死。	若 欲 敵 生 死 須 得 這 一 念 子 爆 地 一 破 方 了 得 生 死 
X63n1255_001:0739c14	爆打破漆桶聲。以打破漆桶然後生死可敵也。諸	爆 打 破 漆 桶 聲 以 打 破 漆 桶 然 後 生 死 可 敵 也 諸 
X63n1255_001:0739c15	佛因地法行者只此而已。	佛 因 地 法 行 者 只 此 而 已 
X63n1255_001:0739c16	然一念子爆地一破。然後須訪明師決擇正眼。	然 一 念 子 爆 地 一 破 然 後 須 訪 明 師 決 擇 正 眼 
X63n1255_001:0739c17	此事極不容易。須生慚愧始得。道如大海轉入轉	此 事 極 不 容 易 須 生 慚 愧 始 得 道 如 大 海 轉 入 轉 
X63n1255_001:0739c18	深。慎勿得小為足。悟後若不見人。則醍醐上味翻	深 慎 勿 得 小 為 足 悟 後 若 不 見 人 則 醍 醐 上 味 翻 
X63n1255_001:0739c19	成毒藥。	成 毒 藥 
X63n1255_001:0739c20	古德云。只貴子眼正。不貴汝行履處。	古 德 云 只 貴 子 眼 正 不 貴 汝 行 履 處 
