T15n0608_001:0236c03	小道地經	小 道 地 經 
T15n0608_001:0237a15	念皆為苦本。若歡喜多，計不得久，苦在後，當	念 皆 為 苦 本 若 歡 喜 多 計 不 得 久 苦 在 後 當 
T15n0608_001:0237a16	病制。若喘欷多，常當和心，不宜數出麁語，	病 制 若 喘 欷 多 常 當 和 心 不 宜 數 出 麁 語 
T15n0608_001:0237a17	坐作罪。道人行道不識是因緣，終不近道；當	坐 作 罪 道 人 行 道 不 識 是 因 緣 終 不 近 道 當 
T15n0608_001:0237a18	能制此，黠意稍增，道易得。	能 制 此 黠 意 稍 增 道 易 得 
T15n0608_001:0237a19	道人求向道，要當知過去念事以過去，莫復	道 人 求 向 道 要 當 知 過 去 念 事 以 過 去 莫 復 
T15n0608_001:0237a20	念。何以故？復知為種故。譬如種穀，種稻便念	念 何 以 故 復 知 為 種 故 譬 如 種 穀 種 稻 便 念 
T15n0608_001:0237a21	當收稻，種豆便念當收豆。何以故？為生故。念	當 收 稻 種 豆 便 念 當 收 豆 何 以 故 為 生 故 念 
T15n0608_001:0237a22	亦如是，以種念便生，一切聚在十方，待殃福	亦 如 是 以 種 念 便 生 一 切 聚 在 十 方 待 殃 福 
T15n0608_001:0237a23	當受要，不得脫苦。墮殺便種殺，栽盜為種	當 受 要 不 得 脫 苦 墮 殺 便 種 殺 栽 盜 為 種 
T15n0608_001:0237a24	盜，栽婬為種婬，栽兩舌為種兩舌，栽惡口	盜 栽 婬 為 種 婬 栽 兩 舌 為 種 兩 舌 栽 惡 口 
T15n0608_001:0237a25	為種惡口，栽妄言為種妄言，栽綺語為種綺	為 種 惡 口 栽 妄 言 為 種 妄 言 栽 綺 語 為 種 綺 
T15n0608_001:0237a26	語，栽嫉為種嫉，栽瞋恚為種瞋恚，栽疑為種	語 栽 嫉 為 種 嫉 栽 瞋 恚 為 種 瞋 恚 栽 疑 為 種 
T15n0608_001:0237a27	疑栽為。是故數數為念復增念，難得離苦。當	疑 栽 為 是 故 數 數 為 念 復 增 念 難 得 離 苦 當 
T15n0608_001:0237a28	持何離是眾苦？要當禪棄，為不復種是十惡	持 何 離 是 眾 苦 要 當 禪 棄 為 不 復 種 是 十 惡 
T15n0608_001:0237a29	故，雖有餘種會當盡。何以故？譬如種穀，雖	故 雖 有 餘 種 會 當 盡 何 以 故 譬 如 種 穀 雖 
T15n0608_001:0237b01	多得收，不復種種，但稍稍飯。雖久，飯不止，會	多 得 收 不 復 種 種 但 稍 稍 飯 雖 久 飯 不 止 會 
T15n0608_001:0237b02	有盡時。禪棄亦爾。何以故？不復種故。以墮	有 盡 時 禪 棄 亦 爾 何 以 故 不 復 種 故 以 墮 
T15n0608_001:0237b03	禪棄，罪稍稍滅。何以故？稍稍禪棄為福，福以	禪 棄 罪 稍 稍 滅 何 以 故 稍 稍 禪 棄 為 福 福 以 
T15n0608_001:0237b04	生，萬惡皆竟。但種道栽念，道以生便有黠，以	生 萬 惡 皆 竟 但 種 道 栽 念 道 以 生 便 有 黠 以 
T15n0608_001:0237b05	有黠便能活人，亦能自活。	有 黠 便 能 活 人 亦 能 自 活 
T15n0608_001:0237b06	道人求向佛道，今世欲曉了知行意者，要在	道 人 求 向 佛 道 今 世 欲 曉 了 知 行 意 者 要 在 
T15n0608_001:0237b07	三念：有過去念、未來念、現在念；有福念、有罪	三 念 有 過 去 念 未 來 念 現 在 念 有 福 念 有 罪 
T15n0608_001:0237b08	念。或時，若讀經行禪，忽念久事曾為人所辱，	念 或 時 若 讀 經 行 禪 忽 念 久 事 曾 為 人 所 辱 
T15n0608_001:0237b09	若侵人墮好色，便因念生意，為作頭足，復增	若 侵 人 墮 好 色 便 因 念 生 意 為 作 頭 足 復 增 
T15n0608_001:0237b10	罪不能自制，從是因緣得罪為苦本，是為過	罪 不 能 自 制 從 是 因 緣 得 罪 為 苦 本 是 為 過 
T15n0608_001:0237b11	去罪念。或時，從禪中若讀經，忽生善念，念素	去 罪 念 或 時 從 禪 中 若 讀 經 忽 生 善 念 念 素 
T15n0608_001:0237b12	所行苦樂，思惟知不常，是為過去福念。或時	所 行 苦 樂 思 惟 知 不 常 是 為 過 去 福 念 或 時 
T15n0608_001:0237b13	安靜，忽亂念生，念作非常，便失本念。貪婬多	安 靜 忽 亂 念 生 念 作 非 常 便 失 本 念 貪 婬 多 
T15n0608_001:0237b14	求，便作不死念，是為未來罪念。或時，若得安	求 便 作 不 死 念 是 為 未 來 罪 念 或 時 若 得 安 
T15n0608_001:0237b15	靜，便善念念栽，當從是因緣增黠，是為未來	靜 便 善 念 念 栽 當 從 是 因 緣 增 黠 是 為 未 來 
T15n0608_001:0237b16	福念。端在家居自守持戒，便邪念生，當作是	福 念 端 在 家 居 自 守 持 戒 便 邪 念 生 當 作 是 
T15n0608_001:0237b17	念，多畜六畜更增憂失戒，是為現在罪念。以	念 多 畜 六 畜 更 增 憂 失 戒 是 為 現 在 罪 念 以 
T15n0608_001:0237b18	自家居自守持戒，復增善念常欲離，是為現	自 家 居 自 守 持 戒 復 增 善 念 常 欲 離 是 為 現 
T15n0608_001:0237b19	在福念。求向佛道，當先曉是罪福，乃可增黠。	在 福 念 求 向 佛 道 當 先 曉 是 罪 福 乃 可 增 黠 
T15n0608_001:0237b20	若求羅漢，一切斷，是為求向佛道。但欲增福	若 求 羅 漢 一 切 斷 是 為 求 向 佛 道 但 欲 增 福 
T15n0608_001:0237b21	多黠求羅漢，但欲墮禪滅惡，其黠在後。求佛	多 黠 求 羅 漢 但 欲 墮 禪 滅 惡 其 黠 在 後 求 佛 
T15n0608_001:0237b22	增福要當多聞；黠要當諷經。欲知其要在護	增 福 要 當 多 聞 黠 要 當 諷 經 欲 知 其 要 在 護 
T15n0608_001:0237b23	戒，護戒便能解經，便能福人亦能自福。	戒 護 戒 便 能 解 經 便 能 福 人 亦 能 自 福 
T15n0608_001:0237b24	道人求向佛道，今世欲解菩薩行意者，要當	道 人 求 向 佛 道 今 世 欲 解 菩 薩 行 意 者 要 當 
T15n0608_001:0237b25	復知是三戒：第一、當知持戒亦守戒；第二、當	復 知 是 三 戒 第 一 當 知 持 戒 亦 守 戒 第 二 當 
T15n0608_001:0237b26	知不犯戒亦能戒；第三、當知戒曉戒能戒亦	知 不 犯 戒 亦 能 戒 第 三 當 知 戒 曉 戒 能 戒 亦 
T15n0608_001:0237b27	護戒。第一當知持戒者，若人有妻子，居家常	護 戒 第 一 當 知 持 戒 者 若 人 有 妻 子 居 家 常 
T15n0608_001:0237b28	齋不失，是為持戒；一身無妻子，自守不邪向，	齋 不 失 是 為 持 戒 一 身 無 妻 子 自 守 不 邪 向 
T15n0608_001:0237b29	是為守戒。第二當知不犯戒者，若人眼視耳	是 為 守 戒 第 二 當 知 不 犯 戒 者 若 人 眼 視 耳 
T15n0608_001:0237c01	聽，能不墮聲色亦餘一切，是為不犯戒。為道	聽 能 不 墮 聲 色 亦 餘 一 切 是 為 不 犯 戒 為 道 
T15n0608_001:0237c02	寒苦，復為人所辱，能不失本念，是為耐戒，	寒 苦 復 為 人 所 辱 能 不 失 本 念 是 為 耐 戒 
T15n0608_001:0237c03	亦應忍辱。第三當知戒者，知某人持某戒，是	亦 應 忍 辱 第 三 當 知 戒 者 知 某 人 持 某 戒 是 
T15n0608_001:0237c04	為知戒。曉戒者，知某人樂道，為父母宗親知	為 知 戒 曉 戒 者 知 某 人 樂 道 為 父 母 宗 親 知 
T15n0608_001:0237c05	識所非嫉，不數數於眾人中曉說戒。能戒者，	識 所 非 嫉 不 數 數 於 眾 人 中 曉 說 戒 能 戒 者 
T15n0608_001:0237c06	當知人能應何業，隨力所任授與，能使不失，	當 知 人 能 應 何 業 隨 力 所 任 授 與 能 使 不 失 
T15n0608_001:0237c07	若增若減應病與藥，是為能戒。護戒者，一切	若 增 若 減 應 病 與 藥 是 為 能 戒 護 戒 者 一 切 
T15n0608_001:0237c08	當護，附順當得其意，離惡知識當有護意，欲	當 護 附 順 當 得 其 意 離 惡 知 識 當 有 護 意 欲 
T15n0608_001:0237c09	說十方人非人。若在伎樂、若在婬色，能教多	說 十 方 人 非 人 若 在 伎 樂 若 在 婬 色 能 教 多 
T15n0608_001:0237c10	少說善言，能不亂意，復令有福，是為護戒。求	少 說 善 言 能 不 亂 意 復 令 有 福 是 為 護 戒 求 
T15n0608_001:0237c11	向佛道菩薩行業者，要當知是，乃能脫人亦	向 佛 道 菩 薩 行 業 者 要 當 知 是 乃 能 脫 人 亦 
T15n0608_001:0237c12	能自脫，復能業人亦能自業。	能 自 脫 復 能 業 人 亦 能 自 業 
T15n0608_001:0237c13	佛說小道地經	佛 說 小 道 地 經 
