X14n0295_001:0624b03	 勸持敘	 勸 持 敘 
X14n0295_001:0625c16	始從凡夫。終大涅槃。歷示增進五十五位。至盡妙	始 從 凡 夫 終 大 涅 槃 歷 示 增 進 五 十 五 位 至 盡 妙 
X14n0295_001:0625c17	覺成無上道。故名證果分。四結經分。列示五門。結	覺 成 無 上 道 故 名 證 果 分 四 結 經 分 列 示 五 門 結 
X14n0295_001:0625c18	顯大旨。(八中)五助道分。初明天獄七趣一惟心造。次	顯 大 旨 八 中 五 助 道 分 初 明 天 獄 七 趣 一 惟 心 造 次 
X14n0295_001:0625c19	明奢摩他中微細魔事。恐諸行人洗心非正。失錯	明 奢 摩 他 中 微 細 魔 事 恐 諸 行 人 洗 心 非 正 失 錯 
X14n0295_001:0625c20	墮落。故名助道。(八中十末)夫見道然後修道。修道然後	墮 落 故 名 助 道 八 中 十 末 夫 見 道 然 後 修 道 修 道 然 後 
X14n0295_001:0625c21	證果。修證事畢。於是結經。楞嚴止此而已。而世尊	證 果 修 證 事 畢 於 是 結 經 楞 嚴 止 此 而 已 而 世 尊 
X14n0295_001:0625c22	大慈。復欲持戒眾生謹潔無犯。真修行者。不遭岐	大 慈 復 欲 持 戒 眾 生 謹 潔 無 犯 真 修 行 者 不 遭 岐 
X14n0295_001:0625c23	枝。故說助道之法。最後垂範。遂入流通而終會焉。	枝 故 說 助 道 之 法 最 後 垂 範 遂 入 流 通 而 終 會 焉 
X14n0295_001:0625c24	此乃一經綸貫。連環不斷。其大略如此。	此 乃 一 經 綸 貫 連 環 不 斷 其 大 略 如 此 
X14n0295_001:0626a01	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經。	大 佛 頂 如 來 密 因 修 證 了 義 諸 菩 薩 萬 行 首 楞 嚴 經 
X14n0295_001:0626a02	△正文	 正 文 
X14n0295_001:0626a03	如是我聞一時佛在(至)文殊師利而為上首。	如是我聞 一 時 佛 在 至 文 殊 師 利 而 為 上 首 
X14n0295_001:0626a04	通敘祗園結集之會。舍利弗智慧第一。目犍連神	通 敘 祗 園 結 集 之 會 舍 利 弗 智慧第一 目 犍 連 神 
X14n0295_001:0626a05	通第一。拘絺羅博學第一。富樓那說法第一。須菩	通 第 一 拘 絺 羅 博 學 第 一 富 樓 那 說 法 第 一 須 菩 
X14n0295_001:0626a06	提解空第一。優波尼了悟色空第一。	提 解 空 第 一 優 波 尼 了 悟 色 空 第 一 
X14n0295_001:0626a07	時波斯匿王為其父王(至)及摩登伽歸來佛所。	時 波 斯 匿 王 為 其 父 王 至 及 摩 登 伽 歸 來 佛 所 
X14n0295_001:0626a08	通敘阿難誤墮婬室之由。波斯匿舍衛國王也。剎	通 敘 阿 難 誤 墮 婬 室 之 由 波 斯 匿 舍 衛 國 王 也 剎 
X14n0295_001:0626a09	地利王族也。旃陀羅屠膾婬酒之家。	地 利 王 族 也 旃 陀 羅 屠 膾 婬 酒 之 家 
X14n0295_001:0626a10	阿難見佛。頂禮悲泣。恨無始來。一向多聞。未全道力。	阿 難 見 佛 頂 禮 悲 泣 恨 無 始 來 一 向 多 聞 未 全 道 力 
X14n0295_001:0626a11	殷懃啟請十方如來。得成菩提。妙奢摩他。三摩禪那。	殷 懃 啟 請 十 方 如 來 得 成 菩 提 妙 奢 摩 他 三 摩 禪 那 
X14n0295_001:0626a12	最初方便。於時復有恒沙菩薩及諸十方大阿羅漢	最 初 方 便 於 時 復 有 恒 沙 菩 薩 及 諸 十 方 大阿羅漢 
X14n0295_001:0626a13	辟支佛等。俱願樂聞。退坐默然。承受聖旨。佛告阿難。	辟 支 佛 等 俱 願 樂 聞 退 坐 默 然 承 受 聖 旨 佛 告 阿 難 
X14n0295_001:0626a14	汝我同氣。情均天倫。當初發心。於我法中。見何勝相。	汝 我 同 氣 情 均 天 倫 當 初 發 心 於 我 法 中 見 何 勝 相 
X14n0295_001:0626a15	頓捨世間深重恩愛。阿難白佛。我見如來三十二相	頓 捨 世 間 深 重 恩 愛 阿 難 白 佛 我 見 如 來 三十二相 
X14n0295_001:0626a16	勝妙殊絕。形體暎徹。猶如琉璃。常自思惟。此相非是	勝 妙 殊 絕 形 體 暎 徹 猶 如 琉 璃 常 自 思 惟 此 相 非 是 
X14n0295_001:0626a17	欲愛所生。何以故。欲氣麤濁。腥臊交遘。膿血雜亂。不	欲 愛 所 生 何 以 故 欲 氣 麤 濁 腥 臊 交 遘 膿 血 雜 亂 不 
X14n0295_001:0626a18	能發生勝淨妙明。紫金光聚。是以渴仰從佛剃落。佛	能 發 生 勝 淨 妙 明 紫 金 光 聚 是 以 渴 仰 從 佛 剃 落 佛 
X14n0295_001:0626a19	言善哉。阿難。汝等當知。一切眾生。從無始來。生死相	言 善 哉 阿 難 汝 等 當 知 一 切 眾 生 從無始來 生 死 相 
X14n0295_001:0626a20	續。皆由不知常住真心性淨明體。用諸妄想。此想不	續 皆 由 不 知 常 住 真 心 性 淨 明 體 用 諸 妄 想 此 想 不 
X14n0295_001:0626a21	真。故有輪轉。汝今欲研無上菩提真發明性。應當直	真 故 有 輪 轉 汝 今 欲 研 無上菩提 真 發 明 性 應 當 直 
X14n0295_001:0626a22	心。酬我所問。十方如來同一道故。出離生死。皆以直	心 酬 我 所 問 十 方 如 來 同 一 道 故 出 離 生 死 皆 以 直 
X14n0295_001:0626a23	心。心言直故。如是乃至終始地位。中間永無諸委曲	心 心 言 直 故 如 是 乃 至 終 始 地 位 中 間 永 無 諸 委 曲 
X14n0295_001:0626a24	相。阿難。我今問汝。當汝發心。緣於如來三十二相。將	相 阿 難 我 今 問 汝 當 汝 發 心 緣 於 如 來 三十二相 將 
X14n0295_001:0626b01	何所見。誰為愛樂。阿難白佛言。世尊。如是愛樂。用我	何 所 見 誰 為 愛 樂 阿 難 白 佛 言 世 尊 如 是 愛 樂 用 我 
X14n0295_001:0626b02	心目。觀見如來勝相。心生愛樂。故我發心。願捨生死。	心 目 觀 見 如 來 勝 相 心 生 愛 樂 故 我 發 心 願 捨 生 死 
X14n0295_001:0626b03	佛告阿難。如汝所證。真所愛樂。因於心目。若不識知	佛 告 阿 難 如 汝 所 證 真 所 愛 樂 因 於 心 目 若 不 識 知 
X14n0295_001:0626b04	心目所在。則不能得降伏塵勞。譬如國王為賊所侵。	心 目 所 在 則 不 能 得 降 伏 塵 勞 譬 如 國 王 為 賊 所 侵 
X14n0295_001:0626b05	發兵討除。是兵要當知賊所在。使汝流轉。心目為咎。	發 兵 討 除 是 兵 要 當 知 賊 所 在 使 汝 流 轉 心 目 為 咎 
X14n0295_001:0626b06	吾今問汝。唯心與目。今何所在。	吾 今 問 汝 唯 心 與 目 今 何 所 在 
X14n0295_001:0626b07	△徵心品第一	 徵 心 品 第 一 
X14n0295_001:0626b08	阿難被摩登伽女。以先天梵呪。攝入婬室。將毀	阿 難 被 摩 登 伽 女 以 先 天 梵 呪 攝 入 婬 室 將 毀 
X14n0295_001:0626b09	戒體。將者。且然未必之辭。阿難道力。少見於此。	戒 體 將 者 且 然 未 必 之 辭 阿 難 道 力 少 見 於 此 
X14n0295_001:0626b10	但未全耳。佛為宣呪提歸。深悔道力未全。啟請	但 未 全 耳 佛 為 宣 呪 提 歸 深 悔 道 力 未 全 啟 請 
X14n0295_001:0626b11	如來妙奢摩他。三摩禪那最初方便。妙奢摩他	如 來 妙 奢 摩 他 三 摩 禪 那 最 初 方 便 妙 奢 摩 他 
X14n0295_001:0626b12	止也。三摩觀也。禪那靜慮也。於是世尊為之決	止 也 三 摩 觀 也 禪 那 靜 慮 也 於 是 世 尊 為 之 決 
X14n0295_001:0626b13	擇真妄。以為密因。先問阿難言。汝何所見。割愛	擇 真 妄 以 為 密 因 先 問 阿 難 言 汝 何 所 見 割 愛 
X14n0295_001:0626b14	出家。阿難言。見如來三十二相勝妙殊絕。是以	出 家 阿 難 言 見 如 來 三十二相 勝 妙 殊 絕 是 以 
X14n0295_001:0626b15	渴仰。從佛剃落。是知阿難見相。乃緣塵分別之	渴 仰 從 佛 剃 落 是 知 阿 難 見 相 乃 緣 塵 分 別 之 
X14n0295_001:0626b16	見。其所發心。即妄想攀緣之心。一切眾生。從無	見 其 所 發 心 即 妄 想 攀 緣 之 心 一 切 眾 生 從 無 
X14n0295_001:0626b17	始來。生死相續。皆由不知常住真心性淨明體。	始 來 生 死 相 續 皆 由 不 知 常 住 真 心 性 淨 明 體 
X14n0295_001:0626b18	用諸妄想。此想不真。故有輪轉。欲研無上菩提。	用 諸 妄 想 此 想 不 真 故 有 輪 轉 欲 研 無上菩提 
X14n0295_001:0626b19	正當辯其真妄。而起妄之源。由於心目。如來首	正 當 辯 其 真 妄 而 起 妄 之 源 由 於 心 目 如 來 首 
X14n0295_001:0626b20	問阿難。得其見相愛樂之源。問。汝心目今何所	問 阿 難 得 其 見 相 愛 樂 之 源 問 汝 心 目 今 何 所 
X14n0295_001:0626b21	在以下。七徵八辯。皆顯妄心妄見本無定體。由	在 以 下 七 徵 八 辯 皆 顯 妄 心 妄 見 本 無 定 體 由 
X14n0295_001:0626b22	攀緣起。是謂無始生死根本。須令破斷。然後可	攀 緣 起 是 謂 無始生死 根 本 須 令 破 斷 然 後 可 
X14n0295_001:0626b23	入止觀正定。	入 止 觀 正 定 
X14n0295_001:0626b24	△一徵(答言識心在內)	 一 徵 答 言 識 心 在 內 
X14n0295_001:0626c01	阿難白佛言世尊(至)住在身內無有是處。	阿 難 白 佛 言 世 尊 至 住 在 身 內 無 有 是 處 
X14n0295_001:0626c02	阿難言。識心在內。眼根居外。佛言。汝身坐講堂。先	阿 難 言 識 心 在 內 眼 根 居 外 佛 言 汝 身 坐 講 堂 先 
X14n0295_001:0626c03	見如來。後矚園林。若使心在身中自合。先見臟腑。	見 如 來 後 矚 園 林 若 使 心 在 身 中 自 合 先 見 臟 腑 
X14n0295_001:0626c04	今不能然。是謂不見如來。見堂外也。覺了能知之	今 不 能 然 是 謂 不 見 如 來 見 堂 外 也 覺 了 能 知 之 
X14n0295_001:0626c05	心云住身內者。無有是處。	心 云 住 身 內 者 無 有 是 處 
X14n0295_001:0626c06	△二徵(又疑識心在外)	 二 徵 又 疑 識 心 在 外 
X14n0295_001:0626c07	阿難稽首而白佛言(至)住在身外無有是處。	阿 難 稽 首 而 白 佛 言 至 住 在 身 外 無 有 是 處 
X14n0295_001:0626c08	阿難又言。悟知我心。實居身外。譬如燈光居在室	阿 難 又 言 悟 知 我 心 實 居 身 外 譬 如 燈 光 居 在 室 
X14n0295_001:0626c09	外。不能照室。佛言。心若居外。則身與心自不相知。	外 不 能 照 室 佛 言 心 若 居 外 則 身 與 心 自 不 相 知 
X14n0295_001:0626c10	如彼之食。不能得此之飽。今眼見我手。心即分別。	如 彼 之 食 不 能 得 此 之 飽 今 眼 見 我 手 心 即 分 別 
X14n0295_001:0626c11	是眼根心識。又似相知。云何在外。是故覺了能知	是 眼 根 心 識 又 似 相 知 云 何 在 外 是 故 覺 了 能 知 
X14n0295_001:0626c12	之心。住在身外。無有是處。	之 心 住 在 身 外 無 有 是 處 
X14n0295_001:0627a01	△三徵(又疑識心潛伏根中)	 三 徵 又 疑 識 心 潛 伏 根 中 
X14n0295_001:0627a02	阿難白佛言世尊(至)如琉璃合者無有是處。	阿 難 白 佛 言 世 尊 至 如 琉 璃 合 者 無 有 是 處 
X14n0295_001:0627a03	阿難又悟。如佛所言。心不見內。則心不在內明矣。	阿 難 又 悟 如 佛 所 言 心 不 見 內 則 心 不 在 內 明 矣 
X14n0295_001:0627a04	身心相知。則心不在外明矣。如我思惟。了知此心。	身 心 相 知 則 心 不 在 外 明 矣 如 我 思 惟 了 知 此 心 
X14n0295_001:0627a05	潛伏根裏。譬如琉璃籠眼。雖有物合而不留礙。彼	潛 伏 根 裏 譬 如 琉 璃 籠 眼 雖 有 物 合 而 不 留 礙 彼 
X14n0295_001:0627a06	眼隨見。是知覺了能知之心。不能見內。為在根故。	眼 隨 見 是 知 覺 了 能 知 之 心 不 能 見 內 為 在 根 故 
X14n0295_001:0627a07	分明矚外。為潛根故。佛言。汝謂心潛根內。如琉璃	分 明 矚 外 為 潛 根 故 佛 言 汝 謂 心 潛 根 內 如 琉 璃 
