T85n2765_001:0304a10	涅槃經疏	涅 槃 經 疏 
T85n2765_001:0304c21	似未來果報。以未現受故屬行人名因。萬	似 未 來 果 報 以 未 現 受 故 屬 行 人 名 因 萬 
T85n2765_001:0304c22	行備種智現時名增。下文可解也。迦葉言如	行 備 種 智 現 時 名 增 下 文 可 解 也 迦 葉 言 如 
T85n2765_001:0304c23	是涅槃云何可得。此問所以來由。上言性地	是 涅 槃 云 何 可 得 此 問 所 以 來 由 上 言 性 地 
T85n2765_001:0304c24	心中三十七品猶故不取為梵行。要初地以	心 中 三十七品 猶 故 不 取 為 梵 行 要 初 地 以 
T85n2765_001:0304c25	上終至於佛空心相續得作梵行時。人聞以	上 終 至 於 佛 空 心 相 續 得 作 梵 行 時 人 聞 以 
T85n2765_001:0304c26	生其退心。初地已上始勘為梵行。地下不階。	生 其 退 心 初 地 已 上 始 勘 為 梵 行 地 下 不 階 
T85n2765_001:0304c27	我今天眾未有地下之因。地上之行何由可	我 今 天 眾 未 有 地 下 之 因 地 上 之 行 何 由 可 
T85n2765_001:0304c28	階。因行既不成。大涅槃果云何可得也。善	階 因 行 既 不 成 大 涅 槃 果 云 何 可 得 也 善 
T85n2765_001:0304c29	男子已下答。四部眾但修十相為因。次生初	男 子 已 下 答 四 部 眾 但 修 十 相 為 因 次 生 初 
T85n2765_001:0305a01	地相續終得大涅槃。汝修十相故便得。何待	地 相 續 終 得 大 涅 槃 汝 修 十 相 故 便 得 何 待 
T85n2765_001:0305a02	多行。此是其智遠。從相生名相也。十相義就	多 行 此 是 其 智 遠 從 相 生 名 相 也 十 相 義 就 
T85n2765_001:0305a03	文易解。	文 易 解 
T85n2765_001:0305a04	憍陳如品	憍 陳 如 品 
T85n2765_001:0305a05	此品經師解言。前之二品勸人修道。既有修	此 品 經 師 解 言 前 之 二 品 勸 人 修 道 既 有 修 
T85n2765_001:0305a06	道為畢得果。是故憍陳如一品意在流通故	道 為 畢 得 果 是 故 憍 陳 如 一 品 意 在 流 通 故 
T85n2765_001:0305a07	興品。所以先命陳如欲明陳如是眾之上坐。	興 品 所 以 先 命 陳 如 欲 明 陳 如 是 眾 之 上 坐 
T85n2765_001:0305a08	如來滅後欲使流通千載不滅。一意故命。二	如來滅後 欲 使 流 通 千 載 不 滅 一 意 故 命 二 
T85n2765_001:0305a09	來說經已竟十仙悟道緣在陳如。二意故命	來 說 經 已 竟 十 仙 悟 道 緣 在 陳 如 二 意 故 命 
T85n2765_001:0305a10	也。三來初始成道在於鹿苑始說四諦傖為	也 三 來 初 始 成 道 在 於 鹿 苑 始 說 四 諦 傖 為 
T85n2765_001:0305a11	陳如。今日垂終之教在於雙林亦為陳如。表	陳 如 今 日 垂 終 之 教 在 於 雙 林 亦 為 陳 如 表 
T85n2765_001:0305a12	明如來有始有終也。此中流通因無常色獲	明 如 來 有 始 有 終 也 此 中 流 通 因 無 常 色 獲 
T85n2765_001:0305a13	得常色。既名流通。與上品明義。何以名流	得 常 色 既 名 流 通 與 上 品 明 義 何 以 名 流 
T85n2765_001:0305a14	通也。如來自言。我上來說色是無常。汝滅無	通 也 如 來 自 言 我 上 來 說 色 是 無 常 汝 滅 無 
T85n2765_001:0305a15	常色獲得常色。汝於未來流通我此法。是故	常 色 獲 得 常 色 汝 於 未 來 流 通 我 此 法 是 故 
T85n2765_001:0305a16	此品由名流通也。色者常果之體。斷除生死	此 品 由 名 流 通 也 色 者 常 果 之 體 斷 除 生 死 
T85n2765_001:0305a17	□著色盡。體明了顯白義同於色。如來斷下	 著 色 盡 體 明 了 顯 白 義 同 於 色 如 來 斷 下 
T85n2765_001:0305a18	三受永亡。體是至極。領納真功德名受。真照	三 受 永 亡 體 是 至 極 領 納 真 功 德 名 受 真 照 
T85n2765_001:0305a19	之智達假名相盡名想。行者下地聚積生死	之 智 達 假 名 相 盡 名 想 行 者 下 地 聚 積 生 死 
T85n2765_001:0305a20	名之為行。如來斷除眾惡萬善聚積名行。下	名 之 為 行 如 來 斷 除 眾 惡 萬 善 聚 積 名 行 下 
T85n2765_001:0305a21	地識了別青黃名識。真智能達實法名識。下	地 識 了 別 青 黃 名 識 真 智 能 達 實 法 名 識 下 
T85n2765_001:0305a22	地陰者陰蓋。行人恒在生死名陰果。顯陰者	地 陰 者 陰 蓋 行 人 恒 在 生 死 名 陰 果 顯 陰 者 
T85n2765_001:0305a23	能陰覆行人使逍然方外故名陰也。若有人	能 陰 覆 行 人 使 逍 然 方 外 故 名 陰 也 若 有 人 
T85n2765_001:0305a24	能解上常無常義者是名沙門。真息惡人名	能 解 上 常 無 常 義 者 是 名 沙 門 真 息 惡 人 名 
T85n2765_001:0305a25	婆羅門真淨行人。我佛法中有沙門人。若	婆 羅 門 真 淨 行 人 我 佛 法 中 有 沙 門 人 若 
T85n2765_001:0305a26	離佛法外道有沙門法有沙門人無有是處。	離 佛 法 外 道 有 沙 門 法 有 沙 門 人 無 有 是 處 
T85n2765_001:0305a27	道有者都是外道也。何以故。興此文者。譏切	道 有 者 都 是 外 道 也 何 以 故 興 此 文 者 譏 切 
T85n2765_001:0305a28	外道欲使各立神我。與佛論義辯其是非。因	外 道 欲 使 各 立 神 我 與 佛 論 義 辯 其 是 非 因 
T85n2765_001:0305a29	此言論歸其正化故興此文也。諸外道言。瞿	此 言 論 歸 其 正 化 故 興 此 文 也 諸 外 道 言 瞿 
T85n2765_001:0305b01	曇昔日說苦無常空無我。集我門徒。由故可	曇 昔 日 說 苦 無 常 空 無 我 集 我 門 徒 由 故 可 
T85n2765_001:0305b02	忍。與我解異。無智從之。有智歸我。故言可	忍 與 我 解 異 無 智 從 之 有 智 歸 我 故 言 可 
T85n2765_001:0305b03	忍。今日在雙林中說常樂我淨。所有門徒皆	忍 今 日 在 雙 林 中 說 常樂我淨 所 有 門 徒 皆 
T85n2765_001:0305b04	歸化盡。情不能忍。故求論譏。眾中有婆羅門。	歸 化 盡 情 不 能 忍 故 求 論 譏 眾 中 有婆羅門 
T85n2765_001:0305b05	如來上十六天國與諸外道論義。皆從正化	如 來 上 十 六 天 國 與 諸 外 道 論 義 皆 從 正 化 
T85n2765_001:0305b06	盡。此中十仙更別有一段外道。今始欲來論	盡 此 中 十 仙 更 別 有 一 段 外 道 今 始 欲 來 論 
