T85n2767_001:0310c17	藥師經疏	藥 師 經 疏 
T85n2767_001:0311a19	攝功德為淨者。即用五蘊及十二處十八界	攝 功 德 為 淨 者 即 用 五 蘊 及 十 二 處 十 八 界 
T85n2767_001:0311a20	法以為體性。如理應思。第三主眾差別者。如	法 以 為 體 性 如 理 應 思 第 三 主 眾 差 別 者 如 
T85n2767_001:0311a21	成唯識第十卷說。佛有四種。一自性身。謂諸	成 唯 識 第 十 卷 說 佛 有 四 種 一 自 性 身 謂 諸 
T85n2767_001:0311a22	如來真淨法界受用變化平等所依離相寂	如 來 真 淨 法 界 受 用 變 化 平 等 所 依 離 相 寂 
T85n2767_001:0311a23	然。絕諸戲論具無邊際真當功德亦名法身。	然 絕 諸 戲 論 具 無 邊 際 真 當 功 德 亦 名 法 身 
T85n2767_001:0311a24	大功德法所依止處故此自性身。依自性土	大 功 德 法 所 依 止 處 故 此 自 性 身 依 自 性 土 
T85n2767_001:0311a25	雖此身土體無差別。而屬佛法性相異故。此	雖 此 身 土 體 無 差 別 而 屬 佛 法 性 相 異 故 此 
T85n2767_001:0311a26	佛身土俱非色揀唯有其主而無眷屬。二自	佛 身 土 俱 非 色 揀 唯 有 其 主 而 無 眷 屬 二 自 
T85n2767_001:0311a27	受用身。謂諸如來三無數劫。修集無量福慧	受 用 身 謂 諸 如 來 三無數劫 修 集 無 量 福 慧 
T85n2767_001:0311a28	資糧所起無邊真實功德。及極圓淨常遍色	資 糧 所 起 無 邊 真 實 功 德 及 極 圓 淨 常 遍 色 
T85n2767_001:0311a29	身相續湛然。盡未來際恒自受用廣大法樂。	身 相 續 湛 然 盡未來際 恒 自 受 用 廣 大 法 樂 
T85n2767_001:0311b01	此身還依自受用土。謂圓鏡智相應淨識。由	此 身 還 依 自 受 用 土 謂 圓 鏡 智 相 應 淨 識 由 
T85n2767_001:0311b02	昔所修自利無漏純淨佛土因緣成就。從初	昔 所 修 自 利 無 漏 純 淨 佛 土 因 緣 成 就 從 初 
T85n2767_001:0311b03	成佛盡未來際相續變為純淨佛土。自受用	成 佛 盡未來際 相 續 變 為 純 淨 佛 土 自 受 用 
T85n2767_001:0311b04	身常依此土。亦唯有佛無諸徒眾。唯佛自利	身 常 依 此 土 亦 唯 有 佛 無 諸 徒 眾 唯 佛 自 利 
T85n2767_001:0311b05	善所生故。三他受用身。謂諸如來由平等智	善 所 生 故 三 他 受 用 身 謂 諸 如 來 由 平 等 智 
T85n2767_001:0311b06	示現微妙淨功德身。居純淨土為住。十地諸	示 現 微 妙 淨 功 德 身 居 純 淨 土 為 住 十 地 諸 
T85n2767_001:0311b07	菩薩眾現大神通轉正法輪。決眾疑網。令彼	菩 薩 眾 現 大 神 通 轉正法輪 決 眾 疑 網 令 彼 
T85n2767_001:0311b08	受用大乘法樂他受用土以此為主。十地菩	受 用 大 乘 法 樂 他 受 用 土 以 此 為 主 十 地 菩 
T85n2767_001:0311b09	薩以為眷屬。四變化身。謂諸如來由成事智	薩 以 為 眷 屬 四 變 化 身 謂 諸 如 來 由 成 事 智 
T85n2767_001:0311b10	變現無量隨類化身居淨穢土為未登地。諸	變 現 無 量 隨 類 化 身 居 淨 穢 土 為 未 登 地 諸 
T85n2767_001:0311b11	菩薩眾二乘異生稱彼機宜現通說法。令各	菩 薩 眾 二 乘 異 生 稱 彼 機 宜 現 通 說 法 令 各 
T85n2767_001:0311b12	獲得諸利樂事。此化淨土以化身佛以為其	獲 得 諸 利 樂 事 此 化 淨 土 以 化 身 佛 以 為 其 
T85n2767_001:0311b13	主。菩薩二乘及諸異生以為眷屬。第四形量	主 菩 薩 二 乘 及 諸 異 生 以 為 眷 屬 第 四 形 量 
T85n2767_001:0311b14	大小者。一自性身土。離色相故不可說有形	大 小 者 一 自 性 身 土 離 色 相 故 不 可 說 有 形 
T85n2767_001:0311b15	量大小而隨相說無量無邊故。成唯識第十	量 大 小 而 隨 相 說 無量無邊 故 成 唯 識 第 十 
T85n2767_001:0311b16	卷云。雖不可說形量大小而隨事相其量無	卷 云 雖 不 可 說 形 量 大 小 而 隨 事 相 其 量 無 
T85n2767_001:0311b17	邊。譬如虛空遍一切處。二自受用身及其淨	邊 譬 如 虛 空 遍 一 切 處 二 自 受 用 身 及 其 淨 
T85n2767_001:0311b18	土形量無邊。無邊善根之所生故。是故經云。	土 形 量 無 邊 無 邊 善 根 之 所 生 故 是 故 經 云 
T85n2767_001:0311b19	圓圓無際其量難測。三他受用身。及其淨土。	圓 圓 無 際 其 量 難 測 三 他 受 用 身 及 其 淨 土 
T85n2767_001:0311b20	隨住十地菩薩所宜變為身土。或大或小。或	隨 住 十地菩薩 所 宜 變 為 身 土 或 大 或 小 或 
T85n2767_001:0311b21	勝或劣。前後改轉。若變化身依變化土。或依	勝 或 劣 前 後 改 轉 若 變 化 身 依 變 化 土 或 依 
T85n2767_001:0311b22	穢土。隨其根機大小不定。五問答分別。問異	穢 土 隨 其 根 機 大 小 不 定 五 問 答 分 別 問 異 
T85n2767_001:0311b23	生二乘生淨土不。若言生者如何攝大乘云。	生 二 乘 生 淨 土 不 若 言 生 者 如 何 攝 大 乘 云 
T85n2767_001:0311b24	若稱佛名生淨土者是別時意。又解深密及	若 稱 佛 名 生 淨 土 者 是 別 時 意 又 解 深 密 及 
T85n2767_001:0311b25	瑜伽論問。何等人不生淨土。答異生二乘若	瑜 伽 論 問 何 等 人 不 生 淨 土 答 異 生 二 乘 若 
T85n2767_001:0311b26	言不生者。如阿彌陀等經說。若一日乃至七	言 不 生 者 如 阿 彌 陀 等 經 說 若 一 日 乃 至 七 
T85n2767_001:0311b27	日。心不亂者即生淨土。解云。此義極難。西	日 心 不 亂 者 即 生 淨 土 解 云 此 義 極 難 西 
T85n2767_001:0311b28	國諸師兩說不同。一云。異生及二乘不生淨	國 諸 師 兩 說 不 同 一 云 異 生 及 二 乘 不 生 淨 
T85n2767_001:0311b29	土故。攝大乘云。生淨土者約別時意。由此	土 故 攝 大 乘 云 生 淨 土 者 約 別 時 意 由 此 
T85n2767_001:0311c01	念佛有初因緣數數修習。乃至十地方得生	念 佛 有 初 因 緣 數數修習 乃 至 十 地 方 得 生 
T85n2767_001:0311c02	彼故。諸經說生淨土者。約別時說。又深密	彼 故 諸 經 說 生 淨 土 者 約 別 時 說 又 深 密 
T85n2767_001:0311c03	說。二乘異生不生淨土。又往生論云。女人及	說 二 乘 異 生 不 生 淨 土 又 往 生 論 云 女 人 及 
T85n2767_001:0311c04	根缺。二乘種不生。一云淨土有其四種。法性	根 缺 二 乘 種 不 生 一 云 淨 土 有 其 四 種 法 性 
T85n2767_001:0311c05	淨土是真如故不可說言。生與不生絕諸相	淨 土 是 真 如 故 不可說言 生 與 不 生 絕 諸 相 
T85n2767_001:0311c06	故。自受用土。唯佛與佛乃得生彼。他受用	故 自 受 用 土 唯 佛 與 佛 乃 得 生 彼 他 受 用 
T85n2767_001:0311c07	者唯是十地菩薩生處。其變化土異生二乘	者 唯 是 十地菩薩 生 處 其 變 化 土 異 生 二 乘 
T85n2767_001:0311c08	地前菩薩。皆能往生。而攝大乘及瑜伽論說	地 前 菩 薩 皆 能 往 生 而 攝 大 乘 及 瑜 伽 論 說 
T85n2767_001:0311c09	不生者。約他受用說不說化土。問極樂國土	不 生 者 約 他 受 用 說 不 說 化 土 問 極樂國土 
T85n2767_001:0311c10	四種土中何土所攝。解云。西方自有兩釋。一	四 種 土 中 何 土 所 攝 解 云 西 方 自 有 兩 釋 一 
T85n2767_001:0311c11	云。他受用身。有分限故。一云。極樂有其二	云 他 受 用 身 有 分 限 故 一 云 極 樂 有 其 二 
T85n2767_001:0311c12	種。一他受用。唯是地上菩薩生處二變化土。	種 一 他 受 用 唯 是 地 上 菩 薩 生 處 二 變 化 土 
T85n2767_001:0311c13	即是已生地前菩薩皆得往生。	即 是 已 生 地 前 菩 薩 皆 得 往 生 
T85n2767_001:0311c14	經。於其國中至正法之藏　四明持法有二。	經 於 其 國 中 至 正 法 之 藏 四 明 持 法 有 二 
T85n2767_001:0311c15	菩薩摩訶薩者菩薩如前。釋摩訶薩者。翻為	菩薩摩訶薩 者 菩 薩 如 前 釋 摩 訶 薩 者 翻 為 
T85n2767_001:0311c16	大覺士。佛地第二云。菩薩有三大士名摩訶	大 覺 士 佛 地 第 二 云 菩 薩 有 三 大 士 名 摩 訶 
T85n2767_001:0311c17	薩。一者數大以無量故。二者德大謂住大乘	薩 一 者 數 大 以 無 量 故 二 者 德 大 謂 住 大 乘 
T85n2767_001:0311c18	遊大乘等。三者業大謂息眾生諸苦惱故。利	遊 大 乘 等 三 者 業 大 謂 息 眾 生 諸 苦 惱 故 利 
T85n2767_001:0311c19	樂有情。是菩薩業。由斯三義名摩訶薩。一名	樂 有 情 是 菩 薩 業 由 斯 三 義 名 摩 訶 薩 一 名 
T85n2767_001:0311c20	日光。二名月光者。宋本云。一名日耀。二名	日 光 二 名 月 光 者 宋 本 云 一 名 日 耀 二 名 
T85n2767_001:0311c21	月淨。唐本云。一名日光遍照。二名月光遍照。	月 淨 唐 本 云 一 名 日 光 遍 照 二 名 月 光 遍 照 
T85n2767_001:0311c22	是彼國中尊勝上首。猶如□土慈氏妙吉祥	是 彼 國 中 尊 勝 上 首 猶 如 土 慈 氏 妙 吉 祥 
T85n2767_001:0311c23	等。	等 
T85n2767_001:0311c24	經。是故至彼佛國土　五勸物願生。言信心	經 是 故 至 彼 佛 國 土 五 勸 物 願 生 言 信 心 
T85n2767_001:0311c25	者。雜集第一云。於有體有德有能忍可清淨	者 雜 集 第 一 云 於 有 體 有 德 有 能 忍 可 清 淨 
T85n2767_001:0311c26	希望為體樂。欲所依為業。謂於實有體起忍	希 望 為 體 樂 欲 所 依 為 業 謂 於 實 有 體 起 忍 
T85n2767_001:0311c27	可行信。於實有德起清淨行信。於實有能起	可 行 信 於 實 有 德 起 清 淨 行 信 於 實 有 能 起 
T85n2767_001:0311c28	希望行信。謂我有力能得能成。云何善男子	希 望 行 信 謂 我 有 力 能 得 能 成 云 何 善 男 子 
T85n2767_001:0311c29	善女人　照明菩薩方便經說能化惡有善上	善 女 人 照 明 菩 薩 方 便 經 說 能 化 惡 有 善 上 
T85n2767_001:0312a01	下無怨。無彼無此名善男子。若能慈念養育	下 無 怨 無 彼 無 此 名 善 男 子 若 能 慈 念 養 育 
T85n2767_001:0312a02	群生如母養子。貞潔遠色無男女相名善女	群 生 如 母 養 子 貞 潔 遠 色 無 男 女 相 名 善 女 
T85n2767_001:0312a03	人。	人 
T85n2767_001:0312a04	經。爾時至不欲分施　第四答聞。經除障文	經 爾 時 至 不 欲 分 施 第 四 答 聞 經 除 障 文 
T85n2767_001:0312a05	分為五。一治多貪。二治破戒。三治妬忌。四	分 為 五 一 治 多 貪 二 治 破 戒 三 治 妬 忌 四 
T85n2767_001:0312a06	治離隙。五治不定。就初文中文分為六。一他	治 離 隙 五 治 不 定 就 初 文 中 文 分 為 六 一 他 
T85n2767_001:0312a07	求悋惜。二不濟親因。三乘業受生。四聞名往	求 悋 惜 二 不 濟 親 因 三 乘 業 受 生 四 聞 名 往 
T85n2767_001:0312a08	救。五咸蒙願遂。六好惠無疲。就初文中文分	救 五 咸 蒙 願 遂 六 好 惠 無 疲 就 初 文 中 文 分 
T85n2767_001:0312a09	為二分。一辨貪癡。二辨瞋恚。此則初也。不識	為 二 分 一 辨 貪 癡 二 辨 瞋 恚 此 則 初 也 不 識 
T85n2767_001:0312a10	善惡者是總多貪無厭者貪是欲於他財惜是	善 惡 者 是 總 多 貪 無 厭 者 貪 是 欲 於 他 財 惜 是 
T85n2767_001:0312a11	悋於己物。四分律說。有一比丘。池邊習定池	悋 於 己 物 四 分 律 說 有 一 比 丘 池 邊 習 定 池 
T85n2767_001:0312a12	龍敬德以身繞之。比丘心惡欲令龍去。方便	龍 敬 德 以 身 繞 之 比 丘 心 惡 欲 令 龍 去 方 便 
T85n2767_001:0312a13	說偈。從索珠云。光耀摩尼寶瓔珞莊嚴身。若	說 偈 從 索 珠 云 光 耀 摩 尼 寶 瓔 珞 莊 嚴 身 若 
T85n2767_001:0312a14	能施我者是名為善親。池龍慳惜說偈答云。	能 施 我 者 是 名 為 善 親 池 龍 慳 惜 說 偈 答 云 
T85n2767_001:0312a15	我愛摩尼寶過汝比丘身。我終不施汝任汝	我 愛 摩 尼 寶 過 汝 比 丘 身 我 終 不 施 汝 任 汝 
T85n2767_001:0312a16	不相親。佛因此事復說偈云。多貪人所惡數	不 相 親 佛 因 此 事 復 說 偈 云 多 貪 人 所 惡 數 
T85n2767_001:0312a17	乞朋友乖比丘乞龍珠一去不復迴故知貪惜	乞 朋 友 乖 比 丘 乞 龍 珠 一 去 不 復 迴 故 知 貪 惜 
T85n2767_001:0312a18	能捨親友故。天請問經云。慳貪捨親友即其	能 捨 親 友 故 天 請 問 經 云 慳 貪 捨 親 友 即 其 
T85n2767_001:0312a19	義也。又由護惜不行惠施。又由貪故。唯欲他	義 也 又 由 護 惜 不 行 惠 施 又 由 貪 故 唯 欲 他 
T85n2767_001:0312a20	財所生之處。貧窮之少無父無母無妻無子。	財 所 生 之 處 貧 窮 之 少 無 父 無 母 無 妻 無 子 
T85n2767_001:0312a21	無善知識無親友人。又花嚴論第四卷云。賢	無 善 知 識 無 親 友 人 又 花 嚴 論 第 四 卷 云 賢 
T85n2767_001:0312a22	聖作是說貪嫉最苦器。見於乞求者其心則	聖 作 是 說 貪 嫉 最 苦 器 見 於 乞 求 者 其 心 則 
T85n2767_001:0312a23	惱濁。惱濁剎那中則能作鄙漏愚癡慳不施	惱 濁 惱 濁 剎 那 中 則 能 作 鄙 漏 愚 癡 慳 不 施 
T85n2767_001:0312a24	以種貧窮本。又貪者雜集第一云。謂三界愛	以 種 貧 窮 本 又 貪 者 雜 集 第 一 云 謂 三 界 愛 
T85n2767_001:0312a25	為體。生眾苦為業。不知布施者不識行善因。	為 體 生 眾 苦 為 業 不 知 布 施 者 不 識 行 善 因 
T85n2767_001:0312a26	及施果報者不識行善。因能感善果。愚癡無	及 施 果 報 者 不 識 行 善 因 能 感 善 果 愚 癡 無 
T85n2767_001:0312a27	智者顯前不識善惡。以愚癡無智故不識善	智 者 顯 前 不 識 善 惡 以 愚 癡 無 智 故 不 識 善 
T85n2767_001:0312a28	惡。雜集論云。愚癡即是無明。無明者三界無	惡 雜 集 論 云 愚 癡 即 是 無 明 無 明 者 三 界 無 
T85n2767_001:0312a29	智為體。雜染生起不依為業。闕於信根者。顯	智 為 體 雜 染 生 起 不 依 為 業 闕 於 信 根 者 顯 
T85n2767_001:0312b01	前不知布施。及施果報不信者。雜集云。謂	前 不 知 布 施 及 施 果 報 不 信 者 雜 集 云 謂 
T85n2767_001:0312b02	愚分於諸善法心不忍信以不清淨心不希望	愚 分 於 諸 善 法 心 不 忍 信 以 不 清 淨 心 不 希 望 
T85n2767_001:0312b03	為體。懈怠所依為業。聚財護惜不欲分施者	為 體 懈 怠 所 依 為 業 聚 財 護 惜 不 欲 分 施 者 
T85n2767_001:0312b04	顯前多貪無厭。	顯 前 多 貪 無 厭 
T85n2767_001:0312b05	經。此等眾生至如割身肉　二辯瞋恚設不	經 此 等 眾 生 至 如 割 身 肉 二 辯 瞋 恚 設 不 
T85n2767_001:0312b06	獲已而行施時。謂諸有力強逼令施如割身	獲 已 而 行 施 時 謂 諸 有 力 強 逼 令 施 如 割 身 
T85n2767_001:0312b07	肉深生痛惜。	肉 深 生 痛 惜 
T85n2767_001:0312b08	經。復有無量至及餘乞人　二不濟親姻慳	經 復 有 無 量 至 及 餘 乞 人 二 不 濟 親 姻 慳 
T85n2767_001:0312b09	者。雜集云。耽著利養於資生具貪以一分以	者 雜 集 云 耽 著 利 養 於 資 生 具 貪 以 一 分 以 
T85n2767_001:0312b10	悋為體。不捨所依為業。不捨者由慳悋故非	悋 為 體 不 捨 所 依 為 業 不 捨 者 由 慳 悋 故 非 
T85n2767_001:0312b11	所用。具亦恒積聚。謂自身不受用。不濟親屬	所 用 具 亦 恒 積 聚 謂 自 身 不 受 用 不 濟 親 屬 
T85n2767_001:0312b12	及來乞者。	及 來 乞 者 
T85n2767_001:0312b13	經。此等眾生至畜生道　三乘業受生　問	經 此 等 眾 生 至 畜 生 道 三 乘 業 受 生 問 
T85n2767_001:0312b14	人間命終生餓鬼道者有何相貌。答大威德	人 間 命 終 生 餓 鬼 道 者 有 何 相 貌 答 大 威 德 
T85n2767_001:0312b15	陀羅尼經第二卷云。其人臨終有十種相。一	陀 羅 尼 經 第 二 卷 云 其 人 臨 終 有 十 種 相 一 
T85n2767_001:0312b16	轉舌向上及舐下唇。二身體熱惱求欲得水。	轉 舌 向 上 及 舐 下 唇 二 身 體 熱 惱 求 欲 得 水 
T85n2767_001:0312b17	三論說飲食而但口張。四眼目青色如孔雀	三 論 說 飲 食 而 但 口 張 四 眼 目 青 色 如 孔 雀 
T85n2767_001:0312b18	頂。五瞳人乾燥。六故糞失尿。七右脚先冷。八	頂 五 瞳 人 乾 燥 六 故 糞 失 尿 七 右 脚 先 冷 八 
T85n2767_001:0312b19	口言燒我。九右手作拳。十如是慳貪諸遍患	口 言 燒 我 九 右 手 作 拳 十 如 是 慳 貪 諸 遍 患 
T85n2767_001:0312b20	故。不捨施故而取命終生餓鬼道中。問生畜	故 不 捨 施 故 而 取 命 終 生 餓 鬼 道 中 問 生 畜 
T85n2767_001:0312b21	生道有何相貌。答彼經中說有五種相。一於	生 道 有 何 相 貌 答 彼 經 中 說 有 五 種 相 一 於 
T85n2767_001:0312b22	妻子所愛心所牽。二手足指等悉皆捲縮。三	妻 子 所 愛 心 所 牽 二 手 足 指 等 悉 皆 捲 縮 三 
T85n2767_001:0312b23	腹上行出。四作白羊鳴。五口中沫出。臨命終	腹 上 行 出 四 作 白 羊 鳴 五 口 中 沫 出 臨 命 終 
T85n2767_001:0312b24	時。此五相現。當知決定生畜生道　問造何	時 此 五 相 現 當 知 決 定 生 畜 生 道 問 造 何 
T85n2767_001:0312b25	業故生二趣中。答以慳貪故生餓鬼中。以愚	業 故 生 二 趣 中 答 以 慳 貪 故 生 餓 鬼 中 以 愚 
T85n2767_001:0312b26	癡故生畜生中　問何故不生地獄中。答不	癡 故 生 畜 生 中 問 何 故 不 生 地 獄 中 答 不 
T85n2767_001:0312b27	起重瞋損惱他故不生地獄中。	起 重 瞋 損 惱 他 故 不 生 地 獄 中 
T85n2767_001:0312b28	經。由昔人間至暫得現前　四聞名往救。謂	經 由 昔 人 間 至 暫 得 現 前 四 聞 名 往 救 謂 
T85n2767_001:0312b29	昔在人間曾得暫聞藥師佛號。後遇惡友造	昔 在 人 間 曾 得 暫 聞 藥 師 佛 號 後 遇 惡 友 造 
T85n2767_001:0312c01	無施業。雖生惡趣由同佛名種子力故。還得	無 施 業 雖 生 惡 趣 由 同 佛 名 種 子 力 故 還 得 
T85n2767_001:0312c02	憶念藥師如來。	憶 念 藥 師 如 來 
T85n2767_001:0312c03	經。即於至人道　五咸蒙願遂由念佛力故	經 即 於 至 人 道 五 咸 蒙 願 遂 由 念 佛 力 故 
T85n2767_001:0312c04	便捨惡趣生天人中　問暫念佛名有何勝利	便 捨 惡 趣 生 天 人 中 問 暫 念 佛 名 有 何 勝 利 
T85n2767_001:0312c05	乃拔如是鬼畜重殃。答那先比丘經說。如人	乃 拔 如 是 鬼 畜 重 殃 答 那 先 比 丘 經 說 如 人 
T85n2767_001:0312c06	在世百年為惡。臨命終時聞佛名者。如放小	在 世 百 年 為 惡 臨命終時 聞 佛 名 者 如 放 小 
T85n2767_001:0312c07	石水中即沒。若持大石置於船上即浮不沒。	石 水 中 即 沒 若 持 大 石 置 於 船 上 即 浮 不 沒 
T85n2767_001:0312c08	雖一生作惡。以一時中聞佛名故尚不受苦。	雖 一 生 作 惡 以 一 時 中 聞 佛 名 故 尚 不 受 苦 
T85n2767_001:0312c09	況當專念更復受彼餓鬼畜生。	況 當 專 念 更 復 受 彼 餓 鬼 畜 生 
T85n2767_001:0312c10	經。得宿命智至況餘財物　六好惠無疲。宿	經 得 宿 命 智 至 況 餘 財 物 六 好 惠 無 疲 宿 
T85n2767_001:0312c11	命有三。一修得。二報得。三業得。依四根本定	命 有 三 一 修 得 二 報 得 三 業 得 依 四 根 本 定 
T85n2767_001:0312c12	發得者名為修得。餘二易了。又智論第五云。	發 得 者 名 為 修 得 餘 二 易 了 又 智 論 第 五 云 
T85n2767_001:0312c13	本事常憶念日月年歲乃至胎中。及過去世	本 事 常 憶 念 日 月 年 歲 乃 至 胎 中 及 過 去 世 
T85n2767_001:0312c14	一世乃至百千萬億世。大羅漢辟支知八萬	一 世 乃 至 百 千 萬 億 世 大 羅 漢 辟 支 知 八 萬 
T85n2767_001:0312c15	大劫。大菩薩及佛知無量劫名宿命智通。好	大 劫 大 菩 薩 及 佛 知 無 量 劫 名 宿 命 智 通 好 
T85n2767_001:0312c16	行惠施者。大莊嚴論第二卷說。能好展手施	行 惠 施 者 大 莊 嚴 論 第 二 卷 說 能 好 展 手 施 
T85n2767_001:0312c17	者。此手名嚴勝。受者能縮手。嚴勝復遇彼若	者 此 手 名 嚴 勝 受 者 能 縮 手 嚴 勝 復 遇 彼 若 
T85n2767_001:0312c18	人言施與。是語價難量。受者言我足難量復	人 言 施 與 是 語 價 難 量 受 者 言 我 足 難 量 復 
T85n2767_001:0312c19	遇彼悉能捨者。雜集第一云。依止正雜染無	遇 彼 悉 能 捨 者 雜 集 第 一 云 依 止 正 雜 染 無 
T85n2767_001:0312c20	怯慮故。最後證得心無功用住性。以頭施者	怯 慮 故 最 後 證 得 心 無 功 用 住 性 以 頭 施 者 
T85n2767_001:0312c21	如報恩經第五卷說。大光明王等。因施者如	如 報 恩 經 第 五 卷 說 大 光 明 王 等 因 施 者 如 
T85n2767_001:0312c22	彼經說。忍辱太子等手足血肉身。分施者如	彼 經 說 忍 辱 太 子 等 手 足 血 肉 身 分 施 者 如 
T85n2767_001:0312c23	智度論第十二云。月光太子等問。檀有何等	智 度 論 第 十 二 云 月 光 太 子 等 問 檀 有 何 等 
T85n2767_001:0312c24	利益。乃至頭目手足血肉身分皆與求者。答	利 益 乃 至 頭 目 手 足 血 肉 身 分 皆 與 求 者 答 
T85n2767_001:0312c25	智度論十一云。檀為寶藏。常隨逐人。檀為破	智 度 論 十 一 云 檀 為 寶 藏 常 隨 逐 人 檀 為 破 
T85n2767_001:0312c26	苦。能與人樂。檀為善御。開示天道。檀為善	苦 能 與 人 樂 檀 為 善 御 開 示 天 道 檀 為 善 
T85n2767_001:0312c27	府。能攝善人。檀為安隱。臨命終時心不怖畏。	府 能 攝 善 人 檀 為 安 隱 臨命終時 心 不 怖 畏 
T85n2767_001:0312c28	檀為慈分。能濟一切檀為大將。能伏慳敵。檀	檀 為 慈 分 能 濟 一 切 檀 為 大 將 能 伏 慳 敵 檀 
T85n2767_001:0312c29	為妙果。天人所愛。檀為淨道。賢聖所遊。檀	為 妙 果 天 人 所 愛 檀 為 淨 道 賢 聖 所 遊 檀 
T85n2767_001:0313a01	為積善。福德之門。檀破貧窮。斷三惡道。檀	為 積 善 福 德 之 門 檀 破 貧 窮 斷 三 惡 道 檀 
T85n2767_001:0313a02	為涅槃之初緣。入善人中之要法。稱譽讚歎	為 涅 槃 之 初 緣 入 善 人 中 之 要 法 稱 譽 讚 歎 
T85n2767_001:0313a03	之淵府。入眾無難之功德。心不悔恨之窟宅。	之 淵 府 入 眾 無 難 之 功 德 心 不 悔 恨 之 窟 宅 
