T85n2745_001:0166a18	仁王經疏	仁 王 經 疏 
T85n2745_001:0166c23	知。華嚴大本十地品初。故言我聞一時。	知 華 嚴 大 本 十 地 品 初 故 言 我 聞 一 時 
T85n2745_001:0166c24	聖教雖眾。略要唯二。一聲聞藏。二菩薩藏教	聖 教 雖 眾 略 要 唯 二 一 聲 聞 藏 二 菩薩藏教 
T85n2745_001:0166c25	聲聞法。名聲聞藏。教菩薩法。名菩薩藏。聲藏	聲 聞 法 名 聲 聞 藏 教 菩 薩 法 名 菩 薩 藏 聲 藏 
T85n2745_001:0166c26	中所教有二。一聲聞聲聞。二緣覺聲聞。聲聞	中 所 教 有 二 一 聲 聞 聲 聞 二 緣 覺 聲 聞 聲 聞 
T85n2745_001:0166c27	者。是人本來。求聲聞道。樂觀四諦。成聲聞性。	者 是 人 本 來 求 聲 聞 道 樂 觀 四 諦 成 聲 聞 性 
T85n2745_001:0166c28	於最後身。值佛欲小。如來為說四真諦法。而	於 最 後 身 值 佛 欲 小 如 來 為 說 四 真 諦 法 而 
T85n2745_001:0166c29	得悟道。本聲聞性。今復聞聲。而得悟道。是故	得 悟 道 本 聲 聞 性 今 復 聞 聲 而 得 悟 道 是 故 
T85n2745_001:0167a01	名為聲聞聲聞。經言為求聲聞之者。說四真	名 為 聲 聞 聲 聞 經 言 為 求 聲 聞 之 者 說 四 真 
T85n2745_001:0167a02	諦。據斯為論。緣覺聲聞者。是人本來。求緣覺	諦 據 斯 為 論 緣 覺 聲 聞 者 是 人 本 來 求 緣 覺 
T85n2745_001:0167a03	道。常樂觀察十二緣法。成緣覺性。於最後	道 常 樂 觀 察 十 二 緣 法 成 緣 覺 性 於 最 後 
T85n2745_001:0167a04	身值佛為說十二緣法。而得悟道。本緣覺性。	身 值 佛 為 說 十 二 緣 法 而 得 悟 道 本 緣 覺 性 
T85n2745_001:0167a05	於最後身。聞聲悟道。是故名為緣覺聲聞。經	於 最 後 身 聞 聲 悟 道 是 故 名 為 緣 覺 聲 聞 經 
T85n2745_001:0167a06	言為求緣覺之者。說十二緣。據此為言。此二	言 為 求 緣 覺 之 者 說 十 二 緣 據 此 為 言 此 二 
T85n2745_001:0167a07	雖殊。同期小果。藉教處等。以是義故。齊號聲	雖 殊 同 期 小 果 藉 教 處 等 以是義故 齊 號 聲 
T85n2745_001:0167a08	聞。對斯二人。所說之法。名聲聞藏菩薩藏中。	聞 對 斯 二 人 所 說 之 法 名 聲 聞 藏 菩 薩 藏 中 
T85n2745_001:0167a09	所教亦二。一是漸入。二是頓悟。言漸入者。	所 教 亦 二 一 是 漸 入 二 是 頓 悟 言 漸 入 者 
T85n2745_001:0167a10	是人過去。曾習大法。中聞覺小。後還入大。大	是 人 過 去 曾 習 大 法 中 聞 覺 小 後 還 入 大 大 
T85n2745_001:0167a11	從小來謂之為漸。故經說言。除先修習。學小	從 小 來 謂 之 為 漸 故 經 說 言 除 先 修 習 學 小 
T85n2745_001:0167a12	乘者。我今亦令入是法中。此即是其漸入菩	乘 者 我 今 亦 令 入 是 法 中 此 即 是 其 漸 入 菩 
T85n2745_001:0167a13	薩。言頓悟者。有諸眾生。久習大乘相應善根。	薩 言 頓 悟 者 有 諸 眾 生 久 習 大乘相應 善 根 
T85n2745_001:0167a14	今始見佛。即能入大。大不由小。目之為頓。故	今 始 見 佛 即 能 入 大 大 不 由 小 目 之 為 頓 故 
T85n2745_001:0167a15	經說言。或有眾生。世世已來。常受我化。始見	經 說 言 或 有 眾 生 世 世 已 來 常 受 我 化 始 見 
T85n2745_001:0167a16	我身。聞我所說。即皆信受。入如來惠。此是	我 身 聞 我 所 說 即 皆 信 受 入 如 來 惠 此 是 
T85n2745_001:0167a17	頓悟。漸入菩薩。藉淺階遠。頓悟菩薩。一越解	頓 悟 漸 入 菩 薩 藉 淺 階 遠 頓 悟 菩 薩 一 越 解 
T85n2745_001:0167a18	大。頓漸雖殊。以其當時受大處一。是故對斯	大 頓 漸 雖 殊 以 其 當 時 受 大 處 一 是 故 對 斯 
T85n2745_001:0167a19	二人。所說。名菩薩藏聖教雖眾。要不出此。故	二 人 所 說 名 菩 薩 藏 聖 教 雖 眾 要 不 出 此 故 
T85n2745_001:0167a20	龍樹云。佛滅度後。迦葉阿難。於王舍城。結	龍 樹 云 佛 滅 度 後 迦 葉 阿 難 於 王 舍 城 結 
T85n2745_001:0167a21	集三藏。為聲聞藏。文殊阿難。在鐵圍山。結集	集 三 藏 為 聲 聞 藏 文 殊 阿 難 在 鐵 圍 山 結 集 
T85n2745_001:0167a22	摩訶衍。為菩薩藏。地持亦云。佛為聲聞菩薩。	摩 訶 衍 為 菩 薩 藏 地 持 亦 云 佛 為 聲 聞 菩 薩 
T85n2745_001:0167a23	行出苦道。說修多羅。結集經者。集為二藏以	行 出 苦 道 說 修 多 羅 結 集 經 者 集 為 二 藏 以 
T85n2745_001:0167a24	說聲聞所行。為聲聞藏。說菩薩行。為菩薩藏。	說 聲 聞 所 行 為 聲 聞 藏 說 菩 薩 行 為 菩 薩 藏 
T85n2745_001:0167a25	地持復言。十二部經。唯方廣部。是菩薩藏。餘	地 持 復 言 十二部經 唯 方 廣 部 是 菩 薩 藏 餘 
T85n2745_001:0167a26	十一部。是聲聞藏。故知。聖教無出此二。此	十 一 部 是 聲 聞 藏 故 知 聖 教 無 出 此 二 此 
T85n2745_001:0167a27	二亦名大乘小乘。半滿教等。名雖變改。其義	二 亦 名 大 乘 小 乘 半 滿 教 等 名 雖 變 改 其 義 
T85n2745_001:0167a28	不殊。今此經者。二藏之中。菩薩藏收。為根	不 殊 今 此 經 者 二 藏 之 中 菩 薩 藏 收 為 根 
T85n2745_001:0167a29	熟人。頓教法輪。已知教分齊。次釋其名。今言	熟 人 頓 教 法 輪 已 知 教 分 齊 次 釋 其 名 今 言 
T85n2745_001:0167b01	佛說仁王護國波若波羅蜜者。蓋乃[標*寸]經部	佛 說 仁 王 護 國 波 若 波 羅 蜜 者 蓋 乃 [標寸] 經 部 
T85n2745_001:0167b02	別名也。諸經所以皆首題其名者。為求所明	別 名 也 諸 經 所 以 皆 首 題 其 名 者 為 求 所 明 
T85n2745_001:0167b03	法。此經以真性為宗。故始[標*寸]舉。但諸經立不	法 此 經 以 真 性 為 宗 故 始 [標寸] 舉 但 諸 經 立 不 
T85n2745_001:0167b04	同。乃有多種。或就法為名。如涅槃經波若經	同 乃 有 多 種 或 就 法 為 名 如 涅 槃 經 波 若 經 
T85n2745_001:0167b05	等。或就人為目。如薩和樹須達拏等。或就事	等 或 就 人 為 目 如 薩 和 樹 須 達 拏 等 或 就 事 
T85n2745_001:0167b06	立秤。如枯樹經等。或就喻障名。如大雲經	立 秤 如 枯 樹 經 等 或 就 喻 障 名 如 大 雲 經 
T85n2745_001:0167b07	寶□經等。或就人法並障。如勝鬘經等。或事	寶 經 等 或 就 人 法 並 障 如 勝 鬘 經 等 或 事 
T85n2745_001:0167b08	法覆舉。如彼方等大集經等或法喻但題。如	法 覆 舉 如 彼 方 等 大 集 經 等 或 法 喻 但 題 如 
T85n2745_001:0167b09	華嚴經等。或人事並立。如舍利弗問病經等。	華 嚴 經 等 或 人 事 並 立 如 舍 利 弗 問 病 經 等 
T85n2745_001:0167b10	如是非一。今此經者。人法為名。如來所說。是	如 是 非 一 今 此 經 者 人 法 為 名 如 來 所 說 是 
T85n2745_001:0167b11	其人名。波若波羅蜜。是其法名。法藉人通。	其 人 名 波 若 波 羅 蜜 是 其 法 名 法 藉 人 通 
T85n2745_001:0167b12	故須[標*寸]人法。是所須舉法但諸經首。別人有	故 須 [標寸] 人 法 是 所 須 舉 法 但 諸 經 首 別 人 有 
T85n2745_001:0167b13	四。一題說人。如勝鬘等。二舉問人。如彼彌	四 一 題 說 人 如 勝 鬘 等 二 舉 問 人 如 彼 彌 
T85n2745_001:0167b14	勒所問經等。三舉所說。如睒子經薩和檀等。	勒 所 問 經 等 三 舉 所 說 如 睒 子 經 薩 和 檀 等 
T85n2745_001:0167b15	四舉所化人。如玉瑘經須摩提女等。今舉所	四 舉 所 化 人 如 玉 瑘 經 須 摩 提 女 等 今 舉 所 
T85n2745_001:0167b16	說人。說者不同。有其五種。一是佛說。二是聖	說 人 說 者 不 同 有 其 五 種 一 是 佛 說 二 是 聖 
T85n2745_001:0167b17	弟子說。三諸天說。四神仙等說。五變化說。此	弟 子 說 三 諸 天 說 四 神 仙 等 說 五 變 化 說 此 
T85n2745_001:0167b18	經如來聖弟子說。	經 如 來 聖 弟 子 說 
