T22n1423_001:0206b23	五分比丘尼戒本	五 分 比丘尼戒 本 
T22n1423_001:0206c12	　繫心不放逸，　　亦如猴著鎖。	 繫 心 不 放 逸 亦 如 猴 著 鎖 
T22n1423_001:0206c13	　日夜常精進，　　求實智慧故，	 日 夜 常 精 進 求 實 智 慧 故 
T22n1423_001:0206c14	　是人佛法中，　　能得清淨命。」	 是 人 佛 法 中 能 得 清 淨 命 
T22n1423_001:0206c15	「未受具戒者出。」(有者依言遣出，無者答言：「此處無未受具戒人。」)「諸大姊！不	 未受具戒 者 出 有 者 依 言 遣 出 無 者 答 言 此 處 無 未受具戒人 諸 大 姊 不 
T22n1423_001:0206c16	來諸比丘尼說欲及清淨。」(有者依言說，無者答言：「此處無說欲人。」)「僧	來 諸比丘尼 說 欲 及 清 淨 有 者 依 言 說 無 者 答 言 此 處 無 說 欲 人 僧 
T22n1423_001:0206c17	今和合，先作何事？」(答言：「說戒羯磨。」)	今 和 合 先作何事 答 言 說 戒 羯 磨 
T22n1423_001:0206c18	「大姊僧聽！今十五日布薩說戒，僧一心作布	 大 姊 僧 聽 今 十 五 日 布 薩 說 戒 僧 一 心 作 布 
T22n1423_001:0206c19	薩說戒。若僧時到僧忍聽。白如是。」	薩 說 戒 若僧時到 僧 忍 聽 白 如 是 
T22n1423_001:0206c20	「諸大姊！今布薩說波羅提木叉，一切共聽，善	 諸 大 姊 今 布 薩 說波羅提木叉 一 切 共 聽 善 
T22n1423_001:0206c21	思念之。若有罪應發露，無罪者默然。默然故，	思 念 之 若 有 罪 應 發 露 無 罪 者 默 然 默 然 故 
T22n1423_001:0206c22	當知我及諸大姊清淨。如聖默然，我及諸大	當 知 我 及 諸 大 姊 清 淨 如 聖 默 然 我 及 諸 大 
T22n1423_001:0206c23	姊亦如是。若比丘尼，如是眾中乃至三唱，憶	姊 亦 如 是 若 比 丘 尼 如 是 眾 中 乃至三唱 憶 
T22n1423_001:0206c24	有罪不發露，得故妄語罪。故妄語罪，佛說遮	有 罪 不 發 露 得 故 妄 語 罪 故 妄 語 罪 佛 說 遮 
T22n1423_001:0206c25	道法。發露者得安樂，不發露罪益深。」「諸大姊！	道 法 發 露 者 得 安 樂 不 發 露 罪 益 深 諸 大 姊 
T22n1423_001:0206c26	已說戒經序。今問，諸大姊是中清淨不？」(第二、第三	已 說 戒 經 序 今 問 諸 大 姊 是 中 清 淨 不 第 二 第 三 
T22n1423_001:0206c27	亦如是說)「諸大姊是中清淨，默然故，是事如是持。」	亦 如 是 說 諸 大 姊 是 中 清 淨 默 然 故 是事如是持 
T22n1423_001:0206c28	「諸大姊！是八波羅夷法，半月半月戒經中說。	 諸 大 姊 是 八波羅夷 法 半月半月 戒 經 中 說 
T22n1423_001:0206c29	「若比丘尼，共諸比丘尼同學戒法，戒羸不	 若 比 丘 尼 共 諸比丘尼 同 學 戒 法 戒 羸 不 
T22n1423_001:0207a01	捨，隨意行婬乃至共畜生，是比丘尼得波羅	捨 隨 意 行 婬 乃 至 共 畜 生 是 比 丘 尼 得 波 羅 
T22n1423_001:0207a02	夷不共住。「若比丘尼，若聚落、若空地，盜心	夷 不 共 住 若 比 丘 尼 若 聚 落 若 空 地 盜 心 
T22n1423_001:0207a03	不與取。若王、若大臣，若捉、若縛、若殺、若擯，語	不 與 取 若 王 若 大 臣 若 捉 若 縛 若 殺 若 擯 語 
T22n1423_001:0207a04	言：『汝賊、汝小、汝癡。』是比丘尼得波羅夷不共	言 汝 賊 汝 小 汝 癡 是 比 丘 尼 得 波 羅 夷 不 共 
T22n1423_001:0207a05	住。「若比丘尼，若人、若似人，若自殺、若與刀	住 若 比 丘 尼 若 人 若 似 人 若 自 殺 若 與 刀 
T22n1423_001:0207a06	藥殺、若教人殺、若教自殺，譽死、讚死：『咄人用	藥 殺 若 教 人 殺 若 教 自 殺 譽 死 讚 死 咄 人 用 
T22n1423_001:0207a07	惡活為？死勝生。』作是心隨心殺，如是種種因	惡 活 為 死 勝 生 作 是 心 隨 心 殺 如 是 種 種 因 
T22n1423_001:0207a08	緣，彼因是死，是比丘尼得波羅夷不共住。	緣 彼 因 是 死 是 比 丘 尼 得 波 羅 夷 不 共 住 
T22n1423_001:0207a09	「若比丘尼，不知、不見過人法聖利滿足，自	 若 比 丘 尼 不 知 不 見 過 人 法 聖 利 滿 足 自 
T22n1423_001:0207a10	稱：『我如是知、如是見。』是比丘尼後時若問若	稱 我 如 是 知 如 是 見 是 比 丘 尼 後 時 若 問 若 
T22n1423_001:0207a11	不問，為出罪求清淨故，作是言：『我不知言知、	不 問 為 出 罪 求 清 淨 故 作 是 言 我 不 知 言 知 
T22n1423_001:0207a12	不見言見，虛誑妄語。』除增上慢，是比丘尼得	不 見 言 見 虛 誑 妄 語 除 增 上 慢 是 比 丘 尼 得 
T22n1423_001:0207a13	波羅夷不共住。「若比丘尼，欲盛變心，受男	波 羅 夷 不 共 住 若 比 丘 尼 欲 盛 變 心 受 男 
T22n1423_001:0207a14	子種種摩觸，髮際已下、膝已上、肘已後，是比	子 種 種 摩 觸 髮 際 已 下 膝 已 上 肘 已 後 是 比 
T22n1423_001:0207a15	丘尼得波羅夷不共住。「若比丘尼，欲盛變	丘 尼 得 波 羅 夷 不 共 住 若 比 丘 尼 欲 盛 變 
T22n1423_001:0207a16	心，受男子捉手、捉衣、共期獨、共行獨、共住獨、	心 受 男 子 捉 手 捉 衣 共 期 獨 共 行 獨 共 住 獨 
T22n1423_001:0207a17	共語獨、共一座坐、身親近男子。八法具者，是	共 語 獨 共 一 座 坐 身 親 近 男 子 八 法 具 者 是 
T22n1423_001:0207a18	比丘尼得波羅夷不共住。「若比丘尼，知僧如	比 丘 尼 得 波 羅 夷 不 共 住 若 比 丘 尼 知 僧 如 
T22n1423_001:0207a19	法與比丘作不見罪羯磨，諸比丘不共住、不	法 與 比 丘 作 不 見 罪 羯 磨 諸 比 丘 不 共 住 不 
T22n1423_001:0207a20	共事、不共語，而隨順之。諸比丘尼語是比丘	共 事 不 共 語 而 隨 順 之 諸比丘尼 語 是 比 丘 
T22n1423_001:0207a21	尼：『姊妹！此比丘僧已作不見罪羯磨，諸比	尼 姊 妹 此 比 丘 僧 已 作 不 見 罪 羯 磨 諸 比 
T22n1423_001:0207a22	丘不共住、不共事、不共語，汝莫隨順。』如是諫，	丘 不 共 住 不 共 事 不 共 語 汝 莫 隨 順 如 是 諫 
T22n1423_001:0207a23	堅持不捨，應第二、第三諫。第二、第三諫捨是	堅 持 不 捨 應 第 二 第 三 諫 第 二 第 三 諫 捨 是 
T22n1423_001:0207a24	事善。不捨者，是比丘尼得波羅夷不共住。	事 善 不 捨 者 是 比 丘 尼 得 波 羅 夷 不 共 住 
T22n1423_001:0207a25	「若比丘尼，見比丘尼犯波羅夷覆藏。彼比丘	 若 比 丘 尼 見 比 丘 尼 犯 波 羅 夷 覆 藏 彼 比 丘 
T22n1423_001:0207a26	尼後時，若在、若死、若遠行、若被擯、若罷道、	尼 後 時 若 在 若 死 若 遠 行 若 被 擯 若 罷 道 
T22n1423_001:0207a27	若變形，作是語：『我先親見其犯波羅夷。』是	若 變 形 作 是 語 我 先 親 見 其 犯 波 羅 夷 是 
T22n1423_001:0207a28	比丘尼得波羅夷不共住。」「諸大姊！已說八	比 丘 尼 得 波 羅 夷 不 共 住 諸 大 姊 已 說 八 
T22n1423_001:0207a29	波羅夷法。若比丘尼犯一一戒，不得共住。如	波羅夷法 若 比 丘 尼 犯 一 一 戒 不 得 共 住 如 
T22n1423_001:0207b01	前後亦如是，是比丘尼得波羅夷罪不應共	前 後 亦 如 是 是 比 丘 尼 得 波羅夷罪 不 應 共 
T22n1423_001:0207b02	住。今問，諸大姊是中清淨不？」(第二、第三亦如是說)	住 今 問 諸 大 姊 是 中 清 淨 不 第 二 第 三 亦 如 是 說 
T22n1423_001:0207b03	「諸大姊是中清淨，默然故，是事如是持。」	 諸 大 姊 是 中 清 淨 默 然 故 是事如是持 
T22n1423_001:0207b04	「諸大姊！是十七僧伽婆尸沙法，半月半月戒	 諸 大 姊 是 十 七 僧伽婆尸沙法 半月半月 戒 
T22n1423_001:0207b05	經中說。「若比丘尼，行媒法，若為私通事，持	經 中 說 若 比 丘 尼 行 媒 法 若 為 私 通 事 持 
T22n1423_001:0207b06	男意至女邊、持女意至男邊，乃至一交會，是	男 意 至 女 邊 持 女 意 至 男 邊 乃 至 一 交 會 是 
T22n1423_001:0207b07	比丘尼初犯僧伽婆尸沙可悔過。「若比丘尼，	比 丘 尼 初 犯 僧伽婆尸沙 可 悔 過 若 比 丘 尼 
T22n1423_001:0207b08	自不如法惡瞋故，以無根波羅夷謗無波羅	自 不 如 法 惡 瞋 故 以 無 根 波 羅 夷 謗 無 波 羅 
T22n1423_001:0207b09	夷比丘尼，欲破彼梵行。是比丘尼後時，若問	夷 比 丘 尼 欲 破 彼 梵 行 是 比 丘 尼 後 時 若 問 
T22n1423_001:0207b10	若不問，言：『我是事無根，住瞋故謗。』是比丘尼	若 不 問 言 我 是 事 無 根 住 瞋 故 謗 是 比 丘 尼 
T22n1423_001:0207b11	初犯僧伽婆尸沙可悔過。「若比丘尼，自不如	初 犯 僧伽婆尸沙 可 悔 過 若 比 丘 尼 自 不 如 
T22n1423_001:0207b12	法惡瞋故，於異分中取片、若似片，作波羅夷	法 惡 瞋 故 於 異 分 中 取 片 若 似 片 作 波 羅 夷 
T22n1423_001:0207b13	謗無波羅夷比丘尼，欲破彼梵行。是比丘	謗 無 波 羅 夷 比 丘 尼 欲 破 彼 梵 行 是 比 丘 
T22n1423_001:0207b14	尼後時，若問若不問，言：『我是事異分中取片、	尼 後 時 若 問 若 不 問 言 我 是 事 異 分 中 取 片 
T22n1423_001:0207b15	若似片，住瞋故謗。』是比丘尼初犯僧伽婆尸	若 似 片 住 瞋 故 謗 是 比 丘 尼 初 犯 僧 伽 婆 尸 
T22n1423_001:0207b16	沙可悔過。「若比丘尼，知有罪女，主不聽，度為	沙 可 悔 過 若 比 丘 尼 知 有 罪 女 主 不 聽 度 為 
T22n1423_001:0207b17	道，除先出家，是比丘尼初犯僧伽婆尸沙可	道 除 先 出 家 是 比 丘 尼 初 犯 僧伽婆尸沙 可 
T22n1423_001:0207b18	悔過。「若比丘尼，知僧如法擯比丘尼，比丘	悔 過 若 比 丘 尼 知 僧 如 法 擯 比 丘 尼 比 丘 
T22n1423_001:0207b19	尼心未調伏、不隨順僧，自與眷屬於界外解	尼 心 未 調 伏 不 隨 順 僧 自 與 眷 屬 於 界 外 解 
T22n1423_001:0207b20	其擯者，是比丘尼初犯僧伽婆尸沙可悔過。	其 擯 者 是 比 丘 尼 初 犯 僧伽婆尸沙 可 悔 過 
T22n1423_001:0207b21	「若比丘尼，獨宿、獨渡水、於道中獨在後，染	 若 比 丘 尼 獨 宿 獨 渡 水 於 道 中 獨 在 後 染 
T22n1423_001:0207b22	著男子。除因緣，是比丘尼初犯僧伽婆尸沙	著 男 子 除 因 緣 是 比 丘 尼 初 犯 僧伽婆尸沙 
T22n1423_001:0207b23	可悔過。因緣者，恐怖走時、老病疲極不及伴	可 悔 過 因 緣 者 恐 怖 走 時 老 病 疲 極 不 及 伴 
T22n1423_001:0207b24	時、水狹淺有橋船處、畏男子處，是名因緣。	時 水 狹 淺 有 橋 船 處 畏 男 子 處 是 名 因 緣 
T22n1423_001:0207b25	「若比丘尼，詣官言人，是比丘尼初犯僧伽婆	 若 比 丘 尼 詣 官 言 人 是 比 丘 尼 初 犯 僧 伽 婆 
T22n1423_001:0207b26	尸沙可悔過。「若比丘尼，有染著心，自手受	尸 沙 可 悔 過 若 比 丘 尼 有 染 著 心 自 手 受 
T22n1423_001:0207b27	染著心男子食食，是比丘尼初犯僧伽婆尸	染 著 心 男 子 食 食 是 比 丘 尼 初 犯 僧 伽 婆 尸 
T22n1423_001:0207b28	沙可悔過。「若比丘尼，教他比丘尼，作是語：	沙 可 悔 過 若 比 丘 尼 教 他 比 丘 尼 作 是 語 
T22n1423_001:0207b29	『汝但莫生染著，受染著男子飲食何苦？』是比	 汝 但 莫 生 染 著 受 染 著 男 子 飲 食 何 苦 是 比 
T22n1423_001:0207c01	丘尼初犯僧伽婆尸沙可悔過。「若比丘尼，為	丘 尼 初 犯 僧伽婆尸沙 可 悔 過 若 比 丘 尼 為 
T22n1423_001:0207c02	破和合僧勤方便。諸比丘尼語是比丘尼：『汝	破 和 合 僧 勤 方 便 諸比丘尼 語 是 比 丘 尼 汝 
T22n1423_001:0207c03	莫為破和合僧勤方便，當與僧和合。僧和合	莫 為 破 和 合 僧 勤 方 便 當 與 僧 和 合 僧 和 合 
T22n1423_001:0207c04	故，歡喜無諍，一心一學如水乳合，共弘師教，	故 歡 喜 無 諍 一 心 一 學 如 水 乳 合 共 弘 師 教 
T22n1423_001:0207c05	安樂行。』如是諫，堅持不捨，應第二、第三諫。第	安 樂 行 如 是 諫 堅 持 不 捨 應 第 二 第 三 諫 第 
T22n1423_001:0207c06	二第三諫捨是事善。不捨者，是比丘尼三諫，	二 第 三 諫 捨 是 事 善 不 捨 者 是 比 丘 尼 三 諫 
T22n1423_001:0207c07	犯僧伽婆尸沙可悔過。「若比丘尼，助破和合	犯 僧伽婆尸沙 可 悔 過 若 比 丘 尼 助 破 和 合 
T22n1423_001:0207c08	僧，若一若二若眾多，語諸比丘尼言：『是比	僧 若 一 若 二 若 眾 多 語 諸比丘尼 言 是 比 
T22n1423_001:0207c09	丘尼所說，是知說非不知說、說法不說非法、	丘 尼 所 說 是 知 說 非 不 知 說 說 法 不 說 非 法 
T22n1423_001:0207c10	說律不說非律，皆是我等心所忍樂。』諸比丘	說 律 不 說 非 律 皆 是 我 等 心 所 忍 樂 諸 比 丘 
T22n1423_001:0207c11	尼語是比丘尼：『汝莫作是語：「是比丘尼所說，	尼 語 是 比 丘 尼 汝 莫作是語 是 比 丘 尼 所 說 
T22n1423_001:0207c12	是知說非不知說、說法不說非法、說律不說	是 知 說 非 不 知 說 說 法 不 說 非 法 說 律 不 說 
T22n1423_001:0207c13	非律，皆是我等心所忍樂。」何以故？是比丘尼	非 律 皆 是 我 等 心 所 忍 樂 何 以 故 是 比 丘 尼 
T22n1423_001:0207c14	非知說、非說法、非說律，汝莫樂助破和合僧。	非 知 說 非 說 法 非 說 律 汝 莫 樂 助 破 和 合 僧 
T22n1423_001:0207c15	當樂助和合僧，僧和合故，歡喜無諍，一心一	當 樂 助 和 合 僧 僧 和 合 故 歡 喜 無 諍 一 心 一 
T22n1423_001:0207c16	學如水乳合，共弘師教，安樂行。』如是諫，堅持	學 如 水 乳 合 共 弘 師 教 安 樂 行 如 是 諫 堅 持 
T22n1423_001:0207c17	不捨，應第二、第三諫。第二第三諫捨是事善。	不 捨 應 第 二 第 三 諫 第二第三 諫 捨 是 事 善 
T22n1423_001:0207c18	不捨者，是比丘尼三諫，犯僧伽婆尸沙可悔	不 捨 者 是 比 丘 尼 三 諫 犯 僧伽婆尸沙 可 悔 
T22n1423_001:0207c19	過。「若比丘尼，惡性難共語。與諸比丘尼同	過 若 比 丘 尼 惡 性 難 共 語 與 諸比丘尼 同 
T22n1423_001:0207c20	學戒經，數數犯罪。諸比丘尼如法如律諫其	學 戒 經 數 數 犯 罪 諸比丘尼 如 法 如 律 諫 其 
T22n1423_001:0207c21	所犯。答言：『阿姨！汝莫語我若好若惡，我亦	所 犯 答 言 阿 姨 汝 莫 語 我 若 好 若 惡 我 亦 
T22n1423_001:0207c22	不以好惡語汝。』諸比丘尼復語言：『汝莫作自	不 以 好 惡 語 汝 諸比丘尼 復 語 言 汝 莫 作 自 
T22n1423_001:0207c23	我不可共語。汝當為諸比丘尼說如法，諸比	我 不 可 共 語 汝 當 為 諸比丘尼 說 如 法 諸 比 
T22n1423_001:0207c24	丘尼亦當為汝說如法。如是展轉相教、轉相	丘 尼 亦 當 為 汝 說 如 法 如 是 展 轉 相 教 轉 相 
T22n1423_001:0207c25	出罪，成如來眾。』如是諫，堅持不捨，應第二、第	出 罪 成 如 來 眾 如 是 諫 堅 持 不 捨 應 第 二 第 
T22n1423_001:0207c26	三諫。第二、第三諫捨是事善。不捨者，是比丘	三 諫 第 二 第 三 諫 捨 是 事 善 不 捨 者 是 比 丘 
T22n1423_001:0207c27	尼三諫，犯僧伽婆尸沙可悔過。「若比丘尼，依	尼 三 諫 犯 僧伽婆尸沙 可 悔 過 若 比 丘 尼 依 
T22n1423_001:0207c28	聚落住，行惡行、污他家，行惡行皆見聞知、污	聚 落 住 行 惡 行 污 他 家 行 惡 行 皆 見 聞 知 污 
T22n1423_001:0207c29	他家亦見聞知。諸比丘尼語是比丘尼：『汝行	他 家 亦 見 聞 知 諸比丘尼 語 是 比 丘 尼 汝 行 
T22n1423_001:0208a01	惡行、污他家，行惡行皆見聞知、污他家亦見	惡 行 污 他 家 行 惡 行 皆 見 聞 知 污 他 家 亦 見 
T22n1423_001:0208a02	聞知。汝出去，不應是中住。』彼比丘尼言：『諸阿	聞 知 汝 出 去 不 應 是 中 住 彼 比 丘 尼 言 諸 阿 
T22n1423_001:0208a03	姨隨愛、恚、癡、畏。何以故？有如是等同罪比丘	姨 隨 愛 恚 癡 畏 何 以 故 有 如 是 等 同 罪 比 丘 
T22n1423_001:0208a04	尼，有驅者、有不驅者。』諸比丘尼復語言：『汝莫	尼 有 驅 者 有 不 驅 者 諸比丘尼 復 語 言 汝 莫 
T22n1423_001:0208a05	作是語：「語諸阿姨隨愛、恚、癡、畏。有如是等	作 是 語 語 諸 阿 姨 隨 愛 恚 癡 畏 有 如 是 等 
T22n1423_001:0208a06	同罪比丘尼，有驅者、有不驅者。」汝行惡行、污	同 罪 比 丘 尼 有 驅 者 有 不 驅 者 汝 行 惡 行 污 
T22n1423_001:0208a07	他家，行惡行皆見聞知、污他家亦見聞知。汝	他 家 行 惡 行 皆 見 聞 知 污 他 家 亦 見 聞 知 汝 
T22n1423_001:0208a08	捨是隨愛恚癡畏語。汝出去，不應是中住。』如	捨 是 隨 愛 恚 癡 畏 語 汝 出 去 不 應 是 中 住 如 
T22n1423_001:0208a09	是諫，堅持不捨，應第二、第三諫。第二第三諫	是 諫 堅 持 不 捨 應 第 二 第 三 諫 第二第三 諫 
T22n1423_001:0208a10	捨是事善。不捨者，是比丘尼三諫，犯僧伽婆	捨 是 事 善 不 捨 者 是 比 丘 尼 三 諫 犯 僧 伽 婆 
T22n1423_001:0208a11	尸沙可悔過。	尸 沙 可 悔 過 
T22n1423_001:0208a12	「若二比丘尼共作惡行、有惡名聲，更相覆罪、	 若 二 比 丘 尼 共 作 惡 行 有 惡 名 聲 更 相 覆 罪 
T22n1423_001:0208a13	觸惱眾僧。諸比丘尼語言：『汝二比丘尼共作	觸 惱 眾 僧 諸比丘尼 語 言 汝 二 比 丘 尼 共 作 
T22n1423_001:0208a14	惡行、有惡名聲，更相覆罪、觸惱眾僧。汝相遠	惡 行 有 惡 名 聲 更 相 覆 罪 觸 惱 眾 僧 汝 相 遠 
T22n1423_001:0208a15	離，捨是作惡、觸惱僧事，於佛法中增廣得安	離 捨 是 作 惡 觸 惱 僧 事 於佛法中 增 廣 得 安 
T22n1423_001:0208a16	樂住。』彼二比丘尼言：『我等不作惡行、無惡名	樂 住 彼 二 比 丘 尼 言 我 等 不 作 惡 行 無 惡 名 
T22n1423_001:0208a17	聲，不相覆罪、不觸惱僧。此中更有餘二比丘	聲 不 相 覆 罪 不 觸 惱 僧 此 中 更 有 餘 二 比 丘 
T22n1423_001:0208a18	尼，共作惡行、觸惱眾僧。』諸比丘尼復語言：『莫	尼 共 作 惡 行 觸 惱 眾 僧 諸比丘尼 復 語 言 莫 
T22n1423_001:0208a19	作是語。何以故？此中更無餘二比丘尼作惡	作 是 語 何 以 故 此 中 更 無 餘 二 比 丘 尼 作 惡 
T22n1423_001:0208a20	惱僧，唯有汝等。可相遠離，捨是作惡、觸惱僧	惱 僧 唯 有 汝 等 可 相 遠 離 捨 是 作 惡 觸 惱 僧 
T22n1423_001:0208a21	事，於佛法中增廣得安樂住。』如是諫，堅持不	事 於佛法中 增 廣 得 安 樂 住 如 是 諫 堅 持 不 
T22n1423_001:0208a22	捨，應第二，第三諫。第二，第三諫捨是事善。不	捨 應 第 二 第 三 諫 第 二 第 三 諫 捨 是 事 善 不 
T22n1423_001:0208a23	捨者，是比丘尼三諫，犯僧伽婆尸沙可悔過。	捨 者 是 比 丘 尼 三 諫 犯 僧伽婆尸沙 可 悔 過 
T22n1423_001:0208a24	「若二比丘尼共作惡行、有惡名聲，更相覆罪、觸	 若 二 比 丘 尼 共 作 惡 行 有 惡 名 聲 更 相 覆 罪 觸 
T22n1423_001:0208a25	惱眾僧。諸比丘尼語言：『汝二比丘尼共作惡	惱 眾 僧 諸比丘尼 語 言 汝 二 比 丘 尼 共 作 惡 
T22n1423_001:0208a26	行、有惡名聲，更相覆罪、觸惱眾僧。汝相遠離，	行 有 惡 名 聲 更 相 覆 罪 觸 惱 眾 僧 汝 相 遠 離 
T22n1423_001:0208a27	捨是作惡、觸惱僧事，於佛法中增廣得安樂	捨 是 作 惡 觸 惱 僧 事 於佛法中 增 廣 得 安 樂 
T22n1423_001:0208a28	住。』二比丘尼言：『我等不作惡行、無惡名聲，不	住 二 比 丘 尼 言 我 等 不 作 惡 行 無 惡 名 聲 不 
T22n1423_001:0208a29	相覆罪、不觸惱僧。僧見我等羸弱，輕易我故	相 覆 罪 不 觸 惱 僧 僧 見 我 等 羸 弱 輕 易 我 故 
T22n1423_001:0208b01	作如是語。』諸比丘尼復言：『莫作是語。何以故？	作如是語 諸比丘尼 復 言 莫作是語 何 以 故 
T22n1423_001:0208b02	僧不見汝羸弱輕易汝等。汝等可相遠離，捨	僧 不 見 汝 羸 弱 輕 易 汝 等 汝 等 可 相 遠 離 捨 
T22n1423_001:0208b03	是作惡、觸惱僧事，於佛法中增廣得安樂住。』	是 作 惡 觸 惱 僧 事 於佛法中 增 廣 得 安 樂 住 
T22n1423_001:0208b04	如是諫堅持不捨，應第二、第三諫。第二、第三	如 是 諫 堅 持 不 捨 應 第 二 第 三 諫 第 二 第 三 
T22n1423_001:0208b05	諫捨是事善。不捨者，是比丘尼三諫，犯僧	諫 捨 是 事 善 不 捨 者 是 比 丘 尼 三 諫 犯 僧 
T22n1423_001:0208b06	伽婆尸沙可悔過。「若比丘尼，好共他鬪。僧	伽 婆 尸 沙 可 悔 過 若 比 丘 尼 好 共 他 鬪 僧 
T22n1423_001:0208b07	斷其事，便言：『僧隨愛、恚、癡、畏』。諸比丘尼語言：	斷 其 事 便 言 僧 隨 愛 恚 癡 畏 諸比丘尼 語 言 
T22n1423_001:0208b08	『汝莫好共他鬪。莫作是語：「僧隨愛恚癡畏。」何	 汝 莫 好 共 他 鬪 莫作是語 僧 隨 愛 恚 癡 畏 何 
T22n1423_001:0208b09	以故？僧不隨愛恚癡畏。汝等捨是語，於佛法	以 故 僧 不 隨 愛 恚 癡 畏 汝 等 捨 是 語 於 佛 法 
T22n1423_001:0208b10	中增廣得安樂住。』如是諫，堅持不捨，應第二、	中 增 廣 得 安 樂 住 如 是 諫 堅 持 不 捨 應 第 二 
T22n1423_001:0208b11	第三諫。第二、第三諫捨是事善。不捨者，是比	第 三 諫 第 二 第 三 諫 捨 是 事 善 不 捨 者 是 比 
T22n1423_001:0208b12	丘尼三諫，犯僧伽婆尸沙可悔過。「若比丘尼，	丘 尼 三 諫 犯 僧伽婆尸沙 可 悔 過 若 比 丘 尼 
T22n1423_001:0208b13	好共他鬪。僧斷其事，便言：『我捨佛、捨法、捨	好 共 他 鬪 僧 斷 其 事 便 言 我 捨 佛 捨 法 捨 
T22n1423_001:0208b14	僧、捨戒，作外道。餘沙門婆羅門亦學戒亦慚	僧 捨 戒 作 外 道 餘 沙 門 婆 羅 門 亦 學 戒 亦 慚 
T22n1423_001:0208b15	愧，我於彼得修梵行。』諸比丘尼語言：『汝莫好	愧 我 於 彼 得 修 梵 行 諸比丘尼 語 言 汝 莫 好 
T22n1423_001:0208b16	共他鬪。莫作是語：「我捨佛法僧。」何以故？餘沙	共 他 鬪 莫作是語 我 捨 佛 法 僧 何 以 故 餘 沙 
T22n1423_001:0208b17	門婆羅門無學戒、無慚愧。汝云何於彼得修	門 婆 羅 門 無 學 戒 無 慚 愧 汝 云 何 於 彼 得 修 
T22n1423_001:0208b18	梵行？汝捨是惡見，於佛法中增廣得安樂住。』	梵 行 汝 捨 是 惡 見 於佛法中 增 廣 得 安 樂 住 
T22n1423_001:0208b19	如是諫，堅持不捨，應第二、第三諫。第二、第三	如 是 諫 堅 持 不 捨 應 第 二 第 三 諫 第 二 第 三 
T22n1423_001:0208b20	諫捨是事善。不捨者，是比丘尼三諫，犯僧	諫 捨 是 事 善 不 捨 者 是 比 丘 尼 三 諫 犯 僧 
T22n1423_001:0208b21	伽婆尸沙可悔過。」「諸大姊！已說十七僧伽	伽 婆 尸 沙 可 悔 過 諸 大 姊 已 說 十 七 僧 伽 
T22n1423_001:0208b22	婆尸沙法，九初罪、八乃至三諫。若比丘尼犯	婆 尸 沙 法 九 初 罪 八 乃 至 三 諫 若 比 丘 尼 犯 
T22n1423_001:0208b23	一一罪，應二部僧中半月行摩那埵，次到阿	一 一 罪 應 二 部 僧 中 半 月 行 摩 那 埵 次 到 阿 
T22n1423_001:0208b24	浮訶那。如法作已，應二部僧各二十人中出	浮 訶 那 如 法 作 已 應 二 部 僧 各 二 十 人 中 出 
T22n1423_001:0208b25	罪，若少一人不名出罪，諸比丘尼亦可呵。是	罪 若 少 一 人 不 名 出 罪 諸比丘尼 亦 可 呵 是 
