T08n0236b_001:0757a22	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
T08n0236b_001:0758a02	法想，即是我執，及眾生、壽者、受者執。須菩	法 想 即 是 我 執 及 眾 生 壽 者 受 者 執 須 菩 
T08n0236b_001:0758a03	提！是故菩薩不應取法，不應取非法。為如	提 是 故 菩 薩 不 應 取 法 不 應 取 非 法 為 如 
T08n0236b_001:0758a04	是義故如來說：『若觀行人解筏喻經，法尚	是 義 故 如 來 說 若 觀 行 人 解 筏 喻 經 法 尚 
T08n0236b_001:0758a05	應捨，何況非法。』」佛復告淨命須菩提：「須菩	應 捨 何 況 非 法 佛 復 告 淨 命 須 菩 提 須 菩 
T08n0236b_001:0758a06	提！汝意云何？如來得阿耨多羅三藐三菩	提 汝意云何 如 來 得 阿 耨 多 羅 三 藐 三 菩 
T08n0236b_001:0758a07	提耶？如來有所說法耶？」須菩提言：「如我	提 耶 如 來 有 所 說 法 耶 須 菩 提 言 如 我 
T08n0236b_001:0758a08	解佛所說義，無所有法如來所得，名阿耨	解 佛 所 說 義 無 所 有 法 如 來 所 得 名 阿 耨 
T08n0236b_001:0758a09	多羅三藐三菩提，亦無有法如來所說。何	多 羅 三藐三菩提 亦 無 有 法 如 來 所 說 何 
T08n0236b_001:0758a10	以故？是法如來所說，不可取、不可言，非法、	以 故 是 法 如 來 所 說 不 可 取 不 可 言 非 法 
T08n0236b_001:0758a11	非非法。何以故？一切聖人皆以無為真如	非 非 法 何 以 故 一切聖人 皆 以 無 為 真 如 
T08n0236b_001:0758a12	所顯現故。」「須菩提！汝意云何？以三千大	所 顯 現 故 須 菩 提 汝意云何 以 三 千 大 
T08n0236b_001:0758a13	千世界遍滿七寶，若人持用布施，是善男	千 世 界 遍 滿 七 寶 若 人 持用布施 是 善 男 
T08n0236b_001:0758a14	子、善女人，因此布施生福多不？」須菩提言：	子 善 女 人 因 此 布 施 生 福 多 不 須 菩 提 言 
T08n0236b_001:0758a15	「甚多，世尊！甚多，脩伽陀！是善男子、善女人，	 甚 多 世 尊 甚 多 脩 伽 陀 是 善 男 子 善 女 人 
T08n0236b_001:0758a16	因此布施得福甚多。何以故？世尊！此福	因 此 布 施 得 福 甚 多 何 以 故 世 尊 此 福 
T08n0236b_001:0758a17	德聚即非福德聚，是故如來說福德聚。」佛	德 聚 即 非 福 德 聚 是 故 如 來 說 福 德 聚 佛 
T08n0236b_001:0758a18	言：「須菩提！若善男子、善女人，以三千	言 須 菩 提 若 善 男 子 善 女 人 以 三 千 
T08n0236b_001:0758a19	大千世界遍滿七寶持用布施。若復有人	大千世界 遍 滿 七 寶 持用布施 若 復 有 人 
T08n0236b_001:0758a20	從此經中受四句偈，為他正說顯示其義。	從 此 經 中 受 四 句 偈 為 他 正 說 顯 示 其 義 
T08n0236b_001:0758a21	此人以是因緣所生福德，最多於彼無量	此 人 以是因緣 所 生 福 德 最 多 於 彼 無 量 
T08n0236b_001:0758a22	無數。何以故？須菩提！如來無上菩提從	無 數 何 以 故 須 菩 提 如 來 無上菩提 從 
T08n0236b_001:0758a23	此福成，諸佛世尊從此福生。何以故？須	此 福 成 諸佛世尊 從 此 福 生 何 以 故 須 
T08n0236b_001:0758a24	菩提！所言佛法者，即非佛法，是名佛法。「須	菩 提 所 言 佛 法 者 即 非 佛 法 是 名 佛 法 須 
T08n0236b_001:0758a25	菩提！汝意云何？須陀洹能作是念：『我得	菩 提 汝意云何 須 陀 洹 能 作 是 念 我 得 
T08n0236b_001:0758a26	須陀洹果。』不？」須菩提言：「不也，世尊！何以	須陀洹果 不 須 菩 提 言 不 也 世 尊 何 以 
T08n0236b_001:0758a27	故？世尊！實無所有能至於流，故說須陀	故 世 尊 實無所有 能 至 於 流 故 說 須 陀 
T08n0236b_001:0758a28	洹。乃至色、聲、香、味、觸、法亦復如是，故名須	洹 乃 至 色 聲 香 味 觸 法 亦復如是 故 名 須 
T08n0236b_001:0758a29	陀洹。斯陀含名一往來，實無所有能至往	陀 洹 斯 陀 含 名 一 往 來 實無所有 能 至 往 
T08n0236b_001:0758b01	來，是名斯陀含。阿那含名為不來，實無	來 是 名 斯 陀 含 阿 那 含 名 為 不 來 實 無 
T08n0236b_001:0758b02	所有能至不來，是名阿那含。」佛言：「須菩	所 有 能 至 不 來 是 名 阿 那 含 佛 言 須 菩 
T08n0236b_001:0758b03	提！汝意云何？阿羅漢能作是念：『我得阿羅	提 汝意云何 阿 羅 漢 能 作 是 念 我 得 阿 羅 
T08n0236b_001:0758b04	漢果。』不？」須菩提言：「不也，世尊！何以故？實	漢 果 不 須 菩 提 言 不 也 世 尊 何 以 故 實 
T08n0236b_001:0758b05	無所有名阿羅漢。世尊！若阿羅漢作是念：	無 所 有 名 阿 羅 漢 世 尊 若 阿 羅 漢 作 是 念 
T08n0236b_001:0758b06	『我得阿羅漢果。』即是我執、眾生執、壽者執、	 我 得阿羅漢 果 即 是 我 執 眾 生 執 壽 者 執 
T08n0236b_001:0758b07	受者執。世尊！如來阿羅訶三藐三佛陀讚	受 者 執 世 尊 如 來 阿 羅 訶 三藐三佛陀 讚 
T08n0236b_001:0758b08	我，住無諍三昧人中最為第一。世尊！我今	我 住 無諍三昧 人 中 最 為 第 一 世 尊 我 今 
T08n0236b_001:0758b09	已成阿羅漢，離三有欲。世尊！我亦不作是	已 成 阿 羅 漢 離 三 有 欲 世 尊 我 亦 不 作 是 
T08n0236b_001:0758b10	念：『我是阿羅漢。』世尊！我若有是念：『我已	念 我 是 阿 羅 漢 世 尊 我 若 有 是 念 我 已 
T08n0236b_001:0758b11	得阿羅漢果。』如來則應不授我記：『住無諍	得阿羅漢 果 如 來 則 應 不 授 我 記 住 無 諍 
T08n0236b_001:0758b12	三昧人中，須菩提善男子最為第一。』實無	三 昧 人 中 須 菩 提 善 男 子 最 為 第 一 實 無 
T08n0236b_001:0758b13	所住，住於無諍、住於無諍。」佛告須菩提：「汝	所 住 住 於 無 諍 住 於 無 諍 佛 告 須 菩 提 汝 
T08n0236b_001:0758b14	意云何？昔從然燈如來阿羅訶三藐三佛	意 云 何 昔 從 然 燈 如 來 阿 羅 訶 三藐三佛 
T08n0236b_001:0758b15	陀所，頗有一法如來所取不？」須菩提言：「不	陀 所 頗 有 一 法 如 來 所 取 不 須 菩 提 言 不 
T08n0236b_001:0758b16	也，世尊！實無有法，昔從燃燈如來阿羅訶	也 世 尊 實 無 有 法 昔 從 燃 燈 如 來 阿 羅 訶 
T08n0236b_001:0758b17	三藐三佛陀所如來所取。」佛告須菩提：「若	三藐三佛陀 所 如 來 所 取 佛 告 須 菩 提 若 
T08n0236b_001:0758b18	有菩薩作如是言：『我當莊嚴清淨佛土。』而	有 菩 薩 作如是言 我 當 莊 嚴 清 淨 佛 土 而 
T08n0236b_001:0758b19	此菩薩說虛妄言。何以故？須菩提！莊嚴	此 菩 薩 說 虛 妄 言 何 以 故 須 菩 提 莊 嚴 
T08n0236b_001:0758b20	佛土者，如來說非莊嚴，是故莊嚴清淨佛	佛 土 者 如 來 說 非 莊 嚴 是 故 莊 嚴 清 淨 佛 
T08n0236b_001:0758b21	土。須菩提！是故菩薩應生如是無住著心，	土 須 菩 提 是 故 菩 薩 應 生 如 是 無 住 著 心 
T08n0236b_001:0758b22	不住色、聲、香、味、觸、法生心，應無所住而生	不 住 色 聲 香 味 觸 法 生 心 應 無 所 住 而 生 
T08n0236b_001:0758b23	其心。「須菩提！譬如有人體相勝大如須彌	其 心 須 菩 提 譬 如 有 人 體 相 勝 大 如 須 彌 
T08n0236b_001:0758b24	山王。須菩提！汝意云何？如是體相為勝大	山 王 須 菩 提 汝意云何 如 是 體 相 為 勝 大 
T08n0236b_001:0758b25	不？」須菩提言：「甚大，世尊！何以故？如來說	不 須 菩 提 言 甚 大 世 尊 何 以 故 如 來 說 
T08n0236b_001:0758b26	非有名為有身。此非是有，故說有身。」佛告	非 有 名 為 有 身 此 非 是 有 故 說 有 身 佛 告 
T08n0236b_001:0758b27	須菩提：「汝意云何？於恒伽江所有諸沙，如	須 菩 提 汝意云何 於 恒 伽 江 所 有 諸 沙 如 
T08n0236b_001:0758b28	其沙數所有恒伽，諸恒伽沙寧為多不？」須	其 沙 數 所 有 恒 伽 諸 恒 伽 沙 寧 為 多 不 須 
T08n0236b_001:0758b29	菩提言：「甚多，世尊！但諸恒伽尚多無數，何	菩 提 言 甚 多 世 尊 但 諸 恒 伽 尚 多 無 數 何 
T08n0236b_001:0758c01	況其沙。」佛言：「須菩提！我今覺汝，我今示	況 其 沙 佛 言 須 菩 提 我 今 覺 汝 我 今 示 
T08n0236b_001:0758c02	汝。諸恒伽中所有沙數爾許世界，若有善	汝 諸 恒 伽 中 所 有 沙 數 爾 許 世 界 若 有 善 
T08n0236b_001:0758c03	男子、善女人，以七寶遍滿，持施如來應供	男 子 善 女 人 以 七 寶 遍 滿 持 施 如 來 應 供 
T08n0236b_001:0758c04	正遍覺知。須菩提！汝意云何？此人以是	正 遍 覺 知 須 菩 提 汝意云何 此 人 以 是 
T08n0236b_001:0758c05	因緣得福多不？」須菩提言：「甚多，世尊！甚	因 緣 得 福 多 不 須 菩 提 言 甚 多 世 尊 甚 
T08n0236b_001:0758c06	多，修伽陀！此人以是因緣生福甚多。」「須菩	多 修 伽 陀 此 人 以是因緣 生 福 甚 多 須 菩 
T08n0236b_001:0758c07	提！若善男子、善女人，以七寶遍滿爾所恒	提 若 善 男 子 善 女 人 以 七 寶 遍 滿 爾 所 恒 
T08n0236b_001:0758c08	伽沙世界持用布施。若善男子、善女人，從	伽 沙 世 界 持用布施 若 善 男 子 善 女 人 從 
T08n0236b_001:0758c09	此經典乃至四句偈等，恭敬受持為他正	此 經 典 乃 至 四 句 偈 等 恭 敬 受 持 為 他 正 
T08n0236b_001:0758c10	說。是人所生福德，最勝於彼無量無數。「復	說 是 人 所 生 福 德 最 勝 於 彼 無量無數 復 
T08n0236b_001:0758c11	次，須菩提！隨所在處，若有人能從是經典，	次 須 菩 提 隨 所 在 處 若 有 人 能 從 是 經 典 
T08n0236b_001:0758c12	乃至四句偈等讀誦講說，當知此處於世	乃 至 四 句 偈 等 讀 誦 講 說 當 知 此 處 於 世 
T08n0236b_001:0758c13	間中即成支提。一切人、天及阿脩羅等皆	間 中 即 成 支 提 一 切 人 天 及 阿 脩 羅 等 皆 
T08n0236b_001:0758c14	應恭敬。何況有人盡能受持讀誦如此經	應 恭 敬 何 況 有 人 盡 能 受持讀誦 如 此 經 
T08n0236b_001:0758c15	典，當知是人則與無上希有之法而共相	典 當 知 是 人 則 與 無 上 希 有 之 法 而 共 相 
T08n0236b_001:0758c16	應，是土地處大師在中，或隨有一可尊重	應 是 土 地 處 大 師 在 中 或 隨 有 一 可 尊 重 
T08n0236b_001:0758c17	人。」佛說是已。淨命須菩提白佛言：「世尊！	人 佛 說 是 已 淨 命 須 菩 提 白 佛 言 世 尊 
T08n0236b_001:0758c18	如是經典名號云何？我等云何奉持？」佛告	如 是 經 典 名 號 云 何 我 等 云 何 奉 持 佛 告 
T08n0236b_001:0758c19	須菩提：「此經名『金剛般若波羅蜜』，以是名	須 菩 提 此 經 名 金 剛 般 若 波 羅 蜜 以 是 名 
T08n0236b_001:0758c20	字汝當奉持。何以故？須菩提！是般若波	字 汝 當 奉 持 何 以 故 須 菩 提 是 般 若 波 
T08n0236b_001:0758c21	羅蜜，如來說非般若波羅蜜。須菩提！汝	羅 蜜 如 來 說 非 般 若 波 羅 蜜 須 菩 提 汝 
T08n0236b_001:0758c22	意云何？頗有一法一佛說不？」須菩提言：「不	意 云 何 頗 有 一 法 一 佛 說 不 須 菩 提 言 不 
T08n0236b_001:0758c23	也，世尊！無有一法一如來說。」佛告須菩提：	也 世 尊 無 有 一 法 一 如 來 說 佛 告 須 菩 提 
T08n0236b_001:0758c24	「三千大千世界所有微塵，是為多不？」須菩	 三千大千世界 所 有 微 塵 是 為 多 不 須 菩 
T08n0236b_001:0758c25	提言：「此世界微塵，甚多，世尊！甚多，修伽陀！	提 言 此 世 界 微 塵 甚 多 世 尊 甚 多 修 伽 陀 
T08n0236b_001:0758c26	何以故？世尊！此諸微塵，如來說非微塵，	何 以 故 世 尊 此 諸 微 塵 如 來 說 非 微 塵 
T08n0236b_001:0758c27	故名微塵。此諸世界，如來說非世界，故說	故 名 微 塵 此 諸 世 界 如 來 說 非 世 界 故 說 
T08n0236b_001:0758c28	世界。」佛告須菩提：「汝意云何？可以三十	世 界 佛 告 須 菩 提 汝意云何 可 以 三 十 
T08n0236b_001:0758c29	二大人相見如來不？」須菩提言：「不也，世尊！	二 大 人 相 見 如 來 不 須 菩 提 言 不 也 世 尊 
T08n0236b_001:0759a01	何以故？此三十二大人相，如來說非相，故	何 以 故 此 三十二大人相 如 來 說 非 相 故 
T08n0236b_001:0759a02	說三十二大人相。」佛告須菩提：「若有善男	說 三十二大人相 佛 告 須 菩 提 若 有 善 男 
T08n0236b_001:0759a03	子、善女人，如諸恒伽所有沙數，如是沙等	子 善 女 人 如 諸 恒 伽 所 有 沙 數 如 是 沙 等 
T08n0236b_001:0759a04	身命捨以布施。若有善男子、善女人，從此	身 命 捨 以 布 施 若 有 善 男 子 善 女 人 從 此 
T08n0236b_001:0759a05	經典乃至四句偈等，恭敬受持為他正說。	經 典 乃 至 四 句 偈 等 恭 敬 受 持 為 他 正 說 
T08n0236b_001:0759a06	此人以是因緣，生福多彼無量無數。」爾時	此 人 以是因緣 生 福 多 彼 無量無數 爾 時 
T08n0236b_001:0759a07	淨命須菩提由法利疾，即便悲泣抆淚而	淨 命 須 菩 提 由 法 利 疾 即 便 悲 泣 抆 淚 而 
T08n0236b_001:0759a08	言：「希有，世尊！希有，修伽陀！如此經典如來	言 希 有 世 尊 希 有 修 伽 陀 如 此 經 典 如 來 
T08n0236b_001:0759a09	所說，我從昔來至得聖慧，未曾聞說如是	所 說 我 從 昔 來 至 得 聖 慧 未 曾 聞 說 如 是 
T08n0236b_001:0759a10	經典。何以故？世尊說般若波羅蜜，即非般	經 典 何 以 故 世 尊 說 般 若 波 羅 蜜 即 非 般 
T08n0236b_001:0759a11	若波羅蜜，故說般若波羅蜜。世尊！當知是	若 波 羅 蜜 故 說 般 若 波 羅 蜜 世 尊 當 知 是 
T08n0236b_001:0759a12	人則與無上希有之法而共相應，聞說經	人 則 與 無 上 希 有 之 法 而 共 相 應 聞 說 經 
T08n0236b_001:0759a13	時能生實想。世尊！是實想者，實非有想，是	時 能 生 實 想 世 尊 是 實 想 者 實 非 有 想 是 
T08n0236b_001:0759a14	故如來說名實想、說名實想。世尊！此事於	故 如 來 說 名 實 想 說 名 實 想 世 尊 此 事 於 
T08n0236b_001:0759a15	我非為希有，正說經時我生信解。世尊！於	我 非 為 希 有 正 說 經 時 我 生 信 解 世 尊 於 
T08n0236b_001:0759a16	未來世若有眾生，恭敬受持為他正說，當	未 來 世 若 有 眾 生 恭 敬 受 持 為 他 正 說 當 
T08n0236b_001:0759a17	知是人則與無上希有之法而共相應。世	知 是 人 則 與 無 上 希 有 之 法 而 共 相 應 世 
T08n0236b_001:0759a18	尊！此人無復我想、眾生想、壽者想、受者想。	尊 此 人 無 復 我 想 眾 生 想 壽 者 想 受 者 想 
T08n0236b_001:0759a19	何以故？我想、眾生想、壽者想、受者想，即是	何 以 故 我 想 眾 生 想 壽 者 想 受 者 想 即 是 
T08n0236b_001:0759a20	非想。何以故？諸佛世尊解脫諸想盡無餘	非 想 何 以 故 諸佛世尊 解 脫 諸 想 盡 無 餘 
T08n0236b_001:0759a21	故。」說是言已。佛告須菩提：「如是，須菩提！	故 說 是 言 已 佛 告 須 菩 提 如 是 須 菩 提 
T08n0236b_001:0759a22	如是。當知是人則與無上希有之法而共	如 是 當 知 是 人 則 與 無 上 希 有 之 法 而 共 
T08n0236b_001:0759a23	相應。是人聞說此經，不驚不怖不畏。何	相 應 是 人 聞 說 此 經 不驚不怖 不 畏 何 
T08n0236b_001:0759a24	以故？須菩提！此法如來所說，是第一波羅	以 故 須 菩 提 此 法 如 來 所 說 是 第 一 波 羅 
T08n0236b_001:0759a25	蜜。此波羅蜜如來所說，無量諸佛亦如	蜜 此 波 羅 蜜 如 來 所 說 無 量 諸 佛 亦 如 
T08n0236b_001:0759a26	是說，是故說名第一波羅蜜。「復次，須菩	是 說 是 故 說 名 第 一 波 羅 蜜 復 次 須 菩 
T08n0236b_001:0759a27	提，是如來忍辱波羅蜜，即非波羅蜜。何	提 是 如 來 忍 辱 波 羅 蜜 即 非波羅蜜 何 
T08n0236b_001:0759a28	以故？須菩提！昔時我為迦陵伽王斬	以 故 須 菩 提 昔 時 我 為 迦 陵 伽 王 斬 
T08n0236b_001:0759a29	斫身體骨肉離碎。我於爾時，無有我想、	斫 身 體 骨 肉 離 碎 我 於 爾 時 無 有 我 想 
T08n0236b_001:0759b01	眾生想、壽者想、受者想，無想、非無想。何以	眾 生 想 壽 者 想 受 者 想 無 想 非 無 想 何 以 
T08n0236b_001:0759b02	故？須菩提！我於爾時，若有我想、眾生想、壽	故 須 菩 提 我 於 爾 時 若 有 我 想 眾 生 想 壽 
T08n0236b_001:0759b03	者想、受者想，是時則應生瞋恨想。須菩提！	者 想 受 者 想 是 時 則 應 生 瞋 恨 想 須 菩 提 
T08n0236b_001:0759b04	我憶過去五百生中，作大仙人名曰說忍。	我 憶 過 去 五 百 生 中 作 大 仙 人 名 曰 說 忍 
T08n0236b_001:0759b05	於爾生中，心無我想、眾生想、壽者想、受者	於 爾 生 中 心 無 我 想 眾 生 想 壽 者 想 受 者 
T08n0236b_001:0759b06	想。是故須菩提！菩薩摩訶薩捨離一切想，	想 是 故 須 菩 提 菩薩摩訶薩 捨 離 一 切 想 
T08n0236b_001:0759b07	於無上菩提應發起心，不應生住色心，不	於 無上菩提 應 發 起 心 不 應 生 住 色 心 不 
T08n0236b_001:0759b08	應生住聲、香、味、觸心，不應生住法心，不應	應 生 住 聲 香 味 觸 心 不 應 生 住 法 心 不 應 
T08n0236b_001:0759b09	生住非法心，不應生有所住心。何以故？若	生 住 非 法 心 不 應 生 有 所 住 心 何 以 故 若 
