T85n2842_001:1295a03	印沙佛文	印 沙 佛 文 
T85n2842_001:1295a26	又特是福伏用莊嚴。我太保貴位。伏願福如	又 特 是 福 伏 用 莊 嚴 我 太 保 貴 位 伏 願 福 如 
T85n2842_001:1295a27	海岳。永虎節而迎祥。祿極江准。治河西而代。	海 岳 永 虎 節 而 迎 祥 祿 極 江 准 治 河 西 而 代 
T85n2842_001:1295a28	國太吉慶比日月而漸圓。公主夫人恒昌保	國 太 吉 慶 比 日 月 而 漸 圓 公 主 夫 人 恒 昌 保 
T85n2842_001:1295a29	芳顏而永潔。剌使尚書等固受願接踵而紹	芳 顏 而 永 潔 剌 使 尚 書 等 固 受 願 接 踵 而 紹 
T85n2842_001:1295b01	隆。諸小娘子迎長壽貞闌而皎皎。然後河清	隆 諸 小 娘 子 迎 長 壽 貞 闌 而 皎 皎 然 後 河 清 
T85n2842_001:1295b02	海晏不聞憂苦之聲。四寖來降永絕烽煙塵	海 晏 不 聞 憂 苦 之 聲 四 寖 來 降 永 絕 烽 煙 塵 
T85n2842_001:1295b03	之戰。三災彌滅盡九橫於海嵎。勵疫消災。送	之 戰 三 災 彌 滅 盡 九 橫 於 海 嵎 勵 疫 消 災 送 
T85n2842_001:1295b04	飢荒於地戶。散霑法界。普及有情類。此勝因	飢 荒 於 地 戶 散 霑 法 界 普 及 有 情 類 此 勝 因 
T85n2842_001:1295b05	城登覺道摩訶般若。	城 登 覺 道 摩訶般若 
T85n2842_001:1295b06	夫曠賢大劫有聖人焉。出釋氏宮名薄伽梵。	夫 曠 賢 大 劫 有 聖 人 焉 出 釋 氏 宮 名 薄 伽 梵 
T85n2842_001:1295b07	心凝大寂身意無邊。慈化眾生號之為佛。厥	心 凝 大 寂 身 意 無 邊 慈 化 眾 生 號 之 為 佛 厥 
T85n2842_001:1295b08	今坐前社足等故。以三春上津四□。初分脫	今 坐 前 社 足 等 故 以 三 春 上 津 四 初 分 脫 
T85n2842_001:1295b09	塔印沙啟加願者。奉為躬保願功德之福會	塔 印 沙 啟 加 願 者 奉 為 躬 保 願 功 德 之 福 會 
T85n2842_001:1295b10	也。唯公乃金聲夙顯玉譽早聞。列位名班昇	也 唯 公 乃 金 聲 夙 顯 玉 譽 早 聞 列 位 名 班 昇 
T85n2842_001:1295b11	榮冕職。遂乃妙回宿殖善芽發於今生。業果	榮 冕 職 遂 乃 妙 回 宿 殖 善 芽 發 於 今 生 業 果 
T85n2842_001:1295b12	先淳道心堅。於此日四大而無注曉。五蘊	先 淳 道 心 堅 於 此 日 四 大 而 無 注 曉 五 蘊 
T85n2842_001:1295b13	而皆空脫。千里之真容印恒沙之遍跡。更能	而 皆 空 脫 千 里 之 真 容 印 恒 沙 之 遍 跡 更 能 
T85n2842_001:1295b14	焚香。効外諸僧徒於福事之前。散飡遍所於	焚 香 効 外 諸 僧 徒 於 福 事 之 前 散 飡 遍 所 於 
T85n2842_001:1295b15	水陸之分。以此印佛功德迴向福因。先用莊	水 陸 之 分 以 此 印 佛 功 德 迴 向 福 因 先 用 莊 
T85n2842_001:1295b16	嚴梵釋四王龍天八部。伏願威光轉勝福力	嚴 梵 釋 四 王 龍 天 八 部 伏 願 威 光 轉 勝 福 力 
T85n2842_001:1295b17	彌增救人護國。願使聖躬延受五穀豐登。管	彌 增 救 人 護 國 願 使 聖 躬 延 受 五 穀 豐 登 管 
T85n2842_001:1295b18	內人安歌謠滿城。又持勝福伏用莊嚴施主	內 人 安 歌 謠 滿 城 又 持 勝 福 伏 用 莊 嚴 施 主 
T85n2842_001:1295b19	即體。唯願身而玉樹恒淨恒明體。若金剛常	即 體 唯 願 身 而 玉 樹 恒 淨 恒 明 體 若 金 剛 常 
T85n2842_001:1295b20	堅常固。今世後世莫絕善緣。此世他生善牙	堅 常 固 今 世 後 世 莫 絕 善 緣 此 世 他 生 善 牙 
T85n2842_001:1295b21	增長。然後散霑法界普及有情類。此勝因齊	增 長 然 後 散 霑 法 界 普 及 有 情 類 此 勝 因 齊 
