X62n1201_001:0642b06	啟信雜說	啟 信 雜 說 
X62n1201_001:0642c15	一息不來。便是千秋永別。歎此身無有是處。柰誰人	一 息 不 來 便 是 千 秋 永 別 歎 此 身 無 有 是 處 柰 誰 人 
X62n1201_001:0642c16	不被他瞞。筋纏七尺骨頭。皮裹一包肉塊。髮毛爪齒。	不 被 他 瞞 筋 纏 七 尺 骨 頭 皮 裹 一 包 肉 塊 髮毛爪齒 
X62n1201_001:0642c17	流若堆塵。涕淚痰涎。汙如行廁。冬寒夏熱。年年向瘧	流 若 堆 塵 涕 淚 痰 涎 汙 如 行 廁 冬 寒 夏 熱 年 年 向 瘧 
X62n1201_001:0642c18	疾裏偷生。蝨齩蚊鑽。歲歲從蛆蟲邊混過。此身無可	疾 裏 偷 生 蝨 齩 蚊 鑽 歲 歲 從 蛆 蟲 邊 混 過 此 身 無 可 
X62n1201_001:0642c19	愛樂。諸人當願出離。如何迷昧者。尚逞風流。懞懂漢	愛 樂 諸 人 當 願 出 離 如 何 迷 昧 者 尚 逞 風 流 懞 懂 漢 
X62n1201_001:0642c20	猶生顛倒。或有骷髏頭上簪花簪草。或有臭皮袋邊	猶 生 顛 倒 或 有 骷 髏 頭 上 簪 花 簪 草 或 有 臭 皮 袋 邊 
X62n1201_001:0642c21	帶麝帶香。羅衣徧罩膿血囊。錦被悉遮屎尿桶。用盡	帶 麝 帶 香 羅 衣 徧 罩 膿 血 囊 錦 被 悉 遮 屎 尿 桶 用 盡 
X62n1201_001:0642c22	奸心百計。將謂住世萬年。不知頭痛眼昬。閻羅王接	奸 心 百 計 將 謂 住 世 萬 年 不 知 頭 痛 眼 昬 閻 羅 王 接 
X62n1201_001:0642c23	人來到。加以鬢班齒落。無常鬼寄信相尋。個個戀色	人 來 到 加 以 鬢 班 齒 落 無 常 鬼 寄 信 相 尋 個 個 戀 色 
X62n1201_001:0642c24	貪財。盡是失人身捷徑。日日耽酒嗜肉。無非種地獄	貪 財 盡 是 失 人 身 捷 徑 日 日 耽 酒 嗜 肉 無 非 種 地 獄 
X62n1201_001:0643a01	深根。眼前圖快活一時。身後受苦辛萬劫。一旦命根	深 根 眼 前 圖 快 活 一 時 身 後 受 苦 辛 萬 劫 一 旦 命 根 
X62n1201_001:0643a02	絕處。四大風刀割時。外則脚手牽抽。內則肝腸痛裂。	絕 處 四 大 風 刀 割 時 外 則 脚 手 牽 抽 內 則 肝 腸 痛 裂 
X62n1201_001:0643a03	縱使妻拏相惜。無計留君。假饒骨肉滿前。有誰替汝。	縱 使 妻 拏 相 惜 無 計 留 君 假 饒 骨 肉 滿 前 有 誰 替 汝 
X62n1201_001:0643a04	生者枉自悲啼痛切。死者但覺神識奔馳。前途不見	生 者 枉 自 悲 啼 痛 切 死 者 但 覺 神 識 奔 馳 前 途 不 見 
X62n1201_001:0643a05	光明。舉目全無伴侶。過柰河岸。見之無不悲傷。入鬼	光 明 舉 目 全 無 伴 侶 過 柰 河 岸 見 之 無 不 悲 傷 入 鬼 
X62n1201_001:0643a06	門關。到者自然悽慘。棄世方經七日。投冥漸歷諸司。	門 關 到 者 自 然 悽 慘 棄 世 方 經 七 日 投 冥 漸 歷 諸 司 
X62n1201_001:0643a07	曹官抱案沒人情。獄卒持叉無笑面。平生為善者。送	曹 官 抱 案 沒 人 情 獄 卒 持 叉 無 笑 面 平 生 為 善 者 送 
X62n1201_001:0643a08	歸天道仙道人道。在日造惡者。押入湯塗火塗刀塗。	歸 天 道 仙 道 人 道 在 日 造 惡 者 押 入 湯 塗 火 塗 刀 塗 
X62n1201_001:0643a09	當初盡道。因果荒唐。此際方知。語言不謬。孽鏡裏件	當 初 盡 道 因 果 荒 唐 此 際 方 知 語 言 不 謬 孽 鏡 裏 件 
X62n1201_001:0643a10	件分明。夜臺中般般苦楚。刀山劒樹。喫不盡萬種煎	件 分 明 夜 臺 中 般 般 苦 楚 刀 山 劒 樹 喫 不 盡 萬 種 煎 
X62n1201_001:0643a11	熬。戴角披毛。填不了多生業債。任汝心雄膽潑。免不	熬 戴 角 披 毛 填 不 了 多 生 業 債 任 汝 心 雄 膽 潑 免 不 
X62n1201_001:0643a12	得向鬼卒而低頭。憑他謗道毀僧。挨不過對閻君而	得 向 鬼 卒 而 低 頭 憑 他 謗 道 毀 僧 挨 不 過 對 閻 君 而 
X62n1201_001:0643a13	屈膝。魂魄雖歸陰界。身屍猶臥棺中。或隔三朝五朝。	屈 膝 魂 魄 雖 歸 陰 界 身 屍 猶 臥 棺 中 或 隔 三 朝 五 朝 
X62n1201_001:0643a14	或當六月七月。腐爛則出蟲出血。臭穢則熏地熏天。	或 當 六 月 七 月 腐 爛 則 出 蟲 出 血 臭 穢 則 熏 地 熏 天 
X62n1201_001:0643a15	無錢財者。付之一堆野火。有體面者。埋諸萬里荒山。	無 錢 財 者 付 之 一 堆 野 火 有 體 面 者 埋 諸 萬 里 荒 山 
X62n1201_001:0643a16	昔時俏麗紅顏。翻成灰燼今日。荒凉白骨。變作塵埃。	昔 時 俏 麗 紅 顏 翻 成 灰 燼 今 日 荒 凉 白 骨 變 作 塵 埃 
X62n1201_001:0643a17	從前恩愛。到此成空。自昔英雄。而今何在。青草邊漫	從 前 恩 愛 到 此 成 空 自 昔 英 雄 而 今 何 在 青 草 邊 漫 
X62n1201_001:0643a18	留碑石。綠楊內空掛紙錢。想到梢頭結局。誰人難免	留 碑 石 綠 楊 內 空 掛 紙 錢 想 到 梢 頭 結 局 誰 人 難 免 
X62n1201_001:0643a19	如斯。若欲跳出輪回。須是歸心正覺。休尚鬼窟裏作	如 斯 若 欲 跳 出 輪 回 須 是 歸 心 正 覺 休 尚 鬼 窟 裏 作 
X62n1201_001:0643a20	活計。要知肉團上有真人。是男是女總堪修。若俗若	活 計 要 知 肉 團 上 有 真 人 是 男 是 女 總 堪 修 若 俗 若 
X62n1201_001:0643a21	僧皆有分。急求活路。當思身後之身。切莫依回原做。	僧 皆 有 分 急 求 活 路 當 思 身 後 之 身 切 莫 依 回 原 做 
X62n1201_001:0643a22	夢中之夢。若明日更待明日。看看誤盡青春。使後人	夢 中 之 夢 若 明 日 更 待 明 日 看 看 誤 盡 青 春 使 後 人 
X62n1201_001:0643a23	復哀後人。累累增高白骨。彌陀好念。勿虗彼國之金	復 哀 後 人 累 累 增 高 白 骨 彌 陀 好 念 勿 虗 彼 國 之 金 
X62n1201_001:0643a24	臺。閻老無情。莫惹他家之鐵棒。捨惡從善。改往修來。	臺 閻 老 無 情 莫 惹 他 家 之 鐵 棒 捨 惡 從 善 改 往 修 來 
X62n1201_001:0643b01	對眾為大眾宣揚。家歸為一家解說。使在在齊知覺	對 眾 為 大 眾 宣 揚 家 歸 為 一 家 解 說 使 在 在 齊 知 覺 
X62n1201_001:0643b02	悟。教人人共免沈淪。佛言不信。何言可信。人道不修。	悟 教 人 人 共 免 沈 淪 佛 言 不 信 何 言 可 信 人 道 不 修 
X62n1201_001:0643b03	他道難修。各請直下承當。莫使此生空過。	他 道 難 修 各 請 直 下 承 當 莫 使 此 生 空 過 
X62n1201_001:0643b04	理障更甚於欲	理 障 更 甚 於 欲 
X62n1201_001:0643b05	生而盲者不識象。有一國王。集羣瞽而問之曰。汝等	生 而 盲 者 不 識 象 有 一 國 王 集 羣 瞽 而 問 之 曰 汝 等 
X62n1201_001:0643b06	欲知象之形否。皆曰願知。乃命象夫牽象於庭。喚羣	欲 知 象 之 形 否 皆 曰 願 知 乃 命 象 夫 牽 象 於 庭 喚 羣 
X62n1201_001:0643b07	瞽以手摸之。摸訖。問曰。汝等已知象形否。皆曰已知。	瞽 以 手 摸 之 摸 訖 問 曰 汝 等 已 知 象 形 否 皆 曰 已 知 
X62n1201_001:0643b08	乃各自揣度。摸其鼻者。曰象形如琴。摸其足者。曰象	乃 各 自 揣 度 摸 其 鼻 者 曰 象 形 如 琴 摸 其 足 者 曰 象 
X62n1201_001:0643b09	形如柱。摸其脊者。曰象形如屋。摸其脅者。曰象形如	形 如 柱 摸 其 脊 者 曰 象 形 如 屋 摸 其 脅 者 曰 象 形 如 
X62n1201_001:0643b10	壁。摸其耳者。曰象形如箕。摸其尾者。曰象形如帚。各	壁 摸 其 耳 者 曰 象 形 如 箕 摸 其 尾 者 曰 象 形 如 帚 各 
X62n1201_001:0643b11	執一說。爭論不已。繼以毆擊。王笑曰。汝等皆未知象。	執 一 說 爭 論 不 已 繼 以 毆 擊 王 笑 曰 汝 等 皆 未 知 象 
X62n1201_001:0643b12	琴者。其鼻也。柱者。其足也。屋者。其脊也。壁者。其脅也。	琴 者 其 鼻 也 柱 者 其 足 也 屋 者 其 脊 也 壁 者 其 脅 也 
X62n1201_001:0643b13	箕者。其耳也。帚者。其尾也。由是羣瞽默不敢言。然意	箕 者 其 耳 也 帚 者 其 尾 也 由 是 羣 瞽 默 不 敢 言 然 意 
X62n1201_001:0643b14	中猶謂所摸之不謬。而大恨羣說之皆非。於是瞽人	中 猶 謂 所 摸 之 不 謬 而 大 恨 羣 說 之 皆 非 於 是 瞽 人 
X62n1201_001:0643b15	終身不識象矣。向使不教以手摸。則象之形狀。數語	終 身 不 識 象 矣 向 使 不 教 以 手 摸 則 象 之 形 狀 數 語 
X62n1201_001:0643b16	便知。夫何至於爭執也。惟其有此一摸彼。遂謂親驗	便 知 夫 何 至 於 爭 執 也 惟 其 有 此 一 摸 彼 遂 謂 親 驗 
X62n1201_001:0643b17	之於手斷無疑惑。是以牢固於中而不可拔也。不讀	之 於 手 斷 無 疑 惑 是 以 牢 固 於 中 而 不 可 拔 也 不 讀 
X62n1201_001:0643b18	書人。教以修淨土。縱未能皆信。然必不至於誹謗。若	書 人 教 以 修 淨 土 縱 未 能 皆 信 然 必 不 至 於 誹 謗 若 
X62n1201_001:0643b19	一讀舉業之書。便自以為是。空腹高心。以為此不過	一 讀 舉 業 之 書 便 自 以 為 是 空 腹 高 心 以 為 此 不 過 
X62n1201_001:0643b20	佛氏之教。而誠實之語反謂荒唐。甘露之投視為鴆	佛 氏 之 教 而 誠 實 之 語 反 謂 荒 唐 甘 露 之 投 視 為 鴆 
X62n1201_001:0643b21	毒矣。故曰理之為障。更甚於欲。	毒 矣 故 曰 理 之 為 障 更 甚 於 欲 
X62n1201_001:0643b22	先要知三世之說	先 要 知 三 世 之 說 
X62n1201_001:0643b23	讀書人有不信前世後世。因而不信淨土者。不知前	讀 書 人 有 不 信 前 世 後 世 因 而 不 信 淨 土 者 不 知 前 
X62n1201_001:0643b24	世後世。即是昨日來朝。合下便有。並非佛家造出。譬	世 後 世 即 是 昨 日 來 朝 合 下 便 有 並 非 佛 家 造 出 譬 
X62n1201_001:0643c01	如五臟六腑。原在病人自己腹中。柰何因其出諸醫	如 五 臟 六 腑 原 在 病 人 自 己 腹 中 柰 何 因 其 出 諸 醫 
X62n1201_001:0643c02	人之口。遂視為藥籠中物乎。文昌帝君勸士子文。開	人 之 口 遂 視 為 藥 籠 中 物 乎 文 昌 帝 君 勸 士 子 文 開 
X62n1201_001:0643c03	口便謂吾一十七世為士大夫身。是顯然有三世矣。	口 便 謂 吾 一 十 七 世 為 士 大 夫 身 是 顯 然 有 三 世 矣 
X62n1201_001:0643c04	士子科名。皆經其掌管。豈其言不足信乎。	士 子 科 名 皆 經 其 掌 管 豈 其 言 不 足 信 乎 
X62n1201_001:0643c05	又要明因果之理	又 要 明 因 果 之 理 
X62n1201_001:0643c06	儒者之不信因果。非不信佛也。乃不信儒也。易曰。積	儒 者 之 不 信 因 果 非 不 信 佛 也 乃 不 信 儒 也 易 曰 積 
X62n1201_001:0643c07	善之家。必有餘慶。積不善之家。必有餘殃。書曰。作善	善 之 家 必 有 餘 慶 積 不 善 之 家 必 有 餘 殃 書 曰 作 善 
X62n1201_001:0643c08	降之百祥。作不善降之百殃。夫作善作不善。因也。降	降 之 百 祥 作 不 善 降 之 百 殃 夫 作 善 作 不 善 因 也 降 
X62n1201_001:0643c09	祥降殃。則果矣。譬之日與太陽同是一物。故曰欲知	祥 降 殃 則 果 矣 譬 之 日 與 太 陽 同 是 一 物 故 曰 欲 知 
X62n1201_001:0643c10	前世因。今生受者是。人若信乎其說。自然不敢為惡。	前 世 因 今 生 受 者 是 人 若 信 乎 其 說 自 然 不 敢 為 惡 
X62n1201_001:0643c11	倘以報應為荒唐。是落得欺人詐人無所忌憚矣。且	倘 以 報 應 為 荒 唐 是 落 得 欺 人 詐 人 無 所 忌 憚 矣 且 
X62n1201_001:0643c12	如一邑之內。一人信之而作一善。萬人即增萬善。一	如 一 邑 之 內 一 人 信 之 而 作 一 善 萬 人 即 增 萬 善 一 
X62n1201_001:0643c13	人不信而造一惡。萬人即增萬惡。故曰人人信因果。	人 不 信 而 造 一 惡 萬 人 即 增 萬 惡 故 曰 人 人 信 因 果 
X62n1201_001:0643c14	大治之道也。人人不信因果。大亂之道也。	大 治 之 道 也 人 人 不 信 因 果 大 亂 之 道 也 
X62n1201_001:0643c15	三世之理孔子必定說過	三 世 之 理 孔 子 必 定 說 過 
X62n1201_001:0643c16	三世之說。考之書史。所載甚多。即今世俗見聞事亦	三 世 之 說 考 之 書 史 所 載 甚 多 即 今 世 俗 見 聞 事 亦 
X62n1201_001:0643c17	不一。儒者止因孔子未嘗言及。所以不敢出諸口。然	不 一 儒 者 止 因 孔 子 未 嘗 言 及 所 以 不 敢 出 諸 口 然 
X62n1201_001:0643c18	孔子豈有不言者乎。若云孔子不知三世。亦不得為	孔 子 豈 有 不 言 者 乎 若 云 孔 子 不 知 三 世 亦 不 得 為 
X62n1201_001:0643c19	聖人矣。一部論語中。孔子所言者不過八千五百零	聖 人 矣 一 部 論 語 中 孔 子 所 言 者 不 過 八 千 五 百 零 
X62n1201_001:0643c20	三字。則言之不傳於後者必多。若必待見之經書而	三 字 則 言 之 不 傳 於 後 者 必 多 若 必 待 見 之 經 書 而 
X62n1201_001:0643c21	後信。則四書五經中。孔子未嘗自言其父母。儒者亦	後 信 則 四 書 五 經 中 孔 子 未 嘗 自 言 其 父 母 儒 者 亦 
X62n1201_001:0643c22	當隱諱其所生。未嘗自言其昆弟。儒者不當道及其	當 隱 諱 其 所 生 未 嘗 自 言 其 昆 弟 儒 者 不 當 道 及 其 
X62n1201_001:0643c23	手足。未嘗自言其室廬田疇。儒者不應居宮室而業	手 足 未 嘗 自 言 其 室 廬 田 疇 儒 者 不 應 居 宮 室 而 業 
X62n1201_001:0643c24	恒產。不寧唯是文房四寶。經書中未之及也。子之習	恒 產 不 寧 唯 是 文 房 四 寶 經 書 中 未 之 及 也 子 之 習 
X62n1201_001:0644a01	字差矣。夏葛冬裘之外。未嘗說及小衣。得毋今之穿	字 差 矣 夏 葛 冬 裘 之 外 未 嘗 說 及 小 衣 得 毋 今 之 穿 
X62n1201_001:0644a02	絝者非乎。江南金錫。儒者不當為用。西蜀丹青。儒者	絝 者 非 乎 江 南 金 錫 儒 者 不 當 為 用 西 蜀 丹 青 儒 者 
X62n1201_001:0644a03	不當作彩。何也。以孔子未嘗出諸口也。獨是經書所	不 當 作 彩 何 也 以 孔 子 未 嘗 出 諸 口 也 獨 是 經 書 所 
X62n1201_001:0644a04	傳。孔子教人孝友。儒者卻不肯孝友。教人忠恕。儒者。	傳 孔 子 教 人 孝 友 儒 者 卻 不 肯 孝 友 教 人 忠 恕 儒 者 
X62n1201_001:0644a05	却不肯忠恕。並未嘗勸人賭博。儒者偏好賭博。並未	却 不 肯 忠 恕 並 未 嘗 勸 人 賭 博 儒 者 偏 好 賭 博 並 未 
X62n1201_001:0644a06	嘗教人做某事某事。偏要去做某事。某事則又何也。	嘗 教 人 做 某 事 某 事 偏 要 去 做 某 事 某 事 則 又 何 也 
X62n1201_001:0644a07	一言以蔽之。曰弗思耳。	一 言 以 蔽 之 曰 弗 思 耳 
X62n1201_001:0644a08	智者勿以短命自待	智 者 勿 以 短 命 自 待 
X62n1201_001:0644a09	人身初未嘗有死。死之名乃從肉軀得之。葢肉軀雖	人 身 初 未 嘗 有 死 死 之 名 乃 從 肉 軀 得 之 葢 肉 軀 雖 
X62n1201_001:0644a10	有變更。吾性本無變更。譬諸遠行之人。或乘舟坐轎。	有 變 更 吾 性 本 無 變 更 譬 諸 遠 行 之 人 或 乘 舟 坐 轎 
X62n1201_001:0644a11	或馳馬驅車。舟車轎馬肉軀也。乘舟車轎馬者真性	或 馳 馬 驅 車 舟 車 轎 馬 肉 軀 也 乘 舟 車 轎 馬 者 真 性 
X62n1201_001:0644a12	也。就肉軀論。長者不滿百年。若言吾之本來面目。豈	也 就 肉 軀 論 長 者 不 滿 百 年 若 言 吾 之 本 來 面 目 豈 
X62n1201_001:0644a13	止天長地久。靜言思之。何等快樂。今之不信後世者。	止 天 長 地 久 靜 言 思 之 何 等 快 樂 今 之 不 信 後 世 者 
X62n1201_001:0644a14	知有肉軀而不知有真性也。是明明以短命自待也。	知 有 肉 軀 而 不 知 有 真 性 也 是 明 明 以 短 命 自 待 也 
X62n1201_001:0644a15	亦見之謬矣。	亦 見 之 謬 矣 
X62n1201_001:0644a16	有智者不可隘其見聞	有 智 者 不 可 隘 其 見 聞 
X62n1201_001:0644a17	農夫心眼中。不知富翁境界。富翁心眼中。不知帝王	農 夫 心 眼 中 不 知 富 翁 境 界 富 翁 心 眼 中 不 知 帝 王 
X62n1201_001:0644a18	境界。同在人類中。而大小懸殊矣。況其由人而天復	境 界 同 在 人 類 中 而 大 小 懸 殊 矣 況 其 由 人 而 天 復 
X62n1201_001:0644a19	由天而至於佛國乎。人謂讀書之人。見聞必廣。豈知	由 天 而 至 於 佛 國 乎 人 謂 讀 書 之 人 見 聞 必 廣 豈 知 
X62n1201_001:0644a20	越是讀書人。見聞越小。由其執著先入之言。牢固不	越 是 讀 書 人 見 聞 越 小 由 其 執 著 先 入 之 言 牢 固 不 
X62n1201_001:0644a21	拔耳。葢彼所見聞者。不過此閒一國土。而不知世界	拔 耳 葢 彼 所 見 聞 者 不 過 此 閒 一 國 土 而 不 知 世 界 
X62n1201_001:0644a22	之多。不可窮盡。日月之多。亦不可窮盡。浪說厥初生	之 多 不可窮盡 日 月 之 多 亦 不可窮盡 浪 說 厥 初 生 
X62n1201_001:0644a23	民始於盤古。不知劫初自大平等王開創後。目下已	民 始 於 盤 古 不 知 劫 初 自 大 平 等 王 開 創 後 目 下 已 
X62n1201_001:0644a24	經第九小劫。但知此處號為中華。不知就閻浮一洲	經 第 九 小 劫 但 知 此 處 號 為 中 華 不 知 就 閻 浮 一 洲 
X62n1201_001:0644b01	中。其自號為中華者。已有十六大國。五百中國。十萬	中 其 自 號 為 中 華 者 已 有 十六大國 五 百 中 國 十 萬 
X62n1201_001:0644b02	小國。但知人生七十。便號古稀。不知劫初之人。皆從	小 國 但 知 人 生 七 十 便 號 古 稀 不 知 劫 初 之 人 皆 從 
X62n1201_001:0644b03	八萬四千歲而始。但知此方衣食之源。必由耕織。不	八萬四千 歲 而 始 但 知 此 方 衣 食 之 源 必 由 耕 織 不 
X62n1201_001:0644b04	知天宮佛土。皆念衣衣來。想食食至。但知金銀財寶。	知 天 宮 佛 土 皆 念 衣 衣 來 想 食 食 至 但 知 金 銀 財 寶 
X62n1201_001:0644b05	此方得之甚難。不知十方佛土。大地皆七寶所成。但	此 方 得 之 甚 難 不 知 十 方 佛 土 大 地 皆 七 寶 所 成 但 
X62n1201_001:0644b06	見此方文字。止有倉頡所造六書。不知自開闢後。書	見 此 方 文 字 止 有 倉 頡 所 造 六 書 不 知 自 開 闢 後 書 
X62n1201_001:0644b07	法已有六十四種。但知左國史漢。些微典籍。便稱藝	法 已 有 六 十 四 種 但 知 左 國 史 漢 些 微 典 籍 便 稱 藝 
X62n1201_001:0644b08	苑之宗。不知普光明殿上祕笈琅函。同於山積。但知	苑 之 宗 不 知 普 光 明 殿 上 祕 笈 琅 函 同 於 山 積 但 知 
X62n1201_001:0644b09	人類肉軀必從男女精血而成。不知質託蓮胎。生於	人 類 肉 軀 必 從 男 女 精 血 而 成 不 知 質 託 蓮 胎 生 於 
X62n1201_001:0644b10	上妙香潔之處。可以不由女人之腹。但知娶得一位	上 妙 香 潔 之 處 可 以 不 由 女 人 之 腹 但 知 娶 得 一 位 
X62n1201_001:0644b11	黃瘦婦女。便愛之惜之。珍之玩之。唯其言之是聽。豈	黃 瘦 婦 女 便 愛 之 惜 之 珍 之 玩 之 唯 其 言 之 是 聽 豈 
X62n1201_001:0644b12	知轉輪王臨御時。除玉女外。尚有二萬妙麗夫人。至	知 轉 輪 王 臨 御 時 除 玉 女 外 尚 有 二 萬 妙 麗 夫 人 至 
X62n1201_001:0644b13	於忉利天王。其玉女之多。動以萬億計。每一玉女之	於 忉 利 天 王 其 玉 女 之 多 動 以 萬 億 計 每 一 玉 女 之 
X62n1201_001:0644b14	旁。天王自化一身以受娛樂。但知人為萬物之靈。謂	旁 天 王 自 化 一 身 以 受 娛 樂 但 知 人 為 萬 物 之 靈 謂 
X62n1201_001:0644b15	可贊化育。參天地。不知人類不過六道中之一道。四	可 贊 化 育 參 天 地 不 知 人 類 不 過 六 道 中 之 一 道 四 
X62n1201_001:0644b16	生中之一生。十法界中之一法界。但知奉得一位兩	生 中 之 一 生 十 法 界 中 之 一 法 界 但 知 奉 得 一 位 兩 
X62n1201_001:0644b17	位聖人。便謂其尊無對。其餘一應天神地祇人鬼。皆	位 聖 人 便 謂 其 尊 無 對 其 餘 一 應 天 神 地 祇 人 鬼 皆 
X62n1201_001:0644b18	不足信。一應未曾目擊之事。皆謂荒唐。豈知每一國	不 足 信 一 應 未 曾 目 擊 之 事 皆 謂 荒 唐 豈 知 每 一 國 
X62n1201_001:0644b19	土。即有幾位聖人。主持教化。人類之多。閻浮提中。共	土 即 有 幾 位 聖 人 主 持 教 化 人 類 之 多 閻浮提中 共 
X62n1201_001:0644b20	有六千四百種。不獨此閒一處有聖人。嗟乎此種境	有 六 千 四 百 種 不 獨 此 閒 一 處 有 聖 人 嗟 乎 此 種 境 
X62n1201_001:0644b21	界。豈聲色貨利之徒。所能窺其毫末哉。譬如蚯蚓。但	界 豈 聲 色 貨 利 之 徒 所 能 窺 其 毫 末 哉 譬 如 蚯 蚓 但 
X62n1201_001:0644b22	知尺土中食泥之樂。不知倉龍躍於大海。突浪衝波。	知 尺 土 中 食 泥 之 樂 不 知 倉 龍 躍 於 大 海 突 浪 衝 波 
X62n1201_001:0644b23	譬如蜣螂。但知糞壤內轉丸之樂。不知大鵬扶搖九	譬 如 蜣 螂 但 知 糞 壤 內 轉 丸 之 樂 不 知 大 鵬 扶 搖 九 
X62n1201_001:0644b24	萬里。風斯在下。是故學佛人。當須大著眼。	萬 里 風 斯 在 下 是 故 學 佛 人 當 須 大 著 眼 
X62n1201_001:0644c01	藏經不可不讀	藏 經 不 可 不 讀 
X62n1201_001:0644c02	雞犬牛羊。能鳴而不能語。較諸能言之人。人之能言	雞 犬 牛 羊 能 鳴 而 不 能 語 較 諸 能 言 之 人 人 之 能 言 
X62n1201_001:0644c03	者貴矣。一字不識之人。但能以口言語。不能以手言	者 貴 矣 一 字 不 識 之 人 但 能 以 口 言 語 不 能 以 手 言 
X62n1201_001:0644c04	語。而略識幾字者。能以筆通信於千里之遠。則略識	語 而 略 識 幾 字 者 能 以 筆 通 信 於 千 里 之 遠 則 略 識 
X62n1201_001:0644c05	幾字者貴矣。略識幾字者。雖能以手代口。終不能化	幾 字 者 貴 矣 略 識 幾 字 者 雖 能 以 手 代 口 終 不 能 化 
X62n1201_001:0644c06	一手為百千手。并不能留其手以至百千年。若能博	一 手 為 百 千 手 并 不 能 留 其 手 以 至 百 千 年 若 能 博 
X62n1201_001:0644c07	通古今。著書垂後。則能一書刷印百千書。一書留至	通 古 今 著 書 垂 後 則 能 一 書 刷 印 百 千 書 一 書 留 至 
