T14n0451_001:0409a03	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0451_001:0409a18	示教利喜，皆令具足微妙行願，趣大菩	示 教 利 喜 皆 令 具 足 微 妙 行 願 趣 大 菩 
T14n0451_001:0409a19	提。	提 
T14n0451_001:0409a20	爾時，曼殊室利法王子菩薩摩訶薩，承佛威	爾 時 曼 殊 室 利 法 王 子 菩薩摩訶薩 承 佛 威 
T14n0451_001:0409a21	神，從座而起，偏袒右肩，右膝著地，合掌	神 從座而起 偏袒右肩 右膝著地 合 掌 
T14n0451_001:0409a22	恭敬，而白佛言：「世尊！今有無量人天大眾，	恭 敬 而 白 佛 言 世 尊 今 有 無 量 人 天 大 眾 
T14n0451_001:0409a23	為聽法故，皆已雲集。惟佛世尊，從初發意，	為 聽 法 故 皆 已 雲 集 惟 佛 世 尊 從 初 發 意 
T14n0451_001:0409a24	乃至於今，所有無量塵沙數劫諸佛剎土，無	乃 至 於 今 所 有 無 量 塵 沙 數 劫 諸 佛 剎 土 無 
T14n0451_001:0409a25	不知見。願為我等及未來世像法眾生，慈	不 知 見 願 為 我 等 及 未 來 世 像 法 眾 生 慈 
T14n0451_001:0409a26	悲演說諸佛名號、本願功德、國土莊嚴、善巧	悲 演 說 諸 佛 名 號 本 願 功 德 國 土 莊 嚴 善 巧 
T14n0451_001:0409a27	方便差別之相，令諸聞者，業障消除，乃至菩	方 便 差別之相 令 諸 聞 者 業 障 消 除 乃 至 菩 
T14n0451_001:0409a28	提，得不退轉。」爾時，世尊讚曼殊室利菩薩	提 得不退轉 爾 時 世 尊 讚 曼 殊 室 利 菩 薩 
T14n0451_001:0409a29	言：「善哉！善哉！曼殊室利！汝以大悲愍念	言 善 哉 善 哉 曼 殊 室 利 汝 以 大 悲 愍 念 
T14n0451_001:0409b01	無量業障有情，種種疾病、憂悲苦惱，得安樂	無 量 業 障 有 情 種 種 疾 病 憂 悲 苦 惱 得 安 樂 
T14n0451_001:0409b02	故，勸請我說諸佛名號、本願功德、國土莊	故 勸 請 我 說 諸 佛 名 號 本 願 功 德 國 土 莊 
T14n0451_001:0409b03	嚴。此由如來威神之力，令發斯問。汝今諦	嚴 此 由 如 來 威 神 之 力 令 發 斯 問 汝 今 諦 
T14n0451_001:0409b04	聽，極善思惟，當為汝說。」曼殊室利言：「惟	聽 極 善 思 惟 當 為 汝 說 曼 殊 室 利 言 惟 
T14n0451_001:0409b05	願為說，我等樂聞。」	願 為 說 我 等 樂 聞 
T14n0451_001:0409b06	佛告曼殊室利：「東方去此，過四弶伽河沙	佛 告 曼 殊 室 利 東 方 去 此 過 四 弶 伽 河 沙 
T14n0451_001:0409b07	佛土，有世界名曰無勝，佛號善名稱吉祥	佛 土 有 世 界 名 曰 無 勝 佛 號 善 名 稱 吉 祥 
T14n0451_001:0409b08	王如來、應、正等覺、明行圓滿、善逝、世間解、無上	王 如 來 應 正 等 覺 明行圓滿 善 逝 世 間 解 無 上 
T14n0451_001:0409b09	丈夫、調御士、天人師、佛、世尊，有無量億眾，不	丈 夫 調 御 士 天 人 師 佛 世 尊 有 無 量 億 眾 不 
T14n0451_001:0409b10	退菩薩之所圍遶，安住七寶勝妙莊嚴師子	退 菩 薩 之 所 圍 遶 安 住 七 寶 勝 妙 莊 嚴 師 子 
T14n0451_001:0409b11	之座，現在說法。曼殊室利！彼佛國土清淨嚴	之 座 現 在 說 法 曼 殊 室 利 彼 佛 國 土 清 淨 嚴 
T14n0451_001:0409b12	飾，縱廣正等百千踰繕那，以贍部金而為	飾 縱 廣 正 等 百 千 踰 繕 那 以 贍 部 金 而 為 
T14n0451_001:0409b13	其地，平正柔軟，氣如天香；無諸惡趣及女人	其 地 平 正 柔 軟 氣 如 天 香 無 諸 惡 趣 及 女 人 
T14n0451_001:0409b14	名，亦無瓦礫、沙石、棘刺；寶樹行列，花果滋	名 亦 無 瓦 礫 沙 石 棘 刺 寶 樹 行 列 花 果 滋 
T14n0451_001:0409b15	繁；多有浴池，皆以金銀、真珠、雜寶而為砌	繁 多 有 浴 池 皆 以 金 銀 真 珠 雜 寶 而 為 砌 
T14n0451_001:0409b16	飾。曼殊室利！彼國菩薩皆於七寶蓮花化	飾 曼 殊 室 利 彼 國 菩 薩 皆 於 七 寶 蓮 花 化 
T14n0451_001:0409b17	生。是故，淨信善男子、善女人，皆當願生彼	生 是 故 淨 信 善 男 子 善 女 人 皆 當 願 生 彼 
T14n0451_001:0409b18	佛國土。「曼殊室利！彼佛如來、應、正等覺，	佛 國 土 曼 殊 室 利 彼 佛 如 來 應 正 等 覺 
T14n0451_001:0409b19	從初發心行菩薩道時，發八大願。云何為	從 初 發 心 行菩薩道 時 發 八 大 願 云 何 為 
T14n0451_001:0409b20	八？	八 
T14n0451_001:0409b21	「第一大願：願我來世得無上菩提時，若有	 第 一 大 願 願 我 來 世 得 無上菩提 時 若 有 
T14n0451_001:0409b22	眾生，為諸病苦逼切其身，熱病、諸瘧、蠱道、	眾 生 為 諸 病 苦 逼 切 其 身 熱 病 諸 瘧 蠱 道 
T14n0451_001:0409b23	厭魅、起屍鬼等之所惱害；若能至心稱我	厭 魅 起 屍 鬼 等 之 所 惱 害 若 能 至 心 稱 我 
T14n0451_001:0409b24	名者，由是力故，所有病苦悉皆消滅，乃至	名 者 由 是 力 故 所 有 病 苦 悉 皆 消 滅 乃 至 
T14n0451_001:0409b25	證得無上菩提。	證 得 無上菩提 
T14n0451_001:0409b26	「第二大願：願我來世得菩提時，若有眾生，	 第 二 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0409b27	盲聾、瘖瘂、白癩、瘨狂，眾病所困；若能至心稱	盲 聾 瘖 瘂 白 癩 瘨 狂 眾 病 所 困 若 能 至 心 稱 
T14n0451_001:0409b28	我名者，由是力故，諸根具足，眾病消滅，乃	我 名 者 由 是 力 故 諸 根 具 足 眾 病 消 滅 乃 
T14n0451_001:0409b29	至菩提。	至 菩 提 
T14n0451_001:0409c01	「第三大願：願我來世得菩提時，若有眾生，	 第 三 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0409c02	為貪、瞋、癡之所纏逼，造無間罪及諸惡行，	為 貪 瞋 癡 之 所 纏 逼 造 無 間 罪 及 諸 惡 行 
T14n0451_001:0409c03	誹謗正法，不修眾善，當墮地獄，受諸苦	誹謗正法 不 修 眾 善 當 墮 地 獄 受 諸 苦 
T14n0451_001:0409c04	痛；若能至心稱我名者，由是力故，令無間	痛 若 能 至 心 稱 我 名 者 由 是 力 故 令 無 間 
T14n0451_001:0409c05	罪及諸業障，悉皆消滅，無有眾生墮惡趣	罪 及 諸 業 障 悉 皆 消 滅 無 有 眾 生 墮 惡 趣 
T14n0451_001:0409c06	者，常受人天殊勝安樂，乃至菩提。	者 常 受 人 天 殊 勝 安 樂 乃至菩提 
T14n0451_001:0409c07	「第四大願：願我來世得菩提時，若有眾生，	 第 四 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0409c08	少乏衣食、瓔珞、臥具、財貨、珍寶、香花、伎樂；若	少 乏 衣 食 瓔 珞 臥 具 財 貨 珍 寶 香 花 伎 樂 若 
T14n0451_001:0409c09	能至心稱我名者，由是力故，所乏資生皆	能 至 心 稱 我 名 者 由 是 力 故 所 乏 資 生 皆 
T14n0451_001:0409c10	得充足，乃至菩提。	得 充 足 乃至菩提 
T14n0451_001:0409c11	「第五大願：願我來世得菩提時，若有眾生，	 第 五 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0409c12	或被枷鎖繫縛其身，及以鞭撻，受諸苦惱；	或 被 枷 鎖 繫 縛 其 身 及 以 鞭 撻 受諸苦惱 
T14n0451_001:0409c13	若能至心稱我名者，由是力故，所有苦楚	若 能 至 心 稱 我 名 者 由 是 力 故 所 有 苦 楚 
T14n0451_001:0409c14	皆得解脫，乃至菩提。	皆 得 解 脫 乃至菩提 
T14n0451_001:0409c15	「第六大願：願我來世得菩提時，若有眾生，	 第 六 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0409c16	於險難處，為諸惡獸，熊羆、師子、虎豹、豺狼、蚖	於 險 難 處 為 諸 惡 獸 熊 羆 師 子 虎 豹 豺 狼 蚖 
T14n0451_001:0409c17	蛇、蝮蠍之所侵惱，欲斷其命，發聲大叫，	蛇 蝮 蠍 之 所 侵 惱 欲 斷 其 命 發 聲 大 叫 
T14n0451_001:0409c18	受大苦時；若能至心稱我名者，由是力	受 大 苦 時 若 能 至 心 稱 我 名 者 由 是 力 
T14n0451_001:0409c19	故，所有恐怖皆得解脫，諸惡獸等悉起慈心，	故 所 有 恐 怖 皆 得 解 脫 諸 惡 獸 等 悉 起 慈 心 
T14n0451_001:0409c20	常得安樂，乃至菩提。	常 得 安 樂 乃至菩提 
T14n0451_001:0409c21	「第七大願：願我來世得菩提時，若有眾生，	 第 七 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0409c22	鬪諍言訟，因生憂惱；若能至心稱我名	鬪 諍 言 訟 因 生 憂 惱 若 能 至 心 稱 我 名 
T14n0451_001:0409c23	者，由是力故，鬪訟解散，慈心相向，乃至菩	者 由 是 力 故 鬪 訟 解 散 慈 心 相 向 乃 至 菩 
T14n0451_001:0409c24	提。	提 
T14n0451_001:0409c25	「第八大願：願我來世得菩提時，若有眾	 第 八 大 願 願 我 來 世 得 菩 提 時 若 有 眾 
T14n0451_001:0409c26	生，入於江海，遭大惡風吹其船舫，無有	生 入 於 江 海 遭 大 惡 風 吹 其 船 舫 無 有 
T14n0451_001:0409c27	洲渚而作歸依，極生憂怖；若能至心稱我	洲 渚 而 作 歸 依 極 生 憂 怖 若 能 至 心 稱 我 
T14n0451_001:0409c28	名者，由是力故，皆得隨心，至安隱處，受	名 者 由 是 力 故 皆 得 隨 心 至 安 隱 處 受 
T14n0451_001:0409c29	諸快樂，乃至菩提。「曼殊室利！是謂彼佛、	諸 快 樂 乃至菩提 曼 殊 室 利 是 謂 彼 佛 
T14n0451_001:0410a01	如來、應、正等覺，行菩薩道時，所發八種微妙	如 來 應 正 等 覺 行菩薩道 時 所 發 八 種 微 妙 
T14n0451_001:0410a02	大願。又彼世尊，從初發心，常以定力成就	大 願 又 彼 世 尊 從 初 發 心 常 以 定 力 成 就 
T14n0451_001:0410a03	眾生、供養諸佛、嚴淨佛土，菩薩眷屬悉皆	眾 生 供 養 諸 佛 嚴淨佛土 菩 薩 眷 屬 悉 皆 
T14n0451_001:0410a04	圓滿。此之福德，不可思議，一切聲聞及諸獨	圓 滿 此 之 福 德 不可思議 一 切 聲 聞 及 諸 獨 
T14n0451_001:0410a05	覺，縱經多劫，說不能盡，唯除如來、補處	覺 縱 經 多 劫 說 不 能 盡 唯 除 如 來 補 處 
T14n0451_001:0410a06	菩薩。曼殊室利！若有淨信男子、女人，若王、大	菩 薩 曼 殊 室 利 若 有 淨 信 男 子 女 人 若 王 大 
T14n0451_001:0410a07	臣、長者、居士，心悕福德，斷諸煩惱，稱彼佛	臣 長 者 居 士 心 悕 福 德 斷 諸 煩 惱 稱 彼 佛 
T14n0451_001:0410a08	名，讀斯經典，於彼如來至心尊重，恭敬供	名 讀 斯 經 典 於 彼 如 來 至 心 尊 重 恭 敬 供 
T14n0451_001:0410a09	養，所有一切罪惡業障及諸病苦，悉皆消滅，	養 所有一切 罪 惡 業 障 及 諸 病 苦 悉 皆 消 滅 
T14n0451_001:0410a10	諸有願求，無不隨意，得不退轉，乃至菩	諸 有 願 求 無 不 隨 意 得不退轉 乃 至 菩 
T14n0451_001:0410a11	提。	提 
T14n0451_001:0410a12	「復次，曼殊室利！東方去此，過五殑伽河沙	 復 次 曼 殊 室 利 東 方 去 此 過 五 殑 伽 河 沙 
T14n0451_001:0410a13	佛土，有世界名曰妙寶，佛號寶月智嚴光	佛 土 有 世 界 名 曰 妙 寶 佛 號 寶 月 智 嚴 光 
T14n0451_001:0410a14	音自在王如來、應、正等覺，有無量億菩薩圍	音 自 在 王 如 來 應 正 等 覺 有 無 量 億 菩 薩 圍 
T14n0451_001:0410a15	繞，現在說法，皆演大乘微妙深義。「曼殊室利！	繞 現 在 說 法 皆 演 大 乘 微 妙 深 義 曼 殊 室 利 
T14n0451_001:0410a16	彼佛如來，從初發心行菩薩道時，發八大	彼 佛 如 來 從 初 發 心 行菩薩道 時 發 八 大 
T14n0451_001:0410a17	願。云何為八？	願 云 何 為 八 
T14n0451_001:0410a18	「第一大願：願我來世得菩提時，若有眾生，	 第 一 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0410a19	為營農業及商賈事，令心擾亂，廢修菩提、	為 營 農 業 及 商 賈 事 令 心 擾 亂 廢 修 菩 提 
T14n0451_001:0410a20	殊勝善法，於生死中不能出離，各各備受	殊 勝 善 法 於 生 死 中 不 能 出 離 各 各 備 受 
T14n0451_001:0410a21	無邊苦惱；若能至心稱我名者，由是力故，	無 邊 苦 惱 若 能 至 心 稱 我 名 者 由 是 力 故 
T14n0451_001:0410a22	衣服、飲食、資生之具，金銀、珍寶，隨願充足，所	衣 服 飲 食 資 生 之 具 金 銀 珍 寶 隨 願 充 足 所 
T14n0451_001:0410a23	有善根皆得增長，亦不捨離菩提之心，諸	有 善 根 皆 得 增 長 亦 不 捨 離 菩提之心 諸 
T14n0451_001:0410a24	惡道苦咸蒙解脫，乃至菩提。	惡 道 苦 咸 蒙 解 脫 乃至菩提 
T14n0451_001:0410a25	「第二大願：願我來世得菩提時，於十方界，	 第 二 大 願 願 我 來 世 得 菩 提 時 於 十 方 界 
T14n0451_001:0410a26	所有眾生，若為寒熱、飢渴逼身，受大苦惱；	所 有 眾 生 若 為 寒 熱 飢 渴 逼 身 受 大 苦 惱 
T14n0451_001:0410a27	若能至心稱我名者，由是力故，先世罪業	若 能 至 心 稱 我 名 者 由 是 力 故 先 世 罪 業 
T14n0451_001:0410a28	悉皆消滅，捨諸苦惱，受人天樂，乃至菩提。	悉 皆 消 滅 捨 諸 苦 惱 受 人 天 樂 乃至菩提 
T14n0451_001:0410a29	「第三大願：願我來世得菩提時，於十方界，	 第 三 大 願 願 我 來 世 得 菩 提 時 於 十 方 界 
T14n0451_001:0410b01	若有女人，貪婬煩惱常覆其心，相續有娠，	若 有 女 人 貪 婬 煩 惱 常 覆 其 心 相 續 有 娠 
T14n0451_001:0410b02	深可厭惡，臨當產時，受大苦惱；若我名字	深 可 厭 惡 臨 當 產 時 受 大 苦 惱 若 我 名 字 
T14n0451_001:0410b03	暫經其耳，或復稱念，由是力故，眾苦皆除，	暫 經 其 耳 或 復 稱 念 由 是 力 故 眾 苦 皆 除 
T14n0451_001:0410b04	捨此身已，常為男子，乃至菩提。	捨 此 身 已 常 為 男 子 乃至菩提 
T14n0451_001:0410b05	「第四大願：願我來世得菩提時，若有眾生，	 第 四 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0410b06	或與父母、兄弟、姊妹、妻子、眷屬及諸親友，	或 與 父 母 兄 弟 姊 妹 妻 子 眷 屬 及 諸 親 友 
T14n0451_001:0410b07	行險難處，為賊所侵，受諸苦惱；暫聞我名，	行 險 難 處 為 賊 所 侵 受諸苦惱 暫 聞 我 名 
T14n0451_001:0410b08	或復稱念，由是力故，解脫眾難，乃至菩	或 復 稱 念 由 是 力 故 解 脫 眾 難 乃 至 菩 
T14n0451_001:0410b09	提。	提 
T14n0451_001:0410b10	「第五大願：願我來世得菩提時，若有眾生，	 第 五 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0410b11	行於闇夜，作諸事業，被惡鬼神之所惱亂，	行 於 闇 夜 作 諸 事 業 被 惡 鬼 神 之 所 惱 亂 
T14n0451_001:0410b12	極生憂苦；暫聞我名，或復稱念，由是力故，	極 生 憂 苦 暫 聞 我 名 或 復 稱 念 由 是 力 故 
T14n0451_001:0410b13	從闇遇明，諸惡鬼神起慈悲意，乃至菩	從 闇 遇 明 諸 惡 鬼 神 起 慈 悲 意 乃 至 菩 
T14n0451_001:0410b14	提。	提 
T14n0451_001:0410b15	「第六大願：願我來世得菩提時，若有眾生，	 第 六 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0410b16	行鄙惡事，不信三寶，智慧尠少，不修善	行 鄙 惡 事 不 信 三 寶 智 慧 尠 少 不 修 善 
T14n0451_001:0410b17	法，根、力、覺、道、念、定、總持，皆不修習；若能至心	法 根 力 覺 道 念 定 總 持 皆 不 修 習 若 能 至 心 
T14n0451_001:0410b18	稱我名者，由是力故，智慧漸增，三十七品	稱 我 名 者 由 是 力 故 智 慧 漸 增 三十七品 
T14n0451_001:0410b19	悉皆修學，深信三寶，乃至菩提。	悉 皆 修 學 深 信 三 寶 乃至菩提 
T14n0451_001:0410b20	「第七大願：願我來世得菩提時，若有眾生，	 第 七 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0410b21	意樂鄙劣，於二乘道，修行而住，棄背無上勝	意 樂 鄙 劣 於 二 乘 道 修 行 而 住 棄 背 無 上 勝 
T14n0451_001:0410b22	妙菩提；若能至心稱我名者，捨二乘見，於	妙 菩 提 若 能 至 心 稱 我 名 者 捨 二 乘 見 於 
T14n0451_001:0410b23	無上覺得不退轉，乃至菩提。	無 上 覺 得不退轉 乃至菩提 
T14n0451_001:0410b24	「第八大願：願我來世得菩提時，若有眾生，	 第 八 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0410b25	見劫將盡，火欲起時，生大憂怖，苦惱悲泣，	見 劫 將 盡 火 欲 起 時 生 大 憂 怖 苦 惱 悲 泣 
T14n0451_001:0410b26	由彼前身惡業力故，受斯眾苦，無所歸依；	由 彼 前 身 惡 業 力 故 受 斯 眾 苦 無 所 歸 依 
T14n0451_001:0410b27	若能至心稱我名者，所有憂苦悉皆消滅，	若 能 至 心 稱 我 名 者 所 有 憂 苦 悉 皆 消 滅 
T14n0451_001:0410b28	受清涼樂，從此命終，於我佛土蓮華化生，	受 清 涼 樂 從 此 命 終 於 我 佛 土 蓮 華 化 生 
T14n0451_001:0410b29	常修善法，乃至菩提。	常 修 善 法 乃至菩提 
T14n0451_001:0410c01	「曼殊室利！是為彼佛、如來、應、正等覺，行菩薩	 曼 殊 室 利 是 為 彼 佛 如 來 應 正 等 覺 行 菩 薩 
T14n0451_001:0410c02	道時，所發八種微妙大願。又彼如來所居佛	道 時 所 發 八 種 微 妙 大 願 又 彼 如 來 所 居 佛 
T14n0451_001:0410c03	土，廣博嚴淨，地平如掌；天妙香樹而為行列，	土 廣 博 嚴 淨 地 平 如 掌 天 妙 香 樹 而 為 行 列 
T14n0451_001:0410c04	天花遍覆，天樂常鳴，天妙鈴鐸隨處懸布，天	天 花 遍 覆 天 樂 常 鳴 天 妙 鈴 鐸 隨 處 懸 布 天 
T14n0451_001:0410c05	寶莊嚴師子之座，天寶砌飾諸妙浴池；其地	寶 莊 嚴 師 子 之 座 天 寶 砌 飾 諸 妙 浴 池 其 地 
T14n0451_001:0410c06	柔軟，無諸瓦礫，亦無女人及諸煩惱，皆是不	柔 軟 無 諸 瓦 礫 亦 無 女 人 及 諸 煩 惱 皆 是 不 
T14n0451_001:0410c07	退諸菩薩眾，蓮花化生；若起念時，飲食、衣服	退 諸 菩 薩 眾 蓮 花 化 生 若 起 念 時 飲 食 衣 服 
T14n0451_001:0410c08	及諸資具隨意現前，是故名為妙寶世界。	及 諸 資 具 隨 意 現 前 是 故 名 為 妙 寶 世 界 
T14n0451_001:0410c09	「曼殊室利！若有淨信男子、女人、國王、王子、大	 曼 殊 室 利 若 有 淨 信 男 子 女 人 國 王 王 子 大 
T14n0451_001:0410c10	臣、輔相、中宮、婇女，晝夜六時，慇重至心，恭敬	臣 輔 相 中 宮 婇 女 晝 夜 六 時 慇 重 至 心 恭 敬 
T14n0451_001:0410c11	供養彼佛世尊，及稱名號，并造形像，香花、	供 養 彼 佛 世 尊 及 稱 名 號 并 造 形 像 香 花 
T14n0451_001:0410c12	音樂、燒香、末香、塗香而為奉獻，清淨嚴潔，於	音 樂 燒 香 末 香 塗 香 而 為 奉 獻 清 淨 嚴 潔 於 
T14n0451_001:0410c13	七日中，持八戒齋，於諸眾生起慈悲意，願	七 日 中 持 八 戒 齋 於 諸 眾 生 起 慈 悲 意 願 
T14n0451_001:0410c14	生彼土；彼佛世尊及諸菩薩，護念是人，一	生 彼 土 彼 佛 世 尊 及 諸 菩 薩 護 念 是 人 一 
T14n0451_001:0410c15	切罪業悉皆消滅，無上菩提得不退轉，於貪、	切 罪 業 悉 皆 消 滅 無上菩提 得不退轉 於 貪 
T14n0451_001:0410c16	恚、癡漸得微薄，無諸病苦，增益壽命，隨	恚 癡 漸 得 微 薄 無 諸 病 苦 增 益 壽 命 隨 
T14n0451_001:0410c17	有悕求，悉皆如意，鬪諍怨家咸生歡喜，	有 悕 求 悉 皆 如 意 鬪 諍 怨 家 咸 生 歡 喜 
T14n0451_001:0410c18	捨此身已，往彼剎土，蓮花化生，當生之時，	捨 此 身 已 往 彼 剎 土 蓮 花 化 生 當 生 之 時 
T14n0451_001:0410c19	念、定、總持，悉皆明了。曼殊室利！如是當知，	念 定 總 持 悉 皆 明 了 曼 殊 室 利 如 是 當 知 
T14n0451_001:0410c20	彼佛名號無量功德，若得聞者，所願皆成。	彼 佛 名 號 無量功德 若 得 聞 者 所 願 皆 成 
T14n0451_001:0410c21	「復次，曼殊室利！東方去此，過六殑伽河沙	 復 次 曼 殊 室 利 東 方 去 此 過 六 殑 伽 河 沙 
T14n0451_001:0410c22	佛土，有世界名曰圓滿香積，佛號金色寶	佛 土 有 世 界 名 曰 圓 滿 香 積 佛 號 金 色 寶 
T14n0451_001:0410c23	光妙行成就如來、應、正等覺，有無量億萬菩	光 妙 行 成 就 如 來 應 正 等 覺 有 無 量 億 萬 菩 
T14n0451_001:0410c24	薩圍遶，現在說法。「曼殊室利！彼佛如來，從	薩 圍 遶 現 在 說 法 曼 殊 室 利 彼 佛 如 來 從 
T14n0451_001:0410c25	初發心行菩薩道時，發四大願。云何為	初 發 心 行菩薩道 時 發 四 大 願 云 何 為 
T14n0451_001:0410c26	四？	四 
T14n0451_001:0410c27	「第一大願：願我來世得菩提時，若有眾生，	 第 一 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0410c28	造作種種屠害之業，斷諸生命，由斯惡業，	造 作 種 種 屠 害 之 業 斷 諸 生 命 由 斯 惡 業 
T14n0451_001:0410c29	受地獄苦，設得為人，短壽多病，或遭水火、	受 地 獄 苦 設 得 為 人 短 壽 多 病 或 遭 水 火 
T14n0451_001:0411a01	刀毒所傷，當受死苦；若聞我名，至心稱念，	刀 毒 所 傷 當 受 死 苦 若 聞 我 名 至 心 稱 念 
T14n0451_001:0411a02	由是力故，所有惡業悉皆消滅，無病、長壽、不	由 是 力 故 所 有 惡 業 悉 皆 消 滅 無 病 長 壽 不 
T14n0451_001:0411a03	遭橫死，乃至菩提。	遭 橫 死 乃至菩提 
T14n0451_001:0411a04	「第二大願：願我來世得菩提時，若有眾生，	 第 二 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0411a05	作諸惡業，盜他財物，當墮惡趣，設得為	作 諸 惡 業 盜 他 財 物 當 墮 惡 趣 設 得 為 
T14n0451_001:0411a06	人，生貧窮家，乏少衣食，常受諸苦；若聞我	人 生 貧 窮 家 乏 少 衣 食 常 受 諸 苦 若 聞 我 
T14n0451_001:0411a07	名，至心稱念，由是力故，所有惡業悉皆消	名 至 心 稱 念 由 是 力 故 所 有 惡 業 悉 皆 消 
T14n0451_001:0411a08	滅，衣服、飲食無所乏少，乃至菩提。	滅 衣 服 飲 食 無 所 乏 少 乃至菩提 
T14n0451_001:0411a09	「第三大願：願我來世得菩提時，若有眾生，	 第 三 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0411a10	更相凌慢，共為讐隙；若聞我名，至心稱念，	更 相 凌 慢 共 為 讐 隙 若 聞 我 名 至 心 稱 念 
T14n0451_001:0411a11	由是力故，各起慈心，猶如父母，乃至菩	由 是 力 故 各 起 慈 心 猶 如 父 母 乃 至 菩 
T14n0451_001:0411a12	提。	提 
T14n0451_001:0411a13	「第四大願：願我來世得菩提時，若有眾生，	 第 四 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0411a14	貪欲、瞋恚、愚癡所纏，若出家在家男女七	貪 欲 瞋 恚 愚 癡 所 纏 若 出 家 在 家 男 女 七 
T14n0451_001:0411a15	眾，毀犯如來所制學處，造諸惡業，當墮	眾 毀 犯 如 來 所 制 學 處 造 諸 惡 業 當 墮 
T14n0451_001:0411a16	地獄，受諸苦報；若聞我名，至心稱念，由是	地 獄 受 諸 苦 報 若 聞 我 名 至 心 稱 念 由 是 
T14n0451_001:0411a17	力故，所有惡業悉皆消滅，斷諸煩惱，敬奉	力 故 所 有 惡 業 悉 皆 消 滅 斷 諸 煩 惱 敬 奉 
T14n0451_001:0411a18	尸羅，於身、語、心，善能防護，永不退轉，乃至	尸 羅 於 身 語 心 善 能 防 護 永 不 退 轉 乃 至 
T14n0451_001:0411a19	菩提。	菩 提 
T14n0451_001:0411a20	「曼殊室利！是為彼佛、如來、應、正等覺，行菩薩	 曼 殊 室 利 是 為 彼 佛 如 來 應 正 等 覺 行 菩 薩 
T14n0451_001:0411a21	道時，所發四種微妙大願。曼殊室利！又彼如	道 時 所 發 四 種 微 妙 大 願 曼 殊 室 利 又 彼 如 
