T15n0641_001:0623b07	佛說月燈三昧經	佛 說 月燈三昧 經 
T15n0641_001:0624a02	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624a03	「童子！菩薩摩訶薩復有六種寂滅。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 寂 滅 何 等 為 六 
T15n0641_001:0624a04	一者、諸行寂滅不可思議，二者、有為寂滅不	一 者 諸 行 寂 滅 不可思議 二 者 有 為 寂 滅 不 
T15n0641_001:0624a05	可思議，三者、無為寂滅不可思議，四者、有住	可 思 議 三 者 無 為 寂 滅 不可思議 四 者 有 住 
T15n0641_001:0624a06	寂滅不可思議，五者、無住寂滅不可思議，六	寂 滅 不可思議 五 者 無 住 寂 滅 不可思議 六 
T15n0641_001:0624a07	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624a08	「童子！菩薩摩訶薩復有六種為樂。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 為 樂 何 等 為 六 
T15n0641_001:0624a09	一者、諸行為樂不可思議，二者、有為為樂不	一 者 諸 行 為 樂 不可思議 二 者 有 為 為 樂 不 
T15n0641_001:0624a10	可思議，三者、無為為樂不可思議，四者、有住	可 思 議 三 者 無 為 為 樂 不可思議 四 者 有 住 
T15n0641_001:0624a11	為樂不可思議，五者、無住為樂不可思議，六	為 樂 不可思議 五 者 無 住 為 樂 不可思議 六 
T15n0641_001:0624a12	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624a13	「童子！菩薩摩訶薩復有六種諸共。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 諸 共 何 等 為 六 
T15n0641_001:0624a14	一者、諸行諸共不可思議，二者、有為諸共不	一 者 諸 行 諸 共 不可思議 二 者 有 為 諸 共 不 
T15n0641_001:0624a15	可思議，三者、無為諸共不可思議，四者、有住	可 思 議 三 者 無 為 諸 共 不可思議 四 者 有 住 
T15n0641_001:0624a16	諸共不可思議，五者、無住諸共不可思議，六	諸 共 不可思議 五 者 無 住 諸 共 不可思議 六 
T15n0641_001:0624a17	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624a18	「童子！菩薩摩訶薩復有六種不生。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 不 生 何 等 為 六 
T15n0641_001:0624a19	一者、諸行不生不可思議，二者、有為不生不	一 者 諸 行 不 生 不可思議 二 者 有 為 不 生 不 
T15n0641_001:0624a20	可思議，三者、無為不生不可思議，四者、有住	可 思 議 三 者 無 為 不 生 不可思議 四 者 有 住 
T15n0641_001:0624a21	不生不可思議，五者、無住不生不可思議，六	不 生 不可思議 五 者 無 住 不 生 不可思議 六 
T15n0641_001:0624a22	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624a23	「童子！菩薩摩訶薩復有六種今亦。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 今 亦 何 等 為 六 
T15n0641_001:0624a24	一者、諸行今亦不可思議，二者、有為今亦不	一 者 諸 行 今 亦 不可思議 二 者 有 為 今 亦 不 
T15n0641_001:0624a25	可思議，三者、無為今亦不可思議，四者、有住	可 思 議 三 者 無 為 今 亦 不可思議 四 者 有 住 
T15n0641_001:0624a26	今亦不可思議，五者、無住今亦不可思議，六	今 亦 不可思議 五 者 無 住 今 亦 不可思議 六 
T15n0641_001:0624a27	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624a28	「童子！菩薩摩訶薩復有六種不滅。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 不 滅 何 等 為 六 
T15n0641_001:0624a29	一者、諸行不滅不可思議，二者、有為不滅不	一 者 諸 行 不 滅 不可思議 二 者 有 為 不 滅 不 
T15n0641_001:0624b01	可思議，三者、無為不滅不可思議，四者、有住	可 思 議 三 者 無 為 不 滅 不可思議 四 者 有 住 
T15n0641_001:0624b02	不滅不可思議，五者、無住不滅不可思議，六	不 滅 不可思議 五 者 無 住 不 滅 不可思議 六 
T15n0641_001:0624b03	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624b04	「童子！菩薩摩訶薩復有六種不生不滅。何等	 童 子 菩薩摩訶薩 復 有 六 種 不生不滅 何 等 
T15n0641_001:0624b05	為六？一者、諸行不生不滅不可思議，二者、有	為 六 一 者 諸 行 不生不滅 不可思議 二 者 有 
T15n0641_001:0624b06	為不生不滅不可思議，三者、無為不生不滅	為 不生不滅 不可思議 三 者 無 為 不生不滅 
T15n0641_001:0624b07	不可思議，四者、有住不生不滅不可思議，五	不可思議 四 者 有 住 不生不滅 不可思議 五 
T15n0641_001:0624b08	者、無住不生不滅不可思議，六者、皆空不可	者 無 住 不生不滅 不可思議 六 者 皆 空 不 可 
T15n0641_001:0624b09	思議；是為六種。	思 議 是 為 六 種 
T15n0641_001:0624b10	「童子！菩薩摩訶薩復有六種一切皆空。何等	 童 子 菩薩摩訶薩 復 有 六 種 一切皆空 何 等 
T15n0641_001:0624b11	為六？一者、諸行一切皆空不可思議，二者、有	為 六 一 者 諸 行 一切皆空 不可思議 二 者 有 
T15n0641_001:0624b12	為一切皆空不可思議，三者、無為一切皆空	為 一切皆空 不可思議 三 者 無 為 一切皆空 
T15n0641_001:0624b13	不可思議，四者、有住一切皆空不可思議，五	不可思議 四 者 有 住 一切皆空 不可思議 五 
T15n0641_001:0624b14	者、無住一切皆空不可思議，六者、皆空不可	者 無 住 一切皆空 不可思議 六 者 皆 空 不 可 
T15n0641_001:0624b15	思議；是為六種。	思 議 是 為 六 種 
T15n0641_001:0624b16	「童子！菩薩摩訶薩復有六種空性。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 空 性 何 等 為 六 
T15n0641_001:0624b17	一者、諸行空性不可思議，二者、有為空性不	一 者 諸 行 空 性 不可思議 二 者 有 為 空 性 不 
T15n0641_001:0624b18	可思議，三者、無為空性不可思議，四者、有住	可 思 議 三 者 無 為 空 性 不可思議 四 者 有 住 
T15n0641_001:0624b19	空性不可思議，五者、無住空性不可思議，六	空 性 不可思議 五 者 無 住 空 性 不可思議 六 
T15n0641_001:0624b20	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624b21	「童子！菩薩摩訶薩復有六種空相。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 空 相 何 等 為 六 
T15n0641_001:0624b22	一者、諸行空相不可思議，二者、有為空相不	一 者 諸 行 空 相 不可思議 二 者 有 為 空 相 不 
T15n0641_001:0624b23	可思議，三者、無為空相不可思議，四者、有住	可 思 議 三 者 無 為 空 相 不可思議 四 者 有 住 
T15n0641_001:0624b24	空相不可思議，五者、無住空相不可思議，六	空 相 不可思議 五 者 無 住 空 相 不可思議 六 
T15n0641_001:0624b25	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624b26	「童子！菩薩摩訶薩復有六種空法。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 空 法 何 等 為 六 
T15n0641_001:0624b27	一者、諸行空法不可思議，二者、有為空法不	一 者 諸 行 空 法 不可思議 二 者 有 為 空 法 不 
T15n0641_001:0624b28	可思議，三者、無為空法不可思議，四者、有住	可 思 議 三 者 無 為 空 法 不可思議 四 者 有 住 
T15n0641_001:0624b29	空法不可思議，五者、無住空法不可思議，六	空 法 不可思議 五 者 無 住 空 法 不可思議 六 
T15n0641_001:0624c01	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624c02	「童子！菩薩摩訶薩復有六種六根。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 六 根 何 等 為 六 
T15n0641_001:0624c03	一者、諸行六根不可思議，二者、有為六根不	一 者 諸 行 六 根 不可思議 二 者 有 為 六 根 不 
T15n0641_001:0624c04	可思議，三者、無為六根不可思議，四者、有住	可 思 議 三 者 無 為 六 根 不可思議 四 者 有 住 
T15n0641_001:0624c05	六根不可思議，五者、無住六根不可思議，六	六 根 不可思議 五 者 無 住 六 根 不可思議 六 
T15n0641_001:0624c06	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624c07	「童子！菩薩摩訶薩復有六種眼根。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 眼 根 何 等 為 六 
T15n0641_001:0624c08	一者、諸行眼根不可思議，二者、有為眼根不	一 者 諸 行 眼 根 不可思議 二 者 有 為 眼 根 不 
T15n0641_001:0624c09	可思議，三者、無為眼根不可思議，四者、有住	可 思 議 三 者 無 為 眼 根 不可思議 四 者 有 住 
T15n0641_001:0624c10	眼根不可思議，五者、無住眼根不可思議，六	眼 根 不可思議 五 者 無 住 眼 根 不可思議 六 
T15n0641_001:0624c11	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624c12	「童子！菩薩摩訶薩復有六種耳根。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 耳 根 何 等 為 六 
T15n0641_001:0624c13	一者、諸行耳根不可思議，二者、有為耳根不	一 者 諸 行 耳 根 不可思議 二 者 有 為 耳 根 不 
T15n0641_001:0624c14	可思議，三者、無為耳根不可思議，四者、有住	可 思 議 三 者 無 為 耳 根 不可思議 四 者 有 住 
T15n0641_001:0624c15	耳根不可思議，五者、無住耳根不可思議，六	耳 根 不可思議 五 者 無 住 耳 根 不可思議 六 
T15n0641_001:0624c16	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624c17	「童子！菩薩摩訶薩復有六種鼻根。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 鼻 根 何 等 為 六 
T15n0641_001:0624c18	一者、諸行鼻根不可思議，二者、有為鼻根不	一 者 諸 行 鼻 根 不可思議 二 者 有 為 鼻 根 不 
T15n0641_001:0624c19	可思議，三者、無為鼻根不可思議，四者、有住	可 思 議 三 者 無 為 鼻 根 不可思議 四 者 有 住 
T15n0641_001:0624c20	鼻根不可思議，五者、無住鼻根不可思議，六	鼻 根 不可思議 五 者 無 住 鼻 根 不可思議 六 
T15n0641_001:0624c21	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624c22	「童子！菩薩摩訶薩復有六種舌根。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 舌 根 何 等 為 六 
T15n0641_001:0624c23	一者、諸行舌根不可思議，二者、有為舌根不	一 者 諸 行 舌 根 不可思議 二 者 有 為 舌 根 不 
T15n0641_001:0624c24	可思議，三者、無為舌根不可思議，四者、有住	可 思 議 三 者 無 為 舌 根 不可思議 四 者 有 住 
T15n0641_001:0624c25	舌根不可思議，五者、無住舌根不可思議，六	舌 根 不可思議 五 者 無 住 舌 根 不可思議 六 
T15n0641_001:0624c26	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0624c27	「童子！菩薩摩訶薩復有六種身根。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 身 根 何 等 為 六 
T15n0641_001:0624c28	一者、諸行身根不可思議，二者、有為身根不	一 者 諸 行 身 根 不可思議 二 者 有 為 身 根 不 
T15n0641_001:0624c29	可思議，三者、無為身根不可思議，四者、有住	可 思 議 三 者 無 為 身 根 不可思議 四 者 有 住 
T15n0641_001:0625a01	身根不可思議，五者、無住身根不可思議，六	身 根 不可思議 五 者 無 住 身 根 不可思議 六 
T15n0641_001:0625a02	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625a03	「童子！菩薩摩訶薩復有六種意根。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 意 根 何 等 為 六 
T15n0641_001:0625a04	一者、諸行意根不可思議，二者、有為意根不	一 者 諸 行 意 根 不可思議 二 者 有 為 意 根 不 
T15n0641_001:0625a05	可思議，三者、無為意根不可思議，四者、有住	可 思 議 三 者 無 為 意 根 不可思議 四 者 有 住 
T15n0641_001:0625a06	意根不可思議，五者、無住意根不可思議，六	意 根 不可思議 五 者 無 住 意 根 不可思議 六 
T15n0641_001:0625a07	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625a08	「童子！菩薩摩訶薩復有六種六識。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 六 識 何 等 為 六 
T15n0641_001:0625a09	一者、諸行六識不可思議，二者、有為六識不	一 者 諸 行 六 識 不可思議 二 者 有 為 六 識 不 
T15n0641_001:0625a10	可思議，三者、無為六識不可思議，四者、有住	可 思 議 三 者 無 為 六 識 不可思議 四 者 有 住 
T15n0641_001:0625a11	六識不可思議，五者、無住六識不可思議，六	六 識 不可思議 五 者 無 住 六 識 不可思議 六 
T15n0641_001:0625a12	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625a13	「童子！菩薩摩訶薩復有六種眼識。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 眼 識 何 等 為 六 
T15n0641_001:0625a14	一者、諸行眼識不可思議，二者、有為眼識不	一 者 諸 行 眼 識 不可思議 二 者 有 為 眼 識 不 
T15n0641_001:0625a15	可思議，三者、無為眼識不可思議，四者、有住	可 思 議 三 者 無 為 眼 識 不可思議 四 者 有 住 
T15n0641_001:0625a16	眼識不可思議，五者、無住眼識不可思議，六	眼 識 不可思議 五 者 無 住 眼 識 不可思議 六 
T15n0641_001:0625a17	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625a18	「童子！菩薩摩訶薩復有六種耳識。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 耳 識 何 等 為 六 
T15n0641_001:0625a19	一者、諸行耳識不可思議，二者、有為耳識不	一 者 諸 行 耳 識 不可思議 二 者 有 為 耳 識 不 
T15n0641_001:0625a20	可思議，三者、無為耳識不可思議，四者、有住	可 思 議 三 者 無 為 耳 識 不可思議 四 者 有 住 
T15n0641_001:0625a21	耳識不可思議，五者、無住耳識不可思議，六	耳 識 不可思議 五 者 無 住 耳 識 不可思議 六 
T15n0641_001:0625a22	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625a23	「童子！菩薩摩訶薩復有六種鼻識。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 鼻 識 何 等 為 六 
T15n0641_001:0625a24	一者、諸行鼻識不可思議，二者、有為鼻識不	一 者 諸 行 鼻 識 不可思議 二 者 有 為 鼻 識 不 
T15n0641_001:0625a25	可思議，三者、無為鼻識不可思議，四者、有住	可 思 議 三 者 無 為 鼻 識 不可思議 四 者 有 住 
T15n0641_001:0625a26	鼻識不可思議，五者、無住鼻識不可思議，六	鼻 識 不可思議 五 者 無 住 鼻 識 不可思議 六 
T15n0641_001:0625a27	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625a28	「童子！菩薩摩訶薩復有六種舌識。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 舌 識 何 等 為 六 
T15n0641_001:0625a29	一者、諸行舌識不可思議，二者、有為舌識不	一 者 諸 行 舌 識 不可思議 二 者 有 為 舌 識 不 
T15n0641_001:0625b01	可思議，三者、無為舌識不可思議，四者、有住	可 思 議 三 者 無 為 舌 識 不可思議 四 者 有 住 
T15n0641_001:0625b02	舌識不可思議，五者、無住舌識不可思議，六	舌 識 不可思議 五 者 無 住 舌 識 不可思議 六 
T15n0641_001:0625b03	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625b04	「童子！菩薩摩訶薩復有六種身識。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 身 識 何 等 為 六 
T15n0641_001:0625b05	一者、諸行身識不可思議，二者、有為身識不	一 者 諸 行 身 識 不可思議 二 者 有 為 身 識 不 
T15n0641_001:0625b06	可思議，三者、無為身識不可思議，四者、有住	可 思 議 三 者 無 為 身 識 不可思議 四 者 有 住 
T15n0641_001:0625b07	身識不可思議，五者、無住身識不可思議，六	身 識 不可思議 五 者 無 住 身 識 不可思議 六 
T15n0641_001:0625b08	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625b09	「童子！菩薩摩訶薩復有六種意識。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 意 識 何 等 為 六 
T15n0641_001:0625b10	一者、諸行意識不可思議，二者、有為意識不	一 者 諸 行 意 識 不可思議 二 者 有 為 意 識 不 
T15n0641_001:0625b11	可思議，三者、無為意識不可思議，四者、有住	可 思 議 三 者 無 為 意 識 不可思議 四 者 有 住 
T15n0641_001:0625b12	意識不可思議，五者、無住意識不可思議，六	意 識 不可思議 五 者 無 住 意 識 不可思議 六 
T15n0641_001:0625b13	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625b14	「童子！菩薩摩訶薩復有六種六情。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 六 情 何 等 為 六 
T15n0641_001:0625b15	一者、諸行六情不可思議，二者、有為六情不	一 者 諸 行 六 情 不可思議 二 者 有 為 六 情 不 
T15n0641_001:0625b16	可思議，三者、無為六情不可思議，四者、有住	可 思 議 三 者 無 為 六 情 不可思議 四 者 有 住 
T15n0641_001:0625b17	六情不可思議，五者、無住六情不可思議，六	六 情 不可思議 五 者 無 住 六 情 不可思議 六 
T15n0641_001:0625b18	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625b19	「童子！菩薩摩訶薩復有六種眼情。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 眼 情 何 等 為 六 
T15n0641_001:0625b20	一者、諸行眼情不可思議，二者、有為眼情不	一 者 諸 行 眼 情 不可思議 二 者 有 為 眼 情 不 
T15n0641_001:0625b21	可思議，三者、無為眼情不可思議，四者、有住	可 思 議 三 者 無 為 眼 情 不可思議 四 者 有 住 
T15n0641_001:0625b22	眼情不可思議，五者、無住眼情不可思議，六	眼 情 不可思議 五 者 無 住 眼 情 不可思議 六 
T15n0641_001:0625b23	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625b24	「童子！菩薩摩訶薩復有六種耳情。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 耳 情 何 等 為 六 
T15n0641_001:0625b25	一者、諸行耳情不可思議，二者、有為耳情不	一 者 諸 行 耳 情 不可思議 二 者 有 為 耳 情 不 
T15n0641_001:0625b26	可思議，三者、無為耳情不可思議，四者、有住	可 思 議 三 者 無 為 耳 情 不可思議 四 者 有 住 
T15n0641_001:0625b27	耳情不可思議，五者、無住耳情不可思議，六	耳 情 不可思議 五 者 無 住 耳 情 不可思議 六 
T15n0641_001:0625b28	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625b29	「童子！菩薩摩訶薩復有六種鼻情。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 鼻 情 何 等 為 六 
T15n0641_001:0625c01	一者、諸行鼻情不可思議，二者、有為鼻情不	一 者 諸 行 鼻 情 不可思議 二 者 有 為 鼻 情 不 
T15n0641_001:0625c02	可思議，三者、無為鼻情不可思議，四者、有住	可 思 議 三 者 無 為 鼻 情 不可思議 四 者 有 住 
T15n0641_001:0625c03	鼻情不可思議，五者、無住鼻情不可思議，六	鼻 情 不可思議 五 者 無 住 鼻 情 不可思議 六 
T15n0641_001:0625c04	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625c05	「童子！菩薩摩訶薩復有六種舌情。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 舌 情 何 等 為 六 
T15n0641_001:0625c06	一者、諸行舌情不可思議，二者、有為舌情不	一 者 諸 行 舌 情 不可思議 二 者 有 為 舌 情 不 
T15n0641_001:0625c07	可思議，三者、無為舌情不可思議，四者、有住	可 思 議 三 者 無 為 舌 情 不可思議 四 者 有 住 
T15n0641_001:0625c08	舌情不可思議，五者、無住舌情不可思議，六	舌 情 不可思議 五 者 無 住 舌 情 不可思議 六 
T15n0641_001:0625c09	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625c10	「童子！菩薩摩訶薩復有六種身情。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 身 情 何 等 為 六 
T15n0641_001:0625c11	一者、諸行身情不可思議，二者、有為身情不	一 者 諸 行 身 情 不可思議 二 者 有 為 身 情 不 
T15n0641_001:0625c12	可思議，三者、無為身情不可思議，四者、有住	可 思 議 三 者 無 為 身 情 不可思議 四 者 有 住 
T15n0641_001:0625c13	身情不可思議，五者、無住身情不可思議，六	身 情 不可思議 五 者 無 住 身 情 不可思議 六 
T15n0641_001:0625c14	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625c15	「童子！菩薩摩訶薩復有六種意情。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 意 情 何 等 為 六 
