T24n1474_001:0937a10	沙彌尼戒經	沙彌尼戒 經 
T24n1474_001:0938a06	廁。不貪女身，不燒色欲。如于大火，譬若	廁 不 貪 女 身 不 燒 色 欲 如 于 大 火 譬 若 
T24n1474_001:0938a07	處賊。心念一切，如父、如母、如子、如身。常慚	處 賊 心 念 一 切 如 父 如 母 如 子 如 身 常 慚 
T24n1474_001:0938a08	本行懷態不快，乃獲斯身。當解本無，猶如幻	本 行 懷 態 不 快 乃 獲 斯 身 當 解 本 無 猶 如 幻 
T24n1474_001:0938a09	化，無男無女從行得之，本無五道，況男女乎？	化 無 男 無 女 從 行 得 之 本 無 五 道 況 男 女 乎 
T24n1474_001:0938a10	求大乘者，了一切空如幻、化、夢、影、響、野馬、芭	求 大 乘 者 了 一 切 空 如 幻 化 夢 影 響 野 馬 芭 
T24n1474_001:0938a11	蕉、深山之響，緣對而生，本無所有。信色如影，	蕉 深 山 之 響 緣 對 而 生 本 無 所 有 信 色 如 影 
T24n1474_001:0938a12	痛癢如芭蕉，思想如野馬，生死如泡，識如幻，	痛 癢 如 芭 蕉 思 想 如 野 馬 生 死 如 泡 識 如 幻 
T24n1474_001:0938a13	非我。因緣合成，無緣則無，獨來獨去，無一隨	非 我 因 緣 合 成 無 緣 則 無 獨 來 獨 去 無 一 隨 
T24n1474_001:0938a14	者。欲為道者。權慧為父母；樂法為兄弟；不離	者 欲 為 道 者 權 慧 為 父 母 樂 法 為 兄 弟 不 離 
T24n1474_001:0938a15	深義以為和上；慈、悲、喜、護、諦住正法以為男	深 義 以 為 和 上 慈 悲 喜 護 諦 住 正 法 以 為 男 
T24n1474_001:0938a16	女；六度無極以為伴黨；神通之慧以為車乘；	女 六 度 無 極 以 為 伴 黨 神 通 之 慧 以 為 車 乘 
T24n1474_001:0938a17	不違經戒，思惟空義以為屋宅。又沙彌尼不	不 違 經 戒 思 惟 空 義 以 為 屋 宅 又 沙 彌 尼 不 
T24n1474_001:0938a18	得獨行。同類為伴，二人若三人。若無沙彌尼，	得 獨 行 同 類 為 伴 二 人 若 三 人 若 無 沙 彌 尼 
T24n1474_001:0938a19	當與清信女俱行。若婢使不得與大沙彌、男	當 與 清 信 女 俱 行 若 婢 使 不 得 與 大 沙 彌 男 
T24n1474_001:0938a20	子同床座坐。不妄語。又不得比寺居止。自不	子 同 床 座 坐 不 妄 語 又 不 得 比 寺 居 止 自 不 
T24n1474_001:0938a21	疾病，不得數往反。檀越請讀經乃說。不得	疾 病 不 得 數 往 反 檀 越 請 讀 經 乃 說 不 得 
T24n1474_001:0938a22	自用等輩相教，隨年恭順，不得慢恣。轉相導	自 用 等 輩 相 教 隨 年 恭 順 不 得 慢 恣 轉 相 導 
T24n1474_001:0938a23	說，若有過失，屏處相諫，莫於眾中說。聞善見	說 若 有 過 失 屏 處 相 諫 莫 於 眾 中 說 聞 善 見 
T24n1474_001:0938a24	善乃可宣揚，聞惡見惡不得傳說，唯可白和	善 乃 可 宣 揚 聞 惡 見 惡 不 得 傳 說 唯 可 白 和 
T24n1474_001:0938a25	上，不得語餘人。常自剋責，見善思及，見惡自	上 不 得 語 餘 人 常 自 剋 責 見 善 思 及 見 惡 自 
T24n1474_001:0938a26	察，悲哀彼人意不及故。若作沙彌尼求和上	察 悲 哀 彼 人 意 不 及 故 若 作 沙 彌 尼 求 和 上 
T24n1474_001:0938a27	者，當得好聰明智慧奉順法者，世世能度人。	者 當 得 好 聰 明 智 慧 奉 順 法 者 世 世 能 度 人 
T24n1474_001:0938a28	譬若有船完具牢堅，在所能度至于彼岸。若	譬 若 有 船 完 具 牢 堅 在 所 能 度 至 于 彼 岸 若 
T24n1474_001:0938a29	師不聰明，行不應法，非是大師。持作和上，	師 不 聰 明 行 不 應 法 非 是 大 師 持 作 和 上 
T24n1474_001:0938b01	譬如壞船，乘欲度海中路而沒，既溺眾人，師	譬 如 壞 船 乘 欲 度 海 中 路 而 沒 既 溺 眾 人 師 
T24n1474_001:0938b02	亦併命，無有遺餘。其初持法授人經戒，正則	亦 併 命 無有遺餘 其 初 持 法 授 人 經 戒 正 則 
T24n1474_001:0938b03	為師。聞大師欲以為和上，本作沙彌尼，不得	為 師 聞 大 師 欲 以 為 和 上 本 作 沙 彌 尼 不 得 
T24n1474_001:0938b04	彼者，遙稱名、禮之以為師，未必面見，心近則	彼 者 遙 稱 名 禮 之 以 為 師 未 必 面 見 心 近 則 
T24n1474_001:0938b05	近，心遠則遠，身雖相近，心乖不同，相去億里。	近 心 遠 則 遠 身 雖 相 近 心 乖 不 同 相 去 億 里 
T24n1474_001:0938b06	沙彌尼行路，不得與男子共行同道相隨，不	沙 彌 尼 行 路 不 得 與 男 子 共 行 同 道 相 隨 不 
T24n1474_001:0938b07	得與男子、沙門比房同寺。各各別異法之大	得 與 男 子 沙 門 比 房 同 寺 各 各 別 異 法 之 大 
T24n1474_001:0938b08	節焉。	節 焉 
T24n1474_001:0938b09	沙彌尼戒經一卷	沙彌尼戒 經 一 卷 
