X58n1019_001:0584a07	辨非集	辨 非 集 
X58n1019_001:0584b08	釋。但曉此論。自反三隅。論曰。受用變化二土中。今	釋 但 曉 此 論 自 反 三 隅 論 曰 受 用 變 化 二 土 中 今 
X58n1019_001:0584b09	此淨土何土所攝。有義此土變化土攝。佛為地前	此 淨 土 何 土 所 攝 有 義 此 土 變 化 土 攝 佛 為 地 前 
X58n1019_001:0584b10	等。令其欣樂修因。暫化作淨土。加眾暫見。有義此	等 令 其 欣 樂 修 因 暫 化 作 淨 土 加 眾 暫 見 有 義 此 
X58n1019_001:0584b11	土受用土攝。此淨土量無邊際故。(論自反破初義云)若暫	土 受 用 土 攝 此 淨 土 量 無 邊 際 故 論 自 反 破 初 義 云 若 暫 
X58n1019_001:0584b12	加眾令見。應如餘經分明顯說。如法華三變淨土。	加 眾 令 見 應 如 餘 經 分 明 顯 說 如 法 華 三 變 淨 土 
X58n1019_001:0584b13	淨名足指按地。經文皆云佛神力等。今圓覺等經。	淨 名 足 指 按 地 經 文 皆 云 佛 神 力 等 今 圓 覺 等 經 
X58n1019_001:0584b14	不言佛力。何言暫化。云在淨土說。切恐未然者。得	不 言 佛 力 何 言 暫 化 云 在 淨 土 說 切 恐 未 然 者 得 
X58n1019_001:0584b15	非寡聞乎。今引親光為定量。可破疑情以斷封執	非 寡 聞 乎 今 引 親 光 為 定 量 可 破 疑 情 以 斷 封 執 
X58n1019_001:0584b16	也。若以經論明言。而謂之未然者。何乃刻畫無鹽。	也 若 以 經 論 明 言 而 謂 之 未 然 者 何 乃 刻 畫 無 鹽 
X58n1019_001:0584b17	唐突西施也。	唐 突 西 施 也 
X58n1019_001:0584b18	圭峯纂要。雖前以持鉢乞食為戒。敷坐而坐為定。正	圭 峯 纂 要 雖 前 以 持 鉢 乞 食 為 戒 敷 坐 而 坐 為 定 正 
X58n1019_001:0584b19	宗說法為慧。因戒生定。由定發慧。三學倫次。故先乞	宗 說 法 為 慧 因 戒 生 定 由 定 發 慧 三 學 倫 次 故 先 乞 
X58n1019_001:0584b20	食。然大小經皆應乞食以為發起。不勝通漫。今謂佛	食 然 大 小 經 皆 應 乞 食 以 為 發 起 不 勝 通 漫 今 謂 佛 
X58n1019_001:0584b21	意將說發心修無住相布施。故先食時入城而行乞	意 將 說 發 心 修 無 住 相 布 施 故 先 食 時 入 城 而 行 乞 
X58n1019_001:0584b22	食。須知世尊乞食。欲令眾生成就檀波羅蜜。故如來	食 須 知 世 尊 乞 食 欲 令 眾 生 成 就 檀 波 羅 蜜 故 如 來 
X58n1019_001:0584b23	涅槃受純陀供養云。我今受汝最後供養。令汝具足	涅 槃 受 純 陀 供 養 云 我 今 受 汝 最 後 供 養 令 汝 具 足 
X58n1019_001:0584b24	檀波羅蜜。	檀 波 羅 蜜 
X58n1019_001:0584c01	非曰。彼云乞食。欲令眾生成就檀波羅蜜。非謂持	非 曰 彼 云 乞 食 欲 令 眾 生 成 就 檀 波 羅 蜜 非 謂 持 
X58n1019_001:0584c02	戒。經云。執持應器以乞自活。馬鳴曰。及自調伏故。	戒 經 云 執 持 應 器 以 乞 自 活 馬 鳴 曰 及 自 調 伏 故 
X58n1019_001:0584c03	調伏即戒也。又經云。依因此戒。得生諸禪定及滅	調 伏 即 戒 也 又 經 云 依 因 此 戒 得 生 諸 禪 定 及 滅 
X58n1019_001:0584c04	苦智慧。今著衣持鉢乞食威儀。離於邪命。得非持	苦 智 慧 今 著衣持鉢 乞 食 威 儀 離 於 邪 命 得 非 持 
X58n1019_001:0584c05	戒乎。又云不勝通漫者。彼不許持戒配發起。以大	戒 乎 又 云 不 勝 通 漫 者 彼 不 許 持 戒 配 發 起 以 大 
X58n1019_001:0584c06	小經皆有三學故。殊不曉通別之序。別序經經各	小 經 皆 有 三 學 故 殊 不 曉 通 別 之 序 別 序 經 經 各 
X58n1019_001:0584c07	別。如法華以放光。淨名以獻蓋。今經以乞食。若謂	別 如 法 華 以 放 光 淨 名 以 獻 蓋 今 經 以 乞 食 若 謂 
X58n1019_001:0584c08	通漫。豈皆配三學耶。又引下文無住相布施。故先	通 漫 豈 皆 配 三 學 耶 又 引 下 文 無 住 相 布 施 故 先 
X58n1019_001:0584c09	乞食發起為檀度者。涅槃下文。受純陀供養。具足	乞 食 發 起 為 檀 度 者 涅 槃 下 文 受 純 陀 供 養 具 足 
X58n1019_001:0584c10	檀波羅蜜。亦應例。涅槃發起序中。出大音聲。為檀	檀 波 羅 蜜 亦 應 例 涅 槃 發 起 序 中 出 大 音 聲 為 檀 
X58n1019_001:0584c11	度耶。彼若不可。此云何然。	度 耶 彼 若 不 可 此 云 何 然 
X58n1019_001:0584c12	別譯中間加問云何修行。什譯略之。淨覺疏云。住約	別 譯 中 間 加 問 云 何 修 行 什 譯 略 之 淨 覺 疏 云 住 約 
X58n1019_001:0584c13	始習。脩行約積行。住兼積行及以始習。故什師刪之。	始 習 脩 行 約 積 行 住 兼 積 行 及 以 始 習 故 什 師 刪 之 
X58n1019_001:0584c14	今謂住即所依也。修行即能依也。什師意。高所依言	今 謂 住 即 所 依 也 修 行 即 能 依 也 什 師 意 高 所 依 言 
X58n1019_001:0584c15	住必兼能依所修之行。故略修行。但存其住。能住般	住 必 兼 能 依 所 修 之 行 故 略 修 行 但 存 其 住 能 住 般 
X58n1019_001:0584c16	若必有照用。必斷煩惱。煩惱無非清淨般若。煩惱無	若 必 有 照 用 必 斷 煩 惱 煩 惱 無 非 清 淨 般 若 煩 惱 無 
X58n1019_001:0584c17	性即降伏義。此經發心修無住相布施。能住般若。降	性 即 降 伏 義 此 經 發 心 修 無 住 相 布 施 能 住 般 若 降 
X58n1019_001:0584c18	伏煩惱。所問能答。到此畢矣。	伏 煩 惱 所 問 能 答 到 此 畢 矣 
X58n1019_001:0584c19	非曰。淨覺云。住約始習。修行約積行。住兼積行及	非 曰 淨 覺 云 住 約 始 習 修 行 約 積 行 住 兼 積 行 及 
X58n1019_001:0584c20	乎始習。什師何以刪去積行。獨留始習。何不用積	乎 始 習 什 師 何 以 刪 去 積 行 獨 留 始 習 何 不 用 積 
X58n1019_001:0584c21	行攝乎始習。却用始習兼於積行。良恐未然。今謂	行 攝 乎 始 習 却 用 始 習 兼 於 積 行 良 恐 未 然 今 謂 
X58n1019_001:0584c22	住即所依。修行即能依。所依言住。必兼能依所修	住 即 所 依 修 行 即 能 依 所 依 言 住 必 兼 能 依 所 修 
X58n1019_001:0584c23	之行者。此亦摹搨淨覺初無異論。又何以得知所	之 行 者 此 亦 摹 搨 淨 覺 初 無 異 論 又 何 以 得 知 所 
X58n1019_001:0584c24	依之住必兼修行。若慈恩天台賢首諸大聖師。欲	依 之 住 必 兼 修 行 若 慈 恩 天 台 賢 首 諸 大 聖 師 欲 
X58n1019_001:0585a01	立一義。必引聖教為衡量。今無所據。得非胸臆乎。	立 一 義 必 引 聖 教 為 衡 量 今 無 所 據 得 非 胸 臆 乎 
X58n1019_001:0585a02	若圭峯。出秦譯略修行者。意云。住道降伏即是修	若 圭 峯 出 秦 譯 略 修 行 者 意 云 住 道 降 伏 即 是 修 
X58n1019_001:0585a03	行。謂四心六度皆名住修降伏。故無著云。住謂欲	行 謂 四 心 六 度 皆 名 住 修 降 伏 故 無 著 云 住 謂 欲 
X58n1019_001:0585a04	願。修行謂相應等持。降伏謂彼心若散制令還住。	願 修 行 謂 相 應 等 持 降 伏 謂 彼 心 若 散 制 令 還 住 
X58n1019_001:0585a05	又十八住中。一一皆以住修降伏釋之。故知義雖	又 十 八 住 中 一 一 皆 以 住 修 降 伏 釋 之 故 知 義 雖 
X58n1019_001:0585a06	有三。而行是一。問。何以下文但舉降心耶。答。義雖	有 三 而 行 是 一 問 何 以 下 文 但 舉 降 心 耶 答 義 雖 
X58n1019_001:0585a07	互攝。文從勝顯。然經宗於離相。離相正是降心。本	互 攝 文 從 勝 顯 然 經 宗 於 離 相 離 相 正 是 降 心 本 
X58n1019_001:0585a08	意欲明降心。因約住修以顯。儻有公論。宜從正轍。	意 欲 明 降 心 因 約 住 修 以 顯 儻 有 公 論 宜 從 正 轍 
X58n1019_001:0585a09	凡六舉七寶布施。又兩舉身命布施。前後校量。意雖	凡 六 舉 七 寶 布 施 又 兩 舉 身 命 布 施 前 後 校 量 意 雖 
X58n1019_001:0585a10	漸引。皆不可以前後淺深多少難易求之。但隨當文	漸 引 皆 不 可 以 前 後 淺 深 多 少 難 易 求 之 但 隨 當 文 
X58n1019_001:0585a11	所說。顯示為校量本耳。	所 說 顯 示 為 校 量 本 耳 
X58n1019_001:0585a12	非曰。先儒有言曰。知之言知之。不知言不知。是知	非 曰 先 儒 有 言 曰 知 之 言 知 之 不 知 言 不 知 是 知 
X58n1019_001:0585a13	也。不應以未至蓋人。若但顯示為校量本。不以前	也 不 應 以 未 至 蓋 人 若 但 顯 示 為 校 量 本 不 以 前 
X58n1019_001:0585a14	後淺深求之。何必天親第三疑單以一重校量。第	後 淺 深 求 之 何 必 天 親 第 三 疑 單 以 一 重 校 量 第 
X58n1019_001:0585a15	七疑却用兩重校量。第十疑只用內財一重校量	七 疑 却 用 兩 重 校 量 第 十 疑 只 用 內 財 一 重 校 量 
X58n1019_001:0585a16	等。則知經論深意。非公所謂也。	等 則 知 經 論 深 意 非 公 所 謂 也 
X58n1019_001:0585a17	圭峯纂要云。無著云。是福德者標牒。即非者約勝義	圭 峯 纂 要 云 無 著 云 是 福 德 者 標 牒 即 非 者 約 勝 義 
X58n1019_001:0585a18	空。是故者約世俗有。檢論無文。淨覺疏云。即非者。事	空 是 故 者 約 世 俗 有 檢 論 無 文 淨 覺 疏 云 即 非 者 事 
X58n1019_001:0585a19	福本空也。是故者。雖空而假也。今問。即非福德性。若	福 本 空 也 是 故 者 雖 空 而 假 也 今 問 即 非 福 德 性 若 
X58n1019_001:0585a20	已是勝義空。即畢竟空義。下文持經為說。何所勝之。	已 是 勝 義 空 即 畢 竟 空 義 下 文 持 經 為 說 何 所 勝 之 
X58n1019_001:0585a21	雖有天辯。亦弗能救。一槩以即非為遣蕩之辭。更不	雖 有 天 辯 亦 弗 能 救 一 槩 以 即 非 為 遣 蕩 之 辭 更 不 
X58n1019_001:0585a22	顧後有所勝者。請從彌勒偈云。天親論釋方合經旨。	顧 後 有 所 勝 者 請 從 彌 勒 偈 云 天 親 論 釋 方 合 經 旨 
X58n1019_001:0585a23	偈云。受持法及說。不空於福德。福不趣菩提。二能趣	偈 云 受 持 法 及 說 不 空 於 福 德 福 不 趣 菩 提 二 能 趣 
X58n1019_001:0585a24	菩提。天親論釋云。是福德聚即非福德聚。(聚即多也)偈言	菩 提 天 親 論 釋 云 是 福 德 聚 即 非 福 德 聚 聚 即 多 也 偈 言 
X58n1019_001:0585b01	福不趣菩提。二能趣菩提故。彼福德不趣大菩提。二	福 不 趣 菩 提 二 能 趣 菩 提 故 彼 福 德 不 趣 大 菩 提 二 
X58n1019_001:0585b02	能趣大菩提。一者受持。二者為說。須知此之非字乃	能 趣 大 菩 提 一 者 受 持 二 者 為 說 須 知 此 之 非 字 乃 
X58n1019_001:0585b03	揀去之辭。揀去住相布施福德。不趣大菩提故。故云	揀 去 之 辭 揀 去 住 相 布 施 福 德 不 趣 大 菩 提 故 故 云 
X58n1019_001:0585b04	即非。(云云)從來學者。徒仰二老大手高風。殊不契勘。	即 非 云 云 從 來 學 者 徒 仰 二 老 大 手 高 風 殊 不 契 勘 
X58n1019_001:0585b05	判此公案。自有祖子。歸源偈文。全憑論釋。不取臆論。	判 此 公 案 自 有 祖 子 歸 源 偈 文 全 憑 論 釋 不 取 臆 論 
X58n1019_001:0585b06	非曰。彼用無著論釋經。及乎圭峯引無著論而云。	非 曰 彼 用 無 著 論 釋 經 及 乎 圭 峯 引 無 著 論 而 云 
X58n1019_001:0585b07	檢論無文。今引無著之文。則使學者皂白自分矣。	檢 論 無 文 今 引 無 著 之 文 則 使 學 者 皂 白 自 分 矣 
X58n1019_001:0585b08	無著云下。此引七種義句中。第五不失中文。經初	無 著 云 下 此 引 七 種 義 句 中 第 五 不 失 中 文 經 初 
X58n1019_001:0585b09	句。是標牒。經次句。即論云。若福聚非聚。此遮增益	句 是 標 牒 經 次 句 即 論 云 若 福 聚 非 聚 此 遮 增 益 
X58n1019_001:0585b10	邊。以無彼福聚分別自性故。隋本云。即非福德聚。	邊 以 無 彼 福 聚 分 別 自 性 故 隋 本 云 即 非 福 德 聚 
X58n1019_001:0585b11	論云。以無彼福聚故。秦本云。即非福德性。論云。無	論 云 以 無 彼 福 聚 故 秦 本 云 即 非 福 德 性 論 云 無 
X58n1019_001:0585b12	彼分別自性故。青龍云。約真諦理。安立第一義故。	彼 分 別 自 性 故 青 龍 云 約 真 諦 理 安 立 第 一 義 故 
X58n1019_001:0585b13	圭峯約勝義空。經後句。即論云。若復說言。是故如	圭 峯 約 勝 義 空 經 後 句 即 論 云 若 復 說 言 是 故 如 
X58n1019_001:0585b14	來說福德聚。此遮損減邊。青龍云。據俗為資道。圭	來 說 福 德 聚 此 遮 損 減 邊 青 龍 云 據 俗 為 資 道 圭 
X58n1019_001:0585b15	峯云。約世俗有。則圭峯義引無著論文。却云。雖有	峯 云 約 世 俗 有 則 圭 峯 義 引 無 著 論 文 却 云 雖 有 
X58n1019_001:0585b16	天辯。亦弗能救。是福德乃牒前三千大千布施福	天 辯 亦 弗 能 救 是 福 德 乃 牒 前 三千大千 布 施 福 
X58n1019_001:0585b17	德也。偈云福不趣菩提。顯下受持法。及說二能趣	德 也 偈 云 福 不 趣 菩 提 顯 下 受 持 法 及 說 二 能 趣 
X58n1019_001:0585b18	菩提。又云。須知此之非字乃揀去之辭。揀去住相	菩 提 又 云 須 知 此 之 非 字 乃 揀 去 之 辭 揀 去 住 相 
X58n1019_001:0585b19	布施者。論自云即非是名。遮增益損減邊。何云揀	布 施 者 論 自 云 即 非 是 名 遮 增益損減 邊 何 云 揀 
X58n1019_001:0585b20	住相福德也。青龍乃唐初人也。彼疏亦指無著七	住 相 福 德 也 青 龍 乃 唐 初 人 也 彼 疏 亦 指 無 著 七 
X58n1019_001:0585b21	種義句中文。今謂撿論無文者。得非未善無著論	種 義 句 中 文 今 謂 撿 論 無 文 者 得 非 未 善 無 著 論 
X58n1019_001:0585b22	意乎。	意 乎 
X58n1019_001:0585b23	無著云。此下第八為成熟眾生離十二障礙中為離	無 著 云 此 下 第 八 為 成 熟 眾 生 離 十 二 障 礙 中 為 離 
X58n1019_001:0585b24	捨眾生故。既莊嚴佛土。必不捨眾生。令諸眾生了有	捨 眾 生 故 既 莊 嚴 佛 土 必 不 捨 眾 生 令 諸 眾 生 了 有 
X58n1019_001:0585c01	為法如夢如幻。於欲界舉甚大身者。遣蕩相著。以此	為 法 如 夢 如 幻 於 欲 界 舉 甚 大 身 者 遣 蕩 相 著 以 此 
X58n1019_001:0585c02	成熟未成熟者。	成 熟 未 成 熟 者 
X58n1019_001:0585c03	非曰。彼云莊嚴佛土(至)遣蕩相著者。此非經論意	非 曰 彼 云 莊 嚴 佛 土 至 遣 蕩 相 著 者 此 非 經 論 意 
X58n1019_001:0585c04	也。經意自謂菩薩不見自體為能度。舉喻山王。尚	也 經 意 自 謂 菩 薩 不 見 自 體 為 能 度 舉 喻 山 王 尚 
X58n1019_001:0585c05	不應見其自體。何況餘者。無著自釋云。如來說為	不 應 見 其 自 體 何 況 餘 者 無 著 自 釋 云 如 來 說 為 
X58n1019_001:0585c06	非體者。顯示法無我故。彼體非體者。顯示法體無	非 體 者 顯 示 法 無 我 故 彼 體 非 體 者 顯 示 法 體 無 
X58n1019_001:0585c07	生無作故。却云莊嚴佛土等。有類諺語。認橘作火	生 無 作 故 却 云 莊 嚴 佛 土 等 有 類 諺 語 認 橘 作 火 
X58n1019_001:0585c08	也。	也 
X58n1019_001:0585c09	若天親論。以前莊嚴佛土屬諸所現。以今此大身為	若 天 親 論 以 前 莊 嚴 佛 土 屬 諸 所 現 以 今 此 大 身 為 
X58n1019_001:0585c10	淨土受樂報佛。遣蕩相著。離障斷疑。意不同故。佛不	淨 土 受 樂 報 佛 遣 蕩 相 著 離 障 斷 疑 意 不 同 故 佛 不 
X58n1019_001:0585c11	共力。隨類各解。兩論意別。不可會同。然受樂報佛者。	共 力 隨 類 各 解 兩 論 意 別 不 可 會 同 然 受 樂 報 佛 者 
X58n1019_001:0585c12	即十方淨土諸佛所現大身。受安樂果報。非此娑婆	即 十 方 淨 土 諸 佛 所 現 大 身 受 安 樂 果 報 非 此 娑 婆 
X58n1019_001:0585c13	有九惱事。昔人以此為實報身者。非也。	有 九 惱 事 昔 人 以 此 為 實 報 身 者 非 也 
X58n1019_001:0585c14	非曰。先明論意。後顯其非。論云。聖人無為法得名。	非 曰 先 明 論 意 後 顯 其 非 論 云 聖 人 無 為 法 得 名 
X58n1019_001:0585c15	是法不可取不可說。須菩提遂疑。菩薩莊嚴佛土	是 法 不 可 取 不 可 說 須 菩 提 遂 疑 菩 薩 莊 嚴 佛 土 
X58n1019_001:0585c16	受樂報佛有取。如來先以佛土破之。佛土有二種	受 樂 報 佛 有 取 如 來 先 以 佛 土 破 之 佛 土 有 二 種 
X58n1019_001:0585c17	莊嚴。一形相。二第一義。揀非形相。故云諸佛無有	莊 嚴 一 形 相 二 第 一 義 揀 非 形 相 故 云 諸 佛 無 有 
X58n1019_001:0585c18	莊嚴國土事。次疑受樂報佛。取自法王身。如來以	莊 嚴 國 土 事 次 疑 受 樂 報 佛 取 自 法 王 身 如 來 以 
X58n1019_001:0585c19	須彌山王。鏡像義無取。況諸佛自取法王身。今云。	須 彌 山 王 鏡 像 義 無 取 況 諸 佛 自 取 法 王 身 今 云 
X58n1019_001:0585c20	以前莊嚴佛土。屬諸佛所現故。又云。諸佛所現大	以 前 莊 嚴 佛 土 屬 諸 佛 所 現 故 又 云 諸 佛 所 現 大 
X58n1019_001:0585c21	身受安樂果報。揀非娑婆有九惱事。得非認鷄作	身 受 安 樂 果 報 揀 非 娑 婆 有 九 惱 事 得 非 認 鷄 作 
X58n1019_001:0585c22	鳳也。	鳳 也 
X58n1019_001:0585c23	須菩提譬如人身長大乃至無壽者(云云)。淨覺疏亦	須 菩 提 譬 如 人 身 長 大 乃 至 無 壽 者 云 云 淨 覺 疏 亦 
X58n1019_001:0585c24	不能盡偈文。論意乃云。人身長大者。以法身無相故。	不 能 盡 偈 文 論 意 乃 云 人 身 長 大 者 以 法 身 無 相 故 
X58n1019_001:0586a01	直作法身無相釋此大身。稍有殽訛。今此大身即大	直 作 法 身 無 相 釋 此 大 身 稍 有 殽 訛 今 此 大 身 即 大 
X58n1019_001:0586a02	教說普現色身。若以事驗。即觀音妙音現十界身。此	教 說 普 現 色 身 若 以 事 驗 即 觀 音 妙 音 現 十 界 身 此 
X58n1019_001:0586a03	猶說十界正報色身。更須如華嚴說。入無功用現十	猶 說 十 界 正 報 色 身 更 須 如 華 嚴 說 入 無 功 用 現 十 
X58n1019_001:0586a04	種身。虗空大地無非大身。不妨用大所依體大。故彌	種 身 虗 空 大 地 無 非 大 身 不 妨 用 大 所 依 體 大 故 彌 
X58n1019_001:0586a05	勒偈云。依彼法身佛故。說大身喻。此一住經。如來說	勒 偈 云 依 彼 法 身 佛 故 說 大 身 喻 此 一 住 經 如 來 說 
X58n1019_001:0586a06	盡。諸大菩薩。入淨心地。證道功德。池深華大。世人多	盡 諸 大 菩 薩 入 淨 心 地 證 道 功 德 池 深 華 大 世 人 多 
X58n1019_001:0586a07	以此經為繁。若知意旨。甚為簡要。若不得彌勒二偈	以 此 經 為 繁 若 知 意 旨 甚 為 簡 要 若 不 得 彌 勒 二 偈 
X58n1019_001:0586a08	兩論伸釋。此之經文。幾乎陸沈。	兩 論 伸 釋 此 之 經 文 幾 乎 陸 沈 
X58n1019_001:0586a09	非曰。破淨覺直作法身無相釋此大身云。不得彌	非 曰 破 淨 覺 直 作 法 身 無 相 釋 此 大 身 云 不 得 彌 
X58n1019_001:0586a10	勒二偈。兩論伸釋。此經幾乎陸沈。以作色身事相	勒 二 偈 兩 論 伸 釋 此 經 幾 乎 陸 沈 以 作 色 身 事 相 
X58n1019_001:0586a11	十界正報為大身。切非經論之意。偈云。依彼法身	十 界 正 報 為 大 身 切 非 經 論 之 意 偈 云 依 彼 法 身 
X58n1019_001:0586a12	佛。故說大身喻。又云。非身即是身。是故說大身。天	佛 故 說 大 身 喻 又 云 非 身 即 是 身 是 故 說 大 身 天 
X58n1019_001:0586a13	親論云。非身者無有諸相故。大身者有真如體故。	親 論 云 非 身 者 無 有 諸 相 故 大 身 者 有 真 如 體 故 
X58n1019_001:0586a14	無著云。於彼身中安立非自非佗故。又云。於此大	無 著 云 於 彼 身 中 安 立 非 自 非 佗 故 又 云 於 此 大 
X58n1019_001:0586a15	身等中安立第一義。則二偈兩論。自云真如第一	身 等 中 安 立 第 一 義 則 二 偈 兩 論 自 云 真 如 第 一 
X58n1019_001:0586a16	義。不說十界之身幾。乎陸沈之言。似覺漏逗也。	義 不 說 十 界 之 身 幾 乎 陸 沈 之 言 似 覺 漏 逗 也 
X58n1019_001:0586a17	如來五眼三智同體。所以五眼不說即非。三智中云	如 來 五 眼 三 智 同 體 所 以 五 眼 不 說 即 非 三 智 中 云 
X58n1019_001:0586a18	皆為非心。兼前五眼同體。而遣蕩之。	皆 為 非 心 兼 前 五 眼 同 體 而 遣 蕩 之 
X58n1019_001:0586a19	非曰。注述一端。先須熟精文理。然後操觚。彌勒偈	非 曰 注 述 一 端 先 須 熟 精 文 理 然 後 操 觚 彌 勒 偈 
X58n1019_001:0586a20	云。雖不見諸法。非無了境眼。諸佛五種實。以見彼	云 雖 不 見 諸 法 非 無 了 境 眼 諸 佛 五 種 實 以 見 彼 
X58n1019_001:0586a21	顛倒。云何五眼同體而遣蕩耶。有謂無著論。不妨	顛 倒 云 何 五 眼 同 體 而 遣 蕩 耶 有 謂 無 著 論 不 妨 
X58n1019_001:0586a22	有遣蕩之文。論云。何故不說眼即非也。以一處住	有 遣 蕩 之 文 論 云 何 故 不 說 眼 即 非 也 以 一 處 住 
X58n1019_001:0586a23	故見智淨。後安立第一義故。初亦得成就。自不解	故 見 智 淨 後 安 立 第 一 義 故 初 亦 得 成 就 自 不 解 
X58n1019_001:0586a24	論意。唐青龍氤法師。疏釋此論曰。以後例前。應言	論 意 唐 青 龍 氤 法 師 疏 釋 此 論 曰 以 後 例 前 應 言 
X58n1019_001:0586b01	如來說肉眼即非肉眼。是名肉眼。由安立第一義	如 來 說 肉 眼 即 非 肉 眼 是 名 肉 眼 由 安 立 第 一 義 
X58n1019_001:0586b02	故。彼法無無實體故。無如其名有自體故。不言即	故 彼 法 無 無 實 體 故 無 如 其 名 有 自 體 故 不 言 即 
X58n1019_001:0586b03	非也。又云。遣三心者。此非如來三心也。經云。爾所	非 也 又 云 遣 三 心 者 此 非 如 來 三 心 也 經 云 爾 所 
X58n1019_001:0586b04	國土中所有眾生若干種心。却云如來三智。得非	國 土 中 所 有 眾 生 若 干 種 心 却 云 如 來 三 智 得 非 
X58n1019_001:0586b05	執石作珠也。	執 石 作 珠 也 
X58n1019_001:0586b06	偈文且舉色聲約法揀情。又偈後經文為前蕩法身	偈 文 且 舉 色 聲 約 法 揀 情 又 偈 後 經 文 為 前 蕩 法 身 
X58n1019_001:0586b07	識不能知。又若執著如來因三十二相而得菩提者。	識 不 能 知 又 若 執 著 如 來 因 三十二相 而 得 菩 提 者 
X58n1019_001:0586b08	畢竟其相是色自性故。復遮云莫作是念。	畢 竟 其 相 是 色 自 性 故 復 遮 云 莫 作 是 念 
X58n1019_001:0586b09	非曰。彼意以法身色相俱是遣蕩。偈後經文為遣	非 曰 彼 意 以 法 身 色 相 俱 是 遣 蕩 偈 後 經 文 為 遣 
