T45n1886_001:0707c22	原人論序	原 人 論 序 
T45n1886_001:0708a26	儒道二教說人畜等類，皆是虛無大道生成	儒 道 二 教 說 人 畜 等 類 皆 是 虛 無 大 道 生 成 
T45n1886_001:0708a27	養育。謂道法自然生於元氣，元氣生天地，天	養 育 謂 道 法 自 然 生 於 元 氣 元 氣 生 天 地 天 
T45n1886_001:0708a28	地生萬物，故愚智貴賤貧富苦樂，皆稟於天，	地 生 萬 物 故 愚 智 貴 賤 貧 富 苦 樂 皆 稟 於 天 
T45n1886_001:0708a29	由於時命；故死後却歸天地，復其虛無。然外	由 於 時 命 故 死 後 却 歸 天 地 復 其 虛 無 然 外 
T45n1886_001:0708b01	教宗旨，但在乎依身立行，不在究竟身之元	教 宗 旨 但 在 乎 依 身 立 行 不 在 究 竟 身 之 元 
T45n1886_001:0708b02	由。所說萬物不論象外，雖指大道為本，而不	由 所 說 萬 物 不 論 象 外 雖 指 大 道 為 本 而 不 
T45n1886_001:0708b03	備明順逆起滅染淨因緣，故習者不知是權，	備 明 順 逆 起 滅 染 淨 因 緣 故 習 者 不 知 是 權 
T45n1886_001:0708b04	執之為了。今略舉而詰之。所言萬物皆從虛	執 之 為 了 今 略 舉 而 詰 之 所 言 萬 物 皆 從 虛 
T45n1886_001:0708b05	無大道而生者，大道即是生死賢愚之本，吉	無 大 道 而 生 者 大 道 即 是 生 死 賢 愚 之 本 吉 
T45n1886_001:0708b06	凶禍福之基。基本既其常存，則禍亂凶愚不	凶 禍 福 之 基 基 本 既 其 常 存 則 禍 亂 凶 愚 不 
T45n1886_001:0708b07	可除也，福慶賢善不可益也，何用老莊之教	可 除 也 福 慶 賢 善 不 可 益 也 何 用 老 莊 之 教 
T45n1886_001:0708b08	耶？又道育虎狼、胎桀紂，夭顏冉、禍夷齊，何名	耶 又 道 育 虎 狼 胎 桀 紂 夭 顏 冉 禍 夷 齊 何 名 
T45n1886_001:0708b09	尊乎？又言萬物皆是自然生化非因緣者，則	尊 乎 又 言 萬 物 皆 是 自 然 生 化 非 因 緣 者 則 
T45n1886_001:0708b10	一切無因緣處悉應生化，謂石應生草，草或	一 切 無 因 緣 處 悉 應 生 化 謂 石 應 生 草 草 或 
T45n1886_001:0708b11	生人，人生畜等。又應生無前後，起無早晚，神	生 人 人 生 畜 等 又 應 生 無 前 後 起 無 早 晚 神 
T45n1886_001:0708b12	仙不藉丹藥，太平不藉賢良，仁義不藉教習，	仙 不 藉 丹 藥 太 平 不 藉 賢 良 仁 義 不 藉 教 習 
T45n1886_001:0708b13	老莊周孔何用立教為軌則乎？又言皆從元	老 莊 周 孔 何 用 立 教 為 軌 則 乎 又 言 皆 從 元 
T45n1886_001:0708b14	氣而生成者，則歘生之神未曾習慮，豈得嬰	氣 而 生 成 者 則 歘 生 之 神 未 曾 習 慮 豈 得 嬰 
T45n1886_001:0708b15	孩便能愛惡驕恣焉？若言歘有自然便能隨	孩 便 能 愛 惡 驕 恣 焉 若 言 歘 有 自 然 便 能 隨 
T45n1886_001:0708b16	念愛惡等者，則五德六藝悉能隨念而解，何	念 愛 惡 等 者 則 五 德 六 藝 悉 能 隨 念 而 解 何 
T45n1886_001:0708b17	待因緣學習而成？又若生是稟氣而歘有，死	待 因 緣 學 習 而 成 又 若 生 是 稟 氣 而 歘 有 死 
T45n1886_001:0708b18	是氣散而歘無，則誰為鬼神乎？且世有鑒	是 氣 散 而 歘 無 則 誰 為 鬼 神 乎 且 世 有 鑒 
T45n1886_001:0708b19	達前生追憶往事，則知生前相續，非稟氣而	達 前 生 追 憶 往 事 則 知 生 前 相 續 非 稟 氣 而 
T45n1886_001:0708b20	歘有；又驗鬼神靈知不斷，則知死後非氣散	歘 有 又 驗 鬼 神 靈 知 不 斷 則 知 死 後 非 氣 散 
T45n1886_001:0708b21	而歘無。故祭祀求禱，典藉有文，況死而蘇	而 歘 無 故 祭 祀 求 禱 典 藉 有 文 況 死 而 蘇 
T45n1886_001:0708b22	者說幽途事，或死後感動妻子讎報怨恩，今	者 說 幽 途 事 或 死 後 感 動 妻 子 讎 報 怨 恩 今 
T45n1886_001:0708b23	古皆有耶？外難曰：「若人死為鬼，則古來之鬼	古 皆 有 耶 外 難 曰 若 人 死 為 鬼 則 古 來 之 鬼 
T45n1886_001:0708b24	填塞巷路，合有見者。如何不爾？」答曰：「人死六	填 塞 巷 路 合 有 見 者 如 何 不 爾 答 曰 人 死 六 
T45n1886_001:0708b25	道，不必皆為鬼，鬼死復為人等，豈古來積鬼	道 不 必 皆 為 鬼 鬼 死 復 為 人 等 豈 古 來 積 鬼 
T45n1886_001:0708b26	常存耶？」且天地之氣本無知也，人稟無知之	常 存 耶 且 天 地 之 氣 本 無 知 也 人 稟 無 知 之 
T45n1886_001:0708b27	氣，安得歘起而有知乎？草木亦皆稟氣，何	氣 安 得 歘 起 而 有 知 乎 草 木 亦 皆 稟 氣 何 
T45n1886_001:0708b28	不知乎？又言貧富貴賤賢愚善惡吉凶禍福	不 知 乎 又 言 貧 富 貴 賤 賢 愚 善 惡 吉 凶 禍 福 
T45n1886_001:0708b29	皆由天命者，則天之賦命奚有貧多富少、賤	皆 由 天 命 者 則 天 之 賦 命 奚 有 貧 多 富 少 賤 
T45n1886_001:0708c01	多貴少，乃至禍多福少？苟多少之分在天，	多 貴 少 乃 至 禍 多 福 少 苟 多 少 之 分 在 天 
T45n1886_001:0708c02	天何不平乎？況有無行而貴、守行而賤，無德	天 何 不 平 乎 況 有 無 行 而 貴 守 行 而 賤 無 德 
T45n1886_001:0708c03	而富、有德而貧，逆吉義凶、仁夭暴壽，乃至有	而 富 有 德 而 貧 逆 吉 義 凶 仁 夭 暴 壽 乃 至 有 
T45n1886_001:0708c04	道者喪、無道者興？既皆由天，天乃興不道而	道 者 喪 無 道 者 興 既 皆 由 天 天 乃 興 不 道 而 
T45n1886_001:0708c05	喪道？何有福善益謙之賞，禍淫害盈之罰焉？	喪 道 何 有 福 善 益 謙 之 賞 禍 淫 害 盈 之 罰 焉 
T45n1886_001:0708c06	又既禍亂反逆皆由天命，則聖人設教，責人	又 既 禍 亂 反 逆 皆 由 天 命 則 聖 人 設 教 責 人 
T45n1886_001:0708c07	不責天，罪物不罪命，是不當也！然則《詩》刺亂	不 責 天 罪 物 不 罪 命 是 不 當 也 然 則 詩 刺 亂 
T45n1886_001:0708c08	政，《書》讚王道，《禮》稱安上，《樂》號移風，豈是奉上	政 書 讚 王 道 禮 稱 安 上 樂 號 移 風 豈 是 奉 上 
T45n1886_001:0708c09	天之意，順造化之心乎？是知專此教者，未能	天 之 意 順 造 化 之 心 乎 是 知 專 此 教 者 未 能 
T45n1886_001:0708c10	原人。	原 人 
T45n1886_001:0708c11	斥偏淺第二(習佛不了義教者)	斥 偏 淺 第 二 習 佛 不 了 義 教 者 
T45n1886_001:0708c12	佛教自淺之深，略有五等：一、人天教，二、小乘	佛 教 自 淺 之 深 略 有 五 等 一 人 天 教 二 小 乘 
T45n1886_001:0708c13	教，三、大乘法相教，四、大乘破相教(上四在此篇中)，五、	教 三 大 乘 法 相 教 四 大 乘 破 相 教 上 四 在 此 篇 中 五 
T45n1886_001:0708c14	一乘顯性教(此一在第三篇中)。	一 乘 顯 性 教 此 一 在 第 三 篇 中 
T45n1886_001:0708c15	一、佛為初心人且說三世業報善惡因果，謂	一 佛 為 初 心 人 且 說 三 世 業 報 善 惡 因 果 謂 
T45n1886_001:0708c16	造上品十惡死墮地獄，中品餓鬼，下品畜生。	造 上 品 十 惡 死 墮 地 獄 中 品 餓 鬼 下 品 畜 生 
T45n1886_001:0708c17	故佛且類世五常之教(天竺世教，儀式雖殊，懲惡勸善無別，亦不離仁義等五	故 佛 且 類 世 五 常 之 教 天 竺 世 教 儀 式 雖 殊 懲 惡 勸 善 無 別 亦 不 離 仁 義 等 五 
T45n1886_001:0708c18	常，而有德行可修例。如：此國歛手而舉，吐番散手而垂，皆為禮也)，令持五戒(不殺是仁；不盜是義；	常 而 有 德 行 可 修 例 如 此 國 歛 手 而 舉 吐 番 散 手 而 垂 皆 為 禮 也 令 持 五 戒 不 殺 是 仁 不 盜 是 義 
T45n1886_001:0708c19	不邪淫是禮；不妄語是信；不飲噉酒肉，神氣清潔益於智也)，得免三途、生人道	不 邪 淫 是 禮 不 妄 語 是 信 不 飲 噉 酒 肉 神 氣 清 潔 益 於 智 也 得 免 三 途 生 人 道 
T45n1886_001:0708c20	中。修上品十善及施戒等生六欲天。修四禪	中 修 上 品 十 善 及 施 戒 等 生 六 欲 天 修 四 禪 
T45n1886_001:0708c21	八定生色界、無色界天(題中不標天鬼地獄者，界地不同，見聞不及，凡俗尚不	八 定 生 色 界 無 色 界 天 題 中 不 標 天 鬼 地 獄 者 界 地 不 同 見 聞 不 及 凡 俗 尚 不 
T45n1886_001:0708c22	知末，況肯窮本？故對俗教且標原人。今敘佛經，理宜具列)。故名人天教也(然業有三種：	知 末 況 肯 窮 本 故 對 俗 教 且 標 原 人 今 敘 佛 經 理 宜 具 列 故 名 人 天 教 也 然 業有三種 
T45n1886_001:0708c23	一惡，二善，三不動。報有三時：謂現報，生報，後報)。據此教中，業為身本。今	一 惡 二 善 三 不 動 報 有 三 時 謂 現 報 生 報 後 報 據 此 教 中 業 為 身 本 今 
T45n1886_001:0708c24	詰之曰：既由造業受五道身，未審誰人造業、	詰 之 曰 既 由 造 業 受 五 道 身 未 審 誰 人 造 業 
T45n1886_001:0708c25	誰人受報？若此眼耳手足能造業者，初死之	誰 人 受 報 若 此 眼 耳 手 足 能 造 業 者 初 死 之 
T45n1886_001:0708c26	人眼耳手足宛然，何不見聞造作？若言心作，	人 眼 耳 手 足 宛 然 何 不 見 聞 造 作 若 言 心 作 
T45n1886_001:0708c27	何者是心？若言肉心，肉心有質，繫於身內，	何 者 是 心 若 言 肉 心 肉 心 有 質 繫 於 身 內 
T45n1886_001:0708c28	如何速入眼耳辨外是非？是非不知，因何取	如 何 速 入 眼 耳 辨 外 是 非 是 非 不 知 因 何 取 
T45n1886_001:0709a01	捨？且心與眼耳手足俱為質閡，豈得內外相	捨 且 心 與 眼 耳 手 足 俱 為 質 閡 豈 得 內 外 相 
T45n1886_001:0709a02	通運動應接同造業緣？若言但是喜怒愛惡	通 運 動 應 接 同 造 業 緣 若 言 但 是 喜 怒 愛 惡 
T45n1886_001:0709a03	發動身口令造業者，喜怒等情乍起乍滅，自	發 動 身 口 令 造 業 者 喜 怒 等 情 乍 起 乍 滅 自 
T45n1886_001:0709a04	無其體，將何為主而作業耶？設言不應如此，	無 其 體 將 何 為 主 而 作 業 耶 設 言 不 應 如 此 
T45n1886_001:0709a05	別別推尋，都是我此身心能造業者，此身已	別 別 推 尋 都 是 我 此 身 心 能 造 業 者 此 身 已 
T45n1886_001:0709a06	死誰受苦樂之報？若言死後更有身者，豈有	死 誰 受 苦 樂 之 報 若 言 死 後 更 有 身 者 豈 有 
T45n1886_001:0709a07	今日身心造罪修福，令他後世身心受苦受	今 日 身 心 造 罪 修 福 令 他 後 世 身 心 受 苦 受 
T45n1886_001:0709a08	樂？據此則修福者屈甚，造罪者幸甚，如何神	樂 據 此 則 修 福 者 屈 甚 造 罪 者 幸 甚 如 何 神 
T45n1886_001:0709a09	理如此無道？故知但習此教者，雖信業緣，不	理 如 此 無 道 故 知 但 習 此 教 者 雖 信 業 緣 不 
T45n1886_001:0709a10	達身本。	達 身 本 
T45n1886_001:0709a11	二、小乘教者，說形骸之色、思慮之心，從無始	二 小 乘 教 者 說 形 骸 之 色 思 慮 之 心 從 無 始 
T45n1886_001:0709a12	來因緣力故，念念生滅相續無窮。如水涓涓，	來 因 緣 力 故 念念生滅 相 續 無 窮 如 水 涓 涓 
T45n1886_001:0709a13	如燈焰焰，身心假合似一似常，凡愚不覺執	如 燈 焰 焰 身 心 假 合 似 一 似 常 凡 愚 不 覺 執 
T45n1886_001:0709a14	之為我。寶此我故，即起貪(貪名利以榮我)、瞋(瞋違情境恐侵害我)、癡	之 為 我 寶 此 我 故 即 起 貪 貪 名 利 以 榮 我 瞋 瞋 違 情 境 恐 侵 害 我 癡 
T45n1886_001:0709a15	(非理計校)等三毒。三毒擊意，發動身口造一切業。	 非 理 計 校 等 三 毒 三 毒 擊 意 發 動 身 口 造 一 切 業 
T45n1886_001:0709a16	業成難逃，故受五道苦樂等身(別業所感)，三界勝劣	業 成 難 逃 故 受 五 道 苦 樂 等 身 別 業 所 感 三 界 勝 劣 
T45n1886_001:0709a17	等處(共業所感)。於所受身還執為我，還起貪等造業	等 處 共 業 所 感 於 所 受 身 還 執 為 我 還 起 貪 等 造 業 
T45n1886_001:0709a18	受報。身則生老病死，死而復生。界則成住壞	受 報 身 則 生老病死 死 而 復 生 界 則 成 住 壞 
T45n1886_001:0709a19	空，空而復成(從空劫初成世界者，頌曰：空界大風起，傍廣數無量，厚十六洛叉，金剛不能壞。	空 空 而 復 成 從 空 劫 初 成 世 界 者 頌 曰 空 界 大 風 起 傍 廣 數 無 量 厚 十 六 洛 叉 金 剛 不 能 壞 
T45n1886_001:0709a20	此名持界風。光音金藏雲，布及三千界，雨如車軸下，風遏不聽流，深十一洛叉，始作金剛界。次第金藏雲，注雨	此 名 持 界 風 光 音 金 藏 雲 布 及 三 千 界 雨 如 車 軸 下 風 遏 不 聽 流 深 十 一 洛 叉 始 作 金 剛 界 次 第 金 藏 雲 注 雨 
T45n1886_001:0709a21	滿其內，先成梵王界，乃至夜摩天。風鼓清水成，須彌七金等，滓濁為山地，四洲及泥犁，鹹海外輪圍，方名器界	滿 其 內 先 成 梵 王 界 乃 至 夜 摩 天 風 鼓 清 水 成 須 彌 七 金 等 滓 濁 為 山 地 四 洲 及 泥 犁 鹹 海 外 輪 圍 方 名 器 界 
T45n1886_001:0709a22	立。時經一增減，乃至二禪福，盡下生人間。初食地餅林藤，後粳米不銷，大小便利，男女形別，分田立主求臣佐，	立 時 經 一 增 減 乃 至 二 禪 福 盡 下 生 人 間 初 食 地 餅 林 藤 後 粳 米 不 銷 大小便利 男 女 形 別 分 田 立 主 求 臣 佐 
T45n1886_001:0709a23	種種差別。經十九增減，兼前總二十增減，名為成劫。議曰：空界劫中，是道教指云虛無之道，然道體寂照靈通，	種種差別 經 十 九 增 減 兼 前 總 二 十 增 減 名 為 成 劫 議 曰 空 界 劫 中 是 道 教 指 云 虛 無 之 道 然 道 體 寂 照 靈 通 
T45n1886_001:0709a24	不是虛無，老氏或迷之、或權設，務絕人欲，故指空界為道。空界中大風，即彼混沌一氣，故彼云道生一也。金藏	不 是 虛 無 老 氏 或 迷 之 或 權 設 務 絕 人 欲 故 指 空 界 為 道 空 界 中 大 風 即 彼 混 沌 一 氣 故 彼 云 道 生 一 也 金 藏 
T45n1886_001:0709a25	雲者，氣形之始，即太極也。雨下不流，陰氣凝也。陰陽相合，方能生成矣！梵王界乃至須彌者，彼之天也，滓濁	雲 者 氣 形 之 始 即 太 極 也 雨 下 不 流 陰 氣 凝 也 陰 陽 相 合 方 能 生 成 矣 梵 王 界 乃 至 須 彌 者 彼 之 天 也 滓 濁 
T45n1886_001:0709a26	者地，即一生二矣！二禪福盡下生，即人也。即二生三，三才備矣！地餅已下乃至種種，即三生萬物。此當三皇已	者 地 即 一 生 二 矣 二 禪 福 盡 下 生 即 人 也 即 二 生 三 三 才 備 矣 地 餅 已 下 乃 至 種 種 即 三 生 萬 物 此 當 三 皇 已 
T45n1886_001:0709a27	前穴居野食，未有火化等，但以其時無文字記載故，後人傳聞不明，展轉錯謬，諸家著作種種異說。佛教又緣通明	前 穴 居 野 食 未 有 火 化 等 但 以 其 時 無 文 字 記 載 故 後 人 傳 聞 不 明 展 轉 錯 謬 諸 家 著 作 種 種 異 說 佛 教 又 緣 通 明 
T45n1886_001:0709b01	三千世界，不局大唐，故內外教文不全同也。住者住劫，亦經二十增減。壞者壞劫，亦二十增減，前十九增減壞有	三千世界 不 局 大 唐 故 內 外 教 文 不 全 同 也 住 者 住 劫 亦 經 二 十 增 減 壞 者 壞 劫 亦 二 十 增 減 前 十 九 增 減 壞 有 
T45n1886_001:0709b02	情，後一增減壞器界，能壞是火水風等三災。空者空劫，亦二十增減，中空無世界及諸有情也)。劫劫	情 後 一 增 減 壞 器 界 能 壞 是 火 水 風 等 三 災 空 者 空 劫 亦 二 十 增 減 中 空 無 世 界 及 諸 有 情 也 劫 劫 
T45n1886_001:0709b03	生生輪迴不絕，無終無始如汲井輪(道教只知今此世界未成	生 生 輪 迴 不 絕 無 終 無 始 如 汲 井 輪 道 教 只 知 今 此 世 界 未 成 
T45n1886_001:0709b04	時一度空劫，云虛無、混沌、一氣等，名為元始。不知空界已前，早經千千萬萬遍成住壞空，終而復始。故知佛教法中，	時 一 度 空 劫 云 虛 無 混 沌 一 氣 等 名 為 元 始 不 知 空 界 已 前 早 經 千 千 萬 萬 遍 成 住 壞 空 終 而 復 始 故 知 佛 教 法 中 
T45n1886_001:0709b05	小乘淺淺之教，已超外典深深之說)，都由不了此身本不是我，不是	小 乘 淺 淺 之 教 已 超 外 典 深 深 之 說 都 由 不 了 此 身 本 不 是 我 不 是 
T45n1886_001:0709b06	我者，謂此身本因色心和合為相。今推尋分	我 者 謂 此 身 本 因 色 心 和 合 為 相 今 推 尋 分 
T45n1886_001:0709b07	析，色有地水火風之四大，心有受(能領納好惡之事)、想	析 色 有 地水火風 之 四 大 心 有 受 能 領 納 好 惡 之 事 想 
T45n1886_001:0709b08	(能取像者)、行(能造作者念念遷流)、識(能了別者)之四蘊。若皆是我，即	 能 取 像 者 行 能 造 作 者 念 念 遷 流 識 能 了 別 者 之 四 蘊 若 皆 是 我 即 
T45n1886_001:0709b09	成八我，況地大中復有眾多？謂三百六十段	成 八 我 況 地 大 中 復 有 眾 多 謂 三 百 六 十 段 
T45n1886_001:0709b10	骨，一一各別。皮毛筋肉肝心脾腎，各不相	骨 一 一 各 別 皮 毛 筋 肉 肝 心 脾 腎 各 不 相 
T45n1886_001:0709b11	是。諸心數等亦各不同。見不是聞，喜不是怒，	是 諸 心 數 等 亦 各 不 同 見 不 是 聞 喜 不 是 怒 
T45n1886_001:0709b12	展轉乃至八萬四千塵勞。既有此眾多之物，	展 轉 乃 至 八萬四千 塵 勞 既 有 此 眾 多 之 物 
T45n1886_001:0709b13	不知定取何者為我？若皆是我，我即百千。一	不 知 定 取 何 者 為 我 若 皆 是 我 我 即 百 千 一 
T45n1886_001:0709b14	身之中，多主紛亂。離此之外，復無別法。翻覆	身 之 中 多 主 紛 亂 離 此 之 外 復 無 別 法 翻 覆 
T45n1886_001:0709b15	推我，皆不可得。便悟此身，但是眾緣，似和合	推 我 皆 不 可 得 便 悟 此 身 但 是 眾 緣 似 和 合 
T45n1886_001:0709b16	相，元無我人，為誰貪瞋？為誰殺盜施戒(知苦諦也)？	相 元 無 我 人 為 誰 貪 瞋 為 誰 殺 盜 施 戒 知 苦 諦 也 
T45n1886_001:0709b17	遂不滯心於三界有漏善惡(斷集諦也)；但修無我觀	遂 不 滯 心 於 三 界 有 漏 善 惡 斷 集 諦 也 但 修 無 我 觀 
T45n1886_001:0709b18	智(道諦)；以斷貪等，止息諸業；證得我空真如(滅諦)，乃	智 道 諦 以 斷 貪 等 止 息 諸 業 證 得 我 空 真 如 滅 諦 乃 
T45n1886_001:0709b19	至得阿羅漢果，灰身滅智方斷諸苦。據此宗	至得阿羅漢果 灰 身 滅 智 方 斷 諸 苦 據 此 宗 
T45n1886_001:0709b20	中，以色心二法及貪瞋癡，為根身器界之本	中 以 色 心 二 法 及 貪 瞋 癡 為 根 身 器 界 之 本 
T45n1886_001:0709b21	也，過去未來更無別法為本。今詰之曰，夫經	也 過去未來 更 無 別 法 為 本 今 詰 之 曰 夫 經 
T45n1886_001:0709b22	生累世為身本者，自體須無間斷。今五識闕	生 累 世 為 身 本 者 自 體 須 無 間 斷 今 五 識 闕 
T45n1886_001:0709b23	緣不起(根境等為緣)，意識有時不行(悶絕、睡眠、滅盡定、無想定、無想天)，無	緣 不 起 根 境 等 為 緣 意 識 有 時 不 行 悶 絕 睡 眠 滅 盡 定 無 想 定 無 想 天 無 
T45n1886_001:0709b24	色界天無此四大，如何持得此身，世世不絕？	色 界 天 無 此 四 大 如 何 持 得 此 身 世 世 不 絕 
T45n1886_001:0709b25	是知專此教者，亦未原身。	是 知 專 此 教 者 亦 未 原 身 
T45n1886_001:0709b26	三、大乘法相教者，說一切有情無始已來，法	三 大 乘 法 相 教 者 說 一切有情 無始已來 法 
T45n1886_001:0709b27	爾有八種識。於中第八阿賴耶識，是其根本，	爾 有 八 種 識 於 中 第 八 阿賴耶識 是 其 根 本 
T45n1886_001:0709b28	頓變根身器界種子。轉生七識，皆能變現自	頓 變 根 身 器 界 種 子 轉 生 七 識 皆 能 變 現 自 
T45n1886_001:0709c01	分所緣，都無實法。如何變耶？謂我法分別熏	分 所 緣 都 無 實 法 如 何 變 耶 謂 我 法 分 別 熏 
T45n1886_001:0709c02	習力故，諸識生時變似我法，第六七識無明	習 力 故 諸 識 生 時 變 似 我 法 第 六 七 識 無 明 
T45n1886_001:0709c03	覆故，緣此執為實我實法。如患(重病心惛，見異色人物也)、夢	覆 故 緣 此 執 為 實 我 實 法 如 患 重 病 心 惛 見 異 色 人 物 也 夢 
T45n1886_001:0709c04	(夢想所見、可知)者，患夢力故，心似種種外境相現，夢	 夢 想 所 見 可 知 者 患 夢 力 故 心 似 種 種 外 境 相 現 夢 
T45n1886_001:0709c05	時執為實有外物，寤來方知唯夢所變。我身	時 執 為 實 有 外 物 寤 來 方 知 唯 夢 所 變 我 身 
T45n1886_001:0709c06	亦爾，唯識所變，迷故執有我及諸境，由此起	亦 爾 唯 識 所 變 迷 故 執 有 我 及 諸 境 由 此 起 
T45n1886_001:0709c07	惑造業，生死無窮(廣如前說)。悟解此理，方知我身	惑 造 業 生 死 無 窮 廣 如 前 說 悟 解 此 理 方 知 我 身 
T45n1886_001:0709c08	唯識所變，識為身本(不了之義，如後所破)。	唯 識 所 變 識 為 身 本 不 了 之 義 如 後 所 破 
T45n1886_001:0709c09	四、大乘破相教者，破前大小乘法相之執，密	四 大 乘 破 相 教 者 破 前 大 小 乘 法 相 之 執 密 
T45n1886_001:0709c10	顯後真性空寂之理(破相之談，不唯諸部般若，遍在大乘經。前之三教依次先後，此	顯 後 真 性 空 寂 之 理 破 相 之 談 不 唯 諸 部 般 若 遍 在 大 乘 經 前 之 三 教 依 次 先 後 此 
T45n1886_001:0709c11	教隨執即破，無定時節。故龍樹立二種般若：一共，二不共。共者，二乘同聞信解，破二乘法執故。不共者，唯菩薩	教 隨 執 即 破 無 定 時 節 故 龍 樹 立 二 種 般 若 一 共 二 不 共 共 者 二 乘 同 聞 信 解 破 二 乘 法 執 故 不 共 者 唯 菩 薩 
T45n1886_001:0709c12	解，密顯佛性故。故天竺戒賢、智光二論師，各立三時教，指此空教，或云在唯識法相之前，或云在後。今意取後)。	解 密 顯 佛 性 故 故 天 竺 戒 賢 智 光 二 論 師 各 立 三 時 教 指 此 空 教 或 云 在 唯 識 法 相 之 前 或 云 在 後 今 意 取 後 
T45n1886_001:0709c13	將欲破之，先詰之曰：所變之境既妄，能變之	將 欲 破 之 先 詰 之 曰 所 變 之 境 既 妄 能 變 之 
T45n1886_001:0709c14	識豈真？若言一有一無者(此下却將彼喻破之)，則夢想與	識 豈 真 若 言 一 有 一 無 者 此 下 却 將 彼 喻 破 之 則 夢 想 與 
T45n1886_001:0709c15	所見物應異，異則夢不是物，物不是夢。寐	所 見 物 應 異 異 則 夢 不 是 物 物 不 是 夢 寐 
T45n1886_001:0709c16	來夢滅，其物應在。又物若非夢，應是真物；夢	來 夢 滅 其 物 應 在 又 物 若 非 夢 應 是 真 物 夢 
