X16n0308_001:0012a03	 續夢始末	 續 夢 始 末 
X16n0308_001:0012c14	解。辨脈尋源。無偕交光。今為接引初機。漸入堂奧。	解 辨 脈 尋 源 無 偕 交 光 今 為 接 引 初 機 漸 入 堂 奧 
X16n0308_001:0012c15	異彼舊說。恐駭新聞。宜強周覽。勿輕間然。	異 彼 舊 說 恐 駭 新 聞 宜 強 周 覽 勿 輕 間 然 
X16n0308_001:0012c16	是疏自名指掌。取其明而且易。不避訓詁。或涉繁	是 疏 自 名 指 掌 取 其 明 而 且 易 不 避 訓 詁 或 涉 繁 
X16n0308_001:0012c17	蔓。智果超方。以任捨繁從要。立尚扶壁。且須由粗	蔓 智 果 超 方 以 任 捨 繁 從 要 立 尚 扶 壁 且 須 由 粗 
X16n0308_001:0012c18	入微。勿嫌摘葉尋枝。莫便掛一漏十。	入 微 勿 嫌 摘 葉 尋 枝 莫 便 掛 一 漏 十 
X16n0308_001:0012c19	(通理)資愧學知。智無兼人。未能徧扣高明。博覽古	 通 理 資 愧 學 知 智 無 兼 人 未 能 徧 扣 高 明 博 覽 古 
X16n0308_001:0012c20	著。疏中一言一句。多自胸襟流出。不善他文。未敢	著 疏 中 一 言 一 句 多 自 胸 襟 流 出 不 善 他 文 未 敢 
X16n0308_001:0012c21	輙入。非有揀棄。勿強是非。	輙 入 非 有 揀 棄 勿 強 是 非 
X16n0308_001:0012c22	全經脈絡。有綱有目。目中復有綱目。如世祖父子	全 經 脈 絡 有 綱 有 目 目 中 復 有 綱 目 如 世 祖 父 子 
X16n0308_001:0012c23	孫。展轉相生。曾無少紊。若綱之與綱。目之與目。則	孫 展轉相生 曾 無 少 紊 若 綱 之 與 綱 目 之 與 目 則 
X16n0308_001:0012c24	如兄弟相次。先後適宜。依此分科。自有層次。楞嚴	如 兄 弟 相 次 先 後 適 宜 依 此 分 科 自 有 層 次 楞 嚴 
X16n0308_001:0013a01	正脈。頗得此訣。今疏倣之。但交師分析過甚。多於	正 脈 頗 得 此 訣 今 疏 倣 之 但 交 師 分 析 過 甚 多 於 
X16n0308_001:0013a02	應續反斷。初學不察。致義失貫。今疏別之。	應 續 反 斷 初 學 不 察 致 義 失 貫 今 疏 別 之 
X16n0308_001:0013a03	是疏為避繁分。間有一科之中。含攝三二意者。若	是 疏 為 避 繁 分 間 有 一 科 之 中 含 攝 三 二 意 者 若 
X16n0308_001:0013a04	不眉目。莫決斷連。因於本文用○斷之。至疏中各	不 眉 目 莫 決 斷 連 因 於 本 文 用 斷 之 至 疏 中 各 
X16n0308_001:0013a05	標其意。如起首則曰初某意。釋竟又曰某某下某	標 其 意 如 起 首 則 曰 初 某 意 釋 竟 又 曰 某 某 下 某 
X16n0308_001:0013a06	意等。庶不至繁分而節旨判然。	意 等 庶 不 至 繁 分 而 節 旨 判 然 
X16n0308_001:0013a07	古疏隨文科目。多不俱提。如一科分三。但標初科。	古 疏 隨 文 科 目 多 不 俱 提 如 一 科 分 三 但 標 初 科 
X16n0308_001:0013a08	即復曲分。或入文。殊令初學艱於檢對。今遵彌陀	即 復 曲 分 或 入 文 殊 令 初 學 艱 於 檢 對 今 遵 彌 陀 
X16n0308_001:0013a09	疏鈔科式。分已俱標。標已取次會文。疏訖仍結某	疏 鈔 科 式 分 已 俱 標 標 已 取 次 會 文 疏 訖 仍 結 某 
X16n0308_001:0013a10	某科竟。若相鄰甚近者則不復結。為便觀覽。不至	某 科 竟 若 相 鄰 甚 近 者 則 不 復 結 為 便 觀 覽 不 至 
X16n0308_001:0013a11	翻前揭後。	翻 前 揭 後 
X16n0308_001:0013a12	楞嚴正脈。交師用甲乙等字以別科目層次。伯亭	楞 嚴 正 脈 交 師 用 甲 乙 等 字 以 別 科 目 層 次 伯 亭 
X16n0308_001:0013a13	老人。亦多承用。今疏全標科目。且疏竟仍結。前後	老 人 亦 多 承 用 今 疏 全 標 科 目 且 疏 竟 仍 結 前 後 
X16n0308_001:0013a14	次第。顯然可見。故不更置甲乙等字。	次 第 顯 然 可 見 故 不 更 置 甲 乙 等 字 
X16n0308_001:0013a15	一音圓被。異解各呈。杵臼繩箕。共說象身之似。鵠	一 音 圓 被 異 解 各 呈 杵 臼 繩 箕 共 說 象 身 之 似 鵠 
X16n0308_001:0013a16	雪貝稻。孰明乳色之真。因枝尋本。各選其由。入道	雪 貝 稻 孰 明 乳 色 之 真 因 枝 尋 本 各 選 其 由 入 道 
X16n0308_001:0013a17	從緣。不一而足。勿謂本疏多事。有礙此經廣傳。	從 緣 不 一 而 足 勿 謂 本 疏 多 事 有 礙 此 經 廣 傳 
X16n0308_001:0013a18	古德著疏。間有與私意相符者。亦微有採掇。若全	古 德 著 疏 間 有 與 私 意 相 符 者 亦 微 有 採 掇 若 全 
X16n0308_001:0013a19	用其語。則標以名字。如言正脈云等。若少有更換。	用 其 語 則 標 以 名 字 如 言 正 脈 云 等 若 少 有 更 換 
X16n0308_001:0013a20	則標唯義取。如言正脈義云等。蓋不敢掩古之善	則 標 唯 義 取 如 言 正 脈 義 云 等 蓋 不 敢 掩 古 之 善 
X16n0308_001:0013a21	也。	也 
X16n0308_001:0013a22	金鍮並列。玉石互陳。具眼者自能辨識。不在抑揚。	金 鍮 並 列 玉 石 互 陳 具 眼 者 自 能 辨 識 不 在 抑 揚 
X16n0308_001:0013a23	按正脈立義雖精。駮古太甚。致令後學。一味在是	按 正 脈 立 義 雖 精 駮 古 太 甚 致 令 後 學 一 味 在 是 
X16n0308_001:0013a24	非裏卜度。不知向關節處跟尋。迷本昧源。其失非	非 裏 卜 度 不 知 向 關 節 處 跟 尋 迷 本 昧 源 其 失 非 
X16n0308_001:0013b01	細。故今疏惟竊取其義。而執戈欲鬬之詞槩不敢	細 故 今 疏 惟 竊 取 其 義 而 執 戈 欲 鬬 之 詞 槩 不 敢 
X16n0308_001:0013b02	用。又正脈於難處過詳。於易處過略。唯逗利智。不	用 又 正 脈 於 難 處 過 詳 於 易 處 過 略 唯 逗 利 智 不 
X16n0308_001:0013b03	接鈍根。今疏於難處不過指授分明。於易處亦必	接 鈍 根 今 疏 於 難 處 不 過 指 授 分 明 於 易 處 亦 必 
X16n0308_001:0013b04	略用敷演。為令三根俱被。利鈍咸宜。	略 用 敷 演 為 令 三 根 俱 被 利 鈍 咸 宜 
X16n0308_001:0013b10	楞嚴經指掌疏卷一	楞 嚴 經 指 掌 疏 卷 一 
X16n0308_001:0013b12	京都拈華寺賢宗後學達天通理敬述	京 都 拈 華 寺 賢 宗 後 學 達 天 通 理 敬 述 
X16n0308_001:0013b13	嗣法門人(興宗祖旺謄清懷仁祖毓較字)	嗣 法 門 人 興 宗 祖 旺 謄 清 懷 仁 祖 毓 較 字 
X16n0308_001:0013b14	第九總釋名題者。謂名者實之賓。題者經之綱。一	第 九 總 釋 名 題 者 謂 名 者 實 之 賓 題 者 經 之 綱 一 
X16n0308_001:0013b15	經大義。萃在名題。故言總釋。謂總釋一經大義於	經 大 義 萃 在 名 題 故 言 總 釋 謂 總 釋 一 經 大 義 於 
X16n0308_001:0013b16	名題中也。又名謂能譯人名。題謂所譯經題。而言	名 題 中 也 又 名 謂 能 譯 人 名 題 謂 所 譯 經 題 而 言 
X16n0308_001:0013b17	總釋者。謂人名經題以總釋之也。即分為二。	總 釋 者 謂 人 名 經 題 以 總 釋 之 也 即 分 為 二 
X16n0308_001:0013b18	一經題二譯人。初。	一 經 題 二 譯 人 初 
X16n0308_001:0013b19	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經	大 佛 頂 如 來 密 因 修 證 了 義 諸 菩 薩 萬 行 首 楞 嚴 經 
X16n0308_001:0013b20	卷第一	卷 第 一 
X16n0308_001:0013b21	釋此經題。略作五義。一先會五名。二正釋現題。三	釋 此 經 題 略 作 五 義 一 先 會 五 名 二 正 釋 現 題 三 
X16n0308_001:0013b22	略備古法。四重申西名。五附釋卷次。初。	略 備 古 法 四 重 申 西 名 五 附 釋 卷 次 初 
X16n0308_001:0013b23	按經中佛自所說。有五種題名。一曰大佛頂悉怛	按 經 中 佛 自 所 說 有 五 種 題 名 一 曰 大 佛 頂 悉 怛 
X16n0308_001:0013b24	多般怛羅無上寶印。十方如來清淨海眼。(正脈云。境智為	多 般 怛 羅 無 上 寶 印 十 方 如 來 清 淨 海 眼 正 脈 云 境 智 為 
X16n0308_001:0013c01	名。謂大等是境。十方下屬智)二曰救護親因。度脫阿難。及此會	名 謂 大 等 是 境 十 方 下 屬 智 二 曰 救 護 親 因 度 脫 阿 難 及 此 會 
X16n0308_001:0013c02	中性比丘尼。得菩提心。入徧知海。(正脈云。機益為名。謂阿難性尼	中 性 比 丘 尼 得 菩 提 心 入 徧 知 海 正 脈 云 機 益 為 名 謂 阿 難 性 尼 
X16n0308_001:0013c03	為機。得菩提等是益)三曰如來密因。修證了義。(正脈云。性修為名。以如來	為 機 得 菩 提 等 是 益 三 曰 如 來 密 因 修 證 了 義 正 脈 云 性 修 為 名 以 如 來 
X16n0308_001:0013c04	密因屬性具。修證了義屬修得)四曰大方廣妙蓮華王。十方佛母	密 因 屬 性 具 修 證 了 義 屬 修 得 四 曰 大 方 廣 妙 蓮 華 王 十 方 佛 母 
X16n0308_001:0013c05	陀羅尼呪。(正脈云。要妙為名。蓋上七字為顯為最妙。下八字為密為最要)五曰灌	陀羅尼呪 正 脈 云 要 妙 為 名 蓋 上 七 字 為 顯 為 最 妙 下 八 字 為 密 為 最 要 五 曰 灌 
X16n0308_001:0013c06	頂章句。諸菩薩萬行首楞嚴。(正脈云。因果為名。以菩薩萬行為因。首楞	頂 章 句 諸 菩 薩 萬 行 首 楞 嚴 正 脈 云 因 果 為 名 以 菩 薩 萬 行 為 因 首 楞 
X16n0308_001:0013c07	嚴即果也)今此題者。於五名中略取十九字。擇要該廣。	嚴 即 果 也 今 此 題 者 於 五 名 中 略 取 十 九 字 擇 要 該 廣 
X16n0308_001:0013c08	次第攝經。乃結集者善巧所成。二正釋現題四。	次 第 攝 經 乃 結 集 者 善 巧 所 成 二 正 釋 現 題 四 
X16n0308_001:0013c09	一指法宗體。即大之一字也。所言大者。即眾生心。	一 指 法 宗 體 即 大 之 一 字 也 所 言 大 者 即 眾 生 心 
X16n0308_001:0013c10	是心則攝一切世間出世間法。故稱為大。在華嚴	是 心 則 攝 一切世間 出世間法 故 稱 為 大 在 華 嚴 
X16n0308_001:0013c11	即一真法界。而一真法界。該四法界。統攝乎因因	即 一 真 法 界 而 一 真 法 界 該 四 法 界 統 攝 乎 因 因 
X16n0308_001:0013c12	果果。無量妙門。無邊妙義。不其大乎。諸經或目為	果 果 無 量 妙 門 無 邊 妙 義 不 其 大 乎 諸 經 或 目 為 
X16n0308_001:0013c13	實相。或目為佛性。或目為圓覺。或目為真如等。其	實 相 或 目 為 佛 性 或 目 為 圓 覺 或 目 為 真 如 等 其 
X16n0308_001:0013c14	實皆一心也。在本經即如來藏心。而如來藏心。非	實 皆 一 心 也 在 本 經 即 如來藏心 而 如來藏心 非 
X16n0308_001:0013c15	一切法。一切法莫能收攝。即一切法。一切法莫能	一 切 法 一 切 法 莫 能 收 攝 即 一 切 法 一 切 法 莫 能 
X16n0308_001:0013c16	逃遁。離即離非。是即非即。言語道斷。心行處滅。不	逃 遁 離 即 離 非 是 即 非 即 言語道斷 心行處滅 不 
X16n0308_001:0013c17	得已強名為大。非對小言大。以對小言大。則大有	得 已 強 名 為 大 非 對 小 言 大 以 對 小 言 大 則 大 有 
X16n0308_001:0013c18	分限。非真大故。亦非先小後大。以先小後大。則大	分 限 非 真 大 故 亦 非 先 小 後 大 以 先 小 後 大 則 大 
X16n0308_001:0013c19	有始終。非本大故。是知此大。十方無盡。三際莫窮。	有 始 終 非 本 大 故 是 知 此 大 十 方 無 盡 三 際 莫 窮 
X16n0308_001:0013c20	在迷為如來密因。在悟為修證了義。在因為菩薩	在 迷 為 如 來 密 因 在 悟 為 修 證 了 義 在 因 為 菩 薩 
X16n0308_001:0013c21	萬行。在果為首楞嚴王。一經要妙。不出此宗。十界	萬 行 在 果 為 首 楞 嚴 王 一 經 要 妙 不 出 此 宗 十 界 
X16n0308_001:0013c22	紐樞。無踰茲體。以之冠首。良有以焉。	紐 樞 無 踰 茲 體 以 之 冠 首 良 有 以 焉 
X16n0308_001:0013c23	二顯法勝妙。即佛頂二字。所言佛頂者。即肉髻相	二 顯 法 勝 妙 即 佛 頂 二 字 所 言 佛 頂 者 即 肉 髻 相 
X16n0308_001:0013c24	上無見頂也。肉髻相。為三十二相之一。在青螺紺	上 無 見 頂 也 肉 髻 相 為 三十二相 之 一 在 青 螺 紺 
X16n0308_001:0014a01	髮正中。如春山吐日。而頂不可見。如佛初降生。嵐	髮 正 中 如 春 山 吐 日 而 頂 不 可 見 如 佛 初 降 生 嵐 
X16n0308_001:0014a02	毗尼林神。為佛乳母。捧持諦觀。不見其頂。又佛成	毗 尼 林 神 為 佛 乳 母 捧 持 諦 觀 不 見 其 頂 又 佛 成 
X16n0308_001:0014a03	道後。遊波羅奈。東方應持菩薩。欲窮佛頂。上歷沙	道 後 遊 波 羅 奈 東 方 應 持 菩 薩 欲 窮 佛 頂 上 歷 沙 
X16n0308_001:0014a04	界。終不能見。乃八十隨好之一。無見頂好也。用斯	界 終 不 能 見 乃 八十隨好 之 一 無 見 頂 好 也 用 斯 
X16n0308_001:0014a05	顯法者。略有二義。一佛頂最勝無上。顯此法最勝。	顯 法 者 略 有 二 義 一 佛 頂 最 勝 無 上 顯 此 法 最 勝 
X16n0308_001:0014a06	依之修習。直趣無上菩提故。二佛頂最妙無見。顯	依 之 修 習 直 趣 無上菩提 故 二 佛 頂 最 妙 無 見 顯 
X16n0308_001:0014a07	此法至妙。唯佛究盡。一切所不能了故。又上但顯	此 法 至 妙 唯 佛 究 盡 一 切 所 不 能 了 故 又 上 但 顯 
X16n0308_001:0014a08	大。此復顯其勝妙。蓋直指法體為大為佛頂耳。又	大 此 復 顯 其 勝 妙 蓋 直 指 法 體 為 大 為 佛 頂 耳 又 
X16n0308_001:0014a09	佛頂亦可作喻。但不如直指之為親也。	佛 頂 亦 可 作 喻 但 不 如 直 指 之 為 親 也 
X16n0308_001:0014a10	三別出義相曲分四。	三 別 出 義 相 曲 分 四 
X16n0308_001:0014a11	一正因密熏。即如來密因句也。如來者。十號之一。	一 正 因 密 熏 即 如 來 密 因 句 也 如 來 者 十 號 之 一 
X16n0308_001:0014a12	倣同先德號。釋有二義。一隨相釋。謂佛佛道同。後	倣 同 先 德 號 釋 有 二 義 一 隨 相 釋 謂 佛 佛 道 同 後 
X16n0308_001:0014a13	佛出世。宛同先佛再來。故名如來。二入理釋。隨教	佛 出 世 宛 同 先 佛 再 來 故 名 如 來 二 入 理 釋 隨 教 
X16n0308_001:0014a14	淺深。難盡多種。今據終實。謂如為本覺。來為始覺。	淺 深 難 盡 多 種 今 據 終 實 謂 如 為 本 覺 來 為 始 覺 
X16n0308_001:0014a15	始覺究竟。即同本故。亦倣同先德義也。對下菩薩。	始 覺 究 竟 即 同 本 故 亦 倣 同 先 德 義 也 對 下 菩 薩 
X16n0308_001:0014a16	即是果人。乃諸菩薩道後之號。密因者。即正因佛	即 是 果 人 乃 諸 菩 薩 道 後 之 號 密 因 者 即 正 因 佛 
X16n0308_001:0014a17	性。眾生等有。迷而不知。雖迷而不知。由內熏力故。	性 眾 生 等 有 迷 而 不 知 雖 迷 而 不 知 由 內 熏 力 故 
X16n0308_001:0014a18	遇緣信發。究竟可以成佛。正以可成佛故。名如來	遇 緣 信 發 究 竟 可 以 成 佛 正 以 可 成 佛 故 名 如 來 
X16n0308_001:0014a19	因。在迷不知故。復名為密。又因稱如來。復名為密	因 在 迷 不 知 故 復 名 為 密 又 因 稱 如 來 復 名 為 密 
X16n0308_001:0014a20	者。為遣兩種人過。一如來二字。遣小教二乘。抱迷	者 為 遣 兩 種 人 過 一 如 來 二 字 遣 小 教 二 乘 抱 迷 
X16n0308_001:0014a21	絕分之過。以彼不達即心即佛。自甘絕分。一向沈	絕 分 之 過 以 彼 不 達 即 心 即 佛 自 甘 絕 分 一 向 沈 
X16n0308_001:0014a22	空。今聞因即如來。頓然夢覺醉醒。迴小向大。成佛	空 今 聞 因 即 如 來 頓 然 夢 覺 醉 醒 迴 小 向 大 成 佛 
X16n0308_001:0014a23	有分。二密之一字。遣圓教狂慧廢置進修之過。以	有 分 二 密 之 一 字 遣 圓 教 狂 慧 廢 置 進 修 之 過 以 
X16n0308_001:0014a24	彼纔信自心。便謂是佛。一向廢修。今聞但是密具。	彼 纔 信 自 心 便 謂 是 佛 一 向 廢 修 今 聞 但 是 密 具 
X16n0308_001:0014b01	自知非是已成。從性起修。冀果方能。然此即是二	自 知 非 是 已 成 從 性 起 修 冀 果 方 能 然 此 即 是 二 
X16n0308_001:0014b02	根本中真本。所謂識精元明。能生諸緣。緣所遺者。	根 本 中 真 本 所 謂 識 精 元 明 能 生 諸 緣 緣 所 遺 者 
X16n0308_001:0014b03	至文中十番顯見。且從眼根指出。以一例五。六根	至 文 中 十 番 顯 見 且 從 眼 根 指 出 以 一 例 五 六 根 
X16n0308_001:0014b04	皆具。若擴而充之。不唯近具根中。實為遠該萬法。	皆 具 若 擴 而 充 之 不 唯 近 具 根 中 實 為 遠 該 萬 法 
X16n0308_001:0014b05	迨後會四科。融七大。明生續之因。示圓融之故。全	迨 後 會 四 科 融 七 大 明 生 續 之 因 示 圓 融 之 故 全 
X16n0308_001:0014b06	彰三藏。不離一心。如來密因之旨。顯發無餘蘊矣。	彰 三 藏 不 離 一 心 如 來 密 因 之 旨 顯 發 無 餘 蘊 矣 
X16n0308_001:0014b07	經文首從請定。至四卷前半。身意輕安。得未曾有。	經 文 首 從 請 定 至 四 卷 前 半 身 意 輕 安 得未曾有 
X16n0308_001:0014b08	如來重重開示。令修奢摩。當機方以信順。四分中	如 來 重 重 開 示 令 修 奢 摩 當 機 方 以 信 順 四 分 中 
X16n0308_001:0014b09	開示奢摩成信分。義齊於此。二了因顯發。即修	開 示 奢 摩 成 信 分 義 齊 於 此 二 了 因 顯 發 即 修 
X16n0308_001:0014b10	證了義句也。因信起觀曰修。蓋即以觀行為修。非	證 了 義 句 也 因 信 起 觀 曰 修 蓋 即 以 觀 行 為 修 非 
X16n0308_001:0014b11	歷事造修也。由行成解曰證。蓋即以解悟為證。非	歷 事 造 修 也 由 行 成 解 曰 證 蓋 即 以 解 悟 為 證 非 
X16n0308_001:0014b12	歷位取證也。良以圓頓行人。信時即兼解悟。解時	歷 位 取 證 也 良 以 圓 頓 行 人 信 時 即 兼 解 悟 解 時 
X16n0308_001:0014b13	已有證入。故前分末即許阿難等心悟實相。而此	已 有 證 入 故 前 分 末 即 許 阿 難 等 心 悟 實 相 而 此 
X16n0308_001:0014b14	段即云修證了義。其實前方是信。此方是解。蓋以	段 即 云 修 證 了 義 其 實 前 方 是 信 此 方 是 解 蓋 以 
X16n0308_001:0014b15	行布不礙圓融。取勝為言。然謂之了義者。有二義。	行 布 不 礙 圓 融 取 勝 為 言 然 謂 之 了 義 者 有 二 義 
X16n0308_001:0014b16	一者了悟前義。二者了無餘義。了悟前義者。由前	一 者 了 悟 前 義 二 者 了 無 餘 義 了 悟 前 義 者 由 前 
X16n0308_001:0014b17	段當機信順。雖知有如來密因。猶未能現量體悟。	段 當 機 信 順 雖 知 有 如 來 密 因 猶 未 能 現 量 體 悟 
X16n0308_001:0014b18	故自喻云。我今猶如旅泊之人。忽蒙天王賜與華	故 自 喻 云 我 今 猶 如 旅 泊 之 人 忽 蒙 天 王 賜 與 華 
X16n0308_001:0014b19	屋。雖獲大宅。要因門入。(請觀門。求悟入也)如是如來為之	屋 雖 獲 大 宅 要 因 門 入 請 觀 門 求 悟 入 也 如 是 如 來 為 之 
X16n0308_001:0014b20	分門以定二義。驗證以釋二疑。綰巾以示倫次。冥	分 門 以 定 二 義 驗 證 以 釋 二 疑 綰 巾 以 示 倫 次 冥 
X16n0308_001:0014b21	授以選本根。蓋即令其以耳門三昧。修習證入。了	授 以 選 本 根 蓋 即 令 其 以 耳 門 三 昧 修 習 證 入 了 
