T13n0417_001:0897c25	佛說般舟三昧經	佛 說 般舟三昧 經 
T13n0417_001:0898a29	佛，樂於經法，守禁戒行清淨所致；常行乞食	佛 樂 於 經 法 守 禁 戒 行 清 淨 所 致 常行乞食 
T13n0417_001:0898b01	不就請，多成就諸菩薩合會，教語令棄眾惡，	不 就 請 多 成 就 諸 菩 薩 合 會 教 語 令 棄 眾 惡 
T13n0417_001:0898b02	視一切悉平等所致；常有大慈大悲所致。汝	視 一 切 悉 平 等 所 致 常 有 大慈大悲 所 致 汝 
T13n0417_001:0898b03	功德不可復計。」佛告颰陀和：「有三昧名十方	功 德 不 可 復 計 佛 告 颰 陀 和 有 三 昧 名 十 方 
T13n0417_001:0898b04	諸佛悉在前立，能行是法，汝之所問悉可得	諸 佛 悉 在 前 立 能 行 是 法 汝 之 所 問 悉 可 得 
T13n0417_001:0898b05	也。」颰陀和白佛：「願為說之。今佛說者，多所過	也 颰 陀 和 白 佛 願 為 說 之 今 佛 說 者 多 所 過 
T13n0417_001:0898b06	度安隱十方，為諸菩薩現大明相。」佛告颰陀	度 安 隱 十 方 為 諸 菩 薩 現 大 明 相 佛 告 颰 陀 
T13n0417_001:0898b07	和：「有三昧名定意，菩薩常當守習持，不得復	和 有 三 昧 名 定 意 菩 薩 常 當 守 習 持 不 得 復 
T13n0417_001:0898b08	隨餘法，功德中最第一。」	隨 餘 法 功 德 中 最 第 一 
T13n0417_001:0898b09	行品第二	行 品 第 二 
T13n0417_001:0898b10	佛告颰陀和：「菩薩欲疾得是定者，常立大信，	佛 告 颰 陀 和 菩 薩 欲 疾 得 是 定 者 常 立 大 信 
T13n0417_001:0898b11	如法行之則可得也。勿有疑想如毛髮許，是	如 法 行 之 則 可 得 也 勿 有 疑 想 如 毛 髮 許 是 
T13n0417_001:0898b12	定意法，名為菩薩超眾行。	定 意 法 名 為 菩 薩 超 眾 行 
T13n0417_001:0898b13	「立一念，　　信是法，　　隨所聞，	 立 一 念 信 是 法 隨 所 聞 
T13n0417_001:0898b14	　念其方。　　宜一念，　　斷諸想，	 念 其 方 宜 一 念 斷 諸 想 
T13n0417_001:0898b15	　立定信，　　勿狐疑；　　精進行，	 立 定 信 勿 狐 疑 精 進 行 
T13n0417_001:0898b16	　勿懈怠。　　勿起想，　　有與無；	 勿 懈 怠 勿 起 想 有 與 無 
T13n0417_001:0898b17	　勿念進，　　勿念退；　　勿念前，	 勿 念 進 勿 念 退 勿 念 前 
T13n0417_001:0898b18	　勿念後；　　勿念左，　　勿念右；	 勿 念 後 勿 念 左 勿 念 右 
T13n0417_001:0898b19	　勿念無，　　勿念有；　　勿念遠，	 勿 念 無 勿 念 有 勿 念 遠 
T13n0417_001:0898b20	　勿念近；　　勿念痛，　　勿念痒；	 勿 念 近 勿 念 痛 勿 念 痒 
T13n0417_001:0898b21	　勿念飢，　　勿念渴；　　勿念寒，	 勿 念 飢 勿 念 渴 勿 念 寒 
T13n0417_001:0898b22	　勿念熱；　　勿念苦，　　勿念樂；	 勿 念 熱 勿 念 苦 勿 念 樂 
T13n0417_001:0898b23	　勿念生，　　勿念老，　　勿念病，	 勿 念 生 勿 念 老 勿 念 病 
T13n0417_001:0898b24	　勿念死；　　勿念身，　　勿念命，	 勿 念 死 勿 念 身 勿 念 命 
T13n0417_001:0898b25	　勿念壽；　　勿念貧，　　勿念富；	 勿 念 壽 勿 念 貧 勿 念 富 
T13n0417_001:0898b26	　勿念貴，　　勿念賤；　　勿念色，	 勿 念 貴 勿 念 賤 勿 念 色 
T13n0417_001:0898b27	　勿念欲；　　勿念小，　　勿念大；	 勿 念 欲 勿 念 小 勿 念 大 
T13n0417_001:0898b28	　勿念長，　　勿念短；　　勿念好，	 勿 念 長 勿 念 短 勿 念 好 
T13n0417_001:0898b29	　勿念醜；　　勿念惡，　　勿念善；	 勿 念 醜 勿 念 惡 勿 念 善 
T13n0417_001:0898c01	　勿念瞋，　　勿念喜；　　勿念坐，	 勿 念 瞋 勿 念 喜 勿 念 坐 
T13n0417_001:0898c02	　勿念起；　　勿念行，　　勿念止；	 勿 念 起 勿 念 行 勿 念 止 
T13n0417_001:0898c03	　勿念經，　　勿念法；　　勿念是，	 勿 念 經 勿 念 法 勿 念 是 
T13n0417_001:0898c04	　勿念非；　　勿念捨，　　勿念取；	 勿 念 非 勿 念 捨 勿 念 取 
T13n0417_001:0898c05	　勿念想，　　勿念識；　　勿念斷，	 勿 念 想 勿 念 識 勿 念 斷 
T13n0417_001:0898c06	　勿念著；　　勿念空，　　勿念實；	 勿 念 著 勿 念 空 勿 念 實 
T13n0417_001:0898c07	　勿念輕，　　勿念重；　　勿念難，	 勿 念 輕 勿 念 重 勿 念 難 
T13n0417_001:0898c08	　勿念易；　　勿念深，　　勿念淺；	 勿 念 易 勿 念 深 勿 念 淺 
T13n0417_001:0898c09	　勿念廣，　　勿念狹；　　勿念父，	 勿 念 廣 勿 念 狹 勿 念 父 
T13n0417_001:0898c10	　勿念母；　　勿念妻，　　勿念子；	 勿 念 母 勿 念 妻 勿 念 子 
T13n0417_001:0898c11	　勿念親，　　勿念踈；　　勿念憎，	 勿 念 親 勿 念 踈 勿 念 憎 
T13n0417_001:0898c12	　勿念愛；　　勿念得，　　勿念失；	 勿 念 愛 勿 念 得 勿 念 失 
T13n0417_001:0898c13	　勿念成，　　勿念敗；　　勿念清，	 勿 念 成 勿 念 敗 勿 念 清 
T13n0417_001:0898c14	　勿念濁。　　斷諸念，　　一期念，	 勿 念 濁 斷 諸 念 一 期 念 
T13n0417_001:0898c15	　意勿亂，　　常精進。　　勿懈怠，	 意 勿 亂 常 精 進 勿 懈 怠 
T13n0417_001:0898c16	　勿歲計，　　勿日倦。　　立一念，	 勿 歲 計 勿 日 倦 立 一 念 
T13n0417_001:0898c17	　勿中忽，　　除睡眠，　　精其意。	 勿 中 忽 除 睡 眠 精 其 意 
T13n0417_001:0898c18	　常獨處，　　勿聚會；　　避惡人，	 常 獨 處 勿 聚 會 避 惡 人 
T13n0417_001:0898c19	　近善友；　　親明師，　　視如佛。	 近 善 友 親 明 師 視 如 佛 
T13n0417_001:0898c20	　執其志，　　常柔弱，　　觀平等，	 執 其 志 常 柔 弱 觀 平 等 
T13n0417_001:0898c21	　於一切。　　避鄉里，　　遠親族。	 於 一 切 避 鄉 里 遠 親 族 
T13n0417_001:0898c22	　棄愛欲，　　履清淨。　　行無為，	 棄 愛 欲 履 清 淨 行 無 為 
T13n0417_001:0898c23	　斷諸欲。　　捨亂意，　　習定行。	 斷 諸 欲 捨 亂 意 習 定 行 
T13n0417_001:0898c24	　學文慧，　　必如禪。　　除三穢，	 學 文 慧 必 如 禪 除 三 穢 
T13n0417_001:0898c25	　去六入。　　絕婬色，　　離眾受。	 去 六 入 絕 婬 色 離 眾 受 
T13n0417_001:0898c26	　勿貪財，　　多畜積。　　食知足，	 勿 貪 財 多 畜 積 食 知 足 
T13n0417_001:0898c27	　勿貪味。　　眾生命，　　慎勿食。	 勿 貪 味 眾 生 命 慎 勿 食 
T13n0417_001:0898c28	　衣如法，　　勿綺飾。　　勿調戲，	 衣 如 法 勿 綺 飾 勿 調 戲 
T13n0417_001:0898c29	　勿憍慢。　　勿自大，　　勿貢高。	 勿 憍 慢 勿 自 大 勿 貢 高 
T13n0417_001:0899a01	　若說經，　　當如法。　　了身本，	 若 說 經 當 如 法 了 身 本 
T13n0417_001:0899a02	　猶如幻。　　勿受陰，　　勿入界。	 猶 如 幻 勿 受 陰 勿 入 界 
T13n0417_001:0899a03	　陰如賊，　　四如蛇。　　為無常，	 陰 如 賊 四 如 蛇 為 無 常 
T13n0417_001:0899a04	　為恍惚，　　無常主，　　了本無。	 為 恍 惚 無 常 主 了 本 無 
T13n0417_001:0899a05	　因緣會，　　因緣散，　　悉了是，	 因 緣 會 因 緣 散 悉 了 是 
T13n0417_001:0899a06	　知本無。　　加慈哀，　　於一切。	 知 本 無 加 慈 哀 於 一 切 
T13n0417_001:0899a07	　施貧窮，　　濟不還。　　是為定，	 施 貧 窮 濟 不 還 是 為 定 
T13n0417_001:0899a08	　菩薩行；　　至要慧，　　起眾智。」	 菩 薩 行 至 要 慧 起 眾 智 
T13n0417_001:0899a09	佛告颰陀和：「持是行法便得三昧，現在諸佛	佛 告 颰 陀 和 持 是 行 法 便 得 三 昧 現在諸佛 
T13n0417_001:0899a10	悉在前立。其有比丘、比丘尼、優婆塞、優婆夷，	悉 在 前 立 其 有 比 丘 比 丘 尼 優 婆 塞 優 婆 夷 
T13n0417_001:0899a11	如法行，持戒完具，獨一處止，念西方阿彌陀佛	如 法 行 持 戒 完 具 獨 一 處 止 念 西 方 阿 彌 陀 佛 
T13n0417_001:0899a12	今現在，隨所聞當念，去此千億萬佛剎，其國	今 現 在 隨 所 聞 當 念 去 此 千 億 萬 佛 剎 其 國 
T13n0417_001:0899a13	名須摩提。一心念之，一日一夜若七日七夜，	名 須 摩 提 一 心 念 之 一 日 一 夜 若 七日七夜 
T13n0417_001:0899a14	過七日已後見之。譬如人夢中所見，不知晝、	過 七 日 已 後 見 之 譬 如 人 夢 中 所 見 不 知 晝 
T13n0417_001:0899a15	夜亦不知內、外，不用在冥中，有所蔽礙故不	夜 亦 不 知 內 外 不 用 在 冥 中 有 所 蔽 礙 故 不 
T13n0417_001:0899a16	見。颰陀和！菩薩當作是念。時諸佛國境界中，	見 颰 陀 和 菩 薩 當作是念 時 諸 佛 國 境 界 中 
T13n0417_001:0899a17	諸大山須彌山，其有幽冥之處，悉為開闢無	諸 大 山 須 彌 山 其 有 幽 冥 之 處 悉 為 開 闢 無 
T13n0417_001:0899a18	所蔽礙。是菩薩不持天眼徹視，不持天耳徹	所 蔽 礙 是 菩 薩 不 持 天 眼 徹 視 不 持 天 耳 徹 
T13n0417_001:0899a19	聽，不持神足到其佛剎，不於此間終生彼間，	聽 不 持 神 足 到 其 佛 剎 不 於 此 間 終 生 彼 間 
T13n0417_001:0899a20	便於此坐見之。譬如人聞墮舍利國，有婬女	便 於 此 坐 見 之 譬 如 人 聞 墮 舍 利 國 有 婬 女 
T13n0417_001:0899a21	字須門，復有人聞婬女阿凡和利，復有人聞	字 須 門 復 有 人 聞 婬 女 阿 凡 和 利 復 有 人 聞 
T13n0417_001:0899a22	優婆洹復作婬女；時其人未曾見此三女人，	優 婆 洹 復 作 婬 女 時 其 人 未 曾 見 此 三 女 人 
T13n0417_001:0899a23	聞之婬意即動，是三人皆在羅閱祇國同時	聞 之 婬 意 即 動 是 三 人 皆 在 羅 閱 祇 國 同 時 
T13n0417_001:0899a24	念，各於夢中到其女邊，與共棲宿，覺已各自	念 各 於 夢 中 到 其 女 邊 與 共 棲 宿 覺 已 各 自 
T13n0417_001:0899a25	念之。」佛告颰陀和：「我持是三女人以為喻，汝	念 之 佛 告 颰 陀 和 我 持 是 三 女 人 以 為 喻 汝 
T13n0417_001:0899a26	持是事為人說經，使解此慧，至不退轉地無	持 是 事 為 人 說 經 使 解 此 慧 至 不退轉地 無 
T13n0417_001:0899a27	上正真道。若後得佛，號曰善覺。」佛言：「菩薩於	上 正 真 道 若 後 得 佛 號 曰 善 覺 佛 言 菩 薩 於 
T13n0417_001:0899a28	此間國土念阿彌陀佛，專念故得見之。即問：	此 間 國 土 念 阿 彌 陀 佛 專 念 故 得 見 之 即 問 
T13n0417_001:0899a29	『持何法得生此國？』阿彌陀佛報言：『欲來生者	 持 何 法 得 生 此 國 阿 彌 陀 佛 報 言 欲 來 生 者 
T13n0417_001:0899b01	當念我名，莫有休息，則得來生。』」佛言：「專念故	當 念 我 名 莫 有 休 息 則 得 來 生 佛 言 專 念 故 
T13n0417_001:0899b02	得往生，常念佛身有三十二相、八十種好，巨	得 往 生 常 念 佛 身 有 三十二相 八十種好 巨 
T13n0417_001:0899b03	億光明徹照，端正無比，在菩薩僧中說法不	億 光明徹照 端 正 無 比 在 菩 薩 僧 中 說 法 不 
T13n0417_001:0899b04	壞色。何以故？色、痛痒、思想、生死、識、魂神、地、水、	壞 色 何 以 故 色 痛 痒 思 想 生 死 識 魂 神 地 水 
T13n0417_001:0899b05	火、風，世間天上上至梵摩訶梵不壞色，用念	火 風 世 間 天 上 上 至 梵 摩 訶 梵 不 壞 色 用 念 
T13n0417_001:0899b06	佛故得是三昧。」佛告颰陀和：「是菩薩三昧誰	佛 故 得 是 三 昧 佛 告 颰 陀 和 是 菩 薩 三 昧 誰 
T13n0417_001:0899b07	證者？我弟子摩訶迦葉、因坻達、須真天子，及	證 者 我 弟 子 摩 訶 迦 葉 因 坻 達 須 真 天 子 及 
T13n0417_001:0899b08	時知者，有行得者，是為證也。如是，颰陀和！欲	時 知 者 有 行 得 者 是 為 證 也 如 是 颰 陀 和 欲 
T13n0417_001:0899b09	得見十方諸現在佛者，當一心念其方，莫得	得 見 十 方 諸 現 在 佛 者 當 一 心 念 其 方 莫 得 
T13n0417_001:0899b10	異想，如是即可得見。譬如人遠出到他郡國，	異 想 如 是 即 可 得 見 譬 如 人 遠 出 到 他 郡 國 
T13n0417_001:0899b11	念本鄉里家室親族，其人於夢中歸到故鄉	念 本 鄉 里 家 室 親 族 其 人 於 夢 中 歸 到 故 鄉 
T13n0417_001:0899b12	里；見家室親屬，喜共言語，覺為知識說之如	里 見 家 室 親 屬 喜 共 言 語 覺 為 知 識 說 之 如 
T13n0417_001:0899b13	是。」佛言：「菩薩聞佛名字欲得見者，常念其方	是 佛 言 菩 薩 聞 佛 名 字 欲 得 見 者 常 念 其 方 
T13n0417_001:0899b14	即得見之。譬如比丘觀死人骨，著前觀之，有	即 得 見 之 譬 如 比 丘 觀 死 人 骨 著 前 觀 之 有 
T13n0417_001:0899b15	青時、有白時、有赤時、有黑時，其色無有持	青 時 有 白 時 有 赤 時 有 黑 時 其 色 無 有 持 
T13n0417_001:0899b16	來者，是意所想耳！菩薩如是持佛威神力，於	來 者 是 意 所 想 耳 菩 薩 如 是 持 佛 威 神 力 於 
T13n0417_001:0899b17	三昧中立自在，欲見何方佛即得見。何以故？	三 昧 中 立 自 在 欲 見 何 方 佛 即 得 見 何 以 故 
T13n0417_001:0899b18	持佛力，三昧力，本功德力，用是三事故得見。	持 佛 力 三 昧 力 本 功 德 力 用 是 三 事 故 得 見 
T13n0417_001:0899b19	譬如人年少端正著好衣服，欲自見其形，若	譬 如 人 年 少 端 正 著 好 衣 服 欲 自 見 其 形 若 
T13n0417_001:0899b20	以持鏡，若麻油、若淨水、水精，於中照，自見之。	以 持 鏡 若 麻 油 若 淨 水 水 精 於 中 照 自 見 之 
T13n0417_001:0899b21	云何寧有影從外入鏡、麻油、水、水精中不也？」	云 何 寧 有 影 從 外 入 鏡 麻 油 水 水 精 中 不 也 
T13n0417_001:0899b22	颰陀和言：「不也。天中天！以鏡、麻油、水、水精淨	颰 陀 和 言 不 也 天 中 天 以 鏡 麻 油 水 水 精 淨 
T13n0417_001:0899b23	故，自見其影耳！影不從中出，亦不從外入。」佛	故 自 見 其 影 耳 影 不 從 中 出 亦 不 從 外 入 佛 
T13n0417_001:0899b24	言：「善哉！颰陀和！色清淨故，所有者清淨。欲見	言 善 哉 颰 陀 和 色 清 淨 故 所 有 者 清 淨 欲 見 
T13n0417_001:0899b25	佛即見，見即問，問即報。聞經大歡喜，作是念：	佛 即 見 見 即 問 問 即 報 聞 經 大 歡 喜 作 是 念 
T13n0417_001:0899b26	『佛從何所來？我為到何所？』自念佛無所從來，	 佛 從 何 所 來 我 為 到 何 所 自 念 佛 無所從來 
T13n0417_001:0899b27	我亦無所至。自念欲處、色處、無色處，是三處	我 亦 無 所 至 自 念 欲 處 色 處 無 色 處 是 三 處 
T13n0417_001:0899b28	意所作耳！我所念即見。心作佛，心自見，心是	意 所 作 耳 我 所 念 即 見 心 作 佛 心 自 見 心 是 
T13n0417_001:0899b29	佛心，佛心是我身。心見佛，心不自知心，心不	佛 心 佛 心 是 我 身 心 見 佛 心 不 自 知 心 心 不 
T13n0417_001:0899c01	自見心，心有想為癡，心無想是涅槃。是法無	自 見 心 心 有 想 為 癡 心 無 想 是 涅 槃 是 法 無 
T13n0417_001:0899c02	可樂者，設使念為空耳，無所有也。菩薩在三	可 樂 者 設 使 念 為 空 耳 無 所 有 也 菩 薩 在 三 
T13n0417_001:0899c03	昧中立者，所見如是。」佛爾時說偈言：	昧 中 立 者 所 見 如 是 佛 爾 時 說 偈 言 
T13n0417_001:0899c04	「心者不自知，　　有心不見心；	 心 者 不 自 知 有 心 不 見 心 
T13n0417_001:0899c05	　心起想則癡，　　無心是涅槃。	 心 起 想 則 癡 無 心 是 涅 槃 
T13n0417_001:0899c06	　是法無堅固，　　常立在於念；	 是 法 無 堅 固 常 立 在 於 念 
T13n0417_001:0899c07	　以解見空者，　　一切無想願。	 以 解 見 空 者 一 切 無 想 願 
T13n0417_001:0899c08	四事品第三	四 事 品 第 三 
T13n0417_001:0899c09	「菩薩有四事法，疾逮得是三昧：一者、所信無	 菩 薩 有 四 事 法 疾 逮 得 是 三 昧 一 者 所 信 無 
T13n0417_001:0899c10	有能壞者。二者、精進無有能退者。三者、智慧	有 能 壞 者 二 者 精 進 無 有 能 退 者 三 者 智 慧 
T13n0417_001:0899c11	無有能及者。四者、常與善師從事。是為四。復	無 有 能 及 者 四 者 常 與 善 師 從 事 是 為 四 復 
T13n0417_001:0899c12	有四事，疾得是三昧：一者、不得有世間思想，	有 四 事 疾 得 是 三 昧 一 者 不 得 有 世 間 思 想 
T13n0417_001:0899c13	如彈指頃三月。二者、不得睡眠三月，如彈指	如 彈 指 頃 三 月 二 者 不 得 睡 眠 三 月 如 彈 指 
T13n0417_001:0899c14	頃。三者、經行不得休息三月，除其飯食左右。	頃 三 者 經 行 不 得 休 息 三 月 除 其 飯 食 左 右 
T13n0417_001:0899c15	四者、為人說經，不得望人供養。是為四。復有	四 者 為 人 說 經 不 得 望 人 供 養 是 為 四 復 有 
T13n0417_001:0899c16	四者，疾得是三昧：一者、合會人至佛所。二者、	四 者 疾 得 是 三 昧 一 者 合 會 人 至 佛 所 二 者 
T13n0417_001:0899c17	合會人使聽經。三者、不嫉。四者、教人學佛道。	合 會 人 使 聽 經 三 者 不 嫉 四 者 教 人 學 佛 道 
T13n0417_001:0899c18	是為四。復有四事，疾得是三昧：一者、作佛形	是 為 四 復 有 四 事 疾 得 是 三 昧 一 者 作 佛 形 
T13n0417_001:0899c19	像，用成是三昧故。二者、持好素寫是三昧。三	像 用 成 是 三 昧 故 二 者 持 好 素 寫 是 三 昧 三 
T13n0417_001:0899c20	者、教自貢高人內佛道中。四者、常護佛法。是	者 教 自 貢 高 人 內 佛 道 中 四 者 常 護 佛 法 是 
T13n0417_001:0899c21	為四。」佛爾時說偈言：	為 四 佛 爾 時 說 偈 言 
T13n0417_001:0899c22	「常信樂於佛法，　　精進行解深慧，	 常 信 樂 於 佛 法 精 進 行 解 深 慧 
T13n0417_001:0899c23	　廣分布為人說，　　慎無得貪供養。	 廣 分 布 為 人 說 慎 無 得 貪 供 養 
T13n0417_001:0899c24	　意善解便離欲，　　常念佛有威德，	 意 善 解 便 離 欲 常 念 佛 有 威 德 
T13n0417_001:0899c25	　悉見知無數變。　　過去佛及當來，	 悉 見 知 無 數 變 過 去 佛 及 當 來 
T13n0417_001:0899c26	　并現在人中尊，　　諸相好若干種，	 并 現 在 人 中 尊 諸 相 好 若 干 種 
T13n0417_001:0899c27	　黃金色無穢漏。　　堅固教無極慧，	 黃 金 色 無 穢 漏 堅 固 教 無 極 慧 
T13n0417_001:0899c28	　聽是法無亂心，　　常捨離懈怠行，	 聽 是 法 無 亂 心 常 捨 離 懈 怠 行 
T13n0417_001:0899c29	　無恚害向他人。　　敬於師當如佛，	 無 恚 害 向 他 人 敬 於 師 當 如 佛 
T13n0417_001:0900a01	　慎無得疑斯經，　　一切佛所歌歎，	 慎 無 得 疑 斯 經 一 切 佛 所 歌 歎 
T13n0417_001:0900a02	　常造立佛形像。　　常教人學是法，	 常 造 立 佛 形 像 常 教 人 學 是 法 
T13n0417_001:0900a03	　行如是得三昧。」	 行 如 是 得 三 昧 
T13n0417_001:0900a04	佛告颰陀和：「欲學是三昧者，當敬於師，承事	佛 告 颰 陀 和 欲 學 是 三 昧 者 當 敬 於 師 承 事 
T13n0417_001:0900a05	供養，視當如佛。視善師不如佛者，得三昧難。	供 養 視 當 如 佛 視 善 師 不 如 佛 者 得 三 昧 難 
T13n0417_001:0900a06	菩薩敬善師從學得是三昧已，持佛威神於	菩 薩 敬 善 師 從 學 得 是 三 昧 已 持 佛 威 神 於 
T13n0417_001:0900a07	中立，東向視見若干百、千、萬億佛，十方等悉	中 立 東 向 視 見 若 干 百 千 萬 億 佛 十 方 等 悉 
T13n0417_001:0900a08	見之。譬如人夜起觀星宿甚眾多，菩薩欲得	見 之 譬 如 人 夜 起 觀 星 宿 甚 眾 多 菩 薩 欲 得 
T13n0417_001:0900a09	見今現在佛悉在前立者，當敬善師，不得視	見 今 現 在 佛 悉 在 前 立 者 當 敬 善 師 不 得 視 
T13n0417_001:0900a10	師長短；當具足布施、持戒、忍辱、精進、一心，不	師 長 短 當 具 足 布 施 持 戒 忍 辱 精 進 一 心 不 
T13n0417_001:0900a11	得懈怠。」	得 懈 怠 
T13n0417_001:0900a12	譬喻品第四	譬 喻 品 第 四 
T13n0417_001:0900a13	佛告颰陀和：「菩薩得是三昧不精進行者，譬	佛 告 颰 陀 和 菩 薩 得 是 三 昧 不 精 進 行 者 譬 
T13n0417_001:0900a14	如人載滿船珍寶渡大海，船中道壞，閻浮利	如 人 載 滿 船 珍 寶 渡 大 海 船 中 道 壞 閻 浮 利 
T13n0417_001:0900a15	人皆大愁憂念，失我爾所寶。菩薩聞是三昧	人 皆 大 愁 憂 念 失 我 爾 所 寶 菩 薩 聞 是 三 昧 
T13n0417_001:0900a16	不學者，一切諸天人民皆悲憂言：『乃失我爾	不 學 者 一 切 諸 天 人 民 皆 悲 憂 言 乃 失 我 爾 
T13n0417_001:0900a17	所經寶。』」佛言：「是三昧經者，是佛所囑，佛所稱	所 經 寶 佛 言 是 三 昧 經 者 是 佛 所 囑 佛 所 稱 
T13n0417_001:0900a18	舉。聞是深三昧，不書、學、誦、守持如法者，是為	舉 聞 是 深 三 昧 不 書 學 誦 守 持 如 法 者 是 為 
T13n0417_001:0900a19	愚癡。譬如癡子人持栴檀香與之，而不肯受，	愚 癡 譬 如 癡 子 人 持 栴 檀 香 與 之 而 不 肯 受 
T13n0417_001:0900a20	謂之不淨。香主言：『此栴檀香也，卿莫謂不淨。	謂 之 不 淨 香 主 言 此 栴 檀 香 也 卿 莫 謂 不 淨 
T13n0417_001:0900a21	嗅之知香，視之知淨。』其人閉目不嗅不視也。」	嗅 之 知 香 視 之 知 淨 其 人 閉 目 不 嗅 不 視 也 
T13n0417_001:0900a22	佛言：「聞是三昧不肯受持者，如彼癡子，是為	佛 言 聞 是 三 昧 不 肯 受 持 者 如 彼 癡 子 是 為 
