X13n0284_001:0196a06	 重刻	 重 刻 
X13n0284_001:0196b01	不可復作習台宗者昧于唯識習法相者迷于圓	不 可 復 作 習 台 宗 者 昧 于 唯 識 習 法 相 者 迷 于 圓 
X13n0284_001:0196b02	理所以眾解紛紛咸失綱要究義理之攸歸大似	理 所 以 眾 解 紛 紛 咸 失 綱 要 究 義 理 之 攸 歸 大 似 
X13n0284_001:0196b03	蚊咬鐵橛判文字之下落亦如鑿孔栽鬚旭于未	蚊 咬 鐵 橛 判 文 字 之 下 落 亦 如 鑿 孔 栽 鬚 旭 于 未 
X13n0284_001:0196b04	薙髮日即曾研究此典每翻舊註迷悶實多後因	薙 髮 日 即 曾 研 究 此 典 每 翻 舊 註 迷 悶 實 多 後 因 
X13n0284_001:0196b05	雙徑坐禪始解文字之縛復因數番講演深理葛	雙 徑 坐 禪 始 解 文 字 之 縛 復 因 數 番 講 演 深 理 葛 
X13n0284_001:0196b06	藤之根並探二宗融以心鏡直至溫陵弘法方得	藤 之 根 並 探 二 宗 融 以 心 鏡 直 至 溫 陵 弘 法 方 得 
X13n0284_001:0196b07	取筆疾書脫稿未幾剞劂旋畢板留甘露戒壇不	取 筆 疾 書 脫 稿 未 幾 剞 劂 旋 畢 板 留 甘 露 戒 壇 不 
X13n0284_001:0196b08	能携至江外茲者幻遊普德略露賊私諸友固追	能 携 至 江 外 茲 者 幻 遊 普 德 略 露 賊 私 諸 友 固 追 
X13n0284_001:0196b09	不已頓公發意重刊爰述片言以為弄引剖千古	不 已 頓 公 發 意 重 刊 爰 述 片 言 以 為 弄 引 剖 千 古 
X13n0284_001:0196b10	未破之籓籬犯從來嚴設之禁忌位卑言高安免	未 破 之 籓 籬 犯 從 來 嚴 設 之 禁 忌 位 卑 言 高 安 免 
X13n0284_001:0196b11	于罪然在出世君子諒不以人廢言也。	于 罪 然 在 出 世 君 子 諒 不 以 人 廢 言 也 
X13n0284_001:0196b12	甲申春日古吳藕益智旭書	甲 申 春 日 古 吳 藕 益 智 旭 書 
X13n0284_001:0196b23	大佛頂如來密因修證了義諸菩薩	大 佛 頂 如 來 密 因 修 證 了 義 諸 菩 薩 
X13n0284_001:0196b24	萬行首楞嚴經玄義	萬 行 首 楞 嚴 經 玄 義 
X13n0284_001:0196c01	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經	大 佛 頂 如 來 密 因 修 證 了 義 諸 菩 薩 萬 行 首 楞 嚴 經 
X13n0284_001:0196c02	玄義卷上并序	玄 義 卷 上 并 序 
X13n0284_001:0196c03	明菩薩沙彌古吳智旭　撰述	明 菩 薩 沙 彌 古 吳 智 旭 撰 述 
X13n0284_001:0196c04	明菩薩比丘溫陵道昉　參訂	明 菩 薩 比 丘 溫 陵 道 昉 參 訂 
X13n0284_001:0196c05	大佛頂者即心自性之理體也隨緣不變融四科	大 佛 頂 者 即 心 自 性 之 理 體 也 隨 緣 不 變 融 四 科 
X13n0284_001:0196c06	而惟是本真不變隨緣妙七大而各周法界喻氷	而 惟 是 本 真 不 變 隨 緣 妙 七 大 而 各 周 法 界 喻 氷 
X13n0284_001:0196c07	水之始終惟是濕性譬太虗之羣相不拒發揮十	水 之 始 終 惟 是 濕 性 譬 太 虗 之 羣 相 不 拒 發 揮 十 
X13n0284_001:0196c08	界一心事造與理具徧攝徧含一境三諦橫辨與	界 一 心 事 造 與 理 具 徧 攝 徧 含 一 境 三 諦 橫 辨 與 
X13n0284_001:0196c09	竪歷非並非別依此成自行因果故名如來密因	竪 歷 非 並 非 別 依 此 成 自 行 因 果 故 名 如 來 密 因 
X13n0284_001:0196c10	修證了義即此為化他因果故名諸菩薩萬行首	修 證 了 義 即 此 為 化 他 因 果 故 名 諸 菩 薩 萬 行 首 
X13n0284_001:0196c11	楞嚴因果妙修全歸性具化他力用寧隔體宗二	楞 嚴 因 果 妙 修 全 歸 性 具 化 他 力 用 寧 隔 體 宗 二 
X13n0284_001:0196c12	本明而金沙立辨二義決而華屋有門圓通既陳	本 明 而 金 沙 立 辨 二 義 決 而 華 屋 有 門 圓 通 既 陳 
X13n0284_001:0196c13	信方便之無非聖性圓根既選知耳門之獨利此	信 方 便 之 無 非 聖 性 圓 根 既 選 知 耳 門 之 獨 利 此 
X13n0284_001:0196c14	方明誨殷勤戒乘俱急道場安立顯密互資無漸	方 明 誨 殷 勤 戒 乘 俱 急 道 場 安 立 顯 密 互 資 無 漸 
X13n0284_001:0196c15	次而立漸次能歷之正助圓彰即位次而非位次	次 而 立 漸 次 能 歷 之 正 助 圓 彰 即 位 次 而 非 位 次 
X13n0284_001:0196c16	所歷之轉依如幻精研七趣秪因迷此大佛頂理	所 歷 之 轉 依 如 幻 精 研 七 趣 秪 因 迷 此 大 佛 頂 理 
X13n0284_001:0196c17	而妄受輪迴誰達空華無別體詳辨五魔本求悟	而 妄 受 輪 迴 誰 達 空 華 無 別 體 詳 辨 五 魔 本 求 悟 
X13n0284_001:0196c18	此大佛頂理而中途成惑那知妄想作根原是誠	此 大 佛 頂 理 而 中 途 成 惑 那 知 妄 想 作 根 原 是 誠 
X13n0284_001:0196c19	一代時教之精髓成佛作祖之祕要無上圓頓之	一 代 時 教 之 精 髓 成 佛 作 祖 之 祕 要 無 上 圓 頓 之 
X13n0284_001:0196c20	旨歸三根普被之方便超權小之殊勝法門摧魔	旨 歸 三 根 普 被 之 方 便 超 權 小 之 殊 勝 法 門 摧 魔 
X13n0284_001:0196c21	外之實相正印也所以一念示人滅業障如翻大	外 之 實 相 正 印 也 所 以 一 念 示 人 滅 業 障 如 翻 大 
X13n0284_001:0196c22	地依教行道成菩提如觀掌果智者大師聞名遙	地 依 教 行 道 成 菩 提 如 觀 掌 果 智 者 大 師 聞 名 遙 
X13n0284_001:0196c23	禮不憚其勞般剌尊者剖膊遠傳不辭其苦智旭	禮 不 憚 其 勞 般 剌 尊 者 剖 膊 遠 傳 不 辭 其 苦 智 旭 
X13n0284_001:0196c24	生逢像季獲遘雄詮自非大士神功曷繇染指特	生 逢 像 季 獲 遘 雄 詮 自 非 大 士 神 功 曷 繇 染 指 特 
X13n0284_001:0197a01	以文圓義妙旨遠趣深註疏雖多宗極未立悲了	以 文 圓 義 妙 旨 遠 趣 深 註 疏 雖 多 宗 極 未 立 悲 了 
X13n0284_001:0197a02	義之尚隱痛迷津之孰告不辭固陋聊殫隙明徧	義 之 尚 隱 痛 迷 津 之 孰 告 不 辭 固 陋 聊 殫 隙 明 徧 
X13n0284_001:0197a03	採眾長折衷一理研精竭思再述玄文不敢與前	採 眾 長 折 衷 一 理 研 精 竭 思 再 述 玄 文 不 敢 與 前 
X13n0284_001:0197a04	人苦較是非但自向斯經深求脉絡願我同仁虗	人 苦 較 是 非 但 自 向 斯 經 深 求 脉 絡 願 我 同 仁 虗 
X13n0284_001:0197a05	心著眼必有知其同異淺深違順得失是矣。時	心 著 眼 必 有 知 其 同 異 淺 深 違 順 得 失 是 矣 時 
X13n0284_001:0197a06	崇禎己卯春三月二十有七日下筆故序。	崇 禎 己 卯 春 三 月 二 十 有 七 日 下 筆 故 序 
X13n0284_001:0197a07	將釋此經五重玄義一釋名二顯體三明宗四辨	將 釋 此 經 五 重 玄 義 一 釋 名 二 顯 體 三 明 宗 四 辨 
X13n0284_001:0197a08	用五教相釋此五重有通有別通釋七番具如法	用 五 教 相 釋 此 五 重 有 通 有 別 通 釋 七 番 具 如 法 
X13n0284_001:0197a09	華玄義茲不復出今別釋中釋名為二先就經中	華 玄 義 茲 不 復 出 今 別 釋 中 釋 名 為 二 先 就 經 中 
X13n0284_001:0197a10	所結五名彰存略次就今題通別諸字正解釋。	所 結 五 名 彰 存 略 次 就 今 題 通 別 諸 字 正 解 釋 
X13n0284_001:0197a11	初彰存略者按經中佛答文殊問名共有五句一	初 彰 存 略 者 按 經 中 佛 答 文 殊 問 名 共 有 五 句 一 
X13n0284_001:0197a12	曰是經名大佛頂悉怛多般怛羅無上寶印十方	曰 是 經 名 大 佛 頂 悉怛多般怛羅 無 上 寶 印 十 方 
X13n0284_001:0197a13	如來清淨海眼今僅存三字略去十八字以大佛	如 來 清 淨 海 眼 今 僅 存 三 字 略 去 十 八 字 以 大 佛 
X13n0284_001:0197a14	頂三字全示此經正體是故須存此體即是顯密	頂 三 字 全 示 此 經 正 體 是 故 須 存 此 體 即 是 顯 密 
X13n0284_001:0197a15	圓詮之所依亦即顯密圓詮之所顯悉怛多般怛	圓 詮 之 所 依 亦 即 顯 密 圓 詮 之 所 顯 悉 怛 多 般 怛 
X13n0284_001:0197a16	羅無上寶印密詮不離此體也十方如來清淨海	羅 無 上 寶 印 密 詮 不 離 此 體 也 十 方 如 來 清 淨 海 
X13n0284_001:0197a17	眼顯詮不離此體也故但存三字而顯密二教之	眼 顯 詮 不 離 此 體 也 故 但 存 三 字 而 顯 密 二 教 之 
X13n0284_001:0197a18	體攝盡無遺矣二曰亦名救護親因度脫阿難及	體 攝 盡 無 遺 矣 二 曰 亦 名 救 護 親 因 度 脫 阿 難 及 
X13n0284_001:0197a19	此會中性比丘尼得菩提心入徧知海此名全略	此 會 中 性 比 丘 尼 得 菩 提 心 入 徧 知 海 此 名 全 略 
X13n0284_001:0197a20	以其單從用立近而復狹阿難性尼二人可以攝	以 其 單 從 用 立 近 而 復 狹 阿 難 性 尼 二 人 可 以 攝 
X13n0284_001:0197a21	入諸菩薩中菩提徧知二法可以攝入首楞嚴中	入 諸 菩 薩 中 菩 提 徧 知 二 法 可 以 攝 入 首 楞 嚴 中 
X13n0284_001:0197a22	蓋首楞嚴三昧為能得能入菩提心徧知海為所	蓋 首楞嚴三昧 為 能 得 能 入 菩 提 心 徧 知 海 為 所 
X13n0284_001:0197a23	得所入能所原自不二故也三曰亦名如來密因	得 所 入 能 所 原 自 不 二 故 也 三 曰 亦 名 如 來 密 因 
X13n0284_001:0197a24	修證了義此名全存以是一經宗要故四曰亦名	修 證 了 義 此 名 全 存 以 是 一 經 宗 要 故 四 曰 亦 名 
X13n0284_001:0197b01	大方廣妙蓮華王十方佛母陀羅尼呪此亦從體	大 方 廣 妙 蓮 華 王 十 方 佛 母 陀羅尼呪 此 亦 從 體 
X13n0284_001:0197b02	與宗立名單約密詮是故俱略實則還是大佛頂	與 宗 立 名 單 約 密 詮 是 故 俱 略 實 則 還 是 大 佛 頂 
X13n0284_001:0197b03	如來密因義耳顯密本無二體亦無二宗故得以	如 來 密 因 義 耳 顯 密 本 無 二 體 亦 無 二 宗 故 得 以 
X13n0284_001:0197b04	顯攝密五曰亦名灌頂章句諸菩薩萬行首楞嚴	顯 攝 密 五 曰 亦 名 灌 頂 章 句 諸 菩 薩 萬 行 首 楞 嚴 
X13n0284_001:0197b05	此十二字從用立名略四存八亦是以顯攝密。	此 十 二 字 從 用 立 名 略 四 存 八 亦 是 以 顯 攝 密 
X13n0284_001:0197b06	次正解釋為二初通別合釋次分句各釋。	次 正 解 釋 為 二 初 通 別 合 釋 次 分 句 各 釋 
X13n0284_001:0197b07	初合釋者一切諸經皆有通別二名教行理三皆	初 合 釋 者 一 切 諸 經 皆 有 通 別 二 名 教 行 理 三 皆 
X13n0284_001:0197b08	論通別今大佛頂等一十九字名異眾典故教別	論 通 別 今 大 佛 頂 等 一 十 九 字 名 異 眾 典 故 教 別 
X13n0284_001:0197b09	同名為經故教通依教起行為行不同從一乃至	同 名 為 經 故 教 通 依 教 起 行 為 行 不 同 從 一 乃 至 
X13n0284_001:0197b10	無量故行別會同常樂故行通理雖無名因門名	無 量 故 行 別 會 同 常 樂 故 行 通 理 雖 無 名 因 門 名 
X13n0284_001:0197b11	理理隨於門四教一十六門入理故理別門隨於	理 理 隨 於 門 四 教 一 十 六 門 入 理 故 理 別 門 隨 於 
X13n0284_001:0197b12	理一門所入之理即一切門理一切門所入之理	理 一 門 所 入 之 理 即 一 切 門 理 一 切 門 所 入 之 理 
X13n0284_001:0197b13	即一門理故理通此約一化以論通別次約一經	即 一 門 理 故 理 通 此 約 一 化 以 論 通 別 次 約 一 經 
X13n0284_001:0197b14	前後諸文能詮相異故教別所詮理一故教通二	前 後 諸 文 能 詮 相 異 故 教 別 所 詮 理 一 故 教 通 二 
X13n0284_001:0197b15	十五聖方便多門故行別同證圓通故行通二十	十 五 聖 方 便 多 門 故 行 別 同 證 圓 通 故 行 通 二 十 
X13n0284_001:0197b16	五門各具全理故理別一門全理融攝諸門故理	五 門 各 具 全 理 故 理 別 一 門 全 理 融 攝 諸 門 故 理 
X13n0284_001:0197b17	通更約一題大佛頂即理了義即教首楞嚴即行	通 更 約 一 題 大 佛 頂 即 理 了 義 即 教 首 楞 嚴 即 行 
X13n0284_001:0197b18	此皆偏舉具論必備以對經字任運有通別意又	此 皆 偏 舉 具 論 必 備 以 對 經 字 任 運 有 通 別 意 又 
X13n0284_001:0197b19	約一字所言大者梵語摩訶具含三義謂大多勝	約 一 字 所 言 大 者 梵 語 摩 訶 具 含 三 義 謂 大 多 勝 
X13n0284_001:0197b20	大即是理多即是行勝即是教又理大故教行亦	大 即 是 理 多 即 是 行 勝 即 是 教 又 理 大 故 教 行 亦 
X13n0284_001:0197b21	大行多故教理亦多教勝故理行亦勝一字中無	大 行 多 故 教 理 亦 多 教 勝 故 理 行 亦 勝 一 字 中 無 
X13n0284_001:0197b22	量義一一義中義復無量況一句況一題況一經	量 義 一 一 義 中 義 復 無 量 況 一 句 況 一 題 況 一 經 
X13n0284_001:0197b23	況一切經耶通別合釋竟。	況 一 切 經 耶 通 別 合 釋 竟 
X13n0284_001:0197b24	次分文各釋為二初釋別名一十九字次釋通名	次 分 文 各 釋 為 二 初 釋 別 名 一 十 九 字 次 釋 通 名 
X13n0284_001:0197c01	經字。釋別名為二初揀定二正釋。揀定者一	經 字 釋 別 名 為 二 初 揀 定 二 正 釋 揀 定 者 一 
X13n0284_001:0197c02	切諸經別名無量取要言之不出七種一單法二	切 諸 經 別 名 無 量 取要言之 不 出 七 種 一 單 法 二 
X13n0284_001:0197c03	單人三單喻四人法五法喻六人喻七人法喻今	單 人 三 單 喻 四 人 法 五 法 喻 六 人 喻 七 人 法 喻 今 
X13n0284_001:0197c04	經正以人法為名略兼於喻法則有性有修人則	經 正 以 人 法 為 名 略 兼 於 喻 法 則 有 性 有 修 人 則 
X13n0284_001:0197c05	有因有果大佛頂性法也密因修證了義萬行首	有 因 有 果 大 佛 頂 性 法 也 密 因 修 證 了 義 萬 行 首 
X13n0284_001:0197c06	楞嚴修法也如來果人也諸菩薩因人也略兼喻	楞 嚴 修 法 也 如 來 果 人 也 諸 菩 薩 因 人 也 略 兼 喻 
X13n0284_001:0197c07	者佛頂現化表示眾生本具性德是故顯詮名大	者 佛 頂 現 化 表 示 眾 生 本 具 性 德 是 故 顯 詮 名 大 
X13n0284_001:0197c08	佛頂經密詮名大佛頂呪從所表以立稱亦得名	佛 頂 經 密 詮 名 大 佛 頂 呪 從 所 表 以 立 稱 亦 得 名 
X13n0284_001:0197c09	為喻也。	為 喻 也 
X13n0284_001:0197c10	正釋為二初分句廣釋二合辨大途。初中三初	正 釋 為 二 初 分 句 廣 釋 二 合 辨 大 途 初 中 三 初 
X13n0284_001:0197c11	釋大佛頂次釋如來密因修證了義後釋諸菩薩	釋 大 佛 頂 次 釋 如 來 密 因 修 證 了 義 後 釋 諸 菩 薩 
X13n0284_001:0197c12	萬行首楞嚴。初釋大佛頂復為三初約心法略	萬 行 首 楞 嚴 初 釋 大 佛 頂 復 為 三 初 約 心 法 略 
X13n0284_001:0197c13	釋次約佛法廣釋三約眾生法例釋夫心佛眾生	釋 次 約 佛 法 廣 釋 三 約 眾 生 法 例 釋 夫 心 佛 眾 生 
X13n0284_001:0197c14	三無差別無差別性即是大佛頂性此之理性在	三無差別 無 差 別 性 即 是 大 佛 頂 性 此 之 理 性 在 
X13n0284_001:0197c15	迷不減在悟不增一性一切性一切性一性隨釋	迷 不 減 在 悟 不 增 一 性 一 切 性 一 切 性 一 性 隨 釋 
X13n0284_001:0197c16	一法徧能通一切法胡須作此三釋耶特以性德	一 法 徧 能 通 一 切 法 胡 須 作 此 三 釋 耶 特 以 性 德 
X13n0284_001:0197c17	在纏人莫能曉如暗室中寶誰能知者故必約佛	在 纏 人 莫 能 曉 如 暗 室 中 寶 誰 能 知 者 故 必 約 佛 
X13n0284_001:0197c18	界三德以明其致而昧者又獨讓能於佛故必更	界 三 德 以 明 其 致 而 昧 者 又 獨 讓 能 於 佛 故 必 更 
X13n0284_001:0197c19	約九界三性以驗其同十界並陳理事悉等而猶	約 九 界 三 性 以 驗 其 同 十 界 並 陳 理 事 悉 等 而 猶 
X13n0284_001:0197c20	不知兩重三千同居一念便疑眾生法廣佛法太	不 知 兩 重 三 千 同 居 一 念 便 疑 眾 生 法 廣 佛 法 太 
X13n0284_001:0197c21	高故必近約一念三因以識其要若知心佛眾生	高 故 必 近 約 一 念 三 因 以 識 其 要 若 知 心 佛 眾 生 
X13n0284_001:0197c22	的無差別則言言顯諦句句知宗為不了者作此	的 無 差 別 則 言 言 顯 諦 句 句 知 宗 為 不 了 者 作 此 
X13n0284_001:0197c23	三番解釋又恐滯句乘言者眾說食數寶者多故	三 番 解 釋 又 恐 滯 句 乘 言 者 眾 說 食 數 寶 者 多 故 
X13n0284_001:0197c24	今先從近要指南庶可隨文入觀。初約心法略	今 先 從 近 要 指 南 庶 可 隨 文 入 觀 初 約 心 法 略 
X13n0284_001:0198a01	釋者此大佛頂三字直指眾生現前心性全彰一	釋 者 此 大 佛 頂 三 字 直 指 眾 生 現 前 心 性 全 彰 一 
X13n0284_001:0198a02	經所談理體也以吾人現前一念實無分齊亦無	經 所 談 理 體 也 以 吾 人 現 前 一 念 實 無 分 齊 亦 無 
X13n0284_001:0198a03	方隅無有初後并無時劫竪窮橫徧當體絕待不	方 隅 無 有 初 後 并 無 時 劫 竪 窮 橫 徧 當 體 絕 待 不 
X13n0284_001:0198a04	可思議故名為大經云一切因果世界微塵因心	可 思 議 故 名 為 大 經 云 一 切 因 果 世 界 微 塵 因 心 
X13n0284_001:0198a05	成體又云彼不變者元無生滅又云不汝還者非	成 體 又 云 彼 不 變 者 元 無 生 滅 又 云 不 汝 還 者 非 
X13n0284_001:0198a06	汝而誰乃至又云覺海性澄圓圓澄覺元妙等皆	汝 而 誰 乃 至 又 云 覺 海 性 澄 圓 圓 澄 覺 元 妙 等 皆 
X13n0284_001:0198a07	直指此現前一念當體常徧無欠無餘譬如一剎	直 指 此 現 前 一 念 當 體 常 徧 無 欠 無 餘 譬 如 一 剎 
X13n0284_001:0198a08	那中所見明月即是亘古亘今之月不可謂是月	那 中 所 見 明 月 即 是 亘 古 亘 今 之 月 不 可 謂 是 月 
X13n0284_001:0198a09	之少分又如一點水中所現之月即是天上月之	之 少 分 又 如 一 點 水 中 所 現 之 月 即 是 天 上 月 之 
X13n0284_001:0198a10	全體不可謂是少分月也以吾人現前一念了了	全 體 不 可 謂 是 少 分 月 也 以 吾 人 現 前 一 念 了 了 
X13n0284_001:0198a11	常知不可昏昧故名為佛佛者覺也經云如是見	常 知 不 可 昏 昧 故 名 為 佛 佛 者 覺 也 經 云 如 是 見 
X13n0284_001:0198a12	性是心非眼當知聞覺知性亦復如是又云頭自	性 是 心 非 眼 當 知 聞 覺 知 性 亦復如是 又 云 頭 自 
X13n0284_001:0198a13	動搖見無所動手自開合見無舒卷又云覺所覺	動 搖 見 無 所 動 手 自 開 合 見 無 舒 卷 又 云 覺 所 覺 
X13n0284_001:0198a14	眚覺非眚中又云聞實云無誰知無者乃至其形	眚 覺 非 眚 中 又 云 聞 實 云 無 誰 知 無 者 乃 至 其 形 
X13n0284_001:0198a15	雖寐聞性不昏縱汝形銷命光遷謝此性云何為	雖 寐 聞 性 不 昏 縱 汝 形 銷 命 光 遷 謝 此 性 云 何 為 
X13n0284_001:0198a16	汝銷滅等皆是顯出現前一念之覺性也以吾人	汝 銷 滅 等 皆 是 顯 出 現 前 一 念 之 覺 性 也 以 吾 人 
X13n0284_001:0198a17	現前一念不可踪跡不可名狀離過絕非用無窮	現 前 一 念 不 可 踪 跡 不 可 名 狀 離 過 絕 非 用 無 窮 
X13n0284_001:0198a18	盡貴極無為不墮諸數故名為頂譬如佛頂雖是	盡 貴 極 無 為 不 墮 諸 數 故 名 為 頂 譬 如 佛 頂 雖 是 
X13n0284_001:0198a19	妙相而不可見經云惟心與目今何所在又云以	妙 相 而 不 可 見 經 云 惟 心 與 目 今 何 所 在 又 云 以 
X13n0284_001:0198a20	何為心當我拳耀是故七處無所相想非體不可	何 為 心 當 我 拳 耀 是 故 七 處 無 所 相 想 非 體 不 可 
X13n0284_001:0198a21	指是不可指非既非明暗色空亦非覺聞知見等	指 是 不 可 指 非 既 非 明 暗 色 空 亦 非 覺 聞 知 見 等 
X13n0284_001:0198a22	皆是顯此現前一念本自離一切相故也從來釋	皆 是 顯 此 現 前 一 念 本 自 離一切相 故 也 從 來 釋 
X13n0284_001:0198a23	此三字或單約法謂此法是大覺最勝之頂法或	此 三 字 或 單 約 法 謂 此 法 是 大 覺 最 勝 之 頂 法 或 
X13n0284_001:0198a24	單約喻謂喻之以佛頂使不滯於見相或單約事	單 約 喻 謂 喻 之 以 佛 頂 使 不 滯 於 見 相 或 單 約 事 
X13n0284_001:0198b01	謂繇如來頂中化佛說呪故得大佛頂名或單約	謂 繇 如 來 頂 中 化 佛 說 呪 故 得 大 佛 頂 名 或 單 約 
X13n0284_001:0198b02	理謂大即法身佛即般若頂即解脫譬如擔板各	理 謂 大 即 法 身 佛 即 般 若 頂 即 解 脫 譬 如 擔 板 各 
X13n0284_001:0198b03	見一邊若知全喻顯法全事表理則羣說紛紛合	見 一 邊 若 知 全 喻 顯 法 全 事 表 理 則 羣 說 紛 紛 合 
X13n0284_001:0198b04	之雙義蓋如來頂中所現化佛亦名無為心佛正	之 雙 義 蓋 如 來 頂 中 所 現 化 佛 亦 名 無 為 心 佛 正 
X13n0284_001:0198b05	表眾生本具性德而此性德本極尊貴如轉輪聖	表 眾 生 本 具 性 德 而 此 性 德 本 極 尊 貴 如 轉 輪 聖 
X13n0284_001:0198b06	王夢為蟻子雖昏妄顛倒尋羶階下而牀上王體	王 夢 為 蟻 子 雖 昏 妄 顛 倒 尋 羶 階 下 而 牀 上 王 體 
X13n0284_001:0198b07	依然如故又此性德既非有相亦非無相喻如佛	依 然 如 故 又 此 性 德 既 非 有 相 亦 非 無 相 喻 如 佛 
X13n0284_001:0198b08	頂雖不可見而非無頂非無頂即如實不空義故	頂 雖 不 可 見 而 非 無 頂 非 無 頂 即 如 實 不 空 義 故 
X13n0284_001:0198b09	能從頂發輝現光現化不可見即如實空義故能	能 從 頂 發 輝 現 光 現 化 不 可 見 即 如 實 空 義 故 能 
X13n0284_001:0198b10	超諸戲論離即離非空與不空義似有二體實無	超 諸 戲 論 離 即 離 非 空 與 不 空 義 似 有 二 體 實 無 
X13n0284_001:0198b11	二即空不空圓融無二義故能非遮非照遮照同	二 即 空 不 空 圓 融 無 二 義 故 能 非 遮 非 照 遮 照 同 
X13n0284_001:0198b12	時然則不離一喻三法宛然法身大故無所不統	時 然 則 不 離 一 喻 三 法 宛 然 法 身 大 故 無 所 不 統 
X13n0284_001:0198b13	般若大故無所不照解脫大故無所不融覺於真	般 若 大 故 無 所 不 照 解 脫 大 故 無 所 不 融 覺 於 真 
X13n0284_001:0198b14	諦故一空一切空覺於俗諦故一假一切假覺於	諦 故 一 空 一 切 空 覺 於 俗 諦 故 一 假 一 切 假 覺 於 
X13n0284_001:0198b15	中諦故一中一切中一空一切空空無空相故無	中 諦 故 一 中 一 切 中 一 空 一 切 空 空 無 空 相 故 無 
X13n0284_001:0198b16	有一法出過於空一假一切假假無假相故無有	有 一 法 出 過 於 空 一 假 一 切 假 假 無 假 相 故 無 有 
X13n0284_001:0198b17	一法出過於假一中一切中中無中相故無有一	一 法 出 過 於 假 一 中 一 切 中 中 無 中 相 故 無 有 一 
X13n0284_001:0198b18	法出過於中三字共顯三德而非縱一字各具三	法 出 過 於 中 三 字 共 顯 三 德 而 非 縱 一 字 各 具 三 
X13n0284_001:0198b19	義而非橫不縱不橫名祕密藏七趣迷此而沉淪	義 而 非 橫 不 縱 不 橫 名 祕 密 藏 七 趣 迷 此 而 沉 淪 
X13n0284_001:0198b20	迷亦不失二乘昧此而枯寂昧亦不減如來證此	迷 亦 不 失 二 乘 昧 此 而 枯 寂 昧 亦 不 減 如 來 證 此 
X13n0284_001:0198b21	為極果果亦非果菩薩悟此為真因因亦非因善	為 極 果 果 亦 非 果 菩 薩 悟 此 為 真 因 因 亦 非 因 善 
X13n0284_001:0198b22	讀經者能向此三字中識取自心則無上寶王不	讀 經 者 能 向 此 三 字 中 識 取 自 心 則 無 上 寶 王 不 
X13n0284_001:0198b23	求自致善觀心者能向一介爾心中識此妙理則	求 自 致 善 觀 心 者 能 向 一 介 爾 心 中 識 此 妙 理 則 
