T85n2914_001:1459c17	佛說觀經	佛 說 觀 經 
T85n2914_001:1460a03	縱使諸佛不為說法。是人心得安樂無諸患	縱 使 諸 佛 不 為 說 法 是 人 心 得 安 樂 無 諸 患 
T85n2914_001:1460a04	也。	也 
T85n2914_001:1460a05	五門禪要經云。坐禪法要五門。一者安般。二	五 門 禪 要 經 云 坐 禪 法 要 五 門 一 者 安 般 二 
T85n2914_001:1460a06	者不淨。三慈心。四觀緣。五念佛。安般不淨二	者 不 淨 三 慈 心 四 觀 緣 五 念 佛 安 般 不 淨 二 
T85n2914_001:1460a07	門。觀緣此三門。有內外境界。念佛慈心緣外	門 觀 緣 此 三 門 有 內 外 境 界 念 佛 慈 心 緣 外 
T85n2914_001:1460a08	境界。所以五門者隨眾生病。若亂心多者教	境 界 所 以 五 門 者 隨 眾 生 病 若 亂 心 多 者 教 
T85n2914_001:1460a09	以安般。若貪受多者教以不淨。瞋恚多者教	以 安 般 若 貪 受 多 者 教 以 不 淨 瞋 恚 多 者 教 
T85n2914_001:1460a10	以慈心。若著我多教以因緣。若不沒心者教	以 慈 心 若 著 我 多 教 以 因 緣 若 不 沒 心 者 教 
T85n2914_001:1460a11	以念佛。乃一心觀佛。若觀佛時當至心。觀佛	以 念 佛 乃 一 心 觀 佛 若 觀 佛 時 當 至 心 觀 佛 
T85n2914_001:1460a12	相好。了了分別。已然後閉目憶念在心。若明	相 好 了 了 分 別 已 然 後 閉 目 憶 念 在 心 若 明 
T85n2914_001:1460a13	了即開目。極心觀之明了。然後還坐。正身意	了 即 開 目 極 心 觀 之 明 了 然 後 還 坐 正 身 意 
T85n2914_001:1460a14	係念。如前如對真佛。明了無異。即白師云。係	係 念 如 前 如 對 真 佛 明 了 無 異 即 白 師 云 係 
T85n2914_001:1460a15	念見佛無異。師言。汝還本坐係念額上一心	念 見 佛 無 異 師 言 汝 還 本 坐 係 念 額 上 一 心 
T85n2914_001:1460a16	念佛。爾時額上有佛像相。從一至十乃至無	念 佛 爾 時 額 上 有 佛 像 相 從 一 至 十 乃 至 無 
T85n2914_001:1460a17	邊。若行人所見多佛。從額上出者。若去身乃	邊 若 行 人 所 見 多 佛 從 額 上 出 者 若 去 身 乃 
T85n2914_001:1460a18	遠而還者乃見大乘人也。三乘人所出佛。還	遠 而 還 者 乃 見 大 乘 人 也 三 乘 人 所 出 佛 還 
T85n2914_001:1460a19	近身作地金色。此諸佛盡人於平如掌。淨如	近 身 作 地 金 色 此 諸 佛 盡 人 於 平 如 掌 淨 如 
T85n2914_001:1460a20	鏡。觀己身明淨如地。此名念佛三昧境界。得	鏡 觀 己 身 明 淨 如 地 此 名 念佛三昧 境 界 得 
T85n2914_001:1460a21	是境界已白師云。此好境界。此名初門觀也。	是 境 界 已 白 師 云 此 好 境 界 此 名 初 門 觀 也 
T85n2914_001:1460a22	復今係念在心。然後觀佛即見諸佛。從心出	復 今 係 念 在 心 然 後 觀 佛 即 見 諸 佛 從 心 出 
T85n2914_001:1460a23	乃手執瑠璃仗。仗兩頭出。三乘人光焰有大	乃 手 執 瑠 璃 仗 仗 兩 頭 出 三 乘 人 光 焰 有 大 
T85n2914_001:1460a24	小。如是出已未後佛執仗。在心正立而住。末	小 如 是 出 已 未 後 佛 執 仗 在 心 正 立 而 住 末 
T85n2914_001:1460a25	後住佛。迴身還入。先去佛盡來隨人。若小乘	後 住 佛 迴 身 還 入 先 去 佛 盡 來 隨 人 若 小 乘 
T85n2914_001:1460a26	人入盡則止。若大乘人入已。悉從身毛孔滿	人 入 盡 則 止 若 大 乘 人 入 已 悉 從 身 毛 孔 滿 
T85n2914_001:1460a27	於四海。上至有頂。下至風際。如是明已還來	於 四 海 上 至 有 頂 下 至 風 際 如 是 明 已 還 來 
T85n2914_001:1460a28	人身如淨瑠璃。所以光明還來人身者。欲示	人 身 如 淨 瑠 璃 所 以 光 明 還 來 人 身 者 欲 示 
T85n2914_001:1460a29	踴猛健疾境界。相好如是已如師云。此名一	踴 猛 健 疾 境 界 相 好 如 是 已 如 師 云 此 名 一 
T85n2914_001:1460b01	切念處。以能生諸定故名念處。是邪道上杖	切 念 處 以 能 生 諸 定 故 名 念 處 是 邪 道 上 杖 
T85n2914_001:1460b02	者定。相光者智慧相也。此內凡夫境也。復令	者 定 相 光 者 智 慧 相 也 此 內 凡 夫 境 也 復 令 
T85n2914_001:1460b03	捨前二觀。係心在臍。即一心觀臍觀臍不久	捨 前 二 觀 係 心 在 臍 即 一 心 觀 臍 觀 臍 不 久 
T85n2914_001:1460b04	覺臍有動相。諦觀不亂。見臍有物。如鷹卵。其	覺 臍 有 動 相 諦 觀 不 亂 見 臍 有 物 如 鷹 卵 其 
T85n2914_001:1460b05	色鮮白。即再白師。師云。汝更觀在處。乃觀已	色 鮮 白 即 再 白 師 師 云 汝 更 觀 在 處 乃 觀 已 
T85n2914_001:1460b06	有蓮華。琉璃為莖。黃金為臺。臺上有佛。結跏	有 蓮 華 琉 璃 為 莖 黃 金 為 臺 臺 上 有 佛 結 跏 
T85n2914_001:1460b07	趺坐。第一佛如臍中。復有蓮華。上復有佛。結	趺 坐 第 一 佛 如 臍 中 復 有 蓮 華 上 復 有 佛 結 
T85n2914_001:1460b08	跏趺坐。如是展轉相出。乃至大海邊。末後一	跏 趺 坐 如 是 展 轉 相 出 乃 至 大 海 邊 末 後 一 
T85n2914_001:1460b09	佛還入第二佛臍。第二佛還入第三佛臍。如	佛 還 入 第 二 佛 臍 第 二 佛 還 入 第 三 佛 臍 如 
T85n2914_001:1460b10	是展轉還入乃至人臍。佛令為一一佛人。行	是 展 轉 還 入 乃 至 人 臍 佛 令 為 一 一 佛 人 行 
T85n2914_001:1460b11	人臍中已。行人自諸毛孔之迴出蓮華。滿虛	人 臍 中 已 行 人 自 諸 毛 孔 之 迴 出 蓮 華 滿 虛 
T85n2914_001:1460b12	空中。如垂寶瓔珞。如是出生諸蓮花。盡入臍。	空 中 如 垂 寶 瓔 珞 如 是 出 生 諸 蓮 花 盡 入 臍 
T85n2914_001:1460b13	行人乃身體柔軟。輕悅自見。己身明淨如雜	行 人 乃 身 體 柔 軟 輕 悅 自 見 己 身 明 淨 如 雜 
T85n2914_001:1460b14	寶色。即以白師。師云。大善成定相也。復令有	寶 色 即 以 白 師 師 云 大 善 成 定 相 也 復 令 有 
T85n2914_001:1460b15	觀臍中。即見頂有五瑞相。觀已見有一佛。有	觀 臍 中 即 見 頂 有 五 瑞 相 觀 已 見 有 一 佛 有 
T85n2914_001:1460b16	光中結跏趺坐。更觀佛有物。即見佛口中種	光 中 結跏趺坐 更 觀 佛 有 物 即 見 佛 口 中 種 
T85n2914_001:1460b17	種蓮華出。出已遍滿大地。更觀五光中佛。見	種 蓮 華 出 出 已 遍 滿 大 地 更 觀 五 光 中 佛 見 
T85n2914_001:1460b18	臍中五師子出。已食出蓮華。已還入五色光	臍 中 五 師 子 出 已 食 出 蓮 華 已 還 入 五 色 光 
T85n2914_001:1460b19	中。佛臍中師子入已五光。及佛即入此頂名	中 佛 臍 中 師 子 入 已 五 光 及 佛 即 入 此 頂 名 
T85n2914_001:1460b20	師子奮迅三昧定相也。行人觀光入佛身已	師子奮迅三昧 定 相 也 行 人 觀 光 入 佛 身 已 
T85n2914_001:1460b21	行人作金色。已見臍中有物。如日月明淨。見	行 人 作 金 色 已 見 臍 中 有 物 如 日 月 明 淨 見 
T85n2914_001:1460b22	已白師。師云。言更觀即見佛。於腋下及腰中	已 白 師 師 云 言 更 觀 即 見 佛 於 腋 下 及 腰 中 
T85n2914_001:1460b23	出凡四佛。乃出已一一佛放無量日光。日光	出 凡 四 佛 乃 出 已 一 一 佛 放 無 量 日 光 日 光 
T85n2914_001:1460b24	明淨。因日光見四天下色。上至有頂。下至風	明 淨 因 日 光 見 四 天 下 色 上 至 有 頂 下 至 風 
T85n2914_001:1460b25	際。總皆明了。如見掌中。無所罣礙。名為清淨	際 總 皆 明 了 如 見 掌 中 無 所 罣 礙 名 為 清 淨 
T85n2914_001:1460b26	解脫也。若見此已還見四佛。從出處如入。入	解 脫 也 若 見 此 已 還 見 四 佛 從 出 處 如 入 入 
T85n2914_001:1460b27	已復見焰光。前入後出。後入前出。左出右入。	已 復 見 焰 光 前 入 後 出 後 入 前 出 左 出 右 入 
T85n2914_001:1460b28	右出左入。如是竟見自身明淨。及水四邊圓	右 出 左 入 如 是 竟 見 自 身 明 淨 及 水 四 邊 圓 
T85n2914_001:1460b29	滿淨光。名為念佛三昧。在四禪境界也。	滿 淨 光 名 為 念佛三昧 在 四 禪 境 界 也 
T85n2914_001:1460c01	修白骨觀法　先觀身皮肉筋脈總壞盡唯白	修 白 骨 觀 法 先 觀 身 皮 肉 筋 脈 總 壞 盡 唯 白 
T85n2914_001:1460c02	骨連。色如珂雪光亦如是。若不見者。譬如癩	骨 連 色 如 珂 雪 光 亦 如 是 若 不 見 者 譬 如 癩 
T85n2914_001:1460c03	病人。醫語言。須飲血色同乳者即當差。其家	病 人 醫 語 言 須 飲 血 色 同 乳 者 即 當 差 其 家 
T85n2914_001:1460c04	人令作銀器盛血即令飲之。云汝病差也。其	人 令 作 銀 器 盛 血 即 令 飲 之 云 汝 病 差 也 其 
T85n2914_001:1460c05	病人云。血我當不喫。語云。白乳。汝肯不見中	病 人 云 血 我 當 不 喫 語 云 白 乳 汝 肯 不 見 中 
T85n2914_001:1460c06	物。悉皆白色耶。汝罪故見是血也。但作乳想。	物 悉 皆 白 色 耶 汝 罪 故 見 是 血 也 但 作 乳 想 
T85n2914_001:1460c07	莫念血想也。如是七日即變。為乳也。何況實	莫 念 血 想 也 如 是 七 日 即 變 為 乳 也 何 況 實 
T85n2914_001:1460c08	是白骨。而不能見也　乃見骨人人骨人之	是 白 骨 而 不 能 見 也 乃 見 骨 人 人 骨 人 之 
T85n2914_001:1460c09	中其心生滅相續如線貫珠。如是所見及觀	中 其 心 生 滅 相 續 如 線 貫 珠 如 是 所 見 及 觀 
T85n2914_001:1460c10	外身亦如是。若心故精進不懈怠。如鑽燧見	外 身 亦 如 是 若 心 故 精 進 不 懈 怠 如 鑽 燧 見 
T85n2914_001:1460c11	煙。穿井見埿。得水不久。若心靜即行住坐臥	煙 穿 井 見 埿 得 水 不 久 若 心 靜 即 行住坐臥 
T85n2914_001:1460c12	皆見白骨。了了如水澄。清則見面相。濁則不	皆 見 白 骨 了 了 如 水 澄 清 則 見 面 相 濁 則 不 
T85n2914_001:1460c13	見也。	見 也 
T85n2914_001:1460c14	觀佛三昧　佛為法王。能令人得種種善法。	觀 佛 三 昧 佛 為 法 王 能 令 人 得 種 種 善 法 
T85n2914_001:1460c15	是故坐禪之人先當念佛。念佛者能令無量	是 故 坐 禪 之 人 先 當 念 佛 念 佛 者 能 令 無 量 
T85n2914_001:1460c16	罪滅也。人若念佛。佛亦念人。譬如王念於人	罪 滅 也 人 若 念 佛 佛 亦 念 人 譬 如 王 念 於 人 
T85n2914_001:1460c17	怨家不能侵害　念佛亦耳惡法敬為患也。	怨 家 不 能 侵 害 念 佛 亦 耳 惡 法 敬 為 患 也 
T85n2914_001:1460c18	或云。佛不在世。云何憶念之。人自信無過於	或 云 佛 不 在 世 云 何 憶 念 之 人 自 信 無 過 於 
T85n2914_001:1460c19	服。當觀如好佛像。如見真佛也。先從肉髻眉	服 當 觀 如 好 佛 像 如 見 真 佛 也 先 從 肉 髻 眉 
T85n2914_001:1460c20	毫下至足。復至肉髻相。相諦觀還於靜處。閉	毫 下 至 足 復 至 肉 髻 相 相 諦 觀 還 於 靜 處 閉 
T85n2914_001:1460c21	目思念。係心在像。不令他緣。若有餘想收之	目 思 念 係 心 在 像 不 令 他 緣 若 有 餘 想 收 之 
T85n2914_001:1460c22	令還。心自觀察如意得見。是名觀緣定也。當	令 還 心 自 觀 察 如 意 得 見 是 名 觀 緣 定 也 當 
T85n2914_001:1460c23	作是念。云我亦不往。像亦不來。乃見佛者當	作 是 念 云 我 亦 不 往 像 亦 不 來 乃 見 佛 者 當 
T85n2914_001:1460c24	由心定想住也　得觀佛言。已然後進觀生	由 心 定 想 住 也 得 觀 佛 言 已 然 後 進 觀 生 
T85n2914_001:1460c25	身便得見之。如對面無異也　念心馳散。多	身 便 得 見 之 如 對 面 無 異 也 念 心 馳 散 多 
T85n2914_001:1460c26	緣惡法。當如乳母看子。不令作惡。或心不肯	緣 惡 法 當 如 乳 母 看 子 不 令 作 惡 或 心 不 肯 
T85n2914_001:1460c27	住。即責之云。生老病死苦常來逼切。若生天	住 即 責 之 云 生老病死 苦 常 來 逼 切 若 生 天 
T85n2914_001:1460c28	上樂著妙欲無有治心。若墜惡道恐怖苦惱	上 樂 著 妙 欲 無 有 治 心 若 墜 惡 道 恐 怖 苦 惱 
T85n2914_001:1460c29	即善心不生也　今遇佛教。當至心念佛。種	即 善 心 不 生 也 今 遇 佛 教 當 至 心 念 佛 種 
T85n2914_001:1461a01	種責已。念心行住坐觀。常得見佛也　然後	種 責 已 念 心 行 住 坐 觀 常 得 見 佛 也 然 後 
T85n2914_001:1461a02	更進生身禪定。已展轉則易生身觀。法觀者	更 進 生 身 禪 定 已 展 轉 則 易 生 身 觀 法 觀 者 
T85n2914_001:1461a03	既以觀像心隨相成就。即斂意入定即得見。	既 以 觀 像 心 隨 相 成 就 即 斂 意 入 定 即 得 見 
T85n2914_001:1461a04	當因心於像以念。生身觀云。如坐於菩提樹	當 因 心 於 像 以 念 生 身 觀 云 如 坐 於 菩 提 樹 
T85n2914_001:1461a05	下。光明頭照相奇特。又如鹿苑中為五比丘	下 光 明 頭 照 相 奇 特 又 如 鹿 苑 中 為 五 比 丘 
T85n2914_001:1461a06	說四諦法時。又如耆舍崛山放大光明為大	說 四 諦 法 時 又 如 耆 舍 崛 山 放大光明 為 大 
T85n2914_001:1461a07	眾說般若法時。隨用一處。係念在心。不令散	眾 說 般 若 法 時 隨 用 一 處 係 念 在 心 不 令 散 
T85n2914_001:1461a08	亂。心想既得住。即便見佛。乃舉身快樂貫徹	亂 心 想 既 得 住 即 便 見 佛 乃 舉 身 快 樂 貫 徹 
T85n2914_001:1461a09	四支。譬如熱得清涼寒遇溫室。世間之樂無	四 支 譬 如 熱 得 清 涼 寒 遇 溫 室 世 間 之 樂 無 
T85n2914_001:1461a10	已喻法身。法觀者已於空中見佛生身。當因	已 喻 法 身 法 觀 者 已 於 空 中 見 佛 生 身 當 因 
T85n2914_001:1461a11	生身觀內法身。十力四無所畏十八不共法	生 身 觀 內 法 身 十 力 四無所畏 十八不共法 
T85n2914_001:1461a12	大悲無量善業。如人先見金瓶內有寶珠。所	大 悲 無 量 善 業 如 人 先 見 金 瓶 內 有 寶 珠 所 
T85n2914_001:1461a13	以法身真妙。神智無比。無近無遠。無難無易。	以 法 身 真 妙 神 智 無 比 無 近 無 遠 無 難 無 易 
T85n2914_001:1461a14	無邊世界悉在目前　無有一法而不知者。	無邊世界 悉 在 目 前 無 有 一 法 而 不 知 者 
T85n2914_001:1461a15	一切法無所不了。是故行人當專念不令散	一 切 法 無 所 不 了 是 故 行 人 當 專 念 不 令 散 
T85n2914_001:1461a16	亂。若心有餘緣即攝之令還。復復次一切命	亂 若 心 有 餘 緣 即 攝 之 令 還 復 復 次 一 切 命 
T85n2914_001:1461a17	過者。知當死時。先悉諸根如投大坑。發至梵	過 者 知 當 死 時 先 悉 諸 根 如 投 大 坑 發 至 梵 
T85n2914_001:1461a18	天。甚大怖畏。無邊死賊唯佛力能救拔。興種	天 甚 大 怖 畏 無 邊 死 賊 唯 佛 力 能 救 拔 興 種 
T85n2914_001:1461a19	種人天涅槃樂。復次一切諸佛世世常為一	種 人 天 涅 槃 樂 復 次 一切諸佛 世 世 常 為 一 
T85n2914_001:1461a20	切眾生故不惜身命。如釋迦佛。為太子時出	切 眾 生 故 不惜身命 如 釋 迦 佛 為 太 子 時 出 
T85n2914_001:1461a21	遊見癩人。即勅醫言。須得生人血飲之乃差	遊 見 癩 人 即 勅 醫 言 須 得 生 人 血 飲 之 乃 差 
T85n2914_001:1461a22	矣。太子云。是人難得一死一生即不可也	矣 太 子 云 是 人 難 得 一 死 一 生 即 不 可 也 
T85n2914_001:1461a23	　即以自身與之。令病愈矣。佛為一切眾生亦	 即 以 自 身 與 之 令 病 愈 矣 佛 為 一 切 眾 生 亦 
T85n2914_001:1461a24	復如是。佛恩深過父母過也　假使一切人	復 如 是 佛 恩 深 過 父 母 過 也 假 使 一 切 人 
T85n2914_001:1461a25	悉為一分二分。分中當念佛。不應餘念。如是	悉 為 一 分 二 分 分 中 當 念 佛 不 應 餘 念 如 是 
T85n2914_001:1461a26	種種功德隨念行事。若此念成斷除結縛。乃	種 種 功 德 隨 念 行 事 若 此 念 成 斷 除 結 縛 乃 
T85n2914_001:1461a27	至可得無生忍。若不得定即生六欲天中。最	至 可 得無生忍 若 不 得 定 即 生 六 欲 天 中 最 
T85n2914_001:1461a28	尊第一。後生諸佛前也。	尊 第 一 後 生 諸 佛 前 也 
T85n2914_001:1461a29	無量壽佛觀　無量壽觀者。有二種人。鈍根	無 量 壽 佛 觀 無 量 壽 觀 者 有 二 種 人 鈍 根 
T85n2914_001:1461b01	者先觀額上一寸無皮但見赤骨。念念在心	者 先 觀 額 上 一 寸 無 皮 但 見 赤 骨 念 念 在 心 
T85n2914_001:1461b02	不令他緣。心若有餘念攝之令還。如是成已。	不 令 他 緣 心 若 有 餘 念 攝 之 令 還 如 是 成 已 
T85n2914_001:1461b03	令變赤骨方可一寸令白如雪。既如是已令	令 變 赤 骨 方 可 一 寸 令 白 如 雪 既 如 是 已 令 
T85n2914_001:1461b04	觀自身。皆白骨亦如雪色。得成已又觀身骨。	觀 自 身 皆 白 骨 亦 如 雪 色 得 成 已 又 觀 身 骨 
T85n2914_001:1461b05	作琉璃色。光明清淨。觀徹表裏。如是見已。又	作 琉 璃 色 光 明 清 淨 觀 徹 表 裏 如 是 見 已 又 
T85n2914_001:1461b06	令琉璃身中放日光。自近乃遠遍滿閻浮唯	令 琉 璃 身 中 放 日 光 自 近 乃 遠 遍 滿 閻 浮 唯 
T85n2914_001:1461b07	見光明。又攝其光入於身中。既入盡已復放	見 光 明 又 攝 其 光 入 於 身 中 既 入 盡 已 復 放 
T85n2914_001:1461b08	如初。凡諸觀行從易及難。初少後多。從身中	如 初 凡 諸 觀 行 從 易 及 難 初 少 後 多 從 身 中 
T85n2914_001:1461b09	放日光已。即於光中觀阿彌陀佛。其佛身放	放 日 光 已 即 於 光 中 觀 阿 彌 陀 佛 其 佛 身 放 
T85n2914_001:1461b10	大光明。向西端坐。相諦觀。然後總觀其身。	大 光 明 向 西 端 坐 相 諦 觀 然 後 總 觀 其 身 
T85n2914_001:1461b11	結跏趺坐。如紫金山。係念在之。妙相不令他	結跏趺坐 如 紫 金 山 係 念 在 之 妙 相 不 令 他 
T85n2914_001:1461b12	緣。若有餘念收之令還。與佛對坐無異。如是	緣 若 有 餘 念 收 之 令 還 與 佛 對 坐 無 異 如 是 
T85n2914_001:1461b13	不久便可得見也　若利根者。乃便觀作日	不 久 便 可 得 見 也 若 利 根 者 乃 便 觀 作 日 
T85n2914_001:1461b14	光。然光明想法界光明。乃於光中觀之。便可	光 然 光 明 想 法 界 光 明 乃 於 光 中 觀 之 便 可 
T85n2914_001:1461b15	見佛也　行者若欲生為淨土者。當作是觀	見 佛 也 行 者 若 欲 生 為 淨 土 者 當 作 是 觀 
T85n2914_001:1461b16	也　乃觀諸法實相云。世間如夢如幻皆無	也 乃 觀 諸法實相 云 世 間 如 夢 如 幻 皆 無 
T85n2914_001:1461b17	實者。但以顛倒虛妄之□橫起煩惱受諸罪	實 者 但 以 顛 倒 虛 妄 之 橫 起 煩 惱 受 諸 罪 
T85n2914_001:1461b18	報。如人見小兒共爭。瓦石土木等便生瞋悶。	報 如 人 見 小 兒 共 爭 瓦 石 土 木 等 便 生 瞋 悶 
T85n2914_001:1461b19	觀諸世間亦復如是。當與大悲誓願度一切	觀 諸 世 間 亦復如是 當 與 大 悲 誓 願 度 一 切 
T85n2914_001:1461b20	有情。常伏其心。修行二忍。所為眾生忍法忍	有 情 常 伏 其 心 修 行 二 忍 所 為 眾 生 忍 法 忍 
T85n2914_001:1461b21	也。眾生忍者。若恒沙等眾生扣惡心。于己分	也 眾 生 忍 者 若 恒 沙 等 眾 生 扣 惡 心 于 己 分 
T85n2914_001:1461b22	乃不生瞋恚也。種種恭敬不生歡喜也。又觀	乃 不 生 瞋 恚 也 種 種 恭 敬 不 生 歡 喜 也 又 觀 
T85n2914_001:1461b23	眾生無先無後。若有先者則無因緣。是即無	眾 生 無 先 無 後 若 有 先 者 則 無 因 緣 是 即 無 
T85n2914_001:1461b24	初。若無初者亦無中後。如是觀者□墮常斷	初 若 無 初 者 亦 無 中 後 如 是 觀 者 墮 常 斷 
T85n2914_001:1461b25	二邊。用安隱道觀諸眾生。不生邪見。是名眾	二 邊 用 安 隱 道 觀 諸 眾 生 不 生 邪 見 是 名 眾 
T85n2914_001:1461b26	生忍也。法忍者。當觀諸清淨畢竟空想。心無	生 忍 也 法 忍 者 當 觀 諸 清 淨 畢 竟 空 想 心 無 
T85n2914_001:1461b27	罣礙能忍。是名法忍也　新發心者。雖未得	罣 礙 能 忍 是 名 法 忍 也 新 發 心 者 雖 未 得 
T85n2914_001:1461b28	此法忍者。當如是修習也。又觀諸畢竟空想。	此 法 忍 者 當 如 是 修 習 也 又 觀 諸 畢 竟 空 想 
T85n2914_001:1461b29	而於眾生常興大悲。凡有善事無皆迴向願	而 於 眾 生 常 興 大 悲 凡 有 善 事 無 皆 迴 向 願 
T85n2914_001:1461c01	生無量壽佛國也。	生 無 量 壽 佛 國 也 
T85n2914_001:1461c02	佛說觀經一卷	佛 說 觀 經 一 卷 
