X55n0917_001:0736a04	止觀科節	止 觀 科 節 
X55n0917_001:0737a08	定。此指華嚴唯頓。五時漸次而生漸也。一一部中或	定 此 指 華 嚴 唯 頓 五 時 漸 次 而 生 漸 也 一 一 部 中 或 
X55n0917_001:0737a09	具不具不定也。二約部論。華嚴唯頓。四含唯漸。方等	具 不 具 不 定 也 二 約 部 論 華 嚴 唯 頓 四 含 唯 漸 方 等 
X55n0917_001:0737a10	不定。法華唯圓。三約法論。下引淨名。大品．法華．涅槃．	不 定 法 華 唯 圓 三 約 法 論 下 引 淨 名 大 品 法 華 涅 槃 
X55n0917_001:0737a11	無量義等。各有此三是也。四約義。三種止觀皆是大	無 量 義 等 各 有 此 三 是 也 四 約 義 三 種 止 觀 皆 是 大 
X55n0917_001:0737a12	乘。俱緣實相。借漸．不定以助圓修是也。此四義意各	乘 俱 緣 實 相 借 漸 不 定 以 助 圓 修 是 也 此 四 義 意 各 
X55n0917_001:0737a13	異。可深思之。勿使濫也。此四漸中。法華具三漸。大師	異 可 深 思 之 勿 使 濫 也 此 四 漸 中 法 華 具 三 漸 大 師 
X55n0917_001:0737a14	自云。從牛出乳乃至醍醐。此證漸也。此約五時相次	自 云 從 牛 出 乳 乃 至 醍 醐 此 證 漸 也 此 約 五 時 相 次 
X55n0917_001:0737a15	生名漸。非法漸也。如是之人。應以此法漸入佛慧。此	生 名 漸 非 法 漸 也 如 是 之 人 應 以 此 法 漸 入 佛 慧 此 
X55n0917_001:0737a16	敘昔有此漸法也。乃至舉一手或復小低頭。此是圓	敘 昔 有 此 漸 法 也 乃 至 舉 一 手 或 復 小 低 頭 此 是 圓 
X55n0917_001:0737a17	人用漸義助修也。約部。法華唯圓。無復兼但對帶。會	人 用 漸 義 助 修 也 約 部 法 華 唯 圓 無 復 兼 但 對 帶 會 
X55n0917_001:0737a18	諸權小歸一乘故。約時法義。何妨三漸。何累於圓。情	諸 權 小 歸 一 乘 故 約 時 法 義 何 妨 三 漸 何 累 於 圓 情 
X55n0917_001:0737a19	無情一。輔行十解。文理周悉。今助一釋。內外心境別	無 情 一 輔 行 十 解 文 理 周 悉 今 助 一 釋 內 外 心 境 別 
X55n0917_001:0737a20	俗諦事也。察內心無性。外境無實。真諦理也。理而觀	俗 諦 事 也 察 內 心 無 性 外 境 無 實 真 諦 理 也 理 而 觀 
X55n0917_001:0737a21	之未甞有二。事而見之未甞不二。二不二於一念中	之 未 甞 有 二 事 而 見 之 未 甞 不 二 二 不 二 於 一 念 中 
X55n0917_001:0737a22	得。此一念達了之智。非內非外而內而外。十方三世	得 此 一 念 達 了 之 智 非 內 非 外 而 內 而 外 十 方 三 世 
X55n0917_001:0737a23	只一念中。念外無法。斯極理也。若謂念內念外有一	只 一 念 中 念 外 無 法 斯 極 理 也 若 謂 念 內 念 外 有 一 
X55n0917_001:0737a24	法可得。悉為虗妄。非真慧也。目此真慧以為佛性。佛	法 可 得 悉 為 虗 妄 非 真 慧 也 目 此 真 慧 以 為 佛 性 佛 
X55n0917_001:0737b01	性現時豈存心境乎。略指三門。大意在一頓者。三門	性 現 時 豈 存 心 境 乎 略 指 三 門 大 意 在 一 頓 者 三 門 
X55n0917_001:0737b02	謂序中三種止觀。漸次．不定．圓頓也。大意在一頓者。	謂 序 中 三 種 止 觀 漸 次 不 定 圓 頓 也 大 意 在 一 頓 者 
X55n0917_001:0737b03	唯圓也。準輔行。生起問答非大師料簡。是章安也。記	唯 圓 也 準 輔 行 生 起 問 答 非 大 師 料 簡 是 章 安 也 記 
X55n0917_001:0737b04	云。剪略身儀名一行。非約一理。今尋經意。乃從理得	云 剪 略 身 儀 名 一 行 非 約 一 理 今 尋 經 意 乃 從 理 得 
X55n0917_001:0737b05	名。文云。如聞修學。能入一行三昧。面見諸佛。據此乃	名 文 云 如 聞 修 學 能 入 一行三昧 面 見 諸 佛 據 此 乃 
X55n0917_001:0737b06	約一理受名。此四三昧。坐．行．半行半坐．非行非坐。竝	約 一 理 受 名 此 四 三 昧 坐 行 半 行 半 坐 非 行 非 坐 竝 
X55n0917_001:0737b07	從事一行。般舟．法華．方等．隨意。竝從理可思。例四種	從 事 一 行 般 舟 法 華 方 等 隨 意 竝 從 理 可 思 例 四 種 
X55n0917_001:0737b08	三昧意。止觀引文雖異。體乃同今取意。總釋只達一	三 昧 意 止 觀 引 文 雖 異 體 乃 同 今 取 意 總 釋 只 達 一 
X55n0917_001:0737b09	念自心是法界。十方諸佛與一切眾生同一無住。本	念 自 心 是 法 界 十方諸佛 與 一 切 眾 生 同 一 無 住 本 
X55n0917_001:0737b10	一法界為身為土。無彼無此。無根無住處。無修不修。	一 法 界 為 身 為 土 無 彼 無 此 無 根 無 住 處 無 修 不 修 
X55n0917_001:0737b11	無證不證。無凡無聖。但眾生自謂妄想纏縛。為凡為	無 證 不 證 無 凡 無 聖 但 眾 生 自 謂 妄 想 纏 縛 為 凡 為 
X55n0917_001:0737b12	不修為不證。謂佛為聖為證修證聖。在眾生自強立	不 修 為 不 證 謂 佛 為 聖 為 證 修 證 聖 在 眾 生 自 強 立 
X55n0917_001:0737b13	之。佛位中都無此名也。諸佛所見。一切身是法身。一	之 佛 位 中 都 無 此 名 也 諸 佛 所 見 一 切 身 是 法 身 一 
X55n0917_001:0737b14	切國土是佛國土。一切法是佛法。一切心是一心。極	切 國 土 是 佛 國 土 一 切 法 是 佛 法 一 切 心 是 一 心 極 
X55n0917_001:0737b15	十方三際推求。無纖毫許若色若心不是佛理。智鏡	十 方 三 際 推 求 無 纖 毫 許 若 色 若 心 不 是 佛 理 智 鏡 
X55n0917_001:0737b16	朗然。周遍法界。甞無一事。澹然身心。無所施為。佛心	朗 然 周 遍 法 界 甞 無 一 事 澹 然 身 心 無 所 施 為 佛 心 
X55n0917_001:0737b17	既然。我學佛智。如佛用心。即止觀也。佛現即我心現	既 然 我 學 佛 智 如 佛 用 心 即 止 觀 也 佛 現 即 我 心 現 
X55n0917_001:0737b18	而不現。只是自心鏡上影像耳。問。豈都無外佛可見	而 不 現 只 是 自 心 鏡 上 影 像 耳 問 豈 都 無 外 佛 可 見 
X55n0917_001:0737b19	耶。答。自他不二。但如來有同體大悲。眾生有熏習之	耶 答 自 他 不 二 但 如 來 有 同 體 大 悲 眾 生 有 熏 習 之 
X55n0917_001:0737b20	力。扣擊同體智鏡。隨其心上感見相好鏡中之像。然	力 扣 擊 同 體 智 鏡 隨 其 心 上 感 見 相 好 鏡 中 之 像 然 
X55n0917_001:0737b21	不離鏡而非即鏡。隨照好醜。感者千差。相亦萬品。或	不 離 鏡 而 非 即 鏡 隨 照 好 醜 感 者 千 差 相 亦 萬 品 或 
X55n0917_001:0737b22	機深厚。感佛身長千萬由旬。壽命無量阿僧祇劫。以	機 深 厚 感 佛 身 長 千 萬 由 旬 壽 命 無量阿僧祇劫 以 
X55n0917_001:0737b23	河沙世界微塵佛剎為淨玅國土。說無量無邊不可	河 沙 世 界 微 塵 佛 剎 為 淨 玅 國 土 說 無量無邊 不 可 
X55n0917_001:0737b24	說不可說法門。或人天報殊。示現八相。一斯利益不	說 不可說法 門 或 人 天 報 殊 示 現 八 相 一 斯 利 益 不 
X55n0917_001:0737c01	過數百年間。或三途微形含血之類。見聞異身暫能	過 數 百 年 間 或 三 途 微 形 含 血 之 類 見 聞 異 身 暫 能 
X55n0917_001:0737c02	救苦。如空雲水月怳忽不定。斯皆由感者一念之心。	救 苦 如 空 雲 水 月 怳 忽 不 定 斯 皆 由 感 者 一 念 之 心 
X55n0917_001:0737c03	謂佛色身來應。佛實無來去之勞。無有形之患。無可	謂 佛 色 身 來 應 佛 實 無 來 去 之 勞 無 有 形 之 患 無 可 
X55n0917_001:0737c04	說之法。但眾生善緣心想。謂佛應來為我說法。實是	說 之 法 但 眾 生 善 緣 心 想 謂 佛 應 來 為 我 說 法 實 是 
X55n0917_001:0737c05	眾生於自心上現此相耳。問。眾生善根。擊佛大圓智	眾 生 於 自 心 上 現 此 相 耳 問 眾 生 善 根 擊 佛 大 圓 智 
X55n0917_001:0737c06	鏡。現此影像。像則屬佛。答。明鏡屬佛。像不屬佛。像若	鏡 現 此 影 像 像 則 屬 佛 答 明 鏡 屬 佛 像 不 屬 佛 像 若 
X55n0917_001:0737c07	屬佛。佛則生滅流動。若屬眾生。眾生業結所縛。何能	屬 佛 佛 則 生 滅 流 動 若 屬 眾 生 眾 生 業 結 所 縛 何 能 
X55n0917_001:0737c08	具此相好。但眾生感應道交方見此耳。問。既是佛智	具 此 相 好 但 眾 生 感 應 道 交 方 見 此 耳 問 既 是 佛 智 
X55n0917_001:0737c09	鏡上像。何言眾生心上現。答。同體圓鏡。不偏屬佛。眾	鏡 上 像 何 言 眾 生 心 上 現 答 同 體 圓 鏡 不 偏 屬 佛 眾 
X55n0917_001:0737c10	生同一體故。但眾生磨瑩己鏡。未得全明。故能暫現	生 同 一 體 故 但 眾 生 磨 瑩 己 鏡 未 得 全 明 故 能 暫 現 
X55n0917_001:0737c11	此相。表進修之力。問。若爾。眾生自感心鏡上現像。不	此 相 表 進 修 之 力 問 若 爾 眾 生 自 感 心 鏡 上 現 像 不 
X55n0917_001:0737c12	得言佛像現。佛即於眾生無力。虗致敬慕有何益也。	得 言 佛 像 現 佛 即 於 眾 生 無 力 虗 致 敬 慕 有 何 益 也 
X55n0917_001:0737c13	答。由敬慕之心感像現也。此真佛力。豈眾生能致哉。	答 由 敬 慕 之 心 感 像 現 也 此 真 佛 力 豈 眾 生 能 致 哉 
X55n0917_001:0737c14	問。此亦眾生自蒙佛力。非他佛力也。答。佛地無自他。	問 此 亦 眾 生 自 蒙 佛 力 非 他 佛 力 也 答 佛 地 無 自 他 
X55n0917_001:0737c15	汝強謂自他。佛者眾生心不盡耳。問。若爾。亦共作一	汝 強 謂 自 他 佛 者 眾 生 心 不 盡 耳 問 若 爾 亦 共 作 一 
X55n0917_001:0737c16	大佛。不能各各自成也。答。不共作一。不各各自成。此	大 佛 不 能 各 各 自 成 也 答 不 共 作 一 不 各 各 自 成 此 
X55n0917_001:0737c17	義難了。試舉喻首。如國清寺。法界也。住寺僧。古佛也。	義 難 了 試 舉 喻 首 如 國 清 寺 法 界 也 住 寺 僧 古 佛 也 
X55n0917_001:0737c18	遠人暫遊。暫感佛也。他日愛慕即剃髮。配寺國清。即	遠 人 暫 遊 暫 感 佛 也 他 日 愛 慕 即 剃 髮 配 寺 國 清 即 
X55n0917_001:0737c19	我寺也。五峰松逕。臺殿房廊。悉我有也。頓得受用。不	我 寺 也 五 峰 松 逕 臺 殿 房 廊 悉 我 有 也 頓 得 受 用 不 
X55n0917_001:0737c20	減他物。成我家也。不人人別造一寺也。不共他分一	減 他 物 成 我 家 也 不 人 人 別 造 一 寺 也 不 共 他 分 一 
X55n0917_001:0737c21	寺。分即隨人將去。常住法界不可分也。此義出涅槃	寺 分 即 隨 人 將 去 常 住 法 界 不 可 分 也 此 義 出 涅 槃 
X55n0917_001:0737c22	經中。路有一大樹。樹陰清涼。來者即納。無人遮護。無	經 中 路 有 一 大 樹 樹 陰 清 涼 來 者 即 納 無 人 遮 護 無 
X55n0917_001:0737c23	持去者。既印金口。可以奉持。還轉四句不見未貪滅	持 去 者 既 印 金 口 可 以 奉 持 還 轉 四 句 不 見 未 貪 滅 
X55n0917_001:0737c24	欲貪欲生。記云剩生字。道邃和尚云不剩。還轉者翻	欲 貪 欲 生 記 云 剩 生 字 道 邃 和 尚 云 不 剩 還 轉 者 翻 
X55n0917_001:0738a01	轉。四句不見。未貪欲滅。欲貪生等。前言為當。當是未	轉 四 句 不 見 未 貪 欲 滅 欲 貪 生 等 前 言 為 當 當 是 未 
X55n0917_001:0738a02	審定詞。今言不見。是印定說。故兩番別。若準此說。但	審 定 詞 今 言 不 見 是 印 定 說 故 兩 番 別 若 準 此 說 但 
X55n0917_001:0738a03	有兩箇四句。無餘諸句。準輔行。轉至第二不生句。故	有 兩 箇 四 句 無 餘 諸 句 準 輔 行 轉 至 第 二 不 生 句 故 
X55n0917_001:0738a04	剩生字。詳文不合。錯剩取義。輔行無違。執若未盡。竝	剩 生 字 詳 文 不 合 錯 剩 取 義 輔 行 無 違 執 若 未 盡 竝 
X55n0917_001:0738a05	須推破故。問。玄文七重二諦。三接止觀。何但五重一	須 推 破 故 問 玄 文 七 重 二 諦 三 接 止 觀 何 但 五 重 一 
X55n0917_001:0738a06	接。答。約諦理相生漸深有七義。約人智但五。何者。通	接 答 約 諦 理 相 生 漸 深 有 七 義 約 人 智 但 五 何 者 通 
X55n0917_001:0738a07	人八地後聞中修觀伏惑名菩薩。破無明名佛。佛是	人 八 地 後 聞 中 修 觀 伏 惑 名 菩 薩 破 無 明 名 佛 佛 是 
X55n0917_001:0738a08	通教果。果頭無人。只是別教初地。故名別接通。別圓	通 教 果 果 頭 無 人 只 是 別 教 初 地 故 名 別 接 通 別 圓 
X55n0917_001:0738a09	兩人初聞中道。故不名接。故只一接。問。別地即圓住。	兩 人 初 聞 中 道 故 不 名 接 故 只 一 接 問 別 地 即 圓 住 
X55n0917_001:0738a10	何非圓接通。答。初將教接。藉空假為方便故。證方名	何 非 圓 接 通 答 初 將 教 接 藉 空 假 為 方 便 故 證 方 名 
X55n0917_001:0738a11	地。地住既一。不復名接。玄文三接復云何。答。別接通	地 地 住 既 一 不 復 名 接 玄 文 三 接 復 云 何 答 別 接 通 
X55n0917_001:0738a12	如文。圓接通者。從二諦入不次第三諦也。圓接別者。	如 文 圓 接 通 者 從 二 諦 入 不 次 第 三 諦 也 圓 接 別 者 
X55n0917_001:0738a13	從次第入不次第也。但有三義。無有三人。別人先自	從 次 第 入 不 次 第 也 但 有 三 義 無 有 三 人 別 人 先 自 
X55n0917_001:0738a14	知不次第故。約諦故三。約人故一。若剋實論三教。果	知 不 次 第 故 約 諦 故 三 約 人 故 一 若 剋 實 論 三 教 果 
X55n0917_001:0738a15	頭無人。但修三教因。入一圓果。何接之有。今言接者	頭 無 人 但 修 三 教 因 入 一 圓 果 何 接 之 有 今 言 接 者 
X55n0917_001:0738a16	葢義門耳。問。接是連義。為接取接入義。答。兩界中間	葢 義 門 耳 問 接 是 連 義 為 接 取 接 入 義 答 兩 界 中 間 
X55n0917_001:0738a17	須安一接。即似連義。責實而論。但是接得入別。教中	須 安 一 接 即 似 連 義 責 實 而 論 但 是 接 得 入 別 教 中 
X55n0917_001:0738a18	非連。問。連義何妨。答。文云。但可別接。不可接別。若是	非 連 問 連 義 何 妨 答 文 云 但 可 別 接 不 可 接 別 若 是 
X55n0917_001:0738a19	連義。別教接。接別何異。文云。不將此果接十地之因	連 義 別 教 接 接 別 何 異 文 云 不 將 此 果 接 十 地 之 因 
