X67n1304_001:0322c06	 虗堂錄序	 虗 堂 錄 序 
X67n1304_001:0323a12	二十九韶山禮拜(禮拜)三十韶山家風(家風)	二 十 九 韶 山 禮 拜 禮 拜 三 十 韶 山 家 風 家 風 
X67n1304_001:0323a13	三十一黃山米價(糧食)三十二上藍本分(對機)	三 十 一 黃 山 米 價 糧 食 三 十 二 上 藍 本 分 對 機 
X67n1304_001:0323a14	三十三四禪入井(橋路)	三 十 三 四 禪 入 井 橋 路 
X67n1304_001:0323a15	卷第三	卷 第 三 
X67n1304_001:0323a16	三十四海胡行道(大道)三十五天盖浴室(沐浴)	三 十 四 海 胡 行 道 大 道 三 十 五 天 盖 浴 室 沐 浴 
X67n1304_001:0323a17	三十六九峯有言(佛祖)三十七九峰相傳(佛祖)	三 十 六 九 峯 有 言 佛 祖 三 十 七 九 峰 相 傳 佛 祖 
X67n1304_001:0323a18	三十八九峰侍者(遷化)三十九大光達磨(佛祖)	三 十 八 九 峰 侍 者 遷 化 三 十 九 大 光 達 磨 佛 祖 
X67n1304_001:0323a19	四十強德上座(牛鹿)四十一文殊僧繇(真像)	四 十 強 德 上 座 牛 鹿 四 十 一 文 殊 僧 繇 真 像 
X67n1304_001:0323a20	四十二鳳翔石柱(人境)四十三僧問曹山(賓主)	四 十 二 鳳 翔 石 柱 人 境 四 十 三 僧 問 曹 山 賓 主 
X67n1304_001:0323a21	四十四曹辭洞山(遊山)四十五甚物[宋木+取]貴(猫犬)	四 十 四 曹 辭 洞 山 遊 山 四 十 五 甚 物 [宋木取] 貴 猫 犬 
X67n1304_001:0323a22	四十六枯木花開(花菓)四十七踈山壽塔(塔廟)	四 十 六 枯 木 花 開 花 菓 四 十 七 踈 山 壽 塔 塔 廟 
X67n1304_001:0323a23	四十八雲居上堂(示眾)四十九青林逕往(兔蛇)	四 十 八 雲 居 上 堂 示 眾 四 十 九 青 林 逕 往 兔 蛇 
X67n1304_001:0323a24	卷第四	卷 第 四 
X67n1304_001:0323b01	五十二鼠侵藤(飛走)五十一白水聲色(示眾)	五 十 二 鼠 侵 藤 飛 走 五 十 一 白 水 聲 色 示 眾 
X67n1304_001:0323b02	五十二白馬法身(法身)五十三九峰舉一(示眾)	五 十 二 白 馬 法 身 法 身 五 十 三 九 峰 舉 一 示 眾 
X67n1304_001:0323b03	五十四天童應用(心眼)五十五清淨行者(經教)	五 十 四 天 童 應 用 心 眼 五 十 五 清 淨 行 者 經 教 
X67n1304_001:0323b04	五十六北院牛頭(佛祖)五十七青峰大事(對機)	五 十 六 北 院 牛 頭 佛 祖 五 十 七 青 峰 大 事 對 機 
X67n1304_001:0323b05	五十八木平一漚(舟楫)五十九潼泉相傳(骨董)	五 十 八 木 平 一 漚 舟 楫 五 十 九 潼 泉 相 傳 骨 董 
X67n1304_001:0323b06	六十問百巖禪(禪定)六十一問百嵓道(大道)	六 十 問 百 巖 禪 禪 定 六 十 一 問 百 嵓 道 大 道 
X67n1304_001:0323b07	六十二問百巖教(經教)六十三泐潭碓搗(器用)	六 十 二 問 百 巖 教 經 教 六 十 三 泐 潭 碓 搗 器 用 
X67n1304_001:0323b08	六十四同安人師(佛祖)六十五谷山祖意(祖教)	六 十 四 同 安 人 師 佛 祖 六 十 五 谷 山 祖 意 祖 教 
X67n1304_001:0323b09	六十六白雲深處(對機)六十七大嶺清淨(珍寶)	六 十 六 白 雲 深 處 對 機 六 十 七 大 嶺 清 淨 珍 寶 
X67n1304_001:0323b10	六十八同安家風(家風)	六 十 八 同 安 家 風 家 風 
X67n1304_001:0323b11	卷第五	卷 第 五 
X67n1304_001:0323b12	六十九依經解義(經教)七十問諸佛師(佛祖)	六 十 九 依 經 解 義 經 教 七 十 問 諸 佛 師 佛 祖 
X67n1304_001:0323b13	七十一孤峰獨宿(殿堂)七十二問本來心(心眼)	七 十 一 孤 峰 獨 宿 殿 堂 七 十 二 問 本 來 心 心 眼 
X67n1304_001:0323b14	七十三本來父母(省訪)七十四西來的意(祖教)	七 十 三 本 來 父 母 省 訪 七 十 四 西 來 的 意 祖 教 
X67n1304_001:0323b15	七十五阿育家風(家風)七十六四海晏清(對機)	七 十 五 阿 育 家 風 家 風 七 十 六 四 海 晏 清 對 機 
X67n1304_001:0323b16	七十七非思量處(對機)七十八白眉晒熱(歲時)	七 十 七 非 思 量 處 對 機 七 十 八 白 眉 晒 熱 歲 時 
X67n1304_001:0323b17	七十九透法身句(法身)八十石門家風(家風)	七 十 九 透 法 身 句 法 身 八 十 石 門 家 風 家 風 
X67n1304_001:0323b18	卷第六	卷 第 六 
X67n1304_001:0323b19	八十一淨眾蓮花(花菓)八十二同安二機(對機)	八 十 一 淨 眾 蓮 花 花 菓 八 十 二 同 安 二 機 對 機 
X67n1304_001:0323b20	八十三廣德言語(對機)八十四廣德久負(鏡扇)	八 十 三 廣 德 言 語 對 機 八 十 四 廣 德 久 負 鏡 扇 
X67n1304_001:0323b21	八十五廣德波浪(舟楫)八十六雲光作牛(牛鹿)	八 十 五 廣 德 波 浪 舟 楫 八 十 六 雲 光 作 牛 牛 鹿 
X67n1304_001:0323b22	八十七太原數家(齋粥)八十八梁山日用(對機)	八 十 七 太 原 數 家 齋 粥 八 十 八 梁 山 日 用 對 機 
X67n1304_001:0323b23	八十九梁山祖意(祖教)九十梁山空劫(法器)	八 十 九 梁 山 祖 意 祖 教 九 十 梁 山 空 劫 法 器 
X67n1304_001:0323b24	九十一大陽上堂(示眾)九十二大陽家風(家風)	九 十 一 大 陽 上 堂 示 眾 九 十 二 大 陽 家 風 家 風 
X67n1304_001:0323c01	九十三投子宗風(法屬)九十四投子示眾(飛走)	九 十 三 投 子 宗 風 法 屬 九 十 四 投 子 示 眾 飛 走 
X67n1304_001:0323c02	九十五投子拈香(帝王)九十六天寧誰家(法屬)	九 十 五 投 子 拈 香 帝 王 九 十 六 天 寧 誰 家 法 屬 
X67n1304_001:0323c03	九十七天寧夜半(對機)九十八天寧上堂(法身)	九 十 七 天 寧 夜 半 對 機 九 十 八 天 寧 上 堂 法 身 
X67n1304_001:0323c04	九十九保壽上堂(杖笠)百三界唯心(示眾)	九 十 九 保 壽 上 堂 杖 笠 百 三界唯心 示 眾 
X67n1304_001:0323c06	虗堂集目錄(終)	虗 堂 集 目 錄 終 
X67n1304_001:0323c11	林泉老人評唱丹霞淳禪師頌古虗	林 泉 老 人 評 唱 丹 霞 淳 禪 師 頌 古 虗 
X67n1304_001:0323c12	堂集卷一	堂 集 卷 一 
X67n1304_001:0323c14	後學性一閱	後 學 性 一 閱 
X67n1304_001:0323c15	生生道人梓	生 生 道 人 梓 
X67n1304_001:0323c16	第一則　青原堦級(參學)	第 一 則 青 原 堦 級 參 學 
X67n1304_001:0323c17	示眾云。有修有進索論高低。無證無為那消升降。只	示 眾 云 有 修 有 進 索 論 高 低 無 證 無 為 那 消 升 降 只 
X67n1304_001:0323c18	如行不出戶坐不當堂者。甚處安排則是。	如 行 不 出 戶 坐 不 當 堂 者 甚 處 安 排 則 是 
X67n1304_001:0323c19	舉青原思禪師問六祖大師。當何所務即得不落	舉 青 原 思 禪 師 問 六 祖 大 師 當 何 所 務 即 得 不 落 
X67n1304_001:0323c20	階級(這邊如穩當。那畔自相應)。祖云汝曾作什麼來(深窮妙理細辨根源)。	階 級 這 邊 如 穩 當 那 畔 自 相 應 祖 云 汝 曾 作 什 麼 來 深 窮 妙 理 細 辨 根 源 
X67n1304_001:0323c21	思云聖諦亦不為(猶有這箇在)。祖云落何階級(重重烹煉要識	思 云 聖 諦 亦 不 為 猶 有 這 箇 在 祖 云 落 何 階 級 重 重 烹 煉 要 識 
X67n1304_001:0323c22	精金)。思云。聖諦尚不為。落何階級(無皮毛不立。及盡聖凡情)。祖云。	精 金 思 云 聖 諦 尚 不 為 落 何 階 級 無 皮 毛 不 立 及 盡 聖 凡 情 祖 云 
X67n1304_001:0323c23	如是如是(真不掩偽。曲不藏直)。善自護持。吾當有偈(慈悲之故落草	如是如是 真 不 掩 偽 曲 不 藏 直 善 自 護 持 吾 當 有 偈 慈 悲 之 故 落 草 
X67n1304_001:0323c24	之談)。心地含諸種(大無不包。小無不入)。普雨悉皆萌(是法平等。無有高下)。	之 談 心 地 含 諸 種 大 無 不 包 小 無 不 入 普 雨 悉 皆 萌 是 法 平 等 無有高下 
X67n1304_001:0324a01	頓悟花情已(但得雪消去)。菩提果自成(自然春到來)。	頓 悟 花 情 已 但 得 雪 消 去 菩 提 果 自 成 自 然 春 到 來 
X67n1304_001:0324a02	師云。建化門中不無評品。實際理地寧有階差。自始	師 云 建 化 門 中 不 無 評 品 實 際 理 地 寧 有 階 差 自 始 
X67n1304_001:0324a03	至末返本還源。不歷僧祇而獲法身者。自知頓漸超	至 末 返 本 還 源 不 歷 僧 祇 而 獲 法 身 者 自 知 頓 漸 超 
X67n1304_001:0324a04	越奧妙玄極之理。六祖一日謂眾曰。諸善知識。汝等	越 奧 妙 玄 極 之 理 六 祖 一 日 謂 眾 曰 諸 善 知 識 汝 等 
X67n1304_001:0324a05	各各淨心聽吾說法。汝等諸人自心是佛。更莫狐疑。	各 各 淨 心 聽 吾 說 法 汝 等 諸 人 自 心 是 佛 更 莫 狐 疑 
X67n1304_001:0324a06	外無一物而能建立。皆是本心生種種法。故經云。心	外 無 一 物 而 能 建 立 皆 是 本 心 生 種 種 法 故 經 云 心 
X67n1304_001:0324a07	生則種種法生。心滅則種種法滅。若欲成就種智。須	生 則 種 種 法 生 心 滅 則 種 種 法 滅 若 欲 成 就 種 智 須 
X67n1304_001:0324a08	達一相三昧．一行三昧。若於一切處而不住相。彼相	達 一 相 三 昧 一行三昧 若 於 一 切 處 而 不 住 相 彼 相 
X67n1304_001:0324a09	中不生憎愛亦無取捨。不念利益成壞等事。安閑恬	中 不 生 憎 愛 亦 無 取 捨 不 念 利 益 成 壞 等 事 安 閑 恬 
X67n1304_001:0324a10	靜虗融澹泊。此名一相三昧。若於一切處行住坐臥	靜 虗 融 澹 泊 此 名 一 相 三 昧 若 於 一 切 處 行住坐臥 
X67n1304_001:0324a11	純一直心。不動道場真成淨土。名一行三昧。若人具	純 一 直 心 不 動 道 場 真 成 淨 土 名 一行三昧 若 人 具 
X67n1304_001:0324a12	二三昧。如地有種。能含藏長養成就其實。一相一行	二 三 昧 如 地 有 種 能 含 藏 長 養 成 就 其 實 一 相 一 行 
X67n1304_001:0324a13	亦復如是。我今說法猶如時雨溥潤大地。汝等佛性	亦復如是 我 今 說 法 猶 如 時 雨 溥 潤 大 地 汝 等 佛 性 
X67n1304_001:0324a14	譬諸種子。遇茲霑洽悉得發生。承吾旨者決獲菩提。	譬 諸 種 子 遇 茲 霑 洽 悉 得 發 生 承 吾 旨 者 決 獲 菩 提 
X67n1304_001:0324a15	依吾行者定證妙果。林泉道。莫怪老盧能處藥。慣曾	依 吾 行 者 定 證 妙 果 林 泉 道 莫 怪 老 盧 能 處 藥 慣 曾 
X67n1304_001:0324a16	得效敢傳方。達摩亦云。吾本來茲土。說法救迷情。林	得 效 敢 傳 方 達 摩 亦 云 吾 本 來 茲 土 說 法 救 迷 情 林 
X67n1304_001:0324a17	泉道。上代下世老婆心切。而況丹霞以綿綿密密隱	泉 道 上 代 下 世 老 婆 心 切 而 況 丹 霞 以 綿 綿 密 密 隱 
X67n1304_001:0324a18	隱難分處交加頌出。頌曰。	隱 難 分 處 交 加 頌 出 頌 曰 
X67n1304_001:0324a19	卓爾難將正眼窺(睥睨有分)。逈超今古類何齊(果見參差)。苔	卓 爾 難 將 正 眼 窺 睥 睨 有 分 逈 超 今 古 類 何 齊 果 見 參 差 苔 
X67n1304_001:0324a20	封古殿無人侍(玉宇深沉)。月鎻蒼梧鳳不栖(爭肯坐着)。	封 古 殿 無 人 侍 玉 宇 深 沉 月 鎻 蒼 梧 鳳 不 栖 爭 肯 坐 着 
X67n1304_001:0324a21	師云。彩雲影裏仙人現。手把紅羅扇遮面。急須著眼	師 云 彩 雲 影 裏 仙 人 現 手 把 紅 羅 扇 遮 面 急 須 著 眼 
X67n1304_001:0324a22	看仙人。莫看仙人手中扇。有等餓眼禪和。貪觀雲外	看 仙 人 莫 看 仙 人 手 中 扇 有 等 餓 眼 禪 和 貪 觀 雲 外 
X67n1304_001:0324a23	月。失却掌中珠。漫自逐句尋言。不務知根達本。況此	月 失 却 掌 中 珠 漫 自 逐 句 尋 言 不 務 知 根 達 本 況 此 
X67n1304_001:0324a24	不落階級的人。磊磊落落雄雄堂堂。其機不可觸。其	不 落 階 級 的 人 磊 磊 落 落 雄 雄 堂 堂 其 機 不 可 觸 其 
X67n1304_001:0324b01	鋒不可當。用之則行。舍之則藏。活鱍鱍。轉轆轆。雖是	鋒 不 可 當 用 之 則 行 舍 之 則 藏 活 鱍 鱍 轉 轆 轆 雖 是 
X67n1304_001:0324b02	面門出入。無形影而難審其詳。此其所以難將正眼	面 門 出 入 無 形 影 而 難 審 其 詳 此 其 所 以 難 將 正 眼 
X67n1304_001:0324b03	莫可窺窬者歟。故臨濟囑三聖云。吾遷化後。不得滅	莫 可 窺 窬 者 歟 故 臨 濟 囑 三 聖 云 吾 遷 化 後 不 得 滅 
X67n1304_001:0324b04	却吾正法眼藏。聖云爭敢滅却和尚正法眼藏。濟曰	却 吾 正 法 眼 藏 聖 云 爭 敢 滅 却 和 尚 正 法 眼 藏 濟 曰 
X67n1304_001:0324b05	忽有人問汝作麼生祗對。聖便喝。濟曰誰知吾正法	忽 有 人 問 汝 作 麼 生 祗 對 聖 便 喝 濟 曰 誰 知 吾 正 法 
X67n1304_001:0324b06	眼藏向這瞎驢邊滅却。林泉道。誰知口苦心甜處。倒	眼 藏 向 這 瞎 驢 邊 滅 却 林 泉 道 誰 知 口 苦 心 甜 處 倒 
X67n1304_001:0324b07	楔杷頭兜豁伊。只如三聖與麼喝。正法眼藏可窺不	楔 杷 頭 兜 豁 伊 只 如 三 聖 與 麼 喝 正 法 眼 藏 可 窺 不 
X67n1304_001:0324b08	可窺。見徹見不徹。諸人試斫額看。其實此事自古及	可 窺 見 徹 見 不 徹 諸 人 試 斫 額 看 其 實 此 事 自 古 及 
X67n1304_001:0324b09	今比類難齊。言說不到若苔封古殿月鎻蒼梧。臣趑	今 比 類 難 齊 言 說 不 到 若 苔 封 古 殿 月 鎻 蒼 梧 臣 趑 
X67n1304_001:0324b10	趄而莫侍尊嚴。鳳戢翼而潛升霄漢。且道不墮功勳	趄 而 莫 侍 尊 嚴 鳳 戢 翼 而 潛 升 霄 漢 且 道 不 墮 功 勳 
X67n1304_001:0324b11	一句。合作麼生道。聖凡情已盡。何用立階梯。	一 句 合 作 麼 生 道 聖 凡 情 已 盡 何 用 立 階 梯 
X67n1304_001:0324b12	第二則　石頭曹溪(對機)	第 二 則 石 頭 曹 溪 對 機 
X67n1304_001:0324b13	示眾云。人無害虎心。虎無傷人意。迴戈倒戟時。計穩	示 眾 云 人 無 害 虎 心 虎 無 傷 人 意 迴 戈 倒 戟 時 計 穩 
X67n1304_001:0324b14	能周偹。未委乎誰具斯作略。	能 周 偹 未 委 乎 誰 具 斯 作 略 
X67n1304_001:0324b15	舉石頭遷禪師問青原云。和尚自離曹溪。甚時到	舉 石 頭 遷 禪 師 問 青 原 云 和 尚 自 離 曹 溪 甚 時 到 
X67n1304_001:0324b16	此間(家富兒嬌)。原云我却不知汝甚時離曹溪來(念彼觀音	此 間 家 富 兒 嬌 原 云 我 却 不 知 汝 甚 時 離 曹 溪 來 念 彼 觀 音 
X67n1304_001:0324b17	力。還着於本人)。頭云某甲不從曹溪來(赤諱白誺)。原云我已知	力 還 着 於 本 人 頭 云 某 甲 不 從 曹 溪 來 赤 諱 白 誺 原 云 我 已 知 
X67n1304_001:0324b18	汝來處了也(明眼人難謾)。頭云。和尚幸是大人。且莫造	汝 來 處 了 也 明 眼 人 難 謾 頭 云 和 尚 幸 是 大 人 且 莫 造 
X67n1304_001:0324b19	次(啼哭樣奉猶自可。爛泥隱刺更難甘)。	次 啼 哭 樣 奉 猶 自 可 爛 泥 隱 刺 更 難 甘 
X67n1304_001:0324b20	師云。南嶽石頭希遷禪師。初至吉州青原山靜居寺	師 云 南 嶽 石 頭 希 遷 禪 師 初 至 吉 州 青 原 山 靜 居 寺 
X67n1304_001:0324b21	參思禪師。思曰子何方來。遷云曹溪。曰將得甚麼來。	參 思 禪 師 思 曰 子 何 方 來 遷 云 曹 溪 曰 將 得 甚 麼 來 
X67n1304_001:0324b22	云未到曹溪亦不失。曰若恁麼用去曹溪作甚麼。云	云 未 到 曹 溪 亦 不 失 曰 若 恁 麼 用 去 曹 溪 作 甚 麼 云 
X67n1304_001:0324b23	若不到爭知不失。遷又云曹溪大師還識和尚不。曰	若 不 到 爭 知 不 失 遷 又 云 曹 溪 大 師 還 識 和 尚 不 曰 
X67n1304_001:0324b24	汝今識吾不。云識又爭能識得。曰眾角雖多一麟足	汝 今 識 吾 不 云 識 又 爭 能 識 得 曰 眾 角 雖 多 一 麟 足 
X67n1304_001:0324c01	矣。遷又問。和尚自離曹溪。甚時至此間。曰我却不知	矣 遷 又 問 和 尚 自 離 曹 溪 甚 時 至 此 間 曰 我 却 不 知 
X67n1304_001:0324c02	汝早晚離曹溪。云希遷不從曹溪來。曰我已知汝來	汝 早 晚 離 曹 溪 云 希 遷 不 從 曹 溪 來 曰 我 已 知 汝 來 
X67n1304_001:0324c03	處了也。云和尚幸是大人且莫造次。林泉道。子細看	處 了 也 云 和 尚 幸 是 大 人 且 莫 造 次 林 泉 道 子 細 看 
X67n1304_001:0324c04	來。雖似叉手罵丈母。其奈見與師齊減師半德。見過	來 雖 似 叉 手 罵 丈 母 其 奈 見 與 師 齊 減 師 半 德 見 過 
X67n1304_001:0324c05	於師方堪傳授。此亦父為子隱子為父隱。直在其中	於 師 方 堪 傳 授 此 亦 父 為 子 隱 子 為 父 隱 直 在 其 中 
X67n1304_001:0324c06	之別樣也。非世智辯聦可定奪矣。其實來無所從去	之 別 樣 也 非 世 智 辯 聦 可 定 奪 矣 其 實 來 無 所 從 去 
X67n1304_001:0324c07	無所住。故經云。若有人言如來若來若去若坐若臥。	無 所 住 故 經 云 若 有 人 言 如 來 若 來 若 去 若 坐 若 臥 
X67n1304_001:0324c08	是人不解我所說義。何以故。如來者無所從來亦無	是 人 不 解 我 所 說 義 何 以 故 如 來 者 無所從來 亦 無 
X67n1304_001:0324c09	所去。故名如來。林泉道。如來禪。祖師禪。休爭眉與鏝。	所 去 故 名 如 來 林 泉 道 如 來 禪 祖 師 禪 休 爭 眉 與 鏝 
X67n1304_001:0324c10	只是一文錢。更看丹霞別傳消息。頌曰。	只 是 一 文 錢 更 看 丹 霞 別 傳 消 息 頌 曰 
X67n1304_001:0324c11	木人來問青霄路(指空話空)。玉女年尊似不聞(耳邊風過)。携	木 人 來 問 青 霄 路 指 空 話 空 玉 女 年 尊 似 不 聞 耳 邊 風 過 携 
X67n1304_001:0324c12	手相將歸故國(同行無疎伴)。暮山岌岌鎻重雲(不教人見轉風	手 相 將 歸 故 國 同 行 無 疎 伴 暮 山 岌 岌 鎻 重 雲 不 教 人 見 轉 風 
X67n1304_001:0324c13	流)。	流 
X67n1304_001:0324c14	師云。竺土不傳無字印。祇園剛道寄書來。當此之時。	師 云 竺 土 不 傳 無 字 印 祇 園 剛 道 寄 書 來 當 此 之 時 
X67n1304_001:0324c15	木人問路枉向青霄。誰敢臨岐妄傳消息。故年尊玉	木 人 問 路 枉 向 青 霄 誰 敢 臨 岐 妄 傳 消 息 故 年 尊 玉 
X67n1304_001:0324c16	女聽風柯而聞似不聞。齒缺泥牛耕月色而見如不	女 聽 風 柯 而 聞 似 不 聞 齒 缺 泥 牛 耕 月 色 而 見 如 不 
X67n1304_001:0324c17	見。無中唱出。信手拈來。擊碎疑團。歌殘狂解。所以教	見 無 中 唱 出 信 手 拈 來 擊 碎 疑 團 歌 殘 狂 解 所 以 教 
X67n1304_001:0324c18	離心意識。參出凡聖路。學淺知淺見爭免向舌上鑽	離 心 意 識 參 出 凡 聖 路 學 淺 知 淺 見 爭 免 向 舌 上 鑽 
X67n1304_001:0324c19	研。狹智狹聞寧不於言中採摭。此皆生死根本妄想	研 狹 智 狹 聞 寧 不 於 言 中 採 摭 此 皆 生 死 根 本 妄 想 
X67n1304_001:0324c20	端倪。古人慈悲太甚。行願弘深。籍有言欲顯無言。假	端 倪 古 人 慈 悲 太 甚 行 願 弘 深 籍 有 言 欲 顯 無 言 假 
X67n1304_001:0324c21	無說要知真說。為垂隻手方便提携。擬使初心殷勤	無 說 要 知 真 說 為 垂 隻 手 方 便 提 携 擬 使 初 心 殷 勤 
X67n1304_001:0324c22	趣向。雖暮山之岌岌五眼難窺。奈秋月之輝輝寸心	趣 向 雖 暮 山 之 岌 岌 五 眼 難 窺 奈 秋 月 之 輝 輝 寸 心 
X67n1304_001:0324c23	不昧。鎻重雲漫教緊俏。滯玄關枉使因循。放開一線	不 昧 鎻 重 雲 漫 教 緊 俏 滯 玄 關 枉 使 因 循 放 開 一 線 
X67n1304_001:0324c24	許商量。不惜雙眉通祕訣。還相委悉麼。妙體本來無	許 商 量 不 惜 雙 眉 通 祕 訣 還 相 委 悉 麼 妙 體 本 來 無 
X67n1304_001:0325a01	處所。通身那更有蹤由。	處 所 通 身 那 更 有 蹤 由 
X67n1304_001:0325a02	第三則　藥山坐次(禪定)	第 三 則 藥 山 坐 次 禪 定 
X67n1304_001:0325a03	示眾云。行住坐臥無非妙用神通。語默離微總是法	示 眾 云 行住坐臥 無 非 妙 用 神 通 語 默 離 微 總 是 法 
X67n1304_001:0325a04	門佛事。直饒向空劫前承當。剗地索道未在未在。到	門 佛 事 直 饒 向 空 劫 前 承 當 剗 地 索 道 未 在 未 在 到 
X67n1304_001:0325a05	這裏還許開口麼。	這 裏 還 許 開 口 麼 
X67n1304_001:0325a06	舉藥山惟儼禪師一日在石上坐次(脚力困時歇)。石頭	舉 藥 山 惟 儼 禪 師 一 日 在 石 上 坐 次 脚 力 困 時 歇 石 頭 
X67n1304_001:0325a07	和尚見乃問云。在這裏作甚麼(老不歇心)。山云一物不	和 尚 見 乃 問 云 在 這 裏 作 甚 麼 老 不 歇 心 山 云 一 物 不 
X67n1304_001:0325a08	為(引惹詞訟)。頭云恁麼則閑坐也(克己復禮)。頭云。汝道不為。	為 引 惹 詞 訟 頭 云 恁 麼 則 閑 坐 也 克 己 復 禮 頭 云 汝 道 不 為 
X67n1304_001:0325a09	不為箇甚麼(要識真金火裏看)。山云千聖亦不識(許汝眼明)。石	不 為 箇 甚 麼 要 識 真 金 火 裏 看 山 云 千 聖 亦 不 識 許 汝 眼 明 石 
X67n1304_001:0325a10	頭因以偈贊曰。從來共住不知名(却最親切)。任運相將	頭 因 以 偈 贊 曰 從 來 共 住 不 知 名 却 最 親 切 任 運 相 將 
X67n1304_001:0325a11	祇麼行(好客無疎伴)。自古上賢猶不識(懶兒攀伴)。造次凡流	祇 麼 行 好 客 無 疎 伴 自 古 上 賢 猶 不 識 懶 兒 攀 伴 造 次 凡 流 
X67n1304_001:0325a12	豈可明(勿謂秦無人)。	豈 可 明 勿 謂 秦 無 人 
X67n1304_001:0325a13	師云。澧州藥山惟儼禪師。絳州韓氏子。年十七依潮	師 云 澧 州 藥 山 惟 儼 禪 師 絳 州 韓 氏 子 年 十 七 依 潮 
X67n1304_001:0325a14	陽西山慧照禪師出家。納戒于衡嶽希操律師。愽通	陽 西 山 慧 照 禪 師 出 家 納 戒 于 衡 嶽 希 操 律 師 愽 通 
X67n1304_001:0325a15	經論。嚴持戒律。一日自歎曰。大丈夫當離法自淨。誰	經 論 嚴 持 戒 律 一 日 自 歎 曰 大 丈 夫 當 離 法 自 淨 誰 
X67n1304_001:0325a16	能屑屑事細行於布巾邪。首造石頭之室。便問三乘	能 屑 屑 事 細 行 於 布 巾 邪 首 造 石 頭 之 室 便 問 三 乘 
X67n1304_001:0325a17	十二分教某甲粗知。甞聞南方直指人心見性成佛。	十二分教 某 甲 粗 知 甞 聞 南 方 直 指 人 心 見 性 成 佛 
