X51n0825_001:0454b06	 序〔龍省〕	 序 龍 省 
X51n0825_001:0455a25	初釋前三句(二)	初 釋 前 三 句 二 
X51n0825_001:0455a26	初略釋(三)	初 略 釋 三 
X51n0825_001:0455a27	初釋第一句(論)	初 釋 第 一 句 論 
X51n0825_001:0455a28	次釋第二句(彼)	次 釋 第 二 句 彼 
X51n0825_001:0455a29	三釋第三句(二)	三 釋 第 三 句 二 
X51n0825_001:0455a30	初徵(如)	初 徵 如 
X51n0825_001:0455a31	次釋(二)	次 釋 二 
X51n0825_001:0455a32	初正釋(二)	初 正 釋 二 
X51n0825_001:0455a33	初依相見假說我法(彼)	初 依 相 見 假 說 我 法 彼 
X51n0825_001:0455a34	次由熏習變似我法(二)	次 由 熏 習 變 似 我 法 二 
X51n0825_001:0455a35	初法釋(或)	初 法 釋 或 
X51n0825_001:0455a36	次喻明(如)	次 喻 明 如 
X51n0825_001:0455a37	次結判(愚)	次 結 判 愚 
X51n0825_001:0455a38	次廣釋(二)	次 廣 釋 二 
X51n0825_001:0455a39	初明無實唯似境(三)	初 明 無 實 唯 似 境 三 
X51n0825_001:0455a40	初徵答總標(云)	初 徵 答 總 標 云 
X51n0825_001:0455a41	次重徵別釋(二)	次 重 徵 別 釋 二 
X51n0825_001:0455a42	初破實我實法不可得(二)	初 破 實 我 實 法 不 可 得 二 
X51n0825_001:0455a43	初破實我(二)	初 破 實 我 二 
X51n0825_001:0455a44	初徵(如)	初 徵 如 
X51n0825_001:0455a45	次釋(二)	次 釋 二 
X51n0825_001:0455a46	初正破(三)	初 正 破 三 
X51n0825_001:0456a01	初敘破外道小乘我相(二)	初 敘 破 外 道 小 乘 我 相 二 
X51n0825_001:0456a02	初別破(二)	初 別 破 二 
X51n0825_001:0456a03	初破六師三計(二)	初 破 六 師 三 計 二 
X51n0825_001:0456a04	初敘計(諸)	初 敘 計 諸 
X51n0825_001:0456a05	次破斥(三)	次 破 斥 三 
X51n0825_001:0456a06	初破勝論數論(初)	初 破 勝 論 數 論 初 
X51n0825_001:0456a07	次破無慚尼犍(中)	次 破 無 慚 尼 犍 中 
X51n0825_001:0456a08	三破獸主徧出(後)	三 破 獸 主 徧 出 後 
X51n0825_001:0456a09	次破小乘三計(二)	次 破 小 乘 三 計 二 
X51n0825_001:0456a10	初敘計(又)	初 敘 計 又 
X51n0825_001:0456a11	次破斥(三)	次 破 斥 三 
X51n0825_001:0456a12	初破即蘊我(初)	初 破 即 蘊 我 初 
X51n0825_001:0456a13	次破離蘊我(中)	次 破 離 蘊 我 中 
X51n0825_001:0456a14	三破非即離我(後)	三 破 非 即 離 我 後 
X51n0825_001:0456a15	次總破(三)	次 總 破 三 
X51n0825_001:0456a16	初約思慮有無破(又)	初 約 思 慮 有 無 破 又 
X51n0825_001:0456a17	次約作用有無破(又)	次 約 作 用 有 無 破 又 
X51n0825_001:0456a18	三約所緣非緣破(又)	三 約 所 緣 非 緣 破 又 
X51n0825_001:0456a19	次立量以顯唯識(二)	次 立 量 以 顯 唯 識 二 
X51n0825_001:0456a20	初顯能所緣是見相(又)	初 顯 能 所 緣 是 見 相 又 
X51n0825_001:0456a21	次結示所緣是識變(是)	次 結 示 所 緣 是 識 變 是 
X51n0825_001:0456a22	三結屬我執俱分(三)	三 結 屬 我 執 俱 分 三 
X51n0825_001:0456a23	初標列(然)	初 標 列 然 
X51n0825_001:0456a24	次別釋(二)	次 別 釋 二 
X51n0825_001:0456a25	初俱生我執(三)	初 俱 生 我 執 三 
X51n0825_001:0456a26	初釋總名(俱)	初 釋 總 名 俱 
X51n0825_001:0456a27	次釋別相(此)	次 釋 別 相 此 
X51n0825_001:0456a28	三示斷位(此)	三 示 斷 位 此 
X51n0825_001:0456a29	次分別我執(三)	次 分 別 我 執 三 
X51n0825_001:0456a30	初釋總名(分)	初 釋 總 名 分 
X51n0825_001:0456a31	次釋別相(唯)	次 釋 別 相 唯 
X51n0825_001:0456a32	三示斷位(此)	三 示 斷 位 此 
X51n0825_001:0456a33	三結判(二)	三 結 判 二 
X51n0825_001:0456a34	初正判(二)	初 正 判 二 
X51n0825_001:0456a35	初判相質有無(二)	初 判 相 質 有 無 二 
X51n0825_001:0456a36	初判定有無(如)	初 判 定 有 無 如 
X51n0825_001:0456a37	次結成前義(是)	次 結 成 前 義 是 
X51n0825_001:0456a38	次判依徧有無(然)	次 判 依 徧 有 無 然 
X51n0825_001:0456a39	次引證(故)	次 引 證 故 
X51n0825_001:0456a40	次釋妨○	次 釋 妨 
X51n0825_001:0456a41	次破實法○	次 破 實 法 
X51n0825_001:0456a42	次結示心外境非所緣○	次 結 示 心 外 境 非 所 緣 
X51n0825_001:0456a43	三總結證成○	三 總 結 證 成 
X51n0825_001:0456a44	次釋假應依實難○	次 釋 假 應 依 實 難 
X51n0825_001:0456a45	次釋後三句○	次 釋 後 三 句 
X51n0825_001:0456a46	次二十三頌半廣明識相顯前頌意○	次 二 十 三 頌 半 廣 明 識 相 顯 前 頌 意 
X51n0825_001:0456a47	三後有五頌明修行之位次○	三 後 有 五 頌 明 修 行 之 位 次 
X51n0825_001:0456a48	三釋結施顯分○	三 釋 結 施 顯 分 
X51n0825_001:0456a50	○次釋妨(二)	 次 釋 妨 二 
X51n0825_001:0456a51	初正釋妨難(三)	初 正 釋 妨 難 三 
X51n0825_001:0456a52	初釋憶識等事妨(二)	初 釋 憶 識 等 事 妨 二 
X51n0825_001:0456a53	初難(實)	初 難 實 
X51n0825_001:0456a54	次釋(二)	次 釋 二 
X51n0825_001:0456a55	初斥非(所)	初 斥 非 所 
X51n0825_001:0456a56	次顯理(然)	次 顯 理 然 
X51n0825_001:0456a57	次釋造業受果妨(二)	次 釋 造 業 受 果 妨 二 
X51n0825_001:0456a58	初難(若)	初 難 若 
X51n0825_001:0456a59	次釋(二)	次 釋 二 
X51n0825_001:0456a60	初斥非(所)	初 斥 非 所 
X51n0825_001:0456a61	次顯理(然)	次 顯 理 然 
X51n0825_001:0456a62	三釋生死涅槃妨(二)	三 釋 生死涅槃 妨 二 
X51n0825_001:0456a63	初難(我)	初 難 我 
X51n0825_001:0456a64	次釋(二)	次 釋 二 
X51n0825_001:0456a65	初斥非(所)	初 斥 非 所 
X51n0825_001:0456a66	次顯理(然)	次 顯 理 然 
X51n0825_001:0456a67	次結示唯識(由)	次 結 示 唯 識 由 
X51n0825_001:0456a69	○次破實法(二)	 次 破 實 法 二 
X51n0825_001:0456a70	初徵答非有(如)	初 徵 答 非 有 如 
X51n0825_001:0456a71	次廣破執相(三)	次 廣 破 執 相 三 
X51n0825_001:0457a01	初正破心外有法(二)	初 正 破 心 外 有 法 二 
X51n0825_001:0457a02	初破外道(二)	初 破 外 道 二 
X51n0825_001:0457a03	初徵(外)	初 徵 外 
X51n0825_001:0457a04	次釋(二)	次 釋 二 
X51n0825_001:0457a05	初約十三家別破(五)	初 約 十 三 家 別 破 五 
X51n0825_001:0457a06	初數論師(三)	初 數 論 師 三 
X51n0825_001:0457a07	初敘執(且)	初 敘 執 且 
X51n0825_001:0457a08	次破斥(七)	次 破 斥 七 
X51n0825_001:0457a09	初破現量所得(彼)	初 破 現 量 所 得 彼 
X51n0825_001:0457a10	二以能所互破(又)	二 以 能 所 互 破 又 
X51n0825_001:0457a11	三體應同用破(又)	三 體 應 同 用 破 又 
X51n0825_001:0457a12	四破三合成一(許)	四 破 三 合 成 一 許 
X51n0825_001:0457a13	五以總別互破(又)	五 以 總 別 互 破 又 
X51n0825_001:0457a14	六約變時合不合破(二)	六 約 變 時 合 不 合 破 二 
X51n0825_001:0457a15	初正破(此)	初 正 破 此 
X51n0825_001:0457a16	次遮救(不)	次 遮 救 不 
X51n0825_001:0457a17	七約無差別破所成(又)	七 約 無 差 別 破 所 成 又 
X51n0825_001:0457a18	三結非(故)	三 結 非 故 
X51n0825_001:0457a19	二勝論師(二)	二 勝 論 師 二 
X51n0825_001:0457a20	初敘執(勝)	初 敘 執 勝 
X51n0825_001:0457a21	次破斥(二)	次 破 斥 二 
X51n0825_001:0457a22	初正破(二)	初 正 破 二 
X51n0825_001:0457a23	初明諸句體非實有(八)	初 明 諸 句 體 非 實 有 八 
X51n0825_001:0457a24	初被諸句中常無常(彼)	初 被 諸 句 中 常 無 常 彼 
X51n0825_001:0457a25	二以實德二句對破(又)	二 以 實 德 二 句 對 破 又 
X51n0825_001:0457a26	三破實句中有礙常(又)	三 破 實 句 中 有 礙 常 又 
X51n0825_001:0457a27	四破諸句中無礙法(諸)	四 破 諸 句 中 無 礙 法 諸 
X51n0825_001:0457a28	五約唯識破諸句(又)	五 約 唯 識 破 諸 句 又 
X51n0825_001:0457a29	六破大有性(彼)	六 破 大 有 性 彼 
X51n0825_001:0457a30	七破同異性(又)	七 破 同 異 性 又 
X51n0825_001:0457a31	八破和合句(又)	八 破 和 合 句 又 
X51n0825_001:0457a32	次顯諸句非現量得(二)	次 顯 諸 句 非 現 量 得 二 
X51n0825_001:0457a33	初明諸句非現量境(然)	初 明 諸 句 非 現 量 境 然 
X51n0825_001:0457a34	次顯能緣非現量智(又)	次 顯 能 緣 非 現 量 智 又 
X51n0825_001:0457a35	次結非(故)	次 結 非 故 
X51n0825_001:0457a36	三自在天等八論(二)	三 自 在 天 等 八 論 二 
X51n0825_001:0457a37	初破大自在(二)	初 破 大 自 在 二 
X51n0825_001:0457a38	初敘(有)	初 敘 有 
X51n0825_001:0457a39	次破(彼)	次 破 彼 
X51n0825_001:0457a40	次例破餘七(餘)	次 例 破 餘 七 餘 
X51n0825_001:0457a41	四二種聲論(二)	四 二 種 聲 論 二 
X51n0825_001:0457a42	初敘(有)	初 敘 有 
X51n0825_001:0457a43	次破(彼)	次 破 彼 
X51n0825_001:0457a44	五順世論師(二)	五 順 世 論 師 二 
X51n0825_001:0457a45	初敘(有)	初 敘 有 
X51n0825_001:0457a46	次破(二)	次 破 二 
X51n0825_001:0457a47	初破因微(彼)	初 破 因 微 彼 
X51n0825_001:0457a48	次破果色(三)	次 破 果 色 三 
X51n0825_001:0457a49	初破不越因量(二)	初 破 不 越 因 量 二 
X51n0825_001:0457a50	初正破(又)	初 正 破 又 
X51n0825_001:0457a51	次破救(三)	次 破 救 三 
X51n0825_001:0457a52	初破量德合故似粗(若)	初 破 量 德 合 故 似 粗 若 
X51n0825_001:0457a53	次約果如因破(若)	次 約 果 如 因 破 若 
X51n0825_001:0457a54	三約因如果破(若)	三 約 因 如 果 破 若 
X51n0825_001:0457a55	次破因果同處(又)	次 破 因 果 同 處 又 
X51n0825_001:0457a56	三破果體是一(又)	三 破 果 體 是 一 又 
X51n0825_001:0457a57	次束成四種總破(二)	次 束 成 四 種 總 破 二 
X51n0825_001:0457a58	初總標(然)	初 總 標 然 
X51n0825_001:0457a59	次別破(四)	次 別 破 四 
X51n0825_001:0457a60	初數論等(二)	初 數 論 等 二 
X51n0825_001:0457a61	初敘(一)	初 敘 一 
X51n0825_001:0457a62	次破(彼)	次 破 彼 
X51n0825_001:0457a63	二勝論等(二)	二 勝 論 等 二 
X51n0825_001:0457a64	初敘(二)	初 敘 二 
X51n0825_001:0458a01	次破(彼)	次 破 彼 
X51n0825_001:0458a02	三無慚等(二)	三 無 慚 等 二 
X51n0825_001:0458a03	初敘(三)	初 敘 三 
X51n0825_001:0458a04	次破(彼)	次 破 彼 
X51n0825_001:0458a05	四邪命等(二)	四 邪 命 等 二 
X51n0825_001:0458a06	初敘(四)	初 敘 四 
X51n0825_001:0458a07	次破(彼)	次 破 彼 
X51n0825_001:0458a08	次破餘乘○	次 破 餘 乘 
X51n0825_001:0458a09	次立量以顯唯識○	次 立 量 以 顯 唯 識 
X51n0825_001:0458a10	三結屬法執俱分○	三 結 屬 法 執 俱 分 
X51n0825_001:0458a12	○次破餘乘(二)	 次 破 餘 乘 二 
X51n0825_001:0458a13	初當(彼)	初 當 彼 
X51n0825_001:0458a14	次釋(二)	次 釋 二 
X51n0825_001:0458a15	初總釋(破)	初 總 釋 破 
X51n0825_001:0458a16	次別釋(三)	次 別 釋 三 
X51n0825_001:0458a17	初破色法(二)	初 破 色 法 二 
X51n0825_001:0458a18	初破對無對色(二)	初 破 對 無 對 色 二 
X51n0825_001:0458a19	初標列(且)	初 標 列 且 
X51n0825_001:0458a20	次別明(二)	次 別 明 二 
X51n0825_001:0458a21	初有對色(二)	初 有 對 色 二 
X51n0825_001:0458a22	初明有對非實有(二)	初 明 有 對 非 實 有 二 
X51n0825_001:0458a23	初略明(彼)	初 略 明 彼 
X51n0825_001:0458a24	次廣釋(二)	次 廣 釋 二 
X51n0825_001:0458a25	初明能成極微不實(二)	初 明 能 成 極 微 不 實 二 
X51n0825_001:0458a26	初約質礙有無破(謂)	初 約 質 礙 有 無 破 謂 
X51n0825_001:0458a27	次約方分有無破(二)	次 約 方 分 有 無 破 二 
X51n0825_001:0458a28	初破有方分(又)	初 破 有 方 分 又 
X51n0825_001:0458a29	次破無方分(二)	次 破 無 方 分 二 
X51n0825_001:0458a30	初且約有方分破無方分(三)	初 且 約 有 方 分 破 無 方 分 三 
X51n0825_001:0458a31	初約所成果色破(若)	初 約 所 成 果 色 破 若 
X51n0825_001:0458a32	次約因能成果破(又)	次 約 因 能 成 果 破 又 
X51n0825_001:0458a33	三約果色即因破(執)	三 約 果 色 即 因 破 執 
X51n0825_001:0458a34	次結歸有方分破其實有(有)	次 結 歸 有 方 分 破 其 實 有 有 
X51n0825_001:0458a35	次結所成果色非實有(故)	次 結 所 成 果 色 非 實 有 故 
X51n0825_001:0458a36	次明有對唯識變(二)	次 明 有 對 唯 識 變 二 
X51n0825_001:0458a37	初徵(五)	初 徵 五 
X51n0825_001:0458a38	次釋(二)	次 釋 二 
X51n0825_001:0458a39	初正釋(二)	初 正 釋 二 
X51n0825_001:0458a40	初總釋依緣(雖)	初 總 釋 依 緣 雖 
X51n0825_001:0458a41	次別釋依緣(二)	次 別 釋 依 緣 二 
X51n0825_001:0458a42	初略明所依(然)	初 略 明 所 依 然 
X51n0825_001:0458a43	次廣釋所緣(二)	次 廣 釋 所 緣 二 
X51n0825_001:0458a44	初總標所緣緣有無(此)	初 總 標 所 緣 緣 有 無 此 
X51n0825_001:0458a45	次別明所緣緣有無(二)	次 別 明 所 緣 緣 有 無 二 
X51n0825_001:0458a46	初明外所緣緣非有(二)	初 明 外 所 緣 緣 非 有 二 
X51n0825_001:0458a47	初破執(四)	初 破 執 四 
X51n0825_001:0458a48	初破正量部計能生(二)	初 破 正 量 部 計 能 生 二 
X51n0825_001:0458a49	初敘計(謂)	初 敘 計 謂 
X51n0825_001:0458a50	次破斥(非)	次 破 斥 非 
X51n0825_001:0458a51	二破經部師計和合(二)	二 破 經 部 師 計 和 合 二 
X51n0825_001:0458a52	初敘計(眼)	初 敘 計 眼 
X51n0825_001:0458a53	次破斥(非)	次 破 斥 非 
X51n0825_001:0458a54	三破經部轉計極微(非)	三 破 經 部 轉 計 極 微 非 
X51n0825_001:0458a55	四破薩婆多計和集(二)	四 破 薩 婆 多 計 和 集 二 
X51n0825_001:0458a56	初敘計(有)	初 敘 計 有 
X51n0825_001:0458a57	次破斥(彼)	次 破 斥 彼 
X51n0825_001:0458a58	次結況(許)	次 結 況 許 
X51n0825_001:0458a59	次顯內所緣緣非無(二)	次 顯 內 所 緣 緣 非 無 二 
X51n0825_001:0459a01	初明識變似色等為所緣緣(由)	初 明 識 變 似 色 等 為 所 緣 緣 由 
X51n0825_001:0459a02	次明識所變相非極微成(二)	次 明 識 所 變 相 非 極 微 成 二 
X51n0825_001:0459a03	初正明(然)	初 正 明 然 
X51n0825_001:0459a04	次釋妨(為)	次 釋 妨 為 
X51n0825_001:0459a05	次結示(由)	次 結 示 由 
X51n0825_001:0459a06	次無對色(餘)	次 無 對 色 餘 
X51n0825_001:0459a07	次破表無表色○	次 破 表 無 表 色 
X51n0825_001:0459a08	次破不相應行○	次 破 不相應行 
X51n0825_001:0459a09	三破無為法○	三 破 無 為 法 
X51n0825_001:0459a11	○次破表無表色(二)	 次 破 表 無 表 色 二 
X51n0825_001:0459a12	初徵(表)	初 徵 表 
X51n0825_001:0459a13	次釋(二)	次 釋 二 
X51n0825_001:0459a14	初明二色非實有(二)	初 明 二 色 非 實 有 二 
X51n0825_001:0459a15	初正明(二)	初 正 明 二 
X51n0825_001:0459a16	初釋有表(二)	初 釋 有 表 二 
X51n0825_001:0459a17	初身表(二)	初 身 表 二 
X51n0825_001:0459a18	初破實有(三)	初 破 實 有 三 
X51n0825_001:0459a19	初反徵(此)	初 反 徵 此 
X51n0825_001:0459a20	次正破(三)	次 正 破 三 
X51n0825_001:0459a21	初破形(若)	初 破 形 若 
X51n0825_001:0459a22	次破動(若)	次 破 動 若 
X51n0825_001:0459a23	三破心所引生(若)	三 破 心 所 引 生 若 
X51n0825_001:0459a24	三結示(故)	三 結 示 故 
X51n0825_001:0459a25	次申正義(然)	次 申 正 義 然 
X51n0825_001:0459a26	次語表(二)	次 語 表 二 
X51n0825_001:0459a27	初破實有(語)	初 破 實 有 語 
X51n0825_001:0459a28	次申正義(然)	次 申 正 義 然 
X51n0825_001:0459a29	次釋無表(二)	次 釋 無 表 二 
X51n0825_001:0459a30	初破實有(表)	初 破 實 有 表 
X51n0825_001:0459a31	次申正義(然)	次 申 正 義 然 
X51n0825_001:0459a32	次釋難(二)	次 釋 難 二 
X51n0825_001:0459a33	初難(世)	初 難 世 
X51n0825_001:0459a34	次釋(二)	次 釋 二 
X51n0825_001:0459a35	初總答非色(不)	初 總 答 非 色 不 
X51n0825_001:0459a36	次別明業體(二)	次 別 明 業 體 二 
X51n0825_001:0459a37	初明思為三業體(能)	初 明 思 為 三 業 體 能 
X51n0825_001:0459a38	次轉釋身語二業(二)	次 轉 釋 身 語 二 業 二 
X51n0825_001:0459a39	初示由思名業道(起)	初 示 由 思 名 業 道 起 
X51n0825_001:0459a40	次明業道是假說(或)	次 明 業 道 是 假 說 或 
X51n0825_001:0459a41	次結二色唯識變(由)	次 結 二 色 唯 識 變 由 
X51n0825_001:0459a43	○次破不相應行(三)	 次 破 不相應行 三 
X51n0825_001:0459a44	初總明無實體用(二)	初 總 明 無 實 體 用 二 
X51n0825_001:0459a45	初明依色心分位假立(不)	初 明 依 色 心 分 位 假 立 不 
X51n0825_001:0459a46	次立量以顯無實體用(此)	次 立 量 以 顯 無 實 體 用 此 
X51n0825_001:0459a47	次別破得非得等(六)	次 別 破 得 非 得 等 六 
X51n0825_001:0459a48	初破得非得(二)	初 破 得 非 得 二 
X51n0825_001:0459a49	初破他非(二)	初 破 他 非 二 
X51n0825_001:0459a50	初徵答實有(二)	初 徵 答 實 有 二 
X51n0825_001:0459a51	初論主問(且)	初 論 主 問 且 
X51n0825_001:0459a52	次外人答(契)	次 外 人 答 契 
X51n0825_001:0459a53	次正破實有(二)	次 正 破 實 有 二 
X51n0825_001:0459a54	初依經總非(經)	初 依 經 總 非 經 
X51n0825_001:0459a55	次就義別破(二)	次 就 義 別 破 二 
X51n0825_001:0459a56	初正破得(二)	初 正 破 得 二 
X51n0825_001:0459a57	初引經例破(亦)	初 引 經 例 破 亦 
X51n0825_001:0459a58	次約二因破(三)	次 約 二 因 破 三 
X51n0825_001:0459a59	初徵(又)	初 徵 又 
X51n0825_001:0459a60	次破(二)	次 破 二 
X51n0825_001:0459a61	初破能起因(若)	初 破 能 起 因 若 
X51n0825_001:0459a62	次破不失因(若)	次 破 不 失 因 若 
X51n0825_001:0460a01	三結(故)	三 結 故 
X51n0825_001:0460a02	次例破非得(得)	次 例 破 非 得 得 
X51n0825_001:0460a03	次申正義(二)	次 申 正 義 二 
X51n0825_001:0460a04	初明得(然)	初 明 得 然 
X51n0825_001:0460a05	次明非得(觀)	次 明 非 得 觀 
X51n0825_001:0460a06	二破眾同分(二)	二 破 眾 同 分 二 
X51n0825_001:0460a07	初破他非(二)	初 破 他 非 二 
X51n0825_001:0460a08	初徵答實有(二)	初 徵 答 實 有 二 
X51n0825_001:0460a09	初論主問(復)	初 論 主 問 復 
X51n0825_001:0460a10	次外人答(契)	次 外 人 答 契 
X51n0825_001:0460a11	次正破實有(二)	次 正 破 實 有 二 
X51n0825_001:0460a12	初依經總非(此)	初 依 經 總 非 此 
X51n0825_001:0460a13	次就義別破(二)	次 就 義 別 破 二 
X51n0825_001:0460a14	初約同智言因破(若)	初 約 同 智 言 因 破 若 
X51n0825_001:0460a15	次約同事欲因破(若)	次 約 同 事 欲 因 破 若 
X51n0825_001:0460a16	次申正義(然)	次 申 正 義 然 
X51n0825_001:0460a17	三破命根(二)	三 破 命 根 二 
X51n0825_001:0460a18	初破他非(二)	初 破 他 非 二 
X51n0825_001:0460a19	初徵答實有(二)	初 徵 答 實 有 二 
X51n0825_001:0460a20	初論主問(復)	初 論 主 問 復 
X51n0825_001:0460a21	次外人答(若)	次 外 人 答 若 
X51n0825_001:0460a22	次正破實有(二)	次 正 破 實 有 二 
X51n0825_001:0460a23	初依經總非(此)	初 依 經 總 非 此 
X51n0825_001:0460a24	次就義別破(三)	次 就 義 別 破 三 
X51n0825_001:0460a25	初例破(又)	初 例 破 又 
X51n0825_001:0460a26	次釋妨(若)	次 釋 妨 若 
X51n0825_001:0460a27	三結示(此)	三 結 示 此 
X51n0825_001:0460a28	次申正義(然)	次 申 正 義 然 
X51n0825_001:0460a29	四破無心定等(二)	四 破 無 心 定 等 二 
X51n0825_001:0460a30	初破他非(二)	初 破 他 非 二 
X51n0825_001:0460a31	初徵答實有(二)	初 徵 答 實 有 二 
X51n0825_001:0460a32	初論主問(復)	初 論 主 問 復 
X51n0825_001:0460a33	次外人答(若)	次 外 人 答 若 
X51n0825_001:0460a34	次正破實有(若)	次 正 破 實 有 若 
X51n0825_001:0460a35	次申正義(二)	次 申 正 義 二 
X51n0825_001:0460a36	初正釋(二)	初 正 釋 二 
